time,Utah,pts.away,score,pts.home,New Orleans
10:13.0,,,28-26,2,A. Rivers makes 2-pt shot at rim
10:12.0,Utah full timeout,,28-26,,
9:53.0,E. Kanter misses 2-pt shot from 3 ft,,28-26,,
9:51.0,,,28-26,,Defensive rebound by D. Cunningham
9:44.0,,,28-28,2,A. Rivers makes 2-pt shot from 6 ft
9:25.0,J. Ingles misses 3-pt shot from 26 ft,,28-28,,
9:24.0,Offensive rebound by T. Booker,,28-28,,
9:22.0,T. Booker makes 2-pt shot from 1 ft,2,30-28,,
8:56.0,,,30-30,2,R. Anderson makes 2-pt shot from 1 ft (assist by J. Fredette)
8:46.0,D. Exum makes 2-pt shot at rim (assist by J. Ingles),2,32-30,,
8:25.0,,,32-30,,J. Fredette misses 2-pt shot at rim
8:24.0,Defensive rebound by E. Kanter,,32-30,,
8:14.0,D. Exum makes 2-pt shot at rim (assist by J. Ingles),2,34-30,,
7:57.0,,,34-30,,D. Cunningham misses 2-pt shot from 19 ft
7:56.0,Defensive rebound by T. Booker,,34-30,,
7:53.0,A. Burks makes 2-pt shot from 15 ft,2,36-30,,
7:53.0,Shooting foul by J. Fredette (drawn by A. Burks),,36-30,,
7:53.0,A. Burks makes free throw 1 of 1,1,37-30,,
7:35.0,,,37-30,,A. Rivers misses 2-pt shot from 6 ft
7:34.0,,,37-30,,Offensive rebound by R. Anderson
7:25.0,,,37-32,2,J. Fredette makes 2-pt shot from 19 ft
7:21.0,,,37-32,,Personal foul by J. Fredette (drawn by A. Burks)
7:21.0,R. Gobert enters the game for D. Exum,,37-32,,
7:21.0,T. Burke enters the game for T. Booker,,37-32,,
7:09.0,E. Kanter misses 2-pt shot from 1 ft,,37-32,,
7:07.0,Offensive rebound by R. Gobert,,37-32,,
7:07.0,R. Gobert makes 2-pt shot from 1 ft,2,39-32,,
6:45.0,,,39-34,2,R. Anderson makes 2-pt shot from 16 ft
6:28.0,Turnover by T. Burke (bad pass; steal by J. Fredette),,39-34,,
6:20.0,,,39-37,3,R. Anderson makes 3-pt shot from 26 ft (assist by J. Fredette)
6:18.0,Utah full timeout,,39-37,,
6:18.0,,,39-37,,T. Evans enters the game for J. Fredette
5:57.0,E. Kanter makes 2-pt shot from 2 ft,2,41-37,,
5:42.0,,,41-37,,R. Anderson misses 3-pt shot from 25 ft
5:42.0,Defensive rebound by T. Burke,,41-37,,
5:25.0,Turnover by T. Burke (lost ball; steal by A. Rivers),,41-37,,
5:16.0,,,41-40,3,R. Anderson makes 3-pt shot from 26 ft (assist by A. Rivers)
4:58.0,E. Kanter misses 2-pt shot from 4 ft,,41-40,,
4:57.0,Offensive rebound by R. Gobert,,41-40,,
4:57.0,R. Gobert makes 2-pt shot at rim,2,43-40,,
4:47.0,,,43-40,,Turnover by J. Withey (offensive foul)
4:47.0,,,43-40,,Offensive foul by J. Withey
4:47.0,Official timeout,,43-40,,
4:47.0,G. Hayward enters the game for T. Burke,,43-40,,
4:47.0,D. Exum enters the game for J. Ingles,,43-40,,
4:47.0,,,43-40,,A. Davis enters the game for J. Withey
4:32.0,E. Kanter makes 2-pt shot from 2 ft,2,45-40,,
4:14.0,,,45-40,,A. Rivers misses 2-pt shot from 2 ft
4:12.0,,,45-40,,Offensive rebound by A. Davis
4:12.0,,,45-42,2,A. Davis makes 2-pt shot at rim
3:54.0,A. Burks makes 2-pt shot from 19 ft,2,47-42,,
3:51.0,Personal foul by A. Burks (drawn by A. Davis),,47-42,,
3:33.0,,,47-42,,D. Cunningham misses 2-pt shot from 20 ft
3:32.0,Defensive rebound by G. Hayward,,47-42,,
3:26.0,G. Hayward makes 2-pt shot at rim,2,49-42,,
3:08.0,,,49-42,,T. Evans misses 2-pt shot from 1 ft (block by R. Gobert)
3:06.0,Defensive rebound by R. Gobert,,49-42,,
3:05.0,,,49-42,,Personal foul by R. Anderson (drawn by G. Hayward)
3:05.0,,,49-42,,O. Asik enters the game for R. Anderson
3:05.0,,,49-42,,J. Holiday enters the game for A. Rivers
3:05.0,,,49-42,,L. Babbitt enters the game for D. Cunningham
2:54.0,A. Burks misses 2-pt shot from 9 ft,,49-42,,
2:52.0,Offensive rebound by A. Burks,,49-42,,
2:52.0,A. Burks makes 2-pt shot from 1 ft,2,51-42,,
2:37.0,,,51-42,,A. Davis misses 2-pt shot from 6 ft
2:36.0,,,51-42,,Offensive rebound by O. Asik
2:36.0,,,51-44,2,O. Asik makes 2-pt shot from 1 ft
2:10.0,G. Hayward misses 3-pt shot from 25 ft,,51-44,,
2:10.0,,,51-44,,Defensive rebound by Team
2:10.0,Loose ball foul by E. Kanter (drawn by A. Davis),,51-44,,
2:10.0,,,51-44,,New Orleans full timeout
1:59.0,,,51-44,,Shooting foul by G. Hayward (drawn by A. Davis)
1:59.0,,,51-45,1,A. Davis makes free throw 1 of 2
1:59.0,,,51-46,1,A. Davis makes free throw 2 of 2
1:40.0,A. Burks misses 2-pt shot from 1 ft (block by O. Asik),,51-46,,
1:39.0,Offensive rebound by A. Burks,,51-46,,
1:39.0,A. Burks misses 2-pt shot from 1 ft,,51-46,,
1:37.0,,,51-46,,Defensive rebound by A. Davis
1:29.0,,,51-48,2,O. Asik makes 2-pt shot at rim (assist by T. Evans)
1:14.0,E. Kanter makes 2-pt shot at rim (assist by A. Burks),2,53-48,,
0:55.0,,,53-51,3,L. Babbitt makes 3-pt shot from 23 ft (assist by A. Davis)
0:32.0,D. Exum makes 3-pt shot from 25 ft (assist by G. Hayward),3,56-51,,
0:10.0,,,56-51,,O. Asik misses 2-pt shot at rim
0:10.0,,,56-51,,Offensive rebound by A. Davis
0:10.0,,,56-53,2,A. Davis makes 2-pt shot at rim
0:00.0,R. Gobert misses 2-pt shot from 1 ft,,56-53,,
0:00.0,Offensive rebound by Team,,56-53,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:39.0,T. Burke misses 3-pt shot from 26 ft,,56-53,,
11:38.0,,,56-53,,Defensive rebound by L. Babbitt
11:17.0,,,56-53,,J. Holiday misses 2-pt shot from 2 ft (block by E. Kanter)
11:17.0,Defensive rebound by Team,,56-53,,
10:53.0,A. Burks misses 3-pt shot from 26 ft,,56-53,,
10:53.0,Offensive rebound by R. Gobert,,56-53,,
10:48.0,R. Gobert misses 2-pt shot from 1 ft,,56-53,,
10:47.0,Offensive rebound by E. Kanter,,56-53,,
10:47.0,E. Kanter makes 2-pt shot from 1 ft,2,58-53,,
10:40.0,,,58-55,2,T. Evans makes 2-pt shot from 2 ft
10:28.0,,,58-55,,Personal foul by L. Babbitt (drawn by R. Gobert)
10:28.0,Turnover by E. Kanter (back court),,58-55,,
10:15.0,,,58-55,,T. Evans misses 2-pt shot from 1 ft
10:14.0,Defensive rebound by A. Burks,,58-55,,
10:07.0,E. Kanter makes 2-pt shot from 2 ft (assist by T. Burke),2,60-55,,
9:54.0,,,60-55,,Offensive foul by O. Asik
9:54.0,,,60-55,,Turnover by O. Asik (offensive foul)
9:43.0,,,60-55,,Personal foul by J. Holiday (drawn by T. Burke)
9:28.0,E. Kanter makes 2-pt shot at rim,2,62-55,,
9:09.0,,,62-57,2,J. Holiday makes 2-pt shot from 6 ft
8:53.0,T. Booker enters the game for R. Gobert,,62-57,,
8:52.0,A. Burks makes 2-pt shot from 3 ft (assist by G. Hayward),2,64-57,,
8:52.0,Shooting foul by T. Evans (drawn by A. Burks),,64-57,,
8:52.0,A. Burks makes free throw 1 of 1,1,65-57,,
8:33.0,,,65-57,,Turnover by A. Davis (lost ball; steal by E. Kanter)
8:28.0,T. Burke misses 2-pt shot from 1 ft,,65-57,,
8:27.0,Offensive rebound by E. Kanter,,65-57,,
8:27.0,E. Kanter makes 2-pt shot from 1 ft,2,67-57,,
8:26.0,,,67-57,,New Orleans full timeout
8:26.0,,,67-57,,D. Cunningham enters the game for L. Babbitt
8:11.0,,,67-59,2,A. Davis makes 2-pt shot from 18 ft (assist by J. Holiday)
7:52.0,G. Hayward misses 2-pt shot at rim,,67-59,,
7:50.0,,,67-59,,Defensive rebound by Team
7:50.0,R. Gobert enters the game for T. Booker,,67-59,,
7:34.0,,,67-61,2,O. Asik makes 2-pt shot from 2 ft (assist by J. Holiday)
7:34.0,,,67-61,,Shooting foul by R. Gobert (drawn by O. Asik)
7:34.0,,,67-62,1,O. Asik makes free throw 1 of 1
7:16.0,Turnover by T. Burke (lost ball; steal by D. Cunningham),,67-62,,
7:05.0,,,67-64,2,D. Cunningham makes 2-pt shot from 20 ft (assist by J. Holiday)
6:47.0,E. Kanter makes 2-pt shot at rim (assist by G. Hayward),2,69-64,,
6:33.0,,,69-66,2,A. Davis makes 2-pt shot from 19 ft (assist by J. Holiday)
6:14.0,G. Hayward misses 2-pt shot from 14 ft (block by J. Holiday),,69-66,,
6:11.0,,,69-66,,Defensive rebound by A. Davis
6:05.0,,,69-66,,T. Evans misses 2-pt shot from 11 ft (block by G. Hayward)
6:03.0,Defensive rebound by R. Gobert,,69-66,,
5:59.0,T. Burke misses 2-pt shot from 8 ft (block by O. Asik),,69-66,,
5:57.0,,,69-66,,Defensive rebound by O. Asik
5:51.0,,,69-66,,A. Davis misses 2-pt shot from 5 ft
5:50.0,Defensive rebound by T. Burke,,69-66,,
5:45.0,E. Kanter misses 2-pt shot from 15 ft,,69-66,,
5:42.0,Offensive rebound by R. Gobert,,69-66,,
5:29.0,Shooting foul by T. Evans (drawn by G. Hayward),,69-66,,
5:29.0,G. Hayward makes free throw 1 of 2,1,70-66,,
5:29.0,R. Hood enters the game for A. Burks,,70-66,,
5:29.0,G. Hayward makes free throw 2 of 2,1,71-66,,
5:17.0,,,71-68,2,T. Evans makes 2-pt shot from 1 ft
4:57.0,R. Hood makes 3-pt shot from 24 ft (assist by G. Hayward),3,74-68,,
4:38.0,,,74-70,2,T. Evans makes 2-pt shot from 2 ft
4:24.0,,,74-70,,Personal foul by J. Holiday (drawn by T. Burke)
4:24.0,T. Burke makes free throw 1 of 2,1,75-70,,
4:24.0,T. Booker enters the game for E. Kanter,,75-70,,
4:24.0,T. Burke makes free throw 2 of 2,1,76-70,,
4:04.0,Personal foul by R. Hood (drawn by T. Evans),,76-70,,
3:55.0,,,76-72,2,A. Davis makes 2-pt shot from 12 ft
3:39.0,G. Hayward misses 2-pt shot from 11 ft,,76-72,,
3:38.0,,,76-72,,Defensive rebound by O. Asik
3:34.0,Personal foul by T. Booker (drawn by T. Evans),,76-72,,
3:34.0,,,76-72,,R. Anderson enters the game for O. Asik
3:24.0,,,76-74,2,T. Evans makes 2-pt shot from 2 ft
3:02.0,R. Hood makes 2-pt shot from 2 ft,2,78-74,,
2:45.0,,,78-74,,R. Anderson misses 3-pt shot from 24 ft
2:44.0,Defensive rebound by G. Hayward,,78-74,,
2:37.0,G. Hayward makes 2-pt shot at rim,2,80-74,,
2:20.0,,,80-74,,J. Holiday misses 2-pt shot from 3 ft
2:20.0,,,80-74,,Offensive rebound by Team
2:20.0,Loose ball foul by R. Hood (drawn by A. Davis),,80-74,,
2:20.0,Utah full timeout,,80-74,,
2:20.0,J. Ingles enters the game for T. Burke,,80-74,,
2:20.0,D. Exum enters the game for R. Hood,,80-74,,
2:20.0,,,80-74,,A. Rivers enters the game for T. Evans
2:13.0,,,80-76,2,A. Davis makes 2-pt shot from 3 ft (assist by J. Holiday)
1:52.0,G. Hayward makes 2-pt shot from 20 ft,2,82-76,,
1:39.0,,,82-76,,J. Holiday misses 2-pt shot from 14 ft
1:38.0,Defensive rebound by T. Booker,,82-76,,
1:24.0,T. Booker makes 2-pt shot from 15 ft (assist by J. Ingles),2,84-76,,
1:06.0,,,84-76,,R. Anderson misses 3-pt shot from 26 ft
1:05.0,Defensive rebound by Team,,84-76,,
1:05.0,,,84-76,,J. Fredette enters the game for J. Holiday
1:05.0,,,84-76,,J. Withey enters the game for A. Davis
0:53.0,G. Hayward makes 2-pt shot from 2 ft (assist by D. Exum),2,86-76,,
0:41.0,,,86-78,2,D. Cunningham makes 2-pt shot from 18 ft (assist by R. Anderson)
0:31.0,Shooting foul by A. Rivers (drawn by G. Hayward),,86-78,,
0:31.0,G. Hayward makes free throw 1 of 2,1,87-78,,
0:31.0,G. Hayward misses free throw 2 of 2,,87-78,,
0:31.0,,,87-78,,Defensive rebound by R. Anderson
0:08.0,,,87-78,,R. Anderson misses 3-pt shot from 27 ft
0:07.0,Defensive rebound by R. Gobert,,87-78,,
0:02.0,G. Hayward misses 3-pt shot from 27 ft,,87-78,,
0:00.0,Offensive rebound by D. Exum,,87-78,,
0:00.0,D. Exum makes 2-pt shot from 8 ft,2,89-78,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
12:00.0,,,89-78,,Turnover by D. Cunningham (bad pass)
11:50.0,Shooting foul by J. Withey (drawn by E. Kanter),,89-78,,
11:50.0,E. Kanter misses free throw 1 of 2,,89-78,,
11:50.0,Offensive rebound by Team,,89-78,,
11:50.0,E. Kanter makes free throw 2 of 2,1,90-78,,
11:28.0,,,90-78,,Turnover by J. Fredette (lost ball; steal by D. Exum)
11:25.0,T. Booker makes 2-pt shot at rim (assist by A. Burks),2,92-78,,
11:09.0,,,92-78,,D. Cunningham misses 2-pt shot at rim
11:08.0,,,92-78,,Offensive rebound by R. Anderson
11:08.0,,,92-80,2,R. Anderson makes 2-pt shot from 2 ft
10:52.0,D. Exum misses 3-pt shot from 23 ft,,92-80,,
10:51.0,,,92-80,,Defensive rebound by A. Rivers
10:46.0,,,92-82,2,A. Rivers makes 2-pt shot from 1 ft
10:25.0,Turnover by A. Burks (traveling),,92-82,,
10:25.0,J. Evans enters the game for T. Booker,,92-82,,
10:10.0,,,92-85,3,R. Anderson makes 3-pt shot from 25 ft (assist by J. Withey)
9:50.0,J. Ingles misses 3-pt shot from 23 ft,,92-85,,
9:49.0,Offensive rebound by E. Kanter,,92-85,,
9:46.0,E. Kanter misses 2-pt shot from 1 ft (block by J. Withey),,92-85,,
9:44.0,Offensive rebound by J. Evans,,92-85,,
9:28.0,A. Burks misses 2-pt shot from 5 ft,,92-85,,
9:26.0,Offensive rebound by Team,,92-85,,
9:13.0,Shooting foul by D. Cunningham (drawn by E. Kanter),,92-85,,
9:13.0,E. Kanter makes free throw 1 of 2,1,93-85,,
9:13.0,R. Hood enters the game for J. Ingles,,93-85,,
9:13.0,E. Kanter makes free throw 2 of 2,1,94-85,,
9:00.0,,,94-85,,A. Rivers misses 2-pt shot from 5 ft (block by D. Exum)
8:59.0,Defensive rebound by D. Exum,,94-85,,
8:56.0,Turnover by A. Burks (lost ball; steal by R. Anderson),,94-85,,
8:51.0,,,94-87,2,J. Withey makes 2-pt shot from 1 ft (assist by R. Anderson)
8:28.0,R. Hood misses 2-pt shot at rim,,94-87,,
8:27.0,Offensive rebound by E. Kanter,,94-87,,
8:27.0,E. Kanter makes 2-pt shot from 2 ft,2,96-87,,
8:13.0,,,96-89,2,A. Rivers makes 2-pt shot from 10 ft
8:13.0,,,96-89,,Shooting foul by D. Exum (drawn by A. Rivers)
8:13.0,Official timeout,,96-89,,
8:13.0,,,96-89,,T. Evans enters the game for D. Cunningham
8:13.0,,,96-89,,J. Holiday enters the game for J. Fredette
8:13.0,,,96-89,,A. Davis enters the game for J. Withey
8:13.0,R. Gobert enters the game for J. Evans,,96-89,,
8:13.0,,,96-90,1,A. Rivers makes free throw 1 of 1
8:05.0,D. Exum makes 2-pt shot from 2 ft,2,98-90,,
8:05.0,Shooting foul by J. Holiday (drawn by D. Exum),,98-90,,
8:05.0,D. Exum makes free throw 1 of 1,1,99-90,,
7:48.0,,,99-93,3,R. Anderson makes 3-pt shot from 25 ft (assist by J. Holiday)
7:28.0,A. Burks misses 2-pt shot from 2 ft,,99-93,,
7:27.0,,,99-93,,Defensive rebound by J. Holiday
7:19.0,,,99-96,3,A. Rivers makes 3-pt shot from 25 ft (assist by T. Evans)
6:52.0,A. Burks makes 3-pt shot from 26 ft (assist by R. Hood),3,102-96,,
6:31.0,,,102-96,,Turnover by J. Holiday (bad pass; steal by E. Kanter)
6:25.0,E. Kanter misses 2-pt shot from 2 ft,,102-96,,
6:24.0,,,102-96,,Defensive rebound by T. Evans
6:21.0,,,102-98,2,T. Evans makes 2-pt shot from 1 ft
6:21.0,,,102-98,,Shooting foul by D. Exum (drawn by T. Evans)
6:21.0,G. Hayward enters the game for R. Hood,,102-98,,
6:21.0,,,102-99,1,T. Evans makes free throw 1 of 1
6:06.0,Turnover by D. Exum (lost ball),,102-99,,
5:49.0,,,102-99,,R. Anderson misses 2-pt shot from 17 ft
5:48.0,,,102-99,,Offensive rebound by A. Davis
5:47.0,,,102-99,,Shooting foul by E. Kanter (drawn by A. Davis)
5:47.0,,,102-99,,New Orleans full timeout
5:47.0,T. Burke enters the game for E. Kanter,,102-99,,
5:47.0,T. Booker enters the game for D. Exum,,102-99,,
5:47.0,,,102-100,1,A. Davis makes free throw 1 of 2
5:47.0,,,102-101,1,A. Davis makes free throw 2 of 2
5:28.0,T. Booker makes 2-pt shot from 5 ft,2,104-101,,
5:10.0,,,104-101,,T. Evans misses 2-pt shot from 2 ft (block by R. Gobert)
5:10.0,Defensive rebound by Team,,104-101,,
4:52.0,A. Burks misses 2-pt shot from 20 ft,,104-101,,
4:51.0,Offensive rebound by R. Gobert,,104-101,,
4:38.0,G. Hayward misses 2-pt shot from 14 ft,,104-101,,
4:37.0,,,104-101,,Defensive rebound by A. Davis
4:25.0,,,104-101,,A. Rivers misses 2-pt shot from 10 ft
4:24.0,,,104-101,,Offensive rebound by A. Rivers
4:20.0,,,104-101,,Turnover by T. Evans (kicked ball)
3:59.0,T. Booker misses 2-pt shot from 9 ft (block by A. Davis),,104-101,,
3:59.0,Offensive rebound by Team,,104-101,,
3:59.0,E. Kanter enters the game for R. Gobert,,104-101,,
3:55.0,A. Burks misses 3-pt shot from 27 ft,,104-101,,
3:53.0,,,104-101,,Defensive rebound by J. Holiday
3:47.0,,,104-103,2,T. Evans makes 2-pt shot from 2 ft (assist by J. Holiday)
3:25.0,A. Burks misses 2-pt shot from 10 ft (block by A. Rivers),,104-103,,
3:23.0,Offensive rebound by E. Kanter,,104-103,,
3:23.0,E. Kanter misses 2-pt shot from 1 ft (block by A. Davis),,104-103,,
3:22.0,,,104-103,,Defensive rebound by J. Holiday
3:17.0,,,104-105,2,T. Evans makes 2-pt shot at rim
3:17.0,Utah full timeout,,104-105,,
2:55.0,T. Burke misses 3-pt shot from 25 ft,,104-105,,
2:54.0,,,104-105,,Defensive rebound by T. Evans
2:38.0,,,104-108,3,R. Anderson makes 3-pt shot from 26 ft (assist by T. Evans)
2:20.0,Shooting foul by J. Holiday (drawn by E. Kanter),,104-108,,
2:20.0,E. Kanter makes free throw 1 of 2,1,105-108,,
2:20.0,R. Gobert enters the game for T. Booker,,105-108,,
2:20.0,E. Kanter makes free throw 2 of 2,1,106-108,,
2:05.0,,,106-108,,T. Evans misses 2-pt shot from 2 ft
2:04.0,Defensive rebound by T. Burke,,106-108,,
1:42.0,A. Burks misses 2-pt shot from 2 ft (block by A. Davis),,106-108,,
1:40.0,,,106-108,,Defensive rebound by A. Rivers
1:37.0,,,106-108,,A. Rivers misses 2-pt shot from 1 ft
1:37.0,,,106-108,,Offensive rebound by A. Davis
1:37.0,,,106-110,2,A. Davis makes 2-pt shot from 1 ft
1:32.0,G. Hayward makes 2-pt shot from 17 ft,2,108-110,,
1:11.0,,,108-112,2,A. Davis makes 2-pt shot from 2 ft (assist by T. Evans)
1:11.0,,,108-112,,Shooting foul by R. Gobert (drawn by A. Davis)
1:11.0,T. Booker enters the game for R. Gobert,,108-112,,
1:11.0,,,108-113,1,A. Davis makes free throw 1 of 1
1:01.0,G. Hayward misses 3-pt shot from 25 ft,,108-113,,
1:01.0,Offensive rebound by T. Burke,,108-113,,
0:55.0,Shooting foul by A. Davis (drawn by A. Burks),,108-113,,
0:55.0,A. Burks makes free throw 1 of 2,1,109-113,,
0:55.0,,,109-113,,New Orleans full timeout
0:55.0,A. Burks misses free throw 2 of 2,,109-113,,
0:54.0,,,109-113,,Defensive rebound by T. Evans
0:35.0,,,109-115,2,A. Davis makes 2-pt shot at rim (assist by T. Evans)
0:29.0,Offensive foul by E. Kanter,,109-115,,
0:29.0,Turnover by E. Kanter (offensive foul),,109-115,,
0:28.0,Personal take foul by G. Hayward (drawn by T. Evans),,109-115,,
0:28.0,,,109-116,1,T. Evans makes free throw 1 of 2
0:28.0,,,109-117,1,T. Evans makes free throw 2 of 2
0:22.0,A. Burks misses 2-pt shot from 14 ft,,109-117,,
0:20.0,Offensive rebound by E. Kanter,,109-117,,
0:20.0,E. Kanter makes 2-pt shot from 1 ft,2,111-117,,
