time,Boston,pts.away,score,pts.home,Phoenix
1:53.0,G. Wallace enters the game for A. Bradley,,23-15,,
1:38.0,J. Young misses 2-pt shot from 18 ft,,23-15,,
1:36.0,,,23-15,,Defensive rebound by Team
1:23.0,,,23-17,2,M. Morris makes 2-pt shot from 16 ft
1:00.0,I. Thomas misses 3-pt shot from 25 ft,,23-17,,
0:57.0,,,23-17,,Defensive rebound by B. Wright
0:48.0,,,23-19,2,E. Barron makes 2-pt shot from 14 ft (assist by E. Bledsoe)
0:38.0,J. Crowder makes 3-pt shot from 24 ft (assist by I. Thomas),3,26-19,,
0:33.0,,,26-19,,E. Bledsoe misses 2-pt shot from 16 ft
0:31.0,,,26-19,,Offensive rebound by Team
0:15.0,,,26-19,,M. Morris misses 3-pt shot from 25 ft
0:13.0,,,26-19,,Offensive rebound by E. Barron
0:02.0,,,26-19,,A. Goodwin misses 2-pt shot from 2 ft
0:01.0,,,26-19,,Offensive rebound by E. Bledsoe
0:01.0,,,26-21,2,E. Bledsoe makes 2-pt shot at rim
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:39.0,J. Crowder makes 3-pt shot from 24 ft (assist by I. Thomas),3,29-21,,
11:15.0,,,29-24,3,M. Morris makes 3-pt shot from 24 ft (assist by B. Knight)
10:54.0,G. Wallace misses 2-pt shot from 21 ft,,29-24,,
10:52.0,,,29-24,,Defensive rebound by M. Morris
10:49.0,,,29-24,,B. Wright misses 2-pt shot from 1 ft
10:46.0,Defensive rebound by J. Young,,29-24,,
10:38.0,B. Bass makes 2-pt shot at rim (assist by I. Thomas),2,31-24,,
10:19.0,,,31-26,2,B. Wright makes 2-pt shot at rim (assist by E. Barron)
9:58.0,Shooting foul by E. Barron (drawn by B. Bass),,31-26,,
9:58.0,B. Bass makes free throw 1 of 2,1,32-26,,
9:58.0,,,32-26,,T. Warren enters the game for E. Barron
9:58.0,B. Bass makes free throw 2 of 2,1,33-26,,
9:47.0,,,33-26,,Turnover by B. Knight (bad pass; steal by J. Crowder)
9:45.0,I. Thomas makes 2-pt shot at rim (assist by J. Crowder),2,35-26,,
9:45.0,Shooting foul by B. Knight (drawn by I. Thomas),,35-26,,
9:45.0,I. Thomas makes free throw 1 of 1,1,36-26,,
9:32.0,,,36-28,2,A. Goodwin makes 2-pt shot from 2 ft
9:17.0,B. Bass makes 2-pt shot at rim (assist by I. Thomas),2,38-28,,
8:55.0,,,38-31,3,B. Knight makes 3-pt shot from 24 ft (assist by M. Morris)
8:32.0,G. Wallace makes 3-pt shot from 23 ft (assist by J. Crowder),3,41-31,,
8:23.0,,,41-31,,Turnover by B. Knight (bad pass; steal by B. Bass)
8:19.0,J. Young makes 2-pt shot from 1 ft (assist by J. Crowder),2,43-31,,
8:00.0,,,43-31,,Shooting foul by B. Bass (drawn by B. Wright)
8:00.0,Official timeout,,43-31,,
8:00.0,,,43-31,,E. Bledsoe enters the game for B. Knight
8:00.0,,,43-31,,M. Thornton enters the game for A. Goodwin
8:00.0,,,43-32,1,B. Wright makes free throw 1 of 2
8:00.0,,,43-33,1,B. Wright makes free throw 2 of 2
7:43.0,J. Crowder makes 3-pt shot from 25 ft (assist by B. Bass),3,46-33,,
7:31.0,,,46-33,,M. Thornton misses 3-pt shot from 24 ft
7:28.0,Defensive rebound by J. Crowder,,46-33,,
7:21.0,Turnover by I. Thomas (bad pass; steal by M. Morris),,46-33,,
7:15.0,,,46-33,,Turnover by M. Morris (bad pass; steal by J. Crowder)
7:03.0,I. Thomas makes 3-pt shot from 25 ft (assist by G. Wallace),3,49-33,,
6:47.0,,,49-35,2,B. Wright makes 2-pt shot at rim (assist by E. Bledsoe)
6:45.0,,,49-35,,Violation by Team (delay of game)
6:33.0,I. Thomas makes 3-pt shot from 25 ft,3,52-35,,
6:19.0,,,52-35,,T. Warren misses 2-pt shot from 3 ft
6:17.0,,,52-35,,Offensive rebound by T. Warren
6:17.0,,,52-37,2,T. Warren makes 2-pt shot from 3 ft
6:00.0,J. Young makes 3-pt shot from 24 ft (assist by I. Thomas),3,55-37,,
5:40.0,,,55-39,2,M. Thornton makes 2-pt shot from 1 ft (assist by B. Wright)
5:26.0,I. Thomas misses 3-pt shot from 24 ft,,55-39,,
5:24.0,Offensive rebound by J. Young,,55-39,,
5:24.0,Shooting foul by T. Warren (drawn by J. Young),,55-39,,
5:24.0,,,55-39,,Technical foul by Team
5:24.0,,,55-39,,Phoenix full timeout
5:24.0,,,55-39,,P. Tucker enters the game for M. Morris
5:24.0,,,55-39,,M. Morris enters the game for B. Wright
5:24.0,T. Zeller enters the game for B. Bass,,55-39,,
5:24.0,M. Smart enters the game for J. Crowder,,55-39,,
5:24.0,I. Thomas makes technical free throw,1,56-39,,
5:24.0,J. Young makes free throw 1 of 2,1,57-39,,
5:24.0,J. Young misses free throw 2 of 2,,57-39,,
5:24.0,,,57-39,,Defensive rebound by P. Tucker
5:13.0,,,57-41,2,T. Warren makes 2-pt shot from 1 ft (assist by E. Bledsoe)
4:53.0,T. Zeller makes 2-pt shot from 11 ft (assist by J. Young),2,59-41,,
4:53.0,Shooting foul by M. Morris (drawn by T. Zeller),,59-41,,
4:53.0,,,59-41,,A. Len enters the game for T. Warren
4:53.0,T. Zeller makes free throw 1 of 1,1,60-41,,
4:39.0,,,60-43,2,E. Bledsoe makes 2-pt shot from 3 ft
4:26.0,G. Wallace misses 2-pt shot from 22 ft,,60-43,,
4:24.0,,,60-43,,Defensive rebound by A. Len
4:12.0,,,60-43,,A. Len misses 2-pt shot from 14 ft
4:10.0,Defensive rebound by G. Wallace,,60-43,,
3:58.0,Turnover by G. Wallace (step out of bounds),,60-43,,
3:50.0,Shooting block foul by T. Zeller (drawn by E. Bledsoe),,60-43,,
3:50.0,,,60-44,1,E. Bledsoe makes free throw 1 of 2
3:50.0,A. Bradley enters the game for J. Young,,60-44,,
3:50.0,B. Bass enters the game for G. Wallace,,60-44,,
3:50.0,,,60-45,1,E. Bledsoe makes free throw 2 of 2
3:28.0,I. Thomas misses 2-pt shot from 1 ft,,60-45,,
3:26.0,,,60-45,,Defensive rebound by A. Len
3:24.0,,,60-45,,Shooting foul by A. Bradley (drawn by M. Thornton)
3:24.0,,,60-45,,M. Thornton misses free throw 1 of 2
3:24.0,,,60-45,,Offensive rebound by Team
3:24.0,,,60-46,1,M. Thornton makes free throw 2 of 2
3:11.0,T. Zeller makes 2-pt shot from 2 ft (assist by I. Thomas),2,62-46,,
2:58.0,,,62-46,,Turnover by E. Bledsoe (lost ball; steal by A. Bradley)
2:54.0,A. Bradley misses 2-pt shot from 1 ft (block by E. Bledsoe),,62-46,,
2:52.0,Offensive rebound by B. Bass,,62-46,,
2:52.0,B. Bass makes 2-pt shot at rim,2,64-46,,
2:36.0,Boston full timeout,,64-46,,
2:36.0,E. Turner enters the game for I. Thomas,,64-46,,
2:33.0,,,64-46,,M. Thornton misses 3-pt shot from 23 ft
2:31.0,Defensive rebound by E. Turner,,64-46,,
2:10.0,A. Bradley misses 2-pt shot from 18 ft,,64-46,,
2:10.0,Offensive rebound by Team,,64-46,,
2:10.0,,,64-46,,Loose ball foul by P. Tucker (drawn by B. Bass)
2:10.0,B. Bass misses free throw 1 of 2,,64-46,,
2:10.0,Offensive rebound by Team,,64-46,,
2:10.0,B. Bass makes free throw 2 of 2,1,65-46,,
1:52.0,,,65-48,2,M. Morris makes 2-pt shot from 8 ft
1:32.0,T. Zeller misses 2-pt shot from 7 ft,,65-48,,
1:30.0,,,65-48,,Defensive rebound by P. Tucker
1:23.0,,,65-48,,M. Thornton misses 2-pt shot from 2 ft
1:20.0,Defensive rebound by T. Zeller,,65-48,,
1:15.0,M. Smart misses 3-pt shot from 25 ft,,65-48,,
1:13.0,Offensive rebound by E. Turner,,65-48,,
1:08.0,A. Bradley misses 2-pt shot from 20 ft,,65-48,,
1:07.0,,,65-48,,Defensive rebound by P. Tucker
0:59.0,,,65-48,,M. Thornton misses 3-pt shot from 25 ft
0:57.0,,,65-48,,Offensive rebound by A. Len
0:51.0,Personal block foul by M. Smart (drawn by E. Bledsoe),,65-48,,
0:39.0,,,65-50,2,M. Morris makes 2-pt shot from 13 ft
0:21.0,B. Bass makes 2-pt shot from 4 ft,2,67-50,,
0:04.0,,,67-50,,Turnover by M. Thornton (traveling)
0:04.0,I. Thomas enters the game for B. Bass,,67-50,,
0:04.0,,,67-50,,M. Morris enters the game for M. Morris
0:00.0,I. Thomas misses 3-pt shot from 26 ft,,67-50,,
0:00.0,Offensive rebound by Team,,67-50,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:42.0,T. Zeller misses 2-pt shot from 8 ft,,67-50,,
11:40.0,,,67-50,,Defensive rebound by A. Len
11:30.0,,,67-50,,Shooting foul by A. Bradley (drawn by E. Bledsoe)
11:30.0,,,67-50,,E. Bledsoe misses free throw 1 of 2
11:30.0,,,67-50,,Offensive rebound by Team
11:30.0,,,67-51,1,E. Bledsoe makes free throw 2 of 2
11:18.0,T. Zeller misses 2-pt shot from 3 ft,,67-51,,
11:16.0,,,67-51,,Defensive rebound by P. Tucker
11:15.0,,,67-51,,Turnover by P. Tucker (bad pass; steal by A. Bradley)
11:07.0,T. Zeller misses 2-pt shot at rim (block by A. Len),,67-51,,
11:04.0,,,67-51,,Defensive rebound by A. Len
11:01.0,,,67-53,2,A. Len makes 2-pt shot at rim (assist by E. Bledsoe)
10:49.0,M. Smart makes 2-pt shot from 7 ft,2,69-53,,
10:35.0,,,69-53,,P. Tucker misses 3-pt shot from 22 ft
10:33.0,Defensive rebound by B. Bass,,69-53,,
10:12.0,M. Smart misses 3-pt shot from 23 ft,,69-53,,
10:10.0,Offensive rebound by B. Bass,,69-53,,
10:08.0,A. Bradley makes 2-pt shot from 1 ft (assist by B. Bass),2,71-53,,
10:02.0,,,71-55,2,B. Knight makes 2-pt shot from 5 ft (assist by M. Morris)
9:44.0,A. Bradley misses 2-pt shot from 2 ft (block by A. Len),,71-55,,
9:43.0,Offensive rebound by Team,,71-55,,
9:41.0,T. Zeller makes 2-pt shot from 15 ft (assist by E. Turner),2,73-55,,
9:22.0,,,73-55,,Turnover by P. Tucker (bad pass; steal by A. Bradley)
9:19.0,E. Turner makes 2-pt shot at rim (assist by A. Bradley),2,75-55,,
9:09.0,,,75-57,2,P. Tucker makes 2-pt shot from 2 ft (assist by E. Bledsoe)
8:52.0,,,75-57,,Personal foul by B. Knight (drawn by A. Bradley)
8:41.0,Turnover by B. Bass (bad pass; steal by P. Tucker),,75-57,,
8:36.0,,,75-59,2,P. Tucker makes 2-pt shot from 1 ft
8:16.0,Turnover by A. Bradley (bad pass; steal by M. Morris),,75-59,,
8:10.0,,,75-62,3,B. Knight makes 3-pt shot from 23 ft (assist by M. Morris)
7:51.0,T. Zeller makes 2-pt shot from 17 ft (assist by A. Bradley),2,77-62,,
7:40.0,,,77-62,,B. Knight misses 3-pt shot from 25 ft
7:36.0,Defensive rebound by T. Zeller,,77-62,,
7:30.0,M. Smart misses 2-pt shot from 5 ft,,77-62,,
7:28.0,,,77-62,,Defensive rebound by A. Len
7:22.0,,,77-64,2,E. Bledsoe makes 2-pt shot from 2 ft
7:21.0,Boston full timeout,,77-64,,
6:58.0,M. Smart misses 3-pt shot from 24 ft,,77-64,,
6:55.0,,,77-64,,Defensive rebound by M. Morris
6:45.0,,,77-67,3,B. Knight makes 3-pt shot from 23 ft (assist by M. Morris)
6:29.0,B. Bass misses 2-pt shot from 18 ft,,77-67,,
6:27.0,,,77-67,,Defensive rebound by P. Tucker
6:20.0,,,77-67,,E. Bledsoe misses 3-pt shot from 24 ft
6:20.0,Defensive rebound by Team,,77-67,,
6:20.0,,,77-67,,Loose ball foul by A. Len (drawn by T. Zeller)
6:20.0,I. Thomas enters the game for M. Smart,,77-67,,
6:20.0,J. Crowder enters the game for B. Bass,,77-67,,
6:00.0,T. Zeller misses 2-pt shot from 1 ft,,77-67,,
5:58.0,,,77-67,,Defensive rebound by M. Morris
5:56.0,,,77-67,,Shooting foul by E. Turner (drawn by P. Tucker)
5:56.0,,,77-68,1,P. Tucker makes free throw 1 of 2
5:56.0,,,77-69,1,P. Tucker makes free throw 2 of 2
5:46.0,Turnover by T. Zeller (lost ball; steal by E. Bledsoe),,77-69,,
5:43.0,,,77-71,2,A. Len makes 2-pt shot at rim
5:26.0,J. Crowder misses 3-pt shot from 25 ft,,77-71,,
5:24.0,Offensive rebound by A. Bradley,,77-71,,
5:19.0,A. Bradley makes 2-pt shot from 1 ft,2,79-71,,
5:03.0,,,79-71,,E. Bledsoe misses 3-pt shot from 23 ft
5:01.0,Defensive rebound by A. Bradley,,79-71,,
4:56.0,A. Bradley misses 2-pt shot from 13 ft,,79-71,,
4:53.0,,,79-71,,Defensive rebound by M. Morris
4:48.0,,,79-71,,E. Bledsoe misses 2-pt shot from 2 ft (block by T. Zeller)
4:44.0,Defensive rebound by E. Turner,,79-71,,
4:40.0,I. Thomas makes 2-pt shot from 18 ft (assist by A. Bradley),2,81-71,,
4:40.0,,,81-71,,Phoenix full timeout
4:40.0,,,81-71,,A. Goodwin enters the game for E. Bledsoe
4:19.0,,,81-71,,M. Morris misses 3-pt shot from 24 ft
4:17.0,,,81-71,,Offensive rebound by P. Tucker
4:14.0,,,81-71,,P. Tucker misses 2-pt shot from 7 ft
4:13.0,Defensive rebound by Team,,81-71,,
3:59.0,,,81-71,,Personal block foul by M. Morris (drawn by I. Thomas)
3:47.0,T. Zeller misses 2-pt shot from 2 ft (block by A. Len),,81-71,,
3:46.0,,,81-71,,Defensive rebound by Team
3:40.0,,,81-71,,B. Knight misses 3-pt shot from 28 ft
3:37.0,Defensive rebound by E. Turner,,81-71,,
3:29.0,E. Turner makes 2-pt shot from 9 ft,2,83-71,,
3:15.0,,,83-71,,A. Goodwin misses 2-pt shot from 1 ft
3:13.0,,,83-71,,Offensive rebound by A. Goodwin
3:13.0,,,83-71,,A. Goodwin misses 2-pt shot from 1 ft
3:11.0,Defensive rebound by J. Crowder,,83-71,,
3:06.0,I. Thomas misses 3-pt shot from 26 ft,,83-71,,
3:03.0,,,83-71,,Defensive rebound by A. Len
2:50.0,,,83-71,,A. Goodwin misses 2-pt shot from 3 ft
2:48.0,,,83-71,,Offensive rebound by A. Goodwin
2:48.0,,,83-71,,A. Goodwin misses 2-pt shot from 2 ft
2:47.0,,,83-71,,Offensive rebound by A. Goodwin
2:47.0,,,83-71,,Shooting foul by I. Thomas (drawn by A. Goodwin)
2:47.0,,,83-72,1,A. Goodwin makes free throw 1 of 2
2:47.0,,,83-72,,M. Morris enters the game for M. Morris
2:47.0,J. Young enters the game for A. Bradley,,83-72,,
2:47.0,,,83-72,,A. Goodwin misses free throw 2 of 2
2:46.0,Defensive rebound by I. Thomas,,83-72,,
2:27.0,Turnover by E. Turner (bad pass),,83-72,,
2:14.0,,,83-72,,M. Morris misses 3-pt shot from 25 ft
2:12.0,,,83-72,,Offensive rebound by P. Tucker
2:03.0,,,83-72,,B. Knight misses 2-pt shot from 8 ft
1:59.0,Defensive rebound by J. Crowder,,83-72,,
1:55.0,Shooting foul by M. Morris (drawn by T. Zeller),,83-72,,
1:55.0,T. Zeller misses free throw 1 of 2,,83-72,,
1:55.0,Offensive rebound by Team,,83-72,,
1:55.0,,,83-72,,B. Wright enters the game for A. Len
1:55.0,T. Zeller makes free throw 2 of 2,1,84-72,,
1:37.0,,,84-72,,B. Knight misses 2-pt shot from 21 ft
1:36.0,,,84-72,,Offensive rebound by B. Wright
1:32.0,,,84-72,,M. Morris misses 2-pt shot from 2 ft
1:31.0,,,84-72,,Offensive rebound by A. Goodwin
1:30.0,,,84-74,2,A. Goodwin makes 2-pt shot from 2 ft
1:11.0,I. Thomas misses 2-pt shot from 4 ft,,84-74,,
1:07.0,Offensive rebound by T. Zeller,,84-74,,
1:07.0,T. Zeller makes 2-pt shot from 1 ft,2,86-74,,
0:51.0,,,86-76,2,A. Goodwin makes 2-pt shot from 1 ft (assist by B. Knight)
0:36.0,E. Turner misses 2-pt shot from 5 ft,,86-76,,
0:34.0,,,86-76,,Defensive rebound by M. Morris
0:11.0,,,86-76,,B. Knight misses 2-pt shot from 5 ft
0:10.0,,,86-76,,Offensive rebound by B. Wright
0:10.0,,,86-78,2,B. Wright makes 2-pt shot from 1 ft
0:10.0,,,86-78,,Shooting foul by J. Young (drawn by B. Wright)
0:10.0,,,86-79,1,B. Wright makes free throw 1 of 1
0:02.0,E. Turner makes 3-pt shot from 24 ft (assist by J. Crowder),3,89-79,,
0:00.0,,,89-79,,A. Goodwin misses 3-pt shot from 63 ft
0:00.0,,,89-79,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:41.0,,,89-79,,M. Morris misses 2-pt shot from 15 ft
11:38.0,Defensive rebound by J. Crowder,,89-79,,
11:25.0,Shooting foul by A. Goodwin (drawn by J. Young),,89-79,,
11:25.0,J. Young makes free throw 1 of 2,1,90-79,,
11:25.0,J. Young makes free throw 2 of 2,1,91-79,,
11:12.0,,,91-79,,M. Morris misses 3-pt shot from 24 ft
11:10.0,Defensive rebound by J. Crowder,,91-79,,
10:56.0,Turnover by I. Thomas (bad pass; steal by M. Morris),,91-79,,
10:50.0,,,91-81,2,B. Knight makes 2-pt shot at rim (assist by A. Goodwin)
10:39.0,Offensive foul by G. Wallace,,91-81,,
10:39.0,Turnover by G. Wallace (offensive foul),,91-81,,
10:39.0,,,91-81,,T. Warren enters the game for A. Goodwin
10:25.0,,,91-81,,E. Bledsoe misses 3-pt shot from 24 ft
10:23.0,Defensive rebound by J. Young,,91-81,,
10:15.0,,,91-81,,Personal foul by B. Knight (drawn by I. Thomas)
10:10.0,Turnover by I. Thomas (bad pass),,91-81,,
10:00.0,,,91-83,2,T. Warren makes 2-pt shot at rim (assist by B. Knight)
9:41.0,Turnover by I. Thomas (bad pass),,91-83,,
9:41.0,M. Smart enters the game for I. Thomas,,91-83,,
9:33.0,,,91-83,,B. Knight misses 3-pt shot from 24 ft
9:31.0,Defensive rebound by B. Bass,,91-83,,
9:24.0,Shooting foul by B. Wright (drawn by B. Bass),,91-83,,
9:24.0,B. Bass makes free throw 1 of 2,1,92-83,,
9:24.0,,,92-83,,P. Tucker enters the game for B. Knight
9:24.0,B. Bass misses free throw 2 of 2,,92-83,,
9:22.0,,,92-83,,Defensive rebound by B. Wright
9:14.0,,,92-85,2,P. Tucker makes 2-pt shot from 1 ft
8:54.0,B. Bass makes 2-pt shot from 5 ft,2,94-85,,
8:44.0,,,94-85,,E. Bledsoe misses 2-pt shot from 19 ft
8:43.0,Defensive rebound by J. Young,,94-85,,
8:37.0,J. Crowder misses 3-pt shot from 24 ft,,94-85,,
8:36.0,,,94-85,,Defensive rebound by Team
8:36.0,Personal foul by J. Young (drawn by M. Morris),,94-85,,
8:36.0,Official timeout,,94-85,,
8:24.0,,,94-85,,E. Bledsoe misses 2-pt shot from 16 ft
8:20.0,Defensive rebound by G. Wallace,,94-85,,
8:06.0,J. Crowder misses 3-pt shot from 25 ft,,94-85,,
8:04.0,,,94-85,,Defensive rebound by E. Bledsoe
7:56.0,,,94-87,2,T. Warren makes 2-pt shot from 2 ft (assist by E. Bledsoe)
7:33.0,B. Bass misses 2-pt shot from 6 ft,,94-87,,
7:31.0,Offensive rebound by G. Wallace,,94-87,,
7:31.0,G. Wallace misses 2-pt shot from 1 ft,,94-87,,
7:29.0,,,94-87,,Defensive rebound by T. Warren
7:25.0,,,94-87,,E. Bledsoe misses 2-pt shot from 1 ft
7:24.0,,,94-87,,Offensive rebound by E. Bledsoe
7:24.0,,,94-87,,E. Bledsoe misses 2-pt shot from 1 ft
7:22.0,Defensive rebound by J. Young,,94-87,,
7:10.0,J. Crowder misses 2-pt shot from 1 ft,,94-87,,
7:09.0,,,94-87,,Defensive rebound by E. Bledsoe
7:04.0,Shooting block foul by B. Bass (drawn by P. Tucker),,94-87,,
7:04.0,,,94-88,1,P. Tucker makes free throw 1 of 2
7:04.0,,,94-88,,A. Len enters the game for M. Morris
7:04.0,,,94-88,,M. Morris enters the game for B. Wright
7:04.0,,,94-88,,B. Knight enters the game for T. Warren
7:04.0,T. Zeller enters the game for B. Bass,,94-88,,
7:04.0,E. Turner enters the game for G. Wallace,,94-88,,
7:04.0,,,94-89,1,P. Tucker makes free throw 2 of 2
6:54.0,J. Crowder misses 2-pt shot from 4 ft (block by A. Len),,94-89,,
6:52.0,,,94-89,,Defensive rebound by A. Len
6:47.0,,,94-89,,Offensive charge foul by P. Tucker
6:47.0,,,94-89,,Turnover by P. Tucker (offensive foul)
6:33.0,E. Turner misses 2-pt shot from 18 ft,,94-89,,
6:31.0,,,94-89,,Defensive rebound by E. Bledsoe
6:21.0,,,94-91,2,B. Knight makes 2-pt shot from 15 ft (assist by M. Morris)
6:12.0,Boston full timeout,,94-91,,
6:12.0,A. Bradley enters the game for J. Young,,94-91,,
6:04.0,J. Crowder misses 2-pt shot from 2 ft,,94-91,,
6:02.0,,,94-91,,Defensive rebound by P. Tucker
5:54.0,,,94-91,,B. Knight misses 3-pt shot from 23 ft
5:53.0,Defensive rebound by T. Zeller,,94-91,,
5:39.0,J. Crowder makes 3-pt shot from 24 ft (assist by M. Smart),3,97-91,,
5:23.0,,,97-94,3,B. Knight makes 3-pt shot from 25 ft (assist by E. Bledsoe)
5:04.0,M. Smart misses 2-pt shot from 19 ft,,97-94,,
5:01.0,,,97-94,,Defensive rebound by E. Bledsoe
4:57.0,,,97-94,,Offensive charge foul by E. Bledsoe
4:57.0,,,97-94,,Turnover by E. Bledsoe (offensive foul)
4:39.0,A. Bradley misses 3-pt shot from 22 ft,,97-94,,
4:38.0,Offensive rebound by Team,,97-94,,
4:38.0,,,97-94,,Loose ball foul by A. Len (drawn by T. Zeller)
4:38.0,I. Thomas enters the game for M. Smart,,97-94,,
4:23.0,E. Turner misses 2-pt shot from 16 ft,,97-94,,
4:22.0,,,97-94,,Defensive rebound by Team
4:08.0,,,97-94,,B. Knight misses 3-pt shot from 27 ft
4:06.0,Defensive rebound by A. Bradley,,97-94,,
3:52.0,Turnover by I. Thomas (lost ball; steal by P. Tucker),,97-94,,
3:48.0,,,97-94,,P. Tucker misses 2-pt shot at rim
