time,Portland,pts.away,score,pts.home,Washington
4:35.0,L. Aldridge misses 2-pt shot from 13 ft,,10-16,,
4:34.0,,,10-16,,Defensive rebound by J. Wall
4:31.0,Shooting block foul by N. Batum (drawn by P. Pierce),,10-16,,
4:31.0,,,10-17,1,P. Pierce makes free throw 1 of 2
4:31.0,,,10-17,,D. Gooden enters the game for N. Hilario
4:31.0,,,10-17,,R. Butler enters the game for B. Beal
4:31.0,,,10-18,1,P. Pierce makes free throw 2 of 2
4:17.0,D. Lillard makes 2-pt shot from 20 ft (assist by L. Aldridge),2,12-18,,
3:58.0,,,12-18,,Turnover by P. Pierce (bad pass; steal by C. McCollum)
3:43.0,C. Kaman misses 2-pt shot from 1 ft,,12-18,,
3:42.0,Offensive rebound by C. Kaman,,12-18,,
3:40.0,C. Kaman makes 2-pt shot at rim,2,14-18,,
3:19.0,,,14-20,2,M. Gortat makes 2-pt shot from 11 ft
3:03.0,,,14-20,,R. Sessions enters the game for P. Pierce
3:02.0,D. Lillard misses 2-pt shot from 1 ft,,14-20,,
3:01.0,Offensive rebound by C. Kaman,,14-20,,
2:58.0,C. Kaman makes 2-pt shot at rim,2,16-20,,
2:42.0,,,16-22,2,D. Gooden makes 2-pt shot from 21 ft
2:27.0,Turnover by C. Kaman (traveling),,16-22,,
2:27.0,,,16-22,,Washington full timeout
2:27.0,S. Blake enters the game for D. Lillard,,16-22,,
2:27.0,D. Wright enters the game for N. Batum,,16-22,,
2:06.0,,,16-22,,R. Butler misses 2-pt shot from 20 ft
2:05.0,Defensive rebound by L. Aldridge,,16-22,,
1:41.0,D. Wright misses 2-pt shot from 20 ft,,16-22,,
1:40.0,Offensive rebound by Team,,16-22,,
1:35.0,C. Kaman makes 2-pt shot from 4 ft (assist by C. McCollum),2,18-22,,
1:19.0,,,18-24,2,M. Gortat makes 2-pt shot from 1 ft (assist by J. Wall)
0:56.0,L. Aldridge misses 2-pt shot from 1 ft,,18-24,,
0:55.0,Offensive rebound by L. Aldridge,,18-24,,
0:54.0,L. Aldridge misses 2-pt shot from 2 ft,,18-24,,
0:54.0,Offensive rebound by L. Aldridge,,18-24,,
0:54.0,L. Aldridge makes 2-pt shot from 2 ft,2,20-24,,
0:39.0,,,20-24,,J. Wall misses 2-pt shot from 14 ft
0:38.0,Defensive rebound by S. Blake,,20-24,,
0:31.0,C. McCollum misses 3-pt shot from 28 ft,,20-24,,
0:30.0,Offensive rebound by L. Aldridge,,20-24,,
0:18.0,D. Wright misses 3-pt shot from 26 ft,,20-24,,
0:16.0,,,20-24,,Defensive rebound by M. Gortat
0:12.0,,,20-26,2,J. Wall makes 2-pt shot from 1 ft
0:12.0,,,20-26,,Shooting foul by D. Wright (drawn by J. Wall)
0:12.0,,,20-26,,K. Seraphin enters the game for M. Gortat
0:12.0,,,20-27,1,J. Wall makes free throw 1 of 1
0:04.0,,,20-27,,Personal take foul by R. Sessions (drawn by C. McCollum)
0:02.0,C. Kaman misses 2-pt shot from 17 ft,,20-27,,
0:00.0,,,20-27,,Defensive rebound by R. Butler
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:40.0,C. Kaman makes 2-pt shot from 5 ft,2,22-27,,
11:20.0,,,22-29,2,D. Gooden makes 2-pt shot from 20 ft (assist by B. Beal)
10:59.0,C. McCollum misses 2-pt shot from 6 ft,,22-29,,
10:58.0,,,22-29,,Defensive rebound by R. Sessions
10:53.0,,,22-31,2,R. Butler makes 2-pt shot at rim (assist by R. Sessions)
10:40.0,M. Leonard misses 3-pt shot from 26 ft,,22-31,,
10:39.0,,,22-31,,Defensive rebound by K. Seraphin
10:26.0,,,22-31,,D. Gooden misses 2-pt shot from 6 ft
10:25.0,Defensive rebound by M. Leonard,,22-31,,
10:07.0,S. Blake misses 3-pt shot from 25 ft,,22-31,,
10:06.0,,,22-31,,Defensive rebound by K. Seraphin
10:03.0,Shooting block foul by D. Wright (drawn by R. Sessions),,22-31,,
10:03.0,,,22-32,1,R. Sessions makes free throw 1 of 2
10:03.0,D. Lillard enters the game for C. McCollum,,22-32,,
10:03.0,A. Afflalo enters the game for S. Blake,,22-32,,
10:03.0,,,22-33,1,R. Sessions makes free throw 2 of 2
9:51.0,D. Lillard misses 2-pt shot from 18 ft,,22-33,,
9:50.0,,,22-33,,Defensive rebound by R. Sessions
9:37.0,,,22-33,,R. Butler misses 2-pt shot from 1 ft
9:35.0,,,22-33,,Offensive rebound by D. Gooden
9:34.0,,,22-33,,D. Gooden misses 2-pt shot from 2 ft
9:33.0,Defensive rebound by M. Leonard,,22-33,,
9:17.0,C. Kaman misses 2-pt shot from 19 ft,,22-33,,
9:16.0,,,22-33,,Defensive rebound by R. Sessions
9:03.0,,,22-36,3,B. Beal makes 3-pt shot from 26 ft
9:00.0,Portland full timeout,,22-36,,
9:00.0,R. Lopez enters the game for C. Kaman,,22-36,,
9:00.0,N. Batum enters the game for D. Wright,,22-36,,
8:36.0,D. Lillard misses 2-pt shot from 5 ft,,22-36,,
8:35.0,,,22-36,,Defensive rebound by B. Beal
8:21.0,,,22-36,,Shooting foul by A. Afflalo (drawn by B. Beal)
8:21.0,,,22-36,,B. Beal misses free throw 1 of 2
8:21.0,,,22-36,,Offensive rebound by Team
8:21.0,,,22-37,1,B. Beal makes free throw 2 of 2
8:08.0,R. Lopez makes 2-pt shot at rim (assist by N. Batum),2,24-37,,
7:53.0,,,24-39,2,D. Gooden makes 2-pt shot from 20 ft (assist by R. Sessions)
7:40.0,M. Leonard misses 2-pt shot from 20 ft,,24-39,,
7:39.0,,,24-39,,Defensive rebound by R. Sessions
7:31.0,,,24-42,3,D. Gooden makes 3-pt shot from 23 ft (assist by R. Sessions)
7:13.0,A. Afflalo makes 2-pt shot from 1 ft (assist by N. Batum),2,26-42,,
7:13.0,Shooting foul by K. Seraphin (drawn by A. Afflalo),,26-42,,
7:13.0,L. Aldridge enters the game for M. Leonard,,26-42,,
7:13.0,A. Afflalo makes free throw 1 of 1,1,27-42,,
6:57.0,,,27-44,2,R. Butler makes 2-pt shot from 4 ft
6:46.0,N. Batum makes 3-pt shot from 26 ft (assist by D. Lillard),3,30-44,,
6:25.0,,,30-44,,K. Seraphin misses 2-pt shot from 8 ft
6:24.0,Defensive rebound by N. Batum,,30-44,,
6:15.0,Shooting foul by K. Seraphin (drawn by R. Lopez),,30-44,,
6:15.0,R. Lopez misses free throw 1 of 2,,30-44,,
6:15.0,Offensive rebound by Team,,30-44,,
6:15.0,,,30-44,,N. Hilario enters the game for K. Seraphin
6:15.0,R. Lopez makes free throw 2 of 2,1,31-44,,
6:01.0,,,31-46,2,N. Hilario makes 2-pt shot from 2 ft
5:42.0,N. Batum misses 3-pt shot from 25 ft,,31-46,,
5:41.0,,,31-46,,Defensive rebound by N. Hilario
5:36.0,,,31-46,,Shooting foul by A. Afflalo (drawn by R. Sessions)
5:36.0,Official timeout,,31-46,,
5:36.0,,,31-46,,M. Gortat enters the game for D. Gooden
5:36.0,C. McCollum enters the game for A. Afflalo,,31-46,,
5:36.0,,,31-46,,R. Sessions misses free throw 1 of 2
5:36.0,,,31-46,,Offensive rebound by Team
5:36.0,,,31-47,1,R. Sessions makes free throw 2 of 2
5:23.0,R. Lopez makes 2-pt shot at rim (assist by N. Batum),2,33-47,,
5:23.0,Shooting foul by B. Beal (drawn by R. Lopez),,33-47,,
5:23.0,,,33-47,,J. Wall enters the game for R. Sessions
5:23.0,R. Lopez makes free throw 1 of 1,1,34-47,,
5:07.0,,,34-47,,B. Beal misses 2-pt shot from 17 ft
5:06.0,Defensive rebound by L. Aldridge,,34-47,,
4:57.0,Shooting foul by N. Hilario (drawn by L. Aldridge),,34-47,,
4:57.0,L. Aldridge makes free throw 1 of 2,1,35-47,,
4:57.0,,,35-47,,P. Pierce enters the game for R. Butler
4:57.0,L. Aldridge misses free throw 2 of 2,,35-47,,
4:56.0,,,35-47,,Defensive rebound by N. Hilario
4:41.0,,,35-47,,Shooting foul by R. Lopez (drawn by N. Hilario)
4:41.0,,,35-47,,N. Hilario misses free throw 1 of 2
4:41.0,,,35-47,,Offensive rebound by Team
4:41.0,,,35-47,,N. Hilario misses free throw 2 of 2
4:40.0,Defensive rebound by R. Lopez,,35-47,,
4:34.0,D. Lillard makes 2-pt shot at rim,2,37-47,,
4:13.0,,,37-47,,P. Pierce misses 2-pt shot from 7 ft
4:12.0,Defensive rebound by R. Lopez,,37-47,,
3:54.0,N. Batum misses 3-pt shot from 27 ft,,37-47,,
3:53.0,,,37-47,,Defensive rebound by P. Pierce
3:42.0,,,37-47,,P. Pierce misses 3-pt shot from 25 ft
3:41.0,,,37-47,,Offensive rebound by M. Gortat
3:40.0,,,37-49,2,M. Gortat makes 2-pt shot from 1 ft
3:23.0,Turnover by N. Batum (bad pass),,37-49,,
3:09.0,,,37-49,,J. Wall misses 2-pt shot from 13 ft (block by D. Lillard)
3:08.0,Defensive rebound by N. Batum,,37-49,,
3:00.0,N. Batum makes 3-pt shot from 25 ft (assist by L. Aldridge),3,40-49,,
2:52.0,,,40-49,,Washington full timeout
2:52.0,S. Blake enters the game for C. McCollum,,40-49,,
2:41.0,,,40-51,2,B. Beal makes 2-pt shot at rim (assist by N. Hilario)
2:41.0,,,40-51,,Shooting foul by S. Blake (drawn by B. Beal)
2:41.0,,,40-51,,D. Gooden enters the game for N. Hilario
2:41.0,,,40-51,,B. Beal misses free throw 1 of 1
2:40.0,,,40-51,,Offensive rebound by B. Beal
2:31.0,,,40-54,3,B. Beal makes 3-pt shot from 25 ft (assist by J. Wall)
2:12.0,D. Lillard misses 3-pt shot from 26 ft,,40-54,,
2:11.0,,,40-54,,Defensive rebound by P. Pierce
2:04.0,,,40-54,,Shooting foul by R. Lopez (drawn by P. Pierce)
2:04.0,,,40-55,1,P. Pierce makes free throw 1 of 2
2:04.0,,,40-55,,P. Pierce misses free throw 2 of 2
2:03.0,Defensive rebound by N. Batum,,40-55,,
1:55.0,Turnover by R. Lopez (lost ball; steal by P. Pierce),,40-55,,
1:42.0,,,40-58,3,P. Pierce makes 3-pt shot from 26 ft (assist by D. Gooden)
1:20.0,S. Blake misses 2-pt shot from 19 ft,,40-58,,
1:19.0,,,40-58,,Defensive rebound by J. Wall
1:13.0,,,40-60,2,J. Wall makes 2-pt shot at rim
1:13.0,Portland full timeout,,40-60,,
0:51.0,S. Blake misses 3-pt shot from 29 ft,,40-60,,
0:50.0,,,40-60,,Defensive rebound by M. Gortat
0:31.0,,,40-60,,D. Gooden misses 2-pt shot from 19 ft
0:30.0,Defensive rebound by N. Batum,,40-60,,
0:08.0,R. Lopez misses 2-pt shot from 12 ft,,40-60,,
0:07.0,,,40-60,,Defensive rebound by M. Gortat
0:01.0,,,40-60,,J. Wall misses 3-pt shot from 25 ft
0:00.0,,,40-60,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:43.0,Turnover by N. Batum (bad pass; steal by P. Pierce),,40-60,,
11:23.0,,,40-63,3,B. Beal makes 3-pt shot from 27 ft (assist by J. Wall)
11:08.0,Turnover by D. Lillard (bad pass),,40-63,,
10:49.0,,,40-63,,P. Pierce misses 3-pt shot from 29 ft
10:48.0,Defensive rebound by D. Lillard,,40-63,,
10:38.0,D. Lillard misses 2-pt shot at rim,,40-63,,
10:37.0,Offensive rebound by R. Lopez,,40-63,,
10:36.0,R. Lopez makes 2-pt shot at rim,2,42-63,,
10:25.0,,,42-63,,Turnover by N. Hilario (traveling)
10:11.0,L. Aldridge makes 2-pt shot at rim,2,44-63,,
9:49.0,,,44-65,2,M. Gortat makes 2-pt shot from 14 ft (assist by B. Beal)
9:30.0,D. Lillard misses 3-pt shot from 26 ft,,44-65,,
9:29.0,,,44-65,,Defensive rebound by P. Pierce
9:08.0,,,44-65,,N. Hilario misses 2-pt shot from 17 ft
9:07.0,Defensive rebound by N. Batum,,44-65,,
8:55.0,L. Aldridge misses 2-pt shot from 15 ft,,44-65,,
8:54.0,,,44-65,,Defensive rebound by B. Beal
8:47.0,,,44-67,2,J. Wall makes 2-pt shot at rim
8:27.0,Shooting foul by J. Wall (drawn by D. Lillard),,44-67,,
8:27.0,D. Lillard makes free throw 1 of 2,1,45-67,,
8:27.0,D. Lillard makes free throw 2 of 2,1,46-67,,
8:15.0,,,46-69,2,P. Pierce makes 2-pt shot from 1 ft (assist by J. Wall)
8:00.0,D. Lillard misses 2-pt shot from 3 ft (block by M. Gortat),,46-69,,
7:59.0,,,46-69,,Defensive rebound by P. Pierce
7:55.0,,,46-71,2,N. Hilario makes 2-pt shot at rim (assist by P. Pierce)
7:55.0,Portland full timeout,,46-71,,
7:55.0,M. Leonard enters the game for R. Lopez,,46-71,,
7:34.0,A. Afflalo makes 2-pt shot from 8 ft,2,48-71,,
7:13.0,,,48-71,,B. Beal misses 2-pt shot from 18 ft
7:12.0,Defensive rebound by D. Lillard,,48-71,,
7:00.0,A. Afflalo makes 3-pt shot from 26 ft (assist by L. Aldridge),3,51-71,,
6:40.0,,,51-71,,P. Pierce misses 3-pt shot from 25 ft
6:39.0,Defensive rebound by Team,,51-71,,
6:15.0,Shooting foul by B. Beal (drawn by A. Afflalo),,51-71,,
6:15.0,A. Afflalo makes free throw 1 of 2,1,52-71,,
6:15.0,A. Afflalo makes free throw 2 of 2,1,53-71,,
6:04.0,Violation by N. Batum (kicked ball),,53-71,,
5:54.0,,,53-73,2,J. Wall makes 2-pt shot at rim (assist by N. Hilario)
5:30.0,Shooting foul by P. Pierce (drawn by L. Aldridge),,53-73,,
5:30.0,L. Aldridge misses free throw 1 of 2,,53-73,,
5:30.0,Offensive rebound by Team,,53-73,,
5:30.0,L. Aldridge makes free throw 2 of 2,1,54-73,,
5:17.0,,,54-75,2,J. Wall makes 2-pt shot at rim
5:02.0,M. Leonard makes 2-pt shot from 8 ft (assist by N. Batum),2,56-75,,
4:45.0,,,56-75,,J. Wall misses 2-pt shot from 13 ft
4:44.0,Defensive rebound by M. Leonard,,56-75,,
4:37.0,D. Lillard makes 2-pt shot from 5 ft,2,58-75,,
4:26.0,,,58-75,,Turnover by J. Wall (bad pass)
4:05.0,,,58-75,,R. Butler enters the game for B. Beal
4:05.0,,,58-75,,D. Gooden enters the game for N. Hilario
4:00.0,A. Afflalo makes 3-pt shot from 26 ft (assist by D. Lillard),3,61-75,,
3:36.0,,,61-75,,Shooting foul by L. Aldridge (drawn by P. Pierce)
3:36.0,,,61-76,1,P. Pierce makes free throw 1 of 2
3:36.0,,,61-77,1,P. Pierce makes free throw 2 of 2
3:22.0,D. Lillard makes 3-pt shot from 27 ft,3,64-77,,
2:57.0,,,64-77,,Washington full timeout
2:57.0,C. McCollum enters the game for N. Batum,,64-77,,
2:57.0,D. Wright enters the game for A. Afflalo,,64-77,,
2:55.0,,,64-77,,R. Butler misses 3-pt shot from 24 ft
2:55.0,,,64-77,,Offensive rebound by Team
2:55.0,,,64-77,,Turnover by Team (shot clock)
2:39.0,L. Aldridge makes 2-pt shot from 16 ft (assist by D. Lillard),2,66-77,,
2:10.0,,,66-77,,J. Wall misses 2-pt shot from 19 ft
2:09.0,,,66-77,,Offensive rebound by Team
2:09.0,Loose ball foul by C. McCollum (drawn by D. Gooden),,66-77,,
2:04.0,,,66-79,2,P. Pierce makes 2-pt shot from 17 ft
1:47.0,C. McCollum makes 3-pt shot from 25 ft (assist by D. Lillard),3,69-79,,
1:25.0,Personal foul by D. Wright (drawn by P. Pierce),,69-79,,
1:21.0,Personal foul by D. Wright (drawn by P. Pierce),,69-79,,
1:21.0,,,69-79,,P. Pierce misses free throw 1 of 2
1:21.0,,,69-79,,Offensive rebound by Team
1:21.0,,,69-80,1,P. Pierce makes free throw 2 of 2
1:06.0,,,69-80,,Personal foul by M. Gortat (drawn by L. Aldridge)
1:02.0,D. Lillard misses 3-pt shot from 27 ft,,69-80,,
1:02.0,,,69-80,,Defensive rebound by Team
1:02.0,Loose ball foul by L. Aldridge (drawn by R. Butler),,69-80,,
1:02.0,,,69-80,,R. Butler misses free throw 1 of 2
1:02.0,,,69-80,,Offensive rebound by Team
1:02.0,,,69-81,1,R. Butler makes free throw 2 of 2
0:57.0,,,69-81,,Personal foul by P. Pierce (drawn by D. Wright)
0:57.0,D. Wright makes free throw 1 of 2,1,70-81,,
0:57.0,S. Blake enters the game for D. Lillard,,70-81,,
0:57.0,C. Kaman enters the game for L. Aldridge,,70-81,,
0:57.0,D. Wright makes free throw 2 of 2,1,71-81,,
0:45.0,,,71-81,,J. Wall misses 2-pt shot from 18 ft
0:43.0,Defensive rebound by D. Wright,,71-81,,
0:33.0,S. Blake makes 3-pt shot from 27 ft,3,74-81,,
0:09.0,,,74-81,,R. Butler misses 2-pt shot from 20 ft
0:07.0,Defensive rebound by S. Blake,,74-81,,
0:03.0,Turnover by M. Leonard (bad pass; steal by J. Wall),,74-81,,
0:01.0,,,74-81,,J. Wall misses 2-pt shot from 12 ft
0:00.0,,,74-81,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:43.0,,,74-81,,Shooting foul by C. Kaman (drawn by N. Hilario)
11:43.0,,,74-82,1,N. Hilario makes free throw 1 of 2
11:43.0,,,74-83,1,N. Hilario makes free throw 2 of 2
11:26.0,M. Leonard misses 3-pt shot from 24 ft,,74-83,,
11:25.0,,,74-83,,Defensive rebound by D. Gooden
11:13.0,,,74-83,,N. Hilario misses 2-pt shot from 21 ft
11:12.0,Defensive rebound by N. Batum,,74-83,,
10:57.0,C. McCollum misses 2-pt shot from 9 ft,,74-83,,
10:56.0,,,74-83,,Defensive rebound by J. Wall
10:41.0,,,74-83,,J. Wall misses 2-pt shot from 2 ft
10:40.0,Defensive rebound by C. Kaman,,74-83,,
10:31.0,C. Kaman makes 2-pt shot from 3 ft (assist by S. Blake),2,76-83,,
10:07.0,,,76-83,,B. Beal misses 2-pt shot from 19 ft (block by N. Batum)
10:05.0,Defensive rebound by N. Batum,,76-83,,
9:55.0,M. Leonard misses 2-pt shot from 1 ft (block by N. Hilario),,76-83,,
9:53.0,Offensive rebound by M. Leonard,,76-83,,
9:51.0,M. Leonard misses 2-pt shot from 1 ft,,76-83,,
9:50.0,,,76-83,,Defensive rebound by N. Hilario
9:36.0,,,76-83,,J. Wall misses 2-pt shot from 1 ft
9:35.0,Defensive rebound by C. Kaman,,76-83,,
9:28.0,Shooting foul by N. Hilario (drawn by C. Kaman),,76-83,,
9:28.0,C. Kaman makes free throw 1 of 2,1,77-83,,
9:28.0,R. Lopez enters the game for M. Leonard,,77-83,,
9:28.0,C. Kaman makes free throw 2 of 2,1,78-83,,
9:13.0,,,78-83,,N. Hilario misses 2-pt shot from 3 ft
9:13.0,,,78-83,,Offensive rebound by N. Hilario
9:08.0,,,78-83,,B. Beal misses 2-pt shot from 17 ft
9:07.0,Defensive rebound by N. Batum,,78-83,,
9:00.0,,,78-83,,Personal foul by D. Gooden (drawn by C. Kaman)
8:50.0,C. McCollum makes 2-pt shot from 17 ft,2,80-83,,
8:49.0,,,80-83,,Washington full timeout
8:49.0,,,80-83,,M. Gortat enters the game for D. Gooden
8:31.0,,,80-86,3,B. Beal makes 3-pt shot from 23 ft (assist by J. Wall)
8:14.0,N. Batum misses 2-pt shot from 15 ft,,80-86,,
8:13.0,,,80-86,,Defensive rebound by N. Hilario
8:02.0,,,80-88,2,M. Gortat makes 2-pt shot at rim (assist by J. Wall)
8:02.0,Portland full timeout,,80-88,,
8:02.0,D. Lillard enters the game for S. Blake,,80-88,,
8:02.0,L. Aldridge enters the game for C. Kaman,,80-88,,
7:46.0,L. Aldridge misses 2-pt shot from 16 ft,,80-88,,
7:45.0,,,80-88,,Defensive rebound by M. Gortat
7:28.0,,,80-88,,N. Hilario misses 2-pt shot from 17 ft
7:27.0,Defensive rebound by N. Batum,,80-88,,
7:09.0,Turnover by D. Lillard (lost ball),,80-88,,
6:56.0,,,80-88,,Turnover by J. Wall (bad pass; steal by N. Batum)
6:45.0,R. Lopez misses 2-pt shot from 9 ft,,80-88,,
6:44.0,Offensive rebound by L. Aldridge,,80-88,,
6:43.0,L. Aldridge makes 2-pt shot at rim,2,82-88,,
6:16.0,,,82-88,,J. Wall misses 2-pt shot from 19 ft
6:15.0,Defensive rebound by L. Aldridge,,82-88,,
6:06.0,L. Aldridge misses 2-pt shot at rim (block by J. Wall),,82-88,,
6:06.0,Offensive rebound by Team,,82-88,,
6:06.0,,,82-88,,P. Pierce enters the game for R. Sessions
6:06.0,A. Afflalo enters the game for C. McCollum,,82-88,,
6:06.0,,,82-88,,Inbound foul by N. Hilario
6:06.0,L. Aldridge makes free throw 1 of 2,1,83-88,,
6:06.0,L. Aldridge makes free throw 2 of 2,1,84-88,,
5:55.0,,,84-88,,M. Gortat misses 2-pt shot from 5 ft
5:54.0,Defensive rebound by R. Lopez,,84-88,,
5:44.0,N. Batum misses 3-pt shot from 25 ft,,84-88,,
5:43.0,,,84-88,,Defensive rebound by J. Wall
5:41.0,Personal take foul by N. Batum (drawn by J. Wall),,84-88,,
5:30.0,,,84-90,2,J. Wall makes 2-pt shot from 20 ft (assist by B. Beal)
5:09.0,N. Batum makes 2-pt shot at rim (assist by D. Lillard),2,86-90,,
4:50.0,,,86-92,2,B. Beal makes 2-pt shot from 18 ft (assist by J. Wall)
4:28.0,L. Aldridge makes 2-pt shot from 14 ft (assist by D. Lillard),2,88-92,,
4:11.0,Personal foul by A. Afflalo (drawn by B. Beal),,88-92,,
4:00.0,,,88-92,,N. Hilario misses 2-pt shot from 20 ft
4:00.0,Defensive rebound by N. Batum,,88-92,,
3:49.0,A. Afflalo misses 3-pt shot from 27 ft,,88-92,,
3:48.0,,,88-92,,Defensive rebound by J. Wall
3:33.0,,,88-92,,J. Wall misses 2-pt shot from 16 ft
3:33.0,,,88-92,,Offensive rebound by M. Gortat
3:33.0,,,88-94,2,M. Gortat makes 2-pt shot at rim
3:23.0,D. Lillard misses 3-pt shot from 26 ft,,88-94,,
3:21.0,,,88-94,,Defensive rebound by M. Gortat
3:05.0,,,88-94,,N. Hilario misses 2-pt shot from 2 ft
3:04.0,Defensive rebound by N. Batum,,88-94,,
2:55.0,L. Aldridge makes 2-pt shot from 15 ft,2,90-94,,
2:29.0,,,90-96,2,N. Hilario makes 2-pt shot from 20 ft (assist by B. Beal)
2:15.0,D. Lillard misses 2-pt shot from 2 ft (block by J. Wall),,90-96,,
2:14.0,Offensive rebound by L. Aldridge,,90-96,,
2:08.0,L. Aldridge misses 2-pt shot from 13 ft,,90-96,,
2:08.0,,,90-96,,Defensive rebound by J. Wall
2:00.0,,,90-99,3,P. Pierce makes 3-pt shot from 23 ft (assist by J. Wall)
2:00.0,Portland full timeout,,90-99,,
2:00.0,Technical foul by Team,,90-99,,
2:00.0,,,90-100,1,B. Beal makes technical free throw
1:43.0,D. Lillard makes 3-pt shot from 31 ft (assist by N. Batum),3,93-100,,
1:27.0,,,93-102,2,B. Beal makes 2-pt shot from 14 ft (assist by J. Wall)
1:18.0,D. Lillard misses 2-pt shot from 7 ft,,93-102,,
1:17.0,Offensive rebound by L. Aldridge,,93-102,,
1:10.0,L. Aldridge makes 2-pt shot from 4 ft,2,95-102,,
0:46.0,,,95-102,,J. Wall misses 2-pt shot from 17 ft
0:45.0,Defensive rebound by Team,,95-102,,
0:45.0,,,95-102,,Loose ball foul by N. Hilario (drawn by A. Afflalo)
0:42.0,N. Batum misses 3-pt shot from 26 ft,,95-102,,
0:36.0,Offensive rebound by N. Batum,,95-102,,
