time,Philadelphia,pts.away,score,pts.home,LA Clippers
11:19.0,Defensive rebound by T. Wroten,,53-62,,
11:11.0,L. Mbah a Moute makes 2-pt shot from 21 ft (assist by N. Noel),2,55-62,,
10:56.0,,,55-62,,J. Redick misses 3-pt shot from 26 ft
10:54.0,Defensive rebound by R. Covington,,55-62,,
10:39.0,R. Covington makes 3-pt shot from 24 ft (assist by T. Wroten),3,58-62,,
10:38.0,,,58-62,,LA Clippers full timeout
10:28.0,,,58-65,3,J. Redick makes 3-pt shot from 23 ft (assist by C. Paul)
10:18.0,R. Covington makes 2-pt shot from 3 ft (assist by T. Wroten),2,60-65,,
10:02.0,,,60-65,,Shooting foul by N. Noel (drawn by M. Barnes)
10:02.0,,,60-65,,M. Barnes misses free throw 1 of 2
10:02.0,,,60-65,,Offensive rebound by Team
10:02.0,,,60-65,,M. Barnes misses free throw 2 of 2
10:00.0,Defensive rebound by N. Noel,,60-65,,
9:52.0,,,60-65,,Personal foul by M. Barnes (drawn by R. Covington)
9:44.0,,,60-65,,Personal foul by C. Paul (drawn by T. Wroten)
9:31.0,N. Noel misses 2-pt shot from 4 ft,,60-65,,
9:30.0,,,60-65,,Defensive rebound by B. Griffin
9:17.0,,,60-65,,M. Barnes misses 3-pt shot from 25 ft
9:15.0,Defensive rebound by N. Noel,,60-65,,
9:06.0,K. McDaniels misses 3-pt shot from 26 ft,,60-65,,
9:05.0,,,60-65,,Defensive rebound by M. Barnes
8:56.0,,,60-65,,B. Griffin misses 2-pt shot from 19 ft
8:55.0,,,60-65,,Offensive rebound by D. Jordan
8:55.0,,,60-67,2,D. Jordan makes 2-pt shot at rim
8:36.0,R. Covington misses 3-pt shot from 25 ft,,60-67,,
8:35.0,Offensive rebound by N. Noel,,60-67,,
8:23.0,T. Wroten makes 3-pt shot from 25 ft (assist by N. Noel),3,63-67,,
8:03.0,,,63-67,,C. Paul misses 3-pt shot from 23 ft
8:01.0,,,63-67,,Offensive rebound by D. Jordan
7:48.0,,,63-69,2,B. Griffin makes 2-pt shot from 2 ft
7:30.0,Turnover by N. Noel (lost ball; steal by B. Griffin),,63-69,,
7:14.0,,,63-71,2,C. Paul makes 2-pt shot from 20 ft
6:47.0,R. Covington misses 2-pt shot from 19 ft,,63-71,,
6:46.0,Offensive rebound by L. Mbah a Moute,,63-71,,
6:28.0,K. McDaniels misses 2-pt shot from 6 ft,,63-71,,
6:25.0,Offensive rebound by N. Noel,,63-71,,
6:25.0,N. Noel misses 2-pt shot from 1 ft,,63-71,,
6:18.0,,,63-71,,Defensive rebound by D. Jordan
6:14.0,,,63-74,3,M. Barnes makes 3-pt shot from 23 ft (assist by C. Paul)
6:14.0,Philadelphia full timeout,,63-74,,
6:14.0,H. Sims enters the game for N. Noel,,63-74,,
6:14.0,M. Thomas enters the game for L. Mbah a Moute,,63-74,,
6:14.0,J. Sampson enters the game for K. McDaniels,,63-74,,
6:02.0,Offensive foul by H. Sims (drawn by M. Barnes),,63-74,,
6:02.0,Turnover by H. Sims (offensive foul),,63-74,,
5:47.0,,,63-74,,Turnover by C. Paul (bad pass; steal by R. Covington)
5:40.0,T. Wroten misses 2-pt shot from 4 ft,,63-74,,
5:39.0,Offensive rebound by M. Thomas,,63-74,,
5:39.0,,,63-74,,Personal foul by J. Redick (drawn by M. Thomas)
5:17.0,R. Covington misses 2-pt shot from 6 ft,,63-74,,
5:16.0,Offensive rebound by T. Wroten,,63-74,,
5:13.0,T. Wroten misses 3-pt shot from 27 ft,,63-74,,
5:12.0,,,63-74,,Defensive rebound by C. Paul
5:08.0,,,63-74,,Shooting foul by R. Covington (drawn by D. Jordan)
5:08.0,,,63-74,,D. Jordan misses free throw 1 of 2
5:08.0,,,63-74,,Offensive rebound by Team
5:08.0,,,63-75,1,D. Jordan makes free throw 2 of 2
4:54.0,Turnover by M. Thomas (lost ball; steal by C. Paul),,63-75,,
4:52.0,,,63-75,,Shooting foul by M. Thomas (drawn by C. Paul)
4:52.0,,,63-76,1,C. Paul makes free throw 1 of 2
4:52.0,,,63-77,1,C. Paul makes free throw 2 of 2
4:42.0,R. Covington makes 3-pt shot from 25 ft,3,66-77,,
4:26.0,,,66-77,,C. Paul misses 2-pt shot from 15 ft
4:24.0,Defensive rebound by J. Sampson,,66-77,,
4:14.0,R. Covington makes 2-pt shot at rim (assist by T. Wroten),2,68-77,,
4:03.0,Personal foul by M. Thomas (drawn by B. Griffin),,68-77,,
3:45.0,,,68-79,2,J. Redick makes 2-pt shot from 18 ft (assist by C. Paul)
3:32.0,J. Sampson makes 2-pt shot from 5 ft,2,70-79,,
3:19.0,,,70-81,2,C. Paul makes 2-pt shot from 10 ft (assist by B. Griffin)
3:12.0,Shooting foul by M. Barnes (drawn by R. Covington),,70-81,,
3:12.0,R. Covington makes free throw 1 of 2,1,71-81,,
3:12.0,,,71-81,,J. Crawford enters the game for M. Barnes
3:12.0,L. Mbah a Moute enters the game for T. Wroten,,71-81,,
3:12.0,N. Noel enters the game for M. Thomas,,71-81,,
3:12.0,R. Covington misses free throw 2 of 2,,71-81,,
3:09.0,,,71-81,,Defensive rebound by D. Jordan
2:59.0,,,71-83,2,B. Griffin makes 2-pt shot at rim (assist by C. Paul)
2:39.0,L. Mbah a Moute misses 3-pt shot from 25 ft,,71-83,,
2:37.0,,,71-83,,Defensive rebound by C. Paul
2:32.0,,,71-83,,Shooting foul by L. Mbah a Moute (drawn by J. Crawford)
2:32.0,,,71-84,1,J. Crawford makes free throw 1 of 3
2:32.0,,,71-85,1,J. Crawford makes free throw 2 of 3
2:32.0,,,71-85,,S. Hawes enters the game for D. Jordan
2:32.0,,,71-86,1,J. Crawford makes free throw 3 of 3
2:17.0,Turnover by R. Covington (bad pass),,71-86,,
2:07.0,,,71-86,,J. Redick misses 3-pt shot from 25 ft
2:06.0,Defensive rebound by N. Noel,,71-86,,
1:53.0,N. Noel misses 2-pt shot from 3 ft,,71-86,,
1:52.0,,,71-86,,Defensive rebound by Team
1:52.0,J. Grant enters the game for R. Covington,,71-86,,
1:36.0,,,71-86,,S. Hawes misses 2-pt shot from 6 ft
1:34.0,Defensive rebound by H. Sims,,71-86,,
1:27.0,Turnover by H. Sims (bad pass),,71-86,,
1:10.0,Personal foul by J. Sampson (drawn by C. Paul),,71-86,,
1:10.0,,,71-87,1,C. Paul makes free throw 1 of 2
1:10.0,T. Wroten enters the game for L. Mbah a Moute,,71-87,,
1:10.0,,,71-88,1,C. Paul makes free throw 2 of 2
0:56.0,J. Sampson misses 3-pt shot from 25 ft,,71-88,,
0:55.0,,,71-88,,Defensive rebound by C. Paul
0:46.0,,,71-88,,Turnover by S. Hawes (lost ball; steal by H. Sims)
0:36.0,T. Wroten misses 2-pt shot at rim (block by S. Hawes),,71-88,,
0:34.0,,,71-88,,Defensive rebound by S. Hawes
0:28.0,,,71-88,,C. Paul misses 3-pt shot from 25 ft
0:27.0,Defensive rebound by J. Grant,,71-88,,
0:04.0,Shooting foul by C. Paul (drawn by T. Wroten),,71-88,,
0:04.0,T. Wroten makes free throw 1 of 3,1,72-88,,
0:04.0,T. Wroten makes free throw 2 of 3,1,73-88,,
0:04.0,,,73-88,,J. Farmar enters the game for C. Paul
0:04.0,K. McDaniels enters the game for H. Sims,,73-88,,
0:04.0,T. Wroten makes free throw 3 of 3,1,74-88,,
0:03.0,,,74-88,,B. Griffin misses 2-pt shot from 2 ft
0:01.0,Defensive rebound by K. McDaniels,,74-88,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:40.0,,,74-91,3,J. Farmar makes 3-pt shot from 26 ft (assist by G. Davis)
11:23.0,T. Wroten misses 3-pt shot from 26 ft,,74-91,,
11:22.0,,,74-91,,Defensive rebound by J. Crawford
11:01.0,,,74-91,,J. Crawford misses 3-pt shot from 27 ft
11:00.0,Defensive rebound by M. Thomas,,74-91,,
10:52.0,M. Thomas misses 3-pt shot from 24 ft,,74-91,,
10:51.0,,,74-91,,Defensive rebound by R. Bullock
10:43.0,,,74-93,2,J. Farmar makes 2-pt shot from 2 ft
10:42.0,Philadelphia full timeout,,74-93,,
10:26.0,K. McDaniels misses 2-pt shot from 12 ft,,74-93,,
10:25.0,,,74-93,,Defensive rebound by S. Hawes
10:08.0,,,74-95,2,J. Farmar makes 2-pt shot at rim
9:59.0,Shooting foul by S. Hawes (drawn by J. Sampson),,74-95,,
9:59.0,J. Sampson misses free throw 1 of 2,,74-95,,
9:59.0,Offensive rebound by Team,,74-95,,
9:59.0,J. Sampson makes free throw 2 of 2,1,75-95,,
9:34.0,,,75-95,,J. Crawford misses 2-pt shot from 18 ft
9:31.0,,,75-95,,Offensive rebound by S. Hawes
9:31.0,,,75-95,,S. Hawes misses 2-pt shot from 1 ft
9:29.0,Defensive rebound by N. Noel,,75-95,,
9:25.0,Turnover by T. Wroten (bad pass; steal by R. Bullock),,75-95,,
9:18.0,,,75-95,,R. Bullock misses 3-pt shot from 26 ft
9:16.0,Defensive rebound by T. Wroten,,75-95,,
9:04.0,N. Noel makes 2-pt shot from 18 ft (assist by T. Wroten),2,77-95,,
8:42.0,,,77-95,,J. Crawford misses 2-pt shot from 10 ft
8:40.0,,,77-95,,Offensive rebound by J. Crawford
8:37.0,,,77-97,2,J. Crawford makes 2-pt shot at rim
8:23.0,N. Noel misses 2-pt shot from 14 ft,,77-97,,
8:21.0,,,77-97,,Defensive rebound by J. Crawford
8:15.0,,,77-99,2,G. Davis makes 2-pt shot from 2 ft (assist by J. Crawford)
8:15.0,Philadelphia full timeout,,77-99,,
8:15.0,F. Aldemir enters the game for K. McDaniels,,77-99,,
8:15.0,R. Covington enters the game for J. Sampson,,77-99,,
8:15.0,J. Grant enters the game for M. Thomas,,77-99,,
8:01.0,R. Covington makes 2-pt shot from 20 ft (assist by N. Noel),2,79-99,,
7:42.0,,,79-99,,Turnover by J. Crawford (bad pass; steal by J. Grant)
7:29.0,Turnover by T. Wroten (lost ball; steal by S. Hawes),,79-99,,
7:22.0,,,79-101,2,S. Hawes makes 2-pt shot from 11 ft (assist by J. Crawford)
7:08.0,Shooting foul by J. Crawford (drawn by N. Noel),,79-101,,
7:08.0,N. Noel makes free throw 1 of 2,1,80-101,,
7:08.0,N. Noel misses free throw 2 of 2,,80-101,,
7:07.0,,,80-101,,Defensive rebound by S. Hawes
6:49.0,,,80-104,3,J. Farmar makes 3-pt shot from 25 ft (assist by R. Bullock)
6:32.0,N. Noel misses 2-pt shot from 12 ft,,80-104,,
6:30.0,Offensive rebound by F. Aldemir,,80-104,,
6:26.0,Turnover by F. Aldemir (bad pass; steal by J. Farmar),,80-104,,
6:18.0,,,80-107,3,R. Bullock makes 3-pt shot from 23 ft (assist by J. Farmar)
5:58.0,T. Wroten misses 2-pt shot from 6 ft,,80-107,,
5:56.0,,,80-107,,Defensive rebound by G. Davis
5:47.0,,,80-107,,J. Farmar misses 3-pt shot from 25 ft
5:46.0,Defensive rebound by N. Noel,,80-107,,
5:41.0,Shooting foul by S. Hawes (drawn by T. Wroten),,80-107,,
5:41.0,T. Wroten makes free throw 1 of 2,1,81-107,,
5:41.0,,,81-107,,E. Udoh enters the game for G. Davis
5:41.0,,,81-107,,J. Cunningham enters the game for J. Crawford
5:41.0,T. Wroten makes free throw 2 of 2,1,82-107,,
5:22.0,,,82-107,,S. Hawes misses 3-pt shot from 26 ft
5:20.0,Defensive rebound by N. Noel,,82-107,,
5:15.0,T. Wroten makes 2-pt shot from 1 ft,2,84-107,,
4:52.0,,,84-110,3,S. Hawes makes 3-pt shot from 25 ft (assist by R. Bullock)
4:36.0,T. Wroten misses 3-pt shot from 26 ft,,84-110,,
4:36.0,Offensive rebound by Team,,84-110,,
4:36.0,,,84-110,,Loose ball foul by E. Udoh (drawn by F. Aldemir)
4:36.0,J. Sampson enters the game for R. Covington,,84-110,,
4:36.0,K. McDaniels enters the game for T. Wroten,,84-110,,
4:19.0,Shooting foul by S. Hawes (drawn by F. Aldemir),,84-110,,
