time,Toronto,pts.away,score,pts.home,Boston
6:51.0,Offensive rebound by Team,,7-17,,
6:51.0,,,7-17,,M. Smart enters the game for A. Bradley
6:48.0,Turnover by T. Ross (lost ball; steal by M. Smart),,7-17,,
6:42.0,,,7-19,2,K. Olynyk makes 2-pt shot at rim (assist by R. Rondo)
6:23.0,K. Lowry makes 2-pt shot from 16 ft,2,9-19,,
6:10.0,,,9-19,,K. Olynyk misses 2-pt shot from 1 ft
6:09.0,,,9-19,,Offensive rebound by J. Sullinger
6:09.0,,,9-21,2,J. Sullinger makes 2-pt shot at rim
5:57.0,Toronto full timeout,,9-21,,
5:57.0,L. Williams enters the game for T. Ross,,9-21,,
5:57.0,,,9-21,,B. Bass enters the game for K. Olynyk
5:44.0,D. DeRozan misses 2-pt shot at rim,,9-21,,
5:43.0,,,9-21,,Defensive rebound by R. Rondo
5:36.0,,,9-23,2,R. Rondo makes 2-pt shot from 17 ft
5:16.0,D. DeRozan misses 2-pt shot at rim (block by J. Green),,9-23,,
5:15.0,,,9-23,,Defensive rebound by B. Bass
5:06.0,,,9-25,2,R. Rondo makes 2-pt shot from 1 ft
4:49.0,L. Williams makes 2-pt shot at rim,2,11-25,,
4:37.0,Violation by P. Patterson (kicked ball),,11-25,,
4:37.0,J. Johnson enters the game for P. Patterson,,11-25,,
4:37.0,,,11-25,,E. Turner enters the game for R. Rondo
4:24.0,,,11-25,,J. Green misses 3-pt shot from 25 ft
4:23.0,,,11-25,,Offensive rebound by J. Sullinger
4:19.0,,,11-27,2,J. Sullinger makes 2-pt shot from 8 ft
4:01.0,K. Lowry misses 2-pt shot at rim,,11-27,,
3:59.0,,,11-27,,Defensive rebound by J. Green
3:57.0,,,11-27,,Turnover by B. Bass (lost ball)
3:43.0,L. Williams makes 2-pt shot from 18 ft,2,13-27,,
3:43.0,Shooting foul by E. Turner (drawn by L. Williams),,13-27,,
3:43.0,,,13-27,,T. Zeller enters the game for J. Sullinger
3:43.0,G. Stiemsma enters the game for T. Hansbrough,,13-27,,
3:43.0,L. Williams makes free throw 1 of 1,1,14-27,,
3:27.0,,,14-27,,Turnover by J. Green (bad pass; steal by L. Williams)
3:24.0,L. Williams misses 2-pt shot at rim (block by J. Green),,14-27,,
3:23.0,Offensive rebound by Team,,14-27,,
3:18.0,K. Lowry makes 2-pt shot at rim,2,16-27,,
3:18.0,Shooting foul by T. Zeller (drawn by K. Lowry),,16-27,,
3:18.0,K. Lowry makes free throw 1 of 1,1,17-27,,
3:14.0,,,17-27,,Boston full timeout
3:10.0,Personal foul by D. DeRozan (drawn by M. Smart),,17-27,,
3:10.0,T. Ross enters the game for D. DeRozan,,17-27,,
3:03.0,Personal foul by T. Ross (drawn by J. Green),,17-27,,
2:56.0,,,17-27,,Turnover by E. Turner (traveling)
2:33.0,Shooting foul by T. Zeller (drawn by K. Lowry),,17-27,,
2:33.0,K. Lowry makes free throw 1 of 2,1,18-27,,
2:33.0,,,18-27,,K. Olynyk enters the game for T. Zeller
2:33.0,,,18-27,,M. Thornton enters the game for J. Green
2:33.0,K. Lowry makes free throw 2 of 2,1,19-27,,
2:18.0,,,19-29,2,E. Turner makes 2-pt shot from 12 ft (assist by B. Bass)
2:04.0,K. Lowry misses 2-pt shot at rim,,19-29,,
2:03.0,,,19-29,,Defensive rebound by K. Olynyk
1:52.0,,,19-32,3,M. Smart makes 3-pt shot from 25 ft
1:36.0,L. Williams misses 2-pt shot from 9 ft,,19-32,,
1:35.0,,,19-32,,Defensive rebound by K. Olynyk
1:27.0,,,19-32,,Turnover by E. Turner (bad pass)
1:27.0,G. Vasquez enters the game for K. Lowry,,19-32,,
1:08.0,Shooting foul by K. Olynyk (drawn by G. Stiemsma),,19-32,,
1:08.0,G. Stiemsma makes free throw 1 of 2,1,20-32,,
1:08.0,G. Stiemsma makes free throw 2 of 2,1,21-32,,
0:58.0,,,21-32,,B. Bass misses 2-pt shot from 18 ft
0:56.0,Defensive rebound by T. Ross,,21-32,,
0:46.0,T. Ross misses 2-pt shot at rim,,21-32,,
0:45.0,,,21-32,,Defensive rebound by E. Turner
0:34.0,,,21-32,,M. Thornton misses 3-pt shot from 22 ft
0:33.0,,,21-32,,Offensive rebound by K. Olynyk
0:29.0,,,21-35,3,M. Smart makes 3-pt shot from 23 ft (assist by K. Olynyk)
0:10.0,G. Vasquez makes 2-pt shot from 14 ft,2,23-35,,
0:00.0,,,23-35,,Turnover by E. Turner (bad pass)
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:52.0,Personal foul by G. Stiemsma (drawn by J. Sullinger),,23-35,,
11:39.0,,,23-35,,J. Sullinger misses 2-pt shot from 4 ft
11:38.0,,,23-35,,Offensive rebound by R. Rondo
11:36.0,,,23-35,,Turnover by R. Rondo (bad pass)
11:19.0,J. Johnson makes 2-pt shot at rim (assist by T. Ross),2,25-35,,
10:57.0,,,25-35,,K. Olynyk misses 2-pt shot from 14 ft
10:55.0,,,25-35,,Offensive rebound by J. Sullinger
10:44.0,,,25-35,,Shooting foul by G. Stiemsma (drawn by J. Sullinger)
10:44.0,,,25-36,1,J. Sullinger makes free throw 1 of 2
10:44.0,,,25-36,,A. Bradley enters the game for E. Turner
10:44.0,,,25-37,1,J. Sullinger makes free throw 2 of 2
10:29.0,L. Williams makes 2-pt shot from 6 ft,2,27-37,,
10:15.0,,,27-37,,Turnover by A. Bradley (traveling)
10:01.0,J. Johnson misses 3-pt shot from 24 ft,,27-37,,
10:00.0,,,27-37,,Defensive rebound by K. Olynyk
9:53.0,,,27-37,,J. Sullinger misses 3-pt shot from 25 ft
9:52.0,Defensive rebound by J. Johnson,,27-37,,
9:46.0,G. Stiemsma makes 2-pt shot at rim (assist by J. Johnson),2,29-37,,
9:38.0,,,29-40,3,A. Bradley makes 3-pt shot from 24 ft (assist by R. Rondo)
9:09.0,G. Vasquez misses 3-pt shot from 25 ft,,29-40,,
9:08.0,,,29-40,,Defensive rebound by M. Thornton
9:02.0,,,29-42,2,K. Olynyk makes 2-pt shot at rim (assist by M. Thornton)
8:45.0,J. Johnson misses 2-pt shot from 5 ft,,29-42,,
8:44.0,Offensive rebound by G. Stiemsma,,29-42,,
8:43.0,G. Stiemsma makes 2-pt shot at rim,2,31-42,,
8:30.0,,,31-42,,J. Sullinger misses 2-pt shot at rim (block by T. Ross)
8:30.0,,,31-42,,Offensive rebound by Team
8:30.0,Official timeout,,31-42,,
8:30.0,D. DeRozan enters the game for T. Ross,,31-42,,
8:30.0,T. Hansbrough enters the game for G. Stiemsma,,31-42,,
8:17.0,,,31-42,,R. Rondo misses 2-pt shot from 7 ft
8:16.0,,,31-42,,Offensive rebound by Team
8:16.0,,,31-42,,Turnover by Team (shot clock)
8:03.0,L. Williams misses 3-pt shot from 25 ft,,31-42,,
8:02.0,Offensive rebound by T. Hansbrough,,31-42,,
7:54.0,J. Johnson misses 2-pt shot from 14 ft,,31-42,,
7:53.0,,,31-42,,Defensive rebound by K. Olynyk
7:47.0,,,31-44,2,R. Rondo makes 2-pt shot at rim
7:47.0,,,31-44,,Shooting foul by J. Johnson (drawn by R. Rondo)
7:47.0,P. Patterson enters the game for J. Johnson,,31-44,,
7:47.0,,,31-44,,J. Green enters the game for K. Olynyk
7:47.0,,,31-44,,R. Rondo misses free throw 1 of 1
7:46.0,Defensive rebound by P. Patterson,,31-44,,
7:28.0,G. Vasquez misses 2-pt shot from 6 ft,,31-44,,
7:27.0,,,31-44,,Defensive rebound by J. Green
7:21.0,,,31-46,2,R. Rondo makes 2-pt shot at rim
7:05.0,G. Vasquez makes 3-pt shot from 23 ft (assist by L. Williams),3,34-46,,
6:50.0,,,34-48,2,J. Green makes 2-pt shot from 11 ft
6:32.0,G. Vasquez misses 2-pt shot from 15 ft,,34-48,,
6:31.0,,,34-48,,Defensive rebound by M. Thornton
6:15.0,,,34-48,,A. Bradley misses 3-pt shot from 25 ft
6:13.0,,,34-48,,Offensive rebound by J. Sullinger
6:13.0,,,34-50,2,J. Sullinger makes 2-pt shot at rim
6:04.0,Toronto full timeout,,34-50,,
6:04.0,K. Lowry enters the game for L. Williams,,34-50,,
6:04.0,,,34-50,,M. Smart enters the game for M. Thornton
5:56.0,Turnover by P. Patterson (bad pass; steal by J. Green),,34-50,,
5:48.0,,,34-50,,Turnover by R. Rondo (bad pass)
5:36.0,,,34-50,,Personal foul by M. Smart (drawn by G. Vasquez)
5:36.0,,,34-50,,K. Olynyk enters the game for J. Sullinger
5:36.0,,,34-50,,B. Bass enters the game for R. Rondo
5:29.0,,,34-50,,Personal foul by A. Bradley (drawn by K. Lowry)
5:29.0,,,34-50,,M. Thornton enters the game for A. Bradley
5:20.0,D. DeRozan makes 2-pt shot from 18 ft,2,36-50,,
5:07.0,,,36-50,,Offensive charge foul by K. Olynyk
5:07.0,,,36-50,,Turnover by K. Olynyk (offensive foul)
4:55.0,D. DeRozan makes 2-pt shot from 12 ft (assist by P. Patterson),2,38-50,,
4:32.0,,,38-50,,J. Green misses 2-pt shot from 21 ft
4:31.0,Defensive rebound by G. Vasquez,,38-50,,
4:18.0,D. DeRozan misses 2-pt shot from 15 ft,,38-50,,
4:17.0,,,38-50,,Defensive rebound by J. Green
4:13.0,,,38-50,,M. Smart misses 3-pt shot from 25 ft
4:12.0,Defensive rebound by Team,,38-50,,
3:56.0,G. Vasquez misses 2-pt shot from 6 ft,,38-50,,
3:55.0,,,38-50,,Defensive rebound by K. Olynyk
3:48.0,,,38-50,,M. Thornton misses 3-pt shot from 25 ft
3:47.0,Defensive rebound by P. Patterson,,38-50,,
3:32.0,,,38-50,,Personal foul by M. Smart (drawn by G. Vasquez)
3:32.0,,,38-50,,R. Rondo enters the game for M. Smart
3:32.0,T. Ross enters the game for G. Vasquez,,38-50,,
3:24.0,D. DeRozan misses 2-pt shot from 15 ft,,38-50,,
3:23.0,,,38-50,,Defensive rebound by R. Rondo
3:14.0,,,38-50,,B. Bass misses 2-pt shot from 12 ft
3:13.0,Defensive rebound by T. Hansbrough,,38-50,,
3:05.0,T. Hansbrough misses 2-pt shot at rim,,38-50,,
3:04.0,Offensive rebound by T. Hansbrough,,38-50,,
3:03.0,Shooting foul by B. Bass (drawn by T. Hansbrough),,38-50,,
3:03.0,T. Hansbrough makes free throw 1 of 2,1,39-50,,
3:03.0,T. Hansbrough misses free throw 2 of 2,,39-50,,
3:02.0,Offensive rebound by K. Lowry,,39-50,,
2:57.0,K. Lowry makes 3-pt shot from 25 ft,3,42-50,,
2:30.0,,,42-50,,K. Olynyk misses 2-pt shot from 1 ft (block by P. Patterson)
2:29.0,Defensive rebound by K. Lowry,,42-50,,
2:27.0,Shooting foul by B. Bass (drawn by K. Lowry),,42-50,,
2:27.0,,,42-50,,Boston full timeout
2:27.0,,,42-50,,E. Turner enters the game for M. Thornton
2:27.0,,,42-50,,J. Sullinger enters the game for B. Bass
2:27.0,K. Lowry makes free throw 1 of 2,1,43-50,,
2:27.0,K. Lowry makes free throw 2 of 2,1,44-50,,
2:16.0,,,44-50,,Turnover by E. Turner (bad pass)
2:09.0,P. Patterson makes 3-pt shot from 24 ft (assist by K. Lowry),3,47-50,,
1:50.0,,,47-50,,E. Turner misses 2-pt shot from 10 ft
1:49.0,Defensive rebound by P. Patterson,,47-50,,
1:43.0,D. DeRozan makes 2-pt shot from 1 ft (assist by K. Lowry),2,49-50,,
1:22.0,,,49-50,,J. Sullinger misses 2-pt shot at rim
1:21.0,,,49-50,,Offensive rebound by K. Olynyk
1:21.0,,,49-52,2,K. Olynyk makes 2-pt shot at rim
0:57.0,D. DeRozan misses 2-pt shot from 15 ft,,49-52,,
0:56.0,,,49-52,,Defensive rebound by J. Sullinger
0:48.0,,,49-52,,R. Rondo misses 2-pt shot from 17 ft
0:47.0,,,49-52,,Offensive rebound by J. Green
0:47.0,,,49-54,2,J. Green makes 2-pt shot at rim
0:36.0,K. Lowry makes 2-pt shot from 12 ft,2,51-54,,
0:20.0,,,51-54,,K. Olynyk misses 2-pt shot from 4 ft
0:20.0,Defensive rebound by T. Hansbrough,,51-54,,
0:20.0,,,51-54,,Personal foul by J. Sullinger (drawn by T. Hansbrough)
0:20.0,T. Hansbrough misses free throw 1 of 2,,51-54,,
0:20.0,Offensive rebound by Team,,51-54,,
0:20.0,G. Vasquez enters the game for D. DeRozan,,51-54,,
0:20.0,T. Hansbrough makes free throw 2 of 2,1,52-54,,
0:05.0,,,52-56,2,R. Rondo makes 2-pt shot at rim
0:05.0,,,52-56,,Shooting foul by K. Lowry (drawn by R. Rondo)
0:05.0,,,52-57,1,R. Rondo makes free throw 1 of 1
0:00.0,K. Lowry makes 2-pt shot from 16 ft,2,54-57,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:44.0,,,54-57,,J. Green misses 2-pt shot from 2 ft (block by T. Hansbrough)
11:43.0,,,54-57,,Offensive rebound by J. Sullinger
11:41.0,,,54-59,2,J. Sullinger makes 2-pt shot at rim
11:23.0,P. Patterson makes 3-pt shot from 22 ft (assist by D. DeRozan),3,57-59,,
11:06.0,,,57-59,,A. Bradley misses 2-pt shot from 9 ft
11:05.0,,,57-59,,Offensive rebound by J. Sullinger
10:56.0,,,57-61,2,K. Olynyk makes 2-pt shot from 5 ft (assist by R. Rondo)
10:42.0,T. Ross makes 2-pt shot from 10 ft,2,59-61,,
10:31.0,,,59-61,,J. Green misses 3-pt shot from 24 ft
10:30.0,Defensive rebound by T. Ross,,59-61,,
10:20.0,K. Lowry misses 3-pt shot from 24 ft,,59-61,,
10:19.0,,,59-61,,Defensive rebound by R. Rondo
10:10.0,,,59-64,3,K. Olynyk makes 3-pt shot from 23 ft (assist by R. Rondo)
9:49.0,D. DeRozan makes 2-pt shot from 11 ft,2,61-64,,
9:36.0,,,61-64,,Turnover by J. Green (lost ball; steal by K. Lowry)
9:27.0,Shooting foul by K. Olynyk (drawn by D. DeRozan),,61-64,,
9:27.0,D. DeRozan makes free throw 1 of 2,1,62-64,,
9:27.0,D. DeRozan makes free throw 2 of 2,1,63-64,,
9:11.0,,,63-66,2,K. Olynyk makes 2-pt shot from 1 ft (assist by R. Rondo)
8:50.0,T. Ross misses 3-pt shot from 22 ft,,63-66,,
8:49.0,,,63-66,,Defensive rebound by R. Rondo
8:29.0,,,63-66,,J. Green misses 3-pt shot from 26 ft
8:28.0,,,63-66,,Offensive rebound by J. Sullinger
8:23.0,Personal foul by K. Lowry (drawn by K. Olynyk),,63-66,,
8:15.0,,,63-66,,A. Bradley misses 2-pt shot from 21 ft
8:14.0,Defensive rebound by Team,,63-66,,
8:14.0,,,63-66,,Loose ball foul by K. Olynyk (drawn by T. Hansbrough)
8:14.0,,,63-66,,T. Zeller enters the game for K. Olynyk
7:57.0,P. Patterson makes 3-pt shot from 25 ft (assist by D. DeRozan),3,66-66,,
7:32.0,,,66-69,3,A. Bradley makes 3-pt shot from 23 ft (assist by R. Rondo)
7:12.0,,,66-69,,Personal foul by J. Green (drawn by D. DeRozan)
7:05.0,D. DeRozan misses 2-pt shot from 14 ft,,66-69,,
7:04.0,,,66-69,,Defensive rebound by T. Zeller
6:56.0,,,66-69,,Turnover by A. Bradley (lost ball)
6:56.0,,,66-69,,Violation by Team (delay of game)
6:45.0,Turnover by T. Hansbrough (lost ball; steal by A. Bradley),,66-69,,
6:26.0,Personal foul by T. Hansbrough (drawn by R. Rondo),,66-69,,
6:26.0,,,66-69,,Boston full timeout
6:26.0,G. Stiemsma enters the game for T. Hansbrough,,66-69,,
6:20.0,,,66-71,2,J. Green makes 2-pt shot at rim (assist by R. Rondo)
5:58.0,D. DeRozan makes 2-pt shot from 17 ft (assist by T. Ross),2,68-71,,
5:43.0,,,68-74,3,A. Bradley makes 3-pt shot from 22 ft (assist by J. Green)
5:20.0,D. DeRozan misses 2-pt shot at rim,,68-74,,
5:19.0,,,68-74,,Defensive rebound by T. Zeller
5:06.0,,,68-76,2,J. Green makes 2-pt shot from 13 ft
4:51.0,K. Lowry makes 3-pt shot from 25 ft,3,71-76,,
4:25.0,,,71-76,,Turnover by R. Rondo (bad pass; steal by P. Patterson)
4:19.0,D. DeRozan misses 2-pt shot at rim,,71-76,,
4:18.0,,,71-76,,Defensive rebound by J. Sullinger
4:09.0,,,71-76,,J. Green misses 3-pt shot from 25 ft
4:08.0,Defensive rebound by K. Lowry,,71-76,,
4:01.0,D. DeRozan makes 2-pt shot at rim,2,73-76,,
4:01.0,Shooting foul by T. Zeller (drawn by D. DeRozan),,73-76,,
4:01.0,,,73-76,,M. Smart enters the game for J. Sullinger
4:01.0,,,73-76,,E. Turner enters the game for A. Bradley
4:01.0,,,73-76,,B. Bass enters the game for J. Green
4:01.0,J. Johnson enters the game for P. Patterson,,73-76,,
4:01.0,L. Williams enters the game for T. Ross,,73-76,,
4:01.0,D. DeRozan misses free throw 1 of 1,,73-76,,
3:59.0,,,73-76,,Defensive rebound by T. Zeller
3:48.0,,,73-76,,Turnover by M. Smart (bad pass; steal by D. DeRozan)
3:44.0,,,73-76,,Personal foul by E. Turner (drawn by D. DeRozan)
3:44.0,D. DeRozan makes free throw 1 of 2,1,74-76,,
3:44.0,,,74-76,,K. Olynyk enters the game for T. Zeller
3:44.0,D. DeRozan makes free throw 2 of 2,1,75-76,,
3:35.0,,,75-78,2,B. Bass makes 2-pt shot at rim (assist by R. Rondo)
3:35.0,,,75-78,,Shooting foul by G. Stiemsma (drawn by B. Bass)
3:35.0,,,75-79,1,B. Bass makes free throw 1 of 1
3:14.0,K. Lowry makes 2-pt shot from 6 ft,2,77-79,,
2:59.0,,,77-79,,M. Smart misses 3-pt shot from 23 ft
2:58.0,Defensive rebound by K. Lowry,,77-79,,
2:41.0,D. DeRozan misses 2-pt shot from 11 ft,,77-79,,
2:40.0,,,77-79,,Defensive rebound by B. Bass
2:20.0,,,77-79,,Turnover by B. Bass (lost ball)
2:20.0,Toronto full timeout,,77-79,,
2:20.0,,,77-79,,M. Thornton enters the game for R. Rondo
2:09.0,Turnover by G. Stiemsma (lost ball; steal by E. Turner),,77-79,,
1:59.0,,,77-81,2,M. Smart makes 2-pt shot at rim
1:59.0,,,77-81,,Shooting foul by J. Johnson (drawn by M. Smart)
1:59.0,,,77-82,1,M. Smart makes free throw 1 of 1
1:46.0,L. Williams misses 2-pt shot from 16 ft,,77-82,,
1:45.0,,,77-82,,Defensive rebound by B. Bass
1:39.0,,,77-82,,M. Smart misses 3-pt shot from 24 ft
1:38.0,,,77-82,,Offensive rebound by K. Olynyk
1:33.0,,,77-84,2,M. Thornton makes 2-pt shot from 5 ft (assist by K. Olynyk)
1:18.0,K. Lowry makes 2-pt shot from 1 ft,2,79-84,,
1:18.0,Shooting foul by E. Turner (drawn by K. Lowry),,79-84,,
1:18.0,G. Vasquez enters the game for D. DeRozan,,79-84,,
1:18.0,C. Hayes enters the game for G. Stiemsma,,79-84,,
1:18.0,,,79-84,,A. Bradley enters the game for M. Smart
1:18.0,K. Lowry makes free throw 1 of 1,1,80-84,,
1:05.0,,,80-84,,Turnover by K. Olynyk (lost ball; steal by J. Johnson)
0:59.0,K. Lowry makes 2-pt shot at rim (assist by J. Johnson),2,82-84,,
0:55.0,,,82-84,,Shooting foul by C. Hayes (drawn by M. Thornton)
0:55.0,,,82-85,1,M. Thornton makes free throw 1 of 2
0:55.0,,,82-85,,J. Sullinger enters the game for K. Olynyk
0:55.0,,,82-86,1,M. Thornton makes free throw 2 of 2
0:50.0,Shooting foul by E. Turner (drawn by K. Lowry),,82-86,,
0:50.0,K. Lowry makes free throw 1 of 2,1,83-86,,
0:50.0,K. Lowry makes free throw 2 of 2,1,84-86,,
0:42.0,,,84-86,,Turnover by E. Turner (bad pass; steal by C. Hayes)
0:37.0,K. Lowry makes 2-pt shot at rim (assist by J. Johnson),2,86-86,,
0:17.0,,,86-86,,A. Bradley misses 2-pt shot at rim
0:16.0,Defensive rebound by L. Williams,,86-86,,
0:00.0,L. Williams makes 2-pt shot from 9 ft,2,88-86,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:51.0,L. Williams makes 2-pt shot from 20 ft,2,90-86,,
11:29.0,,,90-86,,Turnover by M. Thornton (bad pass; steal by L. Williams)
11:17.0,L. Williams misses 2-pt shot from 18 ft,,90-86,,
11:16.0,,,90-86,,Defensive rebound by J. Sullinger
11:05.0,,,90-86,,A. Bradley misses 3-pt shot from 25 ft
11:04.0,,,90-86,,Offensive rebound by K. Olynyk
10:53.0,,,90-86,,M. Smart misses 2-pt shot at rim (block by J. Johnson)
10:52.0,Defensive rebound by L. Williams,,90-86,,
10:48.0,Offensive charge foul by D. DeRozan,,90-86,,
10:48.0,Turnover by D. DeRozan (offensive foul),,90-86,,
10:48.0,,,90-86,,J. Green enters the game for M. Thornton
10:35.0,,,90-86,,J. Sullinger misses 2-pt shot from 20 ft
10:34.0,Defensive rebound by G. Vasquez,,90-86,,
10:25.0,J. Johnson misses 3-pt shot from 23 ft,,90-86,,
10:24.0,,,90-86,,Defensive rebound by J. Sullinger
10:07.0,,,90-86,,M. Smart misses 3-pt shot from 25 ft
10:06.0,,,90-86,,Offensive rebound by M. Smart
10:02.0,,,90-86,,Offensive charge foul by M. Smart
10:02.0,,,90-86,,Turnover by M. Smart (offensive foul)
9:40.0,J. Johnson misses 2-pt shot from 1 ft,,90-86,,
9:39.0,,,90-86,,Defensive rebound by Team
9:39.0,,,90-86,,R. Rondo enters the game for K. Olynyk
9:18.0,,,90-86,,Turnover by A. Bradley (lost ball; steal by J. Johnson)
9:13.0,J. Johnson makes 2-pt shot at rim,2,92-86,,
8:48.0,,,92-86,,Shooting foul by L. Williams (drawn by A. Bradley)
8:48.0,Official timeout,,92-86,,
8:48.0,,,92-87,1,A. Bradley makes free throw 1 of 3
8:48.0,,,92-88,1,A. Bradley makes free throw 2 of 3
8:48.0,,,92-89,1,A. Bradley makes free throw 3 of 3
8:34.0,D. DeRozan misses 2-pt shot from 18 ft,,92-89,,
8:33.0,,,92-89,,Defensive rebound by R. Rondo
8:21.0,,,92-89,,Turnover by A. Bradley (lost ball)
8:06.0,D. DeRozan makes 2-pt shot from 14 ft,2,94-89,,
7:52.0,,,94-91,2,J. Sullinger makes 2-pt shot at rim (assist by R. Rondo)
7:52.0,,,94-91,,Shooting foul by C. Hayes (drawn by J. Sullinger)
7:52.0,,,94-92,1,J. Sullinger makes free throw 1 of 1
7:36.0,D. DeRozan misses 2-pt shot from 18 ft,,94-92,,
7:35.0,Offensive rebound by J. Johnson,,94-92,,
7:30.0,C. Hayes makes 2-pt shot at rim (assist by D. DeRozan),2,96-92,,
7:21.0,,,96-92,,Turnover by R. Rondo (lost ball; steal by G. Vasquez)
7:09.0,G. Vasquez misses 2-pt shot from 18 ft,,96-92,,
7:08.0,,,96-92,,Defensive rebound by J. Sullinger
6:53.0,,,96-92,,Boston full timeout
6:53.0,,,96-92,,K. Olynyk enters the game for M. Smart
6:53.0,K. Lowry enters the game for L. Williams,,96-92,,
6:47.0,,,96-92,,J. Sullinger misses 2-pt shot from 15 ft
6:46.0,Defensive rebound by C. Hayes,,96-92,,
6:25.0,D. DeRozan misses 3-pt shot from 25 ft,,96-92,,
6:24.0,Offensive rebound by Team,,96-92,,
6:03.0,J. Johnson makes 2-pt shot from 9 ft (assist by D. DeRozan),2,98-92,,
5:50.0,,,98-92,,A. Bradley misses 3-pt shot from 22 ft
5:50.0,,,98-92,,Offensive rebound by R. Rondo
5:42.0,,,98-92,,A. Bradley misses 3-pt shot from 25 ft
5:41.0,Defensive rebound by J. Johnson,,98-92,,
5:35.0,G. Vasquez makes 2-pt shot at rim (assist by J. Johnson),2,100-92,,
5:11.0,,,100-92,,R. Rondo misses 2-pt shot from 7 ft
5:11.0,,,100-92,,Offensive rebound by A. Bradley
5:08.0,,,100-92,,A. Bradley misses 2-pt shot at rim
5:07.0,Defensive rebound by C. Hayes,,100-92,,
5:06.0,Turnover by C. Hayes (lost ball; steal by J. Sullinger),,100-92,,
5:05.0,,,100-92,,Shooting foul by K. Lowry (drawn by J. Sullinger)
5:05.0,,,100-93,1,J. Sullinger makes free throw 1 of 2
5:05.0,,,100-93,,M. Smart enters the game for A. Bradley
5:05.0,,,100-94,1,J. Sullinger makes free throw 2 of 2
4:45.0,D. DeRozan misses 2-pt shot from 12 ft,,100-94,,
4:44.0,,,100-94,,Defensive rebound by K. Olynyk
4:39.0,,,100-94,,Offensive charge foul by J. Green
4:39.0,,,100-94,,Turnover by J. Green (offensive foul)
4:21.0,K. Lowry misses 2-pt shot from 7 ft,,100-94,,
4:19.0,,,100-94,,Defensive rebound by K. Olynyk
4:01.0,,,100-94,,Offensive foul by M. Smart
4:01.0,,,100-94,,Turnover by M. Smart (offensive foul)
3:41.0,J. Johnson misses 2-pt shot from 9 ft,,100-94,,
3:40.0,,,100-94,,Defensive rebound by J. Sullinger
3:33.0,,,100-94,,Turnover by J. Green (lost ball)
3:33.0,Toronto full timeout,,100-94,,
