time,Phoenix,pts.away,score,pts.home,LA Clippers
4:41.0,M. Morris misses 3-pt shot from 24 ft,,43-47,,
4:39.0,,,43-47,,Defensive rebound by J. Redick
4:29.0,,,43-49,2,C. Paul makes 2-pt shot from 11 ft
4:22.0,Phoenix full timeout,,43-49,,
4:22.0,P. Tucker enters the game for G. Green,,43-49,,
4:22.0,G. Dragic enters the game for M. Morris,,43-49,,
4:03.0,P. Tucker makes 2-pt shot from 11 ft (assist by A. Tolliver),2,45-49,,
3:50.0,,,45-49,,Turnover by B. Griffin (bad pass; steal by E. Bledsoe)
3:35.0,A. Tolliver misses 3-pt shot from 27 ft,,45-49,,
3:32.0,,,45-49,,Defensive rebound by C. Paul
3:26.0,,,45-51,2,D. Jordan makes 2-pt shot at rim (assist by C. Paul)
3:12.0,E. Bledsoe makes 2-pt shot from 2 ft (assist by G. Dragic),2,47-51,,
3:02.0,,,47-51,,B. Griffin misses 2-pt shot from 19 ft
3:01.0,Defensive rebound by E. Bledsoe,,47-51,,
3:01.0,,,47-51,,Personal block foul by B. Griffin (drawn by E. Bledsoe)
3:01.0,,,47-51,,J. Crawford enters the game for M. Barnes
2:43.0,G. Dragic makes 3-pt shot from 22 ft (assist by E. Bledsoe),3,50-51,,
2:26.0,,,50-51,,C. Paul misses 2-pt shot from 13 ft
2:25.0,,,50-51,,Offensive rebound by D. Jordan
2:21.0,,,50-53,2,D. Jordan makes 2-pt shot at rim (assist by J. Crawford)
2:14.0,,,50-53,,Technical foul by B. Griffin
2:14.0,,,50-53,,LA Clippers full timeout
2:14.0,E. Bledsoe makes technical free throw,1,51-53,,
2:03.0,A. Tolliver misses 2-pt shot from 22 ft (block by D. Jordan),,51-53,,
2:03.0,,,51-53,,Defensive rebound by B. Griffin
2:03.0,Loose ball foul by A. Len (drawn by B. Griffin),,51-53,,
1:37.0,,,51-53,,C. Paul misses 3-pt shot from 32 ft
1:35.0,Defensive rebound by A. Len,,51-53,,
1:27.0,A. Len makes 2-pt shot at rim (assist by E. Bledsoe),2,53-53,,
1:01.0,,,53-53,,J. Crawford misses 2-pt shot from 18 ft
1:00.0,Defensive rebound by A. Len,,53-53,,
0:54.0,E. Bledsoe makes 2-pt shot from 13 ft,2,55-53,,
0:31.0,,,55-56,3,B. Griffin makes 3-pt shot from 27 ft (assist by C. Paul)
0:05.0,E. Bledsoe misses 2-pt shot from 3 ft,,55-56,,
0:05.0,Offensive rebound by Team,,55-56,,
0:05.0,,,55-56,,Loose ball foul by C. Paul (drawn by A. Len)
0:05.0,,,55-56,,J. Cunningham enters the game for B. Griffin
0:05.0,,,55-56,,M. Barnes enters the game for J. Redick
0:05.0,Phoenix full timeout,,55-56,,
0:02.0,Shooting foul by D. Jordan (drawn by E. Bledsoe),,55-56,,
0:02.0,E. Bledsoe makes free throw 1 of 2,1,56-56,,
0:02.0,E. Bledsoe makes free throw 2 of 2,1,57-56,,
0:00.0,,,57-59,3,J. Cunningham makes 3-pt shot from 25 ft (assist by M. Barnes)
0:00.0,,,57-59,,Shooting foul by E. Bledsoe (drawn by J. Cunningham)
0:00.0,,,57-60,1,J. Cunningham makes free throw 1 of 1
0:00.0,A. Tolliver misses 2-pt shot from 19 ft,,57-60,,
0:00.0,Offensive rebound by Team,,57-60,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:49.0,,,57-60,,Turnover by B. Griffin (lost ball; steal by M. Morris)
11:44.0,G. Dragic misses 2-pt shot from 2 ft,,57-60,,
11:41.0,Offensive rebound by E. Bledsoe,,57-60,,
11:41.0,E. Bledsoe makes 2-pt shot from 1 ft,2,59-60,,
11:28.0,,,59-62,2,C. Paul makes 2-pt shot from 2 ft
11:28.0,,,59-62,,Shooting foul by M. Plumlee (drawn by C. Paul)
11:28.0,,,59-63,1,C. Paul makes free throw 1 of 1
11:07.0,M. Morris makes 2-pt shot from 7 ft (assist by G. Dragic),2,61-63,,
10:45.0,,,61-63,,B. Griffin misses 2-pt shot from 17 ft
10:45.0,Defensive rebound by Team,,61-63,,
10:45.0,,,61-63,,Loose ball foul by M. Barnes (drawn by E. Bledsoe)
10:32.0,M. Morris misses 2-pt shot from 13 ft,,61-63,,
10:31.0,,,61-63,,Defensive rebound by B. Griffin
10:16.0,,,61-63,,M. Barnes misses 3-pt shot from 24 ft
10:15.0,,,61-63,,Offensive rebound by C. Paul
10:09.0,,,61-63,,B. Griffin misses 2-pt shot from 21 ft
10:07.0,Defensive rebound by P. Tucker,,61-63,,
9:55.0,G. Dragic misses 3-pt shot from 24 ft,,61-63,,
9:54.0,,,61-63,,Defensive rebound by M. Barnes
9:44.0,,,61-63,,C. Paul misses 2-pt shot from 17 ft
9:43.0,Defensive rebound by E. Bledsoe,,61-63,,
9:37.0,,,61-63,,Personal foul by C. Paul (drawn by E. Bledsoe)
9:23.0,Shooting foul by C. Paul (drawn by E. Bledsoe),,61-63,,
9:23.0,E. Bledsoe makes free throw 1 of 2,1,62-63,,
9:23.0,E. Bledsoe makes free throw 2 of 2,1,63-63,,
9:13.0,,,63-63,,D. Jordan misses 2-pt shot at rim
9:12.0,,,63-63,,Offensive rebound by D. Jordan
9:09.0,,,63-65,2,D. Jordan makes 2-pt shot at rim
9:01.0,Turnover by M. Morris (bad pass),,63-65,,
8:51.0,,,63-67,2,D. Jordan makes 2-pt shot at rim (assist by B. Griffin)
8:37.0,Offensive foul by M. Plumlee,,63-67,,
8:37.0,Turnover by M. Plumlee (offensive foul),,63-67,,
8:37.0,A. Len enters the game for M. Plumlee,,63-67,,
8:23.0,,,63-70,3,C. Paul makes 3-pt shot from 22 ft (assist by B. Griffin)
8:23.0,Phoenix full timeout,,63-70,,
8:10.0,M. Morris misses 2-pt shot from 9 ft,,63-70,,
8:09.0,,,63-70,,Defensive rebound by D. Jordan
7:57.0,,,63-70,,Shooting foul by G. Dragic (drawn by B. Griffin)
7:57.0,,,63-71,1,B. Griffin makes free throw 1 of 2
7:57.0,,,63-71,,B. Griffin misses free throw 2 of 2
7:55.0,Defensive rebound by M. Morris,,63-71,,
7:40.0,A. Len makes 2-pt shot from 14 ft (assist by E. Bledsoe),2,65-71,,
7:19.0,,,65-73,2,B. Griffin makes 2-pt shot at rim (assist by C. Paul)
7:01.0,G. Dragic misses 3-pt shot from 26 ft,,65-73,,
7:00.0,Offensive rebound by A. Len,,65-73,,
6:51.0,P. Tucker misses 3-pt shot from 22 ft,,65-73,,
6:50.0,,,65-73,,Defensive rebound by B. Griffin
6:34.0,,,65-73,,Turnover by C. Paul (lost ball; steal by G. Dragic)
6:31.0,Turnover by G. Dragic (lost ball; steal by C. Paul),,65-73,,
6:31.0,,,65-73,,J. Redick misses 2-pt shot from 2 ft
6:31.0,Defensive rebound by Team,,65-73,,
6:31.0,,,65-73,,Loose ball foul by B. Griffin (drawn by P. Tucker)
6:18.0,A. Len misses 2-pt shot at rim,,65-73,,
6:18.0,,,65-73,,Defensive rebound by D. Jordan
6:18.0,Loose ball foul by A. Len (drawn by D. Jordan),,65-73,,
6:05.0,,,65-73,,C. Paul misses 3-pt shot from 25 ft
6:03.0,Defensive rebound by M. Morris,,65-73,,
5:54.0,A. Len misses 2-pt shot from 1 ft (block by D. Jordan),,65-73,,
5:52.0,,,65-73,,Defensive rebound by J. Redick
5:46.0,,,65-73,,J. Redick misses 3-pt shot from 26 ft
5:44.0,Defensive rebound by P. Tucker,,65-73,,
5:35.0,M. Morris makes 2-pt shot at rim (assist by E. Bledsoe),2,67-73,,
5:34.0,,,67-73,,LA Clippers full timeout
5:22.0,,,67-73,,B. Griffin misses 2-pt shot from 17 ft
5:20.0,,,67-73,,Offensive rebound by D. Jordan
5:14.0,,,67-75,2,B. Griffin makes 2-pt shot at rim (assist by M. Barnes)
4:52.0,M. Morris makes 3-pt shot from 23 ft (assist by G. Dragic),3,70-75,,
4:31.0,Personal foul by M. Morris (drawn by B. Griffin),,70-75,,
4:31.0,,,70-75,,J. Crawford enters the game for J. Redick
4:23.0,Personal foul by M. Morris (drawn by B. Griffin),,70-75,,
4:23.0,,,70-76,1,B. Griffin makes free throw 1 of 2
4:23.0,M. Morris enters the game for M. Morris,,70-76,,
4:23.0,,,70-77,1,B. Griffin makes free throw 2 of 2
4:07.0,M. Morris misses 2-pt shot from 16 ft,,70-77,,
4:05.0,Offensive rebound by A. Len,,70-77,,
3:55.0,E. Bledsoe misses 3-pt shot from 25 ft,,70-77,,
3:53.0,,,70-77,,Defensive rebound by B. Griffin
3:21.0,,,70-79,2,B. Griffin makes 2-pt shot from 22 ft (assist by C. Paul)
3:01.0,Turnover by M. Morris (lost ball),,70-79,,
3:01.0,,,70-79,,S. Hawes enters the game for D. Jordan
3:01.0,G. Green enters the game for E. Bledsoe,,70-79,,
2:38.0,,,70-79,,C. Paul misses 3-pt shot from 27 ft
2:37.0,,,70-79,,Offensive rebound by S. Hawes
2:32.0,,,70-81,2,M. Barnes makes 2-pt shot from 19 ft (assist by S. Hawes)
2:22.0,Shooting foul by M. Barnes (drawn by A. Len),,70-81,,
2:22.0,A. Len misses free throw 1 of 2,,70-81,,
2:22.0,Offensive rebound by Team,,70-81,,
2:22.0,A. Tolliver enters the game for P. Tucker,,70-81,,
2:22.0,A. Len makes free throw 2 of 2,1,71-81,,
2:10.0,,,71-83,2,S. Hawes makes 2-pt shot from 20 ft (assist by C. Paul)
1:57.0,M. Morris misses 3-pt shot from 24 ft,,71-83,,
1:55.0,Offensive rebound by M. Morris,,71-83,,
1:49.0,A. Len makes 2-pt shot at rim (assist by M. Morris),2,73-83,,
1:34.0,,,73-83,,S. Hawes misses 3-pt shot from 26 ft
1:33.0,Defensive rebound by A. Len,,73-83,,
1:23.0,A. Tolliver makes 3-pt shot from 23 ft (assist by G. Green),3,76-83,,
1:07.0,,,76-85,2,C. Paul makes 2-pt shot from 1 ft (assist by M. Barnes)
0:55.0,G. Dragic makes 2-pt shot from 2 ft (assist by G. Green),2,78-85,,
0:37.0,,,78-87,2,B. Griffin makes 2-pt shot from 2 ft
0:33.0,G. Green misses 3-pt shot from 24 ft,,78-87,,
0:31.0,,,78-87,,Defensive rebound by B. Griffin
0:10.0,,,78-89,2,C. Paul makes 2-pt shot from 16 ft
0:01.0,Shooting foul by S. Hawes (drawn by A. Len),,78-89,,
0:01.0,A. Len makes 2-pt shot at rim (assist by G. Dragic),2,80-89,,
0:01.0,,,80-89,,H. Turkoglu enters the game for B. Griffin
0:01.0,A. Len misses free throw 1 of 1,,80-89,,
0:00.0,,,80-89,,Defensive rebound by M. Barnes
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:42.0,M. Morris makes 2-pt shot from 16 ft (assist by M. Morris),2,82-89,,
11:24.0,,,82-89,,Shooting foul by M. Morris (drawn by D. Jordan)
11:24.0,,,82-89,,D. Jordan misses free throw 1 of 2
11:24.0,,,82-89,,Offensive rebound by Team
11:24.0,M. Plumlee enters the game for M. Morris,,82-89,,
11:24.0,E. Bledsoe enters the game for G. Dragic,,82-89,,
11:24.0,,,82-89,,D. Jordan misses free throw 2 of 2
11:23.0,Defensive rebound by A. Tolliver,,82-89,,
11:12.0,G. Green makes 2-pt shot from 12 ft (assist by E. Bledsoe),2,84-89,,
11:12.0,Shooting foul by J. Crawford (drawn by G. Green),,84-89,,
11:12.0,G. Green makes free throw 1 of 1,1,85-89,,
11:01.0,,,85-89,,J. Crawford misses 2-pt shot from 15 ft
10:59.0,,,85-89,,Offensive rebound by Team
10:57.0,,,85-91,2,J. Redick makes 2-pt shot at rim (assist by J. Crawford)
10:36.0,Shooting foul by J. Redick (drawn by E. Bledsoe),,85-91,,
10:36.0,E. Bledsoe makes free throw 1 of 2,1,86-91,,
10:36.0,E. Bledsoe makes free throw 2 of 2,1,87-91,,
10:22.0,,,87-94,3,J. Crawford makes 3-pt shot from 25 ft (assist by J. Redick)
10:05.0,G. Green misses 3-pt shot from 23 ft,,87-94,,
10:04.0,,,87-94,,Defensive rebound by S. Hawes
9:56.0,,,87-94,,J. Crawford misses 3-pt shot from 25 ft
9:55.0,Defensive rebound by E. Bledsoe,,87-94,,
9:47.0,E. Bledsoe makes 2-pt shot from 21 ft,2,89-94,,
9:33.0,,,89-94,,J. Redick misses 3-pt shot from 25 ft
9:31.0,Defensive rebound by M. Plumlee,,89-94,,
9:24.0,E. Bledsoe makes 2-pt shot from 18 ft,2,91-94,,
9:13.0,,,91-94,,Turnover by J. Crawford (bad pass; steal by E. Bledsoe)
9:13.0,,,91-94,,Personal foul by J. Crawford (drawn by E. Bledsoe)
9:13.0,,,91-94,,Technical foul by J. Crawford (drawn by E. Bledsoe)
9:13.0,,,91-94,,J. Crawford ejected from game
9:13.0,,,91-94,,C. Paul enters the game for J. Crawford
9:13.0,,,91-94,,M. Barnes enters the game for H. Turkoglu
9:13.0,,,91-94,,Technical foul by Team
9:13.0,E. Bledsoe makes technical free throw,1,92-94,,
9:13.0,E. Bledsoe makes technical free throw,1,93-94,,
8:59.0,M. Morris makes 3-pt shot from 26 ft (assist by E. Bledsoe),3,96-94,,
8:41.0,,,96-94,,J. Redick misses 3-pt shot from 25 ft
8:39.0,Defensive rebound by M. Morris,,96-94,,
8:20.0,G. Green misses 2-pt shot from 13 ft,,96-94,,
8:19.0,,,96-94,,Defensive rebound by D. Jordan
8:08.0,,,96-96,2,C. Paul makes 2-pt shot from 15 ft
7:51.0,M. Morris makes 3-pt shot from 24 ft,3,99-96,,
7:34.0,,,99-96,,M. Barnes misses 3-pt shot from 25 ft
7:32.0,Defensive rebound by E. Bledsoe,,99-96,,
7:23.0,M. Plumlee makes 2-pt shot from 1 ft (assist by E. Bledsoe),2,101-96,,
7:22.0,,,101-96,,LA Clippers full timeout
7:22.0,,,101-96,,B. Griffin enters the game for S. Hawes
7:08.0,Personal foul by M. Plumlee (drawn by B. Griffin),,101-96,,
6:53.0,,,101-96,,C. Paul misses 2-pt shot from 5 ft
6:51.0,Defensive rebound by M. Plumlee,,101-96,,
6:37.0,E. Bledsoe misses 3-pt shot from 24 ft,,101-96,,
6:36.0,,,101-96,,Defensive rebound by B. Griffin
6:22.0,,,101-96,,B. Griffin misses 2-pt shot from 1 ft
6:19.0,Defensive rebound by E. Bledsoe,,101-96,,
6:06.0,Turnover by M. Morris (bad pass; steal by J. Redick),,101-96,,
6:01.0,,,101-98,2,M. Barnes makes 2-pt shot at rim (assist by J. Redick)
5:52.0,G. Green makes 2-pt shot from 3 ft,2,103-98,,
5:40.0,Official timeout,,103-98,,
5:37.0,,,103-98,,Shooting foul by M. Plumlee (drawn by B. Griffin)
5:37.0,,,103-99,1,B. Griffin makes free throw 1 of 2
5:37.0,,,103-100,1,B. Griffin makes free throw 2 of 2
5:22.0,Turnover by A. Tolliver (bad pass),,103-100,,
5:14.0,,,103-100,,Shooting foul by A. Tolliver (drawn by B. Griffin)
5:14.0,,,103-101,1,B. Griffin makes free throw 1 of 2
5:14.0,A. Len enters the game for M. Plumlee,,103-101,,
5:14.0,M. Morris enters the game for A. Tolliver,,103-101,,
5:14.0,,,103-102,1,B. Griffin makes free throw 2 of 2
5:00.0,A. Len misses 2-pt shot from 2 ft,,103-102,,
4:58.0,,,103-102,,Defensive rebound by M. Barnes
4:58.0,Personal foul by A. Len (drawn by C. Paul),,103-102,,
4:58.0,,,103-103,1,C. Paul makes free throw 1 of 2
4:58.0,G. Dragic enters the game for M. Morris,,103-103,,
4:58.0,,,103-104,1,C. Paul makes free throw 2 of 2
4:40.0,,,103-104,,Personal block foul by B. Griffin (drawn by E. Bledsoe)
4:27.0,Offensive charge foul by E. Bledsoe,,103-104,,
4:27.0,Turnover by E. Bledsoe (offensive foul),,103-104,,
4:14.0,,,103-106,2,B. Griffin makes 2-pt shot from 2 ft
4:14.0,,,103-106,,Shooting foul by A. Len (drawn by B. Griffin)
4:14.0,,,103-107,1,B. Griffin makes free throw 1 of 1
4:14.0,Phoenix full timeout,,103-107,,
4:01.0,A. Len misses 2-pt shot from 3 ft (block by D. Jordan),,103-107,,
3:58.0,,,103-107,,Defensive rebound by J. Redick
3:49.0,,,103-107,,C. Paul misses 3-pt shot from 25 ft
