time,Denver,pts.away,score,pts.home,Chicago
8:20.0,,,8-7,3,M. Dunleavy makes 3-pt shot from 24 ft (assist by J. Butler)
8:00.0,T. Mozgov misses 2-pt shot from 5 ft (block by P. Gasol),,8-7,,
7:59.0,,,8-7,,Defensive rebound by J. Noah
7:45.0,,,8-7,,M. Dunleavy misses 2-pt shot from 17 ft
7:44.0,Defensive rebound by T. Lawson,,8-7,,
7:39.0,T. Lawson makes 2-pt shot from 15 ft,2,10-7,,
7:20.0,,,10-7,,Shooting foul by T. Mozgov (drawn by P. Gasol)
7:20.0,,,10-8,1,P. Gasol makes free throw 1 of 2
7:20.0,,,10-8,,P. Gasol misses free throw 2 of 2
7:18.0,Defensive rebound by K. Faried,,10-8,,
7:00.0,K. Faried misses 2-pt shot from 15 ft,,10-8,,
6:59.0,,,10-8,,Defensive rebound by J. Butler
6:47.0,,,10-8,,J. Noah misses 2-pt shot from 20 ft
6:46.0,Defensive rebound by K. Faried,,10-8,,
6:32.0,Turnover by A. Afflalo (lost ball; steal by J. Butler),,10-8,,
6:30.0,Personal foul by T. Lawson (drawn by D. Rose),,10-8,,
6:17.0,,,10-8,,P. Gasol misses 2-pt shot from 1 ft
6:16.0,Defensive rebound by K. Faried,,10-8,,
6:08.0,A. Afflalo misses 2-pt shot from 19 ft,,10-8,,
6:06.0,Offensive rebound by T. Mozgov,,10-8,,
6:06.0,T. Mozgov misses 2-pt shot from 1 ft (block by P. Gasol),,10-8,,
6:04.0,,,10-8,,Defensive rebound by J. Noah
5:53.0,,,10-8,,D. Rose misses 2-pt shot from 18 ft
5:52.0,Defensive rebound by T. Mozgov,,10-8,,
5:45.0,K. Faried misses 2-pt shot from 2 ft (block by J. Noah),,10-8,,
5:43.0,,,10-8,,Defensive rebound by J. Noah
5:40.0,,,10-10,2,J. Butler makes 2-pt shot at rim (assist by D. Rose)
5:39.0,Denver full timeout,,10-10,,
5:39.0,J. Hickson enters the game for K. Faried,,10-10,,
5:29.0,A. Afflalo makes 2-pt shot from 2 ft (assist by T. Mozgov),2,12-10,,
5:00.0,,,12-10,,D. Rose misses 2-pt shot from 20 ft
4:59.0,Defensive rebound by T. Mozgov,,12-10,,
4:55.0,Shooting foul by M. Dunleavy (drawn by W. Chandler),,12-10,,
4:55.0,W. Chandler makes free throw 1 of 2,1,13-10,,
4:55.0,,,13-10,,K. Hinrich enters the game for D. Rose
4:55.0,,,13-10,,T. Gibson enters the game for J. Noah
4:55.0,W. Chandler makes free throw 2 of 2,1,14-10,,
4:37.0,,,14-12,2,P. Gasol makes 2-pt shot from 2 ft
4:19.0,T. Mozgov misses 2-pt shot from 4 ft (block by P. Gasol),,14-12,,
4:17.0,,,14-12,,Defensive rebound by T. Gibson
4:05.0,,,14-15,3,M. Dunleavy makes 3-pt shot from 25 ft (assist by J. Butler)
3:46.0,T. Lawson makes 2-pt shot from 9 ft,2,16-15,,
3:30.0,,,16-18,3,K. Hinrich makes 3-pt shot from 25 ft (assist by J. Butler)
3:18.0,A. Afflalo makes 2-pt shot from 10 ft,2,18-18,,
3:04.0,,,18-18,,J. Butler misses 2-pt shot from 1 ft
3:03.0,,,18-18,,Offensive rebound by P. Gasol
3:03.0,,,18-20,2,P. Gasol makes 2-pt shot at rim
2:44.0,T. Lawson misses 2-pt shot from 12 ft,,18-20,,
2:43.0,Offensive rebound by J. Hickson,,18-20,,
2:41.0,J. Hickson misses 2-pt shot from 10 ft,,18-20,,
2:41.0,Offensive rebound by Team,,18-20,,
2:41.0,,,18-20,,Chicago full timeout
2:41.0,J. Nurkic enters the game for T. Mozgov,,18-20,,
2:41.0,G. Harris enters the game for W. Chandler,,18-20,,
2:22.0,J. Nurkic misses 2-pt shot from 7 ft,,18-20,,
2:21.0,,,18-20,,Defensive rebound by M. Dunleavy
2:08.0,,,18-20,,T. Gibson misses 2-pt shot from 7 ft
2:07.0,,,18-20,,Offensive rebound by P. Gasol
2:07.0,,,18-20,,P. Gasol misses 2-pt shot from 2 ft
2:06.0,,,18-20,,Offensive rebound by P. Gasol
2:06.0,,,18-20,,P. Gasol misses 2-pt shot from 2 ft
2:05.0,Defensive rebound by J. Nurkic,,18-20,,
1:54.0,G. Harris makes 3-pt shot from 24 ft (assist by T. Lawson),3,21-20,,
1:35.0,Personal foul by J. Hickson (drawn by T. Gibson),,21-20,,
1:35.0,,,21-20,,A. Brooks enters the game for M. Dunleavy
1:35.0,N. Robinson enters the game for A. Afflalo,,21-20,,
1:25.0,,,21-20,,Shooting foul by J. Nurkic (drawn by T. Gibson)
1:25.0,,,21-21,1,T. Gibson makes free throw 1 of 2
1:25.0,,,21-22,1,T. Gibson makes free throw 2 of 2
1:12.0,,,21-22,,Personal foul by T. Gibson (drawn by J. Nurkic)
1:12.0,,,21-22,,T. Snell enters the game for J. Butler
1:03.0,J. Hickson misses 2-pt shot from 9 ft,,21-22,,
1:00.0,,,21-22,,Defensive rebound by K. Hinrich
0:48.0,,,21-22,,P. Gasol misses 2-pt shot from 2 ft
0:47.0,,,21-22,,Offensive rebound by P. Gasol
0:46.0,,,21-22,,P. Gasol misses 2-pt shot from 1 ft
0:45.0,Defensive rebound by T. Lawson,,21-22,,
0:41.0,Shooting foul by K. Hinrich (drawn by T. Lawson),,21-22,,
0:41.0,T. Lawson makes free throw 1 of 2,1,22-22,,
0:41.0,T. Lawson makes free throw 2 of 2,1,23-22,,
0:25.0,,,23-22,,A. Brooks misses 2-pt shot from 1 ft
0:24.0,Defensive rebound by J. Nurkic,,23-22,,
0:02.0,N. Robinson misses 2-pt shot from 20 ft (block by T. Gibson),,23-22,,
0:00.0,,,23-22,,Defensive rebound by T. Snell
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:42.0,G. Harris misses 2-pt shot from 22 ft,,23-22,,
11:41.0,,,23-22,,Defensive rebound by Team
11:28.0,,,23-22,,T. Gibson misses 2-pt shot from 13 ft
11:27.0,Defensive rebound by J. Nurkic,,23-22,,
11:18.0,,,23-22,,Personal foul by T. Gibson (drawn by J. Nurkic)
11:04.0,Turnover by Team (shot clock),,23-22,,
10:45.0,,,23-22,,Shooting foul by N. Robinson (drawn by T. Gibson)
10:45.0,,,23-22,,T. Gibson misses free throw 1 of 2
10:45.0,,,23-22,,Offensive rebound by Team
10:45.0,,,23-23,1,T. Gibson makes free throw 2 of 2
10:32.0,,,23-23,,Def 3 sec tech foul by T. Gibson
10:32.0,N. Robinson misses technical free throw,,23-23,,
10:32.0,Offensive rebound by Team,,23-23,,
10:29.0,Offensive foul by J. Hickson,,23-23,,
10:29.0,Turnover by J. Hickson (offensive foul),,23-23,,
10:13.0,,,23-23,,A. Brooks misses 2-pt shot from 14 ft
10:12.0,Defensive rebound by J. Hickson,,23-23,,
9:58.0,G. Harris misses 2-pt shot from 20 ft,,23-23,,
9:57.0,,,23-23,,Defensive rebound by Team
9:57.0,K. Faried enters the game for T. Lawson,,23-23,,
9:57.0,W. Chandler enters the game for J. Hickson,,23-23,,
9:45.0,,,23-23,,T. Gibson misses 2-pt shot from 2 ft (block by J. Nurkic)
9:44.0,,,23-23,,Offensive rebound by T. Gibson
9:33.0,,,23-23,,T. Gibson misses 2-pt shot from 1 ft
9:30.0,Defensive rebound by N. Robinson,,23-23,,
9:26.0,W. Chandler makes 2-pt shot from 1 ft (assist by N. Robinson),2,25-23,,
9:01.0,,,25-26,3,A. Brooks makes 3-pt shot from 24 ft
8:44.0,,,25-26,,Violation by T. Gibson (kicked ball)
8:44.0,Denver full timeout,,25-26,,
8:44.0,Denver full timeout,,25-26,,
8:33.0,N. Robinson misses 3-pt shot from 24 ft,,25-26,,
8:32.0,,,25-26,,Defensive rebound by K. Hinrich
8:09.0,,,25-26,,T. Gibson misses 2-pt shot from 16 ft
8:08.0,Defensive rebound by K. Faried,,25-26,,
7:57.0,W. Chandler misses 2-pt shot from 2 ft,,25-26,,
7:56.0,,,25-26,,Defensive rebound by T. Gibson
7:56.0,,,25-26,,Turnover by T. Gibson (step out of bounds)
7:56.0,A. Afflalo enters the game for G. Harris,,25-26,,
7:56.0,,,25-26,,J. Butler enters the game for T. Snell
7:49.0,W. Chandler misses 2-pt shot from 3 ft (block by J. Butler),,25-26,,
7:48.0,,,25-26,,Defensive rebound by J. Butler
7:36.0,Personal foul by N. Robinson (drawn by J. Butler),,25-26,,
7:36.0,,,25-26,,J. Noah enters the game for N. Mirotic
7:34.0,,,25-26,,Turnover by J. Butler (bad pass; steal by K. Faried)
7:29.0,W. Chandler makes 2-pt shot at rim (assist by K. Faried),2,27-26,,
7:16.0,,,27-26,,A. Brooks misses 3-pt shot from 24 ft
7:16.0,Defensive rebound by K. Faried,,27-26,,
7:16.0,,,27-26,,Personal foul by T. Gibson (drawn by K. Faried)
7:16.0,,,27-26,,P. Gasol enters the game for T. Gibson
7:16.0,T. Mozgov enters the game for J. Nurkic,,27-26,,
7:16.0,,,27-26,,D. Rose enters the game for K. Hinrich
7:03.0,N. Robinson misses 2-pt shot from 2 ft,,27-26,,
7:01.0,Offensive rebound by K. Faried,,27-26,,
7:01.0,K. Faried makes 2-pt shot from 1 ft,2,29-26,,
6:42.0,,,29-29,3,A. Brooks makes 3-pt shot from 25 ft (assist by P. Gasol)
6:19.0,T. Lawson enters the game for N. Robinson,,29-29,,
6:12.0,A. Afflalo misses 2-pt shot from 2 ft (block by D. Rose),,29-29,,
6:11.0,Offensive rebound by A. Afflalo,,29-29,,
6:09.0,A. Afflalo misses 2-pt shot from 4 ft,,29-29,,
6:08.0,,,29-29,,Defensive rebound by A. Brooks
5:59.0,,,29-29,,D. Rose misses 2-pt shot from 17 ft
5:58.0,Defensive rebound by K. Faried,,29-29,,
5:52.0,Shooting foul by J. Noah (drawn by K. Faried),,29-29,,
5:52.0,K. Faried makes free throw 1 of 2,1,30-29,,
5:52.0,K. Faried makes free throw 2 of 2,1,31-29,,
5:32.0,,,31-29,,J. Butler misses 3-pt shot from 24 ft
5:31.0,Defensive rebound by K. Faried,,31-29,,
5:26.0,W. Chandler makes 2-pt shot from 2 ft (assist by K. Faried),2,33-29,,
5:11.0,,,33-31,2,P. Gasol makes 2-pt shot from 19 ft (assist by D. Rose)
5:00.0,T. Lawson misses 2-pt shot from 1 ft (block by A. Brooks),,33-31,,
4:58.0,,,33-31,,Defensive rebound by A. Brooks
4:55.0,,,33-31,,Shooting foul by W. Chandler (drawn by J. Butler)
4:55.0,,,33-32,1,J. Butler makes free throw 1 of 2
4:55.0,,,33-33,1,J. Butler makes free throw 2 of 2
4:41.0,W. Chandler misses 2-pt shot from 7 ft,,33-33,,
4:41.0,,,33-33,,Defensive rebound by Team
4:41.0,Loose ball foul by T. Mozgov (drawn by J. Noah),,33-33,,
4:24.0,,,33-33,,J. Butler misses 2-pt shot from 14 ft
4:23.0,Defensive rebound by T. Mozgov,,33-33,,
4:17.0,Turnover by A. Afflalo (lost ball; steal by A. Brooks),,33-33,,
4:14.0,,,33-35,2,A. Brooks makes 2-pt shot from 2 ft
3:59.0,A. Afflalo makes 2-pt shot from 12 ft,2,35-35,,
3:40.0,,,35-35,,A. Brooks misses 3-pt shot from 26 ft
3:39.0,Defensive rebound by K. Faried,,35-35,,
3:36.0,Offensive charge foul by K. Faried,,35-35,,
3:36.0,Turnover by K. Faried (offensive foul),,35-35,,
3:36.0,,,35-35,,M. Dunleavy enters the game for A. Brooks
3:24.0,,,35-35,,Turnover by J. Butler (bad pass; steal by T. Lawson)
3:10.0,W. Chandler makes 3-pt shot from 24 ft (assist by A. Afflalo),3,38-35,,
2:55.0,,,38-35,,M. Dunleavy misses 2-pt shot from 5 ft
2:54.0,Defensive rebound by K. Faried,,38-35,,
2:51.0,W. Chandler makes 2-pt shot at rim (assist by T. Lawson),2,40-35,,
2:35.0,,,40-35,,D. Rose misses 2-pt shot from 16 ft
2:34.0,Defensive rebound by T. Mozgov,,40-35,,
2:29.0,W. Chandler makes 3-pt shot from 26 ft (assist by T. Lawson),3,43-35,,
2:22.0,,,43-35,,Chicago full timeout
2:09.0,,,43-35,,P. Gasol misses 2-pt shot from 8 ft
2:08.0,,,43-35,,Offensive rebound by J. Noah
2:08.0,,,43-37,2,J. Noah makes 2-pt shot from 2 ft
1:45.0,Shooting foul by M. Dunleavy (drawn by A. Afflalo),,43-37,,
1:45.0,A. Afflalo makes free throw 1 of 2,1,44-37,,
1:45.0,A. Afflalo makes free throw 2 of 2,1,45-37,,
1:35.0,,,45-39,2,J. Butler makes 2-pt shot from 17 ft (assist by D. Rose)
1:23.0,T. Lawson makes 3-pt shot from 24 ft,3,48-39,,
1:08.0,,,48-41,2,J. Butler makes 2-pt shot from 2 ft (assist by D. Rose)
1:08.0,,,48-41,,Shooting foul by T. Mozgov (drawn by J. Butler)
1:08.0,,,48-42,1,J. Butler makes free throw 1 of 1
0:54.0,Shooting foul by M. Dunleavy (drawn by T. Mozgov),,48-42,,
0:54.0,T. Mozgov makes free throw 1 of 2,1,49-42,,
0:54.0,,,49-42,,K. Hinrich enters the game for M. Dunleavy
0:54.0,T. Mozgov makes free throw 2 of 2,1,50-42,,
0:40.0,,,50-42,,Turnover by P. Gasol (lost ball)
0:40.0,J. Nurkic enters the game for T. Mozgov,,50-42,,
0:33.0,T. Lawson makes 2-pt shot from 14 ft,2,52-42,,
0:20.0,,,52-42,,D. Rose misses 2-pt shot from 19 ft
0:19.0,Defensive rebound by J. Nurkic,,52-42,,
0:05.0,,,52-42,,Personal foul by J. Butler (drawn by T. Lawson)
0:05.0,T. Lawson misses free throw 1 of 2,,52-42,,
0:05.0,Offensive rebound by Team,,52-42,,
0:05.0,G. Harris enters the game for J. Nurkic,,52-42,,
0:05.0,T. Lawson makes free throw 2 of 2,1,53-42,,
0:00.0,,,53-42,,D. Rose misses 2-pt shot from 1 ft
0:00.0,,,53-42,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:46.0,T. Lawson makes 2-pt shot from 9 ft,2,55-42,,
11:27.0,,,55-42,,D. Rose misses 2-pt shot from 19 ft
11:26.0,Defensive rebound by W. Chandler,,55-42,,
11:17.0,Offensive foul by W. Chandler,,55-42,,
11:17.0,Turnover by W. Chandler (offensive foul),,55-42,,
11:02.0,,,55-44,2,J. Butler makes 2-pt shot from 2 ft (assist by P. Gasol)
10:45.0,K. Faried misses 2-pt shot from 1 ft (block by J. Noah),,55-44,,
10:44.0,Offensive rebound by K. Faried,,55-44,,
10:44.0,Shooting foul by J. Noah (drawn by K. Faried),,55-44,,
10:44.0,K. Faried makes free throw 1 of 2,1,56-44,,
10:44.0,K. Faried makes free throw 2 of 2,1,57-44,,
10:32.0,Personal foul by T. Mozgov (drawn by J. Noah),,57-44,,
10:22.0,,,57-44,,Shooting foul by T. Mozgov (drawn by P. Gasol)
10:22.0,,,57-45,1,P. Gasol makes free throw 1 of 2
10:22.0,J. Nurkic enters the game for T. Mozgov,,57-45,,
10:22.0,,,57-46,1,P. Gasol makes free throw 2 of 2
10:08.0,T. Lawson misses 2-pt shot from 13 ft,,57-46,,
10:07.0,,,57-46,,Defensive rebound by P. Gasol
10:02.0,,,57-48,2,D. Rose makes 2-pt shot at rim
9:44.0,Shooting foul by D. Rose (drawn by J. Nurkic),,57-48,,
9:44.0,J. Nurkic makes free throw 1 of 2,1,58-48,,
9:44.0,J. Nurkic misses free throw 2 of 2,,58-48,,
9:43.0,,,58-48,,Defensive rebound by J. Noah
9:32.0,,,58-50,2,D. Rose makes 2-pt shot from 1 ft
9:12.0,T. Lawson misses 2-pt shot from 1 ft (block by P. Gasol),,58-50,,
9:10.0,,,58-50,,Defensive rebound by J. Butler
9:09.0,Personal foul by W. Chandler (drawn by J. Butler),,58-50,,
9:01.0,,,58-50,,D. Rose misses 2-pt shot from 16 ft
9:00.0,Defensive rebound by T. Lawson,,58-50,,
8:56.0,T. Lawson makes 2-pt shot from 16 ft,2,60-50,,
8:41.0,,,60-50,,P. Gasol misses 2-pt shot from 2 ft (block by J. Nurkic)
8:39.0,Defensive rebound by J. Nurkic,,60-50,,
8:28.0,J. Nurkic makes 2-pt shot from 2 ft (assist by T. Lawson),2,62-50,,
8:10.0,,,62-53,3,J. Butler makes 3-pt shot from 24 ft (assist by D. Rose)
7:47.0,W. Chandler misses 2-pt shot from 2 ft,,62-53,,
7:46.0,Offensive rebound by W. Chandler,,62-53,,
7:46.0,W. Chandler makes 2-pt shot from 2 ft,2,64-53,,
7:42.0,,,64-53,,Chicago full timeout
7:42.0,,,64-53,,K. Hinrich enters the game for M. Dunleavy
7:17.0,,,64-55,2,J. Butler makes 2-pt shot from 18 ft (assist by P. Gasol)
7:01.0,Turnover by T. Lawson (bad pass; steal by J. Butler),,64-55,,
6:44.0,,,64-55,,D. Rose misses 3-pt shot from 22 ft
6:43.0,Defensive rebound by T. Lawson,,64-55,,
6:37.0,W. Chandler makes 2-pt shot from 3 ft (assist by T. Lawson),2,66-55,,
6:29.0,,,66-57,2,J. Butler makes 2-pt shot from 1 ft (assist by D. Rose)
6:06.0,J. Nurkic misses 2-pt shot from 3 ft (block by D. Rose),,66-57,,
6:06.0,Offensive rebound by Team,,66-57,,
6:03.0,J. Nurkic misses 3-pt shot from 26 ft,,66-57,,
6:01.0,,,66-57,,Defensive rebound by D. Rose
5:57.0,,,66-57,,D. Rose misses 2-pt shot from 2 ft
5:56.0,,,66-57,,Offensive rebound by P. Gasol
5:56.0,,,66-59,2,P. Gasol makes 2-pt shot from 1 ft
5:56.0,Denver full timeout,,66-59,,
5:41.0,K. Faried misses 2-pt shot from 1 ft,,66-59,,
5:40.0,,,66-59,,Defensive rebound by J. Noah
5:22.0,,,66-59,,D. Rose misses 2-pt shot from 2 ft
5:22.0,Defensive rebound by K. Faried,,66-59,,
5:22.0,,,66-59,,Personal foul by J. Noah (drawn by K. Faried)
5:12.0,J. Nurkic misses 2-pt shot from 1 ft,,66-59,,
5:11.0,Offensive rebound by K. Faried,,66-59,,
5:11.0,K. Faried makes 2-pt shot at rim,2,68-59,,
4:48.0,Violation by J. Nurkic (def goaltending),,68-59,,
4:48.0,,,68-61,2,K. Hinrich makes 2-pt shot from 2 ft
4:34.0,T. Lawson misses 2-pt shot from 15 ft,,68-61,,
4:33.0,,,68-61,,Defensive rebound by P. Gasol
4:24.0,,,68-61,,P. Gasol misses 2-pt shot from 3 ft
4:23.0,Defensive rebound by A. Afflalo,,68-61,,
4:22.0,Turnover by A. Afflalo (discontinued dribble),,68-61,,
4:22.0,J. Hickson enters the game for K. Faried,,68-61,,
4:22.0,,,68-61,,T. Gibson enters the game for J. Noah
4:06.0,,,68-63,2,T. Gibson makes 2-pt shot from 3 ft (assist by J. Butler)
3:51.0,T. Lawson makes 2-pt shot from 17 ft (assist by J. Nurkic),2,70-63,,
3:31.0,,,70-65,2,P. Gasol makes 2-pt shot from 19 ft (assist by D. Rose)
3:20.0,J. Hickson misses 2-pt shot from 3 ft (block by P. Gasol),,70-65,,
3:19.0,Offensive rebound by J. Hickson,,70-65,,
3:18.0,J. Hickson misses 2-pt shot from 2 ft (block by P. Gasol),,70-65,,
3:15.0,,,70-65,,Defensive rebound by P. Gasol
3:07.0,,,70-65,,Shooting foul by W. Chandler (drawn by J. Butler)
3:07.0,,,70-66,1,J. Butler makes free throw 1 of 2
3:07.0,G. Harris enters the game for W. Chandler,,70-66,,
3:07.0,N. Robinson enters the game for A. Afflalo,,70-66,,
3:07.0,,,70-67,1,J. Butler makes free throw 2 of 2
2:55.0,,,70-67,,Personal foul by P. Gasol (drawn by J. Nurkic)
2:39.0,G. Harris misses 3-pt shot from 23 ft,,70-67,,
2:38.0,Offensive rebound by J. Nurkic,,70-67,,
2:38.0,J. Nurkic misses 2-pt shot from 1 ft,,70-67,,
2:36.0,Offensive rebound by J. Nurkic,,70-67,,
2:36.0,Shooting foul by T. Gibson (drawn by J. Nurkic),,70-67,,
2:36.0,J. Nurkic makes free throw 1 of 2,1,71-67,,
2:36.0,,,71-67,,N. Mirotic enters the game for T. Gibson
2:36.0,,,71-67,,A. Brooks enters the game for D. Rose
2:36.0,J. Nurkic misses free throw 2 of 2,,71-67,,
2:34.0,,,71-67,,Defensive rebound by P. Gasol
2:23.0,Personal foul by G. Harris (drawn by J. Butler),,71-67,,
2:23.0,,,71-68,1,J. Butler makes free throw 1 of 2
2:23.0,,,71-69,1,J. Butler makes free throw 2 of 2
2:06.0,Shooting foul by N. Mirotic (drawn by J. Hickson),,71-69,,
2:06.0,J. Hickson makes free throw 1 of 2,1,72-69,,
2:06.0,J. Hickson misses free throw 2 of 2,,72-69,,
2:04.0,,,72-69,,Defensive rebound by J. Butler
1:46.0,,,72-69,,P. Gasol misses 2-pt shot from 4 ft (block by J. Nurkic)
1:45.0,Defensive rebound by T. Lawson,,72-69,,
1:42.0,T. Lawson misses 2-pt shot at rim,,72-69,,
1:41.0,,,72-69,,Defensive rebound by Team
1:41.0,Loose ball foul by N. Robinson (drawn by N. Mirotic),,72-69,,
1:41.0,,,72-70,1,N. Mirotic makes free throw 1 of 2
1:41.0,,,72-70,,N. Mirotic misses free throw 2 of 2
1:39.0,Defensive rebound by J. Hickson,,72-70,,
1:17.0,J. Nurkic makes 2-pt shot from 2 ft (assist by N. Robinson),2,74-70,,
1:05.0,Personal foul by G. Harris (drawn by J. Butler),,74-70,,
1:05.0,,,74-71,1,J. Butler makes free throw 1 of 2
1:05.0,,,74-72,1,J. Butler makes free throw 2 of 2
0:49.0,J. Hickson misses 2-pt shot from 2 ft (block by P. Gasol),,74-72,,
0:47.0,Offensive rebound by G. Harris,,74-72,,
0:43.0,J. Nurkic misses 2-pt shot from 9 ft (block by P. Gasol),,74-72,,
0:42.0,,,74-72,,Defensive rebound by A. Brooks
0:42.0,Personal foul by J. Hickson (drawn by A. Brooks),,74-72,,
0:42.0,,,74-73,1,A. Brooks makes free throw 1 of 2
0:42.0,A. Afflalo enters the game for T. Lawson,,74-73,,
0:42.0,,,74-74,1,A. Brooks makes free throw 2 of 2
0:34.0,Turnover by J. Nurkic (bad pass; steal by N. Mirotic),,74-74,,
0:16.0,,,74-77,3,K. Hinrich makes 3-pt shot from 23 ft (assist by J. Butler)
0:01.0,N. Robinson misses 2-pt shot from 16 ft,,74-77,,
0:00.0,,,74-77,,Defensive rebound by J. Butler
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:38.0,,,74-79,2,P. Gasol makes 2-pt shot from 3 ft (assist by J. Butler)
11:17.0,A. Afflalo makes 2-pt shot from 11 ft,2,76-79,,
10:54.0,,,76-79,,N. Mirotic misses 3-pt shot from 25 ft
10:53.0,Defensive rebound by N. Robinson,,76-79,,
10:44.0,N. Robinson misses 2-pt shot from 19 ft,,76-79,,
10:42.0,,,76-79,,Defensive rebound by J. Butler
10:28.0,,,76-79,,A. Brooks misses 2-pt shot from 3 ft
10:27.0,Defensive rebound by J. Hickson,,76-79,,
10:24.0,Turnover by J. Hickson (lost ball; steal by A. Brooks),,76-79,,
10:16.0,,,76-81,2,K. Hinrich makes 2-pt shot from 14 ft (assist by N. Mirotic)
10:14.0,Denver full timeout,,76-81,,
10:14.0,T. Mozgov enters the game for J. Hickson,,76-81,,
10:04.0,G. Harris makes 2-pt shot from 6 ft (assist by N. Robinson),2,78-81,,
9:43.0,,,78-81,,J. Butler misses 2-pt shot from 14 ft
9:42.0,,,78-81,,Offensive rebound by J. Butler
9:40.0,,,78-81,,J. Butler misses 2-pt shot from 2 ft
9:39.0,Defensive rebound by T. Mozgov,,78-81,,
9:31.0,N. Robinson misses 2-pt shot from 11 ft (block by P. Gasol),,78-81,,
9:31.0,Offensive rebound by Team,,78-81,,
9:26.0,K. Faried makes 2-pt shot at rim (assist by G. Harris),2,80-81,,
9:09.0,,,80-81,,Turnover by A. Brooks (bad pass; steal by A. Afflalo)
9:05.0,A. Afflalo makes 2-pt shot at rim,2,82-81,,
8:40.0,,,82-83,2,N. Mirotic makes 2-pt shot from 3 ft (assist by P. Gasol)
8:22.0,N. Robinson misses 2-pt shot from 2 ft,,82-83,,
8:19.0,Offensive rebound by K. Faried,,82-83,,
8:19.0,K. Faried makes 2-pt shot from 3 ft,2,84-83,,
8:12.0,,,84-83,,Chicago full timeout
8:12.0,,,84-83,,J. Noah enters the game for P. Gasol
8:12.0,,,84-83,,T. Gibson enters the game for N. Mirotic
8:12.0,T. Lawson enters the game for N. Robinson,,84-83,,
8:01.0,,,84-83,,Turnover by J. Butler (step out of bounds)
7:49.0,Shooting foul by A. Brooks (drawn by G. Harris),,84-83,,
7:49.0,G. Harris makes free throw 1 of 2,1,85-83,,
7:49.0,,,85-83,,D. Rose enters the game for J. Butler
7:49.0,G. Harris makes free throw 2 of 2,1,86-83,,
7:31.0,,,86-83,,D. Rose misses 2-pt shot from 2 ft (block by K. Faried)
7:30.0,Defensive rebound by A. Afflalo,,86-83,,
7:28.0,Offensive charge foul by A. Afflalo,,86-83,,
7:28.0,Turnover by A. Afflalo (offensive foul),,86-83,,
7:11.0,,,86-83,,J. Noah misses 2-pt shot from 19 ft
7:10.0,Defensive rebound by T. Lawson,,86-83,,
6:55.0,G. Harris misses 3-pt shot from 25 ft,,86-83,,
6:54.0,,,86-83,,Defensive rebound by A. Brooks
6:47.0,,,86-83,,D. Rose misses 3-pt shot from 24 ft
6:46.0,,,86-83,,Offensive rebound by J. Noah
6:46.0,,,86-85,2,J. Noah makes 2-pt shot at rim
6:28.0,G. Harris misses 2-pt shot from 22 ft,,86-85,,
6:27.0,,,86-85,,Defensive rebound by J. Noah
