time,Toronto,pts.away,score,pts.home,Denver
5:11.0,G. Vasquez makes 2-pt shot from 19 ft,2,15-15,,
4:56.0,,,15-15,,A. Afflalo misses 2-pt shot from 16 ft
4:56.0,,,15-15,,Offensive rebound by T. Mozgov
4:56.0,Loose ball foul by A. Johnson (drawn by T. Mozgov),,15-15,,
4:56.0,,,15-15,,T. Mozgov misses free throw 1 of 2
4:56.0,,,15-15,,Offensive rebound by Team
4:56.0,,,15-16,1,T. Mozgov makes free throw 2 of 2
4:36.0,Shooting foul by D. Arthur (drawn by P. Patterson),,15-16,,
4:36.0,P. Patterson misses free throw 1 of 2,,15-16,,
4:36.0,Offensive rebound by Team,,15-16,,
4:36.0,P. Patterson misses free throw 2 of 2,,15-16,,
4:34.0,,,15-16,,Defensive rebound by D. Arthur
4:10.0,,,15-16,,T. Lawson misses 2-pt shot from 19 ft
4:09.0,Defensive rebound by K. Lowry,,15-16,,
4:03.0,A. Johnson makes 2-pt shot from 1 ft (assist by K. Lowry),2,17-16,,
3:47.0,,,17-18,2,T. Mozgov makes 2-pt shot at rim (assist by A. Afflalo)
3:35.0,G. Vasquez misses 3-pt shot from 26 ft,,17-18,,
3:32.0,,,17-18,,Defensive rebound by T. Lawson
3:26.0,,,17-18,,D. Arthur misses 3-pt shot from 24 ft
3:25.0,Defensive rebound by T. Ross,,17-18,,
3:10.0,K. Lowry makes 2-pt shot from 15 ft (assist by G. Vasquez),2,19-18,,
2:48.0,,,19-18,,D. Arthur misses 2-pt shot from 14 ft
2:47.0,,,19-18,,Offensive rebound by Team
2:47.0,,,19-18,,Denver full timeout
2:47.0,L. Williams enters the game for K. Lowry,,19-18,,
2:47.0,T. Hansbrough enters the game for P. Patterson,,19-18,,
2:47.0,,,19-18,,J. Nurkic enters the game for T. Mozgov
2:36.0,,,19-18,,D. Arthur misses 2-pt shot from 19 ft
2:34.0,Defensive rebound by T. Ross,,19-18,,
2:21.0,G. Vasquez misses 2-pt shot from 6 ft,,19-18,,
2:20.0,Offensive rebound by A. Johnson,,19-18,,
2:19.0,A. Johnson makes 2-pt shot from 1 ft,2,21-18,,
2:19.0,Shooting foul by J. Nurkic (drawn by A. Johnson),,21-18,,
2:19.0,A. Johnson makes free throw 1 of 1,1,22-18,,
2:05.0,,,22-18,,J. Hickson misses 2-pt shot from 2 ft (block by A. Johnson)
2:01.0,Defensive rebound by G. Vasquez,,22-18,,
2:01.0,,,22-18,,Personal foul by A. Afflalo (drawn by G. Vasquez)
2:01.0,G. Vasquez misses free throw 1 of 2,,22-18,,
2:01.0,Offensive rebound by Team,,22-18,,
2:01.0,,,22-18,,A. Gee enters the game for A. Afflalo
2:01.0,P. Patterson enters the game for A. Johnson,,22-18,,
2:01.0,G. Vasquez misses free throw 2 of 2,,22-18,,
1:59.0,,,22-18,,Defensive rebound by J. Nurkic
1:36.0,,,22-20,2,T. Lawson makes 2-pt shot from 20 ft
1:14.0,G. Vasquez misses 2-pt shot from 8 ft,,22-20,,
1:12.0,,,22-20,,Defensive rebound by J. Hickson
1:06.0,,,22-20,,D. Arthur misses 3-pt shot from 25 ft
1:06.0,,,22-20,,Offensive rebound by Team
1:06.0,Loose ball foul by T. Hansbrough (drawn by J. Nurkic),,22-20,,
1:06.0,,,22-21,1,J. Nurkic makes free throw 1 of 2
1:06.0,J. Johnson enters the game for T. Ross,,22-21,,
1:06.0,,,22-21,,N. Robinson enters the game for T. Lawson
1:06.0,,,22-21,,J. Nurkic misses free throw 2 of 2
1:04.0,Defensive rebound by J. Johnson,,22-21,,
0:52.0,P. Patterson makes 3-pt shot from 24 ft (assist by G. Vasquez),3,25-21,,
0:43.0,,,25-24,3,N. Robinson makes 3-pt shot from 25 ft
0:25.0,T. Hansbrough misses 2-pt shot from 5 ft,,25-24,,
0:22.0,,,25-24,,Defensive rebound by J. Hickson
0:19.0,,,25-24,,Offensive foul by J. Nurkic
0:19.0,,,25-24,,Turnover by J. Nurkic (offensive foul)
0:00.0,T. Hansbrough misses 2-pt shot from 7 ft (block by A. Gee),,25-24,,
0:00.0,Offensive rebound by T. Hansbrough,,25-24,,
0:00.0,T. Hansbrough makes 2-pt shot from 7 ft,2,27-24,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:42.0,L. Williams misses 2-pt shot from 1 ft,,27-24,,
11:40.0,Offensive rebound by L. Williams,,27-24,,
11:35.0,T. Hansbrough makes 2-pt shot at rim (assist by G. Vasquez),2,29-24,,
11:15.0,,,29-24,,N. Robinson misses 3-pt shot from 24 ft
11:14.0,Defensive rebound by P. Patterson,,29-24,,
10:49.0,T. Hansbrough makes 2-pt shot from 16 ft (assist by G. Vasquez),2,31-24,,
10:32.0,,,31-24,,K. Faried misses 2-pt shot from 1 ft (block by T. Hansbrough)
10:31.0,Defensive rebound by T. Hansbrough,,31-24,,
10:26.0,G. Vasquez misses 2-pt shot from 7 ft,,31-24,,
10:25.0,Offensive rebound by Team,,31-24,,
10:14.0,C. Hayes enters the game for T. Hansbrough,,31-24,,
10:05.0,G. Vasquez misses 2-pt shot from 4 ft,,31-24,,
10:03.0,Offensive rebound by G. Vasquez,,31-24,,
10:03.0,G. Vasquez misses 2-pt shot from 1 ft,,31-24,,
10:01.0,,,31-24,,Defensive rebound by K. Faried
9:58.0,,,31-24,,K. Faried misses 2-pt shot at rim
9:55.0,,,31-24,,Offensive rebound by J. Hickson
9:55.0,,,31-26,2,J. Hickson makes 2-pt shot at rim
9:40.0,J. Johnson makes 2-pt shot from 3 ft,2,33-26,,
9:26.0,K. Lowry enters the game for G. Vasquez,,33-26,,
9:26.0,,,33-26,,T. Lawson enters the game for A. Gee
9:20.0,,,33-28,2,T. Lawson makes 2-pt shot from 14 ft (assist by K. Faried)
9:09.0,K. Lowry makes 2-pt shot from 5 ft,2,35-28,,
9:09.0,Shooting foul by T. Lawson (drawn by K. Lowry),,35-28,,
9:09.0,K. Lowry misses free throw 1 of 1,,35-28,,
9:08.0,,,35-28,,Defensive rebound by K. Faried
8:47.0,,,35-30,2,W. Chandler makes 2-pt shot from 16 ft
8:21.0,L. Williams makes 2-pt shot from 5 ft,2,37-30,,
8:07.0,,,37-32,2,W. Chandler makes 2-pt shot from 6 ft
8:07.0,,,37-32,,Shooting foul by L. Williams (drawn by W. Chandler)
8:07.0,Official timeout,,37-32,,
8:07.0,,,37-32,,T. Mozgov enters the game for J. Hickson
8:07.0,,,37-32,,A. Afflalo enters the game for N. Robinson
8:07.0,,,37-33,1,W. Chandler makes free throw 1 of 1
7:55.0,,,37-33,,Shooting block foul by T. Mozgov (drawn by C. Hayes)
7:55.0,C. Hayes makes free throw 1 of 2,1,38-33,,
7:55.0,C. Hayes makes free throw 2 of 2,1,39-33,,
7:37.0,,,39-33,,T. Lawson misses 2-pt shot from 16 ft
7:36.0,Defensive rebound by J. Johnson,,39-33,,
7:24.0,L. Williams makes 2-pt shot from 20 ft,2,41-33,,
7:12.0,,,41-33,,W. Chandler misses 3-pt shot from 26 ft
7:10.0,Defensive rebound by K. Lowry,,41-33,,
6:59.0,P. Patterson makes 3-pt shot from 23 ft (assist by J. Johnson),3,44-33,,
6:52.0,,,44-33,,Denver full timeout
6:37.0,,,44-33,,Shooting foul by C. Hayes (drawn by W. Chandler)
6:37.0,,,44-34,1,W. Chandler makes free throw 1 of 2
6:37.0,,,44-34,,W. Chandler misses free throw 2 of 2
6:35.0,Defensive rebound by J. Johnson,,44-34,,
6:20.0,J. Johnson makes 2-pt shot at rim (assist by K. Lowry),2,46-34,,
6:10.0,,,46-34,,Shooting foul by J. Johnson (drawn by W. Chandler)
6:10.0,,,46-34,,W. Chandler misses free throw 1 of 2
6:10.0,,,46-34,,Offensive rebound by Team
6:10.0,,,46-35,1,W. Chandler makes free throw 2 of 2
6:00.0,L. Williams misses 3-pt shot from 25 ft,,46-35,,
5:59.0,,,46-35,,Defensive rebound by T. Mozgov
5:51.0,,,46-35,,Denver full timeout
5:51.0,A. Johnson enters the game for P. Patterson,,46-35,,
5:41.0,,,46-37,2,W. Chandler makes 2-pt shot from 6 ft (assist by T. Lawson)
5:30.0,Turnover by K. Lowry (bad pass),,46-37,,
5:13.0,,,46-37,,T. Mozgov misses 2-pt shot from 18 ft
5:12.0,,,46-37,,Offensive rebound by K. Faried
5:09.0,,,46-37,,Turnover by K. Faried (bad pass; steal by J. Johnson)
4:55.0,J. Johnson misses 3-pt shot from 25 ft,,46-37,,
4:54.0,,,46-37,,Defensive rebound by Team
4:34.0,,,46-39,2,A. Afflalo makes 2-pt shot from 17 ft (assist by T. Lawson)
4:18.0,K. Lowry makes 2-pt shot from 15 ft (assist by A. Johnson),2,48-39,,
4:10.0,,,48-39,,Turnover by A. Afflalo (bad pass; steal by L. Williams)
4:07.0,,,48-39,,Violation by K. Faried (def goaltending)
4:07.0,L. Williams makes 2-pt shot from 1 ft,2,50-39,,
3:54.0,,,50-39,,W. Chandler misses 2-pt shot from 5 ft
3:52.0,Defensive rebound by A. Johnson,,50-39,,
3:42.0,K. Lowry misses 3-pt shot from 25 ft,,50-39,,
3:40.0,,,50-39,,Defensive rebound by T. Mozgov
3:38.0,,,50-39,,Shooting foul by L. Williams (drawn by T. Lawson)
3:38.0,,,50-40,1,T. Lawson makes free throw 1 of 2
3:38.0,J. Valanciunas enters the game for J. Johnson,,50-40,,
3:38.0,T. Ross enters the game for C. Hayes,,50-40,,
3:38.0,,,50-41,1,T. Lawson makes free throw 2 of 2
3:34.0,Toronto full timeout,,50-41,,
3:22.0,K. Lowry makes 2-pt shot from 15 ft,2,52-41,,
2:58.0,,,52-41,,W. Chandler misses 2-pt shot from 16 ft
2:56.0,Defensive rebound by J. Valanciunas,,52-41,,
2:50.0,L. Williams makes 2-pt shot at rim (assist by K. Lowry),2,54-41,,
2:34.0,,,54-44,3,W. Chandler makes 3-pt shot from 24 ft (assist by A. Afflalo)
2:25.0,Shooting foul by A. Afflalo (drawn by L. Williams),,54-44,,
2:25.0,L. Williams makes free throw 1 of 3,1,55-44,,
2:25.0,L. Williams misses free throw 2 of 3,,55-44,,
2:25.0,Offensive rebound by Team,,55-44,,
2:25.0,,,55-44,,J. Nurkic enters the game for T. Mozgov
2:25.0,L. Williams makes free throw 3 of 3,1,56-44,,
2:17.0,,,56-46,2,J. Nurkic makes 2-pt shot from 3 ft (assist by T. Lawson)
1:54.0,J. Valanciunas misses 2-pt shot from 6 ft,,56-46,,
1:53.0,,,56-46,,Defensive rebound by W. Chandler
1:47.0,,,56-48,2,T. Lawson makes 2-pt shot from 2 ft (assist by J. Nurkic)
1:26.0,K. Lowry misses 2-pt shot from 20 ft,,56-48,,
1:25.0,,,56-48,,Defensive rebound by A. Afflalo
1:22.0,,,56-48,,W. Chandler misses 2-pt shot from 1 ft (block by K. Lowry)
1:22.0,,,56-48,,Offensive rebound by Team
1:19.0,,,56-48,,A. Afflalo misses 2-pt shot from 16 ft
1:18.0,,,56-48,,Offensive rebound by K. Faried
1:17.0,,,56-48,,Shooting foul by A. Johnson (drawn by J. Nurkic)
1:17.0,,,56-49,1,J. Nurkic makes free throw 1 of 2
1:17.0,G. Vasquez enters the game for K. Lowry,,56-49,,
1:17.0,,,56-50,1,J. Nurkic makes free throw 2 of 2
1:00.0,T. Ross misses 3-pt shot from 25 ft,,56-50,,
0:59.0,,,56-50,,Defensive rebound by T. Lawson
0:50.0,,,56-50,,W. Chandler misses 2-pt shot from 15 ft
0:49.0,,,56-50,,Offensive rebound by K. Faried
0:49.0,Loose ball foul by A. Johnson (drawn by K. Faried),,56-50,,
0:49.0,,,56-50,,K. Faried misses free throw 1 of 2
0:49.0,,,56-50,,Offensive rebound by Team
0:49.0,,,56-50,,A. Gee enters the game for A. Afflalo
0:49.0,,,56-50,,D. Arthur enters the game for W. Chandler
0:49.0,,,56-51,1,K. Faried makes free throw 2 of 2
0:49.0,,,56-52,1,J. Nurkic makes flagrant free throw 1 of 2
0:49.0,,,56-52,,J. Nurkic misses flagrant free throw 2 of 2
0:49.0,,,56-52,,Defensive rebound by Team
0:49.0,P. Patterson enters the game for J. Valanciunas,,56-52,,
0:37.0,,,56-52,,K. Faried misses 2-pt shot at rim
0:37.0,,,56-52,,Offensive rebound by K. Faried
0:37.0,,,56-54,2,K. Faried makes 2-pt shot at rim
0:33.0,L. Williams makes 2-pt shot from 15 ft,2,58-54,,
0:15.0,,,58-54,,J. Nurkic misses 2-pt shot from 6 ft
0:12.0,Defensive rebound by L. Williams,,58-54,,
0:07.0,,,58-54,,Personal take foul by A. Gee (drawn by L. Williams)
0:07.0,Toronto full timeout,,58-54,,
0:01.0,Shooting foul by J. Nurkic (drawn by P. Patterson),,58-54,,
0:01.0,P. Patterson makes free throw 1 of 2,1,59-54,,
0:01.0,P. Patterson makes free throw 2 of 2,1,60-54,,
0:00.0,,,60-54,,K. Faried misses 3-pt shot from 47 ft
0:00.0,,,60-54,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:48.0,T. Ross misses 2-pt shot from 4 ft,,60-54,,
11:47.0,Offensive rebound by A. Johnson,,60-54,,
11:44.0,K. Lowry misses 2-pt shot from 11 ft,,60-54,,
11:44.0,,,60-54,,Defensive rebound by Team
11:31.0,,,60-56,2,A. Afflalo makes 2-pt shot from 4 ft (assist by T. Lawson)
11:10.0,Turnover by J. Johnson (traveling),,60-56,,
10:58.0,,,60-56,,A. Afflalo misses 2-pt shot from 15 ft (block by J. Johnson)
10:56.0,Defensive rebound by K. Lowry,,60-56,,
10:52.0,T. Ross makes 2-pt shot at rim (assist by K. Lowry),2,62-56,,
10:45.0,,,62-56,,Shooting foul by J. Johnson (drawn by T. Lawson)
10:45.0,,,62-56,,T. Lawson misses free throw 1 of 2
10:45.0,,,62-56,,Offensive rebound by Team
10:45.0,,,62-57,1,T. Lawson makes free throw 2 of 2
10:20.0,A. Johnson misses 2-pt shot from 3 ft,,62-57,,
10:17.0,Offensive rebound by J. Valanciunas,,62-57,,
10:17.0,J. Valanciunas makes 2-pt shot from 2 ft,2,64-57,,
10:09.0,,,64-57,,W. Chandler misses 2-pt shot from 9 ft
10:07.0,,,64-57,,Offensive rebound by W. Chandler
10:07.0,,,64-59,2,W. Chandler makes 2-pt shot from 2 ft
9:54.0,K. Lowry makes 2-pt shot from 2 ft,2,66-59,,
9:48.0,,,66-61,2,T. Lawson makes 2-pt shot from 8 ft
9:27.0,T. Ross misses 2-pt shot from 11 ft,,66-61,,
9:25.0,,,66-61,,Defensive rebound by K. Faried
9:18.0,,,66-61,,K. Faried misses 2-pt shot from 6 ft
9:18.0,,,66-61,,Offensive rebound by Team
9:18.0,Loose ball foul by K. Lowry (drawn by K. Faried),,66-61,,
8:57.0,,,66-63,2,K. Faried makes 2-pt shot from 3 ft
8:43.0,Shooting foul by T. Mozgov (drawn by T. Ross),,66-63,,
8:43.0,T. Ross misses free throw 1 of 2,,66-63,,
8:43.0,Offensive rebound by Team,,66-63,,
8:43.0,T. Ross makes free throw 2 of 2,1,67-63,,
8:23.0,,,67-65,2,A. Afflalo makes 2-pt shot from 1 ft
8:12.0,K. Lowry makes 3-pt shot from 25 ft,3,70-65,,
8:06.0,,,70-67,2,K. Faried makes 2-pt shot at rim (assist by T. Lawson)
7:37.0,K. Lowry misses 3-pt shot from 33 ft,,70-67,,
7:35.0,,,70-67,,Defensive rebound by W. Chandler
7:29.0,,,70-69,2,K. Faried makes 2-pt shot from 16 ft (assist by T. Lawson)
7:29.0,Toronto full timeout,,70-69,,
7:29.0,L. Williams enters the game for J. Johnson,,70-69,,
7:29.0,P. Patterson enters the game for A. Johnson,,70-69,,
7:18.0,T. Ross misses 2-pt shot from 9 ft,,70-69,,
7:17.0,,,70-69,,Defensive rebound by T. Lawson
7:11.0,,,70-69,,T. Mozgov misses 2-pt shot from 2 ft
7:09.0,Defensive rebound by J. Valanciunas,,70-69,,
6:57.0,T. Ross misses 3-pt shot from 25 ft,,70-69,,
6:56.0,,,70-69,,Defensive rebound by T. Mozgov
6:49.0,,,70-69,,T. Lawson misses 2-pt shot from 6 ft
6:47.0,Defensive rebound by L. Williams,,70-69,,
6:42.0,K. Lowry makes 2-pt shot from 3 ft (assist by L. Williams),2,72-69,,
6:21.0,,,72-72,3,A. Afflalo makes 3-pt shot from 25 ft (assist by W. Chandler)
6:05.0,L. Williams makes 2-pt shot from 15 ft (assist by K. Lowry),2,74-72,,
6:05.0,Shooting foul by A. Afflalo (drawn by L. Williams),,74-72,,
6:05.0,L. Williams misses free throw 1 of 1,,74-72,,
5:56.0,,,74-72,,Defensive rebound by K. Faried
5:47.0,,,74-74,2,W. Chandler makes 2-pt shot from 14 ft (assist by T. Lawson)
5:28.0,K. Lowry misses 2-pt shot from 12 ft,,74-74,,
5:27.0,Offensive rebound by J. Valanciunas,,74-74,,
5:16.0,Shooting foul by T. Mozgov (drawn by J. Valanciunas),,74-74,,
5:16.0,J. Valanciunas makes free throw 1 of 2,1,75-74,,
5:16.0,J. Valanciunas misses free throw 2 of 2,,75-74,,
5:15.0,,,75-74,,Defensive rebound by K. Faried
5:04.0,,,75-74,,Turnover by T. Mozgov (traveling)
4:49.0,L. Williams misses 2-pt shot from 21 ft,,75-74,,
4:48.0,,,75-74,,Defensive rebound by W. Chandler
4:42.0,,,75-76,2,K. Faried makes 2-pt shot from 1 ft (assist by W. Chandler)
4:13.0,K. Lowry makes 2-pt shot from 2 ft,2,77-76,,
4:09.0,,,77-78,2,T. Lawson makes 2-pt shot from 3 ft
4:09.0,,,77-78,,Shooting foul by K. Lowry (drawn by T. Lawson)
4:09.0,T. Hansbrough enters the game for J. Valanciunas,,77-78,,
4:09.0,,,77-79,1,T. Lawson makes free throw 1 of 1
3:49.0,K. Lowry misses 2-pt shot from 6 ft,,77-79,,
3:48.0,,,77-79,,Defensive rebound by K. Faried
3:43.0,,,77-79,,Turnover by W. Chandler (bad pass; steal by K. Lowry)
3:39.0,Turnover by T. Ross (lost ball; steal by T. Lawson),,77-79,,
3:39.0,Personal foul by K. Lowry (drawn by T. Lawson),,77-79,,
3:39.0,G. Vasquez enters the game for K. Lowry,,77-79,,
3:39.0,,,77-79,,D. Arthur enters the game for K. Faried
3:39.0,,,77-79,,J. Hickson enters the game for T. Mozgov
3:23.0,,,77-79,,W. Chandler misses 3-pt shot from 26 ft
3:22.0,,,77-79,,Offensive rebound by J. Hickson
3:09.0,,,77-79,,A. Afflalo misses 3-pt shot from 24 ft
3:08.0,Defensive rebound by T. Ross,,77-79,,
2:43.0,L. Williams misses 2-pt shot from 2 ft,,77-79,,
2:42.0,Offensive rebound by T. Hansbrough,,77-79,,
2:42.0,T. Hansbrough misses 2-pt shot from 1 ft,,77-79,,
2:39.0,Offensive rebound by T. Hansbrough,,77-79,,
2:39.0,T. Hansbrough makes 2-pt shot from 1 ft,2,79-79,,
2:28.0,,,79-79,,Offensive foul by W. Chandler
2:28.0,,,79-79,,Turnover by W. Chandler (offensive foul)
2:28.0,,,79-79,,Denver full timeout
2:28.0,,,79-79,,N. Robinson enters the game for A. Afflalo
2:13.0,Shooting foul by D. Arthur (drawn by L. Williams),,79-79,,
2:13.0,L. Williams makes free throw 1 of 3,1,80-79,,
2:13.0,L. Williams misses free throw 2 of 3,,80-79,,
2:13.0,Offensive rebound by Team,,80-79,,
2:13.0,L. Williams misses free throw 3 of 3,,80-79,,
2:11.0,,,80-79,,Defensive rebound by D. Arthur
1:56.0,,,80-81,2,D. Arthur makes 2-pt shot from 20 ft (assist by N. Robinson)
1:38.0,T. Hansbrough makes 2-pt shot from 1 ft (assist by G. Vasquez),2,82-81,,
1:22.0,,,82-81,,D. Arthur misses 2-pt shot from 18 ft
1:21.0,Defensive rebound by T. Ross,,82-81,,
1:06.0,G. Vasquez misses 2-pt shot from 4 ft,,82-81,,
1:05.0,Offensive rebound by T. Hansbrough,,82-81,,
0:58.0,L. Williams makes 3-pt shot from 24 ft,3,85-81,,
0:50.0,Shooting block foul by T. Ross (drawn by T. Lawson),,85-81,,
0:50.0,,,85-82,1,T. Lawson makes free throw 1 of 2
0:50.0,,,85-83,1,T. Lawson makes free throw 2 of 2
0:41.0,Turnover by G. Vasquez (lost ball; steal by N. Robinson),,85-83,,
0:39.0,,,85-85,2,N. Robinson makes 2-pt shot from 1 ft
0:15.0,L. Williams makes 3-pt shot from 25 ft,3,88-85,,
0:03.0,,,88-87,2,N. Robinson makes 2-pt shot from 16 ft
0:00.0,P. Patterson misses 3-pt shot from 54 ft,,88-87,,
0:00.0,Offensive rebound by Team,,88-87,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:51.0,,,88-89,2,N. Robinson makes 2-pt shot from 15 ft
11:35.0,K. Lowry makes 3-pt shot from 25 ft (assist by P. Patterson),3,91-89,,
11:14.0,,,91-89,,K. Faried misses 2-pt shot from 2 ft
11:12.0,,,91-89,,Offensive rebound by K. Faried
11:12.0,,,91-89,,K. Faried misses 2-pt shot from 2 ft
11:10.0,Defensive rebound by T. Hansbrough,,91-89,,
10:50.0,L. Williams makes 2-pt shot from 21 ft (assist by K. Lowry),2,93-89,,
10:26.0,,,93-89,,Shooting foul by P. Patterson (drawn by J. Hickson)
10:26.0,,,93-89,,J. Hickson misses free throw 1 of 2
10:26.0,,,93-89,,Offensive rebound by Team
10:26.0,,,93-90,1,J. Hickson makes free throw 2 of 2
10:14.0,L. Williams misses 3-pt shot from 25 ft,,93-90,,
10:12.0,,,93-90,,Defensive rebound by W. Chandler
9:58.0,Personal block foul by L. Williams (drawn by K. Faried),,93-90,,
9:58.0,Personal foul by L. Williams (drawn by K. Faried),,93-90,,
9:52.0,,,93-90,,Turnover by J. Hickson (traveling)
9:37.0,P. Patterson misses 3-pt shot from 24 ft,,93-90,,
9:35.0,Offensive rebound by Team,,93-90,,
9:20.0,G. Vasquez misses 2-pt shot from 2 ft (block by W. Chandler),,93-90,,
9:18.0,,,93-90,,Defensive rebound by J. Hickson
9:12.0,,,93-92,2,K. Faried makes 2-pt shot from 2 ft (assist by W. Chandler)
8:48.0,,,93-92,,Loose ball foul by N. Robinson (drawn by T. Hansbrough)
8:48.0,Official timeout,,93-92,,
8:48.0,T. Ross enters the game for G. Vasquez,,93-92,,
8:40.0,K. Lowry misses 2-pt shot from 6 ft,,93-92,,
8:38.0,,,93-92,,Defensive rebound by K. Faried
8:32.0,,,93-92,,K. Faried misses 2-pt shot at rim
8:30.0,Defensive rebound by T. Ross,,93-92,,
8:07.0,L. Williams misses 2-pt shot from 2 ft,,93-92,,
8:06.0,Offensive rebound by L. Williams,,93-92,,
7:59.0,K. Lowry makes 2-pt shot from 1 ft (assist by T. Ross),2,95-92,,
7:34.0,,,95-94,2,W. Chandler makes 2-pt shot from 6 ft
7:20.0,,,95-94,,Personal foul by J. Hickson (drawn by K. Lowry)
