time,New Orleans,pts.away,score,pts.home,Oklahoma City
8:12.0,,,36-37,,N. Collison misses 2-pt shot from 2 ft
8:11.0,,,36-37,,Offensive rebound by N. Collison
8:10.0,,,36-37,,N. Collison misses 2-pt shot from 1 ft
8:09.0,Defensive rebound by J. Fredette,,36-37,,
7:54.0,A. Ajinca misses 2-pt shot from 8 ft,,36-37,,
7:53.0,,,36-37,,Defensive rebound by N. Collison
7:45.0,,,36-39,2,R. Jackson makes 2-pt shot from 1 ft
7:32.0,Q. Pondexter misses 2-pt shot from 11 ft,,36-39,,
7:31.0,,,36-39,,Defensive rebound by Team
7:31.0,Loose ball foul by A. Ajinca (drawn by K. Perkins),,36-39,,
7:17.0,,,36-39,,D. Waiters misses 2-pt shot from 1 ft
7:16.0,Defensive rebound by A. Ajinca,,36-39,,
7:10.0,Q. Pondexter makes 2-pt shot from 1 ft (assist by A. Ajinca),2,38-39,,
6:53.0,,,38-39,,R. Jackson misses 2-pt shot from 19 ft
6:52.0,Defensive rebound by A. Ajinca,,38-39,,
6:46.0,,,38-39,,Personal block foul by N. Collison (drawn by R. Anderson)
6:46.0,,,38-39,,R. Westbrook enters the game for N. Collison
6:46.0,,,38-39,,K. Durant enters the game for R. Jackson
6:46.0,O. Asik enters the game for D. Cunningham,,38-39,,
6:46.0,E. Gordon enters the game for A. Ajinca,,38-39,,
6:36.0,E. Gordon misses 2-pt shot from 19 ft,,38-39,,
6:35.0,,,38-39,,Defensive rebound by A. Morrow
6:27.0,,,38-39,,D. Waiters misses 3-pt shot from 24 ft
6:27.0,Defensive rebound by Team,,38-39,,
6:17.0,J. Fredette misses 2-pt shot from 12 ft,,38-39,,
6:16.0,,,38-39,,Defensive rebound by A. Morrow
6:12.0,,,38-39,,Shooting foul by R. Anderson (drawn by K. Durant)
6:12.0,,,38-40,1,K. Durant makes free throw 1 of 2
6:12.0,A. Davis enters the game for R. Anderson,,38-40,,
6:12.0,T. Evans enters the game for J. Fredette,,38-40,,
6:12.0,,,38-40,,S. Ibaka enters the game for A. Morrow
6:12.0,,,38-40,,S. Adams enters the game for K. Perkins
6:12.0,,,38-41,1,K. Durant makes free throw 2 of 2
5:53.0,E. Gordon misses 2-pt shot from 2 ft (block by S. Ibaka),,38-41,,
5:51.0,,,38-41,,Defensive rebound by R. Westbrook
5:49.0,,,38-43,2,K. Durant makes 2-pt shot from 1 ft (assist by R. Westbrook)
5:49.0,,,38-43,,Shooting foul by T. Evans (drawn by K. Durant)
5:49.0,Official timeout,,38-43,,
5:49.0,,,38-44,1,K. Durant makes free throw 1 of 1
5:37.0,A. Davis makes 2-pt shot from 17 ft (assist by T. Evans),2,40-44,,
5:21.0,,,40-46,2,K. Durant makes 2-pt shot from 19 ft (assist by S. Adams)
5:03.0,Q. Pondexter makes 3-pt shot from 22 ft (assist by E. Gordon),3,43-46,,
4:49.0,Personal foul by Q. Pondexter (drawn by K. Durant),,43-46,,
4:49.0,,,43-47,1,K. Durant makes free throw 1 of 2
4:49.0,,,43-48,1,K. Durant makes free throw 2 of 2
4:30.0,Q. Pondexter misses 3-pt shot from 22 ft,,43-48,,
4:29.0,Offensive rebound by O. Asik,,43-48,,
4:28.0,,,43-48,,Personal foul by R. Westbrook (drawn by O. Asik)
4:12.0,E. Gordon makes 3-pt shot from 25 ft (assist by T. Evans),3,46-48,,
3:54.0,Personal foul by E. Gordon (drawn by R. Westbrook),,46-48,,
3:54.0,,,46-49,1,R. Westbrook makes free throw 1 of 2
3:54.0,D. Cunningham enters the game for E. Gordon,,46-49,,
3:54.0,,,46-50,1,R. Westbrook makes free throw 2 of 2
3:30.0,Q. Pondexter misses 2-pt shot from 9 ft,,46-50,,
3:29.0,,,46-50,,Defensive rebound by S. Ibaka
3:13.0,,,46-50,,Turnover by R. Westbrook (bad pass; steal by Q. Pondexter)
3:09.0,A. Davis misses 2-pt shot from 1 ft,,46-50,,
3:08.0,,,46-50,,Defensive rebound by S. Adams
3:04.0,,,46-50,,Turnover by S. Ibaka (offensive goaltending)
2:46.0,D. Cunningham misses 2-pt shot from 21 ft,,46-50,,
2:45.0,,,46-50,,Defensive rebound by S. Adams
2:30.0,,,46-50,,D. Waiters misses 2-pt shot from 20 ft
2:29.0,Defensive rebound by D. Cunningham,,46-50,,
2:17.0,,,46-50,,Personal foul by S. Ibaka (drawn by A. Davis)
2:17.0,New Orleans full timeout,,46-50,,
2:17.0,R. Anderson enters the game for O. Asik,,46-50,,
2:17.0,,,46-50,,A. Roberson enters the game for D. Waiters
2:11.0,A. Davis makes 2-pt shot at rim (assist by T. Evans),2,48-50,,
1:50.0,,,48-50,,K. Durant misses 3-pt shot from 24 ft
1:49.0,Defensive rebound by T. Evans,,48-50,,
1:37.0,,,48-50,,Personal foul by S. Adams (drawn by A. Davis)
1:37.0,A. Davis makes free throw 1 of 2,1,49-50,,
1:37.0,,,49-50,,K. Perkins enters the game for S. Adams
1:37.0,A. Davis makes free throw 2 of 2,1,50-50,,
1:24.0,,,50-50,,R. Westbrook misses 2-pt shot from 2 ft (block by A. Davis)
1:22.0,,,50-50,,Offensive rebound by R. Westbrook
1:21.0,,,50-52,2,R. Westbrook makes 2-pt shot at rim
1:06.0,A. Davis misses 2-pt shot from 1 ft,,50-52,,
1:05.0,,,50-52,,Defensive rebound by K. Perkins
1:00.0,,,50-54,2,R. Westbrook makes 2-pt shot from 1 ft
0:49.0,Turnover by T. Evans (traveling),,50-54,,
0:40.0,,,50-54,,K. Durant misses 3-pt shot from 24 ft
0:39.0,Defensive rebound by R. Anderson,,50-54,,
0:30.0,T. Evans misses 2-pt shot from 1 ft,,50-54,,
0:29.0,,,50-54,,Defensive rebound by K. Durant
0:10.0,,,50-56,2,A. Roberson makes 2-pt shot at rim (assist by R. Westbrook)
0:06.0,T. Evans makes 3-pt shot from 24 ft,3,53-56,,
0:01.0,,,53-56,,R. Westbrook misses 3-pt shot from 27 ft
0:01.0,Defensive rebound by Team,,53-56,,
0:00.0,Q. Pondexter misses 3-pt shot from 40 ft,,53-56,,
0:00.0,,,53-56,,Defensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:47.0,Turnover by O. Asik (lost ball; steal by K. Durant),,53-56,,
11:29.0,,,53-56,,S. Ibaka misses 3-pt shot from 24 ft
11:28.0,Defensive rebound by T. Evans,,53-56,,
11:14.0,E. Gordon makes 3-pt shot from 24 ft (assist by A. Davis),3,56-56,,
10:52.0,,,56-56,,R. Westbrook misses 2-pt shot from 13 ft
10:51.0,Defensive rebound by T. Evans,,56-56,,
10:43.0,Turnover by T. Evans (bad pass; steal by A. Roberson),,56-56,,
10:38.0,,,56-58,2,S. Adams makes 2-pt shot at rim (assist by R. Westbrook)
10:16.0,T. Evans makes 3-pt shot from 24 ft (assist by E. Gordon),3,59-58,,
9:55.0,,,59-61,3,R. Westbrook makes 3-pt shot from 22 ft (assist by A. Roberson)
9:35.0,E. Gordon misses 2-pt shot from 3 ft,,59-61,,
9:35.0,Offensive rebound by O. Asik,,59-61,,
9:35.0,,,59-61,,Violation by S. Adams (def goaltending)
9:35.0,O. Asik makes 2-pt shot from 1 ft,2,61-61,,
9:24.0,,,61-61,,S. Ibaka misses 3-pt shot from 24 ft
9:24.0,,,61-61,,Offensive rebound by A. Roberson
9:21.0,,,61-61,,Shooting foul by T. Evans (drawn by R. Westbrook)
9:21.0,,,61-62,1,R. Westbrook makes free throw 1 of 2
9:21.0,,,61-63,1,R. Westbrook makes free throw 2 of 2
9:10.0,T. Evans misses 2-pt shot from 2 ft (block by A. Roberson),,61-63,,
9:09.0,Offensive rebound by T. Evans,,61-63,,
9:09.0,T. Evans misses 2-pt shot from 2 ft,,61-63,,
9:08.0,Offensive rebound by O. Asik,,61-63,,
9:08.0,Shooting foul by S. Ibaka (drawn by O. Asik),,61-63,,
9:08.0,O. Asik misses free throw 1 of 2,,61-63,,
9:08.0,Offensive rebound by Team,,61-63,,
9:08.0,O. Asik makes free throw 2 of 2,1,62-63,,
8:58.0,,,62-65,2,R. Westbrook makes 2-pt shot from 1 ft
8:43.0,A. Davis misses 2-pt shot from 19 ft,,62-65,,
8:42.0,,,62-65,,Defensive rebound by A. Roberson
8:29.0,,,62-65,,Turnover by K. Durant (bad pass)
8:14.0,E. Gordon misses 2-pt shot from 14 ft,,62-65,,
8:13.0,,,62-65,,Defensive rebound by R. Westbrook
8:07.0,,,62-67,2,S. Ibaka makes 2-pt shot from 8 ft (assist by R. Westbrook)
7:49.0,Turnover by E. Gordon (bad pass; steal by S. Adams),,62-67,,
7:48.0,Clear path foul by A. Davis,,62-67,,
7:48.0,,,62-68,1,R. Westbrook makes clear path free throw 1 of 2
7:48.0,,,62-69,1,R. Westbrook makes clear path free throw 2 of 2
7:39.0,,,62-69,,K. Durant misses 2-pt shot from 20 ft
7:39.0,Defensive rebound by O. Asik,,62-69,,
7:24.0,A. Davis makes 2-pt shot from 2 ft (assist by T. Evans),2,64-69,,
7:03.0,,,64-69,,S. Ibaka misses 2-pt shot from 14 ft
7:03.0,,,64-69,,Offensive rebound by Team
7:03.0,Personal foul by O. Asik (drawn by S. Adams),,64-69,,
6:49.0,,,64-72,3,A. Roberson makes 3-pt shot from 22 ft (assist by K. Durant)
6:37.0,Offensive foul by A. Davis,,64-72,,
6:37.0,Turnover by A. Davis (offensive foul),,64-72,,
6:27.0,,,64-74,2,K. Durant makes 2-pt shot at rim (assist by R. Westbrook)
6:26.0,New Orleans full timeout,,64-74,,
6:26.0,R. Anderson enters the game for D. Cunningham,,64-74,,
6:04.0,A. Davis misses 2-pt shot from 10 ft,,64-74,,
6:03.0,,,64-74,,Defensive rebound by R. Westbrook
6:00.0,,,64-74,,Shooting foul by E. Gordon (drawn by R. Westbrook)
6:00.0,,,64-75,1,R. Westbrook makes free throw 1 of 2
6:00.0,Q. Pondexter enters the game for E. Gordon,,64-75,,
6:00.0,,,64-76,1,R. Westbrook makes free throw 2 of 2
5:52.0,,,64-76,,Personal foul by R. Westbrook (drawn by T. Evans)
5:43.0,T. Evans misses 2-pt shot from 1 ft (block by S. Adams),,64-76,,
5:42.0,Offensive rebound by A. Davis,,64-76,,
5:42.0,A. Davis makes 2-pt shot from 1 ft,2,66-76,,
5:42.0,Shooting foul by S. Ibaka (drawn by A. Davis),,66-76,,
5:42.0,A. Davis makes free throw 1 of 1,1,67-76,,
5:26.0,,,67-76,,K. Durant misses 2-pt shot from 17 ft
5:24.0,,,67-76,,Offensive rebound by S. Adams
5:19.0,,,67-76,,Turnover by S. Adams (bad pass; steal by O. Asik)
5:10.0,O. Asik makes 2-pt shot from 1 ft (assist by Q. Pondexter),2,69-76,,
4:52.0,,,69-76,,R. Westbrook misses 2-pt shot from 15 ft
4:52.0,Defensive rebound by T. Evans,,69-76,,
4:45.0,Shooting foul by K. Durant (drawn by Q. Pondexter),,69-76,,
4:45.0,Q. Pondexter makes free throw 1 of 2,1,70-76,,
4:45.0,,,70-76,,R. Jackson enters the game for A. Roberson
4:45.0,Q. Pondexter makes free throw 2 of 2,1,71-76,,
4:31.0,D. Cunningham enters the game for O. Asik,,71-76,,
4:31.0,Personal foul by D. Cunningham (drawn by K. Durant),,71-76,,
4:31.0,,,71-77,1,K. Durant makes free throw 1 of 2
4:31.0,,,71-77,,K. Durant misses free throw 2 of 2
4:30.0,Defensive rebound by A. Davis,,71-77,,
4:09.0,T. Evans misses 2-pt shot from 17 ft,,71-77,,
4:08.0,,,71-77,,Defensive rebound by K. Durant
4:04.0,,,71-77,,Offensive foul by S. Adams
4:04.0,,,71-77,,Turnover by S. Adams (offensive foul)
3:49.0,A. Davis makes 2-pt shot from 4 ft,2,73-77,,
3:42.0,,,73-77,,Oklahoma City full timeout
3:40.0,,,73-77,,Technical foul by S. Adams
3:40.0,,,73-77,,K. Perkins enters the game for S. Adams
3:40.0,A. Davis makes technical free throw,1,74-77,,
3:32.0,,,74-77,,R. Jackson misses 3-pt shot from 25 ft
3:30.0,Defensive rebound by R. Anderson,,74-77,,
3:15.0,R. Anderson misses 3-pt shot from 24 ft,,74-77,,
3:14.0,,,74-77,,Defensive rebound by K. Durant
3:08.0,,,74-77,,Turnover by R. Westbrook (bad pass)
2:58.0,Q. Pondexter misses 2-pt shot from 1 ft,,74-77,,
2:57.0,Offensive rebound by Q. Pondexter,,74-77,,
2:51.0,T. Evans misses 2-pt shot from 1 ft,,74-77,,
2:50.0,,,74-77,,Defensive rebound by S. Ibaka
2:44.0,,,74-79,2,R. Westbrook makes 2-pt shot at rim
2:27.0,D. Cunningham misses 2-pt shot from 21 ft,,74-79,,
2:25.0,,,74-79,,Defensive rebound by K. Perkins
2:11.0,,,74-79,,K. Durant misses 2-pt shot from 3 ft
2:10.0,,,74-79,,Offensive rebound by K. Durant
2:08.0,,,74-81,2,K. Durant makes 2-pt shot from 8 ft
1:46.0,D. Cunningham makes 2-pt shot from 1 ft (assist by A. Davis),2,76-81,,
1:28.0,,,76-81,,K. Perkins misses 2-pt shot from 5 ft
1:26.0,Defensive rebound by R. Anderson,,76-81,,
1:16.0,A. Davis makes 2-pt shot from 16 ft (assist by T. Evans),2,78-81,,
0:59.0,,,78-81,,K. Durant misses 2-pt shot from 17 ft
0:58.0,Defensive rebound by T. Evans,,78-81,,
0:42.0,R. Anderson makes 3-pt shot from 24 ft (assist by T. Evans),3,81-81,,
0:31.0,,,81-81,,R. Westbrook misses 3-pt shot from 25 ft
0:30.0,Defensive rebound by D. Cunningham,,81-81,,
0:11.0,A. Davis makes 2-pt shot at rim (assist by T. Evans),2,83-81,,
0:03.0,,,83-81,,R. Westbrook misses 2-pt shot from 2 ft (block by R. Anderson)
0:03.0,,,83-81,,Offensive rebound by R. Westbrook
0:03.0,,,83-81,,Turnover by R. Westbrook (step out of bounds)
0:00.0,T. Evans misses 3-pt shot from 47 ft,,83-81,,
0:00.0,,,83-81,,Defensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:52.0,,,83-81,,Turnover by K. Perkins (traveling)
11:38.0,A. Davis makes 2-pt shot at rim (assist by R. Anderson),2,85-81,,
11:15.0,,,85-81,,R. Jackson misses 2-pt shot from 4 ft
11:14.0,Defensive rebound by A. Davis,,85-81,,
10:52.0,Shooting foul by K. Durant (drawn by R. Anderson),,85-81,,
10:52.0,R. Anderson misses free throw 1 of 2,,85-81,,
10:52.0,Offensive rebound by Team,,85-81,,
10:52.0,R. Anderson makes free throw 2 of 2,1,86-81,,
10:41.0,,,86-81,,Turnover by K. Perkins (traveling)
10:25.0,Shooting foul by D. Waiters (drawn by T. Evans),,86-81,,
10:25.0,T. Evans makes free throw 1 of 2,1,87-81,,
10:25.0,T. Evans makes free throw 2 of 2,1,88-81,,
10:21.0,,,88-81,,Oklahoma City full timeout
10:20.0,,,88-81,,A. Morrow enters the game for K. Perkins
10:14.0,,,88-81,,D. Waiters misses 2-pt shot at rim (block by T. Evans)
10:12.0,Defensive rebound by R. Anderson,,88-81,,
9:50.0,Turnover by Team (shot clock),,88-81,,
9:40.0,,,88-83,2,R. Jackson makes 2-pt shot from 1 ft
9:16.0,Offensive foul by R. Anderson,,88-83,,
9:16.0,Turnover by R. Anderson (offensive foul),,88-83,,
9:16.0,E. Gordon enters the game for D. Cunningham,,88-83,,
9:08.0,,,88-83,,R. Jackson misses 2-pt shot from 2 ft (block by R. Anderson)
9:07.0,Defensive rebound by Q. Pondexter,,88-83,,
8:56.0,Shooting foul by S. Ibaka (drawn by R. Anderson),,88-83,,
8:56.0,R. Anderson makes free throw 1 of 2,1,89-83,,
8:56.0,,,89-83,,R. Westbrook enters the game for D. Waiters
8:56.0,R. Anderson makes free throw 2 of 2,1,90-83,,
8:46.0,,,90-85,2,A. Morrow makes 2-pt shot from 11 ft (assist by R. Jackson)
8:46.0,,,90-85,,Shooting foul by E. Gordon (drawn by A. Morrow)
8:46.0,,,90-86,1,A. Morrow makes free throw 1 of 1
8:31.0,Turnover by E. Gordon (lost ball; steal by R. Westbrook),,90-86,,
8:27.0,,,90-88,2,R. Westbrook makes 2-pt shot at rim
8:25.0,New Orleans full timeout,,90-88,,
8:12.0,A. Davis makes 2-pt shot from 3 ft,2,92-88,,
7:50.0,,,92-88,,Shooting foul by Q. Pondexter (drawn by S. Ibaka)
7:50.0,,,92-88,,S. Ibaka misses free throw 1 of 2
7:50.0,,,92-88,,Offensive rebound by Team
7:50.0,D. Cunningham enters the game for E. Gordon,,92-88,,
7:50.0,,,92-89,1,S. Ibaka makes free throw 2 of 2
7:35.0,Shooting foul by S. Ibaka (drawn by A. Davis),,92-89,,
7:35.0,A. Davis makes free throw 1 of 2,1,93-89,,
7:35.0,,,93-89,,S. Adams enters the game for R. Jackson
7:35.0,A. Davis makes free throw 2 of 2,1,94-89,,
7:25.0,,,94-91,2,R. Westbrook makes 2-pt shot at rim
7:02.0,Shooting foul by A. Morrow (drawn by Q. Pondexter),,94-91,,
7:02.0,Q. Pondexter makes free throw 1 of 2,1,95-91,,
7:02.0,Q. Pondexter makes free throw 2 of 2,1,96-91,,
6:47.0,,,96-93,2,R. Westbrook makes 2-pt shot from 6 ft
6:29.0,D. Cunningham misses 2-pt shot from 17 ft,,96-93,,
6:28.0,,,96-93,,Defensive rebound by R. Westbrook
6:23.0,,,96-93,,Shooting foul by R. Anderson (drawn by R. Westbrook)
6:23.0,,,96-94,1,R. Westbrook makes free throw 1 of 2
6:23.0,E. Gordon enters the game for D. Cunningham,,96-94,,
6:23.0,,,96-95,1,R. Westbrook makes free throw 2 of 2
6:11.0,T. Evans makes 2-pt shot from 18 ft,2,98-95,,
5:53.0,,,98-95,,R. Westbrook misses 2-pt shot from 19 ft
5:52.0,Defensive rebound by T. Evans,,98-95,,
5:38.0,Turnover by T. Evans (lost ball; steal by R. Westbrook),,98-95,,
5:38.0,Loose ball foul by T. Evans (drawn by K. Durant),,98-95,,
5:38.0,,,98-95,,A. Roberson enters the game for A. Morrow
5:27.0,,,98-95,,K. Durant misses 2-pt shot from 2 ft
5:27.0,,,98-95,,Offensive rebound by S. Adams
5:27.0,Personal foul by T. Evans (drawn by S. Adams),,98-95,,
5:27.0,,,98-95,,S. Adams misses free throw 1 of 2
5:27.0,,,98-95,,Offensive rebound by Team
5:27.0,,,98-96,1,S. Adams makes free throw 2 of 2
5:15.0,R. Anderson misses 3-pt shot from 23 ft,,98-96,,
5:14.0,,,98-96,,Defensive rebound by S. Adams
5:08.0,,,98-96,,K. Durant misses 2-pt shot from 1 ft
5:07.0,Defensive rebound by E. Gordon,,98-96,,
4:50.0,Q. Pondexter misses 2-pt shot from 17 ft,,98-96,,
4:49.0,,,98-96,,Defensive rebound by S. Ibaka
4:40.0,,,98-98,2,R. Westbrook makes 2-pt shot from 18 ft
4:36.0,,,98-98,,Technical foul by Team
4:36.0,A. Davis makes technical free throw,1,99-98,,
4:36.0,O. Asik enters the game for R. Anderson,,99-98,,
4:24.0,Turnover by Q. Pondexter (bad pass; steal by R. Westbrook),,99-98,,
4:18.0,,,99-98,,K. Durant misses 2-pt shot from 14 ft
4:17.0,Defensive rebound by O. Asik,,99-98,,
3:58.0,A. Davis makes 2-pt shot from 18 ft (assist by T. Evans),2,101-98,,
3:38.0,,,101-100,2,R. Westbrook makes 2-pt shot from 9 ft
