time,LA Clippers,pts.away,score,pts.home,Memphis
10:11.0,Turnover by G. Davis (offensive foul),,21-26,,
10:11.0,,,21-26,,T. Allen enters the game for V. Carter
9:52.0,,,21-26,,J. Leuer misses 2-pt shot from 7 ft
9:49.0,Defensive rebound by G. Davis,,21-26,,
9:41.0,S. Hawes misses 2-pt shot from 5 ft,,21-26,,
9:38.0,,,21-26,,Defensive rebound by J. Leuer
9:30.0,,,21-28,2,K. Koufos makes 2-pt shot from 1 ft (assist by J. Leuer)
9:14.0,Shooting foul by J. Leuer (drawn by H. Turkoglu),,21-28,,
9:14.0,H. Turkoglu misses free throw 1 of 2,,21-28,,
9:14.0,Offensive rebound by Team,,21-28,,
9:14.0,H. Turkoglu makes free throw 2 of 2,1,22-28,,
9:05.0,,,22-30,2,M. Conley makes 2-pt shot at rim
9:05.0,,,22-30,,Shooting foul by G. Davis (drawn by M. Conley)
9:05.0,C. Paul enters the game for J. Farmar,,22-30,,
9:05.0,,,22-31,1,M. Conley makes free throw 1 of 1
8:42.0,J. Crawford misses 3-pt shot from 27 ft,,22-31,,
8:41.0,Offensive rebound by S. Hawes,,22-31,,
8:39.0,S. Hawes makes 2-pt shot from 1 ft,2,24-31,,
8:23.0,,,24-33,2,J. Leuer makes 2-pt shot from 18 ft (assist by K. Koufos)
8:01.0,J. Crawford makes 2-pt shot from 20 ft (assist by C. Paul),2,26-33,,
7:43.0,,,26-33,,T. Allen misses 2-pt shot from 8 ft (block by G. Davis)
7:40.0,,,26-33,,Offensive rebound by T. Allen
7:40.0,Official timeout,,26-33,,
7:40.0,,,26-33,,M. Gasol enters the game for K. Koufos
7:40.0,,,26-33,,Turnover by T. Allen (lost ball)
7:40.0,Jump ball: T. Allen vs. G. Davis (C. Paul gains possession),,,,Jump ball: T. Allen vs. G. Davis (C. Paul gains possession)
7:26.0,,,26-33,,Def 3 sec tech foul by J. Leuer
7:26.0,C. Paul makes technical free throw,1,27-33,,
7:26.0,D. Jordan enters the game for S. Hawes,,27-33,,
7:26.0,B. Griffin enters the game for G. Davis,,27-33,,
7:18.0,J. Crawford misses 3-pt shot from 25 ft,,27-33,,
7:18.0,,,27-33,,Defensive rebound by Team
7:09.0,,,27-33,,Shooting foul by H. Turkoglu (drawn by M. Gasol)
7:09.0,,,27-33,,M. Gasol misses free throw 1 of 2
7:09.0,,,27-33,,Offensive rebound by Team
7:09.0,,,27-34,1,M. Gasol makes free throw 2 of 2
6:48.0,B. Griffin misses 2-pt shot from 10 ft,,27-34,,
6:47.0,,,27-34,,Defensive rebound by Team
6:37.0,,,27-34,,M. Conley misses 3-pt shot from 25 ft
6:35.0,,,27-34,,Offensive rebound by J. Leuer
6:31.0,,,27-34,,Turnover by J. Leuer (bad pass; steal by D. Jordan)
6:28.0,,,27-34,,Personal foul by T. Allen (drawn by C. Paul)
6:28.0,J. Redick enters the game for H. Turkoglu,,27-34,,
6:15.0,J. Redick misses 2-pt shot from 5 ft (block by T. Allen),,27-34,,
6:15.0,,,27-34,,Defensive rebound by T. Allen
6:07.0,,,27-34,,Turnover by Q. Pondexter (lost ball; steal by C. Paul)
5:59.0,C. Paul misses 2-pt shot at rim,,27-34,,
5:59.0,Offensive rebound by Team,,27-34,,
5:59.0,,,27-34,,Loose ball foul by M. Gasol (drawn by D. Jordan)
5:59.0,,,27-34,,Memphis full timeout
5:44.0,Offensive foul by D. Jordan,,27-34,,
5:44.0,Turnover by D. Jordan (offensive foul),,27-34,,
5:30.0,,,27-36,2,M. Gasol makes 2-pt shot from 8 ft
5:30.0,,,27-36,,Shooting foul by D. Jordan (drawn by M. Gasol)
5:30.0,S. Hawes enters the game for D. Jordan,,27-36,,
5:30.0,,,27-37,1,M. Gasol makes free throw 1 of 1
5:16.0,C. Paul misses 2-pt shot from 21 ft,,27-37,,
5:15.0,,,27-37,,Defensive rebound by J. Leuer
5:03.0,,,27-37,,Shooting foul by S. Hawes (drawn by M. Gasol)
5:03.0,LA Clippers full timeout,,27-37,,
5:03.0,M. Barnes enters the game for J. Crawford,,27-37,,
5:03.0,,,27-37,,C. Lee enters the game for Q. Pondexter
5:03.0,,,27-38,1,M. Gasol makes free throw 1 of 2
5:03.0,,,27-39,1,M. Gasol makes free throw 2 of 2
4:52.0,Shooting foul by M. Gasol (drawn by B. Griffin),,27-39,,
4:52.0,B. Griffin makes free throw 1 of 2,1,28-39,,
4:52.0,B. Griffin misses free throw 2 of 2,,28-39,,
4:51.0,,,28-39,,Defensive rebound by C. Lee
4:41.0,,,28-39,,Shooting foul by B. Griffin (drawn by M. Conley)
4:41.0,,,28-39,,M. Conley misses free throw 1 of 2
4:41.0,,,28-39,,Offensive rebound by Team
4:41.0,,,28-39,,Z. Randolph enters the game for J. Leuer
4:41.0,,,28-39,,M. Conley misses free throw 2 of 2
4:40.0,,,28-39,,Offensive rebound by M. Gasol
4:23.0,,,28-41,2,T. Allen makes 2-pt shot from 1 ft
3:57.0,B. Griffin misses 2-pt shot from 19 ft,,28-41,,
3:56.0,,,28-41,,Defensive rebound by M. Conley
3:42.0,,,28-43,2,M. Gasol makes 2-pt shot from 1 ft (assist by Z. Randolph)
3:23.0,B. Griffin misses 2-pt shot at rim (block by M. Gasol),,28-43,,
3:22.0,,,28-43,,Defensive rebound by M. Gasol
3:16.0,,,28-43,,M. Conley misses 3-pt shot from 23 ft
3:15.0,Defensive rebound by M. Barnes,,28-43,,
3:10.0,G. Davis enters the game for S. Hawes,,28-43,,
3:10.0,,,28-43,,B. Udrih enters the game for M. Conley
3:10.0,,,28-43,,Inbound foul by T. Allen
3:10.0,J. Redick makes free throw 1 of 2,1,29-43,,
3:10.0,J. Redick makes free throw 2 of 2,1,30-43,,
2:53.0,,,30-45,2,T. Allen makes 2-pt shot from 1 ft
2:43.0,C. Paul makes 2-pt shot at rim,2,32-45,,
2:37.0,,,32-45,,C. Lee misses 2-pt shot at rim
2:36.0,,,32-45,,Offensive rebound by T. Allen
2:36.0,,,32-47,2,T. Allen makes 2-pt shot at rim
2:24.0,Turnover by C. Paul (lost ball),,32-47,,
2:24.0,,,32-47,,K. Koufos enters the game for M. Gasol
2:10.0,,,32-47,,Shooting foul by M. Barnes (drawn by T. Allen)
2:10.0,,,32-48,1,T. Allen makes free throw 1 of 2
2:10.0,J. Crawford enters the game for M. Barnes,,32-48,,
2:10.0,,,32-49,1,T. Allen makes free throw 2 of 2
1:55.0,C. Paul misses 2-pt shot from 11 ft,,32-49,,
1:52.0,,,32-49,,Defensive rebound by K. Koufos
1:44.0,,,32-49,,T. Allen misses 3-pt shot from 24 ft
1:42.0,Defensive rebound by B. Griffin,,32-49,,
1:42.0,,,32-49,,Personal foul by T. Allen (drawn by C. Paul)
1:42.0,LA Clippers full timeout,,32-49,,
1:42.0,,,32-49,,Q. Pondexter enters the game for T. Allen
1:42.0,C. Paul makes free throw 1 of 2,1,33-49,,
1:42.0,C. Paul makes free throw 2 of 2,1,34-49,,
1:27.0,,,34-49,,Turnover by C. Lee (bad pass; steal by G. Davis)
1:26.0,,,34-49,,Personal foul by B. Udrih (drawn by C. Paul)
1:26.0,C. Paul makes free throw 1 of 2,1,35-49,,
1:26.0,C. Paul makes free throw 2 of 2,1,36-49,,
1:02.0,,,36-49,,Q. Pondexter misses 2-pt shot from 21 ft
1:01.0,Defensive rebound by C. Paul,,36-49,,
0:58.0,Shooting foul by K. Koufos (drawn by J. Crawford),,36-49,,
0:58.0,J. Crawford makes free throw 1 of 2,1,37-49,,
0:58.0,,,37-49,,M. Gasol enters the game for K. Koufos
0:58.0,,,37-49,,M. Conley enters the game for B. Udrih
0:58.0,J. Crawford makes free throw 2 of 2,1,38-49,,
0:47.0,,,38-49,,M. Conley misses 2-pt shot from 18 ft
0:46.0,,,38-49,,Offensive rebound by Q. Pondexter
0:45.0,,,38-49,,Shooting foul by J. Crawford (drawn by Q. Pondexter)
0:45.0,,,38-50,1,Q. Pondexter makes free throw 1 of 2
0:45.0,,,38-50,,N. Calathes enters the game for M. Conley
0:45.0,,,38-51,1,Q. Pondexter makes free throw 2 of 2
0:36.0,B. Griffin misses 2-pt shot from 1 ft,,38-51,,
0:34.0,,,38-51,,Defensive rebound by M. Gasol
0:12.0,,,38-53,2,Q. Pondexter makes 2-pt shot from 11 ft
0:12.0,,,38-53,,Shooting foul by C. Paul (drawn by Q. Pondexter)
0:12.0,,,38-53,,K. Koufos enters the game for M. Gasol
0:12.0,,,38-53,,J. Leuer enters the game for Z. Randolph
0:12.0,,,38-53,,Q. Pondexter misses free throw 1 of 1
0:11.0,Defensive rebound by B. Griffin,,38-53,,
0:02.0,C. Paul makes 2-pt shot from 13 ft,2,40-53,,
0:01.0,,,40-53,,Q. Pondexter misses 3-pt shot from 52 ft
0:00.0,,,40-53,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:45.0,J. Redick makes 3-pt shot from 26 ft (assist by C. Paul),3,43-53,,
11:22.0,,,43-53,,Shooting foul by M. Barnes (drawn by C. Lee)
11:22.0,,,43-54,1,C. Lee makes free throw 1 of 2
11:22.0,,,43-55,1,C. Lee makes free throw 2 of 2
11:09.0,C. Paul makes 2-pt shot from 1 ft,2,45-55,,
10:48.0,,,45-55,,Turnover by C. Lee (traveling)
10:39.0,C. Paul makes 2-pt shot from 16 ft,2,47-55,,
10:28.0,,,47-55,,T. Allen misses 2-pt shot at rim
10:27.0,,,47-55,,Offensive rebound by T. Allen
10:26.0,,,47-57,2,T. Allen makes 2-pt shot at rim
10:16.0,B. Griffin misses 2-pt shot from 17 ft,,47-57,,
10:15.0,,,47-57,,Defensive rebound by M. Gasol
10:07.0,,,47-57,,Shooting foul by J. Redick (drawn by T. Allen)
10:07.0,,,47-58,1,T. Allen makes free throw 1 of 2
10:07.0,,,47-59,1,T. Allen makes free throw 2 of 2
9:56.0,J. Redick misses 2-pt shot from 21 ft,,47-59,,
9:55.0,Offensive rebound by D. Jordan,,47-59,,
9:48.0,C. Paul misses 2-pt shot from 10 ft,,47-59,,
9:47.0,,,47-59,,Defensive rebound by Z. Randolph
9:41.0,,,47-62,3,C. Lee makes 3-pt shot from 26 ft (assist by M. Conley)
9:35.0,,,47-62,,Personal foul by M. Conley (drawn by C. Paul)
9:21.0,B. Griffin misses 2-pt shot from 20 ft,,47-62,,
9:20.0,Offensive rebound by D. Jordan,,47-62,,
9:20.0,D. Jordan makes 2-pt shot at rim,2,49-62,,
8:59.0,Def 3 sec tech foul by M. Barnes,,49-62,,
8:59.0,,,49-62,,C. Lee misses technical free throw
8:59.0,,,49-62,,Offensive rebound by Team
8:48.0,,,49-62,,M. Gasol misses 2-pt shot from 20 ft
8:47.0,Defensive rebound by J. Redick,,49-62,,
8:40.0,C. Paul makes 3-pt shot from 25 ft,3,52-62,,
8:40.0,,,52-62,,Memphis full timeout
8:21.0,,,52-64,2,Z. Randolph makes 2-pt shot at rim
7:58.0,J. Redick makes 2-pt shot from 19 ft (assist by C. Paul),2,54-64,,
7:45.0,,,54-66,2,Z. Randolph makes 2-pt shot from 19 ft (assist by M. Conley)
7:33.0,C. Paul misses 2-pt shot from 18 ft,,54-66,,
7:32.0,,,54-66,,Defensive rebound by M. Conley
7:10.0,,,54-66,,Z. Randolph misses 2-pt shot from 19 ft
7:07.0,Defensive rebound by C. Paul,,54-66,,
6:58.0,Offensive foul by B. Griffin,,54-66,,
6:58.0,Turnover by B. Griffin (offensive foul),,54-66,,
6:40.0,,,54-68,2,M. Gasol makes 2-pt shot from 6 ft (assist by M. Conley)
6:30.0,J. Redick makes 3-pt shot from 23 ft (assist by B. Griffin),3,57-68,,
6:08.0,,,57-68,,T. Allen misses 2-pt shot at rim
6:06.0,,,57-68,,Offensive rebound by Z. Randolph
6:06.0,,,57-70,2,Z. Randolph makes 2-pt shot at rim
5:52.0,B. Griffin makes 2-pt shot from 21 ft (assist by C. Paul),2,59-70,,
5:40.0,,,59-70,,Z. Randolph misses 2-pt shot from 6 ft
5:38.0,,,59-70,,Offensive rebound by Z. Randolph
5:36.0,,,59-70,,Turnover by M. Gasol (lost ball)
5:36.0,,,59-70,,Q. Pondexter enters the game for T. Allen
5:36.0,J. Crawford enters the game for M. Barnes,,59-70,,
5:24.0,C. Paul makes 2-pt shot from 14 ft,2,61-70,,
5:02.0,,,61-72,2,M. Gasol makes 2-pt shot at rim (assist by M. Conley)
4:46.0,B. Griffin misses 2-pt shot from 17 ft,,61-72,,
4:45.0,,,61-72,,Defensive rebound by M. Gasol
4:35.0,Personal foul by D. Jordan (drawn by M. Gasol),,61-72,,
4:22.0,,,61-74,2,M. Gasol makes 2-pt shot from 17 ft
4:11.0,,,61-74,,Personal foul by Q. Pondexter (drawn by J. Crawford)
4:11.0,S. Hawes enters the game for D. Jordan,,61-74,,
4:00.0,S. Hawes misses 3-pt shot from 25 ft,,61-74,,
3:59.0,,,61-74,,Defensive rebound by M. Gasol
3:52.0,,,61-74,,M. Conley misses 2-pt shot at rim
3:49.0,,,61-74,,Offensive rebound by Z. Randolph
3:49.0,,,61-74,,Turnover by Z. Randolph (lost ball; steal by C. Paul)
3:49.0,Offensive foul by C. Paul,,61-74,,
3:49.0,Turnover by C. Paul (offensive foul),,61-74,,
3:35.0,Personal foul by J. Redick (drawn by M. Gasol),,61-74,,
3:28.0,,,61-76,2,Q. Pondexter makes 2-pt shot at rim (assist by M. Gasol)
3:14.0,J. Redick makes 3-pt shot from 26 ft,3,64-76,,
2:55.0,,,64-78,2,M. Gasol makes 2-pt shot at rim
2:55.0,LA Clippers full timeout,,64-78,,
2:55.0,,,64-78,,B. Udrih enters the game for M. Conley
2:41.0,J. Crawford makes 2-pt shot from 19 ft (assist by C. Paul),2,66-78,,
2:19.0,,,66-78,,M. Gasol misses 2-pt shot from 6 ft
2:15.0,Defensive rebound by C. Paul,,66-78,,
2:15.0,Shooting foul by Q. Pondexter (drawn by C. Paul),,66-78,,
2:15.0,C. Paul makes free throw 1 of 2,1,67-78,,
2:15.0,C. Paul makes free throw 2 of 2,1,68-78,,
1:56.0,,,68-78,,C. Lee misses 3-pt shot from 26 ft
1:55.0,Defensive rebound by S. Hawes,,68-78,,
1:47.0,C. Paul makes 2-pt shot at rim,2,70-78,,
1:24.0,,,70-81,3,B. Udrih makes 3-pt shot from 26 ft
1:11.0,J. Redick misses 3-pt shot from 24 ft,,70-81,,
1:10.0,,,70-81,,Defensive rebound by Z. Randolph
0:57.0,,,70-84,3,C. Lee makes 3-pt shot from 25 ft (assist by B. Udrih)
0:40.0,S. Hawes misses 3-pt shot from 26 ft,,70-84,,
0:39.0,,,70-84,,Defensive rebound by B. Udrih
0:30.0,,,70-86,2,B. Udrih makes 2-pt shot from 18 ft
0:08.0,B. Griffin misses 2-pt shot from 1 ft,,70-86,,
0:08.0,Offensive rebound by B. Griffin,,70-86,,
0:08.0,B. Griffin makes 2-pt shot from 1 ft,2,72-86,,
0:02.0,,,72-88,2,Q. Pondexter makes 2-pt shot from 7 ft
0:01.0,Turnover by B. Griffin (bad pass; steal by Z. Randolph),,72-88,,
0:00.0,,,72-88,,Z. Randolph misses 2-pt shot from 11 ft
0:00.0,,,72-88,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:47.0,,,72-90,2,B. Udrih makes 2-pt shot at rim
11:28.0,B. Griffin misses 2-pt shot from 4 ft (block by M. Gasol),,72-90,,
11:27.0,,,72-90,,Defensive rebound by M. Gasol
11:07.0,,,72-92,2,J. Leuer makes 2-pt shot at rim (assist by C. Lee)
10:46.0,S. Hawes misses 2-pt shot from 6 ft,,72-92,,
10:44.0,,,72-92,,Defensive rebound by M. Gasol
10:31.0,,,72-92,,B. Udrih misses 2-pt shot from 1 ft
10:29.0,Defensive rebound by S. Hawes,,72-92,,
10:20.0,J. Crawford makes 3-pt shot from 25 ft (assist by S. Hawes),3,75-92,,
10:00.0,,,75-92,,Shooting foul by J. Farmar (drawn by B. Udrih)
10:00.0,,,75-93,1,B. Udrih makes free throw 1 of 2
10:00.0,G. Davis enters the game for B. Griffin,,75-93,,
10:00.0,,,75-93,,K. Koufos enters the game for M. Gasol
10:00.0,,,75-94,1,B. Udrih makes free throw 2 of 2
9:54.0,Shooting foul by J. Leuer (drawn by J. Crawford),,75-94,,
9:54.0,J. Crawford makes free throw 1 of 3,1,76-94,,
9:54.0,J. Crawford makes free throw 2 of 3,1,77-94,,
9:54.0,J. Crawford makes free throw 3 of 3,1,78-94,,
9:41.0,,,78-94,,B. Udrih misses 2-pt shot from 18 ft
9:39.0,,,78-94,,Offensive rebound by B. Udrih
9:26.0,,,78-94,,C. Lee misses 2-pt shot from 19 ft
9:24.0,,,78-94,,Offensive rebound by Q. Pondexter
9:21.0,Personal foul by J. Farmar (drawn by Q. Pondexter),,78-94,,
9:13.0,,,78-97,3,Q. Pondexter makes 3-pt shot from 23 ft (assist by B. Udrih)
9:13.0,Loose ball foul by G. Davis (drawn by K. Koufos),,78-97,,
9:13.0,,,78-97,,K. Koufos misses free throw 1 of 1
9:10.0,Defensive rebound by S. Hawes,,78-97,,
8:59.0,J. Crawford misses 3-pt shot from 27 ft,,78-97,,
8:58.0,,,78-97,,Defensive rebound by K. Koufos
8:45.0,,,78-100,3,C. Lee makes 3-pt shot from 25 ft (assist by B. Udrih)
8:28.0,J. Farmar misses 3-pt shot from 26 ft,,78-100,,
8:27.0,,,78-100,,Defensive rebound by C. Lee
8:17.0,,,78-103,3,J. Leuer makes 3-pt shot from 25 ft (assist by B. Udrih)
8:16.0,LA Clippers full timeout,,78-103,,
7:52.0,G. Davis makes 2-pt shot from 4 ft,2,80-103,,
7:30.0,,,80-103,,K. Koufos misses 2-pt shot from 20 ft
7:29.0,Defensive rebound by J. Crawford,,80-103,,
7:21.0,,,80-103,,N. Calathes enters the game for C. Lee
7:17.0,H. Turkoglu makes 2-pt shot from 17 ft (assist by J. Farmar),2,82-103,,
7:05.0,,,82-103,,Q. Pondexter misses 3-pt shot from 22 ft
7:04.0,Defensive rebound by S. Hawes,,82-103,,
6:56.0,Shooting foul by Q. Pondexter (drawn by J. Crawford),,82-103,,
6:56.0,J. Crawford makes free throw 1 of 2,1,83-103,,
6:56.0,J. Crawford makes free throw 2 of 2,1,84-103,,
6:36.0,,,84-103,,B. Udrih misses 3-pt shot from 27 ft
6:35.0,Defensive rebound by S. Hawes,,84-103,,
6:17.0,,,84-103,,M. Gasol enters the game for K. Koufos
6:17.0,,,84-103,,M. Conley enters the game for B. Udrih
6:17.0,Jump ball: Q. Pondexter vs. H. Turkoglu (J. Crawford gains possession),,,,Jump ball: Q. Pondexter vs. H. Turkoglu (J. Crawford gains possession)
6:11.0,J. Crawford misses 3-pt shot from 27 ft,,84-103,,
6:10.0,,,84-103,,Defensive rebound by M. Conley
5:46.0,,,84-103,,N. Calathes misses 3-pt shot from 23 ft
5:45.0,Defensive rebound by G. Davis,,84-103,,
5:34.0,G. Davis makes 2-pt shot from 17 ft (assist by J. Crawford),2,86-103,,
5:13.0,,,86-103,,Turnover by Q. Pondexter (lost ball; steal by G. Davis)
5:05.0,J. Farmar misses 3-pt shot from 24 ft,,86-103,,
5:04.0,,,86-103,,Defensive rebound by J. Leuer
4:59.0,,,86-103,,Memphis full timeout
4:59.0,,,86-103,,C. Lee enters the game for Q. Pondexter
4:59.0,C. Paul enters the game for H. Turkoglu,,86-103,,
4:47.0,,,86-103,,J. Leuer misses 2-pt shot from 2 ft
4:45.0,Defensive rebound by G. Davis,,86-103,,
