time,Brooklyn,pts.away,score,pts.home,Indiana
7:59.0,,,12-10,2,R. Hibbert makes 2-pt shot from 19 ft (assist by G. Hill)
7:41.0,D. Williams makes 3-pt shot from 26 ft (assist by T. Young),3,15-10,,
7:23.0,,,15-13,3,C. Miles makes 3-pt shot from 23 ft (assist by S. Hill)
7:12.0,D. Williams misses 3-pt shot from 24 ft,,15-13,,
7:11.0,,,15-13,,Defensive rebound by C. Miles
6:59.0,,,15-15,2,R. Hibbert makes 2-pt shot from 18 ft (assist by G. Hill)
6:36.0,B. Lopez makes 2-pt shot from 8 ft,2,17-15,,
6:28.0,,,17-15,,Indiana full timeout
6:16.0,,,17-17,2,D. West makes 2-pt shot from 13 ft
6:01.0,J. Johnson misses 2-pt shot at rim,,17-17,,
6:00.0,Offensive rebound by J. Johnson,,17-17,,
5:55.0,Shooting foul by D. West (drawn by M. Brown),,17-17,,
5:55.0,M. Brown makes free throw 1 of 2,1,18-17,,
5:55.0,M. Brown makes free throw 2 of 2,1,19-17,,
5:44.0,,,19-19,2,S. Hill makes 2-pt shot at rim
5:18.0,D. Williams makes 2-pt shot from 8 ft,2,21-19,,
4:57.0,,,21-19,,R. Hibbert misses 2-pt shot from 1 ft
4:56.0,Defensive rebound by T. Young,,21-19,,
4:41.0,D. Williams makes 3-pt shot from 23 ft (assist by T. Young),3,24-19,,
4:25.0,,,24-19,,Turnover by R. Hibbert (offensive foul)
4:25.0,,,24-19,,Offensive charge foul by R. Hibbert
4:25.0,A. Anderson enters the game for J. Johnson,,24-19,,
4:25.0,,,24-19,,I. Mahinmi enters the game for R. Hibbert
4:25.0,,,24-19,,R. Stuckey enters the game for S. Hill
4:12.0,D. Williams misses 3-pt shot from 24 ft,,24-19,,
4:11.0,,,24-19,,Defensive rebound by C. Miles
4:01.0,,,24-19,,R. Stuckey misses 2-pt shot from 18 ft
3:59.0,,,24-19,,Offensive rebound by D. West
3:59.0,,,24-21,2,D. West makes 2-pt shot at rim
3:46.0,T. Young makes 2-pt shot at rim (assist by A. Anderson),2,26-21,,
3:32.0,,,26-23,2,G. Hill makes 2-pt shot from 11 ft
3:19.0,D. Williams misses 2-pt shot from 3 ft,,26-23,,
3:18.0,,,26-23,,Defensive rebound by I. Mahinmi
3:08.0,,,26-25,2,I. Mahinmi makes 2-pt shot at rim (assist by D. West)
2:58.0,Brooklyn full timeout,,26-25,,
2:58.0,,,26-25,,C. Watson enters the game for G. Hill
2:58.0,C. Jefferson enters the game for T. Young,,26-25,,
2:50.0,D. Williams makes 2-pt shot from 20 ft (assist by A. Anderson),2,28-25,,
2:33.0,,,28-27,2,D. West makes 2-pt shot from 18 ft
2:21.0,B. Lopez misses 2-pt shot from 9 ft,,28-27,,
2:20.0,Offensive rebound by C. Jefferson,,28-27,,
2:04.0,B. Lopez makes 2-pt shot from 9 ft,2,30-27,,
1:51.0,Violation by B. Lopez (kicked ball),,30-27,,
1:51.0,J. Jack enters the game for D. Williams,,30-27,,
1:51.0,B. Bogdanovic enters the game for M. Brown,,30-27,,
1:41.0,,,30-27,,R. Stuckey misses 2-pt shot from 17 ft
1:40.0,Defensive rebound by C. Jefferson,,30-27,,
1:26.0,B. Lopez misses 2-pt shot from 16 ft,,30-27,,
1:25.0,,,30-27,,Defensive rebound by C. Watson
1:13.0,,,30-27,,D. West misses 2-pt shot from 4 ft (block by B. Lopez)
1:12.0,Defensive rebound by C. Jefferson,,30-27,,
1:01.0,Turnover by B. Lopez (lost ball),,30-27,,
1:01.0,,,30-27,,D. Rudez enters the game for C. Miles
1:01.0,,,30-27,,L. Scola enters the game for D. West
1:01.0,M. Plumlee enters the game for B. Lopez,,30-27,,
0:49.0,,,30-27,,Shooting foul by A. Anderson (drawn by R. Stuckey)
0:49.0,,,30-28,1,R. Stuckey makes free throw 1 of 2
0:49.0,,,30-29,1,R. Stuckey makes free throw 2 of 2
0:39.0,Shooting foul by L. Scola (drawn by C. Jefferson),,30-29,,
0:39.0,C. Jefferson misses free throw 1 of 2,,30-29,,
0:39.0,Offensive rebound by Team,,30-29,,
0:39.0,C. Jefferson makes free throw 2 of 2,1,31-29,,
0:16.0,,,31-29,,R. Stuckey misses 3-pt shot from 25 ft
0:14.0,Defensive rebound by A. Anderson,,31-29,,
0:03.0,J. Jack misses 2-pt shot from 13 ft,,31-29,,
0:02.0,,,31-29,,Defensive rebound by L. Scola
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:41.0,,,31-29,,Turnover by R. Stuckey (traveling)
11:31.0,B. Bogdanovic makes 2-pt shot from 8 ft,2,33-29,,
11:12.0,,,33-32,3,D. Rudez makes 3-pt shot from 22 ft (assist by R. Stuckey)
10:56.0,B. Bogdanovic makes 2-pt shot from 7 ft,2,35-32,,
10:27.0,,,35-34,2,L. Scola makes 2-pt shot from 15 ft
10:12.0,,,35-34,,Personal foul by D. Rudez (drawn by B. Bogdanovic)
10:08.0,Turnover by M. Plumlee (bad pass),,35-34,,
9:59.0,,,35-36,2,I. Mahinmi makes 2-pt shot at rim (assist by C. Watson)
9:46.0,Turnover by B. Bogdanovic (lost ball; steal by D. Rudez),,35-36,,
9:41.0,,,35-36,,Shooting foul by C. Jefferson (drawn by L. Scola)
9:41.0,,,35-37,1,L. Scola makes free throw 1 of 2
9:41.0,,,35-37,,L. Scola misses free throw 2 of 2
9:41.0,Defensive rebound by M. Plumlee,,35-37,,
9:25.0,A. Anderson makes 3-pt shot from 26 ft (assist by J. Jack),3,38-37,,
9:07.0,,,38-37,,D. Rudez misses 2-pt shot from 17 ft
9:06.0,Defensive rebound by M. Plumlee,,38-37,,
8:59.0,J. Jack makes 2-pt shot from 19 ft,2,40-37,,
8:42.0,,,40-37,,Shooting foul by C. Jefferson (drawn by L. Scola)
8:42.0,Official timeout,,40-37,,
8:42.0,,,40-37,,L. Scola misses free throw 1 of 2
8:42.0,,,40-37,,Offensive rebound by Team
8:42.0,,,40-38,1,L. Scola makes free throw 2 of 2
8:31.0,B. Bogdanovic makes 2-pt shot from 11 ft,2,42-38,,
8:31.0,Shooting foul by D. Rudez (drawn by B. Bogdanovic),,42-38,,
8:31.0,B. Bogdanovic makes free throw 1 of 1,1,43-38,,
8:15.0,,,43-38,,I. Mahinmi misses 2-pt shot from 11 ft
8:13.0,Defensive rebound by A. Anderson,,43-38,,
8:01.0,M. Plumlee makes 2-pt shot from 1 ft (assist by J. Jack),2,45-38,,
7:53.0,,,45-38,,C. Watson misses 3-pt shot from 25 ft
7:50.0,Defensive rebound by A. Anderson,,45-38,,
7:41.0,C. Jefferson makes 2-pt shot at rim (assist by A. Anderson),2,47-38,,
7:40.0,,,47-38,,Indiana full timeout
7:40.0,,,47-38,,R. Hibbert enters the game for I. Mahinmi
7:40.0,,,47-38,,S. Hill enters the game for D. Rudez
7:28.0,,,47-40,2,L. Scola makes 2-pt shot from 17 ft (assist by R. Hibbert)
7:14.0,Offensive charge foul by M. Plumlee,,47-40,,
7:14.0,Turnover by M. Plumlee (offensive foul),,47-40,,
6:59.0,,,47-40,,C. Watson misses 3-pt shot from 27 ft
6:58.0,Defensive rebound by A. Anderson,,47-40,,
6:42.0,M. Plumlee makes 2-pt shot from 16 ft,2,49-40,,
6:29.0,,,49-42,2,R. Hibbert makes 2-pt shot from 5 ft
6:15.0,,,49-42,,Violation by R. Hibbert (kicked ball)
6:15.0,D. Williams enters the game for J. Jack,,49-42,,
6:15.0,,,49-42,,G. Hill enters the game for C. Watson
6:15.0,T. Young enters the game for C. Jefferson,,49-42,,
6:02.0,T. Young makes 2-pt shot from 2 ft,2,51-42,,
5:45.0,,,51-44,2,L. Scola makes 2-pt shot from 1 ft (assist by R. Hibbert)
5:30.0,A. Anderson misses 2-pt shot from 1 ft,,51-44,,
5:28.0,Offensive rebound by M. Plumlee,,51-44,,
5:28.0,M. Plumlee makes 2-pt shot at rim,2,53-44,,
5:16.0,,,53-44,,Shooting foul by T. Young (drawn by S. Hill)
5:16.0,,,53-44,,S. Hill misses free throw 1 of 2
5:16.0,,,53-44,,Offensive rebound by Team
5:16.0,J. Johnson enters the game for B. Bogdanovic,,53-44,,
5:16.0,,,53-45,1,S. Hill makes free throw 2 of 2
4:56.0,A. Anderson misses 2-pt shot from 21 ft,,53-45,,
4:55.0,,,53-45,,Defensive rebound by S. Hill
4:47.0,,,53-45,,S. Hill misses 2-pt shot from 1 ft
4:46.0,Defensive rebound by M. Plumlee,,53-45,,
4:36.0,M. Plumlee makes 2-pt shot at rim (assist by D. Williams),2,55-45,,
4:16.0,,,55-47,2,L. Scola makes 2-pt shot from 1 ft
4:00.0,T. Young misses 2-pt shot from 6 ft,,55-47,,
3:59.0,,,55-47,,Defensive rebound by R. Hibbert
3:49.0,,,55-47,,G. Hill misses 2-pt shot from 5 ft
3:48.0,Defensive rebound by M. Plumlee,,55-47,,
3:37.0,D. Williams misses 2-pt shot from 19 ft,,55-47,,
3:36.0,,,55-47,,Defensive rebound by L. Scola
3:17.0,Violation by D. Williams (kicked ball),,55-47,,
3:17.0,B. Lopez enters the game for M. Plumlee,,55-47,,
3:17.0,,,55-47,,C. Miles enters the game for R. Stuckey
3:17.0,,,55-47,,D. West enters the game for L. Scola
3:04.0,,,55-47,,R. Hibbert misses 2-pt shot from 4 ft
3:03.0,Defensive rebound by B. Lopez,,55-47,,
2:51.0,D. Williams makes 2-pt shot from 13 ft,2,57-47,,
2:37.0,,,57-49,2,G. Hill makes 2-pt shot at rim
2:22.0,B. Lopez makes 2-pt shot from 16 ft,2,59-49,,
2:03.0,,,59-49,,Turnover by G. Hill (bad pass; steal by A. Anderson)
1:55.0,T. Young makes 2-pt shot at rim (assist by D. Williams),2,61-49,,
1:37.0,,,61-49,,R. Hibbert misses 2-pt shot from 2 ft
1:36.0,,,61-49,,Offensive rebound by D. West
1:34.0,,,61-51,2,D. West makes 2-pt shot from 2 ft
1:08.0,A. Anderson makes 2-pt shot from 1 ft,2,63-51,,
1:08.0,,,63-51,,Indiana full timeout
1:08.0,Brooklyn full timeout,,63-51,,
1:08.0,B. Bogdanovic enters the game for A. Anderson,,63-51,,
0:58.0,,,63-53,2,R. Hibbert makes 2-pt shot from 8 ft (assist by G. Hill)
0:48.0,J. Johnson misses 3-pt shot from 22 ft,,63-53,,
0:47.0,,,63-53,,Defensive rebound by R. Hibbert
0:34.0,,,63-56,3,S. Hill makes 3-pt shot from 24 ft (assist by G. Hill)
0:13.0,D. Williams misses 2-pt shot from 16 ft,,63-56,,
0:12.0,,,63-56,,Defensive rebound by S. Hill
0:01.0,,,63-56,,D. West misses 2-pt shot from 3 ft
0:00.0,Defensive rebound by B. Lopez,,63-56,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:46.0,,,63-59,3,S. Hill makes 3-pt shot from 26 ft (assist by G. Hill)
11:26.0,,,63-59,,Personal block foul by G. Hill (drawn by D. Williams)
11:17.0,B. Lopez makes 2-pt shot from 18 ft (assist by T. Young),2,65-59,,
10:56.0,,,65-59,,Turnover by R. Hibbert (3 sec)
10:43.0,J. Johnson misses 2-pt shot from 18 ft,,65-59,,
10:42.0,,,65-59,,Defensive rebound by C. Miles
10:25.0,,,65-59,,R. Hibbert misses 2-pt shot from 10 ft
10:24.0,Defensive rebound by Team,,65-59,,
10:15.0,T. Young misses 3-pt shot from 27 ft,,65-59,,
10:14.0,,,65-59,,Defensive rebound by G. Hill
10:09.0,,,65-59,,Shooting foul by D. Williams (drawn by G. Hill)
10:09.0,,,65-60,1,G. Hill makes free throw 1 of 2
10:09.0,,,65-61,1,G. Hill makes free throw 2 of 2
9:58.0,D. Williams misses 2-pt shot from 7 ft,,65-61,,
9:57.0,,,65-61,,Defensive rebound by C. Miles
9:48.0,,,65-61,,G. Hill misses 2-pt shot from 7 ft
9:46.0,Defensive rebound by T. Young,,65-61,,
9:30.0,J. Johnson makes 2-pt shot from 9 ft,2,67-61,,
9:12.0,,,67-64,3,C. Miles makes 3-pt shot from 26 ft (assist by S. Hill)
8:48.0,D. Williams misses 2-pt shot from 9 ft,,67-64,,
8:47.0,,,67-64,,Defensive rebound by S. Hill
8:36.0,,,67-64,,R. Hibbert misses 2-pt shot from 17 ft
8:35.0,Defensive rebound by D. Williams,,67-64,,
8:27.0,Shooting foul by G. Hill (drawn by B. Lopez),,67-64,,
8:27.0,B. Lopez makes 2-pt shot at rim (assist by D. Williams),2,69-64,,
8:27.0,B. Lopez makes free throw 1 of 1,1,70-64,,
8:17.0,,,70-64,,G. Hill misses 2-pt shot from 2 ft (block by B. Lopez)
8:15.0,Defensive rebound by T. Young,,70-64,,
8:08.0,M. Brown misses 2-pt shot from 2 ft (block by R. Hibbert),,70-64,,
8:07.0,,,70-64,,Defensive rebound by G. Hill
8:00.0,,,70-67,3,C. Miles makes 3-pt shot from 27 ft (assist by G. Hill)
7:32.0,Turnover by Team (shot clock),,70-67,,
7:14.0,Personal foul by D. Williams (drawn by S. Hill),,70-67,,
7:08.0,,,70-70,3,C. Miles makes 3-pt shot from 25 ft (assist by G. Hill)
7:05.0,Brooklyn full timeout,,70-70,,
7:05.0,A. Anderson enters the game for J. Johnson,,70-70,,
7:05.0,B. Bogdanovic enters the game for M. Brown,,70-70,,
6:56.0,B. Lopez makes 2-pt shot from 10 ft (assist by D. Williams),2,72-70,,
6:44.0,,,72-70,,Shooting foul by B. Lopez (drawn by G. Hill)
6:44.0,,,72-72,2,G. Hill makes 2-pt shot from 1 ft
6:44.0,,,72-72,,G. Hill misses free throw 1 of 1
6:44.0,Defensive rebound by B. Bogdanovic,,72-72,,
6:28.0,T. Young misses 2-pt shot from 5 ft,,72-72,,
6:27.0,,,72-72,,Defensive rebound by R. Hibbert
6:27.0,Loose ball foul by B. Lopez (drawn by R. Hibbert),,72-72,,
6:17.0,,,72-72,,Shooting foul by A. Anderson (drawn by R. Hibbert)
6:17.0,,,72-73,1,R. Hibbert makes free throw 1 of 2
6:17.0,,,72-74,1,R. Hibbert makes free throw 2 of 2
6:09.0,D. Williams misses 2-pt shot from 15 ft,,72-74,,
6:08.0,,,72-74,,Defensive rebound by D. West
5:57.0,,,72-76,2,R. Hibbert makes 2-pt shot at rim (assist by D. West)
5:41.0,Shooting foul by G. Hill (drawn by B. Lopez),,72-76,,
5:41.0,B. Lopez makes free throw 1 of 2,1,73-76,,
5:41.0,B. Lopez makes free throw 2 of 2,1,74-76,,
5:29.0,,,74-76,,R. Hibbert misses 2-pt shot at rim (block by B. Lopez)
5:28.0,Defensive rebound by A. Anderson,,74-76,,
5:19.0,B. Lopez misses 2-pt shot from 19 ft,,74-76,,
5:18.0,,,74-76,,Defensive rebound by C. Miles
5:09.0,,,74-78,2,R. Hibbert makes 2-pt shot from 6 ft (assist by G. Hill)
4:51.0,,,74-78,,Personal foul by R. Hibbert (drawn by B. Lopez)
4:51.0,J. Jack enters the game for D. Williams,,74-78,,
4:40.0,J. Jack misses 2-pt shot from 8 ft (block by S. Hill),,74-78,,
4:38.0,,,74-78,,Defensive rebound by D. West
4:29.0,,,74-78,,S. Hill misses 2-pt shot from 3 ft
4:26.0,Defensive rebound by T. Young,,74-78,,
4:13.0,,,74-78,,Personal foul by G. Hill (drawn by A. Anderson)
4:13.0,A. Anderson makes free throw 1 of 2,1,75-78,,
4:13.0,,,75-78,,C. Watson enters the game for G. Hill
4:13.0,,,75-78,,I. Mahinmi enters the game for R. Hibbert
4:13.0,A. Anderson makes free throw 2 of 2,1,76-78,,
3:58.0,,,76-78,,C. Miles misses 3-pt shot from 22 ft
3:57.0,Defensive rebound by J. Jack,,76-78,,
3:42.0,B. Bogdanovic makes 3-pt shot from 26 ft (assist by J. Jack),3,79-78,,
3:25.0,,,79-78,,Indiana full timeout
3:19.0,,,79-78,,C. Miles misses 3-pt shot from 27 ft
3:17.0,Defensive rebound by B. Bogdanovic,,79-78,,
2:58.0,Shooting foul by I. Mahinmi (drawn by J. Jack),,79-78,,
2:58.0,J. Jack makes free throw 1 of 2,1,80-78,,
2:58.0,,,80-78,,D. Rudez enters the game for C. Miles
2:58.0,J. Jack makes free throw 2 of 2,1,81-78,,
2:43.0,,,81-78,,D. West misses 2-pt shot from 5 ft
2:41.0,,,81-78,,Offensive rebound by I. Mahinmi
2:41.0,,,81-78,,I. Mahinmi misses 2-pt shot at rim
2:40.0,Defensive rebound by T. Young,,81-78,,
2:29.0,,,81-78,,Technical foul by Team
2:29.0,J. Jack makes technical free throw,1,82-78,,
2:23.0,,,82-78,,Personal foul by S. Hill (drawn by B. Bogdanovic)
2:23.0,B. Bogdanovic makes free throw 1 of 2,1,83-78,,
2:23.0,,,83-78,,L. Scola enters the game for D. West
2:23.0,B. Bogdanovic misses free throw 2 of 2,,83-78,,
2:23.0,,,83-78,,Defensive rebound by L. Scola
2:10.0,,,83-81,3,D. Rudez makes 3-pt shot from 30 ft (assist by C. Watson)
1:55.0,A. Anderson misses 3-pt shot from 25 ft,,83-81,,
1:54.0,,,83-81,,Defensive rebound by S. Hill
1:47.0,,,83-81,,S. Hill misses 2-pt shot at rim
1:46.0,,,83-81,,Offensive rebound by I. Mahinmi
1:46.0,,,83-83,2,I. Mahinmi makes 2-pt shot at rim
1:33.0,B. Lopez makes 2-pt shot from 16 ft (assist by J. Jack),2,85-83,,
1:20.0,,,85-83,,Shooting foul by T. Young (drawn by L. Scola)
1:20.0,,,85-84,1,L. Scola makes free throw 1 of 2
1:20.0,,,85-85,1,L. Scola makes free throw 2 of 2
1:02.0,Turnover by T. Young (lost ball; steal by I. Mahinmi),,85-85,,
0:53.0,,,85-85,,S. Hill misses 2-pt shot from 1 ft
0:52.0,,,85-85,,Offensive rebound by S. Hill
0:50.0,,,85-85,,S. Hill misses 2-pt shot from 7 ft
0:49.0,,,85-85,,Offensive rebound by S. Hill
0:49.0,,,85-87,2,S. Hill makes 2-pt shot from 3 ft
0:49.0,Brooklyn full timeout,,85-87,,
0:49.0,C. Jefferson enters the game for T. Young,,85-87,,
0:35.0,,,85-87,,Personal foul by L. Scola (drawn by B. Lopez)
0:35.0,B. Lopez makes free throw 1 of 2,1,86-87,,
0:35.0,B. Lopez misses free throw 2 of 2,,86-87,,
0:35.0,,,86-87,,Defensive rebound by I. Mahinmi
0:19.0,,,86-87,,S. Hill misses 2-pt shot at rim
0:18.0,Defensive rebound by B. Lopez,,86-87,,
0:02.0,B. Lopez makes 2-pt shot from 1 ft,2,88-87,,
0:00.0,,,88-87,,S. Hill misses 3-pt shot from 68 ft
0:00.0,,,88-87,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:47.0,J. Jack misses 2-pt shot from 8 ft,,88-87,,
11:46.0,,,88-87,,Defensive rebound by L. Scola
11:28.0,,,88-87,,C. Miles misses 3-pt shot from 24 ft
11:28.0,Defensive rebound by Team,,88-87,,
11:28.0,,,88-87,,Loose ball foul by I. Mahinmi (drawn by M. Plumlee)
11:17.0,B. Bogdanovic makes 3-pt shot from 23 ft (assist by J. Jack),3,91-87,,
11:04.0,,,91-87,,C. Watson misses 3-pt shot from 27 ft
11:03.0,,,91-87,,Offensive rebound by I. Mahinmi
10:59.0,,,91-87,,C. Watson misses 3-pt shot from 25 ft
10:58.0,Defensive rebound by B. Bogdanovic,,91-87,,
10:38.0,Shooting foul by I. Mahinmi (drawn by M. Plumlee),,91-87,,
10:38.0,M. Plumlee misses free throw 1 of 2,,91-87,,
10:38.0,Offensive rebound by Team,,91-87,,
10:38.0,M. Plumlee makes free throw 2 of 2,1,92-87,,
10:28.0,,,92-87,,Turnover by C. Watson (bad pass; steal by A. Anderson)
10:15.0,B. Bogdanovic makes 2-pt shot from 12 ft (assist by J. Jack),2,94-87,,
9:58.0,,,94-87,,Turnover by C. Watson (bad pass; steal by A. Anderson)
9:54.0,A. Anderson makes 2-pt shot at rim,2,96-87,,
9:52.0,,,96-87,,Indiana full timeout
9:52.0,,,96-87,,S. Hill enters the game for C. Watson
9:52.0,,,96-87,,G. Hill enters the game for D. Rudez
9:43.0,,,96-89,2,G. Hill makes 2-pt shot from 1 ft
9:28.0,Shooting foul by L. Scola (drawn by M. Plumlee),,96-89,,
9:28.0,M. Plumlee misses free throw 1 of 2,,96-89,,
9:28.0,Offensive rebound by Team,,96-89,,
9:28.0,M. Plumlee makes free throw 2 of 2,1,97-89,,
9:13.0,,,97-91,2,G. Hill makes 2-pt shot from 4 ft
8:51.0,J. Jack misses 2-pt shot from 16 ft,,97-91,,
8:50.0,,,97-91,,Defensive rebound by C. Miles
8:45.0,,,97-93,2,S. Hill makes 2-pt shot at rim
8:28.0,Offensive charge foul by B. Bogdanovic,,97-93,,
8:28.0,Turnover by B. Bogdanovic (offensive foul),,97-93,,
8:12.0,,,97-93,,S. Hill misses 3-pt shot from 25 ft
8:11.0,,,97-93,,Offensive rebound by Team
8:11.0,J. Johnson enters the game for C. Jefferson,,97-93,,
8:08.0,,,97-93,,C. Miles misses 2-pt shot from 14 ft
8:06.0,,,97-93,,Offensive rebound by L. Scola
8:04.0,,,97-95,2,L. Scola makes 2-pt shot from 1 ft
8:04.0,,,97-95,,Shooting foul by J. Johnson (drawn by L. Scola)
8:04.0,,,97-96,1,L. Scola makes free throw 1 of 1
7:44.0,J. Jack misses 2-pt shot from 16 ft,,97-96,,
7:43.0,,,97-96,,Defensive rebound by G. Hill
7:35.0,,,97-96,,C. Miles misses 2-pt shot from 19 ft
7:32.0,Defensive rebound by J. Johnson,,97-96,,
7:20.0,J. Johnson makes 2-pt shot from 14 ft,2,99-96,,
6:55.0,,,99-96,,L. Scola misses 2-pt shot from 16 ft
6:54.0,,,99-96,,Offensive rebound by I. Mahinmi
6:46.0,,,99-98,2,L. Scola makes 2-pt shot from 1 ft (assist by I. Mahinmi)
6:22.0,J. Johnson makes 2-pt shot from 18 ft,2,101-98,,
6:13.0,,,101-98,,Turnover by C. Miles (lost ball)
6:13.0,Brooklyn full timeout,,101-98,,
6:13.0,B. Lopez enters the game for M. Plumlee,,101-98,,
5:52.0,J. Johnson misses 2-pt shot from 14 ft,,101-98,,
5:51.0,,,101-98,,Defensive rebound by I. Mahinmi
5:28.0,,,101-98,,C. Miles misses 3-pt shot from 25 ft
5:26.0,Defensive rebound by B. Lopez,,101-98,,
5:24.0,,,101-98,,Personal foul by L. Scola (drawn by J. Jack)
5:24.0,,,101-98,,R. Hibbert enters the game for I. Mahinmi
5:05.0,B. Bogdanovic makes 2-pt shot from 2 ft (assist by J. Jack),2,103-98,,
4:45.0,,,103-98,,R. Hibbert misses 2-pt shot from 19 ft
4:44.0,Defensive rebound by B. Bogdanovic,,103-98,,
4:33.0,J. Johnson makes 2-pt shot from 2 ft,2,105-98,,
4:33.0,Shooting foul by C. Miles (drawn by J. Johnson),,105-98,,
4:33.0,,,105-98,,D. West enters the game for L. Scola
4:33.0,,,105-98,,C. Watson enters the game for C. Miles
4:33.0,J. Johnson makes free throw 1 of 1,1,106-98,,
4:18.0,,,106-100,2,D. West makes 2-pt shot from 1 ft
4:18.0,Violation by B. Lopez (def goaltending),,106-100,,
4:00.0,B. Bogdanovic makes 3-pt shot from 23 ft (assist by A. Anderson),3,109-100,,
3:45.0,,,109-100,,Shooting foul by J. Jack (drawn by D. West)
3:45.0,,,109-100,,D. West misses free throw 1 of 2
3:45.0,,,109-100,,Offensive rebound by Team
3:45.0,,,109-101,1,D. West makes free throw 2 of 2
3:31.0,B. Lopez makes 2-pt shot from 18 ft (assist by J. Jack),2,111-101,,
3:30.0,,,111-101,,Indiana full timeout
3:18.0,,,111-103,2,G. Hill makes 2-pt shot from 22 ft (assist by C. Watson)
3:04.0,A. Anderson makes 2-pt shot from 2 ft,2,113-103,,
2:51.0,,,113-105,2,D. West makes 2-pt shot from 5 ft
2:37.0,Offensive foul by A. Anderson,,113-105,,
2:37.0,Turnover by A. Anderson (offensive foul),,113-105,,
2:37.0,Official timeout,,113-105,,
2:37.0,,,113-105,,C. Miles enters the game for S. Hill
2:19.0,,,113-105,,C. Watson misses 3-pt shot from 25 ft
2:17.0,Defensive rebound by A. Anderson,,113-105,,
2:15.0,Turnover by A. Anderson (lost ball; steal by C. Watson),,113-105,,
2:13.0,Personal foul by A. Anderson (drawn by C. Watson),,113-105,,
1:58.0,,,113-105,,Turnover by D. West (lost ball)
1:35.0,J. Johnson makes 2-pt shot from 17 ft,2,115-105,,
1:19.0,,,115-107,2,G. Hill makes 2-pt shot from 17 ft
1:00.0,J. Jack makes 2-pt shot from 6 ft,2,117-107,,
1:00.0,,,117-107,,Indiana full timeout
1:00.0,,,117-107,,D. Rudez enters the game for R. Hibbert
1:00.0,T. Young enters the game for B. Lopez,,117-107,,
0:58.0,,,117-107,,G. Hill misses 3-pt shot from 27 ft
0:57.0,Defensive rebound by B. Bogdanovic,,117-107,,
0:44.0,,,117-107,,Personal take foul by G. Hill (drawn by J. Jack)
0:44.0,J. Jack makes free throw 1 of 2,1,118-107,,
0:44.0,J. Jack makes free throw 2 of 2,1,119-107,,
0:40.0,,,119-109,2,C. Miles makes 2-pt shot at rim
0:39.0,,,119-109,,Personal take foul by G. Hill (drawn by J. Jack)
0:39.0,,,119-109,,S. Hill enters the game for G. Hill
0:39.0,J. Jack makes free throw 1 of 2,1,120-109,,
0:39.0,J. Jack makes free throw 2 of 2,1,121-109,,
