time,Phoenix,pts.away,score,pts.home,Charlotte
11:48.0,,,27-32,1,B. Roberts makes free throw 1 of 2
11:48.0,,,27-33,1,B. Roberts makes free throw 2 of 2
11:35.0,M. Morris misses 2-pt shot from 5 ft,,27-33,,
11:34.0,,,27-33,,Defensive rebound by M. Williams
11:19.0,,,27-36,3,G. Neal makes 3-pt shot from 26 ft (assist by M. Williams)
10:58.0,I. Thomas misses 3-pt shot from 25 ft,,27-36,,
10:56.0,Offensive rebound by M. Plumlee,,27-36,,
10:53.0,Shooting foul by B. Biyombo (drawn by I. Thomas),,27-36,,
10:53.0,I. Thomas misses free throw 1 of 2,,27-36,,
10:53.0,Offensive rebound by Team,,27-36,,
10:53.0,I. Thomas makes free throw 2 of 2,1,28-36,,
10:40.0,,,28-39,3,G. Neal makes 3-pt shot from 25 ft
10:28.0,G. Green misses 2-pt shot from 14 ft,,28-39,,
10:26.0,,,28-39,,Defensive rebound by B. Roberts
10:20.0,,,28-42,3,M. Williams makes 3-pt shot from 25 ft (assist by B. Roberts)
10:12.0,Phoenix full timeout,,28-42,,
10:02.0,I. Thomas misses 3-pt shot from 26 ft,,28-42,,
10:00.0,,,28-42,,Defensive rebound by B. Biyombo
9:47.0,Personal foul by M. Plumlee (drawn by G. Neal),,28-42,,
9:47.0,E. Bledsoe enters the game for M. Plumlee,,28-42,,
9:40.0,Personal foul by M. Morris (drawn by G. Neal),,28-42,,
9:40.0,,,28-42,,C. Zeller enters the game for B. Biyombo
9:31.0,,,28-42,,B. Roberts misses 3-pt shot from 26 ft
9:28.0,Defensive rebound by G. Green,,28-42,,
9:20.0,Shooting foul by G. Henderson (drawn by G. Green),,28-42,,
9:20.0,G. Green misses free throw 1 of 2,,28-42,,
9:20.0,Offensive rebound by Team,,28-42,,
9:20.0,G. Green makes free throw 2 of 2,1,29-42,,
8:57.0,,,29-45,3,B. Roberts makes 3-pt shot from 25 ft (assist by G. Neal)
8:37.0,G. Green makes 2-pt shot from 19 ft,2,31-45,,
8:12.0,,,31-47,2,G. Neal makes 2-pt shot from 9 ft
7:56.0,M. Morris makes 2-pt shot from 15 ft,2,33-47,,
7:38.0,Personal foul by M. Morris (drawn by M. Williams),,33-47,,
7:38.0,,,33-47,,M. Williams misses free throw 1 of 2
7:38.0,,,33-47,,Offensive rebound by Team
7:38.0,,,33-47,,L. Stephenson enters the game for G. Henderson
7:38.0,G. Dragic enters the game for M. Morris,,33-47,,
7:38.0,,,33-48,1,M. Williams makes free throw 2 of 2
7:19.0,G. Dragic misses 2-pt shot from 1 ft,,33-48,,
7:17.0,,,33-48,,Defensive rebound by C. Zeller
7:01.0,,,33-50,2,C. Zeller makes 2-pt shot from 1 ft (assist by G. Neal)
6:50.0,I. Thomas makes 3-pt shot from 25 ft (assist by P. Tucker),3,36-50,,
6:32.0,,,36-50,,B. Roberts misses 2-pt shot from 17 ft
6:31.0,Defensive rebound by G. Dragic,,36-50,,
6:25.0,E. Bledsoe misses 3-pt shot from 25 ft,,36-50,,
6:22.0,Offensive rebound by G. Dragic,,36-50,,
6:22.0,G. Dragic makes 2-pt shot from 1 ft,2,38-50,,
6:22.0,Shooting foul by C. Zeller (drawn by G. Dragic),,38-50,,
6:22.0,,,38-50,,A. Jefferson enters the game for C. Zeller
6:22.0,G. Dragic makes free throw 1 of 1,1,39-50,,
6:08.0,Personal foul by I. Thomas (drawn by B. Roberts),,39-50,,
6:08.0,,,39-51,1,B. Roberts makes free throw 1 of 2
6:08.0,,,39-51,,M. Kidd-Gilchrist enters the game for M. Williams
6:08.0,,,39-52,1,B. Roberts makes free throw 2 of 2
5:52.0,I. Thomas misses 3-pt shot from 23 ft,,39-52,,
5:50.0,Offensive rebound by P. Tucker,,39-52,,
5:50.0,P. Tucker makes 2-pt shot at rim,2,41-52,,
5:36.0,,,41-52,,Turnover by G. Neal (bad pass; steal by G. Green)
5:29.0,G. Green makes 3-pt shot from 25 ft (assist by I. Thomas),3,44-52,,
5:22.0,,,44-52,,Charlotte full timeout
5:22.0,,,44-52,,K. Walker enters the game for B. Roberts
5:05.0,,,44-52,,G. Neal misses 2-pt shot from 7 ft (block by E. Bledsoe)
5:03.0,,,44-52,,Offensive rebound by A. Jefferson
5:02.0,,,44-52,,A. Jefferson misses 2-pt shot at rim (block by P. Tucker)
5:01.0,,,44-52,,Offensive rebound by M. Kidd-Gilchrist
4:58.0,,,44-52,,M. Kidd-Gilchrist misses 2-pt shot from 1 ft
4:57.0,Defensive rebound by G. Green,,44-52,,
4:38.0,E. Bledsoe misses 2-pt shot at rim,,44-52,,
4:37.0,,,44-52,,Defensive rebound by M. Kidd-Gilchrist
4:20.0,,,44-54,2,L. Stephenson makes 2-pt shot from 18 ft
3:55.0,Shooting foul by A. Jefferson (drawn by I. Thomas),,44-54,,
3:55.0,I. Thomas makes free throw 1 of 2,1,45-54,,
3:55.0,I. Thomas makes free throw 2 of 2,1,46-54,,
3:38.0,,,46-56,2,M. Kidd-Gilchrist makes 2-pt shot from 1 ft (assist by G. Neal)
3:38.0,,,46-56,,Shooting foul by G. Green (drawn by M. Kidd-Gilchrist)
3:38.0,,,46-56,,M. Kidd-Gilchrist misses free throw 1 of 1
3:36.0,,,46-56,,Offensive rebound by Team
3:20.0,,,46-56,,L. Stephenson misses 2-pt shot from 15 ft
3:20.0,,,46-56,,Offensive rebound by Team
3:20.0,Loose ball foul by G. Green (drawn by M. Kidd-Gilchrist),,46-56,,
3:20.0,,,46-56,,M. Kidd-Gilchrist misses free throw 1 of 2
3:20.0,,,46-56,,Offensive rebound by Team
3:20.0,M. Morris enters the game for I. Thomas,,46-56,,
3:20.0,,,46-56,,M. Kidd-Gilchrist misses free throw 2 of 2
3:17.0,Defensive rebound by P. Tucker,,46-56,,
2:58.0,M. Morris makes 2-pt shot from 7 ft,2,48-56,,
2:50.0,,,48-59,3,G. Neal makes 3-pt shot from 25 ft (assist by K. Walker)
2:33.0,Turnover by M. Morris (traveling),,48-59,,
2:33.0,Official timeout,,48-59,,
2:11.0,,,48-59,,L. Stephenson misses 2-pt shot from 10 ft
2:09.0,Defensive rebound by M. Morris,,48-59,,
1:54.0,G. Dragic misses 3-pt shot from 23 ft,,48-59,,
1:53.0,,,48-59,,Defensive rebound by A. Jefferson
1:42.0,,,48-59,,M. Kidd-Gilchrist misses 2-pt shot from 1 ft (block by P. Tucker)
1:42.0,,,48-59,,Offensive rebound by Team
1:42.0,,,48-59,,C. Zeller enters the game for A. Jefferson
1:35.0,,,48-59,,Turnover by L. Stephenson (bad pass)
1:24.0,G. Dragic makes 2-pt shot at rim,2,50-59,,
1:10.0,,,50-59,,L. Stephenson misses 3-pt shot from 26 ft
1:09.0,Defensive rebound by P. Tucker,,50-59,,
1:00.0,Jump ball: G. Dragic vs. M. Kidd-Gilchrist (M. Morris gains possession),,,,Jump ball: G. Dragic vs. M. Kidd-Gilchrist (M. Morris gains possession)
0:47.0,G. Green makes 2-pt shot from 10 ft,2,52-59,,
0:31.0,,,52-59,,K. Walker misses 3-pt shot from 25 ft
0:31.0,,,52-59,,Offensive rebound by Team
0:31.0,Loose ball foul by M. Morris (drawn by C. Zeller),,52-59,,
0:31.0,,,52-60,1,C. Zeller makes free throw 1 of 2
0:31.0,,,52-61,1,C. Zeller makes free throw 2 of 2
0:15.0,G. Green misses 3-pt shot from 26 ft,,52-61,,
0:14.0,Offensive rebound by Team,,52-61,,
0:14.0,Phoenix full timeout,,52-61,,
0:02.0,G. Dragic makes 2-pt shot from 2 ft,2,54-61,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:42.0,,,54-63,2,A. Jefferson makes 2-pt shot from 9 ft (assist by K. Walker)
11:30.0,Shooting foul by K. Walker (drawn by E. Bledsoe),,54-63,,
11:30.0,E. Bledsoe makes free throw 1 of 2,1,55-63,,
11:30.0,E. Bledsoe makes free throw 2 of 2,1,56-63,,
11:08.0,,,56-63,,A. Jefferson misses 2-pt shot from 4 ft
11:07.0,,,56-63,,Offensive rebound by C. Zeller
11:07.0,,,56-63,,C. Zeller misses 2-pt shot at rim
11:05.0,Defensive rebound by A. Len,,56-63,,
11:02.0,G. Dragic misses 2-pt shot from 1 ft,,56-63,,
11:00.0,,,56-63,,Defensive rebound by C. Zeller
10:50.0,,,56-63,,K. Walker misses 2-pt shot from 13 ft
10:48.0,Defensive rebound by A. Len,,56-63,,
10:38.0,M. Morris makes 3-pt shot from 26 ft (assist by E. Bledsoe),3,59-63,,
10:17.0,,,59-65,2,M. Kidd-Gilchrist makes 2-pt shot from 1 ft (assist by K. Walker)
10:03.0,A. Len makes 2-pt shot from 11 ft (assist by E. Bledsoe),2,61-65,,
9:39.0,,,61-65,,L. Stephenson misses 3-pt shot from 26 ft
9:38.0,Defensive rebound by M. Morris,,61-65,,
9:33.0,Turnover by M. Morris (bad pass; steal by K. Walker),,61-65,,
9:19.0,,,61-67,2,A. Jefferson makes 2-pt shot from 5 ft (assist by K. Walker)
8:58.0,M. Morris makes 2-pt shot from 1 ft,2,63-67,,
8:37.0,,,63-67,,C. Zeller misses 2-pt shot from 2 ft (block by P. Tucker)
8:36.0,Defensive rebound by M. Morris,,63-67,,
8:31.0,G. Dragic makes 2-pt shot from 1 ft (assist by P. Tucker),2,65-67,,
8:14.0,,,65-67,,Shooting foul by A. Len (drawn by K. Walker)
8:14.0,,,65-68,1,K. Walker makes free throw 1 of 2
8:14.0,,,65-69,1,K. Walker makes free throw 2 of 2
7:54.0,E. Bledsoe misses 2-pt shot from 19 ft,,65-69,,
7:53.0,,,65-69,,Defensive rebound by L. Stephenson
7:46.0,,,65-71,2,L. Stephenson makes 2-pt shot from 1 ft
7:36.0,G. Dragic misses 3-pt shot from 25 ft,,65-71,,
7:35.0,,,65-71,,Defensive rebound by A. Jefferson
7:31.0,,,65-71,,Charlotte full timeout
7:31.0,,,65-71,,G. Henderson enters the game for L. Stephenson
7:12.0,,,65-71,,A. Jefferson misses 2-pt shot from 6 ft (block by A. Len)
7:10.0,Defensive rebound by E. Bledsoe,,65-71,,
6:50.0,P. Tucker misses 3-pt shot from 23 ft,,65-71,,
6:49.0,,,65-71,,Defensive rebound by C. Zeller
6:40.0,,,65-73,2,K. Walker makes 2-pt shot from 17 ft
6:24.0,M. Morris misses 2-pt shot from 1 ft (block by C. Zeller),,65-73,,
6:23.0,Offensive rebound by M. Morris,,65-73,,
6:23.0,M. Morris makes 2-pt shot from 1 ft,2,67-73,,
6:23.0,Technical foul by M. Morris,,67-73,,
6:23.0,,,67-74,1,K. Walker makes technical free throw
6:05.0,,,67-74,,A. Jefferson misses 2-pt shot from 14 ft
6:03.0,Defensive rebound by G. Dragic,,67-74,,
5:56.0,,,67-74,,Personal foul by C. Zeller (drawn by M. Morris)
5:41.0,Turnover by M. Morris (lost ball; steal by C. Zeller),,67-74,,
5:28.0,,,67-76,2,K. Walker makes 2-pt shot from 18 ft
5:16.0,,,67-76,,Personal foul by A. Jefferson (drawn by E. Bledsoe)
5:16.0,M. Morris enters the game for P. Tucker,,67-76,,
5:16.0,I. Thomas enters the game for E. Bledsoe,,67-76,,
5:06.0,I. Thomas misses 3-pt shot from 25 ft,,67-76,,
5:05.0,,,67-76,,Defensive rebound by A. Jefferson
4:52.0,,,67-76,,A. Jefferson misses 2-pt shot from 10 ft
4:48.0,Defensive rebound by M. Morris,,67-76,,
4:37.0,A. Len makes 2-pt shot from 15 ft,2,69-76,,
4:24.0,,,69-78,2,K. Walker makes 2-pt shot from 1 ft
4:12.0,A. Len makes 2-pt shot from 16 ft (assist by G. Dragic),2,71-78,,
3:50.0,,,71-78,,M. Kidd-Gilchrist misses 2-pt shot from 19 ft
3:50.0,,,71-78,,Offensive rebound by C. Zeller
3:50.0,,,71-78,,Shooting foul by M. Morris (drawn by C. Zeller)
3:50.0,Technical foul by M. Morris (drawn by C. Zeller),,71-78,,
3:50.0,G. Green enters the game for M. Morris,,71-78,,
3:50.0,,,71-79,1,K. Walker makes technical free throw
3:50.0,,,71-80,1,C. Zeller makes free throw 1 of 2
3:50.0,,,71-80,,G. Neal enters the game for M. Kidd-Gilchrist
3:50.0,,,71-80,,C. Zeller misses free throw 2 of 2
3:48.0,Defensive rebound by M. Morris,,71-80,,
3:29.0,G. Dragic misses 2-pt shot from 6 ft,,71-80,,
3:28.0,,,71-80,,Defensive rebound by C. Zeller
3:10.0,Violation by A. Len (def goaltending),,71-80,,
3:10.0,,,71-82,2,K. Walker makes 2-pt shot from 1 ft
2:56.0,I. Thomas makes 3-pt shot from 25 ft (assist by A. Len),3,74-82,,
2:39.0,,,74-84,2,A. Jefferson makes 2-pt shot from 1 ft
2:19.0,M. Morris makes 2-pt shot from 9 ft (assist by G. Dragic),2,76-84,,
2:05.0,,,76-84,,A. Jefferson misses 2-pt shot from 6 ft
2:03.0,Defensive rebound by G. Green,,76-84,,
1:57.0,I. Thomas makes 2-pt shot from 15 ft,2,78-84,,
1:57.0,,,78-84,,Charlotte full timeout
1:57.0,Phoenix full timeout,,78-84,,
1:57.0,,,78-84,,M. Williams enters the game for C. Zeller
1:57.0,,,78-84,,B. Biyombo enters the game for A. Jefferson
1:57.0,M. Plumlee enters the game for A. Len,,78-84,,
1:41.0,,,78-86,2,K. Walker makes 2-pt shot from 17 ft
1:21.0,I. Thomas misses 2-pt shot from 5 ft,,78-86,,
1:21.0,Offensive rebound by Team,,78-86,,
1:21.0,E. Bledsoe enters the game for G. Dragic,,78-86,,
1:07.0,M. Plumlee misses 2-pt shot from 1 ft,,78-86,,
1:06.0,,,78-86,,Defensive rebound by G. Neal
0:55.0,,,78-86,,Shooting foul by I. Thomas (drawn by K. Walker)
0:55.0,,,78-87,1,K. Walker makes free throw 1 of 2
0:55.0,,,78-87,,K. Walker misses free throw 2 of 2
0:54.0,Defensive rebound by M. Plumlee,,78-87,,
0:45.0,,,78-87,,Personal foul by G. Henderson (drawn by G. Green)
0:37.0,G. Green makes 2-pt shot from 16 ft,2,80-87,,
0:25.0,,,80-87,,G. Neal misses 2-pt shot from 5 ft
0:23.0,Defensive rebound by G. Green,,80-87,,
0:04.0,G. Green makes 3-pt shot from 24 ft (assist by I. Thomas),3,83-87,,
0:02.0,,,83-87,,G. Neal misses 2-pt shot from 2 ft (block by M. Plumlee)
0:02.0,,,83-87,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:39.0,I. Thomas makes 2-pt shot from 17 ft,2,85-87,,
11:28.0,,,85-87,,M. Williams misses 3-pt shot from 25 ft
11:26.0,,,85-87,,Offensive rebound by B. Biyombo
11:25.0,,,85-90,3,B. Roberts makes 3-pt shot from 26 ft (assist by B. Biyombo)
11:10.0,Turnover by I. Thomas (lost ball; steal by B. Biyombo),,85-90,,
11:03.0,,,85-92,2,G. Neal makes 2-pt shot from 14 ft
10:41.0,G. Green misses 2-pt shot from 14 ft,,85-92,,
10:39.0,Offensive rebound by M. Plumlee,,85-92,,
10:36.0,M. Morris makes 2-pt shot from 1 ft (assist by M. Plumlee),2,87-92,,
10:19.0,,,87-92,,G. Neal misses 2-pt shot from 19 ft
10:18.0,Defensive rebound by I. Thomas,,87-92,,
10:11.0,,,87-92,,Personal foul by G. Neal (drawn by M. Plumlee)
9:58.0,E. Bledsoe makes 3-pt shot from 25 ft (assist by I. Thomas),3,90-92,,
9:46.0,,,90-92,,B. Roberts misses 3-pt shot from 28 ft
9:45.0,Defensive rebound by G. Green,,90-92,,
9:39.0,G. Green misses 2-pt shot from 21 ft,,90-92,,
9:36.0,,,90-92,,Defensive rebound by B. Biyombo
9:20.0,,,90-94,2,G. Henderson makes 2-pt shot from 11 ft
9:07.0,E. Bledsoe misses 2-pt shot from 1 ft,,90-94,,
9:05.0,Offensive rebound by M. Plumlee,,90-94,,
9:01.0,I. Thomas makes 3-pt shot from 25 ft (assist by M. Plumlee),3,93-94,,
8:51.0,Official timeout,,93-94,,
8:51.0,,,93-94,,A. Jefferson enters the game for B. Roberts
8:51.0,,,93-94,,K. Walker enters the game for B. Biyombo
8:33.0,,,93-97,3,K. Walker makes 3-pt shot from 25 ft
8:16.0,G. Green makes 3-pt shot from 25 ft (assist by M. Morris),3,96-97,,
7:57.0,,,96-99,2,G. Henderson makes 2-pt shot from 15 ft
7:39.0,I. Thomas misses 3-pt shot from 25 ft,,96-99,,
7:38.0,,,96-99,,Defensive rebound by G. Neal
7:19.0,,,96-99,,G. Neal misses 3-pt shot from 25 ft
7:17.0,Defensive rebound by I. Thomas,,96-99,,
7:10.0,G. Green misses 3-pt shot from 25 ft,,96-99,,
7:09.0,,,96-99,,Defensive rebound by A. Jefferson
6:56.0,,,96-99,,G. Neal misses 2-pt shot from 6 ft
6:55.0,Defensive rebound by M. Plumlee,,96-99,,
6:50.0,E. Bledsoe misses 2-pt shot from 3 ft (block by A. Jefferson),,96-99,,
6:50.0,Offensive rebound by Team,,96-99,,
6:50.0,,,96-99,,L. Stephenson enters the game for G. Neal
6:50.0,G. Dragic enters the game for G. Green,,96-99,,
6:38.0,M. Morris makes 2-pt shot from 17 ft,2,98-99,,
6:17.0,,,98-102,3,K. Walker makes 3-pt shot from 25 ft (assist by A. Jefferson)
6:01.0,Turnover by E. Bledsoe (lost ball; steal by A. Jefferson),,98-102,,
5:55.0,,,98-102,,M. Williams misses 3-pt shot from 25 ft
5:52.0,Defensive rebound by M. Plumlee,,98-102,,
5:50.0,Shooting foul by A. Jefferson (drawn by I. Thomas),,98-102,,
5:50.0,,,98-102,,Charlotte full timeout
5:50.0,,,98-102,,M. Kidd-Gilchrist enters the game for G. Henderson
5:50.0,I. Thomas misses free throw 1 of 2,,98-102,,
5:50.0,Offensive rebound by Team,,98-102,,
5:50.0,I. Thomas makes free throw 2 of 2,1,99-102,,
5:26.0,,,99-102,,Turnover by Team (shot clock)
5:14.0,Turnover by E. Bledsoe (bad pass),,99-102,,
5:00.0,,,99-102,,Turnover by A. Jefferson (lost ball; steal by M. Plumlee)
4:57.0,Shooting foul by K. Walker (drawn by I. Thomas),,99-102,,
4:57.0,I. Thomas misses free throw 1 of 2,,99-102,,
4:57.0,Offensive rebound by Team,,99-102,,
4:57.0,I. Thomas misses free throw 2 of 2,,99-102,,
4:56.0,,,99-102,,Defensive rebound by L. Stephenson
4:39.0,,,99-102,,Turnover by M. Williams (offensive goaltending)
4:27.0,Turnover by G. Dragic (lost ball; steal by A. Jefferson),,99-102,,
4:01.0,,,99-102,,K. Walker misses 2-pt shot from 12 ft
4:00.0,Defensive rebound by M. Morris,,99-102,,
3:49.0,E. Bledsoe misses 3-pt shot from 23 ft,,99-102,,
3:48.0,,,99-102,,Defensive rebound by A. Jefferson
3:29.0,,,99-102,,K. Walker misses 3-pt shot from 25 ft
3:29.0,,,99-102,,Offensive rebound by Team
3:29.0,Loose ball foul by I. Thomas (drawn by M. Williams),,99-102,,
3:29.0,,,99-102,,G. Neal enters the game for L. Stephenson
3:19.0,,,99-102,,A. Jefferson misses 2-pt shot from 10 ft
3:18.0,Defensive rebound by M. Morris,,99-102,,
3:08.0,I. Thomas makes 2-pt shot from 1 ft (assist by G. Dragic),2,101-102,,
2:46.0,,,101-104,2,A. Jefferson makes 2-pt shot from 8 ft (assist by K. Walker)
2:42.0,Phoenix full timeout,,101-104,,
2:41.0,,,101-104,,Violation by Team (delay of game)
2:30.0,Shooting foul by G. Neal (drawn by G. Dragic),,101-104,,
2:30.0,G. Dragic makes free throw 1 of 2,1,102-104,,
2:30.0,G. Dragic makes free throw 2 of 2,1,103-104,,
2:06.0,,,103-104,,K. Walker misses 2-pt shot from 19 ft
2:03.0,,,103-104,,Offensive rebound by M. Kidd-Gilchrist
1:48.0,,,103-104,,Turnover by G. Neal (bad pass; steal by G. Dragic)
1:44.0,E. Bledsoe makes 2-pt shot from 2 ft (assist by G. Dragic),2,105-104,,
1:33.0,,,105-104,,Charlotte full timeout
1:33.0,,,105-104,,G. Henderson enters the game for M. Kidd-Gilchrist
1:25.0,,,105-104,,K. Walker misses 2-pt shot from 16 ft
1:24.0,Defensive rebound by M. Plumlee,,105-104,,
1:12.0,I. Thomas makes 2-pt shot from 16 ft,2,107-104,,
0:51.0,,,107-106,2,A. Jefferson makes 2-pt shot from 9 ft
0:34.0,G. Dragic misses 3-pt shot from 23 ft,,107-106,,
0:33.0,,,107-106,,Defensive rebound by A. Jefferson
0:23.0,,,107-106,,K. Walker misses 2-pt shot from 1 ft
0:22.0,Defensive rebound by M. Morris,,107-106,,
0:20.0,,,107-106,,Personal take foul by K. Walker (drawn by I. Thomas)
0:20.0,I. Thomas makes free throw 1 of 2,1,108-106,,
0:20.0,P. Tucker enters the game for M. Plumlee,,108-106,,
0:20.0,I. Thomas makes free throw 2 of 2,1,109-106,,
0:11.0,,,109-106,,K. Walker misses 3-pt shot from 26 ft (block by P. Tucker)
0:09.0,,,109-106,,Offensive rebound by K. Walker
0:06.0,,,109-106,,G. Neal misses 3-pt shot from 25 ft
0:06.0,Defensive rebound by P. Tucker,,109-106,,
0:06.0,,,109-106,,Personal take foul by K. Walker (drawn by P. Tucker)
