time,Boston,pts.away,score,pts.home,LA Lakers
0:01.0,Turnover by I. Thomas (step out of bounds),,32-26,,
0:01.0,M. Smart enters the game for I. Thomas,,32-26,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:41.0,,,32-26,,J. Hill misses 2-pt shot from 8 ft
11:38.0,Defensive rebound by I. Thomas,,32-26,,
11:18.0,M. Smart misses 3-pt shot from 25 ft,,32-26,,
11:17.0,,,32-26,,Defensive rebound by J. Hill
11:05.0,Personal foul by J. Crowder (drawn by J. Lin),,32-26,,
11:05.0,G. Wallace enters the game for J. Crowder,,32-26,,
10:52.0,,,32-29,3,N. Young makes 3-pt shot from 25 ft
10:25.0,I. Thomas misses 2-pt shot from 2 ft (block by E. Davis),,32-29,,
10:25.0,Offensive rebound by Team,,32-29,,
10:25.0,Turnover by Team (shot clock),,32-29,,
10:11.0,,,32-29,,Turnover by N. Young (lost ball; steal by G. Wallace)
10:05.0,B. Bass makes 2-pt shot from 2 ft (assist by M. Smart),2,34-29,,
9:45.0,,,34-32,3,W. Johnson makes 3-pt shot from 27 ft (assist by J. Hill)
9:28.0,G. Wallace makes 2-pt shot from 4 ft (assist by M. Smart),2,36-32,,
9:19.0,Personal block foul by G. Wallace (drawn by J. Lin),,36-32,,
9:13.0,Personal foul by G. Wallace (drawn by E. Davis),,36-32,,
9:11.0,Personal foul by J. Young (drawn by W. Johnson),,36-32,,
9:08.0,,,36-34,2,J. Lin makes 2-pt shot from 1 ft (assist by W. Johnson)
8:54.0,Shooting foul by J. Lin (drawn by I. Thomas),,36-34,,
8:54.0,Official timeout,,36-34,,
8:54.0,I. Thomas makes free throw 1 of 2,1,37-34,,
8:54.0,I. Thomas makes free throw 2 of 2,1,38-34,,
8:42.0,,,38-34,,N. Young misses 3-pt shot from 25 ft
8:41.0,Defensive rebound by I. Thomas,,38-34,,
8:25.0,J. Young misses 3-pt shot from 25 ft,,38-34,,
8:23.0,,,38-34,,Defensive rebound by E. Davis
8:09.0,,,38-34,,Turnover by J. Hill (traveling)
8:09.0,J. Jerebko enters the game for I. Thomas,,38-34,,
7:52.0,M. Smart misses 3-pt shot from 26 ft,,38-34,,
7:51.0,,,38-34,,Defensive rebound by J. Hill
7:40.0,,,38-34,,J. Hill misses 2-pt shot from 18 ft
7:38.0,Defensive rebound by M. Smart,,38-34,,
7:30.0,,,38-34,,W. Ellington enters the game for W. Johnson
7:26.0,B. Bass makes 2-pt shot from 2 ft (assist by G. Wallace),2,40-34,,
7:14.0,,,40-34,,J. Hill misses 2-pt shot from 19 ft
7:12.0,,,40-34,,Offensive rebound by Team
7:12.0,,,40-34,,C. Boozer enters the game for J. Hill
7:05.0,,,40-36,2,J. Lin makes 2-pt shot from 2 ft
6:49.0,B. Bass makes 2-pt shot from 16 ft (assist by M. Smart),2,42-36,,
6:37.0,,,42-38,2,E. Davis makes 2-pt shot from 3 ft (assist by J. Lin)
6:25.0,Turnover by M. Smart (lost ball; steal by J. Lin),,42-38,,
6:23.0,,,42-38,,Shooting foul by M. Smart (drawn by J. Lin)
6:23.0,,,42-39,1,J. Lin makes free throw 1 of 2
6:23.0,E. Turner enters the game for J. Young,,42-39,,
6:23.0,,,42-40,1,J. Lin makes free throw 2 of 2
6:18.0,Turnover by B. Bass (traveling),,42-40,,
6:18.0,,,42-40,,R. Kelly enters the game for N. Young
6:10.0,Shooting block foul by J. Jerebko (drawn by J. Lin),,42-40,,
6:10.0,,,42-42,2,J. Lin makes 2-pt shot from 2 ft
6:10.0,,,42-43,1,J. Lin makes free throw 1 of 1
5:55.0,M. Smart misses 3-pt shot from 26 ft,,42-43,,
5:53.0,,,42-43,,Defensive rebound by E. Davis
5:46.0,Personal foul by M. Smart (drawn by J. Lin),,42-43,,
5:46.0,,,42-43,,LA Lakers full timeout
5:46.0,I. Thomas enters the game for B. Bass,,42-43,,
5:46.0,T. Zeller enters the game for M. Smart,,42-43,,
5:46.0,A. Bradley enters the game for G. Wallace,,42-43,,
5:46.0,,,42-43,,T. Black enters the game for E. Davis
5:46.0,,,42-44,1,J. Lin makes free throw 1 of 2
5:46.0,,,42-44,,J. Lin misses free throw 2 of 2
5:45.0,Defensive rebound by T. Zeller,,42-44,,
5:26.0,I. Thomas misses 3-pt shot from 25 ft,,42-44,,
5:25.0,,,42-44,,Defensive rebound by Team
5:12.0,,,42-44,,Shooting foul by T. Zeller (drawn by C. Boozer)
5:12.0,,,42-44,,C. Boozer misses free throw 1 of 2
5:12.0,,,42-44,,Offensive rebound by Team
5:12.0,,,42-44,,C. Boozer misses free throw 2 of 2
5:08.0,,,42-44,,Offensive rebound by T. Black
5:08.0,,,42-44,,T. Black misses 2-pt shot from 2 ft
5:05.0,Defensive rebound by E. Turner,,42-44,,
4:59.0,J. Jerebko misses 3-pt shot from 26 ft,,42-44,,
4:58.0,,,42-44,,Defensive rebound by W. Ellington
4:49.0,,,42-46,2,W. Ellington makes 2-pt shot from 13 ft
4:36.0,E. Turner misses 3-pt shot from 26 ft,,42-46,,
4:35.0,Offensive rebound by J. Jerebko,,42-46,,
4:34.0,J. Jerebko misses 2-pt shot from 3 ft,,42-46,,
4:32.0,,,42-46,,Defensive rebound by C. Boozer
4:24.0,,,42-46,,W. Ellington misses 2-pt shot from 10 ft
4:21.0,Defensive rebound by A. Bradley,,42-46,,
4:12.0,E. Turner misses 2-pt shot from 13 ft,,42-46,,
4:11.0,,,42-46,,Defensive rebound by T. Black
4:04.0,,,42-48,2,J. Lin makes 2-pt shot from 11 ft
3:54.0,,,42-48,,Personal foul by J. Lin (drawn by I. Thomas)
3:49.0,Shooting foul by T. Black (drawn by I. Thomas),,42-48,,
3:49.0,I. Thomas makes free throw 1 of 2,1,43-48,,
3:49.0,B. Bass enters the game for J. Jerebko,,43-48,,
3:49.0,J. Crowder enters the game for T. Zeller,,43-48,,
3:49.0,I. Thomas makes free throw 2 of 2,1,44-48,,
3:41.0,,,44-48,,Turnover by J. Lin (bad pass; steal by I. Thomas)
3:41.0,,,44-48,,Loose ball foul by C. Boozer (drawn by I. Thomas)
3:33.0,Shooting foul by C. Boozer (drawn by J. Crowder),,44-48,,
3:33.0,J. Crowder makes free throw 1 of 2,1,45-48,,
3:33.0,J. Crowder makes free throw 2 of 2,1,46-48,,
3:21.0,,,46-48,,Offensive foul by T. Black
3:21.0,,,46-48,,Turnover by T. Black (offensive foul)
3:04.0,E. Turner makes 2-pt shot from 15 ft,2,48-48,,
2:47.0,,,48-48,,C. Boozer misses 2-pt shot from 5 ft
2:42.0,Defensive rebound by I. Thomas,,48-48,,
2:40.0,E. Turner misses 2-pt shot from 2 ft,,48-48,,
2:35.0,,,48-48,,Defensive rebound by T. Black
2:27.0,,,48-50,2,R. Kelly makes 2-pt shot from 6 ft
2:07.0,E. Turner makes 2-pt shot from 5 ft,2,50-50,,
2:07.0,Shooting foul by T. Black (drawn by E. Turner),,50-50,,
2:07.0,Boston full timeout,,50-50,,
2:07.0,,,50-50,,E. Davis enters the game for T. Black
2:07.0,E. Turner misses free throw 1 of 1,,50-50,,
2:02.0,,,50-50,,Defensive rebound by C. Boozer
1:53.0,,,50-50,,Turnover by C. Boozer (bad pass; steal by E. Turner)
1:43.0,J. Crowder makes 3-pt shot from 24 ft (assist by B. Bass),3,53-50,,
1:29.0,,,53-50,,Shooting foul by E. Turner (drawn by R. Kelly)
1:29.0,,,53-51,1,R. Kelly makes free throw 1 of 2
1:29.0,,,53-52,1,R. Kelly makes free throw 2 of 2
1:10.0,I. Thomas misses 3-pt shot from 27 ft,,53-52,,
1:09.0,,,53-52,,Defensive rebound by E. Davis
1:00.0,,,53-52,,Turnover by W. Ellington (bad pass; steal by I. Thomas)
0:58.0,A. Bradley makes 2-pt shot from 2 ft,2,55-52,,
0:42.0,,,55-54,2,C. Boozer makes 2-pt shot from 2 ft (assist by E. Davis)
0:37.0,Shooting foul by E. Davis (drawn by I. Thomas),,55-54,,
0:37.0,I. Thomas makes 2-pt shot from 1 ft,2,57-54,,
0:37.0,I. Thomas makes free throw 1 of 1,1,58-54,,
0:32.0,,,58-54,,J. Lin misses 3-pt shot from 25 ft
0:31.0,,,58-54,,Offensive rebound by C. Boozer
0:31.0,,,58-56,2,C. Boozer makes 2-pt shot from 3 ft
0:31.0,,,58-56,,Shooting foul by J. Crowder (drawn by C. Boozer)
0:31.0,,,58-56,,C. Boozer misses free throw 1 of 1
0:24.0,Defensive rebound by J. Crowder,,58-56,,
0:11.0,A. Bradley misses 3-pt shot from 26 ft,,58-56,,
0:08.0,,,58-56,,Defensive rebound by R. Kelly
0:01.0,,,58-56,,R. Kelly misses 3-pt shot from 27 ft
0:00.0,,,58-56,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:44.0,,,58-56,,W. Ellington misses 2-pt shot from 18 ft
11:43.0,Defensive rebound by Team,,58-56,,
11:29.0,,,58-56,,Def 3 sec tech foul by C. Boozer
11:29.0,A. Bradley misses technical free throw,,58-56,,
11:29.0,Offensive rebound by Team,,58-56,,
11:24.0,A. Bradley misses 2-pt shot from 15 ft,,58-56,,
11:22.0,,,58-56,,Defensive rebound by J. Clarkson
11:12.0,,,58-56,,R. Kelly misses 3-pt shot from 24 ft
11:11.0,Defensive rebound by A. Bradley,,58-56,,
10:59.0,,,58-56,,Personal foul by C. Boozer (drawn by T. Zeller)
10:51.0,Shooting foul by R. Kelly (drawn by E. Turner),,58-56,,
10:51.0,E. Turner makes free throw 1 of 2,1,59-56,,
10:51.0,E. Turner makes free throw 2 of 2,1,60-56,,
10:34.0,,,60-56,,R. Sacre misses 2-pt shot from 18 ft
10:33.0,Defensive rebound by A. Bradley,,60-56,,
10:20.0,E. Turner misses 2-pt shot from 13 ft,,60-56,,
10:19.0,,,60-56,,Defensive rebound by J. Clarkson
10:10.0,,,60-58,2,C. Boozer makes 2-pt shot from 14 ft (assist by J. Clarkson)
9:41.0,A. Bradley misses 3-pt shot from 25 ft,,60-58,,
9:39.0,,,60-58,,Defensive rebound by R. Sacre
9:33.0,,,60-58,,Offensive foul by C. Boozer
9:33.0,,,60-58,,Turnover by C. Boozer (offensive foul)
9:24.0,A. Bradley misses 2-pt shot from 18 ft,,60-58,,
9:24.0,,,60-58,,Defensive rebound by Team
9:08.0,,,60-58,,W. Ellington misses 2-pt shot from 1 ft (block by B. Bass)
9:08.0,,,60-58,,Offensive rebound by Team
9:08.0,,,60-58,,J. Hill enters the game for C. Boozer
9:00.0,,,60-60,2,J. Clarkson makes 2-pt shot from 14 ft (assist by R. Sacre)
8:43.0,E. Turner misses 2-pt shot from 7 ft,,60-60,,
8:41.0,,,60-60,,Defensive rebound by R. Kelly
8:34.0,,,60-60,,J. Clarkson misses 2-pt shot from 21 ft
8:30.0,Defensive rebound by E. Turner,,60-60,,
8:21.0,B. Bass misses 2-pt shot from 13 ft,,60-60,,
8:19.0,,,60-60,,Defensive rebound by J. Clarkson
8:04.0,,,60-60,,Turnover by J. Hill (lost ball; steal by E. Turner)
7:58.0,M. Smart makes 2-pt shot from 2 ft (assist by E. Turner),2,62-60,,
7:43.0,,,62-62,2,J. Clarkson makes 2-pt shot at rim
7:29.0,B. Bass makes 2-pt shot from 2 ft (assist by E. Turner),2,64-62,,
7:12.0,,,64-62,,Offensive foul by J. Clarkson
7:12.0,,,64-62,,Turnover by J. Clarkson (offensive foul)
7:12.0,,,64-62,,E. Davis enters the game for R. Sacre
7:01.0,,,64-62,,Personal foul by J. Clarkson (drawn by M. Smart)
6:54.0,A. Bradley makes 2-pt shot from 20 ft (assist by T. Zeller),2,66-62,,
6:25.0,,,66-62,,J. Clarkson misses 2-pt shot from 20 ft
6:24.0,Defensive rebound by E. Turner,,66-62,,
6:18.0,E. Turner misses 2-pt shot from 16 ft,,66-62,,
6:17.0,,,66-62,,Defensive rebound by J. Hill
6:02.0,,,66-64,2,J. Hill makes 2-pt shot from 19 ft
5:46.0,M. Smart misses 2-pt shot from 4 ft (block by E. Davis),,66-64,,
5:44.0,Offensive rebound by A. Bradley,,66-64,,
5:39.0,T. Zeller misses 2-pt shot from 12 ft,,66-64,,
5:39.0,Offensive rebound by M. Smart,,66-64,,
5:39.0,M. Smart makes 2-pt shot from 3 ft,2,68-64,,
5:39.0,Shooting foul by W. Ellington (drawn by M. Smart),,68-64,,
5:39.0,,,68-64,,LA Lakers full timeout
5:39.0,,,68-64,,W. Johnson enters the game for R. Kelly
5:39.0,I. Thomas enters the game for E. Turner,,68-64,,
5:39.0,M. Smart makes free throw 1 of 1,1,69-64,,
5:29.0,,,69-64,,Shooting foul by I. Thomas (drawn by E. Davis)
5:29.0,,,69-64,,E. Davis misses free throw 1 of 2
5:29.0,,,69-64,,Offensive rebound by Team
5:29.0,,,69-64,,E. Davis misses free throw 2 of 2
5:28.0,Defensive rebound by B. Bass,,69-64,,
5:12.0,B. Bass misses 2-pt shot from 16 ft,,69-64,,
5:11.0,,,69-64,,Defensive rebound by E. Davis
4:55.0,,,69-64,,Shooting foul by A. Bradley (drawn by W. Johnson)
4:55.0,,,69-65,1,W. Johnson makes free throw 1 of 2
4:55.0,,,69-66,1,W. Johnson makes free throw 2 of 2
4:40.0,B. Bass misses 3-pt shot from 23 ft,,69-66,,
4:38.0,,,69-66,,Defensive rebound by J. Hill
4:28.0,,,69-66,,J. Clarkson misses 3-pt shot from 25 ft
4:26.0,Defensive rebound by T. Zeller,,69-66,,
4:18.0,M. Smart makes 2-pt shot at rim (assist by I. Thomas),2,71-66,,
4:01.0,,,71-66,,J. Hill misses 2-pt shot from 19 ft
4:00.0,Defensive rebound by B. Bass,,71-66,,
3:42.0,I. Thomas misses 2-pt shot from 2 ft (block by J. Hill),,71-66,,
3:40.0,Offensive rebound by T. Zeller,,71-66,,
3:38.0,T. Zeller misses 2-pt shot from 6 ft,,71-66,,
3:33.0,,,71-66,,Defensive rebound by J. Clarkson
3:25.0,,,71-66,,W. Johnson misses 3-pt shot from 26 ft
3:24.0,Defensive rebound by I. Thomas,,71-66,,
3:21.0,Turnover by I. Thomas (bad pass; steal by W. Johnson),,71-66,,
3:04.0,,,71-66,,Shooting foul by B. Bass (drawn by E. Davis)
3:04.0,,,71-66,,E. Davis misses free throw 1 of 2
3:04.0,,,71-66,,Offensive rebound by Team
3:04.0,,,71-66,,R. Price enters the game for J. Clarkson
3:04.0,J. Young enters the game for M. Smart,,71-66,,
3:04.0,J. Crowder enters the game for B. Bass,,71-66,,
3:04.0,,,71-67,1,E. Davis makes free throw 2 of 2
2:59.0,Boston full timeout,,71-67,,
2:48.0,T. Zeller makes 2-pt shot from 9 ft (assist by A. Bradley),2,73-67,,
2:24.0,,,73-69,2,W. Johnson makes 2-pt shot from 17 ft (assist by R. Price)
2:04.0,Turnover by T. Zeller (bad pass; steal by W. Johnson),,73-69,,
2:00.0,,,73-71,2,W. Johnson makes 2-pt shot at rim
1:42.0,J. Crowder misses 3-pt shot from 24 ft,,73-71,,
1:40.0,,,73-71,,Defensive rebound by R. Price
1:33.0,,,73-73,2,J. Hill makes 2-pt shot from 17 ft (assist by W. Ellington)
1:23.0,Turnover by I. Thomas (lost ball; steal by R. Price),,73-73,,
1:19.0,,,73-73,,E. Davis misses 2-pt shot from 2 ft
1:16.0,,,73-73,,Offensive rebound by R. Price
1:16.0,,,73-73,,Offensive foul by J. Hill
1:16.0,,,73-73,,Turnover by J. Hill (offensive foul)
1:16.0,,,73-73,,J. Lin enters the game for W. Ellington
1:03.0,I. Thomas makes 3-pt shot from 25 ft (assist by J. Young),3,76-73,,
0:44.0,,,76-73,,J. Hill misses 2-pt shot from 17 ft
0:41.0,Defensive rebound by J. Young,,76-73,,
0:33.0,I. Thomas misses 2-pt shot from 2 ft,,76-73,,
0:32.0,Offensive rebound by J. Young,,76-73,,
0:29.0,Turnover by J. Young (bad pass; steal by R. Price),,76-73,,
0:23.0,,,76-73,,Turnover by W. Johnson (lost ball; steal by A. Bradley)
0:21.0,J. Crowder makes 2-pt shot from 2 ft (assist by A. Bradley),2,78-73,,
0:01.0,,,78-73,,Shooting foul by T. Zeller (drawn by J. Hill)
0:01.0,,,78-73,,J. Hill misses free throw 1 of 2
0:01.0,,,78-73,,Offensive rebound by Team
0:01.0,B. Bass enters the game for T. Zeller,,78-73,,
0:01.0,,,78-73,,J. Hill misses free throw 2 of 2
0:01.0,Defensive rebound by J. Crowder,,78-73,,
0:00.0,J. Crowder misses 3-pt shot from 71 ft,,78-73,,
0:00.0,Offensive rebound by Team,,78-73,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:46.0,,,78-73,,Personal foul by R. Price (drawn by I. Thomas)
11:34.0,I. Thomas misses 3-pt shot from 25 ft,,78-73,,
11:33.0,,,78-73,,Defensive rebound by W. Johnson
11:21.0,Personal foul by M. Smart (drawn by E. Davis),,78-73,,
11:12.0,,,78-76,3,W. Johnson makes 3-pt shot from 25 ft (assist by R. Price)
11:01.0,Offensive foul by M. Smart,,78-76,,
11:01.0,Turnover by M. Smart (offensive foul),,78-76,,
10:49.0,,,78-76,,N. Young misses 2-pt shot from 14 ft
10:48.0,Defensive rebound by G. Wallace,,78-76,,
10:41.0,Shooting foul by J. Lin (drawn by M. Smart),,78-76,,
10:41.0,M. Smart makes free throw 1 of 2,1,79-76,,
10:41.0,M. Smart makes free throw 2 of 2,1,80-76,,
10:18.0,,,80-78,2,E. Davis makes 2-pt shot from 2 ft (assist by J. Lin)
10:10.0,B. Bass makes 2-pt shot at rim (assist by I. Thomas),2,82-78,,
9:55.0,,,82-81,3,N. Young makes 3-pt shot from 27 ft
9:39.0,M. Smart misses 3-pt shot from 26 ft,,82-81,,
9:38.0,,,82-81,,Defensive rebound by R. Price
9:31.0,,,82-81,,N. Young misses 3-pt shot from 26 ft
9:29.0,Defensive rebound by M. Smart,,82-81,,
9:20.0,J. Crowder makes 2-pt shot from 21 ft (assist by I. Thomas),2,84-81,,
9:02.0,,,84-81,,W. Johnson misses 2-pt shot from 16 ft
9:00.0,,,84-81,,Offensive rebound by E. Davis
8:57.0,,,84-81,,Shooting foul by B. Bass (drawn by N. Young)
8:57.0,Official timeout,,84-81,,
8:57.0,E. Turner enters the game for I. Thomas,,84-81,,
8:57.0,,,84-82,1,N. Young makes free throw 1 of 2
8:57.0,,,84-83,1,N. Young makes free throw 2 of 2
8:33.0,Turnover by Team (shot clock),,84-83,,
8:14.0,,,84-85,2,W. Johnson makes 2-pt shot from 19 ft
8:03.0,,,84-85,,Personal foul by R. Price (drawn by E. Turner)
8:03.0,T. Zeller enters the game for G. Wallace,,84-85,,
7:52.0,J. Crowder misses 2-pt shot from 19 ft,,84-85,,
7:51.0,Offensive rebound by T. Zeller,,84-85,,
7:43.0,Offensive foul by M. Smart,,84-85,,
7:43.0,Turnover by M. Smart (offensive foul),,84-85,,
7:43.0,A. Bradley enters the game for M. Smart,,84-85,,
7:20.0,,,84-85,,J. Lin misses 2-pt shot from 12 ft
7:19.0,Defensive rebound by J. Crowder,,84-85,,
7:06.0,Turnover by E. Turner (lost ball; steal by R. Price),,84-85,,
7:06.0,Jump ball: R. Price vs. E. Turner (J. Lin gains possession),,,,Jump ball: R. Price vs. E. Turner (J. Lin gains possession)
6:46.0,,,84-85,,R. Price misses 2-pt shot from 22 ft
6:44.0,Defensive rebound by A. Bradley,,84-85,,
6:30.0,A. Bradley misses 3-pt shot from 25 ft,,84-85,,
6:29.0,Offensive rebound by T. Zeller,,84-85,,
6:26.0,Turnover by T. Zeller (lost ball; steal by R. Price),,84-85,,
6:26.0,,,84-85,,LA Lakers full timeout
6:26.0,,,84-85,,C. Boozer enters the game for E. Davis
6:26.0,I. Thomas enters the game for E. Turner,,84-85,,
6:21.0,Personal foul by A. Bradley (drawn by J. Lin),,84-85,,
6:08.0,,,84-85,,R. Price misses 3-pt shot from 22 ft
6:08.0,,,84-85,,Offensive rebound by Team
6:08.0,Loose ball foul by A. Bradley (drawn by J. Lin),,84-85,,
5:51.0,,,84-88,3,J. Lin makes 3-pt shot from 26 ft (assist by N. Young)
5:29.0,I. Thomas makes 3-pt shot from 25 ft,3,87-88,,
5:12.0,,,87-91,3,N. Young makes 3-pt shot from 28 ft (assist by R. Price)
5:03.0,Offensive foul by I. Thomas,,87-91,,
5:03.0,Turnover by I. Thomas (offensive foul),,87-91,,
5:03.0,Technical foul by I. Thomas,,87-91,,
5:03.0,Technical foul by I. Thomas,,87-91,,
5:03.0,M. Smart enters the game for I. Thomas,,87-91,,
5:03.0,,,87-91,,N. Young misses technical free throw
5:03.0,,,87-91,,Offensive rebound by Team
