time,Miami,pts.away,score,pts.home,Memphis
7:33.0,,,32-40,2,C. Lee makes 2-pt shot at rim
7:06.0,D. Wade misses 2-pt shot from 20 ft,,32-40,,
7:05.0,,,32-40,,Defensive rebound by J. Leuer
6:44.0,,,32-42,2,B. Udrih makes 2-pt shot from 11 ft
6:43.0,Miami full timeout,,32-42,,
6:43.0,J. McRoberts enters the game for U. Haslem,,32-42,,
6:43.0,N. Cole enters the game for S. Napier,,32-42,,
6:43.0,C. Bosh enters the game for S. Williams,,32-42,,
6:29.0,Shooting foul by J. Leuer (drawn by D. Wade),,32-42,,
6:29.0,D. Wade makes free throw 1 of 2,1,33-42,,
6:29.0,D. Wade misses free throw 2 of 2,,33-42,,
6:28.0,,,33-42,,Defensive rebound by Q. Pondexter
6:05.0,,,33-42,,Turnover by Team (shot clock)
5:48.0,D. Wade makes 2-pt shot from 17 ft,2,35-42,,
5:31.0,,,35-42,,Q. Pondexter misses 3-pt shot from 25 ft
5:30.0,Defensive rebound by Team,,35-42,,
5:30.0,,,35-42,,M. Conley enters the game for B. Udrih
5:08.0,C. Bosh makes 2-pt shot from 12 ft (assist by J. McRoberts),2,37-42,,
4:53.0,,,37-42,,Q. Pondexter misses 3-pt shot from 23 ft
4:52.0,Defensive rebound by C. Bosh,,37-42,,
4:46.0,J. Ennis makes 3-pt shot from 26 ft (assist by N. Cole),3,40-42,,
4:38.0,,,40-42,,Memphis full timeout
4:38.0,,,40-42,,Z. Randolph enters the game for J. Leuer
4:38.0,,,40-42,,T. Prince enters the game for Q. Pondexter
4:38.0,M. Chalmers enters the game for D. Wade,,40-42,,
4:19.0,,,40-44,2,M. Conley makes 2-pt shot from 9 ft
4:05.0,M. Chalmers makes 2-pt shot from 1 ft,2,42-44,,
3:46.0,,,42-46,2,Z. Randolph makes 2-pt shot at rim
3:22.0,C. Bosh makes 2-pt shot from 11 ft,2,44-46,,
3:02.0,,,44-46,,Z. Randolph misses 2-pt shot from 20 ft
3:01.0,Defensive rebound by M. Chalmers,,44-46,,
2:52.0,N. Cole misses 2-pt shot at rim (block by K. Koufos),,44-46,,
2:50.0,,,44-46,,Defensive rebound by Z. Randolph
2:44.0,,,44-48,2,C. Lee makes 2-pt shot from 17 ft
2:14.0,N. Cole misses 3-pt shot from 29 ft,,44-48,,
2:13.0,,,44-48,,Defensive rebound by K. Koufos
2:03.0,,,44-50,2,Z. Randolph makes 2-pt shot at rim (assist by M. Conley)
2:02.0,Miami full timeout,,44-50,,
2:02.0,,,44-50,,T. Allen enters the game for C. Lee
2:02.0,,,44-50,,M. Gasol enters the game for K. Koufos
2:02.0,D. Wade enters the game for J. Ennis,,44-50,,
1:46.0,D. Wade makes 2-pt shot from 1 ft (assist by J. McRoberts),2,46-50,,
1:23.0,,,46-50,,Turnover by M. Conley (bad pass; steal by D. Wade)
1:21.0,Turnover by D. Wade (bad pass; steal by Z. Randolph),,46-50,,
1:13.0,,,46-52,2,T. Allen makes 2-pt shot at rim (assist by Z. Randolph)
1:03.0,,,46-52,,Personal foul by T. Allen (drawn by D. Wade)
0:53.0,Turnover by C. Bosh (bad pass),,46-52,,
0:39.0,,,46-54,2,Z. Randolph makes 2-pt shot from 2 ft (assist by M. Gasol)
0:39.0,,,46-54,,Shooting foul by J. McRoberts (drawn by Z. Randolph)
0:39.0,,,46-55,1,Z. Randolph makes free throw 1 of 1
0:22.0,D. Wade makes 2-pt shot at rim (assist by C. Bosh),2,48-55,,
0:14.0,,,48-55,,Memphis full timeout
0:14.0,U. Haslem enters the game for J. McRoberts,,48-55,,
0:14.0,,,48-55,,C. Lee enters the game for T. Allen
0:02.0,,,48-55,,C. Lee misses 2-pt shot from 14 ft
0:01.0,Defensive rebound by D. Wade,,48-55,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:43.0,,,48-57,2,M. Gasol makes 2-pt shot from 10 ft (assist by Z. Randolph)
11:18.0,J. McRoberts misses 3-pt shot from 25 ft,,48-57,,
11:17.0,Offensive rebound by L. Deng,,48-57,,
11:07.0,C. Bosh misses 2-pt shot from 17 ft,,48-57,,
11:06.0,,,48-57,,Defensive rebound by Z. Randolph
10:51.0,,,48-57,,M. Gasol misses 2-pt shot from 18 ft
10:50.0,Defensive rebound by J. McRoberts,,48-57,,
10:38.0,L. Deng misses 2-pt shot from 1 ft,,48-57,,
10:37.0,,,48-57,,Defensive rebound by M. Gasol
10:20.0,,,48-57,,Z. Randolph misses 2-pt shot from 1 ft (block by C. Bosh)
10:20.0,,,48-57,,Offensive rebound by Team
10:18.0,,,48-59,2,C. Lee makes 2-pt shot from 12 ft (assist by T. Allen)
9:53.0,L. Deng misses 2-pt shot from 6 ft,,48-59,,
9:52.0,Offensive rebound by L. Deng,,48-59,,
9:51.0,L. Deng misses 2-pt shot from 1 ft,,48-59,,
9:49.0,,,48-59,,Defensive rebound by Z. Randolph
9:36.0,,,48-59,,Turnover by M. Gasol (bad pass; steal by N. Cole)
9:30.0,N. Cole makes 2-pt shot from 1 ft,2,50-59,,
9:11.0,Personal foul by J. McRoberts (drawn by Z. Randolph),,50-59,,
9:04.0,,,50-61,2,M. Conley makes 2-pt shot from 21 ft
8:40.0,C. Bosh misses 3-pt shot from 23 ft,,50-61,,
8:39.0,Offensive rebound by J. McRoberts,,50-61,,
8:30.0,L. Deng makes 2-pt shot at rim (assist by D. Wade),2,52-61,,
8:30.0,,,52-61,,Memphis full timeout
8:13.0,,,52-64,3,C. Lee makes 3-pt shot from 23 ft (assist by M. Gasol)
7:59.0,,,52-64,,Violation by M. Conley (kicked ball)
7:52.0,D. Wade makes 2-pt shot from 6 ft (assist by J. McRoberts),2,54-64,,
7:35.0,,,54-64,,Turnover by M. Conley (bad pass; steal by C. Bosh)
7:30.0,J. McRoberts makes 2-pt shot at rim (assist by D. Wade),2,56-64,,
7:09.0,,,56-66,2,Z. Randolph makes 2-pt shot from 12 ft
6:55.0,Turnover by J. McRoberts (bad pass),,56-66,,
6:31.0,,,56-69,3,C. Lee makes 3-pt shot from 28 ft
6:29.0,Miami full timeout,,56-69,,
6:17.0,C. Bosh misses 2-pt shot from 20 ft,,56-69,,
6:16.0,,,56-69,,Defensive rebound by M. Gasol
6:02.0,,,56-71,2,M. Conley makes 2-pt shot from 12 ft
5:43.0,D. Wade makes 2-pt shot from 19 ft (assist by J. McRoberts),2,58-71,,
5:43.0,Shooting foul by T. Allen (drawn by D. Wade),,58-71,,
5:43.0,D. Wade makes free throw 1 of 1,1,59-71,,
5:24.0,,,59-71,,M. Gasol misses 2-pt shot from 10 ft
5:23.0,Defensive rebound by N. Cole,,59-71,,
5:07.0,C. Bosh makes 2-pt shot from 6 ft,2,61-71,,
4:41.0,,,61-71,,Turnover by M. Gasol (lost ball; steal by C. Bosh)
4:35.0,N. Cole misses 2-pt shot from 2 ft,,61-71,,
4:33.0,Offensive rebound by J. McRoberts,,61-71,,
4:30.0,L. Deng makes 2-pt shot from 1 ft (assist by D. Wade),2,63-71,,
4:09.0,,,63-74,3,M. Conley makes 3-pt shot from 26 ft (assist by C. Lee)
3:51.0,,,63-74,,Personal foul by C. Lee (drawn by L. Deng)
3:51.0,M. Chalmers enters the game for D. Wade,,63-74,,
3:51.0,,,63-74,,T. Prince enters the game for T. Allen
3:42.0,J. McRoberts makes 3-pt shot from 25 ft (assist by N. Cole),3,66-74,,
3:27.0,,,66-74,,Z. Randolph misses 2-pt shot from 1 ft
3:26.0,,,66-74,,Offensive rebound by Z. Randolph
3:26.0,,,66-74,,Z. Randolph misses 2-pt shot at rim
3:25.0,,,66-74,,Offensive rebound by Z. Randolph
3:25.0,,,66-76,2,Z. Randolph makes 2-pt shot at rim
3:02.0,M. Chalmers makes 2-pt shot from 17 ft (assist by C. Bosh),2,68-76,,
2:51.0,Personal foul by J. McRoberts (drawn by Z. Randolph),,68-76,,
2:51.0,,,68-76,,K. Koufos enters the game for M. Gasol
2:51.0,U. Haslem enters the game for J. McRoberts,,68-76,,
2:40.0,,,68-78,2,Z. Randolph makes 2-pt shot from 6 ft
2:25.0,,,68-78,,Personal foul by K. Koufos (drawn by M. Chalmers)
2:15.0,Turnover by M. Chalmers (lost ball; steal by C. Lee),,68-78,,
1:54.0,,,68-78,,Z. Randolph misses 2-pt shot from 21 ft
1:53.0,Defensive rebound by U. Haslem,,68-78,,
1:42.0,L. Deng makes 3-pt shot from 23 ft (assist by N. Cole),3,71-78,,
1:31.0,,,71-80,2,M. Conley makes 2-pt shot at rim
1:16.0,,,71-80,,Personal foul by K. Koufos (drawn by U. Haslem)
1:16.0,,,71-80,,B. Udrih enters the game for M. Conley
1:16.0,S. Napier enters the game for N. Cole,,71-80,,
1:05.0,C. Bosh makes 2-pt shot from 16 ft,2,73-80,,
0:42.0,,,73-82,2,K. Koufos makes 2-pt shot from 19 ft (assist by B. Udrih)
0:30.0,M. Chalmers misses 2-pt shot from 4 ft,,73-82,,
0:25.0,Offensive rebound by U. Haslem,,73-82,,
0:25.0,U. Haslem misses 2-pt shot from 1 ft (block by K. Koufos),,73-82,,
0:25.0,Offensive rebound by U. Haslem,,73-82,,
0:23.0,M. Chalmers makes 2-pt shot from 12 ft (assist by U. Haslem),2,75-82,,
0:05.0,,,75-82,,Z. Randolph misses 2-pt shot from 7 ft
0:04.0,Defensive rebound by L. Deng,,75-82,,
0:01.0,M. Chalmers misses 3-pt shot from 43 ft,,75-82,,
0:00.0,Offensive rebound by Team,,75-82,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:44.0,D. Wade misses 2-pt shot from 12 ft,,75-82,,
11:42.0,,,75-82,,Defensive rebound by B. Udrih
11:35.0,,,75-82,,Turnover by K. Koufos (bad pass)
11:35.0,S. Williams enters the game for C. Bosh,,75-82,,
11:13.0,M. Chalmers misses 2-pt shot from 1 ft,,75-82,,
11:10.0,,,75-82,,Defensive rebound by Q. Pondexter
11:02.0,,,75-82,,Turnover by J. Leuer (bad pass; steal by M. Chalmers)
10:56.0,D. Wade makes 2-pt shot at rim (assist by M. Chalmers),2,77-82,,
10:32.0,,,77-82,,K. Koufos misses 2-pt shot from 7 ft
10:31.0,Defensive rebound by S. Williams,,77-82,,
10:13.0,U. Haslem misses 2-pt shot from 1 ft,,77-82,,
10:12.0,,,77-82,,Defensive rebound by J. Leuer
10:06.0,,,77-82,,Turnover by B. Udrih (bad pass; steal by M. Chalmers)
10:03.0,D. Wade makes 2-pt shot at rim (assist by M. Chalmers),2,79-82,,
10:02.0,,,79-82,,Memphis full timeout
10:02.0,,,79-82,,T. Allen enters the game for Q. Pondexter
9:52.0,,,79-82,,J. Leuer misses 2-pt shot from 20 ft
9:50.0,Defensive rebound by S. Napier,,79-82,,
9:33.0,D. Wade misses 2-pt shot from 21 ft,,79-82,,
9:32.0,,,79-82,,Defensive rebound by J. Leuer
9:18.0,,,79-82,,Shooting foul by S. Williams (drawn by T. Allen)
9:18.0,,,79-82,,T. Allen misses free throw 1 of 2
9:18.0,,,79-82,,Offensive rebound by Team
9:18.0,,,79-83,1,T. Allen makes free throw 2 of 2
8:59.0,S. Williams misses 3-pt shot from 22 ft,,79-83,,
8:58.0,,,79-83,,Defensive rebound by T. Allen
8:54.0,,,79-83,,Shooting foul by D. Wade (drawn by J. Leuer)
8:54.0,,,79-84,1,J. Leuer makes free throw 1 of 2
8:54.0,,,79-85,1,J. Leuer makes free throw 2 of 2
8:38.0,S. Williams misses 3-pt shot from 23 ft,,79-85,,
8:37.0,,,79-85,,Defensive rebound by T. Allen
8:29.0,,,79-88,3,T. Prince makes 3-pt shot from 24 ft (assist by T. Allen)
8:28.0,Miami full timeout,,79-88,,
8:08.0,,,79-88,,Personal foul by K. Koufos (drawn by S. Napier)
7:57.0,Turnover by D. Wade (lost ball; steal by T. Allen),,79-88,,
7:53.0,,,79-88,,J. Leuer misses 2-pt shot at rim
7:50.0,,,79-88,,Offensive rebound by T. Allen
7:48.0,,,79-90,2,T. Allen makes 2-pt shot from 2 ft
7:34.0,M. Chalmers makes 2-pt shot at rim,2,81-90,,
7:11.0,,,81-90,,T. Allen misses 2-pt shot at rim
7:08.0,Defensive rebound by U. Haslem,,81-90,,
7:08.0,,,81-90,,Personal foul by T. Allen (drawn by M. Chalmers)
7:08.0,C. Bosh enters the game for U. Haslem,,81-90,,
6:49.0,C. Bosh misses 2-pt shot from 10 ft,,81-90,,
6:48.0,,,81-90,,Defensive rebound by J. Leuer
6:32.0,,,81-93,3,J. Leuer makes 3-pt shot from 23 ft (assist by B. Udrih)
6:15.0,,,81-93,,Personal foul by T. Allen (drawn by M. Chalmers)
6:15.0,L. Deng enters the game for S. Williams,,81-93,,
6:15.0,J. McRoberts enters the game for S. Napier,,81-93,,
6:05.0,Turnover by J. McRoberts (bad pass; steal by T. Allen),,81-93,,
6:01.0,,,81-93,,Turnover by T. Allen (lost ball; steal by M. Chalmers)
5:49.0,Shooting foul by K. Koufos (drawn by D. Wade),,81-93,,
5:49.0,,,81-93,,Technical foul by K. Koufos (drawn by D. Wade)
5:49.0,Technical foul by D. Wade,,81-93,,
5:49.0,D. Wade misses free throw 1 of 2,,81-93,,
5:49.0,Offensive rebound by Team,,81-93,,
5:49.0,,,81-93,,C. Lee enters the game for T. Allen
5:49.0,,,81-93,,M. Gasol enters the game for K. Koufos
5:49.0,D. Wade makes free throw 2 of 2,1,82-93,,
5:31.0,,,82-93,,T. Prince misses 2-pt shot from 14 ft
5:30.0,Defensive rebound by L. Deng,,82-93,,
5:18.0,Turnover by J. McRoberts (bad pass; steal by J. Leuer),,82-93,,
5:18.0,Personal foul by M. Chalmers (drawn by B. Udrih),,82-93,,
5:02.0,Personal foul by M. Chalmers (drawn by J. Leuer),,82-93,,
4:55.0,,,82-95,2,J. Leuer makes 2-pt shot from 13 ft (assist by B. Udrih)
4:39.0,C. Bosh misses 2-pt shot from 19 ft,,82-95,,
4:38.0,,,82-95,,Defensive rebound by J. Leuer
4:18.0,,,82-97,2,B. Udrih makes 2-pt shot from 19 ft
4:16.0,Miami full timeout,,82-97,,
4:06.0,Turnover by D. Wade (bad pass; steal by C. Lee),,82-97,,
4:01.0,,,82-99,2,J. Leuer makes 2-pt shot at rim (assist by C. Lee)
3:44.0,J. McRoberts misses 2-pt shot from 1 ft (block by M. Gasol),,82-99,,
3:42.0,Offensive rebound by J. McRoberts,,82-99,,
3:42.0,J. McRoberts makes 2-pt shot at rim,2,84-99,,
3:29.0,,,84-99,,Turnover by B. Udrih (bad pass; steal by M. Chalmers)
3:24.0,M. Chalmers misses 2-pt shot at rim,,84-99,,
3:22.0,,,84-99,,Defensive rebound by M. Gasol
3:02.0,,,84-99,,T. Prince misses 3-pt shot from 22 ft
3:02.0,Defensive rebound by L. Deng,,84-99,,
2:51.0,D. Wade misses 2-pt shot from 17 ft,,84-99,,
2:49.0,,,84-99,,Defensive rebound by T. Prince
2:27.0,,,84-99,,M. Gasol misses 2-pt shot from 19 ft
2:27.0,,,84-99,,Offensive rebound by Team
2:27.0,,,84-99,,Turnover by Team (shot clock)
2:27.0,,,84-99,,M. Conley enters the game for B. Udrih
2:20.0,M. Chalmers misses 3-pt shot from 25 ft,,84-99,,
2:18.0,,,84-99,,Defensive rebound by J. Leuer
2:03.0,,,84-101,2,M. Conley makes 2-pt shot from 1 ft
1:51.0,D. Wade misses 2-pt shot from 19 ft,,84-101,,
1:50.0,,,84-101,,Defensive rebound by J. Leuer
1:25.0,,,84-101,,C. Lee misses 2-pt shot from 17 ft
1:23.0,Defensive rebound by M. Chalmers,,84-101,,
1:13.0,M. Chalmers makes 3-pt shot from 25 ft (assist by D. Wade),3,87-101,,
1:13.0,,,87-101,,Memphis full timeout
1:13.0,J. Hamilton enters the game for L. Deng,,87-101,,
1:13.0,J. Ennis enters the game for J. McRoberts,,87-101,,
1:13.0,H. Whiteside enters the game for C. Bosh,,87-101,,
1:13.0,S. Napier enters the game for D. Wade,,87-101,,
1:13.0,,,87-101,,J. Stokes enters the game for M. Gasol
1:13.0,,,87-101,,N. Calathes enters the game for M. Conley
0:56.0,,,87-101,,J. Leuer misses 3-pt shot from 22 ft
0:55.0,Defensive rebound by M. Chalmers,,87-101,,
0:47.0,Turnover by M. Chalmers (lost ball),,87-101,,
0:24.0,,,87-103,2,T. Prince makes 2-pt shot from 17 ft
0:00.0,End of 4th quarter,,,,End of 4th quarter
