time,New Orleans,pts.away,score,pts.home,Detroit
5:06.0,R. Anderson enters the game for O. Asik,,17-8,,
5:06.0,Q. Pondexter enters the game for T. Evans,,17-8,,
4:54.0,,,17-10,2,G. Monroe makes 2-pt shot at rim (assist by K. Caldwell-Pope)
4:33.0,E. Gordon misses 2-pt shot at rim,,17-10,,
4:33.0,,,17-10,,Defensive rebound by A. Drummond
4:33.0,Loose ball foul by D. Cunningham (drawn by A. Drummond),,17-10,,
4:19.0,,,17-10,,K. Singler misses 3-pt shot from 27 ft
4:17.0,Defensive rebound by R. Anderson,,17-10,,
4:09.0,,,17-10,,Def 3 sec tech foul by K. Singler
4:09.0,A. Davis makes technical free throw,1,18-10,,
4:01.0,Turnover by E. Gordon (lost ball; steal by K. Singler),,18-10,,
3:56.0,,,18-12,2,B. Jennings makes 2-pt shot at rim (assist by K. Singler)
3:56.0,New Orleans full timeout,,18-12,,
3:56.0,,,18-12,,J. Meeks enters the game for A. Drummond
3:56.0,,,18-12,,J. Jerebko enters the game for K. Caldwell-Pope
3:37.0,Turnover by E. Gordon (lost ball; steal by B. Jennings),,18-12,,
3:15.0,,,18-12,,B. Jennings misses 3-pt shot from 26 ft
3:14.0,Defensive rebound by Q. Pondexter,,18-12,,
2:57.0,J. Fredette enters the game for D. Cunningham,,18-12,,
2:53.0,R. Anderson makes 2-pt shot from 19 ft (assist by Q. Pondexter),2,20-12,,
2:31.0,,,20-12,,Turnover by J. Meeks (bad pass; steal by A. Davis)
2:25.0,E. Gordon makes 2-pt shot from 1 ft,2,22-12,,
2:08.0,,,22-12,,C. Butler enters the game for K. Singler
2:08.0,,,22-12,,D. Augustin enters the game for B. Jennings
2:01.0,,,22-14,2,D. Augustin makes 2-pt shot at rim
1:47.0,E. Gordon misses 2-pt shot from 3 ft (block by G. Monroe),,22-14,,
1:46.0,Offensive rebound by E. Gordon,,22-14,,
1:37.0,J. Fredette misses 3-pt shot from 26 ft,,22-14,,
1:36.0,,,22-14,,Defensive rebound by G. Monroe
1:30.0,,,22-14,,Shooting foul by J. Fredette (drawn by D. Augustin)
1:30.0,,,22-15,1,D. Augustin makes free throw 1 of 2
1:30.0,T. Evans enters the game for E. Gordon,,22-15,,
1:30.0,,,22-16,1,D. Augustin makes free throw 2 of 2
1:03.0,A. Davis misses 2-pt shot from 17 ft,,22-16,,
1:02.0,,,22-16,,Defensive rebound by G. Monroe
0:54.0,,,22-16,,J. Jerebko misses 3-pt shot from 25 ft
0:53.0,Defensive rebound by Q. Pondexter,,22-16,,
0:47.0,,,22-16,,Personal foul by G. Monroe (drawn by A. Davis)
0:34.0,T. Evans misses 2-pt shot from 1 ft,,22-16,,
0:33.0,,,22-16,,Defensive rebound by G. Monroe
0:16.0,,,22-18,2,G. Monroe makes 2-pt shot from 5 ft
0:03.0,T. Evans misses 2-pt shot from 2 ft (block by J. Jerebko),,22-18,,
0:01.0,,,22-18,,Defensive rebound by J. Jerebko
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:34.0,,,22-18,,J. Meeks misses 2-pt shot from 1 ft
11:32.0,Defensive rebound by O. Asik,,22-18,,
11:15.0,R. Anderson makes 2-pt shot from 4 ft,2,24-18,,
10:59.0,,,24-20,2,J. Meeks makes 2-pt shot from 1 ft (assist by J. Jerebko)
10:43.0,R. Anderson misses 2-pt shot from 1 ft,,24-20,,
10:42.0,,,24-20,,Defensive rebound by A. Drummond
10:36.0,,,24-20,,C. Butler misses 3-pt shot from 27 ft
10:35.0,Defensive rebound by O. Asik,,24-20,,
10:12.0,Turnover by Team (shot clock),,24-20,,
9:58.0,,,24-22,2,D. Augustin makes 2-pt shot at rim (assist by J. Meeks)
9:39.0,T. Evans misses 2-pt shot from 20 ft,,24-22,,
9:38.0,Offensive rebound by Q. Pondexter,,24-22,,
9:29.0,O. Asik makes 2-pt shot at rim (assist by Q. Pondexter),2,26-22,,
9:09.0,,,26-22,,A. Drummond misses 2-pt shot from 6 ft
9:08.0,Defensive rebound by R. Anderson,,26-22,,
8:58.0,J. Fredette makes 2-pt shot from 5 ft,2,28-22,,
8:41.0,,,28-22,,Turnover by D. Augustin (lost ball)
8:41.0,Official timeout,,28-22,,
8:23.0,Shooting foul by J. Jerebko (drawn by R. Anderson),,28-22,,
8:23.0,R. Anderson makes free throw 1 of 2,1,29-22,,
8:23.0,R. Anderson makes free throw 2 of 2,1,30-22,,
8:13.0,Personal foul by O. Asik (drawn by A. Drummond),,30-22,,
8:05.0,,,30-22,,D. Augustin misses 2-pt shot from 18 ft
8:04.0,Defensive rebound by O. Asik,,30-22,,
7:53.0,J. Fredette makes 2-pt shot from 7 ft,2,32-22,,
7:53.0,Shooting foul by D. Augustin (drawn by J. Fredette),,32-22,,
7:53.0,J. Fredette makes free throw 1 of 1,1,33-22,,
7:33.0,,,33-22,,J. Jerebko misses 2-pt shot from 5 ft
7:30.0,Defensive rebound by T. Evans,,33-22,,
7:30.0,Shooting foul by C. Butler (drawn by T. Evans),,33-22,,
7:30.0,T. Evans makes free throw 1 of 2,1,34-22,,
7:30.0,T. Evans makes free throw 2 of 2,1,35-22,,
7:11.0,,,35-22,,C. Butler misses 2-pt shot from 19 ft
7:10.0,Defensive rebound by Team,,35-22,,
6:58.0,Shooting foul by D. Augustin (drawn by J. Fredette),,35-22,,
6:58.0,J. Fredette makes 2-pt shot from 14 ft,2,37-22,,
6:58.0,,,37-22,,K. Caldwell-Pope enters the game for C. Butler
6:58.0,,,37-22,,B. Jennings enters the game for D. Augustin
6:58.0,,,37-22,,A. Tolliver enters the game for J. Jerebko
6:58.0,J. Fredette makes free throw 1 of 1,1,38-22,,
6:37.0,,,38-22,,A. Tolliver misses 2-pt shot from 17 ft
6:35.0,Defensive rebound by O. Asik,,38-22,,
6:26.0,J. Fredette misses 3-pt shot from 25 ft,,38-22,,
6:25.0,,,38-22,,Defensive rebound by K. Caldwell-Pope
6:20.0,Personal foul by Q. Pondexter (drawn by B. Jennings),,38-22,,
6:08.0,,,38-24,2,A. Tolliver makes 2-pt shot at rim (assist by B. Jennings)
5:50.0,O. Asik misses 2-pt shot from 2 ft (block by A. Drummond),,38-24,,
5:50.0,Offensive rebound by Team,,38-24,,
5:49.0,,,38-24,,Detroit full timeout
5:43.0,T. Evans makes 2-pt shot from 1 ft (assist by O. Asik),2,40-24,,
5:27.0,,,40-24,,B. Jennings misses 2-pt shot from 1 ft
5:25.0,Defensive rebound by O. Asik,,40-24,,
5:19.0,R. Anderson makes 3-pt shot from 24 ft (assist by T. Evans),3,43-24,,
5:19.0,,,43-24,,Detroit full timeout
5:19.0,E. Gordon enters the game for O. Asik,,43-24,,
5:19.0,A. Davis enters the game for J. Fredette,,43-24,,
5:03.0,Personal foul by Q. Pondexter (drawn by B. Jennings),,43-24,,
4:55.0,,,43-27,3,K. Caldwell-Pope makes 3-pt shot from 26 ft (assist by B. Jennings)
4:37.0,,,43-27,,Violation by A. Drummond (def goaltending)
4:37.0,R. Anderson makes 2-pt shot from 9 ft,2,45-27,,
4:17.0,,,45-29,2,A. Drummond makes 2-pt shot from 6 ft
3:59.0,E. Gordon makes 3-pt shot from 25 ft (assist by R. Anderson),3,48-29,,
3:41.0,,,48-29,,J. Meeks misses 3-pt shot from 23 ft
3:40.0,Defensive rebound by A. Davis,,48-29,,
3:23.0,T. Evans makes 2-pt shot at rim,2,50-29,,
3:11.0,,,50-31,2,J. Meeks makes 2-pt shot at rim (assist by A. Tolliver)
2:59.0,Offensive charge foul by Q. Pondexter,,50-31,,
2:59.0,Turnover by Q. Pondexter (offensive foul),,50-31,,
2:59.0,,,50-31,,G. Monroe enters the game for A. Drummond
2:59.0,,,50-31,,J. Jerebko enters the game for A. Tolliver
2:59.0,D. Cunningham enters the game for Q. Pondexter,,50-31,,
2:47.0,,,50-31,,J. Jerebko misses 3-pt shot from 26 ft
2:45.0,Defensive rebound by D. Cunningham,,50-31,,
2:23.0,R. Anderson misses 2-pt shot from 8 ft,,50-31,,
2:22.0,Offensive rebound by R. Anderson,,50-31,,
2:13.0,A. Davis makes 2-pt shot at rim (assist by T. Evans),2,52-31,,
1:50.0,,,52-33,2,G. Monroe makes 2-pt shot at rim (assist by K. Caldwell-Pope)
1:39.0,Shooting foul by K. Caldwell-Pope (drawn by T. Evans),,52-33,,
1:39.0,T. Evans makes free throw 1 of 2,1,53-33,,
1:39.0,T. Evans makes free throw 2 of 2,1,54-33,,
1:27.0,,,54-35,2,G. Monroe makes 2-pt shot at rim (assist by K. Caldwell-Pope)
1:13.0,A. Davis makes 2-pt shot at rim (assist by T. Evans),2,56-35,,
0:55.0,,,56-35,,K. Caldwell-Pope misses 2-pt shot from 18 ft
0:54.0,Defensive rebound by A. Davis,,56-35,,
0:52.0,Turnover by A. Davis (lost ball; steal by G. Monroe),,56-35,,
0:52.0,,,56-35,,Shooting foul by A. Davis (drawn by G. Monroe)
0:52.0,,,56-36,1,G. Monroe makes free throw 1 of 2
0:52.0,,,56-36,,G. Monroe misses free throw 2 of 2
0:52.0,Defensive rebound by A. Davis,,56-36,,
0:41.0,Turnover by T. Evans (bad pass; steal by J. Jerebko),,56-36,,
0:38.0,,,56-36,,Turnover by J. Jerebko (dbl dribble)
0:24.0,E. Gordon makes 2-pt shot at rim,2,58-36,,
0:05.0,,,58-36,,K. Caldwell-Pope misses 3-pt shot from 26 ft
0:04.0,Defensive rebound by A. Davis,,58-36,,
0:01.0,A. Davis misses 3-pt shot from 53 ft,,58-36,,
0:00.0,Offensive rebound by Team,,58-36,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:44.0,,,58-38,2,K. Singler makes 2-pt shot at rim (assist by G. Monroe)
11:27.0,A. Davis makes 2-pt shot from 19 ft (assist by E. Gordon),2,60-38,,
11:12.0,,,60-38,,Shooting foul by E. Gordon (drawn by G. Monroe)
11:12.0,,,60-39,1,G. Monroe makes free throw 1 of 2
11:12.0,,,60-40,1,G. Monroe makes free throw 2 of 2
10:50.0,A. Davis misses 2-pt shot from 5 ft,,60-40,,
10:48.0,,,60-40,,Defensive rebound by K. Singler
10:42.0,,,60-43,3,B. Jennings makes 3-pt shot from 25 ft
10:24.0,D. Cunningham makes 2-pt shot from 20 ft (assist by E. Gordon),2,62-43,,
10:04.0,,,62-43,,B. Jennings misses 3-pt shot from 25 ft
10:03.0,Defensive rebound by O. Asik,,62-43,,
9:42.0,A. Davis makes 2-pt shot from 9 ft,2,64-43,,
9:26.0,,,64-46,3,K. Singler makes 3-pt shot from 26 ft (assist by G. Monroe)
8:58.0,D. Cunningham makes 2-pt shot from 20 ft (assist by T. Evans),2,66-46,,
8:51.0,,,66-46,,Shooting foul by E. Gordon (drawn by B. Jennings)
8:51.0,,,66-47,1,B. Jennings makes free throw 1 of 2
8:51.0,,,66-48,1,B. Jennings makes free throw 2 of 2
8:40.0,Turnover by E. Gordon (bad pass),,66-48,,
8:21.0,,,66-48,,G. Monroe misses 2-pt shot from 2 ft (block by A. Davis)
8:20.0,Defensive rebound by T. Evans,,66-48,,
8:10.0,D. Cunningham misses 2-pt shot from 7 ft,,66-48,,
8:08.0,Offensive rebound by A. Davis,,66-48,,
7:49.0,Shooting foul by G. Monroe (drawn by A. Davis),,66-48,,
7:49.0,A. Davis makes free throw 1 of 2,1,67-48,,
7:49.0,A. Davis makes free throw 2 of 2,1,68-48,,
7:39.0,,,68-48,,Shooting foul by O. Asik (drawn by G. Monroe)
7:39.0,,,68-48,,G. Monroe misses free throw 1 of 2
7:39.0,,,68-48,,Offensive rebound by Team
7:39.0,,,68-49,1,G. Monroe makes free throw 2 of 2
7:24.0,A. Davis misses 2-pt shot from 17 ft,,68-49,,
7:23.0,,,68-49,,Defensive rebound by K. Caldwell-Pope
7:15.0,,,68-49,,K. Singler misses 3-pt shot from 26 ft
7:14.0,Defensive rebound by T. Evans,,68-49,,
7:07.0,D. Cunningham misses 2-pt shot from 5 ft (block by A. Drummond),,68-49,,
7:07.0,Offensive rebound by Team,,68-49,,
6:56.0,Shooting foul by A. Drummond (drawn by O. Asik),,68-49,,
6:56.0,O. Asik makes free throw 1 of 2,1,69-49,,
6:56.0,,,69-49,,J. Jerebko enters the game for A. Drummond
6:56.0,O. Asik makes free throw 2 of 2,1,70-49,,
6:36.0,,,70-49,,G. Monroe misses 2-pt shot from 5 ft
6:34.0,Defensive rebound by O. Asik,,70-49,,
6:29.0,Shooting foul by K. Caldwell-Pope (drawn by T. Evans),,70-49,,
6:29.0,T. Evans misses free throw 1 of 2,,70-49,,
6:29.0,Offensive rebound by Team,,70-49,,
6:29.0,T. Evans makes free throw 2 of 2,1,71-49,,
6:15.0,,,71-51,2,G. Monroe makes 2-pt shot at rim (assist by K. Singler)
6:15.0,,,71-51,,Shooting foul by A. Davis (drawn by G. Monroe)
6:15.0,New Orleans full timeout,,71-51,,
6:15.0,,,71-51,,G. Monroe misses free throw 1 of 1
6:14.0,Defensive rebound by O. Asik,,71-51,,
5:51.0,E. Gordon misses 3-pt shot from 25 ft,,71-51,,
5:50.0,Offensive rebound by A. Davis,,71-51,,
5:49.0,A. Davis misses 2-pt shot at rim,,71-51,,
5:46.0,,,71-51,,Defensive rebound by K. Singler
5:31.0,,,71-51,,B. Jennings misses 2-pt shot from 1 ft (block by O. Asik)
5:30.0,Defensive rebound by O. Asik,,71-51,,
5:30.0,,,71-51,,Personal foul by B. Jennings (drawn by O. Asik)
5:30.0,R. Anderson enters the game for O. Asik,,71-51,,
5:30.0,Q. Pondexter enters the game for T. Evans,,71-51,,
5:20.0,R. Anderson misses 3-pt shot from 27 ft,,71-51,,
5:18.0,,,71-51,,Defensive rebound by J. Jerebko
5:13.0,Personal foul by E. Gordon (drawn by B. Jennings),,71-51,,
5:13.0,,,71-52,1,B. Jennings makes free throw 1 of 2
5:13.0,,,71-53,1,B. Jennings makes free throw 2 of 2
4:52.0,A. Davis makes 2-pt shot at rim (assist by Q. Pondexter),2,73-53,,
4:32.0,,,73-53,,K. Singler misses 2-pt shot from 20 ft
4:31.0,,,73-53,,Offensive rebound by J. Jerebko
4:28.0,,,73-53,,J. Jerebko misses 2-pt shot at rim
4:27.0,Defensive rebound by A. Davis,,73-53,,
4:19.0,Turnover by E. Gordon (bad pass; steal by K. Singler),,73-53,,
4:15.0,,,73-53,,Turnover by K. Singler (bad pass; steal by D. Cunningham)
4:09.0,R. Anderson makes 3-pt shot from 26 ft (assist by A. Davis),3,76-53,,
3:58.0,,,76-53,,Detroit full timeout
3:58.0,,,76-53,,J. Meeks enters the game for K. Singler
3:58.0,,,76-53,,C. Butler enters the game for G. Monroe
3:58.0,,,76-53,,J. Anthony enters the game for K. Caldwell-Pope
3:58.0,J. Fredette enters the game for D. Cunningham,,76-53,,
3:38.0,,,76-53,,J. Jerebko misses 2-pt shot from 2 ft (block by A. Davis)
3:38.0,,,76-53,,Offensive rebound by Team
3:38.0,,,76-53,,Turnover by Team (shot clock)
3:23.0,Q. Pondexter misses 3-pt shot from 23 ft,,76-53,,
3:22.0,,,76-53,,Defensive rebound by J. Anthony
3:18.0,Personal foul by J. Fredette (drawn by B. Jennings),,76-53,,
3:18.0,,,76-54,1,B. Jennings makes free throw 1 of 2
3:18.0,,,76-55,1,B. Jennings makes free throw 2 of 2
2:58.0,Q. Pondexter misses 2-pt shot from 2 ft (block by J. Anthony),,76-55,,
2:56.0,,,76-55,,Defensive rebound by J. Jerebko
2:47.0,,,76-57,2,J. Anthony makes 2-pt shot at rim (assist by C. Butler)
2:26.0,J. Fredette misses 3-pt shot from 24 ft,,76-57,,
2:26.0,,,76-57,,Defensive rebound by J. Anthony
2:18.0,,,76-57,,B. Jennings misses 2-pt shot from 1 ft
2:17.0,Defensive rebound by Team,,76-57,,
1:58.0,J. Fredette misses 3-pt shot from 25 ft,,76-57,,
1:57.0,Offensive rebound by A. Davis,,76-57,,
1:54.0,A. Davis makes 2-pt shot at rim,2,78-57,,
1:49.0,Personal foul by R. Anderson (drawn by B. Jennings),,78-57,,
1:49.0,,,78-58,1,B. Jennings makes free throw 1 of 2
1:49.0,,,78-59,1,B. Jennings makes free throw 2 of 2
1:34.0,Q. Pondexter makes 3-pt shot from 23 ft (assist by R. Anderson),3,81-59,,
1:18.0,,,81-59,,J. Anthony misses 2-pt shot from 7 ft
1:17.0,Defensive rebound by Q. Pondexter,,81-59,,
1:05.0,Shooting foul by C. Butler (drawn by A. Davis),,81-59,,
1:05.0,A. Davis makes free throw 1 of 2,1,82-59,,
1:05.0,T. Evans enters the game for E. Gordon,,82-59,,
1:05.0,A. Davis makes free throw 2 of 2,1,83-59,,
0:49.0,,,83-59,,B. Jennings misses 3-pt shot from 26 ft
0:48.0,,,83-59,,Offensive rebound by J. Jerebko
0:46.0,,,83-62,3,C. Butler makes 3-pt shot from 26 ft (assist by B. Jennings)
0:28.0,Turnover by R. Anderson (bad pass; steal by J. Jerebko),,83-62,,
0:21.0,,,83-65,3,B. Jennings makes 3-pt shot from 26 ft
0:11.0,T. Evans misses 2-pt shot from 1 ft,,83-65,,
0:09.0,,,83-65,,Defensive rebound by J. Jerebko
0:07.0,,,83-65,,Shooting foul by R. Anderson (drawn by B. Jennings)
0:07.0,,,83-66,1,B. Jennings makes free throw 1 of 2
0:07.0,,,83-66,,B. Jennings misses free throw 2 of 2
0:06.0,Defensive rebound by Q. Pondexter,,83-66,,
0:01.0,A. Davis misses 2-pt shot from 1 ft (block by J. Anthony),,83-66,,
0:01.0,,,83-66,,Defensive rebound by C. Butler
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:41.0,Q. Pondexter makes 3-pt shot from 24 ft (assist by T. Evans),3,86-66,,
11:27.0,,,86-69,3,J. Meeks makes 3-pt shot from 27 ft (assist by D. Augustin)
11:04.0,Q. Pondexter makes 3-pt shot from 26 ft (assist by T. Evans),3,89-69,,
10:58.0,,,89-69,,Detroit full timeout
10:58.0,O. Asik enters the game for A. Davis,,89-69,,
10:54.0,,,89-69,,Offensive foul by J. Anthony
10:54.0,,,89-69,,Turnover by J. Anthony (offensive foul)
10:44.0,Shooting foul by C. Butler (drawn by R. Anderson),,89-69,,
10:44.0,R. Anderson makes free throw 1 of 2,1,90-69,,
10:44.0,R. Anderson misses free throw 2 of 2,,90-69,,
10:43.0,,,90-69,,Defensive rebound by J. Meeks
10:30.0,,,90-71,2,J. Anthony makes 2-pt shot at rim (assist by D. Augustin)
10:21.0,R. Anderson misses 3-pt shot from 26 ft,,90-71,,
10:20.0,,,90-71,,Defensive rebound by J. Meeks
10:13.0,,,90-73,2,J. Meeks makes 2-pt shot at rim
9:48.0,J. Fredette misses 2-pt shot from 1 ft,,90-73,,
9:48.0,Offensive rebound by O. Asik,,90-73,,
9:48.0,Shooting foul by J. Meeks (drawn by O. Asik),,90-73,,
9:48.0,O. Asik makes free throw 1 of 2,1,91-73,,
9:48.0,,,91-73,,A. Tolliver enters the game for J. Jerebko
9:48.0,O. Asik makes free throw 2 of 2,1,92-73,,
9:30.0,,,92-75,2,C. Butler makes 2-pt shot from 18 ft
9:11.0,O. Asik misses 2-pt shot from 3 ft (block by A. Tolliver),,92-75,,
9:09.0,,,92-75,,Defensive rebound by D. Augustin
9:04.0,,,92-75,,J. Meeks misses 3-pt shot from 22 ft
9:03.0,Defensive rebound by T. Evans,,92-75,,
8:51.0,Shooting foul by J. Anthony (drawn by T. Evans),,92-75,,
8:51.0,T. Evans misses free throw 1 of 2,,92-75,,
8:51.0,Offensive rebound by Team,,92-75,,
8:51.0,T. Evans misses free throw 2 of 2,,92-75,,
8:50.0,,,92-75,,Defensive rebound by A. Tolliver
8:35.0,,,92-77,2,J. Meeks makes 2-pt shot at rim (assist by J. Anthony)
8:15.0,Q. Pondexter misses 2-pt shot from 16 ft (block by J. Anthony),,92-77,,
8:13.0,Offensive rebound by T. Evans,,92-77,,
8:11.0,T. Evans makes 2-pt shot at rim,2,94-77,,
8:00.0,,,94-77,,A. Tolliver misses 3-pt shot from 23 ft
7:59.0,Defensive rebound by J. Fredette,,94-77,,
7:42.0,R. Anderson misses 2-pt shot from 5 ft,,94-77,,
7:41.0,,,94-77,,Defensive rebound by J. Anthony
7:31.0,,,94-79,2,D. Augustin makes 2-pt shot from 1 ft
7:11.0,R. Anderson misses 3-pt shot from 24 ft,,94-79,,
7:11.0,,,94-79,,Defensive rebound by Team
7:11.0,A. Davis enters the game for O. Asik,,94-79,,
7:11.0,E. Gordon enters the game for J. Fredette,,94-79,,
6:58.0,,,94-79,,A. Tolliver misses 3-pt shot from 25 ft
6:57.0,Defensive rebound by T. Evans,,94-79,,
6:39.0,Q. Pondexter misses 3-pt shot from 25 ft,,94-79,,
6:38.0,Offensive rebound by E. Gordon,,94-79,,
6:12.0,R. Anderson makes 2-pt shot from 5 ft,2,96-79,,
5:55.0,,,96-79,,A. Tolliver misses 2-pt shot from 19 ft (block by A. Davis)
5:54.0,Defensive rebound by T. Evans,,96-79,,
5:41.0,T. Evans misses 2-pt shot from 17 ft,,96-79,,
5:40.0,,,96-79,,Defensive rebound by A. Tolliver
5:34.0,Personal foul by R. Anderson (drawn by D. Augustin),,96-79,,
5:34.0,Official timeout,,96-79,,
5:34.0,,,96-79,,K. Caldwell-Pope enters the game for J. Meeks
5:34.0,,,96-79,,G. Monroe enters the game for J. Anthony
5:29.0,,,96-79,,G. Monroe misses 2-pt shot at rim
5:28.0,Defensive rebound by E. Gordon,,96-79,,
5:10.0,A. Davis misses 2-pt shot from 7 ft,,96-79,,
5:09.0,,,96-79,,Defensive rebound by G. Monroe
4:57.0,,,96-79,,Shooting foul by T. Evans (drawn by K. Caldwell-Pope)
4:57.0,,,96-80,1,K. Caldwell-Pope makes free throw 1 of 2
4:57.0,,,96-80,,K. Caldwell-Pope misses free throw 2 of 2
4:55.0,Defensive rebound by A. Davis,,96-80,,
4:31.0,A. Davis makes 2-pt shot from 4 ft (assist by E. Gordon),2,98-80,,
4:10.0,,,98-80,,K. Caldwell-Pope misses 2-pt shot at rim (block by T. Evans)
4:08.0,Defensive rebound by Q. Pondexter,,98-80,,
3:49.0,E. Gordon misses 2-pt shot from 4 ft (block by A. Tolliver),,98-80,,
3:46.0,,,98-80,,Defensive rebound by C. Butler
3:32.0,,,98-80,,G. Monroe misses 2-pt shot from 4 ft (block by R. Anderson)
3:30.0,Defensive rebound by E. Gordon,,98-80,,
3:15.0,A. Davis makes 2-pt shot at rim (assist by T. Evans),2,100-80,,
3:04.0,,,100-83,3,D. Augustin makes 3-pt shot from 26 ft
2:47.0,Turnover by T. Evans (lost ball; steal by K. Caldwell-Pope),,100-83,,
2:41.0,,,100-83,,Shooting foul by R. Anderson (drawn by D. Augustin)
2:41.0,New Orleans full timeout,,100-83,,
2:41.0,O. Asik enters the game for A. Davis,,100-83,,
2:41.0,,,100-83,,C. Martin enters the game for C. Butler
2:41.0,,,100-84,1,D. Augustin makes free throw 1 of 2
2:41.0,,,100-85,1,D. Augustin makes free throw 2 of 2
2:24.0,T. Evans makes 3-pt shot from 23 ft (assist by O. Asik),3,103-85,,
2:01.0,,,103-87,2,A. Tolliver makes 2-pt shot from 6 ft (assist by D. Augustin)
1:32.0,T. Evans misses 2-pt shot from 21 ft,,103-87,,
1:31.0,,,103-87,,Defensive rebound by G. Monroe
1:20.0,,,103-89,2,A. Tolliver makes 2-pt shot at rim (assist by G. Monroe)
1:02.0,T. Evans makes 2-pt shot from 1 ft,2,105-89,,
0:43.0,,,105-91,2,K. Caldwell-Pope makes 2-pt shot at rim
0:25.0,Turnover by O. Asik (traveling),,105-91,,
0:25.0,,,105-91,,J. Anthony enters the game for G. Monroe
0:25.0,L. Babbitt enters the game for O. Asik,,105-91,,
0:25.0,J. Withey enters the game for E. Gordon,,105-91,,
0:25.0,J. Fredette enters the game for T. Evans,,105-91,,
0:25.0,A. Ajinca enters the game for R. Anderson,,105-91,,
0:11.0,,,105-94,3,A. Tolliver makes 3-pt shot from 23 ft (assist by D. Augustin)
0:00.0,End of 4th quarter,,,,End of 4th quarter
