time,Detroit,pts.away,score,pts.home,Orlando
3:35.0,,,18-23,2,V. Oladipo makes 2-pt shot from 1 ft (assist by E. Payton)
3:22.0,A. Tolliver misses 3-pt shot from 25 ft,,18-23,,
3:19.0,Offensive rebound by R. Jackson,,18-23,,
3:08.0,K. Caldwell-Pope misses 2-pt shot from 1 ft,,18-23,,
3:07.0,,,18-23,,Defensive rebound by N. Vucevic
2:58.0,,,18-25,2,N. Vucevic makes 2-pt shot from 20 ft (assist by E. Payton)
2:37.0,A. Tolliver makes 2-pt shot at rim (assist by R. Jackson),2,20-25,,
2:09.0,,,20-25,,W. Green misses 3-pt shot from 23 ft
2:07.0,Defensive rebound by R. Jackson,,20-25,,
1:57.0,A. Drummond makes 2-pt shot at rim (assist by R. Jackson),2,22-25,,
1:41.0,,,22-25,,E. Payton misses 2-pt shot from 4 ft
1:37.0,Defensive rebound by R. Jackson,,22-25,,
1:25.0,R. Jackson makes 2-pt shot from 6 ft,2,24-25,,
1:10.0,,,24-27,2,T. Harris makes 2-pt shot at rim (assist by E. Payton)
0:52.0,C. Butler makes 3-pt shot from 26 ft (assist by R. Jackson),3,27-27,,
0:41.0,,,27-27,,N. Vucevic misses 2-pt shot from 5 ft
0:40.0,Defensive rebound by A. Drummond,,27-27,,
0:24.0,A. Tolliver makes 3-pt shot from 22 ft (assist by R. Jackson),3,30-27,,
0:03.0,,,30-27,,T. Harris misses 3-pt shot from 23 ft
0:02.0,Defensive rebound by A. Drummond,,30-27,,
0:00.0,R. Jackson misses 3-pt shot from 49 ft,,30-27,,
0:00.0,Offensive rebound by Team,,30-27,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:48.0,K. Caldwell-Pope misses 2-pt shot from 1 ft,,30-27,,
11:47.0,Offensive rebound by A. Drummond,,30-27,,
11:45.0,Turnover by A. Drummond (lost ball; steal by L. Ridnour),,30-27,,
11:30.0,,,30-30,3,W. Green makes 3-pt shot from 22 ft (assist by A. Gordon)
11:07.0,K. Caldwell-Pope misses 2-pt shot from 15 ft,,30-30,,
11:06.0,,,30-30,,Defensive rebound by C. Frye
10:59.0,,,30-30,,W. Green misses 2-pt shot at rim
10:57.0,Defensive rebound by J. Meeks,,30-30,,
10:47.0,T. Prince misses 2-pt shot from 18 ft,,30-30,,
10:46.0,,,30-30,,Defensive rebound by M. Harkless
10:37.0,,,30-30,,C. Frye misses 3-pt shot from 27 ft
10:36.0,Defensive rebound by K. Caldwell-Pope,,30-30,,
10:24.0,T. Prince makes 2-pt shot from 19 ft (assist by S. Dinwiddie),2,32-30,,
10:04.0,,,32-30,,Turnover by M. Harkless (lost ball; steal by K. Caldwell-Pope)
10:02.0,,,32-30,,Personal foul by W. Green (drawn by T. Prince)
10:02.0,J. Anthony enters the game for A. Drummond,,32-30,,
10:02.0,S. Williams enters the game for K. Caldwell-Pope,,32-30,,
9:55.0,S. Dinwiddie makes 2-pt shot from 11 ft,2,34-30,,
9:39.0,,,34-32,2,A. Gordon makes 2-pt shot at rim (assist by W. Green)
9:15.0,J. Meeks misses 2-pt shot from 12 ft,,34-32,,
9:13.0,,,34-32,,Defensive rebound by M. Harkless
8:58.0,,,34-34,2,A. Gordon makes 2-pt shot from 1 ft (assist by W. Green)
8:39.0,S. Dinwiddie misses 3-pt shot from 27 ft,,34-34,,
8:37.0,Offensive rebound by T. Prince,,34-34,,
8:31.0,S. Williams misses 2-pt shot from 16 ft,,34-34,,
8:30.0,,,34-34,,Defensive rebound by L. Ridnour
8:23.0,,,34-34,,Offensive foul by C. Frye
8:23.0,,,34-34,,Turnover by C. Frye (offensive foul)
8:23.0,Official timeout,,34-34,,
8:06.0,S. Dinwiddie misses 2-pt shot from 13 ft,,34-34,,
8:05.0,Offensive rebound by Team,,34-34,,
7:58.0,J. Meeks makes 2-pt shot from 22 ft (assist by S. Dinwiddie),2,36-34,,
7:34.0,,,36-34,,Turnover by C. Frye (lost ball; steal by S. Dinwiddie)
7:22.0,S. Williams misses 2-pt shot from 15 ft,,36-34,,
7:20.0,Offensive rebound by T. Prince,,36-34,,
7:18.0,T. Prince makes 2-pt shot from 10 ft,2,38-34,,
7:18.0,Shooting foul by M. Harkless (drawn by T. Prince),,38-34,,
7:18.0,T. Prince makes free throw 1 of 1,1,39-34,,
7:05.0,,,39-34,,W. Green misses 2-pt shot from 19 ft
7:04.0,Defensive rebound by S. Dinwiddie,,39-34,,
6:59.0,Offensive foul by J. Anthony,,39-34,,
6:59.0,Turnover by J. Anthony (offensive foul),,39-34,,
6:36.0,,,39-34,,C. Frye misses 3-pt shot from 22 ft
6:35.0,Defensive rebound by T. Prince,,39-34,,
6:26.0,J. Meeks misses 3-pt shot from 26 ft,,39-34,,
6:25.0,,,39-34,,Defensive rebound by M. Harkless
6:18.0,,,39-36,2,L. Ridnour makes 2-pt shot from 20 ft
5:58.0,S. Dinwiddie misses 2-pt shot from 18 ft,,39-36,,
5:56.0,,,39-36,,Defensive rebound by C. Frye
5:49.0,,,39-36,,Turnover by W. Green (bad pass; steal by T. Prince)
5:48.0,Shooting foul by L. Ridnour (drawn by S. Dinwiddie),,39-36,,
5:48.0,,,39-36,,Orlando full timeout
5:48.0,,,39-36,,V. Oladipo enters the game for W. Green
5:48.0,,,39-36,,E. Payton enters the game for M. Harkless
5:48.0,,,39-36,,N. Vucevic enters the game for C. Frye
5:48.0,S. Dinwiddie makes free throw 1 of 2,1,40-36,,
5:48.0,S. Dinwiddie makes free throw 2 of 2,1,41-36,,
5:34.0,,,41-36,,Turnover by V. Oladipo (bad pass; steal by J. Anthony)
5:21.0,,,41-36,,Personal foul by A. Gordon (drawn by S. Dinwiddie)
5:21.0,,,41-36,,T. Harris enters the game for A. Gordon
5:13.0,T. Prince makes 2-pt shot from 11 ft (assist by S. Dinwiddie),2,43-36,,
5:03.0,,,43-36,,N. Vucevic misses 2-pt shot from 14 ft
5:02.0,Defensive rebound by T. Prince,,43-36,,
4:47.0,S. Williams misses 2-pt shot at rim,,43-36,,
4:45.0,,,43-36,,Defensive rebound by E. Payton
4:39.0,,,43-39,3,V. Oladipo makes 3-pt shot from 25 ft (assist by E. Payton)
4:17.0,T. Prince makes 2-pt shot from 19 ft,2,45-39,,
4:04.0,,,45-41,2,E. Payton makes 2-pt shot at rim
4:04.0,,,45-41,,Shooting foul by J. Meeks (drawn by E. Payton)
4:04.0,A. Tolliver enters the game for S. Williams,,45-41,,
4:04.0,A. Drummond enters the game for J. Anthony,,45-41,,
4:04.0,,,45-41,,A. Nicholson enters the game for L. Ridnour
4:04.0,,,45-42,1,E. Payton makes free throw 1 of 1
3:44.0,T. Prince makes 3-pt shot from 23 ft (assist by S. Dinwiddie),3,48-42,,
3:35.0,,,48-44,2,A. Nicholson makes 2-pt shot from 19 ft (assist by E. Payton)
3:19.0,S. Dinwiddie makes 2-pt shot from 17 ft,2,50-44,,
3:07.0,Personal foul by S. Dinwiddie (drawn by E. Payton),,50-44,,
3:07.0,R. Jackson enters the game for S. Dinwiddie,,50-44,,
3:07.0,K. Caldwell-Pope enters the game for J. Meeks,,50-44,,
3:00.0,,,50-44,,A. Nicholson misses 2-pt shot from 19 ft
2:58.0,,,50-44,,Offensive rebound by N. Vucevic
2:48.0,,,50-44,,N. Vucevic misses 2-pt shot from 7 ft
2:46.0,Defensive rebound by R. Jackson,,50-44,,
2:36.0,A. Drummond misses 2-pt shot from 1 ft,,50-44,,
2:33.0,Offensive rebound by A. Drummond,,50-44,,
2:33.0,A. Drummond makes 2-pt shot at rim,2,52-44,,
2:33.0,,,52-44,,Orlando full timeout
2:33.0,Detroit full timeout,,52-44,,
2:16.0,,,52-46,2,N. Vucevic makes 2-pt shot at rim (assist by A. Nicholson)
2:00.0,K. Caldwell-Pope misses 2-pt shot from 9 ft,,52-46,,
1:59.0,Offensive rebound by K. Caldwell-Pope,,52-46,,
1:57.0,K. Caldwell-Pope misses 2-pt shot from 6 ft,,52-46,,
1:57.0,Offensive rebound by Team,,52-46,,
1:50.0,R. Jackson misses 2-pt shot from 6 ft,,52-46,,
1:49.0,,,52-46,,Defensive rebound by N. Vucevic
1:42.0,Personal foul by A. Drummond (drawn by N. Vucevic),,52-46,,
1:42.0,J. Anthony enters the game for A. Drummond,,52-46,,
1:29.0,,,52-48,2,V. Oladipo makes 2-pt shot at rim
1:29.0,,,52-48,,Shooting foul by K. Caldwell-Pope (drawn by V. Oladipo)
1:29.0,,,52-49,1,V. Oladipo makes free throw 1 of 1
1:05.0,T. Prince makes 2-pt shot from 13 ft,2,54-49,,
0:44.0,,,54-51,2,T. Harris makes 2-pt shot from 17 ft (assist by N. Vucevic)
0:33.0,T. Prince misses 2-pt shot from 19 ft,,54-51,,
0:32.0,,,54-51,,Defensive rebound by N. Vucevic
0:25.0,,,54-53,2,A. Nicholson makes 2-pt shot from 5 ft (assist by E. Payton)
0:05.0,R. Jackson misses 2-pt shot from 1 ft,,54-53,,
0:04.0,,,54-53,,Defensive rebound by N. Vucevic
0:02.0,,,54-53,,Turnover by N. Vucevic (bad pass; steal by K. Caldwell-Pope)
0:01.0,K. Caldwell-Pope misses 2-pt shot from 1 ft (block by V. Oladipo),,54-53,,
0:00.0,Offensive rebound by Team,,54-53,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:35.0,Turnover by Team (shot clock),,54-53,,
11:24.0,,,54-53,,E. Payton misses 2-pt shot from 9 ft
11:23.0,,,54-53,,Offensive rebound by N. Vucevic
11:11.0,,,54-55,2,N. Vucevic makes 2-pt shot from 17 ft (assist by V. Oladipo)
10:54.0,A. Drummond makes 2-pt shot from 1 ft,2,56-55,,
10:54.0,Shooting foul by N. Vucevic (drawn by A. Drummond),,56-55,,
10:54.0,A. Drummond misses free throw 1 of 1,,56-55,,
10:52.0,,,56-55,,Defensive rebound by T. Harris
10:39.0,,,56-57,2,V. Oladipo makes 2-pt shot at rim
10:29.0,A. Tolliver makes 3-pt shot from 28 ft (assist by R. Jackson),3,59-57,,
9:58.0,,,59-57,,T. Harris misses 3-pt shot from 28 ft
9:57.0,,,59-57,,Offensive rebound by E. Payton
9:50.0,,,59-57,,T. Harris misses 2-pt shot from 4 ft (block by A. Drummond)
9:48.0,Defensive rebound by R. Jackson,,59-57,,
9:29.0,R. Jackson makes 2-pt shot at rim,2,61-57,,
9:03.0,,,61-57,,Turnover by Team (shot clock)
8:51.0,,,61-57,,Personal foul by A. Nicholson (drawn by K. Caldwell-Pope)
8:47.0,Shooting foul by N. Vucevic (drawn by R. Jackson),,61-57,,
8:47.0,R. Jackson makes 2-pt shot at rim,2,63-57,,
8:47.0,R. Jackson misses free throw 1 of 1,,63-57,,
8:46.0,,,63-57,,Defensive rebound by N. Vucevic
8:36.0,,,63-57,,A. Nicholson misses 3-pt shot from 26 ft
8:35.0,Defensive rebound by R. Jackson,,63-57,,
8:22.0,R. Jackson misses 2-pt shot from 2 ft,,63-57,,
8:20.0,,,63-57,,Defensive rebound by N. Vucevic
8:17.0,,,63-57,,Offensive charge foul by E. Payton
8:17.0,,,63-57,,Turnover by E. Payton (offensive foul)
8:00.0,K. Caldwell-Pope misses 2-pt shot at rim,,63-57,,
7:57.0,,,63-57,,Defensive rebound by N. Vucevic
7:50.0,,,63-59,2,E. Payton makes 2-pt shot from 4 ft (assist by V. Oladipo)
7:30.0,A. Tolliver misses 3-pt shot from 26 ft,,63-59,,
7:28.0,Offensive rebound by Team,,63-59,,
7:21.0,K. Caldwell-Pope makes 2-pt shot at rim (assist by R. Jackson),2,65-59,,
7:05.0,,,65-61,2,N. Vucevic makes 2-pt shot from 9 ft (assist by V. Oladipo)
6:49.0,R. Jackson makes 2-pt shot from 1 ft,2,67-61,,
6:32.0,,,67-61,,Shooting foul by A. Drummond (drawn by V. Oladipo)
6:32.0,,,67-62,1,V. Oladipo makes free throw 1 of 2
6:32.0,,,67-63,1,V. Oladipo makes free throw 2 of 2
6:22.0,Shooting foul by V. Oladipo (drawn by R. Jackson),,67-63,,
6:22.0,R. Jackson misses free throw 1 of 2,,67-63,,
6:22.0,Offensive rebound by Team,,67-63,,
6:22.0,R. Jackson makes free throw 2 of 2,1,68-63,,
6:08.0,,,68-63,,V. Oladipo misses 2-pt shot from 18 ft
6:07.0,Defensive rebound by C. Butler,,68-63,,
5:58.0,R. Jackson makes 2-pt shot at rim (assist by A. Tolliver),2,70-63,,
5:58.0,,,70-63,,Orlando full timeout
5:58.0,,,70-63,,W. Green enters the game for A. Nicholson
5:58.0,,,70-63,,L. Ridnour enters the game for E. Payton
5:49.0,,,70-63,,T. Harris misses 2-pt shot from 14 ft
5:47.0,,,70-63,,Offensive rebound by N. Vucevic
5:47.0,,,70-63,,N. Vucevic misses 2-pt shot from 1 ft
5:45.0,,,70-63,,Offensive rebound by T. Harris
5:37.0,,,70-63,,V. Oladipo misses 3-pt shot from 25 ft
5:35.0,Defensive rebound by A. Drummond,,70-63,,
5:29.0,R. Jackson makes 2-pt shot from 1 ft,2,72-63,,
5:16.0,,,72-65,2,N. Vucevic makes 2-pt shot from 6 ft (assist by L. Ridnour)
5:02.0,,,72-65,,A. Gordon enters the game for T. Harris
4:50.0,A. Drummond makes 2-pt shot at rim (assist by R. Jackson),2,74-65,,
4:42.0,Personal foul by C. Butler (drawn by N. Vucevic),,74-65,,
4:42.0,J. Meeks enters the game for C. Butler,,74-65,,
4:29.0,,,74-67,2,V. Oladipo makes 2-pt shot from 1 ft (assist by A. Gordon)
4:19.0,,,74-67,,Personal foul by W. Green (drawn by R. Jackson)
4:19.0,R. Jackson makes free throw 1 of 2,1,75-67,,
4:19.0,R. Jackson makes free throw 2 of 2,1,76-67,,
4:06.0,,,76-70,3,L. Ridnour makes 3-pt shot from 23 ft (assist by V. Oladipo)
4:00.0,,,76-70,,Personal take foul by A. Gordon (drawn by A. Drummond)
4:00.0,A. Drummond misses free throw 1 of 2,,76-70,,
4:00.0,Offensive rebound by Team,,76-70,,
4:00.0,A. Drummond misses free throw 2 of 2,,76-70,,
3:59.0,,,76-70,,Defensive rebound by N. Vucevic
3:44.0,,,76-70,,Turnover by L. Ridnour (lost ball; steal by A. Drummond)
3:42.0,,,76-70,,Personal foul by L. Ridnour (drawn by R. Jackson)
3:42.0,R. Jackson makes free throw 1 of 2,1,77-70,,
3:42.0,R. Jackson makes free throw 2 of 2,1,78-70,,
3:26.0,,,78-70,,Offensive foul by V. Oladipo
3:26.0,,,78-70,,Turnover by V. Oladipo (offensive foul)
3:25.0,,,78-70,,Personal take foul by A. Gordon (drawn by A. Drummond)
3:25.0,A. Drummond makes free throw 1 of 2,1,79-70,,
3:25.0,A. Drummond makes free throw 2 of 2,1,80-70,,
3:13.0,,,80-70,,A. Gordon misses 2-pt shot from 14 ft
3:12.0,Defensive rebound by R. Jackson,,80-70,,
3:05.0,J. Meeks misses 2-pt shot from 2 ft,,80-70,,
3:04.0,,,80-70,,Defensive rebound by A. Gordon
2:59.0,,,80-70,,Turnover by A. Gordon (traveling)
2:59.0,Detroit full timeout,,80-70,,
2:59.0,T. Prince enters the game for A. Tolliver,,80-70,,
2:59.0,,,80-70,,A. Nicholson enters the game for N. Vucevic
2:59.0,,,80-70,,E. Payton enters the game for V. Oladipo
2:40.0,A. Drummond makes 2-pt shot at rim (assist by T. Prince),2,82-70,,
2:25.0,,,82-70,,A. Nicholson misses 3-pt shot from 23 ft
2:23.0,Defensive rebound by R. Jackson,,82-70,,
2:18.0,J. Meeks makes 3-pt shot from 26 ft (assist by R. Jackson),3,85-70,,
1:55.0,,,85-70,,L. Ridnour misses 3-pt shot from 25 ft
1:54.0,Defensive rebound by A. Drummond,,85-70,,
1:45.0,K. Caldwell-Pope misses 3-pt shot from 28 ft,,85-70,,
1:44.0,,,85-70,,Defensive rebound by A. Gordon
1:31.0,,,85-70,,E. Payton misses 2-pt shot from 4 ft
1:28.0,,,85-70,,Offensive rebound by A. Nicholson
1:28.0,,,85-72,2,A. Nicholson makes 2-pt shot from 1 ft
1:12.0,J. Meeks misses 3-pt shot from 27 ft,,85-72,,
1:10.0,,,85-72,,Defensive rebound by A. Gordon
1:00.0,,,85-74,2,W. Green makes 2-pt shot from 21 ft (assist by E. Payton)
0:46.0,,,85-74,,Personal foul by W. Green (drawn by R. Jackson)
0:46.0,R. Jackson makes free throw 1 of 2,1,86-74,,
0:46.0,J. Anthony enters the game for A. Drummond,,86-74,,
0:46.0,R. Jackson makes free throw 2 of 2,1,87-74,,
0:36.0,,,87-76,2,W. Green makes 2-pt shot from 1 ft (assist by E. Payton)
0:23.0,R. Jackson misses 2-pt shot from 6 ft,,87-76,,
0:21.0,Offensive rebound by R. Jackson,,87-76,,
0:00.0,T. Prince misses 2-pt shot from 19 ft,,87-76,,
0:00.0,Offensive rebound by Team,,87-76,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:47.0,,,87-76,,T. Harris misses 2-pt shot from 4 ft
11:44.0,Defensive rebound by K. Caldwell-Pope,,87-76,,
11:33.0,J. Anthony misses 2-pt shot from 8 ft,,87-76,,
11:32.0,Offensive rebound by T. Prince,,87-76,,
11:32.0,T. Prince misses 2-pt shot from 2 ft,,87-76,,
11:31.0,,,87-76,,Defensive rebound by C. Frye
11:19.0,,,87-78,2,T. Harris makes 2-pt shot at rim (assist by E. Payton)
10:54.0,T. Prince makes 2-pt shot from 1 ft (assist by S. Dinwiddie),2,89-78,,
10:36.0,,,89-78,,Turnover by W. Green (bad pass; steal by S. Dinwiddie)
10:24.0,K. Caldwell-Pope misses 2-pt shot from 7 ft,,89-78,,
10:20.0,,,89-78,,Defensive rebound by W. Green
10:16.0,,,89-78,,Offensive foul by C. Frye
10:16.0,,,89-78,,Turnover by C. Frye (offensive foul)
9:56.0,Shooting foul by E. Payton (drawn by K. Caldwell-Pope),,89-78,,
9:56.0,K. Caldwell-Pope makes free throw 1 of 2,1,90-78,,
9:56.0,K. Caldwell-Pope makes free throw 2 of 2,1,91-78,,
9:51.0,Personal foul by J. Anthony (drawn by C. Frye),,91-78,,
9:45.0,,,91-80,2,E. Payton makes 2-pt shot at rim
9:29.0,J. Meeks makes 2-pt shot from 1 ft,2,93-80,,
9:29.0,Shooting foul by L. Ridnour (drawn by J. Meeks),,93-80,,
9:29.0,J. Meeks makes free throw 1 of 1,1,94-80,,
9:19.0,,,94-82,2,T. Harris makes 2-pt shot from 1 ft (assist by C. Frye)
8:54.0,T. Prince makes 2-pt shot from 15 ft,2,96-82,,
8:47.0,Personal foul by S. Dinwiddie (drawn by E. Payton),,96-82,,
8:47.0,Official timeout,,96-82,,
8:47.0,,,96-82,,V. Oladipo enters the game for L. Ridnour
8:47.0,,,96-82,,A. Gordon enters the game for C. Frye
8:35.0,,,96-82,,W. Green misses 3-pt shot from 23 ft
8:35.0,Defensive rebound by Team,,96-82,,
8:35.0,,,96-82,,Loose ball foul by A. Gordon (drawn by J. Anthony)
8:18.0,Shooting foul by W. Green (drawn by J. Meeks),,96-82,,
8:18.0,J. Meeks makes free throw 1 of 2,1,97-82,,
8:18.0,J. Meeks makes free throw 2 of 2,1,98-82,,
8:00.0,,,98-84,2,T. Harris makes 2-pt shot at rim (assist by E. Payton)
7:36.0,T. Prince makes 2-pt shot from 8 ft,2,100-84,,
7:13.0,,,100-84,,W. Green misses 3-pt shot from 23 ft
7:11.0,Defensive rebound by S. Dinwiddie,,100-84,,
6:47.0,Turnover by Team (shot clock),,100-84,,
6:30.0,,,100-84,,A. Gordon misses 2-pt shot from 20 ft
6:28.0,,,100-84,,Offensive rebound by W. Green
6:26.0,,,100-84,,Turnover by W. Green (lost ball; steal by K. Caldwell-Pope)
6:21.0,K. Caldwell-Pope misses 2-pt shot from 1 ft,,100-84,,
6:21.0,,,100-84,,Defensive rebound by Team
6:21.0,,,100-84,,Orlando full timeout
6:21.0,,,100-84,,N. Vucevic enters the game for W. Green
6:21.0,,,100-84,,A. Nicholson enters the game for A. Gordon
6:21.0,A. Tolliver enters the game for K. Caldwell-Pope,,100-84,,
6:04.0,,,100-86,2,T. Harris makes 2-pt shot from 1 ft (assist by A. Nicholson)
6:04.0,,,100-86,,Shooting foul by A. Tolliver (drawn by T. Harris)
6:04.0,,,100-87,1,T. Harris makes free throw 1 of 1
5:50.0,Shooting foul by V. Oladipo (drawn by S. Dinwiddie),,100-87,,
5:50.0,S. Dinwiddie misses free throw 1 of 2,,100-87,,
5:50.0,Offensive rebound by Team,,100-87,,
5:50.0,S. Dinwiddie makes free throw 2 of 2,1,101-87,,
5:38.0,,,101-87,,V. Oladipo misses 2-pt shot from 2 ft (block by J. Anthony)
5:35.0,,,101-87,,Offensive rebound by T. Harris
5:29.0,,,101-89,2,T. Harris makes 2-pt shot from 4 ft
5:08.0,S. Dinwiddie misses 2-pt shot from 9 ft,,101-89,,
5:06.0,,,101-89,,Defensive rebound by V. Oladipo
5:02.0,,,101-89,,V. Oladipo misses 2-pt shot at rim (block by J. Anthony)
4:59.0,Defensive rebound by J. Meeks,,101-89,,
4:53.0,J. Meeks makes 2-pt shot from 11 ft (assist by S. Dinwiddie),2,103-89,,
4:40.0,,,103-89,,E. Payton misses 2-pt shot from 1 ft (block by J. Anthony)
4:37.0,Defensive rebound by A. Tolliver,,103-89,,
4:22.0,T. Prince makes 2-pt shot from 16 ft,2,105-89,,
4:07.0,,,105-89,,T. Harris misses 2-pt shot from 1 ft (block by J. Anthony)
4:05.0,Defensive rebound by T. Prince,,105-89,,
4:04.0,,,105-89,,Personal take foul by E. Payton (drawn by T. Prince)
4:04.0,T. Prince makes free throw 1 of 2,1,106-89,,
4:04.0,R. Jackson enters the game for S. Dinwiddie,,106-89,,
4:04.0,K. Caldwell-Pope enters the game for J. Meeks,,106-89,,
4:04.0,T. Prince misses free throw 2 of 2,,106-89,,
4:03.0,Offensive rebound by T. Prince,,106-89,,
3:44.0,T. Prince misses 2-pt shot from 16 ft,,106-89,,
3:43.0,,,106-89,,Defensive rebound by E. Payton
3:35.0,,,106-91,2,N. Vucevic makes 2-pt shot from 14 ft (assist by E. Payton)
3:20.0,R. Jackson makes 2-pt shot from 17 ft,2,108-91,,
3:02.0,,,108-93,2,N. Vucevic makes 2-pt shot from 16 ft (assist by A. Nicholson)
2:46.0,K. Caldwell-Pope misses 3-pt shot from 26 ft,,108-93,,
2:45.0,,,108-93,,Defensive rebound by T. Harris
2:34.0,,,108-93,,N. Vucevic misses 2-pt shot from 9 ft
2:33.0,Defensive rebound by K. Caldwell-Pope,,108-93,,
2:24.0,K. Caldwell-Pope misses 3-pt shot from 27 ft,,108-93,,
2:24.0,,,108-93,,Defensive rebound by E. Payton
2:24.0,,,108-93,,Orlando full timeout
2:14.0,,,108-93,,Shooting foul by J. Anthony (drawn by T. Harris)
2:14.0,,,108-94,1,T. Harris makes free throw 1 of 2
2:14.0,,,108-95,1,T. Harris makes free throw 2 of 2
1:55.0,K. Caldwell-Pope misses 2-pt shot from 20 ft,,108-95,,
1:54.0,,,108-95,,Defensive rebound by N. Vucevic
1:42.0,,,108-95,,N. Vucevic misses 2-pt shot from 8 ft
1:41.0,Defensive rebound by A. Tolliver,,108-95,,
1:30.0,J. Anthony makes 2-pt shot from 1 ft (assist by R. Jackson),2,110-95,,
1:30.0,Shooting foul by N. Vucevic (drawn by J. Anthony),,110-95,,
1:30.0,J. Anthony makes free throw 1 of 1,1,111-95,,
1:22.0,,,111-97,2,V. Oladipo makes 2-pt shot from 18 ft
1:04.0,R. Jackson misses 2-pt shot at rim,,111-97,,
