time,LA Clippers,pts.away,score,pts.home,Orlando
4:14.0,,,18-12,3,C. Frye makes 3-pt shot from 26 ft (assist by N. Vucevic)
4:06.0,B. Griffin misses 2-pt shot at rim,,18-12,,
4:05.0,,,18-12,,Defensive rebound by N. Vucevic
3:56.0,,,18-12,,V. Oladipo misses 2-pt shot at rim
3:55.0,,,18-12,,Offensive rebound by N. Vucevic
3:53.0,,,18-12,,Turnover by N. Vucevic (bad pass; steal by C. Paul)
3:46.0,C. Paul misses 3-pt shot from 25 ft,,18-12,,
3:45.0,,,18-12,,Defensive rebound by N. Vucevic
3:33.0,,,18-14,2,N. Vucevic makes 2-pt shot from 18 ft (assist by V. Oladipo)
3:16.0,J. Crawford makes 2-pt shot from 20 ft (assist by B. Griffin),2,20-14,,
2:52.0,,,20-14,,Orlando full timeout
2:52.0,S. Hawes enters the game for D. Jordan,,20-14,,
2:49.0,,,20-14,,Turnover by Team (shot clock)
2:29.0,S. Hawes misses 2-pt shot from 9 ft,,20-14,,
2:28.0,,,20-14,,Defensive rebound by N. Vucevic
2:06.0,,,20-16,2,N. Vucevic makes 2-pt shot from 9 ft
1:53.0,J. Crawford makes 2-pt shot from 21 ft,2,22-16,,
1:40.0,,,22-18,2,N. Vucevic makes 2-pt shot from 9 ft (assist by V. Oladipo)
1:24.0,J. Crawford makes 2-pt shot from 20 ft,2,24-18,,
1:05.0,,,24-18,,N. Vucevic misses 2-pt shot from 19 ft
1:04.0,Defensive rebound by C. Paul,,24-18,,
0:55.0,J. Crawford misses 2-pt shot from 9 ft,,24-18,,
0:54.0,,,24-18,,Defensive rebound by N. Vucevic
0:45.0,,,24-20,2,N. Vucevic makes 2-pt shot from 2 ft (assist by L. Ridnour)
0:33.0,B. Griffin misses 2-pt shot from 2 ft,,24-20,,
0:31.0,,,24-20,,Defensive rebound by C. Frye
0:26.0,,,24-20,,C. Frye misses 3-pt shot from 26 ft
0:24.0,Defensive rebound by J. Crawford,,24-20,,
0:04.0,C. Paul makes 2-pt shot from 1 ft,2,26-20,,
0:00.0,,,26-23,3,M. Harkless makes 3-pt shot from 25 ft (assist by L. Ridnour)
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,Personal foul by G. Davis (drawn by T. Harris),,26-23,,
11:39.0,,,26-25,2,A. Nicholson makes 2-pt shot from 19 ft (assist by E. Payton)
11:27.0,,,26-25,,Personal foul by W. Green (drawn by J. Crawford)
11:16.0,Shooting foul by W. Green (drawn by S. Hawes),,26-25,,
11:16.0,S. Hawes makes free throw 1 of 2,1,27-25,,
11:16.0,S. Hawes makes free throw 2 of 2,1,28-25,,
11:03.0,,,28-25,,T. Harris misses 2-pt shot from 7 ft
11:01.0,,,28-25,,Offensive rebound by A. Nicholson
11:01.0,,,28-25,,A. Nicholson misses 2-pt shot from 1 ft
10:59.0,Defensive rebound by S. Hawes,,28-25,,
10:37.0,J. Farmar misses 2-pt shot from 19 ft,,28-25,,
10:36.0,,,28-25,,Defensive rebound by M. Harkless
10:30.0,,,28-25,,W. Green misses 2-pt shot from 2 ft (block by J. Crawford)
10:30.0,Defensive rebound by Team,,28-25,,
10:05.0,G. Davis makes 2-pt shot from 10 ft,2,30-25,,
9:50.0,,,30-25,,Turnover by E. Payton (bad pass; steal by H. Turkoglu)
9:39.0,J. Crawford misses 2-pt shot from 19 ft,,30-25,,
9:38.0,,,30-25,,Defensive rebound by E. Payton
9:29.0,,,30-25,,W. Green misses 3-pt shot from 25 ft
9:28.0,Defensive rebound by S. Hawes,,30-25,,
9:10.0,J. Farmar makes 2-pt shot from 1 ft,2,32-25,,
9:02.0,,,32-25,,Orlando full timeout
8:58.0,Personal foul by J. Farmar (drawn by E. Payton),,32-25,,
8:52.0,Loose ball foul by G. Davis (drawn by T. Harris),,32-25,,
8:43.0,,,32-25,,M. Harkless misses 3-pt shot from 25 ft
8:42.0,Defensive rebound by S. Hawes,,32-25,,
8:29.0,,,32-25,,Personal foul by T. Harris (drawn by S. Hawes)
8:17.0,H. Turkoglu makes 3-pt shot from 24 ft (assist by J. Farmar),3,35-25,,
7:56.0,,,35-25,,T. Harris misses 2-pt shot from 20 ft
7:54.0,Defensive rebound by S. Hawes,,35-25,,
7:43.0,S. Hawes misses 3-pt shot from 26 ft,,35-25,,
7:42.0,,,35-25,,Defensive rebound by E. Payton
7:34.0,,,35-27,2,A. Nicholson makes 2-pt shot at rim (assist by E. Payton)
7:17.0,J. Farmar makes 3-pt shot from 26 ft,3,38-27,,
7:02.0,Violation by S. Hawes (kicked ball),,38-27,,
7:02.0,D. Jordan enters the game for G. Davis,,38-27,,
6:56.0,,,38-27,,E. Payton misses 2-pt shot from 6 ft (block by S. Hawes)
6:54.0,,,38-27,,Offensive rebound by E. Payton
6:52.0,,,38-29,2,T. Harris makes 2-pt shot at rim (assist by E. Payton)
6:34.0,,,38-29,,Personal foul by M. Harkless (drawn by H. Turkoglu)
6:34.0,,,38-29,,C. Frye enters the game for A. Nicholson
6:34.0,,,38-29,,V. Oladipo enters the game for W. Green
6:34.0,,,38-29,,N. Vucevic enters the game for E. Payton
6:27.0,J. Crawford misses 2-pt shot from 13 ft,,38-29,,
6:26.0,,,38-29,,Defensive rebound by N. Vucevic
6:12.0,,,38-29,,Shooting foul by D. Jordan (drawn by N. Vucevic)
6:12.0,,,38-30,1,N. Vucevic makes free throw 1 of 2
6:12.0,B. Griffin enters the game for S. Hawes,,38-30,,
6:12.0,C. Paul enters the game for J. Farmar,,38-30,,
6:12.0,,,38-31,1,N. Vucevic makes free throw 2 of 2
5:55.0,B. Griffin misses 2-pt shot from 16 ft,,38-31,,
5:53.0,,,38-31,,Defensive rebound by C. Frye
5:43.0,,,38-31,,Shooting foul by J. Crawford (drawn by T. Harris)
5:43.0,Official timeout,,38-31,,
5:43.0,M. Barnes enters the game for H. Turkoglu,,38-31,,
5:43.0,,,38-32,1,T. Harris makes free throw 1 of 2
5:43.0,,,38-33,1,T. Harris makes free throw 2 of 2
5:34.0,Shooting foul by M. Harkless (drawn by J. Crawford),,38-33,,
5:34.0,J. Crawford makes free throw 1 of 2,1,39-33,,
5:34.0,J. Crawford makes free throw 2 of 2,1,40-33,,
5:15.0,,,40-36,3,C. Frye makes 3-pt shot from 25 ft (assist by N. Vucevic)
5:01.0,B. Griffin makes 2-pt shot from 1 ft,2,42-36,,
5:01.0,,,42-36,,Shooting block foul by V. Oladipo (drawn by B. Griffin)
5:01.0,J. Redick enters the game for J. Crawford,,42-36,,
5:01.0,B. Griffin makes free throw 1 of 1,1,43-36,,
4:46.0,,,43-36,,M. Harkless misses 3-pt shot from 24 ft
4:45.0,Defensive rebound by B. Griffin,,43-36,,
4:32.0,M. Barnes makes 3-pt shot from 25 ft (assist by C. Paul),3,46-36,,
4:11.0,,,46-36,,M. Harkless misses 2-pt shot from 8 ft
4:10.0,,,46-36,,Offensive rebound by V. Oladipo
4:08.0,,,46-38,2,V. Oladipo makes 2-pt shot from 2 ft
3:53.0,Turnover by J. Redick (lost ball; steal by T. Harris),,46-38,,
3:53.0,,,46-38,,Shooting foul by M. Barnes (drawn by T. Harris)
3:53.0,,,46-39,1,T. Harris makes free throw 1 of 2
3:53.0,,,46-40,1,T. Harris makes free throw 2 of 2
3:30.0,M. Barnes misses 3-pt shot from 25 ft,,46-40,,
3:29.0,Offensive rebound by Team,,46-40,,
3:29.0,,,46-40,,Personal foul by N. Vucevic (drawn by D. Jordan)
3:29.0,D. Jordan misses free throw 1 of 2,,46-40,,
3:29.0,Offensive rebound by Team,,46-40,,
3:29.0,D. Jordan misses free throw 2 of 2,,46-40,,
3:28.0,,,46-40,,Defensive rebound by N. Vucevic
3:06.0,,,46-40,,N. Vucevic misses 2-pt shot from 7 ft
3:05.0,Defensive rebound by D. Jordan,,46-40,,
3:00.0,Shooting foul by C. Frye (drawn by M. Barnes),,46-40,,
3:00.0,M. Barnes makes free throw 1 of 2,1,47-40,,
3:00.0,M. Barnes makes free throw 2 of 2,1,48-40,,
2:45.0,,,48-43,3,C. Frye makes 3-pt shot from 25 ft (assist by V. Oladipo)
2:21.0,B. Griffin makes 2-pt shot at rim (assist by C. Paul),2,50-43,,
2:07.0,,,50-45,2,T. Harris makes 2-pt shot from 14 ft
1:59.0,C. Paul misses 2-pt shot from 16 ft,,50-45,,
1:58.0,,,50-45,,Defensive rebound by N. Vucevic
1:52.0,,,50-45,,Offensive charge foul by V. Oladipo
1:52.0,,,50-45,,Turnover by V. Oladipo (offensive foul)
1:52.0,LA Clippers full timeout,,50-45,,
1:52.0,J. Crawford enters the game for M. Barnes,,50-45,,
1:52.0,S. Hawes enters the game for D. Jordan,,50-45,,
1:52.0,,,50-45,,E. Payton enters the game for V. Oladipo
1:37.0,B. Griffin makes 2-pt shot from 2 ft (assist by C. Paul),2,52-45,,
1:27.0,Personal foul by S. Hawes (drawn by N. Vucevic),,52-45,,
1:27.0,,,52-45,,N. Vucevic misses free throw 1 of 2
1:27.0,,,52-45,,Offensive rebound by Team
1:27.0,,,52-46,1,N. Vucevic makes free throw 2 of 2
1:16.0,B. Griffin misses 2-pt shot from 19 ft,,52-46,,
1:14.0,,,52-46,,Defensive rebound by N. Vucevic
1:00.0,,,52-46,,E. Payton misses 2-pt shot from 9 ft
0:58.0,Defensive rebound by B. Griffin,,52-46,,
0:49.0,Turnover by C. Paul (bad pass; steal by C. Frye),,52-46,,
0:40.0,,,52-46,,T. Harris misses 2-pt shot from 1 ft
0:38.0,,,52-46,,Offensive rebound by E. Payton
0:37.0,,,52-46,,E. Payton misses 2-pt shot from 1 ft
0:34.0,,,52-46,,Offensive rebound by E. Payton
0:33.0,,,52-48,2,T. Harris makes 2-pt shot at rim (assist by E. Payton)
0:17.0,J. Crawford makes 2-pt shot from 11 ft,2,54-48,,
0:07.0,,,54-48,,T. Harris misses 2-pt shot from 7 ft
0:04.0,Defensive rebound by S. Hawes,,54-48,,
0:01.0,Shooting foul by M. Harkless (drawn by J. Crawford),,54-48,,
0:01.0,J. Crawford makes free throw 1 of 2,1,55-48,,
0:01.0,M. Barnes enters the game for J. Redick,,55-48,,
0:01.0,J. Crawford makes free throw 2 of 2,1,56-48,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:42.0,,,56-50,2,T. Harris makes 2-pt shot from 5 ft
11:21.0,Turnover by C. Paul (bad pass; steal by N. Vucevic),,56-50,,
11:02.0,,,56-50,,V. Oladipo misses 2-pt shot from 19 ft
10:59.0,Defensive rebound by D. Jordan,,56-50,,
10:50.0,C. Paul makes 2-pt shot from 18 ft,2,58-50,,
10:27.0,,,58-52,2,N. Vucevic makes 2-pt shot from 12 ft (assist by C. Frye)
10:16.0,B. Griffin misses 2-pt shot from 17 ft,,58-52,,
10:15.0,,,58-52,,Defensive rebound by N. Vucevic
10:02.0,,,58-52,,Turnover by N. Vucevic (lost ball)
9:38.0,B. Griffin misses 2-pt shot from 19 ft,,58-52,,
9:37.0,,,58-52,,Defensive rebound by W. Green
9:21.0,,,58-52,,C. Frye misses 3-pt shot from 25 ft
9:20.0,Defensive rebound by D. Jordan,,58-52,,
9:08.0,C. Paul makes 2-pt shot from 18 ft,2,60-52,,
8:55.0,,,60-52,,V. Oladipo misses 2-pt shot from 2 ft
8:54.0,Defensive rebound by C. Paul,,60-52,,
8:54.0,,,60-52,,Personal foul by W. Green (drawn by C. Paul)
8:41.0,C. Paul misses 2-pt shot from 18 ft,,60-52,,
8:40.0,,,60-52,,Defensive rebound by C. Frye
8:26.0,,,60-52,,W. Green misses 3-pt shot from 24 ft
8:25.0,Defensive rebound by M. Barnes,,60-52,,
8:15.0,C. Paul misses 2-pt shot from 18 ft,,60-52,,
8:14.0,,,60-52,,Defensive rebound by C. Frye
8:10.0,,,60-52,,Turnover by V. Oladipo (lost ball; steal by C. Paul)
8:00.0,J. Redick misses 2-pt shot from 16 ft,,60-52,,
7:58.0,Offensive rebound by C. Paul,,60-52,,
7:50.0,D. Jordan makes 2-pt shot at rim (assist by C. Paul),2,62-52,,
7:29.0,,,62-52,,V. Oladipo misses 3-pt shot from 23 ft
7:29.0,,,62-52,,Offensive rebound by Team
7:29.0,Loose ball foul by C. Paul (drawn by T. Harris),,62-52,,
7:10.0,,,62-52,,Shooting foul by M. Barnes (drawn by T. Harris)
7:10.0,,,62-53,1,T. Harris makes free throw 1 of 3
7:10.0,,,62-54,1,T. Harris makes free throw 2 of 3
7:10.0,,,62-55,1,T. Harris makes free throw 3 of 3
7:02.0,J. Redick misses 3-pt shot from 26 ft,,62-55,,
7:00.0,,,62-55,,Defensive rebound by C. Frye
6:52.0,,,62-55,,Turnover by C. Frye (bad pass; steal by M. Barnes)
6:49.0,,,62-55,,Shooting block foul by C. Frye (drawn by B. Griffin)
6:49.0,B. Griffin makes free throw 1 of 2,1,63-55,,
6:49.0,B. Griffin misses free throw 2 of 2,,63-55,,
6:48.0,,,63-55,,Defensive rebound by T. Harris
6:35.0,Loose ball foul by B. Griffin (drawn by N. Vucevic),,63-55,,
6:25.0,,,63-55,,V. Oladipo misses 2-pt shot from 20 ft
6:24.0,Defensive rebound by M. Barnes,,63-55,,
6:15.0,B. Griffin misses 2-pt shot from 19 ft,,63-55,,
6:13.0,,,63-55,,Defensive rebound by V. Oladipo
6:07.0,,,63-55,,Shooting foul by M. Barnes (drawn by V. Oladipo)
6:07.0,,,63-56,1,V. Oladipo makes free throw 1 of 2
6:07.0,,,63-56,,V. Oladipo misses free throw 2 of 2
6:05.0,Defensive rebound by B. Griffin,,63-56,,
5:56.0,,,63-56,,Orlando full timeout
5:53.0,Turnover by B. Griffin (bad pass; steal by V. Oladipo),,63-56,,
5:50.0,,,63-58,2,V. Oladipo makes 2-pt shot at rim
5:34.0,,,63-58,,Personal foul by W. Green (drawn by J. Redick)
5:34.0,,,63-58,,L. Ridnour enters the game for W. Green
5:23.0,B. Griffin makes 2-pt shot from 9 ft,2,65-58,,
5:05.0,,,65-60,2,N. Vucevic makes 2-pt shot at rim (assist by T. Harris)
4:53.0,C. Paul makes 2-pt shot from 13 ft,2,67-60,,
4:36.0,,,67-60,,N. Vucevic misses 2-pt shot from 16 ft
4:35.0,Defensive rebound by D. Jordan,,67-60,,
4:25.0,B. Griffin makes 2-pt shot from 19 ft (assist by C. Paul),2,69-60,,
4:04.0,,,69-63,3,T. Harris makes 3-pt shot from 24 ft (assist by L. Ridnour)
3:40.0,M. Barnes misses 3-pt shot from 23 ft,,69-63,,
3:39.0,,,69-63,,Defensive rebound by V. Oladipo
3:29.0,,,69-63,,Turnover by V. Oladipo (lost ball)
3:29.0,J. Crawford enters the game for J. Redick,,69-63,,
3:06.0,J. Crawford makes 3-pt shot from 26 ft (assist by C. Paul),3,72-63,,
2:43.0,,,72-63,,T. Harris misses 2-pt shot from 2 ft (block by M. Barnes)
2:38.0,Defensive rebound by C. Paul,,72-63,,
2:37.0,M. Barnes makes 2-pt shot from 2 ft (assist by J. Crawford),2,74-63,,
2:37.0,,,74-63,,Orlando full timeout
2:37.0,LA Clippers full timeout,,74-63,,
2:17.0,,,74-66,3,T. Harris makes 3-pt shot from 25 ft (assist by C. Frye)
2:03.0,Shooting foul by C. Frye (drawn by B. Griffin),,74-66,,
2:03.0,B. Griffin makes free throw 1 of 2,1,75-66,,
2:03.0,,,75-66,,A. Nicholson enters the game for C. Frye
2:03.0,S. Hawes enters the game for D. Jordan,,75-66,,
2:03.0,B. Griffin misses free throw 2 of 2,,75-66,,
2:02.0,,,75-66,,Defensive rebound by A. Nicholson
1:49.0,,,75-66,,N. Vucevic misses 2-pt shot from 8 ft
1:47.0,Defensive rebound by B. Griffin,,75-66,,
1:40.0,C. Paul makes 2-pt shot from 15 ft,2,77-66,,
1:25.0,,,77-68,2,V. Oladipo makes 2-pt shot from 8 ft
1:11.0,J. Crawford makes 3-pt shot from 27 ft (assist by C. Paul),3,80-68,,
0:47.0,,,80-68,,L. Ridnour misses 3-pt shot from 25 ft
0:46.0,Defensive rebound by M. Barnes,,80-68,,
0:35.0,B. Griffin makes 2-pt shot from 1 ft (assist by C. Paul),2,82-68,,
0:24.0,,,82-68,,V. Oladipo misses 2-pt shot from 2 ft (block by S. Hawes)
0:24.0,H. Turkoglu enters the game for M. Barnes,,82-68,,
0:24.0,Jump ball: S. Hawes vs. V. Oladipo (C. Paul gains possession),,,,Jump ball: S. Hawes vs. V. Oladipo (C. Paul gains possession)
0:24.0,Offensive rebound by Team,,82-68,,
0:03.0,C. Paul makes 2-pt shot from 16 ft,2,84-68,,
0:00.0,,,84-68,,V. Oladipo misses 3-pt shot from 46 ft
0:00.0,,,84-68,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:44.0,S. Hawes makes 3-pt shot from 23 ft (assist by J. Crawford),3,87-68,,
11:23.0,,,87-68,,A. Nicholson misses 2-pt shot from 9 ft
11:19.0,Defensive rebound by J. Farmar,,87-68,,
11:07.0,J. Farmar makes 3-pt shot from 25 ft,3,90-68,,
10:53.0,,,90-70,2,A. Nicholson makes 2-pt shot from 17 ft (assist by W. Green)
10:39.0,G. Davis makes 2-pt shot from 1 ft (assist by J. Farmar),2,92-70,,
10:29.0,,,92-70,,C. Frye misses 3-pt shot from 25 ft
10:27.0,Defensive rebound by J. Farmar,,92-70,,
10:14.0,J. Crawford makes 2-pt shot from 14 ft,2,94-70,,
10:10.0,,,94-70,,Turnover by A. Nicholson (bad pass; steal by J. Farmar)
10:07.0,Turnover by J. Farmar (bad pass; steal by W. Green),,94-70,,
10:04.0,,,94-70,,Shooting foul by J. Crawford (drawn by W. Green)
10:04.0,,,94-70,,W. Green misses free throw 1 of 2
10:04.0,,,94-70,,Offensive rebound by Team
10:04.0,,,94-70,,D. Dedmon enters the game for A. Nicholson
10:04.0,,,94-71,1,W. Green makes free throw 2 of 2
9:51.0,G. Davis makes 2-pt shot from 5 ft (assist by J. Farmar),2,96-71,,
9:41.0,,,96-71,,L. Ridnour misses 3-pt shot from 24 ft
9:39.0,Defensive rebound by H. Turkoglu,,96-71,,
9:30.0,Offensive foul by J. Crawford,,96-71,,
9:30.0,Turnover by J. Crawford (offensive foul),,96-71,,
9:24.0,Personal foul by J. Farmar (drawn by L. Ridnour),,96-71,,
9:15.0,,,96-71,,W. Green misses 2-pt shot from 2 ft (block by S. Hawes)
9:13.0,Defensive rebound by J. Crawford,,96-71,,
9:03.0,G. Davis misses 2-pt shot from 1 ft,,96-71,,
9:01.0,,,96-71,,Defensive rebound by D. Dedmon
8:54.0,,,96-71,,Shooting foul by H. Turkoglu (drawn by D. Dedmon)
8:54.0,Official timeout,,96-71,,
8:54.0,,,96-71,,E. Payton enters the game for L. Ridnour
8:54.0,,,96-72,1,D. Dedmon makes free throw 1 of 2
8:54.0,,,96-72,,D. Dedmon misses free throw 2 of 2
8:54.0,Defensive rebound by J. Crawford,,96-72,,
8:38.0,J. Crawford misses 3-pt shot from 23 ft,,96-72,,
8:36.0,,,96-72,,Defensive rebound by D. Dedmon
8:35.0,,,96-72,,Turnover by E. Payton (lost ball; steal by J. Crawford)
8:32.0,J. Crawford makes 2-pt shot from 2 ft,2,98-72,,
8:03.0,,,98-72,,W. Green misses 3-pt shot from 29 ft
8:02.0,Defensive rebound by S. Hawes,,98-72,,
7:44.0,J. Farmar makes 2-pt shot from 20 ft,2,100-72,,
7:18.0,,,100-75,3,W. Green makes 3-pt shot from 25 ft (assist by E. Payton)
6:52.0,H. Turkoglu makes 2-pt shot from 2 ft (assist by J. Crawford),2,102-75,,
6:45.0,,,102-75,,Orlando full timeout
6:45.0,,,102-75,,A. Nicholson enters the game for C. Frye
6:38.0,,,102-75,,M. Harkless misses 2-pt shot from 6 ft (block by S. Hawes)
6:35.0,Defensive rebound by J. Crawford,,102-75,,
6:28.0,Offensive foul by G. Davis,,102-75,,
6:28.0,Turnover by G. Davis (offensive foul),,102-75,,
6:15.0,,,102-77,2,A. Nicholson makes 2-pt shot from 21 ft (assist by W. Green)
5:53.0,S. Hawes makes 3-pt shot from 26 ft (assist by H. Turkoglu),3,105-77,,
5:30.0,,,105-80,3,E. Payton makes 3-pt shot from 26 ft (assist by W. Green)
5:17.0,,,105-80,,Personal foul by E. Payton (drawn by J. Farmar)
5:17.0,J. Cunningham enters the game for J. Crawford,,105-80,,
5:10.0,J. Farmar makes 3-pt shot from 24 ft (assist by S. Hawes),3,108-80,,
4:52.0,,,108-82,2,A. Nicholson makes 2-pt shot from 11 ft
4:31.0,S. Hawes misses 2-pt shot from 19 ft,,108-82,,
4:30.0,,,108-82,,Defensive rebound by D. Dedmon
4:23.0,,,108-84,2,E. Payton makes 2-pt shot from 20 ft
4:08.0,S. Hawes makes 2-pt shot from 15 ft (assist by G. Davis),2,110-84,,
3:55.0,,,110-86,2,W. Green makes 2-pt shot from 19 ft
3:37.0,H. Turkoglu misses 3-pt shot from 25 ft,,110-86,,
3:36.0,,,110-86,,Defensive rebound by E. Payton
3:36.0,Personal foul by G. Davis (drawn by E. Payton),,110-86,,
3:36.0,E. Udoh enters the game for S. Hawes,,110-86,,
3:36.0,R. Bullock enters the game for H. Turkoglu,,110-86,,
3:26.0,,,110-86,,E. Payton misses 2-pt shot from 15 ft
3:24.0,,,110-86,,Offensive rebound by Team
3:13.0,,,110-86,,A. Nicholson misses 3-pt shot from 23 ft
3:11.0,,,110-86,,Offensive rebound by D. Dedmon
3:06.0,,,110-88,2,E. Payton makes 2-pt shot from 10 ft
2:45.0,G. Davis misses 2-pt shot from 20 ft,,110-88,,
2:44.0,Offensive rebound by Team,,110-88,,
2:43.0,LA Clippers full timeout,,110-88,,
2:24.0,R. Bullock makes 2-pt shot from 19 ft (assist by J. Farmar),2,112-88,,
2:12.0,,,112-88,,Turnover by E. Payton (bad pass; steal by E. Udoh)
1:55.0,J. Farmar misses 2-pt shot from 13 ft,,112-88,,
1:54.0,,,112-88,,Defensive rebound by D. Dedmon
1:41.0,,,112-88,,A. Nicholson misses 2-pt shot from 19 ft
1:40.0,Defensive rebound by J. Farmar,,112-88,,
1:20.0,G. Davis misses 2-pt shot from 20 ft,,112-88,,
1:19.0,,,112-88,,Defensive rebound by M. Harkless
1:03.0,,,112-88,,M. Harkless misses 2-pt shot from 1 ft
1:02.0,,,112-88,,Offensive rebound by M. Harkless
1:02.0,,,112-90,2,M. Harkless makes 2-pt shot from 1 ft
0:43.0,J. Cunningham misses 3-pt shot from 25 ft,,112-90,,
0:42.0,,,112-90,,Defensive rebound by W. Green
0:36.0,,,112-90,,W. Green misses 2-pt shot from 15 ft
0:34.0,,,112-90,,Offensive rebound by W. Green
0:33.0,,,112-90,,W. Green misses 2-pt shot from 2 ft
0:30.0,Defensive rebound by G. Davis,,112-90,,
0:27.0,J. Cunningham makes 2-pt shot at rim (assist by J. Farmar),2,114-90,,
0:09.0,,,114-90,,E. Payton misses 2-pt shot from 3 ft (block by E. Udoh)
0:07.0,,,114-90,,Offensive rebound by E. Payton
0:03.0,,,114-90,,M. Harkless misses 2-pt shot from 17 ft
0:03.0,,,114-90,,Offensive rebound by Team
