time,Philadelphia,pts.away,score,pts.home,Brooklyn
6:43.0,N. Noel misses 2-pt shot from 8 ft,,29-32,,
6:42.0,,,29-32,,Defensive rebound by K. Garnett
6:28.0,,,29-32,,J. Johnson misses 3-pt shot from 24 ft
6:27.0,Defensive rebound by L. Mbah a Moute,,29-32,,
6:21.0,Turnover by M. Carter-Williams (bad pass; steal by K. Garnett),,29-32,,
6:16.0,,,29-32,,A. Anderson misses 2-pt shot from 2 ft (block by R. Covington)
6:14.0,,,29-32,,Offensive rebound by A. Anderson
6:13.0,,,29-32,,Shooting foul by M. Carter-Williams (drawn by K. Garnett)
6:13.0,,,29-32,,K. Garnett misses free throw 1 of 2
6:13.0,,,29-32,,Offensive rebound by Team
6:13.0,,,29-32,,S. Karasev enters the game for A. Anderson
6:13.0,,,29-33,1,K. Garnett makes free throw 2 of 2
6:04.0,M. Carter-Williams makes 2-pt shot from 8 ft,2,31-33,,
5:52.0,,,31-35,2,S. Karasev makes 2-pt shot from 2 ft (assist by K. Garnett)
5:39.0,M. Carter-Williams misses 2-pt shot from 15 ft,,31-35,,
5:38.0,,,31-35,,Defensive rebound by K. Garnett
5:27.0,Personal foul by N. Noel (drawn by K. Garnett),,31-35,,
5:27.0,Official timeout,,31-35,,
5:27.0,,,31-35,,M. Plumlee enters the game for K. Garnett
5:27.0,H. Sims enters the game for N. Noel,,31-35,,
5:18.0,,,31-35,,S. Karasev misses 2-pt shot from 21 ft
5:17.0,,,31-35,,Offensive rebound by Team
5:17.0,Loose ball foul by H. Thompson (drawn by M. Plumlee),,31-35,,
5:07.0,,,31-35,,C. Jefferson misses 2-pt shot from 13 ft
5:06.0,Defensive rebound by R. Covington,,31-35,,
4:53.0,H. Sims makes 2-pt shot from 1 ft (assist by L. Mbah a Moute),2,33-35,,
4:31.0,,,33-37,2,M. Plumlee makes 2-pt shot at rim (assist by J. Jack)
4:21.0,Shooting foul by C. Jefferson (drawn by M. Carter-Williams),,33-37,,
4:21.0,M. Carter-Williams misses free throw 1 of 2,,33-37,,
4:21.0,Offensive rebound by Team,,33-37,,
4:21.0,,,33-37,,D. Williams enters the game for C. Jefferson
4:21.0,M. Carter-Williams misses free throw 2 of 2,,33-37,,
4:20.0,,,33-37,,Defensive rebound by D. Williams
4:01.0,,,33-37,,Turnover by J. Johnson (lost ball; steal by L. Mbah a Moute)
3:55.0,R. Covington makes 3-pt shot from 25 ft (assist by M. Carter-Williams),3,36-37,,
3:33.0,,,36-39,2,J. Johnson makes 2-pt shot from 5 ft
3:20.0,H. Thompson misses 3-pt shot from 25 ft,,36-39,,
3:19.0,Offensive rebound by H. Sims,,36-39,,
