time,Phoenix,pts.away,score,pts.home,Houston
4:32.0,G. Green misses 3-pt shot from 24 ft,,10-20,,
4:30.0,Offensive rebound by A. Len,,10-20,,
4:30.0,A. Len makes 2-pt shot at rim,2,12-20,,
4:06.0,,,12-22,2,J. Harden makes 2-pt shot from 10 ft
3:59.0,Turnover by G. Green (bad pass; steal by F. Garcia),,12-22,,
3:52.0,,,12-22,,Turnover by F. Garcia (bad pass; steal by G. Green)
3:34.0,G. Green misses 2-pt shot from 22 ft,,12-22,,
3:33.0,,,12-22,,Defensive rebound by J. Dorsey
3:24.0,,,12-22,,J. Harden misses 2-pt shot from 3 ft (block by A. Len)
3:22.0,,,12-22,,Offensive rebound by J. Dorsey
3:22.0,,,12-24,2,J. Dorsey makes 2-pt shot at rim
3:16.0,Phoenix full timeout,,12-24,,
3:16.0,,,12-24,,N. Johnson enters the game for T. Ariza
3:04.0,G. Green makes 3-pt shot from 23 ft (assist by M. Morris),3,15-24,,
2:42.0,,,15-26,2,J. Dorsey makes 2-pt shot at rim (assist by N. Johnson)
2:25.0,,,15-26,,Houston full timeout
2:25.0,Jump ball: F. Garcia vs. M. Morris (G. Green gains possession),,,,Jump ball: F. Garcia vs. M. Morris (G. Green gains possession)
2:15.0,G. Green misses 2-pt shot from 18 ft,,15-26,,
2:13.0,,,15-26,,Defensive rebound by F. Garcia
1:52.0,,,15-26,,Turnover by P. Beverley (lost ball; steal by G. Green)
1:51.0,,,15-26,,Personal foul by P. Beverley (drawn by P. Tucker)
1:36.0,Shooting foul by F. Garcia (drawn by A. Len),,15-26,,
1:36.0,A. Len makes free throw 1 of 2,1,16-26,,
1:36.0,A. Len makes free throw 2 of 2,1,17-26,,
1:16.0,,,17-29,3,P. Beverley makes 3-pt shot from 24 ft (assist by J. Harden)
1:00.0,G. Green misses 2-pt shot from 15 ft,,17-29,,
0:59.0,,,17-29,,Defensive rebound by J. Harden
0:56.0,Shooting block foul by E. Bledsoe (drawn by J. Harden),,17-29,,
0:56.0,,,17-30,1,J. Harden makes free throw 1 of 2
0:56.0,,,17-31,1,J. Harden makes free throw 2 of 2
0:40.0,Shooting foul by N. Johnson (drawn by A. Len),,17-31,,
0:40.0,A. Len makes free throw 1 of 2,1,18-31,,
0:40.0,A. Len misses free throw 2 of 2,,18-31,,
0:40.0,,,18-31,,Defensive rebound by J. Dorsey
0:27.0,,,18-33,2,N. Johnson makes 2-pt shot from 7 ft
0:08.0,E. Bledsoe misses 2-pt shot from 19 ft,,18-33,,
0:05.0,,,18-33,,Defensive rebound by J. Harden
0:03.0,,,18-33,,Shooting foul by E. Bledsoe (drawn by N. Johnson)
0:03.0,,,18-34,1,N. Johnson makes free throw 1 of 2
0:03.0,,,18-35,1,N. Johnson makes free throw 2 of 2
0:00.0,E. Bledsoe misses 3-pt shot from 39 ft,,18-35,,
0:00.0,Offensive rebound by Team,,18-35,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:39.0,,,18-37,2,D. Motiejunas makes 2-pt shot from 3 ft
11:24.0,,,18-37,,Personal foul by J. Terry (drawn by G. Dragic)
11:18.0,M. Plumlee makes 2-pt shot at rim (assist by G. Dragic),2,20-37,,
11:03.0,,,20-37,,F. Garcia misses 3-pt shot from 22 ft
11:01.0,Defensive rebound by M. Plumlee,,20-37,,
10:51.0,M. Plumlee misses 2-pt shot from 3 ft,,20-37,,
10:50.0,,,20-37,,Defensive rebound by F. Garcia
10:38.0,,,20-37,,J. Terry misses 2-pt shot from 4 ft
10:37.0,,,20-37,,Offensive rebound by D. Motiejunas
10:26.0,,,20-39,2,D. Motiejunas makes 2-pt shot from 5 ft
10:12.0,M. Morris misses 2-pt shot from 3 ft (block by D. Motiejunas),,20-39,,
10:11.0,,,20-39,,Defensive rebound by F. Garcia
10:07.0,,,20-39,,Turnover by T. Ariza (lost ball)
9:49.0,G. Green misses 2-pt shot from 17 ft,,20-39,,
9:47.0,Offensive rebound by M. Morris,,20-39,,
9:44.0,M. Morris misses 2-pt shot from 2 ft (block by D. Motiejunas),,20-39,,
9:43.0,,,20-39,,Defensive rebound by N. Johnson
9:38.0,,,20-39,,N. Johnson misses 2-pt shot from 3 ft (block by M. Morris)
9:37.0,,,20-39,,Offensive rebound by Team
9:37.0,T. Warren enters the game for M. Morris,,20-39,,
9:32.0,,,20-39,,Shooting foul by T. Warren (drawn by T. Ariza)
9:32.0,,,20-40,1,T. Ariza makes free throw 1 of 2
9:32.0,,,20-41,1,T. Ariza makes free throw 2 of 2
9:15.0,Turnover by M. Plumlee (bad pass),,20-41,,
9:01.0,,,20-41,,D. Motiejunas misses 2-pt shot from 5 ft
9:00.0,Defensive rebound by G. Green,,20-41,,
8:52.0,G. Green makes 2-pt shot from 3 ft,2,22-41,,
8:39.0,,,22-41,,T. Ariza misses 2-pt shot from 2 ft
8:38.0,Defensive rebound by T. Warren,,22-41,,
8:31.0,G. Green misses 2-pt shot from 2 ft,,22-41,,
8:30.0,Offensive rebound by G. Green,,22-41,,
8:27.0,G. Green makes 2-pt shot from 6 ft,2,24-41,,
8:16.0,,,24-41,,J. Terry misses 2-pt shot from 3 ft
8:15.0,Defensive rebound by G. Dragic,,24-41,,
8:10.0,Turnover by G. Dragic (lost ball; steal by N. Johnson),,24-41,,
8:04.0,,,24-41,,Offensive foul by T. Ariza
8:04.0,,,24-41,,Turnover by T. Ariza (offensive foul)
8:04.0,Phoenix full timeout,,24-41,,
8:04.0,A. Tolliver enters the game for M. Plumlee,,24-41,,
8:04.0,,,24-41,,J. Harden enters the game for F. Garcia
7:52.0,G. Green misses 2-pt shot from 15 ft,,24-41,,
7:51.0,,,24-41,,Defensive rebound by T. Ariza
7:40.0,Personal foul by A. Tolliver (drawn by D. Motiejunas),,24-41,,
7:27.0,,,24-41,,J. Harden misses 2-pt shot from 6 ft (block by G. Green)
7:26.0,,,24-41,,Offensive rebound by Team
7:26.0,,,24-41,,Turnover by Team (shot clock)
7:13.0,G. Dragic makes 2-pt shot from 2 ft,2,26-41,,
6:59.0,,,26-43,2,T. Ariza makes 2-pt shot from 2 ft
6:49.0,T. Warren makes 3-pt shot from 23 ft (assist by A. Tolliver),3,29-43,,
6:39.0,Violation by M. Morris (kicked ball),,29-43,,
6:39.0,,,29-43,,P. Beverley enters the game for N. Johnson
6:34.0,,,29-43,,Turnover by J. Harden (lost ball; steal by G. Dragic)
6:30.0,G. Dragic makes 2-pt shot from 1 ft,2,31-43,,
6:18.0,,,31-43,,Shooting foul by M. Morris (drawn by D. Motiejunas)
6:18.0,,,31-43,,D. Motiejunas misses free throw 1 of 2
6:18.0,,,31-43,,Offensive rebound by Team
6:18.0,E. Bledsoe enters the game for G. Green,,31-43,,
6:18.0,,,31-44,1,D. Motiejunas makes free throw 2 of 2
6:05.0,G. Dragic misses 2-pt shot from 12 ft,,31-44,,
6:02.0,,,31-44,,Defensive rebound by D. Motiejunas
6:01.0,,,31-44,,Turnover by D. Motiejunas (lost ball; steal by T. Warren)
5:58.0,T. Warren makes 2-pt shot from 1 ft,2,33-44,,
5:46.0,,,33-44,,J. Harden misses 2-pt shot from 2 ft
5:44.0,,,33-44,,Offensive rebound by D. Motiejunas
5:44.0,,,33-44,,D. Motiejunas misses 2-pt shot at rim
5:43.0,Defensive rebound by T. Warren,,33-44,,
5:35.0,,,33-44,,Houston full timeout
5:35.0,,,33-44,,T. Black enters the game for D. Motiejunas
5:24.0,A. Tolliver misses 3-pt shot from 25 ft,,33-44,,
5:23.0,Offensive rebound by M. Morris,,33-44,,
5:20.0,M. Morris makes 2-pt shot from 1 ft,2,35-44,,
5:12.0,,,35-46,2,J. Harden makes 2-pt shot from 1 ft (assist by P. Beverley)
5:04.0,T. Warren misses 3-pt shot from 25 ft,,35-46,,
5:03.0,Offensive rebound by Team,,35-46,,
5:03.0,,,35-46,,Loose ball foul by T. Black (drawn by A. Tolliver)
4:57.0,Turnover by G. Dragic (bad pass; steal by J. Terry),,35-46,,
4:53.0,,,35-48,2,T. Black makes 2-pt shot at rim (assist by J. Terry)
4:51.0,Technical foul by G. Dragic,,35-48,,
4:51.0,,,35-48,,J. Harden misses technical free throw
4:51.0,Offensive rebound by Team,,35-48,,
4:41.0,Turnover by M. Morris (traveling),,35-48,,
4:26.0,,,35-48,,J. Harden misses 2-pt shot at rim
4:24.0,,,35-48,,Offensive rebound by T. Black
4:14.0,,,35-51,3,T. Ariza makes 3-pt shot from 25 ft
4:03.0,E. Bledsoe misses 3-pt shot from 26 ft,,35-51,,
4:02.0,,,35-51,,Defensive rebound by J. Terry
3:53.0,,,35-51,,T. Ariza misses 2-pt shot from 6 ft
3:51.0,,,35-51,,Offensive rebound by T. Black
3:51.0,,,35-51,,T. Ariza misses 2-pt shot from 1 ft
3:51.0,,,35-51,,Offensive rebound by Team
3:51.0,P. Tucker enters the game for A. Tolliver,,35-51,,
3:44.0,,,35-51,,P. Beverley misses 2-pt shot from 2 ft (block by E. Bledsoe)
3:44.0,,,35-51,,Offensive rebound by Team
3:44.0,A. Len enters the game for M. Morris,,35-51,,
3:37.0,,,35-51,,T. Ariza misses 3-pt shot from 23 ft
3:36.0,Defensive rebound by E. Bledsoe,,35-51,,
3:31.0,Shooting foul by T. Black (drawn by E. Bledsoe),,35-51,,
3:31.0,E. Bledsoe misses free throw 1 of 2,,35-51,,
3:31.0,Offensive rebound by Team,,35-51,,
3:31.0,,,35-51,,D. Motiejunas enters the game for T. Black
3:31.0,E. Bledsoe makes free throw 2 of 2,1,36-51,,
3:13.0,,,36-53,2,D. Motiejunas makes 2-pt shot from 4 ft
2:53.0,P. Tucker misses 3-pt shot from 26 ft,,36-53,,
2:50.0,,,36-53,,Defensive rebound by T. Ariza
2:45.0,,,36-56,3,P. Beverley makes 3-pt shot from 24 ft
2:22.0,Turnover by A. Len (bad pass; steal by J. Terry),,36-56,,
2:17.0,,,36-56,,Shooting foul by P. Tucker (drawn by T. Ariza)
2:17.0,Phoenix full timeout,,36-56,,
2:17.0,G. Green enters the game for T. Warren,,36-56,,
2:17.0,,,36-57,1,T. Ariza makes free throw 1 of 2
2:17.0,,,36-58,1,T. Ariza makes free throw 2 of 2
1:59.0,G. Green makes 2-pt shot from 12 ft,2,38-58,,
1:40.0,,,38-58,,Turnover by J. Terry (bad pass; steal by E. Bledsoe)
1:37.0,E. Bledsoe makes 2-pt shot at rim,2,40-58,,
1:24.0,,,40-58,,J. Harden misses 3-pt shot from 24 ft
1:23.0,,,40-58,,Offensive rebound by P. Beverley
1:20.0,,,40-58,,Shooting foul by A. Len (drawn by J. Harden)
1:20.0,,,40-59,1,J. Harden makes free throw 1 of 2
1:20.0,,,40-59,,N. Johnson enters the game for J. Terry
1:20.0,,,40-60,1,J. Harden makes free throw 2 of 2
1:02.0,P. Tucker misses 2-pt shot from 3 ft (block by J. Harden),,40-60,,
1:00.0,,,40-60,,Defensive rebound by N. Johnson
0:46.0,,,40-60,,Turnover by D. Motiejunas (lost ball)
0:33.0,G. Dragic misses 2-pt shot from 13 ft,,40-60,,
0:31.0,,,40-60,,Defensive rebound by N. Johnson
0:11.0,,,40-60,,J. Harden misses 2-pt shot from 5 ft (block by E. Bledsoe)
0:09.0,,,40-60,,Offensive rebound by J. Harden
0:08.0,,,40-60,,J. Harden misses 2-pt shot from 5 ft
0:07.0,Defensive rebound by G. Green,,40-60,,
0:02.0,Shooting foul by N. Johnson (drawn by A. Len),,40-60,,
0:02.0,A. Len makes free throw 1 of 2,1,41-60,,
0:02.0,A. Len misses free throw 2 of 2,,41-60,,
0:01.0,,,41-60,,Defensive rebound by J. Harden
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:50.0,,,41-60,,Turnover by T. Ariza (bad pass)
11:29.0,G. Dragic misses 3-pt shot from 24 ft,,41-60,,
11:28.0,,,41-60,,Defensive rebound by Team
11:28.0,Loose ball foul by P. Tucker (drawn by J. Harden),,41-60,,
11:09.0,,,41-63,3,J. Terry makes 3-pt shot from 24 ft (assist by T. Black)
10:51.0,E. Bledsoe misses 2-pt shot from 23 ft,,41-63,,
10:50.0,Offensive rebound by G. Dragic,,41-63,,
10:45.0,G. Dragic misses 3-pt shot from 23 ft,,41-63,,
10:44.0,,,41-63,,Defensive rebound by J. Harden
10:33.0,,,41-63,,J. Harden misses 2-pt shot from 20 ft
10:32.0,Defensive rebound by M. Morris,,41-63,,
10:22.0,P. Tucker makes 3-pt shot from 23 ft (assist by E. Bledsoe),3,44-63,,
9:57.0,,,44-63,,Turnover by T. Black (offensive foul)
9:57.0,,,44-63,,Offensive charge foul by T. Black
9:40.0,M. Morris misses 2-pt shot from 13 ft,,44-63,,
9:38.0,,,44-63,,Defensive rebound by D. Motiejunas
9:23.0,,,44-63,,D. Motiejunas misses 2-pt shot from 1 ft
9:21.0,,,44-63,,Offensive rebound by T. Black
9:21.0,,,44-63,,T. Black misses 2-pt shot at rim
9:19.0,Defensive rebound by M. Plumlee,,44-63,,
9:10.0,E. Bledsoe misses 3-pt shot from 23 ft,,44-63,,
9:09.0,Offensive rebound by P. Tucker,,44-63,,
9:07.0,P. Tucker misses 2-pt shot from 1 ft,,44-63,,
9:06.0,Offensive rebound by M. Plumlee,,44-63,,
9:02.0,E. Bledsoe makes 3-pt shot from 25 ft (assist by M. Plumlee),3,47-63,,
8:43.0,,,47-63,,Turnover by J. Harden (bad pass; steal by P. Tucker)
8:43.0,,,47-63,,Loose ball foul by T. Black (drawn by P. Tucker)
8:17.0,E. Bledsoe misses 3-pt shot from 27 ft,,47-63,,
8:16.0,,,47-63,,Defensive rebound by J. Harden
8:10.0,,,47-63,,J. Harden misses 3-pt shot from 24 ft
8:08.0,,,47-63,,Offensive rebound by D. Motiejunas
8:00.0,,,47-63,,T. Ariza misses 3-pt shot from 24 ft
7:59.0,Defensive rebound by E. Bledsoe,,47-63,,
7:50.0,G. Dragic misses 3-pt shot from 23 ft,,47-63,,
7:49.0,,,47-63,,Defensive rebound by T. Ariza
7:37.0,,,47-63,,J. Dorsey enters the game for T. Black
7:37.0,M. Morris enters the game for M. Plumlee,,47-63,,
7:25.0,,,47-63,,Turnover by Team (shot clock)
7:17.0,,,47-63,,Personal foul by J. Dorsey (drawn by E. Bledsoe)
7:08.0,Shooting foul by D. Motiejunas (drawn by E. Bledsoe),,47-63,,
7:08.0,E. Bledsoe makes free throw 1 of 2,1,48-63,,
7:08.0,E. Bledsoe makes free throw 2 of 2,1,49-63,,
6:53.0,,,49-63,,Turnover by J. Harden (bad pass; steal by M. Morris)
6:44.0,M. Morris misses 2-pt shot from 23 ft,,49-63,,
6:43.0,,,49-63,,Defensive rebound by J. Harden
6:39.0,,,49-63,,Houston full timeout
6:24.0,Violation by M. Morris (kicked ball),,49-63,,
6:15.0,,,49-65,2,J. Terry makes 2-pt shot from 18 ft
5:56.0,M. Morris misses 3-pt shot from 22 ft,,49-65,,
5:56.0,Offensive rebound by Team,,49-65,,
5:56.0,,,49-65,,P. Beverley enters the game for D. Motiejunas
5:51.0,M. Morris misses 2-pt shot from 18 ft,,49-65,,
5:49.0,Offensive rebound by P. Tucker,,49-65,,
5:49.0,P. Tucker makes 2-pt shot from 1 ft,2,51-65,,
5:40.0,,,51-68,3,P. Beverley makes 3-pt shot from 24 ft (assist by J. Harden)
5:31.0,Turnover by M. Morris (offensive foul),,51-68,,
5:31.0,Offensive foul by M. Morris,,51-68,,
5:31.0,G. Green enters the game for G. Dragic,,51-68,,
5:23.0,,,51-68,,Turnover by T. Ariza (offensive foul)
5:23.0,,,51-68,,Offensive foul by T. Ariza
5:09.0,Shooting foul by J. Dorsey (drawn by E. Bledsoe),,51-68,,
5:09.0,E. Bledsoe makes free throw 1 of 2,1,52-68,,
5:09.0,E. Bledsoe makes free throw 2 of 2,1,53-68,,
4:55.0,,,53-68,,P. Beverley misses 3-pt shot from 26 ft
4:54.0,Defensive rebound by M. Morris,,53-68,,
4:31.0,M. Morris makes 2-pt shot from 20 ft (assist by G. Green),2,55-68,,
4:12.0,,,55-68,,P. Beverley misses 3-pt shot from 24 ft
4:11.0,Defensive rebound by G. Green,,55-68,,
4:10.0,,,55-68,,Personal foul by P. Beverley (drawn by G. Green)
4:10.0,G. Green makes free throw 1 of 2,1,56-68,,
4:10.0,,,56-68,,D. Motiejunas enters the game for J. Dorsey
4:10.0,A. Len enters the game for M. Morris,,56-68,,
4:10.0,,,56-68,,N. Johnson enters the game for J. Terry
4:10.0,G. Green makes free throw 2 of 2,1,57-68,,
3:52.0,,,57-68,,Turnover by P. Beverley (bad pass; steal by E. Bledsoe)
3:41.0,E. Bledsoe misses 3-pt shot from 25 ft,,57-68,,
3:40.0,,,57-68,,Defensive rebound by J. Harden
3:31.0,,,57-71,3,T. Ariza makes 3-pt shot from 24 ft (assist by P. Beverley)
3:19.0,Phoenix full timeout,,57-71,,
3:19.0,T. Warren enters the game for P. Tucker,,57-71,,
3:19.0,G. Dragic enters the game for E. Bledsoe,,57-71,,
3:13.0,G. Green makes 3-pt shot from 26 ft (assist by G. Dragic),3,60-71,,
3:02.0,,,60-74,3,J. Harden makes 3-pt shot from 25 ft (assist by P. Beverley)
2:37.0,G. Green misses 3-pt shot from 24 ft,,60-74,,
2:36.0,Offensive rebound by G. Dragic,,60-74,,
2:30.0,G. Green makes 2-pt shot at rim (assist by G. Dragic),2,62-74,,
2:07.0,,,62-76,2,D. Motiejunas makes 2-pt shot from 8 ft
1:52.0,Turnover by G. Green (lost ball; steal by J. Harden),,62-76,,
1:47.0,,,62-78,2,D. Motiejunas makes 2-pt shot at rim (assist by J. Harden)
1:30.0,G. Dragic makes 2-pt shot from 2 ft,2,64-78,,
1:17.0,,,64-78,,Turnover by D. Motiejunas (bad pass)
1:17.0,,,64-78,,J. Terry enters the game for T. Ariza
1:06.0,A. Len misses 2-pt shot from 17 ft,,64-78,,
1:05.0,,,64-78,,Defensive rebound by P. Beverley
0:55.0,,,64-80,2,J. Harden makes 2-pt shot from 5 ft
0:41.0,A. Len misses 2-pt shot at rim (block by J. Harden),,64-80,,
0:41.0,Offensive rebound by Team,,64-80,,
0:37.0,T. Warren misses 2-pt shot from 13 ft,,64-80,,
0:34.0,,,64-80,,Defensive rebound by P. Beverley
0:27.0,,,64-80,,P. Beverley misses 2-pt shot from 10 ft
0:26.0,Defensive rebound by Team,,64-80,,
0:04.0,A. Len makes 3-pt shot from 23 ft (assist by G. Dragic),3,67-80,,
0:00.0,,,67-80,,J. Harden misses 3-pt shot from 29 ft
0:00.0,,,67-80,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:38.0,M. Morris misses 2-pt shot from 7 ft (block by P. Beverley),,67-80,,
11:37.0,Offensive rebound by M. Morris,,67-80,,
11:36.0,M. Morris misses 3-pt shot from 26 ft,,67-80,,
11:36.0,Offensive rebound by Team,,67-80,,
11:36.0,Turnover by Team (shot clock),,67-80,,
11:12.0,,,67-80,,T. Ariza misses 2-pt shot from 13 ft
11:12.0,Defensive rebound by Team,,67-80,,
10:53.0,G. Dragic makes 2-pt shot from 1 ft (assist by G. Green),2,69-80,,
10:37.0,,,69-80,,D. Motiejunas misses 2-pt shot from 7 ft
10:36.0,Defensive rebound by G. Dragic,,69-80,,
10:28.0,M. Morris makes 2-pt shot from 10 ft (assist by G. Dragic),2,71-80,,
10:11.0,,,71-83,3,P. Beverley makes 3-pt shot from 26 ft (assist by T. Ariza)
9:59.0,,,71-83,,Personal foul by P. Beverley (drawn by G. Dragic)
9:50.0,M. Morris misses 2-pt shot from 18 ft,,71-83,,
9:49.0,,,71-83,,Defensive rebound by D. Motiejunas
9:49.0,Loose ball foul by A. Len (drawn by D. Motiejunas),,71-83,,
9:35.0,,,71-85,2,T. Ariza makes 2-pt shot from 1 ft (assist by J. Terry)
9:21.0,Turnover by G. Dragic (lost ball; steal by P. Beverley),,71-85,,
9:06.0,,,71-85,,N. Johnson misses 2-pt shot from 6 ft
9:05.0,,,71-85,,Offensive rebound by T. Ariza
9:01.0,,,71-85,,Turnover by D. Motiejunas (bad pass; steal by M. Morris)
8:54.0,T. Warren misses 2-pt shot from 1 ft,,71-85,,
8:53.0,,,71-85,,Defensive rebound by D. Motiejunas
8:37.0,,,71-85,,P. Beverley misses 3-pt shot from 26 ft
8:36.0,,,71-85,,Offensive rebound by T. Ariza
8:36.0,,,71-85,,Shooting foul by A. Len (drawn by T. Ariza)
8:36.0,,,71-85,,Houston full timeout
8:36.0,E. Bledsoe enters the game for A. Len,,71-85,,
8:36.0,M. Morris enters the game for M. Morris,,71-85,,
8:36.0,P. Tucker enters the game for T. Warren,,71-85,,
8:36.0,,,71-85,,T. Black enters the game for D. Motiejunas
8:36.0,,,71-86,1,T. Ariza makes free throw 1 of 2
8:36.0,,,71-86,,T. Ariza misses free throw 2 of 2
8:36.0,Defensive rebound by G. Green,,71-86,,
8:17.0,,,71-86,,Personal foul by P. Beverley (drawn by G. Dragic)
8:03.0,M. Morris misses 2-pt shot from 16 ft,,71-86,,
8:02.0,,,71-86,,Defensive rebound by J. Terry
7:57.0,Violation by M. Morris (kicked ball),,71-86,,
7:38.0,,,71-86,,J. Terry misses 2-pt shot from 2 ft
7:35.0,,,71-86,,Offensive rebound by T. Black
7:33.0,,,71-86,,P. Beverley misses 2-pt shot from 2 ft
7:32.0,Defensive rebound by P. Tucker,,71-86,,
7:29.0,Shooting foul by T. Black (drawn by E. Bledsoe),,71-86,,
7:29.0,E. Bledsoe makes free throw 1 of 2,1,72-86,,
7:29.0,E. Bledsoe makes free throw 2 of 2,1,73-86,,
7:09.0,Shooting block foul by M. Morris (drawn by N. Johnson),,73-86,,
7:09.0,,,73-87,1,N. Johnson makes free throw 1 of 2
7:09.0,M. Morris enters the game for G. Green,,73-87,,
7:09.0,,,73-87,,J. Harden enters the game for P. Beverley
7:09.0,Phoenix full timeout,,73-87,,
7:09.0,,,73-88,1,N. Johnson makes free throw 2 of 2
7:05.0,Shooting foul by J. Terry (drawn by E. Bledsoe),,73-88,,
7:05.0,E. Bledsoe misses free throw 1 of 2,,73-88,,
7:05.0,Offensive rebound by Team,,73-88,,
7:05.0,E. Bledsoe makes free throw 2 of 2,1,74-88,,
6:43.0,,,74-88,,Shooting foul by M. Morris (drawn by T. Ariza)
6:43.0,,,74-89,1,T. Ariza makes free throw 1 of 2
6:43.0,,,74-90,1,T. Ariza makes free throw 2 of 2
6:36.0,,,74-90,,Personal foul by J. Terry (drawn by G. Dragic)
6:36.0,G. Dragic makes free throw 1 of 2,1,75-90,,
6:36.0,G. Dragic makes free throw 2 of 2,1,76-90,,
6:20.0,,,76-90,,Turnover by J. Harden (bad pass; steal by M. Morris)
6:14.0,E. Bledsoe makes 2-pt shot from 2 ft (assist by M. Morris),2,78-90,,
6:03.0,,,78-90,,Turnover by J. Harden (bad pass; steal by E. Bledsoe)
5:58.0,G. Dragic makes 2-pt shot from 2 ft (assist by E. Bledsoe),2,80-90,,
5:37.0,,,80-90,,N. Johnson misses 2-pt shot from 19 ft
5:36.0,Defensive rebound by Team,,80-90,,
5:36.0,,,80-90,,D. Motiejunas enters the game for T. Black
5:22.0,G. Dragic misses 2-pt shot from 15 ft,,80-90,,
5:19.0,Offensive rebound by Team,,80-90,,
