time,Boston,pts.away,score,pts.home,Miami
8:32.0,,,28-24,,Turnover by H. Walker (offensive foul)
8:08.0,B. Bass misses 2-pt shot from 9 ft,,28-24,,
8:07.0,,,28-24,,Defensive rebound by D. Wade
7:53.0,,,28-24,,M. Beasley misses 2-pt shot from 13 ft
7:52.0,Defensive rebound by L. Datome,,28-24,,
7:44.0,Offensive foul by J. Jerebko,,28-24,,
7:44.0,Turnover by J. Jerebko (offensive foul),,28-24,,
7:37.0,,,28-24,,Turnover by M. Chalmers (bad pass; steal by G. Wallace)
7:28.0,J. Jerebko misses 3-pt shot from 24 ft,,28-24,,
7:27.0,Offensive rebound by L. Datome,,28-24,,
7:24.0,L. Datome misses 2-pt shot at rim,,28-24,,
7:23.0,Offensive rebound by Team,,28-24,,
7:23.0,,,28-24,,Violation by M. Beasley (kicked ball)
7:23.0,,,28-24,,L. Deng enters the game for M. Chalmers
7:23.0,,,28-24,,H. Whiteside enters the game for H. Walker
7:14.0,G. Wallace misses 2-pt shot from 1 ft,,28-24,,
7:13.0,,,28-24,,Defensive rebound by H. Whiteside
7:01.0,,,28-26,2,M. Beasley makes 2-pt shot from 8 ft (assist by D. Wade)
6:46.0,I. Thomas makes 2-pt shot from 19 ft,2,30-26,,
6:28.0,,,30-26,,T. Johnson misses 2-pt shot from 2 ft
6:27.0,Defensive rebound by J. Jerebko,,30-26,,
6:18.0,Turnover by I. Thomas (bad pass; steal by L. Deng),,30-26,,
6:14.0,,,30-28,2,D. Wade makes 2-pt shot at rim (assist by L. Deng)
6:00.0,B. Bass makes 2-pt shot from 17 ft,2,32-28,,
5:45.0,,,32-28,,Turnover by D. Wade (bad pass; steal by B. Bass)
5:40.0,L. Datome makes 2-pt shot at rim (assist by I. Thomas),2,34-28,,
5:40.0,,,34-28,,Miami full timeout
5:40.0,J. Crowder enters the game for G. Wallace,,34-28,,
5:26.0,,,34-30,2,M. Beasley makes 2-pt shot from 9 ft
5:05.0,J. Jerebko misses 2-pt shot from 20 ft,,34-30,,
5:04.0,,,34-30,,Defensive rebound by H. Whiteside
4:58.0,,,34-30,,M. Beasley misses 2-pt shot from 11 ft
4:57.0,Defensive rebound by J. Crowder,,34-30,,
4:41.0,L. Datome makes 2-pt shot from 18 ft,2,36-30,,
4:19.0,E. Turner enters the game for J. Jerebko,,36-30,,
4:19.0,M. Smart enters the game for I. Thomas,,36-30,,
4:19.0,,,36-30,,Turnover by L. Deng (lost ball)
4:04.0,L. Datome makes 3-pt shot from 25 ft (assist by B. Bass),3,39-30,,
3:39.0,,,39-32,2,D. Wade makes 2-pt shot from 2 ft
3:08.0,Shooting foul by H. Whiteside (drawn by M. Smart),,39-32,,
3:08.0,M. Smart makes free throw 1 of 2,1,40-32,,
3:08.0,,,40-32,,C. Andersen enters the game for H. Whiteside
3:08.0,,,40-32,,M. Chalmers enters the game for D. Wade
3:08.0,,,40-32,,H. Walker enters the game for M. Beasley
3:08.0,M. Smart makes free throw 2 of 2,1,41-32,,
2:54.0,,,41-32,,L. Deng misses 3-pt shot from 23 ft
2:53.0,,,41-32,,Offensive rebound by Team
2:53.0,Boston full timeout,,41-32,,
2:35.0,,,41-32,,T. Johnson misses 2-pt shot from 21 ft
2:34.0,Defensive rebound by Team,,41-32,,
2:10.0,E. Turner misses 2-pt shot from 14 ft,,41-32,,
2:09.0,Offensive rebound by B. Bass,,41-32,,
2:00.0,Turnover by M. Smart (lost ball; steal by T. Johnson),,41-32,,
1:54.0,,,41-32,,L. Deng misses 2-pt shot from 14 ft
1:53.0,Defensive rebound by E. Turner,,41-32,,
1:32.0,E. Turner misses 2-pt shot from 11 ft,,41-32,,
1:31.0,,,41-32,,Defensive rebound by C. Andersen
1:22.0,,,41-32,,Shooting foul by E. Turner (drawn by C. Andersen)
1:22.0,,,41-33,1,C. Andersen makes free throw 1 of 2
1:22.0,I. Thomas enters the game for M. Smart,,41-33,,
1:22.0,,,41-33,,D. Wade enters the game for T. Johnson
1:22.0,T. Zeller enters the game for B. Bass,,41-33,,
1:22.0,,,41-34,1,C. Andersen makes free throw 2 of 2
1:08.0,Shooting foul by M. Chalmers (drawn by J. Crowder),,41-34,,
1:08.0,J. Crowder makes free throw 1 of 2,1,42-34,,
1:08.0,M. Smart enters the game for L. Datome,,42-34,,
1:08.0,J. Crowder makes free throw 2 of 2,1,43-34,,
1:01.0,Personal foul by I. Thomas (drawn by M. Chalmers),,43-34,,
1:01.0,,,43-35,1,M. Chalmers makes free throw 1 of 2
1:01.0,,,43-36,1,M. Chalmers makes free throw 2 of 2
0:48.0,E. Turner misses 2-pt shot from 1 ft,,43-36,,
0:47.0,,,43-36,,Defensive rebound by D. Wade
0:43.0,,,43-36,,Shooting foul by M. Smart (drawn by H. Walker)
0:43.0,,,43-37,1,H. Walker makes free throw 1 of 2
0:43.0,,,43-37,,T. Johnson enters the game for M. Chalmers
0:43.0,,,43-38,1,H. Walker makes free throw 2 of 2
0:26.0,I. Thomas misses 2-pt shot from 19 ft,,43-38,,
0:25.0,,,43-38,,Defensive rebound by H. Walker
0:03.0,,,43-40,2,D. Wade makes 2-pt shot from 19 ft
0:03.0,Boston full timeout,,43-40,,
0:03.0,L. Datome enters the game for J. Crowder,,43-40,,
0:03.0,K. Olynyk enters the game for T. Zeller,,43-40,,
0:03.0,P. Pressey enters the game for E. Turner,,43-40,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:37.0,B. Bass misses 2-pt shot from 11 ft,,43-40,,
11:36.0,Offensive rebound by Team,,43-40,,
11:36.0,Turnover by Team (shot clock),,43-40,,
11:15.0,,,43-40,,M. Chalmers misses 3-pt shot from 23 ft
11:14.0,Defensive rebound by J. Crowder,,43-40,,
11:00.0,M. Smart makes 2-pt shot from 12 ft,2,45-40,,
10:46.0,,,45-40,,D. Wade misses 2-pt shot from 7 ft
10:45.0,,,45-40,,Offensive rebound by Team
10:42.0,Loose ball foul by M. Smart (drawn by H. Whiteside),,45-40,,
10:41.0,Personal foul by M. Smart (drawn by H. Whiteside),,45-40,,
10:27.0,,,45-40,,Offensive foul by H. Walker
10:27.0,,,45-40,,Turnover by H. Walker (offensive foul)
10:25.0,T. Zeller misses 2-pt shot from 1 ft,,45-40,,
10:24.0,Offensive rebound by B. Bass,,45-40,,
10:23.0,B. Bass makes 2-pt shot at rim,2,47-40,,
10:14.0,Personal foul by M. Smart (drawn by M. Chalmers),,47-40,,
10:09.0,,,47-42,2,D. Wade makes 2-pt shot at rim (assist by M. Chalmers)
9:59.0,M. Smart misses 2-pt shot from 5 ft,,47-42,,
9:58.0,,,47-42,,Defensive rebound by L. Deng
9:51.0,,,47-45,3,L. Deng makes 3-pt shot from 24 ft (assist by D. Wade)
9:30.0,B. Bass misses 2-pt shot from 17 ft,,47-45,,
9:29.0,Offensive rebound by B. Bass,,47-45,,
9:22.0,E. Turner misses 2-pt shot from 19 ft,,47-45,,
9:20.0,,,47-45,,Defensive rebound by H. Walker
9:13.0,,,47-45,,Shooting foul by T. Zeller (drawn by H. Whiteside)
9:13.0,,,47-46,1,H. Whiteside makes free throw 1 of 2
9:13.0,I. Thomas enters the game for M. Smart,,47-46,,
9:13.0,,,47-46,,H. Whiteside misses free throw 2 of 2
9:12.0,Defensive rebound by E. Turner,,47-46,,
8:56.0,I. Thomas misses 2-pt shot from 19 ft,,47-46,,
8:55.0,,,47-46,,Defensive rebound by H. Whiteside
8:52.0,Personal foul by I. Thomas (drawn by L. Deng),,47-46,,
8:52.0,,,47-47,1,L. Deng makes free throw 1 of 2
8:52.0,,,47-48,1,L. Deng makes free throw 2 of 2
8:39.0,E. Turner makes 2-pt shot from 11 ft,2,49-48,,
8:27.0,,,49-48,,Turnover by D. Wade (lost ball; steal by B. Bass)
8:23.0,I. Thomas makes 2-pt shot from 1 ft (assist by B. Bass),2,51-48,,
8:23.0,Shooting foul by M. Chalmers (drawn by I. Thomas),,51-48,,
8:23.0,I. Thomas makes free throw 1 of 1,1,52-48,,
8:14.0,,,52-48,,Shooting foul by E. Turner (drawn by M. Chalmers)
8:14.0,,,52-49,1,M. Chalmers makes free throw 1 of 2
8:14.0,,,52-50,1,M. Chalmers makes free throw 2 of 2
8:00.0,E. Turner misses 2-pt shot from 12 ft,,52-50,,
7:59.0,,,52-50,,Defensive rebound by M. Chalmers
7:53.0,,,52-52,2,D. Wade makes 2-pt shot at rim (assist by L. Deng)
7:33.0,B. Bass makes 2-pt shot at rim (assist by J. Crowder),2,54-52,,
7:13.0,,,54-52,,D. Wade misses 2-pt shot from 14 ft
7:11.0,,,54-52,,Offensive rebound by H. Whiteside
7:11.0,,,54-52,,Shooting foul by T. Zeller (drawn by H. Whiteside)
7:11.0,,,54-52,,H. Whiteside misses free throw 1 of 2
7:11.0,,,54-52,,Offensive rebound by Team
7:11.0,,,54-53,1,H. Whiteside makes free throw 2 of 2
6:58.0,E. Turner misses 2-pt shot from 16 ft,,54-53,,
6:57.0,,,54-53,,Defensive rebound by H. Whiteside
6:50.0,,,54-55,2,D. Wade makes 2-pt shot from 1 ft
6:46.0,Boston full timeout,,54-55,,
6:46.0,K. Olynyk enters the game for T. Zeller,,54-55,,
6:46.0,,,54-55,,T. Johnson enters the game for M. Chalmers
6:29.0,B. Bass misses 2-pt shot from 11 ft,,54-55,,
6:28.0,,,54-55,,Defensive rebound by H. Whiteside
6:12.0,,,54-57,2,L. Deng makes 2-pt shot from 20 ft
5:56.0,E. Turner misses 2-pt shot from 1 ft,,54-57,,
5:55.0,Offensive rebound by B. Bass,,54-57,,
5:54.0,B. Bass misses 2-pt shot at rim,,54-57,,
5:53.0,Offensive rebound by E. Turner,,54-57,,
5:53.0,,,54-57,,Personal foul by T. Johnson (drawn by E. Turner)
5:45.0,I. Thomas misses 3-pt shot from 25 ft (block by T. Johnson),,54-57,,
5:44.0,,,54-57,,Defensive rebound by H. Whiteside
5:34.0,,,54-57,,Turnover by D. Wade (bad pass)
5:23.0,Shooting foul by D. Wade (drawn by I. Thomas),,54-57,,
5:23.0,I. Thomas makes free throw 1 of 2,1,55-57,,
5:23.0,I. Thomas makes free throw 2 of 2,1,56-57,,
5:06.0,,,56-57,,D. Wade misses 2-pt shot from 12 ft
5:05.0,Defensive rebound by E. Turner,,56-57,,
4:59.0,I. Thomas makes 3-pt shot from 24 ft (assist by K. Olynyk),3,59-57,,
4:59.0,,,59-57,,Miami full timeout
4:40.0,,,59-57,,L. Deng misses 2-pt shot from 19 ft
4:39.0,,,59-57,,Offensive rebound by Team
4:39.0,Loose ball foul by K. Olynyk (drawn by H. Whiteside),,59-57,,
4:39.0,,,59-57,,H. Whiteside misses free throw 1 of 2
4:39.0,,,59-57,,Offensive rebound by Team
4:39.0,,,59-57,,M. Beasley enters the game for H. Walker
4:39.0,,,59-57,,M. Chalmers enters the game for D. Wade
4:39.0,,,59-58,1,H. Whiteside makes free throw 2 of 2
4:24.0,K. Olynyk makes 3-pt shot from 25 ft (assist by B. Bass),3,62-58,,
4:02.0,,,62-58,,H. Whiteside misses 2-pt shot from 5 ft
4:01.0,Defensive rebound by B. Bass,,62-58,,
3:46.0,K. Olynyk misses 3-pt shot from 25 ft,,62-58,,
3:45.0,,,62-58,,Defensive rebound by M. Chalmers
3:33.0,,,62-58,,L. Deng misses 3-pt shot from 24 ft
3:32.0,Defensive rebound by E. Turner,,62-58,,
3:23.0,E. Turner makes 2-pt shot from 1 ft,2,64-58,,
3:07.0,,,64-58,,H. Whiteside misses 2-pt shot at rim
3:06.0,Defensive rebound by B. Bass,,64-58,,
3:01.0,I. Thomas misses 3-pt shot from 24 ft,,64-58,,
3:00.0,Offensive rebound by B. Bass,,64-58,,
2:59.0,B. Bass makes 2-pt shot at rim,2,66-58,,
2:45.0,,,66-58,,Turnover by H. Whiteside (offensive foul)
2:45.0,,,66-58,,H. Whiteside ejected from game
2:45.0,,,66-58,,C. Andersen enters the game for H. Whiteside
2:45.0,K. Olynyk misses flagrant free throw 1 of 2,,66-58,,
2:45.0,Offensive rebound by Team,,66-58,,
2:45.0,K. Olynyk makes flagrant free throw 2 of 2,1,67-58,,
2:30.0,K. Olynyk makes 2-pt shot from 17 ft,2,69-58,,
2:12.0,,,69-60,2,M. Beasley makes 2-pt shot from 18 ft
1:47.0,B. Bass makes 2-pt shot at rim (assist by K. Olynyk),2,71-60,,
1:31.0,,,71-60,,M. Beasley misses 3-pt shot from 24 ft
1:30.0,,,71-60,,Offensive rebound by C. Andersen
1:30.0,,,71-62,2,C. Andersen makes 2-pt shot from 1 ft
1:12.0,B. Bass misses 3-pt shot from 24 ft,,71-62,,
1:11.0,,,71-62,,Defensive rebound by L. Deng
0:54.0,,,71-62,,L. Deng misses 2-pt shot from 1 ft
0:53.0,,,71-62,,Offensive rebound by Team
0:53.0,J. Jerebko enters the game for B. Bass,,71-62,,
0:53.0,L. Datome enters the game for E. Turner,,71-62,,
0:43.0,,,71-62,,Turnover by M. Beasley (bad pass; steal by K. Olynyk)
0:34.0,I. Thomas misses 2-pt shot at rim (block by C. Andersen),,71-62,,
0:33.0,Offensive rebound by J. Jerebko,,71-62,,
0:31.0,J. Jerebko makes 2-pt shot from 1 ft,2,73-62,,
0:31.0,Violation by Team (jump ball),,73-62,,
0:13.0,,,73-64,2,C. Andersen makes 2-pt shot at rim (assist by M. Chalmers)
0:02.0,I. Thomas misses 3-pt shot from 25 ft,,73-64,,
0:01.0,Offensive rebound by J. Crowder,,73-64,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:42.0,,,73-64,,M. Beasley misses 3-pt shot from 24 ft
11:41.0,Defensive rebound by K. Olynyk,,73-64,,
11:40.0,,,73-64,,Personal foul by M. Chalmers (drawn by M. Smart)
11:24.0,L. Datome makes 2-pt shot from 19 ft,2,75-64,,
11:13.0,,,75-64,,Shooting foul by G. Wallace (drawn by D. Wade)
11:13.0,,,75-65,1,D. Wade makes free throw 1 of 2
11:13.0,,,75-66,1,D. Wade makes free throw 2 of 2
10:55.0,,,75-66,,S. Napier enters the game for M. Chalmers
10:50.0,K. Olynyk misses 2-pt shot from 19 ft,,75-66,,
10:49.0,Offensive rebound by J. Jerebko,,75-66,,
10:35.0,G. Wallace makes 2-pt shot at rim,2,77-66,,
10:09.0,,,77-68,2,D. Wade makes 2-pt shot from 11 ft
10:00.0,L. Datome makes 2-pt shot from 14 ft (assist by G. Wallace),2,79-68,,
9:45.0,,,79-68,,Shooting foul by J. Jerebko (drawn by M. Beasley)
9:45.0,,,79-69,1,M. Beasley makes free throw 1 of 2
9:45.0,,,79-70,1,M. Beasley makes free throw 2 of 2
9:24.0,J. Jerebko misses 2-pt shot from 11 ft,,79-70,,
9:23.0,,,79-70,,Defensive rebound by Team
9:23.0,Loose ball foul by L. Datome (drawn by M. Beasley),,79-70,,
9:13.0,,,79-72,2,D. Wade makes 2-pt shot from 19 ft
8:55.0,Official timeout,,79-72,,
8:55.0,Jump ball: M. Beasley vs. L. Datome (K. Olynyk gains possession),,,,Jump ball: M. Beasley vs. L. Datome (K. Olynyk gains possession)
8:48.0,J. Jerebko misses 2-pt shot from 14 ft,,79-72,,
8:47.0,Offensive rebound by M. Smart,,79-72,,
8:26.0,K. Olynyk misses 2-pt shot from 2 ft,,79-72,,
8:25.0,Offensive rebound by Team,,79-72,,
8:25.0,Turnover by Team (shot clock),,79-72,,
8:11.0,Jump ball: L. Datome vs. D. Wade (M. Beasley gains possession),,,,Jump ball: L. Datome vs. D. Wade (M. Beasley gains possession)
8:04.0,,,79-74,2,D. Wade makes 2-pt shot at rim
8:04.0,,,79-74,,Shooting foul by J. Jerebko (drawn by D. Wade)
8:04.0,I. Thomas enters the game for G. Wallace,,79-74,,
8:04.0,,,79-75,1,D. Wade makes free throw 1 of 1
7:51.0,,,79-75,,Personal foul by S. Napier (drawn by I. Thomas)
7:40.0,M. Smart makes 2-pt shot at rim (assist by I. Thomas),2,81-75,,
7:16.0,,,81-78,3,D. Wade makes 3-pt shot from 25 ft (assist by S. Napier)
6:59.0,J. Jerebko makes 2-pt shot from 1 ft,2,83-78,,
6:59.0,Shooting foul by C. Andersen (drawn by J. Jerebko),,83-78,,
6:59.0,J. Jerebko makes free throw 1 of 1,1,84-78,,
6:35.0,,,84-78,,D. Wade misses 2-pt shot from 13 ft
6:34.0,Defensive rebound by J. Jerebko,,84-78,,
6:15.0,J. Jerebko misses 3-pt shot from 24 ft,,84-78,,
6:14.0,,,84-78,,Defensive rebound by M. Beasley
6:06.0,,,84-78,,T. Johnson misses 3-pt shot from 23 ft
6:05.0,Defensive rebound by I. Thomas,,84-78,,
6:03.0,Shooting foul by S. Napier (drawn by I. Thomas),,84-78,,
6:03.0,I. Thomas makes free throw 1 of 2,1,85-78,,
6:03.0,I. Thomas makes free throw 2 of 2,1,86-78,,
6:00.0,,,86-78,,Miami full timeout
6:00.0,,,86-78,,M. Chalmers enters the game for T. Johnson
5:45.0,,,86-78,,M. Beasley misses 2-pt shot from 3 ft
5:44.0,Defensive rebound by L. Datome,,86-78,,
5:38.0,J. Jerebko makes 2-pt shot from 1 ft (assist by I. Thomas),2,88-78,,
5:14.0,,,88-78,,Shooting foul by L. Datome (drawn by S. Napier)
5:14.0,,,88-79,1,S. Napier makes free throw 1 of 2
5:14.0,,,88-79,,H. Walker enters the game for C. Andersen
5:14.0,,,88-80,1,S. Napier makes free throw 2 of 2
4:54.0,I. Thomas makes 2-pt shot from 1 ft,2,90-80,,
4:33.0,,,90-80,,D. Wade misses 3-pt shot from 23 ft
4:31.0,,,90-80,,Offensive rebound by M. Beasley
4:29.0,,,90-82,2,M. Beasley makes 2-pt shot from 12 ft
4:06.0,L. Datome misses 2-pt shot from 12 ft,,90-82,,
4:05.0,,,90-82,,Defensive rebound by D. Wade
3:59.0,Personal foul by M. Smart (drawn by D. Wade),,90-82,,
3:59.0,,,90-83,1,D. Wade makes free throw 1 of 2
3:59.0,,,90-83,,L. Deng enters the game for S. Napier
3:59.0,J. Crowder enters the game for L. Datome,,90-83,,
3:59.0,B. Bass enters the game for K. Olynyk,,90-83,,
3:59.0,,,90-84,1,D. Wade makes free throw 2 of 2
3:44.0,I. Thomas makes 2-pt shot at rim,2,92-84,,
3:44.0,Shooting foul by D. Wade (drawn by I. Thomas),,92-84,,
3:44.0,I. Thomas makes free throw 1 of 1,1,93-84,,
3:23.0,,,93-84,,D. Wade misses 3-pt shot from 24 ft
3:23.0,,,93-84,,Offensive rebound by Team
3:23.0,Loose ball foul by M. Smart (drawn by L. Deng),,93-84,,
3:23.0,L. Datome enters the game for M. Smart,,93-84,,
3:23.0,,,93-85,1,L. Deng makes free throw 1 of 2
3:23.0,,,93-86,1,L. Deng makes free throw 2 of 2
3:00.0,I. Thomas misses 3-pt shot from 24 ft,,93-86,,
2:59.0,,,93-86,,Defensive rebound by D. Wade
2:54.0,,,93-86,,Shooting foul by J. Crowder (drawn by D. Wade)
2:54.0,Boston full timeout,,93-86,,
2:54.0,E. Turner enters the game for L. Datome,,93-86,,
2:54.0,,,93-86,,T. Johnson enters the game for H. Walker
2:54.0,,,93-87,1,D. Wade makes free throw 1 of 2
2:54.0,,,93-87,,D. Wade misses free throw 2 of 2
2:53.0,Defensive rebound by J. Crowder,,93-87,,
2:36.0,I. Thomas makes 3-pt shot from 24 ft (assist by J. Jerebko),3,96-87,,
2:19.0,,,96-87,,Turnover by D. Wade (lost ball; steal by J. Crowder)
1:57.0,I. Thomas misses 3-pt shot from 24 ft,,96-87,,
1:56.0,Offensive rebound by B. Bass,,96-87,,
1:37.0,Shooting foul by M. Chalmers (drawn by I. Thomas),,96-87,,
1:37.0,I. Thomas makes free throw 1 of 2,1,97-87,,
1:37.0,I. Thomas makes free throw 2 of 2,1,98-87,,
1:30.0,Personal foul by J. Crowder (drawn by M. Chalmers),,98-87,,
