time,Atlanta,pts.away,score,pts.home,Indiana
7:25.0,A. Horford makes 2-pt shot at rim (assist by J. Teague),2,9-8,,
6:59.0,,,9-8,,Turnover by D. West (lost ball; steal by P. Millsap)
6:46.0,Turnover by P. Millsap (lost ball; steal by S. Hill),,9-8,,
6:40.0,,,9-8,,Turnover by S. Hill (lost ball; steal by J. Teague)
6:23.0,P. Millsap misses 3-pt shot from 23 ft,,9-8,,
6:22.0,,,9-8,,Defensive rebound by C. Copeland
6:04.0,,,9-8,,R. Hibbert misses 2-pt shot from 9 ft
6:03.0,Defensive rebound by A. Horford,,9-8,,
5:52.0,D. Carroll makes 3-pt shot from 25 ft (assist by A. Horford),3,12-8,,
5:44.0,,,12-8,,Indiana full timeout
5:36.0,,,12-11,3,C. Copeland makes 3-pt shot from 23 ft (assist by D. West)
5:22.0,D. Carroll makes 3-pt shot from 24 ft (assist by P. Millsap),3,15-11,,
5:01.0,,,15-11,,Turnover by R. Stuckey (bad pass; steal by A. Horford)
4:54.0,D. Carroll misses 3-pt shot from 24 ft,,15-11,,
4:52.0,,,15-11,,Defensive rebound by C. Copeland
4:37.0,,,15-11,,R. Stuckey misses 2-pt shot from 5 ft (block by A. Horford)
4:35.0,Defensive rebound by P. Millsap,,15-11,,
4:26.0,A. Horford makes 3-pt shot from 24 ft (assist by K. Korver),3,18-11,,
4:07.0,,,18-11,,Shooting foul by K. Korver (drawn by S. Hill)
4:07.0,,,18-12,1,S. Hill makes free throw 1 of 2
4:07.0,P. Antic enters the game for A. Horford,,18-12,,
4:07.0,S. Mack enters the game for K. Korver,,18-12,,
4:07.0,,,18-12,,L. Allen enters the game for R. Hibbert
4:07.0,,,18-12,,C. Miles enters the game for C. Copeland
4:07.0,,,18-12,,S. Hill misses free throw 2 of 2
4:07.0,Defensive rebound by P. Millsap,,18-12,,
3:54.0,Shooting foul by S. Hill (drawn by P. Millsap),,18-12,,
3:54.0,P. Millsap misses free throw 1 of 2,,18-12,,
3:54.0,Offensive rebound by Team,,18-12,,
3:54.0,P. Millsap makes free throw 2 of 2,1,19-12,,
3:32.0,,,19-12,,D. West misses 2-pt shot from 14 ft
3:31.0,,,19-12,,Offensive rebound by R. Stuckey
3:31.0,,,19-14,2,R. Stuckey makes 2-pt shot at rim
3:21.0,Shooting foul by L. Allen (drawn by P. Antic),,19-14,,
3:21.0,P. Antic makes free throw 1 of 2,1,20-14,,
3:21.0,P. Antic makes free throw 2 of 2,1,21-14,,
3:04.0,,,21-14,,C. Miles misses 3-pt shot from 24 ft
3:02.0,Defensive rebound by P. Millsap,,21-14,,
2:54.0,P. Millsap misses 2-pt shot at rim,,21-14,,
2:53.0,,,21-14,,Defensive rebound by D. West
2:51.0,,,21-14,,Turnover by D. West (bad pass; steal by D. Carroll)
2:45.0,D. Carroll makes 3-pt shot from 22 ft (assist by S. Mack),3,24-14,,
2:28.0,,,24-14,,Shooting foul by P. Antic (drawn by L. Allen)
2:28.0,Atlanta full timeout,,24-14,,
2:28.0,D. Schroder enters the game for P. Millsap,,24-14,,
2:28.0,M. Scott enters the game for J. Teague,,24-14,,
2:28.0,,,24-14,,D. Rudez enters the game for S. Hill
2:28.0,,,24-14,,C. Watson enters the game for R. Stuckey
2:28.0,,,24-14,,L. Allen misses free throw 1 of 2
2:28.0,,,24-14,,Offensive rebound by Team
2:28.0,,,24-14,,L. Allen misses free throw 2 of 2
2:28.0,Defensive rebound by D. Carroll,,24-14,,
2:16.0,Turnover by D. Schroder (bad pass),,24-14,,
2:02.0,,,24-14,,C. Watson misses 3-pt shot from 27 ft
2:01.0,Defensive rebound by M. Scott,,24-14,,
1:52.0,P. Antic misses 2-pt shot from 2 ft,,24-14,,
1:51.0,Offensive rebound by D. Schroder,,24-14,,
1:37.0,P. Antic misses 3-pt shot from 26 ft,,24-14,,
1:36.0,,,24-14,,Defensive rebound by C. Miles
1:23.0,,,24-16,2,L. Allen makes 2-pt shot from 16 ft (assist by D. West)
1:06.0,S. Mack misses 2-pt shot from 17 ft,,24-16,,
1:05.0,,,24-16,,Defensive rebound by L. Allen
0:52.0,,,24-18,2,D. West makes 2-pt shot from 6 ft (assist by C. Miles)
0:30.0,D. Schroder makes 2-pt shot from 5 ft,2,26-18,,
0:10.0,,,26-18,,D. Rudez misses 2-pt shot from 3 ft
0:08.0,Defensive rebound by D. Carroll,,26-18,,
0:03.0,M. Scott makes 2-pt shot at rim (assist by D. Carroll),2,28-18,,
0:00.0,,,28-18,,C. Watson misses 3-pt shot from 47 ft
0:00.0,,,28-18,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:49.0,D. Schroder makes 2-pt shot from 17 ft,2,30-18,,
11:37.0,,,30-18,,Turnover by L. Allen (bad pass)
11:30.0,M. Scott makes 2-pt shot from 8 ft (assist by P. Antic),2,32-18,,
11:16.0,,,32-18,,Shooting foul by D. Schroder (drawn by C. Watson)
11:16.0,,,32-19,1,C. Watson makes free throw 1 of 2
11:16.0,,,32-19,,C. Watson misses free throw 2 of 2
11:16.0,Defensive rebound by M. Scott,,32-19,,
11:05.0,,,32-19,,Personal foul by C. Watson (drawn by D. Schroder)
10:54.0,M. Scott makes 2-pt shot from 17 ft (assist by S. Mack),2,34-19,,
10:37.0,,,34-21,2,L. Allen makes 2-pt shot from 21 ft (assist by C. Watson)
10:23.0,,,34-21,,Personal foul by C. Watson (drawn by D. Schroder)
10:11.0,S. Mack misses 3-pt shot from 26 ft,,34-21,,
10:10.0,,,34-21,,Defensive rebound by L. Scola
10:04.0,,,34-21,,C. Miles misses 2-pt shot from 11 ft
10:01.0,Defensive rebound by D. Schroder,,34-21,,
9:56.0,T. Sefolosha makes 2-pt shot at rim (assist by D. Schroder),2,36-21,,
9:41.0,,,36-21,,L. Scola misses 2-pt shot from 3 ft
9:41.0,Defensive rebound by Team,,36-21,,
9:41.0,A. Horford enters the game for P. Antic,,36-21,,
9:24.0,T. Sefolosha makes 2-pt shot from 3 ft (assist by A. Horford),2,38-21,,
9:21.0,,,38-21,,Indiana full timeout
9:08.0,,,38-23,2,L. Scola makes 2-pt shot from 1 ft (assist by D. Rudez)
9:08.0,,,38-23,,Shooting foul by A. Horford (drawn by L. Scola)
9:08.0,,,38-23,,L. Scola misses free throw 1 of 1
9:08.0,Defensive rebound by T. Sefolosha,,38-23,,
8:52.0,S. Mack misses 2-pt shot from 5 ft,,38-23,,
8:51.0,,,38-23,,Defensive rebound by L. Scola
8:32.0,,,38-25,2,L. Allen makes 2-pt shot from 2 ft (assist by L. Scola)
8:16.0,Turnover by D. Schroder (offensive foul),,38-25,,
8:16.0,Offensive charge foul by D. Schroder,,38-25,,
8:16.0,K. Korver enters the game for S. Mack,,38-25,,
8:00.0,,,38-27,2,D. Rudez makes 2-pt shot from 21 ft
7:48.0,K. Korver makes 3-pt shot from 22 ft (assist by A. Horford),3,41-27,,
7:26.0,,,41-27,,L. Scola misses 2-pt shot from 1 ft
7:25.0,Defensive rebound by A. Horford,,41-27,,
7:08.0,T. Sefolosha makes 2-pt shot at rim (assist by K. Korver),2,43-27,,
6:54.0,,,43-27,,Turnover by L. Scola (bad pass)
6:54.0,P. Millsap enters the game for M. Scott,,43-27,,
6:54.0,J. Teague enters the game for D. Schroder,,43-27,,
6:42.0,K. Korver misses 3-pt shot from 26 ft,,43-27,,
6:41.0,,,43-27,,Defensive rebound by L. Allen
6:34.0,,,43-27,,Turnover by C. Watson (bad pass; steal by T. Sefolosha)
6:29.0,T. Sefolosha misses 2-pt shot from 1 ft (block by L. Allen),,43-27,,
6:27.0,,,43-27,,Defensive rebound by C. Watson
6:20.0,,,43-27,,D. Rudez misses 3-pt shot from 26 ft
6:20.0,Defensive rebound by K. Korver,,43-27,,
5:58.0,T. Sefolosha misses 2-pt shot from 2 ft,,43-27,,
5:54.0,Offensive rebound by T. Sefolosha,,43-27,,
5:50.0,Shooting foul by L. Scola (drawn by P. Millsap),,43-27,,
5:50.0,Official timeout,,43-27,,
5:50.0,,,43-27,,R. Hibbert enters the game for L. Allen
5:50.0,,,43-27,,S. Hill enters the game for C. Miles
5:50.0,,,43-27,,R. Stuckey enters the game for C. Watson
5:50.0,P. Millsap makes free throw 1 of 2,1,44-27,,
5:50.0,P. Millsap misses free throw 2 of 2,,44-27,,
5:50.0,,,44-27,,Defensive rebound by L. Scola
5:30.0,,,44-29,2,L. Scola makes 2-pt shot from 17 ft (assist by S. Hill)
5:15.0,K. Korver makes 2-pt shot from 1 ft (assist by J. Teague),2,46-29,,
5:15.0,Shooting foul by S. Hill (drawn by K. Korver),,46-29,,
5:15.0,K. Korver makes free throw 1 of 1,1,47-29,,
4:57.0,,,47-29,,D. Rudez misses 3-pt shot from 27 ft
4:56.0,Defensive rebound by T. Sefolosha,,47-29,,
4:47.0,T. Sefolosha misses 2-pt shot at rim,,47-29,,
4:46.0,,,47-29,,Defensive rebound by S. Hill
4:33.0,,,47-32,3,D. Rudez makes 3-pt shot from 23 ft (assist by R. Hibbert)
4:17.0,,,47-32,,Personal foul by R. Hibbert (drawn by A. Horford)
4:17.0,A. Horford makes free throw 1 of 2,1,48-32,,
4:17.0,D. Carroll enters the game for T. Sefolosha,,48-32,,
4:17.0,A. Horford makes free throw 2 of 2,1,49-32,,
4:00.0,,,49-34,2,L. Scola makes 2-pt shot from 18 ft
3:46.0,A. Horford misses 2-pt shot from 17 ft,,49-34,,
3:45.0,,,49-34,,Defensive rebound by S. Hill
3:37.0,,,49-37,3,R. Stuckey makes 3-pt shot from 23 ft (assist by S. Hill)
3:25.0,K. Korver misses 3-pt shot from 26 ft,,49-37,,
3:23.0,,,49-37,,Defensive rebound by S. Hill
3:17.0,,,49-39,2,S. Hill makes 2-pt shot at rim
3:16.0,Atlanta full timeout,,49-39,,
2:58.0,Shooting foul by R. Stuckey (drawn by A. Horford),,49-39,,
2:58.0,A. Horford makes free throw 1 of 2,1,50-39,,
2:58.0,A. Horford makes free throw 2 of 2,1,51-39,,
2:35.0,,,51-39,,R. Hibbert misses 2-pt shot from 9 ft
2:34.0,,,51-39,,Offensive rebound by L. Scola
2:32.0,,,51-41,2,L. Scola makes 2-pt shot at rim
2:20.0,,,51-41,,Personal foul by R. Stuckey (drawn by J. Teague)
2:20.0,J. Teague makes free throw 1 of 2,1,52-41,,
2:20.0,P. Antic enters the game for A. Horford,,52-41,,
2:20.0,J. Teague makes free throw 2 of 2,1,53-41,,
2:06.0,Personal foul by P. Millsap (drawn by L. Scola),,53-41,,
1:54.0,,,53-41,,R. Stuckey misses 2-pt shot from 1 ft (block by P. Antic)
1:52.0,,,53-41,,Offensive rebound by L. Scola
1:52.0,,,53-43,2,L. Scola makes 2-pt shot from 2 ft
1:29.0,J. Teague makes 2-pt shot from 1 ft,2,55-43,,
1:08.0,,,55-43,,R. Hibbert misses 2-pt shot from 14 ft
1:07.0,Defensive rebound by J. Teague,,55-43,,
1:04.0,Shooting foul by L. Scola (drawn by D. Carroll),,55-43,,
1:04.0,D. Carroll makes free throw 1 of 2,1,56-43,,
1:04.0,A. Horford enters the game for P. Millsap,,56-43,,
1:04.0,D. Carroll misses free throw 2 of 2,,56-43,,
1:04.0,,,56-43,,Defensive rebound by L. Scola
0:50.0,Personal foul by P. Antic (drawn by R. Hibbert),,56-43,,
0:44.0,,,56-43,,S. Hill misses 2-pt shot from 7 ft
0:41.0,Defensive rebound by K. Korver,,56-43,,
0:27.0,J. Teague makes 2-pt shot from 1 ft,2,58-43,,
0:22.0,,,58-43,,Indiana full timeout
0:22.0,T. Sefolosha enters the game for K. Korver,,58-43,,
0:06.0,,,58-43,,R. Stuckey misses 2-pt shot from 2 ft (block by A. Horford)
0:05.0,Defensive rebound by T. Sefolosha,,58-43,,
0:02.0,J. Teague makes 2-pt shot from 2 ft,2,60-43,,
0:00.0,,,60-43,,L. Scola misses 3-pt shot from 43 ft
0:00.0,,,60-43,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:35.0,Turnover by D. Carroll (lost ball; steal by R. Stuckey),,60-43,,
11:31.0,,,60-45,2,R. Stuckey makes 2-pt shot at rim
11:21.0,Offensive foul by P. Millsap,,60-45,,
11:21.0,Turnover by P. Millsap (offensive foul),,60-45,,
11:07.0,,,60-45,,Turnover by C. Copeland (bad pass)
10:48.0,J. Teague misses 2-pt shot from 8 ft,,60-45,,
10:46.0,Offensive rebound by D. Carroll,,60-45,,
10:40.0,Shooting foul by C. Copeland (drawn by P. Millsap),,60-45,,
10:40.0,P. Millsap misses free throw 1 of 2,,60-45,,
10:40.0,Offensive rebound by Team,,60-45,,
10:40.0,P. Millsap misses free throw 2 of 2,,60-45,,
10:40.0,,,60-45,,Defensive rebound by R. Hibbert
10:25.0,,,60-45,,D. West misses 2-pt shot from 6 ft
10:24.0,Defensive rebound by A. Horford,,60-45,,
10:14.0,A. Horford misses 2-pt shot from 21 ft,,60-45,,
10:13.0,,,60-45,,Defensive rebound by S. Hill
9:57.0,,,60-45,,C. Copeland misses 2-pt shot from 3 ft (block by P. Millsap)
9:55.0,Defensive rebound by D. Carroll,,60-45,,
9:36.0,J. Teague makes 3-pt shot from 26 ft (assist by K. Korver),3,63-45,,
9:17.0,,,63-45,,Turnover by C. Copeland (lost ball; steal by D. Carroll)
9:17.0,Atlanta full timeout,,63-45,,
9:12.0,D. Carroll makes 2-pt shot from 1 ft (assist by J. Teague),2,65-45,,
8:50.0,,,65-45,,C. Copeland misses 3-pt shot from 22 ft
8:49.0,,,65-45,,Offensive rebound by R. Stuckey
8:49.0,Loose ball foul by P. Millsap (drawn by R. Stuckey),,65-45,,
8:37.0,,,65-47,2,R. Hibbert makes 2-pt shot from 8 ft
8:25.0,J. Teague makes 2-pt shot at rim (assist by K. Korver),2,67-47,,
8:25.0,Shooting foul by R. Stuckey (drawn by J. Teague),,67-47,,
8:25.0,J. Teague makes free throw 1 of 1,1,68-47,,
8:06.0,,,68-47,,D. West misses 2-pt shot from 18 ft
8:05.0,Defensive rebound by P. Millsap,,68-47,,
7:54.0,P. Millsap misses 3-pt shot from 25 ft,,68-47,,
7:53.0,,,68-47,,Defensive rebound by S. Hill
7:44.0,,,68-49,2,D. West makes 2-pt shot from 1 ft (assist by S. Hill)
7:23.0,A. Horford makes 2-pt shot from 1 ft (assist by D. Carroll),2,70-49,,
7:16.0,,,70-49,,Indiana full timeout
7:04.0,,,70-49,,R. Hibbert misses 2-pt shot from 6 ft
7:03.0,Defensive rebound by J. Teague,,70-49,,
6:55.0,,,70-49,,Personal foul by D. West (drawn by P. Millsap)
6:41.0,P. Millsap misses 2-pt shot from 3 ft,,70-49,,
6:40.0,,,70-49,,Defensive rebound by R. Hibbert
6:27.0,,,70-51,2,R. Hibbert makes 2-pt shot from 19 ft (assist by R. Stuckey)
5:57.0,J. Teague makes 2-pt shot from 15 ft,2,72-51,,
5:33.0,,,72-53,2,D. West makes 2-pt shot from 7 ft
5:19.0,Turnover by K. Korver (bad pass),,72-53,,
5:19.0,P. Antic enters the game for P. Millsap,,72-53,,
5:02.0,,,72-55,2,D. West makes 2-pt shot from 20 ft (assist by R. Stuckey)
4:52.0,A. Horford makes 2-pt shot from 1 ft (assist by J. Teague),2,74-55,,
4:40.0,Personal foul by P. Antic (drawn by D. West),,74-55,,
4:31.0,,,74-57,2,R. Hibbert makes 2-pt shot from 18 ft (assist by R. Stuckey)
4:15.0,Shooting foul by R. Hibbert (drawn by A. Horford),,74-57,,
4:15.0,A. Horford makes free throw 1 of 2,1,75-57,,
4:15.0,,,75-57,,C. Miles enters the game for C. Copeland
4:15.0,S. Mack enters the game for K. Korver,,75-57,,
4:15.0,A. Horford makes free throw 2 of 2,1,76-57,,
4:05.0,,,76-57,,R. Hibbert misses 2-pt shot from 20 ft
4:03.0,Defensive rebound by P. Antic,,76-57,,
3:55.0,J. Teague misses 2-pt shot from 13 ft,,76-57,,
3:54.0,,,76-57,,Defensive rebound by C. Miles
3:47.0,,,76-57,,D. West misses 2-pt shot from 19 ft
3:46.0,Defensive rebound by S. Mack,,76-57,,
3:31.0,D. Carroll misses 3-pt shot from 25 ft,,76-57,,
3:30.0,,,76-57,,Defensive rebound by D. West
3:26.0,,,76-59,2,R. Stuckey makes 2-pt shot at rim (assist by S. Hill)
3:11.0,A. Horford makes 2-pt shot from 21 ft (assist by S. Mack),2,78-59,,
2:53.0,,,78-61,2,R. Stuckey makes 2-pt shot from 5 ft
2:41.0,P. Antic makes 3-pt shot from 26 ft (assist by S. Mack),3,81-61,,
2:21.0,,,81-61,,D. West misses 2-pt shot from 16 ft
2:20.0,Defensive rebound by S. Mack,,81-61,,
2:12.0,A. Horford misses 2-pt shot from 7 ft,,81-61,,
2:12.0,,,81-61,,Defensive rebound by R. Hibbert
2:10.0,,,81-61,,Turnover by R. Hibbert (lost ball; steal by P. Antic)
2:05.0,D. Carroll misses 2-pt shot from 6 ft,,81-61,,
2:04.0,,,81-61,,Defensive rebound by R. Stuckey
2:02.0,,,81-61,,Shooting foul by P. Antic (drawn by R. Stuckey)
2:02.0,,,81-61,,R. Stuckey misses free throw 1 of 2
2:02.0,,,81-61,,Offensive rebound by Team
2:02.0,,,81-61,,L. Scola enters the game for D. West
2:02.0,,,81-61,,L. Allen enters the game for R. Hibbert
2:02.0,D. Schroder enters the game for D. Carroll,,81-61,,
2:02.0,T. Sefolosha enters the game for A. Horford,,81-61,,
2:02.0,M. Scott enters the game for J. Teague,,81-61,,
2:02.0,,,81-62,1,R. Stuckey makes free throw 2 of 2
1:53.0,M. Scott misses 2-pt shot from 3 ft,,81-62,,
1:52.0,Offensive rebound by P. Antic,,81-62,,
1:52.0,P. Antic makes 2-pt shot from 2 ft,2,83-62,,
1:30.0,,,83-62,,L. Scola misses 2-pt shot from 21 ft
1:29.0,Defensive rebound by T. Sefolosha,,83-62,,
1:18.0,Turnover by D. Schroder (bad pass),,83-62,,
1:18.0,,,83-62,,C. Watson enters the game for R. Stuckey
1:18.0,P. Millsap enters the game for P. Antic,,83-62,,
1:00.0,,,83-64,2,L. Scola makes 2-pt shot from 1 ft (assist by S. Hill)
0:50.0,P. Millsap makes 2-pt shot at rim (assist by M. Scott),2,85-64,,
0:49.0,,,85-64,,Turnover by L. Scola (bad pass)
0:34.0,Turnover by T. Sefolosha (lost ball),,85-64,,
0:26.0,,,85-64,,C. Watson misses 2-pt shot from 2 ft
0:25.0,Defensive rebound by P. Millsap,,85-64,,
0:05.0,D. Schroder misses 2-pt shot from 10 ft,,85-64,,
0:03.0,,,85-64,,Defensive rebound by Team
0:00.0,,,85-64,,S. Hill misses 3-pt shot from 40 ft
0:00.0,,,85-64,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:43.0,,,85-67,3,C. Miles makes 3-pt shot from 27 ft (assist by C. Watson)
11:24.0,S. Mack makes 2-pt shot at rim,2,87-67,,
11:24.0,Shooting foul by D. Rudez (drawn by S. Mack),,87-67,,
11:24.0,S. Mack makes free throw 1 of 1,1,88-67,,
11:07.0,,,88-67,,Turnover by L. Allen (offensive foul)
11:07.0,,,88-67,,Offensive charge foul by L. Allen
10:54.0,M. Scott misses 3-pt shot from 26 ft,,88-67,,
10:53.0,,,88-67,,Defensive rebound by C. Watson
10:48.0,Personal foul by M. Scott (drawn by L. Scola),,88-67,,
10:40.0,,,88-70,3,C. Miles makes 3-pt shot from 25 ft (assist by C. Watson)
10:24.0,D. Schroder makes 2-pt shot from 4 ft,2,90-70,,
10:04.0,,,90-73,3,C. Watson makes 3-pt shot from 25 ft (assist by D. Rudez)
9:47.0,Turnover by S. Mack (bad pass),,90-73,,
9:29.0,,,90-73,,D. Rudez misses 3-pt shot from 22 ft
9:28.0,Defensive rebound by D. Schroder,,90-73,,
9:14.0,S. Mack misses 2-pt shot from 5 ft,,90-73,,
9:13.0,,,90-73,,Defensive rebound by L. Scola
9:08.0,,,90-73,,Shooting foul by M. Scott (drawn by L. Allen)
9:08.0,,,90-74,1,L. Allen makes free throw 1 of 2
9:08.0,K. Korver enters the game for S. Mack,,90-74,,
9:08.0,,,90-75,1,L. Allen makes free throw 2 of 2
8:56.0,Offensive charge foul by D. Schroder,,90-75,,
8:56.0,Turnover by D. Schroder (offensive foul),,90-75,,
8:56.0,Official timeout,,90-75,,
8:56.0,D. Carroll enters the game for M. Scott,,90-75,,
8:56.0,A. Horford enters the game for T. Sefolosha,,90-75,,
8:44.0,,,90-75,,C. Miles misses 2-pt shot from 4 ft
8:43.0,Defensive rebound by P. Millsap,,90-75,,
8:21.0,A. Horford misses 2-pt shot from 6 ft,,90-75,,
8:19.0,Offensive rebound by A. Horford,,90-75,,
8:17.0,A. Horford makes 2-pt shot from 5 ft,2,92-75,,
8:12.0,,,92-75,,Shooting foul by D. Carroll (drawn by C. Miles)
8:12.0,,,92-78,3,C. Miles makes 3-pt shot from 26 ft
8:12.0,,,92-79,1,C. Miles makes free throw 1 of 1
7:59.0,,,92-79,,Personal foul by L. Scola (drawn by P. Millsap)
7:59.0,J. Teague enters the game for D. Schroder,,92-79,,
7:57.0,,,92-79,,Personal foul by C. Miles (drawn by K. Korver)
7:46.0,Turnover by A. Horford (bad pass; steal by C. Watson),,92-79,,
7:40.0,,,92-79,,Offensive foul by L. Allen
7:40.0,,,92-79,,Turnover by L. Allen (offensive foul)
7:29.0,A. Horford makes 2-pt shot from 20 ft (assist by J. Teague),2,94-79,,
7:14.0,,,94-79,,C. Miles misses 3-pt shot from 25 ft
7:12.0,,,94-79,,Offensive rebound by L. Scola
7:12.0,,,94-79,,L. Scola misses 2-pt shot at rim
7:11.0,Defensive rebound by P. Millsap,,94-79,,
7:05.0,P. Millsap makes 2-pt shot from 1 ft (assist by J. Teague),2,96-79,,
7:05.0,Shooting foul by C. Miles (drawn by P. Millsap),,96-79,,
7:05.0,,,96-79,,Indiana full timeout
7:05.0,,,96-79,,Technical foul by Team
7:05.0,,,96-79,,S. Hill enters the game for D. Rudez
7:05.0,K. Korver makes technical free throw,1,97-79,,
7:05.0,P. Millsap makes free throw 1 of 1,1,98-79,,
6:47.0,,,98-82,3,C. Watson makes 3-pt shot from 27 ft (assist by L. Scola)
6:22.0,A. Horford misses 2-pt shot from 13 ft,,98-82,,
6:21.0,,,98-82,,Defensive rebound by C. Watson
6:07.0,,,98-82,,S. Hill misses 2-pt shot at rim (block by P. Millsap)
6:06.0,Defensive rebound by D. Carroll,,98-82,,
5:53.0,Turnover by J. Teague (lost ball; steal by C. Watson),,98-82,,
5:47.0,,,98-82,,Turnover by C. Miles (bad pass; steal by J. Teague)
5:47.0,,,98-82,,Personal foul by L. Scola (drawn by J. Teague)
5:47.0,J. Teague misses free throw 1 of 2,,98-82,,
5:47.0,Offensive rebound by Team,,98-82,,
5:47.0,J. Teague makes free throw 2 of 2,1,99-82,,
5:35.0,,,99-82,,L. Scola misses 2-pt shot from 20 ft (block by A. Horford)
5:33.0,Defensive rebound by D. Carroll,,99-82,,
5:24.0,A. Horford makes 2-pt shot from 1 ft,2,101-82,,
5:14.0,,,101-85,3,C. Miles makes 3-pt shot from 26 ft (assist by C. Watson)
5:03.0,J. Teague misses 2-pt shot from 2 ft,,101-85,,
5:02.0,,,101-85,,Defensive rebound by L. Allen
4:57.0,,,101-85,,C. Watson misses 3-pt shot from 26 ft
4:54.0,,,101-85,,Offensive rebound by L. Scola
4:51.0,,,101-85,,C. Miles misses 3-pt shot from 26 ft
4:50.0,,,101-85,,Offensive rebound by S. Hill
4:50.0,Loose ball foul by K. Korver (drawn by S. Hill),,101-85,,
4:50.0,P. Antic enters the game for A. Horford,,101-85,,
4:50.0,,,101-85,,D. West enters the game for L. Scola
4:50.0,,,101-85,,C. Copeland enters the game for L. Allen
4:39.0,,,101-85,,Turnover by S. Hill (bad pass; steal by K. Korver)
4:33.0,Shooting foul by C. Copeland (drawn by P. Millsap),,101-85,,
4:33.0,P. Millsap misses free throw 1 of 2,,101-85,,
4:33.0,Offensive rebound by Team,,101-85,,
4:33.0,,,101-85,,R. Stuckey enters the game for S. Hill
4:33.0,P. Millsap misses free throw 2 of 2,,101-85,,
4:33.0,,,101-85,,Defensive rebound by C. Copeland
4:16.0,,,101-85,,C. Miles misses 2-pt shot at rim
4:15.0,Defensive rebound by J. Teague,,101-85,,
4:02.0,J. Teague makes 2-pt shot from 11 ft,2,103-85,,
3:49.0,,,103-85,,C. Watson misses 3-pt shot from 26 ft
3:48.0,Defensive rebound by P. Millsap,,103-85,,
3:38.0,K. Korver misses 3-pt shot from 26 ft,,103-85,,
3:36.0,,,103-85,,Defensive rebound by D. West
3:21.0,,,103-85,,R. Stuckey misses 2-pt shot from 20 ft
3:20.0,Defensive rebound by K. Korver,,103-85,,
3:10.0,P. Antic misses 3-pt shot from 26 ft,,103-85,,
3:08.0,,,103-85,,Defensive rebound by D. West
3:00.0,,,103-85,,Shooting foul by P. Antic (drawn by R. Stuckey)
3:00.0,,,103-86,1,R. Stuckey makes free throw 1 of 2
3:00.0,,,103-86,,S. Whittington enters the game for D. West
3:00.0,,,103-86,,R. Stuckey misses free throw 2 of 2
3:00.0,Defensive rebound by D. Carroll,,103-86,,
2:47.0,K. Korver makes 3-pt shot from 27 ft (assist by J. Teague),3,106-86,,
2:42.0,,,106-86,,Indiana full timeout
2:42.0,Atlanta full timeout,,106-86,,
2:42.0,K. Bazemore enters the game for D. Carroll,,106-86,,
2:42.0,M. Muscala enters the game for P. Millsap,,106-86,,
2:42.0,S. Mack enters the game for K. Korver,,106-86,,
