time,Washington,pts.away,score,pts.home,Sacramento
10:14.0,Washington full timeout,,52-65,,
10:01.0,B. Beal makes 2-pt shot at rim (assist by N. Hilario),2,54-65,,
9:44.0,,,54-65,,R. Gay misses 2-pt shot from 2 ft
9:43.0,Defensive rebound by P. Pierce,,54-65,,
9:36.0,P. Pierce misses 3-pt shot from 25 ft,,54-65,,
9:34.0,Offensive rebound by N. Hilario,,54-65,,
9:34.0,N. Hilario misses 2-pt shot at rim,,54-65,,
9:33.0,Offensive rebound by M. Gortat,,54-65,,
9:32.0,M. Gortat misses 2-pt shot from 2 ft,,54-65,,
9:31.0,Offensive rebound by N. Hilario,,54-65,,
9:31.0,N. Hilario misses 2-pt shot from 2 ft,,54-65,,
9:30.0,,,54-65,,Defensive rebound by R. McCallum
9:23.0,,,54-68,3,R. Gay makes 3-pt shot from 23 ft (assist by R. McCallum)
9:12.0,Turnover by J. Wall (lost ball; steal by D. Cousins),,54-68,,
9:08.0,,,54-68,,Turnover by R. Gay (bad pass)
8:56.0,B. Beal misses 3-pt shot from 24 ft,,54-68,,
8:56.0,,,54-68,,Defensive rebound by D. Cousins
8:45.0,Personal foul by P. Pierce (drawn by D. Cousins),,54-68,,
8:35.0,,,54-68,,R. Gay misses 3-pt shot from 24 ft
8:35.0,Defensive rebound by J. Wall,,54-68,,
8:28.0,N. Hilario makes 2-pt shot from 2 ft (assist by J. Wall),2,56-68,,
8:02.0,,,56-70,2,R. McCallum makes 2-pt shot from 16 ft
7:47.0,R. Butler enters the game for P. Pierce,,56-70,,
7:42.0,Turnover by B. Beal (bad pass; steal by O. Casspi),,56-70,,
7:39.0,,,56-72,2,D. Cousins makes 2-pt shot from 1 ft (assist by O. Casspi)
7:39.0,,,56-72,,Shooting foul by B. Beal (drawn by D. Cousins)
7:39.0,,,56-73,1,D. Cousins makes free throw 1 of 1
7:26.0,Turnover by B. Beal (bad pass; steal by O. Casspi),,56-73,,
7:24.0,,,56-73,,Shooting foul by J. Wall (drawn by O. Casspi)
7:24.0,,,56-74,1,O. Casspi makes free throw 1 of 2
7:24.0,,,56-75,1,O. Casspi makes free throw 2 of 2
7:10.0,Shooting foul by O. Casspi (drawn by N. Hilario),,56-75,,
7:10.0,N. Hilario misses free throw 1 of 2,,56-75,,
7:10.0,Offensive rebound by Team,,56-75,,
7:10.0,N. Hilario misses free throw 2 of 2,,56-75,,
7:08.0,,,56-75,,Defensive rebound by D. Cousins
6:56.0,,,56-75,,B. McLemore misses 3-pt shot from 26 ft
6:56.0,Defensive rebound by J. Wall,,56-75,,
6:51.0,J. Wall misses 2-pt shot from 2 ft,,56-75,,
6:50.0,,,56-75,,Defensive rebound by B. McLemore
6:46.0,,,56-75,,Turnover by D. Cousins (bad pass)
6:34.0,J. Wall misses 2-pt shot from 6 ft,,56-75,,
6:34.0,Offensive rebound by R. Butler,,56-75,,
6:28.0,N. Hilario makes 2-pt shot at rim (assist by J. Wall),2,58-75,,
6:05.0,,,58-77,2,B. McLemore makes 2-pt shot from 19 ft (assist by D. Cousins)
5:56.0,R. Butler makes 2-pt shot from 4 ft (assist by J. Wall),2,60-77,,
5:37.0,,,60-77,,R. Gay misses 3-pt shot from 23 ft
5:36.0,Defensive rebound by B. Beal,,60-77,,
5:31.0,N. Hilario makes 2-pt shot from 2 ft (assist by B. Beal),2,62-77,,
5:15.0,,,62-79,2,D. Cousins makes 2-pt shot from 2 ft
5:15.0,,,62-79,,Shooting foul by N. Hilario (drawn by D. Cousins)
5:15.0,D. Gooden enters the game for N. Hilario,,62-79,,
5:15.0,,,62-80,1,D. Cousins makes free throw 1 of 1
5:05.0,J. Wall makes 2-pt shot from 2 ft,2,64-80,,
4:47.0,,,64-80,,Offensive foul by D. Cousins
4:47.0,,,64-80,,Turnover by D. Cousins (offensive foul)
4:47.0,,,64-80,,D. Williams enters the game for R. Gay
4:47.0,R. Sessions enters the game for B. Beal,,64-80,,
4:47.0,,,64-80,,J. Thompson enters the game for D. Cousins
4:36.0,Turnover by J. Wall (bad pass),,64-80,,
4:32.0,,,64-83,3,B. McLemore makes 3-pt shot from 23 ft (assist by O. Casspi)
4:08.0,R. Butler misses 2-pt shot from 15 ft,,64-83,,
4:08.0,Offensive rebound by M. Gortat,,64-83,,
3:59.0,D. Gooden misses 2-pt shot from 20 ft,,64-83,,
3:57.0,Offensive rebound by Team,,64-83,,
3:57.0,,,64-83,,Sacramento full timeout
3:51.0,R. Butler misses 3-pt shot from 23 ft,,64-83,,
3:49.0,Offensive rebound by M. Gortat,,64-83,,
3:49.0,,,64-83,,Personal foul by J. Thompson (drawn by M. Gortat)
3:48.0,,,64-83,,Personal foul by B. McLemore (drawn by R. Sessions)
3:42.0,R. Sessions makes 2-pt shot from 9 ft,2,66-83,,
3:30.0,,,66-83,,Turnover by D. Williams (lost ball)
3:24.0,M. Gortat makes 2-pt shot from 1 ft (assist by J. Wall),2,68-83,,
3:07.0,,,68-83,,R. Evans enters the game for J. Thompson
2:57.0,,,68-83,,R. McCallum misses 3-pt shot from 24 ft
2:56.0,,,68-83,,Offensive rebound by B. McLemore
2:42.0,,,68-85,2,R. McCallum makes 2-pt shot at rim (assist by R. Evans)
2:16.0,D. Gooden misses 2-pt shot from 16 ft,,68-85,,
2:16.0,,,68-85,,Defensive rebound by R. Evans
2:11.0,,,68-85,,D. Williams misses 2-pt shot from 1 ft
2:09.0,Defensive rebound by M. Gortat,,68-85,,
1:55.0,Shooting foul by O. Casspi (drawn by M. Gortat),,68-85,,
1:55.0,M. Gortat misses free throw 1 of 2,,68-85,,
1:55.0,Offensive rebound by Team,,68-85,,
1:55.0,,,68-85,,N. Stauskas enters the game for O. Casspi
1:55.0,M. Gortat misses free throw 2 of 2,,68-85,,
1:54.0,,,68-85,,Defensive rebound by D. Williams
1:36.0,,,68-85,,Shooting foul by R. Sessions (drawn by R. McCallum)
1:36.0,,,68-86,1,R. McCallum makes free throw 1 of 2
1:36.0,,,68-87,1,R. McCallum makes free throw 2 of 2
1:35.0,,,68-87,,Personal foul by R. McCallum (drawn by J. Wall)
1:35.0,J. Wall makes free throw 1 of 2,1,69-87,,
1:35.0,J. Wall makes free throw 2 of 2,1,70-87,,
1:14.0,,,70-87,,Shooting foul by M. Gortat (drawn by D. Williams)
1:14.0,,,70-88,1,D. Williams makes free throw 1 of 2
1:14.0,,,70-88,,D. Williams misses free throw 2 of 2
1:14.0,,,70-88,,Offensive rebound by R. Evans
1:00.0,,,70-88,,Turnover by D. Williams (lost ball; steal by J. Wall)
0:55.0,Turnover by J. Wall (lost ball; steal by R. Evans),,70-88,,
0:48.0,,,70-90,2,B. McLemore makes 2-pt shot at rim (assist by D. Williams)
0:24.0,R. Sessions misses 2-pt shot from 5 ft (block by D. Williams),,70-90,,
0:24.0,Offensive rebound by Team,,70-90,,
0:24.0,Turnover by Team (shot clock),,70-90,,
0:04.0,,,70-90,,D. Williams misses 2-pt shot from 21 ft
0:03.0,Defensive rebound by R. Sessions,,70-90,,
0:00.0,R. Sessions misses 3-pt shot from 36 ft,,70-90,,
0:00.0,Offensive rebound by Team,,70-90,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:46.0,M. Webster misses 2-pt shot from 16 ft,,70-90,,
11:44.0,Offensive rebound by D. Gooden,,70-90,,
11:44.0,D. Gooden misses 2-pt shot from 2 ft,,70-90,,
11:44.0,,,70-90,,Defensive rebound by B. McLemore
11:18.0,,,70-90,,N. Stauskas misses 2-pt shot from 19 ft
11:17.0,Defensive rebound by K. Seraphin,,70-90,,
11:05.0,Turnover by K. Seraphin (bad pass; steal by B. McLemore),,70-90,,
10:47.0,,,70-90,,R. Evans misses 2-pt shot from 4 ft
10:45.0,Defensive rebound by D. Gooden,,70-90,,
10:37.0,D. Gooden misses 3-pt shot from 24 ft,,70-90,,
10:36.0,,,70-90,,Defensive rebound by D. Williams
10:20.0,,,70-93,3,B. McLemore makes 3-pt shot from 25 ft (assist by D. Williams)
9:52.0,K. Seraphin makes 2-pt shot from 4 ft,2,72-93,,
9:25.0,,,72-93,,N. Stauskas misses 3-pt shot from 22 ft
9:24.0,Defensive rebound by D. Gooden,,72-93,,
9:10.0,Washington full timeout,,72-93,,
9:10.0,T. Murry enters the game for J. Wall,,72-93,,
9:10.0,,,72-93,,R. Gay enters the game for B. McLemore
9:04.0,Turnover by M. Webster (lost ball; steal by R. Evans),,72-93,,
8:40.0,,,72-93,,R. Gay misses 2-pt shot from 17 ft
8:39.0,Defensive rebound by D. Gooden,,72-93,,
8:27.0,T. Murry misses 2-pt shot from 19 ft,,72-93,,
8:25.0,,,72-93,,Defensive rebound by R. Gay
8:12.0,,,72-93,,A. Miller misses 2-pt shot from 11 ft
8:12.0,Defensive rebound by D. Gooden,,72-93,,
8:07.0,M. Webster misses 2-pt shot at rim,,72-93,,
8:05.0,,,72-93,,Defensive rebound by D. Williams
7:59.0,,,72-93,,D. Williams misses 2-pt shot from 3 ft
7:58.0,Defensive rebound by K. Seraphin,,72-93,,
7:38.0,K. Seraphin misses 2-pt shot from 9 ft,,72-93,,
7:37.0,,,72-93,,Defensive rebound by R. Evans
7:27.0,,,72-95,2,R. Gay makes 2-pt shot at rim
7:27.0,,,72-95,,Shooting foul by K. Seraphin (drawn by R. Gay)
7:27.0,,,72-95,,D. Cousins enters the game for D. Williams
7:27.0,,,72-95,,O. Casspi enters the game for R. Evans
7:27.0,,,72-96,1,R. Gay makes free throw 1 of 1
7:06.0,M. Webster makes 2-pt shot from 16 ft,2,74-96,,
6:48.0,,,74-96,,A. Miller misses 2-pt shot from 4 ft (block by K. Seraphin)
6:46.0,Defensive rebound by K. Seraphin,,74-96,,
6:39.0,M. Webster misses 3-pt shot from 24 ft,,74-96,,
6:38.0,,,74-96,,Defensive rebound by Team
6:20.0,,,74-98,2,N. Stauskas makes 2-pt shot from 17 ft
5:55.0,K. Seraphin makes 2-pt shot from 18 ft (assist by R. Sessions),2,76-98,,
5:34.0,,,76-98,,D. Cousins misses 2-pt shot from 17 ft
5:33.0,Defensive rebound by M. Webster,,76-98,,
5:19.0,D. Gooden makes 2-pt shot from 4 ft,2,78-98,,
5:01.0,,,78-98,,N. Stauskas misses 2-pt shot from 3 ft (block by K. Seraphin)
5:00.0,Defensive rebound by R. Sessions,,78-98,,
4:58.0,,,78-98,,Personal foul by O. Casspi (drawn by R. Sessions)
4:58.0,Official timeout,,78-98,,
4:58.0,,,78-98,,B. McLemore enters the game for N. Stauskas
4:51.0,Turnover by R. Sessions (bad pass; steal by D. Cousins),,78-98,,
4:35.0,,,78-98,,D. Cousins misses 2-pt shot from 8 ft
4:34.0,Defensive rebound by M. Webster,,78-98,,
4:27.0,D. Gooden makes 2-pt shot from 2 ft,2,80-98,,
4:04.0,,,80-101,3,R. Gay makes 3-pt shot from 24 ft (assist by D. Cousins)
3:40.0,D. Gooden misses 2-pt shot from 21 ft,,80-101,,
3:39.0,Offensive rebound by M. Webster,,80-101,,
3:39.0,M. Webster makes 2-pt shot from 3 ft,2,82-101,,
3:23.0,,,82-101,,Offensive foul by D. Cousins
3:23.0,,,82-101,,Turnover by D. Cousins (offensive foul)
3:23.0,,,82-101,,R. McCallum enters the game for A. Miller
3:23.0,O. Porter enters the game for R. Sessions,,82-101,,
3:23.0,D. Blair enters the game for D. Gooden,,82-101,,
3:08.0,K. Seraphin misses 2-pt shot from 10 ft,,82-101,,
3:05.0,Offensive rebound by D. Blair,,82-101,,
3:04.0,D. Blair makes 2-pt shot from 2 ft,2,84-101,,
2:47.0,,,84-101,,Shooting foul by K. Seraphin (drawn by D. Cousins)
2:47.0,,,84-101,,Sacramento full timeout
2:47.0,,,84-102,1,D. Cousins makes free throw 1 of 2
2:47.0,,,84-103,1,D. Cousins makes free throw 2 of 2
2:31.0,Turnover by D. Blair (bad pass; steal by D. Cousins),,84-103,,
2:29.0,,,84-103,,Turnover by B. McLemore (bad pass; steal by O. Porter)
2:28.0,,,84-103,,Personal foul by R. Gay (drawn by O. Porter)
2:28.0,,,84-103,,C. Landry enters the game for R. Gay
2:11.0,K. Seraphin misses 2-pt shot from 10 ft,,84-103,,
