time,Denver,pts.away,score,pts.home,Cleveland
7:23.0,,,34-37,1,K. Irving makes free throw 1 of 2
7:23.0,T. Lawson enters the game for N. Robinson,,34-37,,
7:23.0,W. Chandler enters the game for D. Gallinari,,34-37,,
7:23.0,,,34-38,1,K. Irving makes free throw 2 of 2
7:06.0,A. Afflalo makes 2-pt shot from 14 ft,2,36-38,,
6:56.0,,,36-38,,K. Irving misses 2-pt shot from 17 ft
6:55.0,Defensive rebound by T. Mozgov,,36-38,,
6:46.0,Turnover by T. Lawson (bad pass; steal by T. Thompson),,36-38,,
6:42.0,,,36-38,,Shooting foul by W. Chandler (drawn by L. James)
6:42.0,,,36-39,1,L. James makes free throw 1 of 2
6:42.0,K. Faried enters the game for D. Arthur,,36-39,,
6:42.0,,,36-39,,A. Varejao enters the game for T. Thompson
6:42.0,,,36-39,,K. Love enters the game for S. Marion
6:42.0,,,36-39,,L. James misses free throw 2 of 2
6:41.0,Defensive rebound by T. Mozgov,,36-39,,
6:24.0,,,36-39,,Personal foul by M. Miller (drawn by T. Lawson)
6:16.0,A. Afflalo misses 3-pt shot from 25 ft,,36-39,,
6:15.0,,,36-39,,Defensive rebound by A. Varejao
6:03.0,,,36-39,,K. Love misses 3-pt shot from 24 ft
6:02.0,Defensive rebound by W. Chandler,,36-39,,
5:43.0,T. Lawson makes 2-pt shot from 9 ft,2,38-39,,
5:43.0,Shooting foul by M. Miller (drawn by T. Lawson),,38-39,,
5:43.0,,,38-39,,Cleveland full timeout
5:43.0,,,38-39,,D. Waiters enters the game for M. Miller
5:43.0,T. Lawson misses free throw 1 of 1,,38-39,,
5:40.0,,,38-39,,Defensive rebound by L. James
5:18.0,,,38-41,2,D. Waiters makes 2-pt shot from 22 ft (assist by L. James)
4:55.0,T. Mozgov makes 2-pt shot from 6 ft (assist by T. Lawson),2,40-41,,
4:44.0,,,40-41,,Turnover by L. James (bad pass; steal by T. Lawson)
4:42.0,,,40-41,,Personal foul by K. Love (drawn by T. Lawson)
4:32.0,,,40-41,,Personal foul by D. Waiters (drawn by T. Lawson)
4:32.0,T. Lawson makes free throw 1 of 2,1,41-41,,
4:32.0,T. Lawson makes free throw 2 of 2,1,42-41,,
4:07.0,,,42-43,2,K. Love makes 2-pt shot from 8 ft
3:51.0,A. Afflalo misses 2-pt shot from 9 ft,,42-43,,
3:50.0,,,42-43,,Defensive rebound by A. Varejao
3:44.0,,,42-43,,D. Waiters misses 2-pt shot from 2 ft
3:41.0,,,42-43,,Offensive rebound by K. Love
3:41.0,,,42-45,2,K. Love makes 2-pt shot at rim
3:28.0,T. Mozgov makes 2-pt shot at rim (assist by T. Lawson),2,44-45,,
3:13.0,,,44-45,,D. Waiters misses 2-pt shot from 9 ft
3:11.0,Defensive rebound by A. Afflalo,,44-45,,
3:03.0,K. Faried makes 2-pt shot from 1 ft (assist by A. Afflalo),2,46-45,,
2:56.0,,,46-45,,Cleveland full timeout
2:56.0,Denver full timeout,,46-45,,
2:56.0,D. Arthur enters the game for K. Faried,,46-45,,
2:38.0,,,46-48,3,K. Irving makes 3-pt shot from 26 ft (assist by L. James)
2:27.0,T. Lawson misses 3-pt shot from 25 ft,,46-48,,
2:26.0,,,46-48,,Defensive rebound by K. Love
2:19.0,,,46-48,,Turnover by K. Irving (traveling)
2:10.0,,,46-48,,Personal foul by K. Irving (drawn by A. Afflalo)
2:10.0,A. Afflalo makes free throw 1 of 2,1,47-48,,
2:10.0,A. Afflalo makes free throw 2 of 2,1,48-48,,
2:09.0,,,48-50,2,L. James makes 2-pt shot at rim (assist by K. Love)
2:09.0,,,48-50,,Shooting foul by W. Chandler (drawn by L. James)
2:09.0,R. Foye enters the game for W. Chandler,,48-50,,
2:09.0,,,48-51,1,L. James makes free throw 1 of 1
1:51.0,T. Lawson makes 2-pt shot at rim (assist by A. Afflalo),2,50-51,,
1:26.0,,,50-51,,D. Waiters misses 3-pt shot from 25 ft
1:25.0,Defensive rebound by D. Arthur,,50-51,,
1:19.0,R. Foye misses 3-pt shot from 23 ft,,50-51,,
1:18.0,Offensive rebound by D. Arthur,,50-51,,
1:10.0,T. Lawson misses 3-pt shot from 25 ft,,50-51,,
1:09.0,Offensive rebound by D. Arthur,,50-51,,
0:56.0,T. Mozgov misses 2-pt shot from 2 ft,,50-51,,
0:54.0,,,50-51,,Defensive rebound by K. Love
0:36.0,,,50-51,,L. James misses 3-pt shot from 25 ft
0:35.0,Defensive rebound by T. Mozgov,,50-51,,
0:21.0,D. Arthur makes 3-pt shot from 22 ft (assist by A. Afflalo),3,53-51,,
0:06.0,Personal foul by R. Foye (drawn by L. James),,53-51,,
0:03.0,,,53-51,,Shooting foul by D. Arthur (drawn by K. Love)
0:03.0,,,53-51,,K. Love misses free throw 1 of 2
0:03.0,,,53-51,,Offensive rebound by Team
0:03.0,,,53-51,,T. Thompson enters the game for A. Varejao
0:03.0,,,53-52,1,K. Love makes free throw 2 of 2
0:02.0,Turnover by T. Mozgov (bad pass; steal by K. Irving),,53-52,,
0:00.0,,,53-52,,K. Irving misses 3-pt shot from 27 ft
0:00.0,,,53-52,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:40.0,,,53-52,,Turnover by K. Irving (lost ball; steal by T. Lawson)
11:35.0,W. Chandler misses 2-pt shot from 1 ft (block by A. Varejao),,53-52,,
11:35.0,Offensive rebound by Team,,53-52,,
11:31.0,K. Faried makes 2-pt shot from 4 ft (assist by W. Chandler),2,55-52,,
11:07.0,,,55-52,,A. Varejao misses 2-pt shot from 17 ft
11:06.0,Defensive rebound by Team,,55-52,,
10:47.0,W. Chandler misses 3-pt shot from 23 ft,,55-52,,
10:46.0,,,55-52,,Defensive rebound by K. Love
10:36.0,,,55-55,3,K. Love makes 3-pt shot from 25 ft (assist by K. Irving)
10:21.0,W. Chandler makes 3-pt shot from 24 ft (assist by T. Lawson),3,58-55,,
9:56.0,,,58-57,2,K. Love makes 2-pt shot from 7 ft
9:33.0,T. Mozgov misses 2-pt shot at rim (block by L. James),,58-57,,
9:31.0,,,58-57,,Defensive rebound by A. Varejao
9:26.0,,,58-57,,K. Irving misses 2-pt shot from 1 ft (block by K. Faried)
9:23.0,Defensive rebound by W. Chandler,,58-57,,
9:21.0,Offensive foul by T. Mozgov,,58-57,,
9:21.0,Turnover by T. Mozgov (offensive foul),,58-57,,
9:08.0,,,58-57,,Turnover by K. Love (bad pass; steal by W. Chandler)
9:02.0,A. Afflalo misses 2-pt shot from 1 ft,,58-57,,
8:59.0,Offensive rebound by T. Mozgov,,58-57,,
8:59.0,T. Mozgov makes 2-pt shot at rim,2,60-57,,
8:45.0,,,60-57,,Turnover by A. Varejao (lost ball; steal by T. Mozgov)
8:42.0,T. Mozgov makes flagrant free throw 1 of 2,1,61-57,,
8:42.0,T. Mozgov makes flagrant free throw 2 of 2,1,62-57,,
8:42.0,,,62-57,,T. Thompson enters the game for A. Varejao
8:29.0,T. Lawson makes 2-pt shot from 10 ft,2,64-57,,
8:14.0,Personal foul by K. Faried (drawn by K. Love),,64-57,,
8:08.0,,,64-60,3,L. James makes 3-pt shot from 26 ft (assist by K. Irving)
7:47.0,Turnover by T. Mozgov (3 sec),,64-60,,
7:25.0,,,64-60,,S. Marion misses 2-pt shot from 7 ft
7:24.0,Defensive rebound by T. Lawson,,64-60,,
7:20.0,K. Faried makes 2-pt shot at rim (assist by T. Lawson),2,66-60,,
6:57.0,,,66-60,,T. Thompson misses 2-pt shot from 7 ft
6:56.0,Defensive rebound by T. Mozgov,,66-60,,
6:44.0,A. Afflalo makes 3-pt shot from 23 ft (assist by T. Lawson),3,69-60,,
6:43.0,,,69-60,,Cleveland full timeout
6:31.0,,,69-60,,Turnover by T. Thompson (step out of bounds)
6:05.0,W. Chandler misses 3-pt shot from 25 ft (block by S. Marion),,69-60,,
6:04.0,,,69-60,,Defensive rebound by L. James
5:55.0,,,69-63,3,K. Irving makes 3-pt shot from 26 ft (assist by L. James)
5:41.0,A. Afflalo misses 2-pt shot from 9 ft,,69-63,,
5:40.0,,,69-63,,Defensive rebound by L. James
5:36.0,Jump ball: K. Faried vs. T. Thompson (K. Love gains possession),,,,Jump ball: K. Faried vs. T. Thompson (K. Love gains possession)
5:35.0,,,69-63,,K. Love misses 3-pt shot from 25 ft
5:34.0,Defensive rebound by W. Chandler,,69-63,,
5:14.0,T. Lawson makes 2-pt shot from 1 ft,2,71-63,,
4:58.0,,,71-65,2,K. Irving makes 2-pt shot at rim
4:49.0,W. Chandler makes 3-pt shot from 25 ft (assist by T. Lawson),3,74-65,,
4:19.0,,,74-67,2,L. James makes 2-pt shot from 9 ft
4:14.0,Turnover by A. Afflalo (palming),,74-67,,
4:14.0,,,74-67,,J. Harris enters the game for S. Marion
4:02.0,,,74-69,2,L. James makes 2-pt shot from 16 ft
3:45.0,T. Lawson makes 2-pt shot from 19 ft,2,76-69,,
3:32.0,,,76-69,,L. James misses 2-pt shot from 18 ft
3:29.0,Defensive rebound by A. Afflalo,,76-69,,
3:20.0,W. Chandler misses 3-pt shot from 24 ft,,76-69,,
3:19.0,,,76-69,,Defensive rebound by K. Love
3:08.0,,,76-69,,K. Irving misses 2-pt shot from 5 ft (block by T. Mozgov)
3:06.0,Defensive rebound by A. Afflalo,,76-69,,
3:02.0,A. Afflalo makes 2-pt shot at rim,2,78-69,,
2:37.0,,,78-69,,Turnover by K. Love (lost ball; steal by K. Faried)
2:34.0,Shooting foul by J. Harris (drawn by A. Afflalo),,78-69,,
2:34.0,Denver full timeout,,78-69,,
2:34.0,D. Arthur enters the game for K. Faried,,78-69,,
2:34.0,,,78-69,,D. Waiters enters the game for K. Irving
2:34.0,A. Afflalo makes free throw 1 of 2,1,79-69,,
2:34.0,A. Afflalo misses free throw 2 of 2,,79-69,,
2:32.0,,,79-69,,Defensive rebound by L. James
2:15.0,,,79-71,2,T. Thompson makes 2-pt shot at rim (assist by D. Waiters)
1:59.0,A. Afflalo misses 3-pt shot from 23 ft,,79-71,,
1:58.0,,,79-71,,Defensive rebound by L. James
1:54.0,,,79-71,,Turnover by L. James (lost ball; steal by D. Arthur)
1:47.0,T. Lawson misses 2-pt shot from 20 ft,,79-71,,
1:45.0,Offensive rebound by W. Chandler,,79-71,,
1:44.0,W. Chandler makes 2-pt shot at rim,2,81-71,,
1:27.0,,,81-71,,T. Thompson misses 2-pt shot from 16 ft
1:26.0,Defensive rebound by W. Chandler,,81-71,,
1:04.0,T. Lawson misses 2-pt shot from 7 ft (block by L. James),,81-71,,
1:04.0,Offensive rebound by Team,,81-71,,
1:04.0,,,81-71,,K. Irving enters the game for L. James
1:04.0,,,81-71,,S. Marion enters the game for K. Love
1:02.0,Turnover by W. Chandler (bad pass; steal by T. Thompson),,81-71,,
0:51.0,,,81-73,2,D. Waiters makes 2-pt shot at rim (assist by K. Irving)
0:39.0,T. Lawson misses 2-pt shot from 12 ft,,81-73,,
0:36.0,,,81-73,,Defensive rebound by T. Thompson
0:19.0,,,81-75,2,D. Waiters makes 2-pt shot from 12 ft
0:01.0,W. Chandler misses 3-pt shot from 26 ft,,81-75,,
0:00.0,,,81-75,,Defensive rebound by K. Irving
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:50.0,D. Arthur makes 2-pt shot from 14 ft (assist by N. Robinson),2,83-75,,
11:36.0,,,83-77,2,D. Waiters makes 2-pt shot from 1 ft
11:21.0,N. Robinson makes 3-pt shot from 24 ft (assist by R. Foye),3,86-77,,
10:59.0,,,86-77,,D. Waiters misses 3-pt shot from 25 ft
10:59.0,,,86-77,,Offensive rebound by Team
10:59.0,Loose ball foul by J. McGee (drawn by T. Thompson),,86-77,,
10:49.0,,,86-79,2,D. Waiters makes 2-pt shot from 1 ft (assist by K. Irving)
10:38.0,D. Gallinari misses 3-pt shot from 22 ft,,86-79,,
10:36.0,,,86-79,,Defensive rebound by S. Marion
10:24.0,,,86-79,,Shooting foul by N. Robinson (drawn by S. Marion)
10:24.0,,,86-80,1,S. Marion makes free throw 1 of 2
10:24.0,,,86-81,1,S. Marion makes free throw 2 of 2
10:07.0,N. Robinson makes 3-pt shot from 26 ft (assist by D. Arthur),3,89-81,,
9:51.0,,,89-81,,Turnover by K. Irving (bad pass; steal by R. Foye)
9:46.0,Shooting foul by D. Waiters (drawn by R. Foye),,89-81,,
9:46.0,R. Foye misses free throw 1 of 2,,89-81,,
9:46.0,Offensive rebound by Team,,89-81,,
9:46.0,,,89-81,,L. James enters the game for K. Irving
9:46.0,R. Foye makes free throw 2 of 2,1,90-81,,
9:31.0,,,90-81,,S. Marion misses 2-pt shot from 9 ft
9:30.0,,,90-81,,Offensive rebound by S. Marion
9:25.0,,,90-84,3,D. Waiters makes 3-pt shot from 22 ft (assist by S. Marion)
9:10.0,R. Foye misses 3-pt shot from 27 ft,,90-84,,
9:09.0,,,90-84,,Defensive rebound by D. Waiters
9:06.0,Personal foul by N. Robinson (drawn by D. Waiters),,90-84,,
9:06.0,T. Mozgov enters the game for J. McGee,,90-84,,
9:06.0,W. Chandler enters the game for D. Gallinari,,90-84,,
8:51.0,,,90-84,,J. Harris misses 3-pt shot from 23 ft
8:50.0,Defensive rebound by D. Arthur,,90-84,,
8:38.0,N. Robinson misses 2-pt shot from 23 ft,,90-84,,
8:38.0,,,90-84,,Defensive rebound by J. Harris
8:18.0,,,90-84,,S. Marion misses 2-pt shot from 2 ft
8:18.0,Defensive rebound by Team,,90-84,,
8:18.0,,,90-84,,Loose ball foul by T. Thompson (drawn by T. Mozgov)
8:18.0,Official timeout,,90-84,,
8:18.0,,,90-84,,K. Love enters the game for S. Marion
8:18.0,A. Afflalo enters the game for R. Foye,,90-84,,
8:07.0,A. Afflalo makes 3-pt shot from 23 ft (assist by N. Robinson),3,93-84,,
7:37.0,,,93-84,,L. James misses 2-pt shot from 5 ft
7:34.0,Defensive rebound by D. Arthur,,93-84,,
7:25.0,N. Robinson misses 2-pt shot from 3 ft (block by T. Thompson),,93-84,,
7:24.0,,,93-84,,Defensive rebound by K. Love
7:19.0,,,93-84,,J. Harris misses 3-pt shot from 23 ft
7:17.0,Defensive rebound by D. Arthur,,93-84,,
7:00.0,D. Arthur makes 3-pt shot from 27 ft (assist by N. Robinson),3,96-84,,
6:35.0,,,96-84,,K. Love misses 3-pt shot from 23 ft
6:33.0,Defensive rebound by W. Chandler,,96-84,,
6:16.0,N. Robinson misses 2-pt shot from 7 ft,,96-84,,
6:13.0,,,96-84,,Defensive rebound by T. Thompson
6:11.0,,,96-84,,Turnover by T. Thompson (offensive foul)
6:11.0,,,96-84,,Offensive foul by T. Thompson
6:11.0,,,96-84,,K. Irving enters the game for T. Thompson
6:11.0,T. Lawson enters the game for N. Robinson,,96-84,,
6:01.0,T. Lawson makes 2-pt shot at rim,2,98-84,,
5:56.0,,,98-84,,Cleveland full timeout
5:46.0,,,98-84,,L. James misses 3-pt shot from 24 ft
5:45.0,Defensive rebound by T. Mozgov,,98-84,,
5:33.0,A. Afflalo misses 3-pt shot from 23 ft,,98-84,,
5:32.0,,,98-84,,Defensive rebound by L. James
5:24.0,,,98-86,2,L. James makes 2-pt shot at rim
5:10.0,T. Lawson makes 2-pt shot at rim,2,100-86,,
5:01.0,Personal foul by T. Mozgov (drawn by K. Love),,100-86,,
4:55.0,,,100-86,,Turnover by L. James (traveling)
4:43.0,,,100-86,,Personal foul by K. Love (drawn by T. Lawson)
4:36.0,Shooting foul by K. Love (drawn by T. Lawson),,100-86,,
4:36.0,T. Lawson makes free throw 1 of 2,1,101-86,,
4:36.0,T. Lawson makes free throw 2 of 2,1,102-86,,
4:26.0,,,102-89,3,D. Waiters makes 3-pt shot from 24 ft (assist by K. Irving)
4:04.0,T. Lawson misses 3-pt shot from 25 ft,,102-89,,
4:02.0,Offensive rebound by T. Mozgov,,102-89,,
3:57.0,,,102-89,,Personal foul by L. James (drawn by T. Lawson)
3:57.0,T. Lawson makes free throw 1 of 2,1,103-89,,
3:57.0,T. Lawson makes free throw 2 of 2,1,104-89,,
3:47.0,,,104-89,,Shooting foul by A. Afflalo (drawn by K. Irving)
3:47.0,,,104-90,1,K. Irving makes free throw 1 of 2
3:47.0,,,104-91,1,K. Irving makes free throw 2 of 2
3:35.0,Turnover by T. Lawson (lost ball; steal by K. Irving),,104-91,,
3:28.0,,,104-91,,J. Harris misses 3-pt shot from 24 ft
3:27.0,,,104-91,,Offensive rebound by J. Harris
3:22.0,,,104-91,,D. Waiters misses 3-pt shot from 24 ft
3:21.0,Defensive rebound by W. Chandler,,104-91,,
3:01.0,D. Arthur misses 3-pt shot from 28 ft,,104-91,,
3:00.0,,,104-91,,Defensive rebound by K. Irving
2:49.0,,,104-91,,K. Love misses 2-pt shot from 6 ft
2:48.0,Defensive rebound by D. Arthur,,104-91,,
2:44.0,Denver full timeout,,104-91,,
2:32.0,T. Mozgov misses 2-pt shot from 20 ft,,104-91,,
2:31.0,,,104-91,,Defensive rebound by L. James
2:24.0,,,104-93,2,L. James makes 2-pt shot at rim
1:48.0,W. Chandler misses 2-pt shot from 9 ft,,104-93,,
1:48.0,,,104-93,,Defensive rebound by Team
1:38.0,,,104-93,,Shooting foul by D. Arthur (drawn by K. Irving)
1:38.0,,,104-94,1,K. Irving makes free throw 1 of 2
1:38.0,,,104-95,1,K. Irving makes free throw 2 of 2
1:14.0,T. Mozgov makes 2-pt shot from 1 ft (assist by T. Lawson),2,106-95,,
1:09.0,,,106-97,2,D. Waiters makes 2-pt shot from 1 ft (assist by L. James)
0:46.0,T. Lawson misses 3-pt shot from 24 ft,,106-97,,
0:45.0,,,106-97,,Defensive rebound by L. James
0:41.0,,,106-97,,L. James misses 2-pt shot from 1 ft
0:38.0,Defensive rebound by D. Arthur,,106-97,,
0:20.0,Turnover by T. Lawson (traveling),,106-97,,
0:20.0,,,106-97,,Cleveland full timeout
0:14.0,,,106-97,,K. Irving misses 3-pt shot from 25 ft
0:13.0,Defensive rebound by T. Mozgov,,106-97,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
