time,New Orleans,pts.away,score,pts.home,Dallas
11:08.0,Turnover by J. Fredette (bad pass; steal by A. Aminu),,31-32,,
11:00.0,,,31-32,,D. Harris misses 2-pt shot from 1 ft
10:59.0,Defensive rebound by L. Babbitt,,31-32,,
10:53.0,L. Babbitt makes 3-pt shot from 24 ft (assist by J. Fredette),3,34-32,,
10:31.0,,,34-34,2,D. Nowitzki makes 2-pt shot from 12 ft
10:13.0,Turnover by J. Fredette (bad pass),,34-34,,
9:58.0,,,34-36,2,D. Harris makes 2-pt shot from 1 ft
9:35.0,N. Cole makes 2-pt shot from 20 ft,2,36-36,,
9:29.0,,,36-38,2,D. Harris makes 2-pt shot from 9 ft
9:29.0,,,36-38,,Shooting foul by J. Fredette (drawn by D. Harris)
9:29.0,,,36-39,1,D. Harris makes free throw 1 of 1
9:13.0,,,36-39,,Personal foul by B. James (drawn by A. Ajinca)
9:02.0,J. Fredette misses 3-pt shot from 24 ft,,36-39,,
9:01.0,,,36-39,,Defensive rebound by A. Aminu
8:53.0,,,36-39,,Shooting foul by N. Cole (drawn by J. Barea)
8:53.0,Official timeout,,36-39,,
8:53.0,,,36-39,,A. Stoudemire enters the game for B. James
8:53.0,T. Evans enters the game for J. Fredette,,36-39,,
8:53.0,,,36-40,1,J. Barea makes free throw 1 of 2
8:53.0,,,36-40,,J. Barea misses free throw 2 of 2
8:53.0,Defensive rebound by D. Cunningham,,36-40,,
8:29.0,N. Cole misses 3-pt shot from 24 ft,,36-40,,
8:28.0,Offensive rebound by A. Ajinca,,36-40,,
8:13.0,T. Evans makes 2-pt shot from 20 ft,2,38-40,,
7:56.0,,,38-40,,J. Barea misses 3-pt shot from 24 ft
7:55.0,Defensive rebound by Team,,38-40,,
7:55.0,Q. Pondexter enters the game for L. Babbitt,,38-40,,
7:42.0,D. Cunningham misses 2-pt shot from 12 ft,,38-40,,
7:40.0,Offensive rebound by A. Ajinca,,38-40,,
7:40.0,A. Ajinca misses 2-pt shot at rim,,38-40,,
7:39.0,Offensive rebound by A. Ajinca,,38-40,,
7:39.0,A. Ajinca makes 2-pt shot at rim,2,40-40,,
7:20.0,,,40-40,,D. Nowitzki misses 2-pt shot from 18 ft
7:19.0,Defensive rebound by A. Ajinca,,40-40,,
7:15.0,N. Cole makes 2-pt shot at rim,2,42-40,,
7:14.0,,,42-40,,Dallas full timeout
7:14.0,,,42-40,,R. Rondo enters the game for D. Nowitzki
7:14.0,,,42-40,,M. Ellis enters the game for J. Barea
7:14.0,,,42-40,,R. Jefferson enters the game for D. Harris
7:02.0,Shooting block foul by A. Ajinca (drawn by A. Stoudemire),,42-40,,
7:02.0,,,42-41,1,A. Stoudemire makes free throw 1 of 2
7:02.0,,,42-41,,C. Villanueva enters the game for A. Aminu
7:02.0,,,42-42,1,A. Stoudemire makes free throw 2 of 2
6:43.0,Q. Pondexter makes 3-pt shot from 24 ft (assist by T. Evans),3,45-42,,
6:21.0,,,45-42,,C. Villanueva misses 2-pt shot from 10 ft
6:20.0,Defensive rebound by Q. Pondexter,,45-42,,
6:03.0,D. Cunningham misses 2-pt shot from 2 ft (block by R. Jefferson),,45-42,,
6:01.0,Offensive rebound by A. Ajinca,,45-42,,
5:59.0,A. Ajinca makes 2-pt shot at rim,2,47-42,,
5:37.0,,,47-44,2,R. Rondo makes 2-pt shot from 6 ft (assist by A. Stoudemire)
5:22.0,D. Cunningham misses 2-pt shot from 21 ft,,47-44,,
5:21.0,,,47-44,,Defensive rebound by M. Ellis
5:12.0,,,47-46,2,M. Ellis makes 2-pt shot from 17 ft
5:12.0,New Orleans full timeout,,47-46,,
5:12.0,E. Gordon enters the game for D. Cunningham,,47-46,,
4:50.0,Turnover by T. Evans (lost ball; steal by A. Stoudemire),,47-46,,
4:47.0,,,47-48,2,M. Ellis makes 2-pt shot at rim (assist by A. Stoudemire)
4:29.0,T. Evans misses 3-pt shot from 22 ft,,47-48,,
4:29.0,Offensive rebound by A. Ajinca,,47-48,,
4:29.0,,,47-48,,Loose ball foul by A. Stoudemire (drawn by A. Ajinca)
4:29.0,O. Asik enters the game for A. Ajinca,,47-48,,
4:16.0,T. Evans misses 2-pt shot from 4 ft,,47-48,,
4:15.0,,,47-48,,Defensive rebound by C. Villanueva
4:06.0,,,47-48,,M. Ellis misses 2-pt shot from 6 ft
4:04.0,,,47-48,,Offensive rebound by A. Stoudemire
4:03.0,,,47-50,2,A. Stoudemire makes 2-pt shot at rim
3:39.0,Q. Pondexter misses 2-pt shot from 9 ft,,47-50,,
3:38.0,,,47-50,,Defensive rebound by R. Rondo
3:32.0,,,47-50,,R. Rondo misses 2-pt shot at rim
3:30.0,,,47-50,,Offensive rebound by C. Villanueva
3:19.0,,,47-50,,M. Ellis misses 2-pt shot from 2 ft (block by N. Cole)
3:17.0,,,47-50,,Offensive rebound by M. Ellis
3:17.0,,,47-52,2,M. Ellis makes 2-pt shot at rim
3:01.0,T. Evans misses 3-pt shot from 23 ft,,47-52,,
3:00.0,,,47-52,,Defensive rebound by A. Stoudemire
2:52.0,,,47-52,,C. Villanueva misses 3-pt shot from 25 ft
2:51.0,Defensive rebound by E. Gordon,,47-52,,
2:38.0,N. Cole makes 3-pt shot from 22 ft (assist by T. Evans),3,50-52,,
2:37.0,,,50-52,,Dallas full timeout
2:37.0,,,50-52,,D. Harris enters the game for R. Jefferson
2:37.0,,,50-52,,D. Nowitzki enters the game for A. Stoudemire
2:37.0,,,50-52,,B. James enters the game for C. Villanueva
2:37.0,D. Cunningham enters the game for Q. Pondexter,,50-52,,
2:24.0,,,50-54,2,M. Ellis makes 2-pt shot from 1 ft
2:03.0,N. Cole misses 3-pt shot from 25 ft,,50-54,,
2:02.0,,,50-54,,Defensive rebound by R. Rondo
1:57.0,,,50-54,,M. Ellis misses 2-pt shot at rim
1:54.0,Defensive rebound by D. Cunningham,,50-54,,
1:46.0,E. Gordon makes 3-pt shot from 24 ft (assist by D. Cunningham),3,53-54,,
1:22.0,,,53-54,,M. Ellis misses 3-pt shot from 24 ft
1:21.0,Defensive rebound by D. Cunningham,,53-54,,
1:08.0,D. Cunningham misses 2-pt shot from 18 ft,,53-54,,
1:06.0,,,53-54,,Defensive rebound by B. James
0:57.0,Def 3 sec tech foul by T. Evans,,53-54,,
0:57.0,,,53-55,1,D. Nowitzki makes technical free throw
0:57.0,Q. Pondexter enters the game for T. Evans,,53-55,,
0:57.0,,,53-55,,A. Stoudemire enters the game for B. James
0:43.0,,,53-55,,Turnover by Team (shot clock)
0:43.0,A. Ajinca enters the game for O. Asik,,53-55,,
0:32.0,N. Cole makes 2-pt shot from 18 ft,2,55-55,,
0:25.0,,,55-55,,Turnover by R. Rondo (bad pass; steal by A. Ajinca)
0:17.0,E. Gordon makes 3-pt shot from 23 ft (assist by N. Cole),3,58-55,,
0:00.0,,,58-55,,M. Ellis misses 3-pt shot from 25 ft
0:00.0,,,58-55,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:40.0,D. Cunningham makes 2-pt shot from 16 ft (assist by E. Gordon),2,60-55,,
11:10.0,,,60-57,2,R. Jefferson makes 2-pt shot from 4 ft
10:45.0,T. Evans misses 2-pt shot from 7 ft,,60-57,,
10:43.0,,,60-57,,Defensive rebound by M. Ellis
10:33.0,Personal foul by Q. Pondexter (drawn by D. Nowitzki),,60-57,,
10:24.0,,,60-57,,Shooting foul by D. Cunningham (drawn by R. Jefferson)
10:24.0,,,60-58,1,R. Jefferson makes free throw 1 of 2
10:24.0,,,60-59,1,R. Jefferson makes free throw 2 of 2
10:03.0,E. Gordon misses 3-pt shot from 24 ft,,60-59,,
10:02.0,Offensive rebound by D. Cunningham,,60-59,,
9:45.0,E. Gordon misses 2-pt shot from 17 ft,,60-59,,
9:44.0,,,60-59,,Defensive rebound by D. Nowitzki
9:32.0,,,60-62,3,D. Nowitzki makes 3-pt shot from 25 ft (assist by M. Ellis)
9:09.0,D. Cunningham misses 2-pt shot from 19 ft,,60-62,,
9:08.0,,,60-62,,Defensive rebound by D. Nowitzki
8:47.0,,,60-62,,M. Ellis misses 2-pt shot from 4 ft
8:46.0,,,60-62,,Offensive rebound by R. Rondo
8:46.0,,,60-64,2,R. Rondo makes 2-pt shot at rim
8:23.0,Q. Pondexter misses 2-pt shot from 14 ft,,60-64,,
8:22.0,Offensive rebound by O. Asik,,60-64,,
8:21.0,New Orleans full timeout,,60-64,,
8:14.0,E. Gordon misses 2-pt shot from 6 ft,,60-64,,
8:13.0,Offensive rebound by Team,,60-64,,
7:53.0,Q. Pondexter misses 3-pt shot from 22 ft,,60-64,,
7:52.0,,,60-64,,Defensive rebound by D. Nowitzki
7:38.0,,,60-64,,B. James misses 2-pt shot from 3 ft (block by E. Gordon)
7:37.0,,,60-64,,Offensive rebound by Team
7:31.0,,,60-64,,D. Nowitzki misses 2-pt shot from 13 ft
7:30.0,Defensive rebound by O. Asik,,60-64,,
7:20.0,O. Asik misses 2-pt shot from 3 ft (block by D. Nowitzki),,60-64,,
7:18.0,,,60-64,,Defensive rebound by D. Nowitzki
7:14.0,,,60-64,,R. Rondo misses 2-pt shot from 1 ft
7:12.0,,,60-64,,Offensive rebound by M. Ellis
7:12.0,,,60-66,2,M. Ellis makes 2-pt shot from 1 ft
6:52.0,T. Evans misses 2-pt shot from 2 ft,,60-66,,
6:51.0,,,60-66,,Defensive rebound by R. Jefferson
6:39.0,,,60-68,2,D. Nowitzki makes 2-pt shot from 7 ft
6:24.0,Turnover by O. Asik (traveling),,60-68,,
6:24.0,N. Cole enters the game for Q. Pondexter,,60-68,,
6:06.0,,,60-68,,D. Nowitzki misses 2-pt shot from 15 ft
6:05.0,Defensive rebound by T. Evans,,60-68,,
5:59.0,N. Cole misses 2-pt shot from 2 ft (block by D. Nowitzki),,60-68,,
5:56.0,,,60-68,,Defensive rebound by D. Nowitzki
5:50.0,,,60-71,3,R. Jefferson makes 3-pt shot from 22 ft (assist by R. Rondo)
5:50.0,New Orleans full timeout,,60-71,,
5:50.0,,,60-71,,A. Stoudemire enters the game for D. Nowitzki
5:50.0,,,60-71,,A. Aminu enters the game for B. James
5:50.0,A. Ajinca enters the game for O. Asik,,60-71,,
5:37.0,,,60-71,,Personal foul by A. Stoudemire (drawn by A. Ajinca)
5:33.0,E. Gordon misses 2-pt shot from 2 ft,,60-71,,
5:31.0,Offensive rebound by E. Gordon,,60-71,,
5:30.0,E. Gordon misses 2-pt shot at rim,,60-71,,
5:27.0,,,60-71,,Defensive rebound by R. Rondo
5:07.0,,,60-71,,R. Rondo misses 2-pt shot from 17 ft
5:06.0,,,60-71,,Offensive rebound by Team
5:06.0,,,60-71,,Turnover by Team (shot clock)
4:53.0,T. Evans makes 2-pt shot from 20 ft,2,62-71,,
4:26.0,,,62-71,,A. Aminu misses 3-pt shot from 22 ft
4:25.0,Defensive rebound by A. Ajinca,,62-71,,
4:13.0,Turnover by D. Cunningham (lost ball; steal by A. Stoudemire),,62-71,,
4:03.0,,,62-71,,Turnover by R. Rondo (lost ball)
3:40.0,N. Cole makes 2-pt shot from 20 ft (assist by A. Ajinca),2,64-71,,
3:27.0,,,64-71,,Turnover by M. Ellis (lost ball; steal by E. Gordon)
3:23.0,N. Cole makes 2-pt shot at rim (assist by E. Gordon),2,66-71,,
3:23.0,,,66-71,,Dallas full timeout
3:23.0,,,66-71,,D. Harris enters the game for R. Rondo
3:23.0,L. Babbitt enters the game for T. Evans,,66-71,,
3:06.0,,,66-71,,M. Ellis misses 2-pt shot from 6 ft (block by A. Ajinca)
3:04.0,,,66-71,,Offensive rebound by A. Stoudemire
3:03.0,,,66-73,2,A. Stoudemire makes 2-pt shot at rim
2:46.0,N. Cole makes 2-pt shot from 3 ft,2,68-73,,
2:37.0,Shooting block foul by A. Ajinca (drawn by D. Harris),,68-73,,
2:37.0,,,68-74,1,D. Harris makes free throw 1 of 2
2:37.0,,,68-75,1,D. Harris makes free throw 2 of 2
2:21.0,L. Babbitt misses 2-pt shot from 19 ft,,68-75,,
2:20.0,,,68-75,,Defensive rebound by Team
2:04.0,,,68-75,,M. Ellis misses 2-pt shot from 4 ft
2:03.0,Defensive rebound by A. Ajinca,,68-75,,
1:59.0,,,68-75,,Shooting block foul by A. Aminu (drawn by E. Gordon)
1:59.0,E. Gordon makes free throw 1 of 2,1,69-75,,
1:59.0,,,69-75,,J. Barea enters the game for M. Ellis
1:59.0,,,69-75,,D. Nowitzki enters the game for R. Jefferson
1:59.0,Q. Pondexter enters the game for D. Cunningham,,69-75,,
1:59.0,E. Gordon makes free throw 2 of 2,1,70-75,,
1:51.0,Personal block foul by E. Gordon (drawn by D. Harris),,70-75,,
1:45.0,,,70-77,2,A. Stoudemire makes 2-pt shot from 1 ft (assist by D. Harris)
1:29.0,,,70-77,,Personal block foul by A. Aminu (drawn by L. Babbitt)
1:29.0,L. Babbitt misses free throw 1 of 2,,70-77,,
1:29.0,Offensive rebound by Team,,70-77,,
1:29.0,L. Babbitt makes free throw 2 of 2,1,71-77,,
1:10.0,,,71-77,,A. Aminu misses 3-pt shot from 24 ft
1:09.0,Defensive rebound by A. Ajinca,,71-77,,
0:55.0,Turnover by L. Babbitt (lost ball; steal by A. Aminu),,71-77,,
0:50.0,,,71-77,,Shooting foul by A. Ajinca (drawn by D. Harris)
0:50.0,,,71-77,,D. Harris misses free throw 1 of 2
0:50.0,,,71-77,,Offensive rebound by Team
0:50.0,,,71-78,1,D. Harris makes free throw 2 of 2
0:34.0,A. Ajinca misses 2-pt shot from 6 ft,,71-78,,
0:33.0,,,71-78,,Defensive rebound by D. Nowitzki
0:16.0,,,71-80,2,J. Barea makes 2-pt shot from 5 ft
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:44.0,,,71-82,2,D. Harris makes 2-pt shot from 1 ft
11:36.0,,,71-82,,Personal foul by J. Barea (drawn by N. Cole)
11:26.0,A. Ajinca misses 2-pt shot from 2 ft,,71-82,,
11:25.0,,,71-82,,Defensive rebound by D. Nowitzki
11:22.0,Shooting block foul by L. Babbitt (drawn by D. Harris),,71-82,,
11:22.0,,,71-83,1,D. Harris makes free throw 1 of 2
11:22.0,,,71-83,,B. James enters the game for A. Stoudemire
11:22.0,O. Asik enters the game for L. Babbitt,,71-83,,
11:22.0,,,71-84,1,D. Harris makes free throw 2 of 2
11:04.0,A. Ajinca makes 2-pt shot from 7 ft,2,73-84,,
10:44.0,,,73-84,,D. Nowitzki misses 2-pt shot from 15 ft
10:43.0,Defensive rebound by A. Ajinca,,73-84,,
10:29.0,Turnover by O. Asik (lost ball; steal by D. Nowitzki),,73-84,,
10:20.0,,,73-87,3,D. Nowitzki makes 3-pt shot from 24 ft (assist by J. Barea)
10:08.0,,,73-87,,Violation by J. Barea (kicked ball)
9:56.0,N. Cole misses 2-pt shot from 11 ft,,73-87,,
9:55.0,,,73-87,,Defensive rebound by B. James
9:47.0,,,73-87,,J. Barea misses 2-pt shot from 22 ft
9:45.0,Defensive rebound by Team,,73-87,,
9:30.0,T. Evans makes 2-pt shot from 22 ft,2,75-87,,
9:14.0,,,75-87,,D. Nowitzki misses 2-pt shot from 16 ft
9:13.0,Defensive rebound by A. Ajinca,,75-87,,
9:01.0,Shooting foul by D. Nowitzki (drawn by A. Ajinca),,75-87,,
9:01.0,A. Ajinca makes free throw 1 of 2,1,76-87,,
9:01.0,E. Gordon enters the game for Q. Pondexter,,76-87,,
9:01.0,A. Ajinca misses free throw 2 of 2,,76-87,,
9:01.0,,,76-87,,Defensive rebound by B. James
8:47.0,,,76-87,,D. Nowitzki misses 3-pt shot from 24 ft
8:45.0,,,76-87,,Offensive rebound by Team
8:45.0,Official timeout,,76-87,,
8:45.0,,,76-87,,A. Stoudemire enters the game for D. Nowitzki
8:45.0,,,76-87,,R. Jefferson enters the game for B. James
8:27.0,,,76-87,,R. Jefferson misses 2-pt shot at rim
8:25.0,Defensive rebound by O. Asik,,76-87,,
8:13.0,Turnover by A. Ajinca (lost ball; steal by A. Aminu),,76-87,,
8:01.0,,,76-87,,J. Barea misses 2-pt shot from 19 ft
7:59.0,,,76-87,,Offensive rebound by A. Aminu
7:37.0,,,76-89,2,A. Stoudemire makes 2-pt shot from 1 ft
7:14.0,E. Gordon makes 3-pt shot from 24 ft (assist by N. Cole),3,79-89,,
6:56.0,,,79-89,,A. Stoudemire misses 2-pt shot from 15 ft
6:55.0,Defensive rebound by O. Asik,,79-89,,
6:43.0,Turnover by O. Asik (lost ball; steal by A. Aminu),,79-89,,
6:29.0,,,79-89,,Dallas full timeout
6:29.0,D. Cunningham enters the game for A. Ajinca,,79-89,,
6:22.0,,,79-89,,D. Harris misses 2-pt shot from 1 ft
6:21.0,Defensive rebound by E. Gordon,,79-89,,
6:18.0,Turnover by E. Gordon (bad pass),,79-89,,
6:04.0,,,79-89,,Turnover by R. Jefferson (lost ball; steal by T. Evans)
5:58.0,Shooting foul by D. Harris (drawn by T. Evans),,79-89,,
5:58.0,T. Evans makes free throw 1 of 2,1,80-89,,
5:58.0,,,80-89,,M. Ellis enters the game for J. Barea
5:58.0,,,80-89,,R. Rondo enters the game for D. Harris
5:58.0,T. Evans makes free throw 2 of 2,1,81-89,,
5:44.0,,,81-91,2,M. Ellis makes 2-pt shot from 18 ft
5:22.0,D. Cunningham makes 2-pt shot from 17 ft (assist by E. Gordon),2,83-91,,
5:03.0,,,83-91,,M. Ellis misses 2-pt shot from 1 ft
5:01.0,Defensive rebound by O. Asik,,83-91,,
4:48.0,D. Cunningham makes 2-pt shot at rim (assist by T. Evans),2,85-91,,
4:33.0,Personal foul by O. Asik (drawn by A. Stoudemire),,85-91,,
4:33.0,,,85-91,,D. Nowitzki enters the game for A. Stoudemire
4:33.0,,,85-91,,B. James enters the game for A. Aminu
4:22.0,,,85-93,2,M. Ellis makes 2-pt shot from 20 ft
4:03.0,T. Evans misses 2-pt shot from 2 ft,,85-93,,
4:01.0,,,85-93,,Defensive rebound by B. James
3:55.0,,,85-93,,D. Nowitzki misses 2-pt shot from 20 ft
3:54.0,Defensive rebound by E. Gordon,,85-93,,
3:43.0,D. Cunningham makes 2-pt shot from 20 ft (assist by T. Evans),2,87-93,,
3:32.0,Personal foul by D. Cunningham (drawn by D. Nowitzki),,87-93,,
3:28.0,,,87-93,,Shooting foul by T. Evans (drawn by M. Ellis)
3:28.0,,,87-94,1,M. Ellis makes free throw 1 of 2
3:28.0,,,87-95,1,M. Ellis makes free throw 2 of 2
3:08.0,T. Evans misses 3-pt shot from 24 ft,,87-95,,
3:07.0,Offensive rebound by O. Asik,,87-95,,
2:57.0,D. Cunningham misses 2-pt shot from 9 ft,,87-95,,
2:56.0,,,87-95,,Defensive rebound by R. Jefferson
2:43.0,,,87-95,,Shooting foul by E. Gordon (drawn by M. Ellis)
2:43.0,New Orleans full timeout,,87-95,,
2:43.0,,,87-96,1,M. Ellis makes free throw 1 of 2
2:43.0,,,87-97,1,M. Ellis makes free throw 2 of 2
2:20.0,O. Asik makes 2-pt shot at rim (assist by T. Evans),2,89-97,,
2:00.0,,,89-100,3,D. Nowitzki makes 3-pt shot from 25 ft (assist by B. James)
1:45.0,O. Asik misses 2-pt shot from 2 ft (block by B. James),,89-100,,
1:43.0,,,89-100,,Defensive rebound by R. Jefferson
1:31.0,,,89-100,,M. Ellis misses 2-pt shot from 9 ft
1:30.0,Defensive rebound by T. Evans,,89-100,,
1:25.0,Shooting foul by D. Nowitzki (drawn by T. Evans),,89-100,,
1:25.0,T. Evans makes free throw 1 of 2,1,90-100,,
1:25.0,A. Ajinca enters the game for O. Asik,,90-100,,
1:25.0,T. Evans makes free throw 2 of 2,1,91-100,,
1:01.0,,,91-100,,D. Nowitzki misses 3-pt shot from 23 ft
1:00.0,,,91-100,,Offensive rebound by B. James
0:59.0,Jump ball: T. Evans vs. B. James (R. Jefferson gains possession),,,,Jump ball: T. Evans vs. B. James (R. Jefferson gains possession)
0:44.0,,,91-102,2,R. Rondo makes 2-pt shot from 1 ft
0:36.0,Turnover by N. Cole (lost ball),,91-102,,
0:18.0,,,91-102,,M. Ellis misses 3-pt shot from 24 ft
0:16.0,Defensive rebound by E. Gordon,,91-102,,
0:11.0,D. Cunningham makes 2-pt shot from 1 ft,2,93-102,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
