time,Utah,pts.away,score,pts.home,Memphis
1:25.0,,,15-20,,V. Carter misses 3-pt shot from 26 ft
1:23.0,Defensive rebound by R. Hood,,15-20,,
1:12.0,Shooting foul by C. Lee (drawn by G. Hayward),,15-20,,
1:12.0,Utah full timeout,,15-20,,
1:12.0,,,15-20,,J. Adams enters the game for C. Lee
1:12.0,G. Hayward misses free throw 1 of 2,,15-20,,
1:12.0,Offensive rebound by Team,,15-20,,
1:12.0,G. Hayward makes free throw 2 of 2,1,16-20,,
1:02.0,Personal foul by R. Gobert (drawn by M. Gasol),,16-20,,
0:54.0,,,16-22,2,J. Leuer makes 2-pt shot from 18 ft (assist by B. Udrih)
0:41.0,G. Hayward misses 2-pt shot from 19 ft,,16-22,,
0:40.0,Offensive rebound by G. Hayward,,16-22,,
0:35.0,D. Exum makes 3-pt shot from 26 ft (assist by R. Hood),3,19-22,,
0:15.0,,,19-22,,M. Gasol misses 2-pt shot from 19 ft
0:13.0,Defensive rebound by D. Favors,,19-22,,
0:01.0,D. Favors misses 2-pt shot from 9 ft,,19-22,,
0:00.0,,,19-22,,Defensive rebound by J. Adams
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:50.0,,,19-25,3,J. Adams makes 3-pt shot from 25 ft (assist by V. Carter)
11:29.0,E. Kanter makes 2-pt shot from 13 ft,2,21-25,,
11:11.0,Violation by R. Gobert (def goaltending),,21-25,,
11:11.0,,,21-27,2,V. Carter makes 2-pt shot at rim
10:51.0,D. Exum makes 3-pt shot from 25 ft (assist by R. Hood),3,24-27,,
10:39.0,,,24-27,,J. Leuer misses 2-pt shot at rim
10:37.0,Defensive rebound by R. Gobert,,24-27,,
10:14.0,E. Kanter misses 2-pt shot from 7 ft,,24-27,,
10:12.0,,,24-27,,Defensive rebound by V. Carter
10:00.0,,,24-27,,K. Koufos misses 2-pt shot from 18 ft
9:59.0,Defensive rebound by E. Kanter,,24-27,,
9:54.0,Shooting foul by J. Leuer (drawn by A. Burks),,24-27,,
9:54.0,A. Burks makes free throw 1 of 2,1,25-27,,
9:54.0,A. Burks makes free throw 2 of 2,1,26-27,,
9:38.0,,,26-29,2,J. Adams makes 2-pt shot from 10 ft
9:19.0,,,26-29,,Personal foul by V. Carter (drawn by R. Hood)
9:11.0,A. Burks misses 2-pt shot from 9 ft,,26-29,,
9:10.0,Offensive rebound by R. Gobert,,26-29,,
9:10.0,R. Gobert misses 2-pt shot from 1 ft,,26-29,,
9:09.0,Offensive rebound by R. Gobert,,26-29,,
9:09.0,R. Gobert misses 2-pt shot from 1 ft,,26-29,,
9:08.0,Offensive rebound by E. Kanter,,26-29,,
9:08.0,E. Kanter makes 2-pt shot at rim,2,28-29,,
8:42.0,,,28-29,,J. Leuer misses 2-pt shot from 9 ft
8:41.0,Defensive rebound by R. Gobert,,28-29,,
8:28.0,D. Exum misses 3-pt shot from 25 ft,,28-29,,
8:27.0,,,28-29,,Defensive rebound by K. Koufos
8:16.0,,,28-32,3,V. Carter makes 3-pt shot from 26 ft (assist by B. Udrih)
7:56.0,,,28-32,,Personal foul by J. Adams (drawn by R. Hood)
7:56.0,Utah full timeout,,28-32,,
7:56.0,J. Ingles enters the game for R. Hood,,28-32,,
7:56.0,,,28-32,,M. Conley enters the game for B. Udrih
7:46.0,Shooting foul by J. Adams (drawn by A. Burks),,28-32,,
7:46.0,A. Burks makes free throw 1 of 2,1,29-32,,
7:46.0,A. Burks misses free throw 2 of 2,,29-32,,
7:44.0,Offensive rebound by R. Gobert,,29-32,,
7:42.0,R. Gobert misses 2-pt shot from 1 ft,,29-32,,
7:41.0,Offensive rebound by R. Gobert,,29-32,,
7:40.0,R. Gobert misses 2-pt shot at rim,,29-32,,
7:38.0,,,29-32,,Defensive rebound by J. Leuer
7:24.0,,,29-32,,M. Conley misses 2-pt shot from 17 ft
7:23.0,Defensive rebound by R. Gobert,,29-32,,
7:06.0,,,29-32,,Violation by V. Carter (kicked ball)
7:06.0,,,29-32,,T. Prince enters the game for V. Carter
6:53.0,J. Ingles makes 2-pt shot from 12 ft,2,31-32,,
6:39.0,,,31-34,2,J. Leuer makes 2-pt shot from 19 ft (assist by M. Conley)
6:36.0,Utah full timeout,,31-34,,
6:36.0,,,31-34,,C. Lee enters the game for J. Adams
6:36.0,T. Burke enters the game for D. Exum,,31-34,,
6:19.0,A. Burks misses 2-pt shot from 22 ft,,31-34,,
6:16.0,,,31-34,,Defensive rebound by K. Koufos
5:54.0,,,31-34,,J. Leuer misses 3-pt shot from 23 ft
5:53.0,Defensive rebound by R. Gobert,,31-34,,
5:40.0,T. Burke makes 3-pt shot from 25 ft (assist by A. Burks),3,34-34,,
5:21.0,,,34-34,,J. Leuer misses 2-pt shot from 1 ft (block by R. Gobert)
5:20.0,Defensive rebound by E. Kanter,,34-34,,
5:14.0,Turnover by T. Burke (bad pass),,34-34,,
5:14.0,,,34-34,,Memphis full timeout
5:14.0,,,34-34,,M. Gasol enters the game for J. Leuer
5:14.0,G. Hayward enters the game for A. Burks,,34-34,,
5:14.0,D. Favors enters the game for R. Gobert,,34-34,,
5:02.0,,,34-34,,Shooting foul by E. Kanter (drawn by M. Gasol)
5:02.0,,,34-35,1,M. Gasol makes free throw 1 of 2
5:02.0,,,34-36,1,M. Gasol makes free throw 2 of 2
4:39.0,Turnover by D. Favors (traveling),,34-36,,
4:39.0,R. Gobert enters the game for E. Kanter,,34-36,,
4:21.0,,,34-38,2,M. Gasol makes 2-pt shot from 12 ft (assist by C. Lee)
4:01.0,D. Favors misses 2-pt shot from 1 ft,,34-38,,
3:58.0,Offensive rebound by D. Favors,,34-38,,
3:56.0,D. Favors makes 2-pt shot at rim,2,36-38,,
3:49.0,Personal foul by J. Ingles (drawn by M. Conley),,36-38,,
3:45.0,,,36-41,3,M. Conley makes 3-pt shot from 25 ft (assist by M. Gasol)
3:26.0,Turnover by D. Favors (bad pass; steal by K. Koufos),,36-41,,
3:14.0,,,36-43,2,K. Koufos makes 2-pt shot from 4 ft (assist by M. Gasol)
3:12.0,Utah full timeout,,36-43,,
3:12.0,A. Burks enters the game for J. Ingles,,36-43,,
2:50.0,T. Burke misses 3-pt shot from 23 ft,,36-43,,
2:49.0,Offensive rebound by Team,,36-43,,
2:40.0,Shooting foul by K. Koufos (drawn by G. Hayward),,36-43,,
2:40.0,G. Hayward misses free throw 1 of 2,,36-43,,
2:40.0,Offensive rebound by Team,,36-43,,
2:40.0,G. Hayward makes free throw 2 of 2,1,37-43,,
2:26.0,Personal foul by D. Favors (drawn by M. Gasol),,37-43,,
2:26.0,,,37-43,,J. Leuer enters the game for K. Koufos
2:21.0,,,37-43,,M. Conley misses 2-pt shot from 20 ft
2:18.0,Defensive rebound by R. Gobert,,37-43,,
2:04.0,A. Burks misses 3-pt shot from 25 ft,,37-43,,
2:02.0,,,37-43,,Defensive rebound by M. Conley
1:50.0,,,37-43,,C. Lee misses 3-pt shot from 23 ft
1:49.0,Defensive rebound by R. Gobert,,37-43,,
1:34.0,A. Burks makes 3-pt shot from 26 ft (assist by G. Hayward),3,40-43,,
1:10.0,,,40-43,,Memphis full timeout
1:07.0,,,40-43,,M. Gasol misses 2-pt shot from 20 ft
1:06.0,Defensive rebound by T. Burke,,40-43,,
0:55.0,G. Hayward misses 2-pt shot from 10 ft (block by T. Prince),,40-43,,
0:53.0,,,40-43,,Defensive rebound by M. Gasol
0:53.0,Personal foul by R. Gobert (drawn by T. Prince),,40-43,,
0:41.0,,,40-43,,Turnover by M. Gasol (lost ball)
0:37.0,D. Favors misses 2-pt shot from 14 ft,,40-43,,
0:35.0,Offensive rebound by T. Burke,,40-43,,
0:33.0,A. Burks makes 2-pt shot at rim (assist by T. Burke),2,42-43,,
0:21.0,,,42-43,,M. Gasol misses 2-pt shot from 2 ft (block by R. Gobert)
0:20.0,Defensive rebound by D. Favors,,42-43,,
0:01.0,G. Hayward makes 2-pt shot from 9 ft,2,44-43,,
0:01.0,,,44-43,,M. Conley misses 3-pt shot from 49 ft
0:00.0,,,44-43,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:46.0,,,44-45,2,M. Conley makes 2-pt shot from 8 ft
11:26.0,Shooting foul by M. Gasol (drawn by D. Favors),,44-45,,
11:26.0,D. Favors makes free throw 1 of 2,1,45-45,,
11:26.0,D. Favors makes free throw 2 of 2,1,46-45,,
11:22.0,Personal foul by G. Hayward (drawn by T. Prince),,46-45,,
11:13.0,,,46-47,2,C. Lee makes 2-pt shot from 17 ft (assist by K. Koufos)
10:52.0,A. Burks misses 3-pt shot from 26 ft,,46-47,,
10:52.0,,,46-47,,Defensive rebound by M. Gasol
10:43.0,,,46-49,2,M. Conley makes 2-pt shot at rim
10:29.0,T. Burke makes 2-pt shot from 21 ft,2,48-49,,
10:02.0,,,48-51,2,C. Lee makes 2-pt shot from 20 ft
9:40.0,E. Kanter makes 2-pt shot at rim (assist by T. Burke),2,50-51,,
9:25.0,,,50-51,,Shooting foul by G. Hayward (drawn by K. Koufos)
9:25.0,,,50-52,1,K. Koufos makes free throw 1 of 2
9:25.0,,,50-52,,K. Koufos misses free throw 2 of 2
9:25.0,Defensive rebound by E. Kanter,,50-52,,
9:03.0,D. Favors makes 2-pt shot at rim (assist by A. Burks),2,52-52,,
8:45.0,,,52-52,,C. Lee misses 3-pt shot from 27 ft
8:44.0,Defensive rebound by G. Hayward,,52-52,,
8:33.0,E. Kanter misses 2-pt shot from 18 ft,,52-52,,
8:31.0,,,52-52,,Defensive rebound by M. Gasol
8:22.0,,,52-52,,C. Lee misses 2-pt shot from 6 ft
8:19.0,Defensive rebound by T. Burke,,52-52,,
8:13.0,G. Hayward makes 2-pt shot at rim (assist by T. Burke),2,54-52,,
7:52.0,,,54-52,,T. Prince misses 3-pt shot from 23 ft
7:51.0,Defensive rebound by A. Burks,,54-52,,
7:36.0,T. Burke misses 2-pt shot from 8 ft,,54-52,,
7:34.0,,,54-52,,Defensive rebound by M. Gasol
7:30.0,,,54-54,2,M. Conley makes 2-pt shot from 1 ft
7:04.0,D. Favors makes 2-pt shot at rim (assist by A. Burks),2,56-54,,
6:39.0,,,56-57,3,M. Conley makes 3-pt shot from 26 ft (assist by C. Lee)
6:19.0,T. Burke misses 3-pt shot from 26 ft,,56-57,,
6:18.0,,,56-57,,Defensive rebound by M. Gasol
6:09.0,,,56-57,,M. Gasol misses 2-pt shot from 14 ft
6:07.0,Defensive rebound by D. Favors,,56-57,,
5:55.0,G. Hayward makes 2-pt shot from 16 ft,2,58-57,,
5:44.0,,,58-57,,Memphis full timeout
5:44.0,R. Hood enters the game for D. Favors,,58-57,,
5:44.0,D. Exum enters the game for A. Burks,,58-57,,
5:44.0,R. Gobert enters the game for T. Burke,,58-57,,
5:44.0,,,58-57,,J. Leuer enters the game for K. Koufos
5:32.0,,,58-57,,M. Gasol misses 2-pt shot from 6 ft
5:30.0,Defensive rebound by E. Kanter,,58-57,,
5:10.0,E. Kanter misses 2-pt shot from 18 ft,,58-57,,
5:07.0,,,58-57,,Defensive rebound by T. Prince
4:57.0,,,58-57,,Turnover by M. Gasol (palming)
4:42.0,E. Kanter makes 3-pt shot from 23 ft (assist by G. Hayward),3,61-57,,
4:28.0,,,61-57,,J. Leuer misses 2-pt shot from 18 ft
4:27.0,Defensive rebound by D. Exum,,61-57,,
4:20.0,R. Hood makes 2-pt shot from 6 ft (assist by G. Hayward),2,63-57,,
3:55.0,,,63-59,2,M. Conley makes 2-pt shot from 17 ft
3:39.0,E. Kanter makes 2-pt shot from 19 ft (assist by D. Exum),2,65-59,,
3:18.0,,,65-61,2,M. Gasol makes 2-pt shot at rim (assist by J. Leuer)
2:57.0,Turnover by E. Kanter (bad pass),,65-61,,
2:57.0,Utah full timeout,,65-61,,
2:57.0,,,65-61,,V. Carter enters the game for T. Prince
2:44.0,,,65-61,,J. Leuer misses 2-pt shot from 11 ft
2:43.0,Defensive rebound by E. Kanter,,65-61,,
2:30.0,Turnover by R. Gobert (bad pass; steal by C. Lee),,65-61,,
2:26.0,,,65-63,2,C. Lee makes 2-pt shot from 1 ft
2:26.0,,,65-63,,Shooting foul by D. Exum (drawn by C. Lee)
2:26.0,,,65-64,1,C. Lee makes free throw 1 of 1
2:09.0,G. Hayward makes 2-pt shot from 9 ft,2,67-64,,
1:51.0,Personal foul by R. Gobert (drawn by M. Gasol),,67-64,,
1:36.0,,,67-66,2,M. Gasol makes 2-pt shot from 20 ft (assist by M. Conley)
1:09.0,R. Hood misses 2-pt shot from 21 ft,,67-66,,
1:07.0,,,67-66,,Defensive rebound by M. Conley
1:00.0,,,67-68,2,M. Conley makes 2-pt shot from 11 ft
0:42.0,Turnover by G. Hayward (bad pass),,67-68,,
0:33.0,,,67-68,,M. Conley misses 2-pt shot from 21 ft
0:32.0,Defensive rebound by R. Gobert,,67-68,,
0:12.0,G. Hayward makes 3-pt shot from 25 ft (assist by R. Hood),3,70-68,,
0:03.0,,,70-68,,M. Gasol misses 2-pt shot at rim (block by E. Kanter)
0:01.0,Defensive rebound by R. Hood,,70-68,,
0:01.0,R. Hood misses 3-pt shot from 41 ft,,70-68,,
0:00.0,Offensive rebound by Team,,70-68,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:45.0,R. Hood misses 2-pt shot from 9 ft,,70-68,,
11:43.0,,,70-68,,Defensive rebound by M. Gasol
11:29.0,,,70-68,,M. Gasol misses 2-pt shot from 8 ft
11:27.0,Defensive rebound by R. Gobert,,70-68,,
11:20.0,Shooting foul by M. Gasol (drawn by R. Hood),,70-68,,
11:20.0,R. Hood makes free throw 1 of 2,1,71-68,,
11:20.0,R. Hood misses free throw 2 of 2,,71-68,,
11:18.0,,,71-68,,Defensive rebound by J. Leuer
10:58.0,,,71-68,,B. Udrih misses 2-pt shot from 14 ft
10:57.0,,,71-68,,Offensive rebound by B. Udrih
10:54.0,,,71-68,,M. Gasol misses 2-pt shot from 16 ft
10:53.0,Defensive rebound by D. Exum,,71-68,,
10:37.0,Turnover by A. Burks (bad pass; steal by C. Lee),,71-68,,
10:25.0,,,71-68,,Shooting foul by R. Hood (drawn by V. Carter)
10:25.0,,,71-69,1,V. Carter makes free throw 1 of 2
10:25.0,,,71-69,,K. Koufos enters the game for M. Gasol
10:25.0,,,71-70,1,V. Carter makes free throw 2 of 2
10:09.0,A. Burks misses 2-pt shot from 11 ft,,71-70,,
10:07.0,,,71-70,,Defensive rebound by J. Leuer
9:47.0,,,71-70,,V. Carter misses 2-pt shot at rim
9:44.0,Defensive rebound by A. Burks,,71-70,,
9:39.0,R. Gobert makes 2-pt shot at rim (assist by A. Burks),2,73-70,,
9:23.0,Personal foul by A. Burks (drawn by K. Koufos),,73-70,,
9:23.0,,,73-70,,J. Adams enters the game for C. Lee
9:10.0,,,73-73,3,V. Carter makes 3-pt shot from 23 ft (assist by B. Udrih)
8:52.0,A. Burks makes 2-pt shot from 16 ft (assist by D. Exum),2,75-73,,
8:32.0,,,75-73,,B. Udrih misses 3-pt shot from 24 ft
8:32.0,Defensive rebound by R. Gobert,,75-73,,
8:22.0,R. Hood misses 3-pt shot from 26 ft,,75-73,,
8:20.0,,,75-73,,Defensive rebound by J. Leuer
8:16.0,Personal foul by R. Hood (drawn by V. Carter),,75-73,,
8:16.0,,,75-73,,Memphis full timeout
8:04.0,,,75-73,,V. Carter misses 3-pt shot from 25 ft
8:02.0,Defensive rebound by R. Gobert,,75-73,,
7:40.0,A. Burks misses 2-pt shot from 5 ft (block by J. Adams),,75-73,,
7:38.0,,,75-73,,Defensive rebound by J. Adams
7:30.0,,,75-75,2,V. Carter makes 2-pt shot at rim
7:12.0,A. Burks misses 2-pt shot from 2 ft,,75-75,,
7:09.0,,,75-75,,Defensive rebound by B. Udrih
7:04.0,,,75-75,,Offensive foul by K. Koufos
7:04.0,,,75-75,,Turnover by K. Koufos (offensive foul)
7:04.0,T. Burke enters the game for D. Exum,,75-75,,
7:04.0,G. Hayward enters the game for A. Burks,,75-75,,
6:42.0,D. Favors misses 2-pt shot from 10 ft,,75-75,,
6:40.0,Offensive rebound by R. Gobert,,75-75,,
6:39.0,Turnover by Team (shot clock),,75-75,,
6:28.0,Personal foul by R. Hood (drawn by K. Koufos),,75-75,,
6:28.0,E. Kanter enters the game for R. Gobert,,75-75,,
6:20.0,,,75-75,,J. Leuer misses 2-pt shot from 15 ft
6:18.0,Defensive rebound by G. Hayward,,75-75,,
6:00.0,R. Hood misses 3-pt shot from 23 ft,,75-75,,
5:59.0,,,75-75,,Defensive rebound by J. Leuer
5:42.0,,,75-75,,Memphis full timeout
5:42.0,,,75-75,,M. Gasol enters the game for K. Koufos
5:42.0,,,75-75,,C. Lee enters the game for B. Udrih
5:42.0,,,75-75,,M. Conley enters the game for J. Adams
5:42.0,Violation by Team (jump ball),,75-75,,
5:42.0,Jump ball: R. Hood vs. J. Leuer,,,,Jump ball: R. Hood vs. J. Leuer
5:39.0,A. Burks enters the game for R. Hood,,75-75,,
5:31.0,,,75-77,2,M. Gasol makes 2-pt shot from 8 ft (assist by M. Conley)
5:13.0,A. Burks makes 3-pt shot from 23 ft (assist by G. Hayward),3,78-77,,
4:58.0,,,78-77,,M. Conley misses 2-pt shot at rim (block by D. Favors)
4:58.0,,,78-77,,Offensive rebound by Team
4:53.0,,,78-79,2,C. Lee makes 2-pt shot from 10 ft
4:32.0,A. Burks makes 2-pt shot from 17 ft,2,80-79,,
4:15.0,,,80-79,,M. Conley misses 2-pt shot from 11 ft
4:12.0,Defensive rebound by D. Favors,,80-79,,
4:09.0,,,80-79,,Personal foul by M. Conley (drawn by D. Favors)
4:09.0,D. Favors makes free throw 1 of 2,1,81-79,,
4:09.0,,,81-79,,K. Koufos enters the game for J. Leuer
4:09.0,D. Favors makes free throw 2 of 2,1,82-79,,
3:53.0,,,82-79,,M. Gasol misses 2-pt shot from 19 ft
3:52.0,Defensive rebound by E. Kanter,,82-79,,
3:32.0,D. Favors makes 2-pt shot at rim (assist by T. Burke),2,84-79,,
3:18.0,,,84-79,,M. Conley misses 2-pt shot at rim
3:15.0,Defensive rebound by A. Burks,,84-79,,
3:13.0,Turnover by G. Hayward (traveling),,84-79,,
3:13.0,,,84-79,,B. Udrih enters the game for V. Carter
2:57.0,,,84-81,2,M. Conley makes 2-pt shot at rim (assist by M. Gasol)
2:51.0,Utah full timeout,,84-81,,
2:40.0,G. Hayward misses 2-pt shot from 4 ft,,84-81,,
2:39.0,,,84-81,,Defensive rebound by M. Conley
2:34.0,,,84-81,,M. Conley misses 2-pt shot from 1 ft (block by G. Hayward)
2:32.0,Defensive rebound by E. Kanter,,84-81,,
2:17.0,Turnover by E. Kanter (traveling),,84-81,,
2:03.0,Violation by D. Favors (kicked ball),,84-81,,
1:50.0,,,84-81,,C. Lee misses 3-pt shot from 24 ft
1:49.0,Defensive rebound by E. Kanter,,84-81,,
1:34.0,T. Burke makes 2-pt shot from 3 ft,2,86-81,,
1:34.0,Shooting foul by B. Udrih (drawn by T. Burke),,86-81,,
1:34.0,R. Gobert enters the game for E. Kanter,,86-81,,
1:34.0,T. Burke makes free throw 1 of 1,1,87-81,,
1:20.0,,,87-84,3,M. Conley makes 3-pt shot from 26 ft (assist by M. Gasol)
1:04.0,A. Burks makes 2-pt shot from 21 ft,2,89-84,,
0:51.0,,,89-84,,C. Lee misses 3-pt shot from 25 ft
0:50.0,Defensive rebound by D. Favors,,89-84,,
0:40.0,,,89-84,,Personal take foul by C. Lee (drawn by G. Hayward)
0:40.0,G. Hayward makes free throw 1 of 2,1,90-84,,
0:40.0,G. Hayward makes free throw 2 of 2,1,91-84,,
0:40.0,,,91-84,,Memphis full timeout
0:40.0,,,91-84,,V. Carter enters the game for K. Koufos
0:40.0,R. Hood enters the game for R. Gobert,,91-84,,
0:35.0,,,91-84,,Shooting foul by D. Favors (drawn by M. Gasol)
0:35.0,,,91-85,1,M. Gasol makes free throw 1 of 2
0:35.0,R. Gobert enters the game for R. Hood,,91-85,,
0:35.0,,,91-86,1,M. Gasol makes free throw 2 of 2
0:35.0,Utah full timeout,,91-86,,
0:35.0,R. Hood enters the game for R. Gobert,,91-86,,
0:32.0,,,91-86,,Personal take foul by V. Carter (drawn by R. Hood)
0:32.0,R. Hood misses free throw 1 of 2,,91-86,,
0:32.0,Offensive rebound by Team,,91-86,,
0:32.0,R. Hood makes free throw 2 of 2,1,92-86,,
0:22.0,,,92-86,,C. Lee misses 3-pt shot from 26 ft
0:21.0,Defensive rebound by G. Hayward,,92-86,,
0:20.0,,,92-86,,Personal take foul by V. Carter (drawn by G. Hayward)
0:20.0,G. Hayward misses free throw 1 of 2,,92-86,,
0:20.0,Offensive rebound by Team,,92-86,,
0:20.0,G. Hayward makes free throw 2 of 2,1,93-86,,
0:20.0,,,93-86,,Memphis full timeout
0:14.0,,,93-89,3,M. Conley makes 3-pt shot from 25 ft (assist by M. Gasol)
0:14.0,,,93-89,,Personal take foul by C. Lee (drawn by A. Burks)
0:14.0,A. Burks makes free throw 1 of 2,1,94-89,,
0:14.0,A. Burks makes free throw 2 of 2,1,95-89,,
0:14.0,,,95-89,,Memphis full timeout
0:09.0,,,95-89,,M. Conley misses 3-pt shot from 28 ft
0:08.0,,,95-89,,Offensive rebound by M. Gasol
0:06.0,,,95-91,2,M. Gasol makes 2-pt shot from 1 ft
0:06.0,Utah full timeout,,95-91,,
0:06.0,,,95-91,,J. Adams enters the game for V. Carter
0:05.0,,,95-91,,Personal take foul by M. Conley (drawn by A. Burks)
0:05.0,A. Burks makes free throw 1 of 2,1,96-91,,
0:05.0,,,96-91,,V. Carter enters the game for J. Adams
0:05.0,R. Gobert enters the game for T. Burke,,96-91,,
0:05.0,A. Burks makes free throw 2 of 2,1,97-91,,
0:02.0,,,97-91,,M. Gasol misses 3-pt shot from 31 ft
0:01.0,Defensive rebound by R. Hood,,97-91,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
