time,Indiana,pts.away,score,pts.home,Denver
4:21.0,Defensive rebound by D. West,,11-7,,
4:12.0,D. West makes 2-pt shot from 17 ft (assist by D. Sloan),2,13-7,,
3:50.0,,,13-7,,W. Chandler misses 3-pt shot from 24 ft
3:48.0,Defensive rebound by D. Sloan,,13-7,,
3:42.0,D. Sloan misses 2-pt shot from 17 ft,,13-7,,
3:40.0,,,13-7,,Defensive rebound by J. Hickson
3:23.0,,,13-7,,A. Afflalo misses 2-pt shot from 18 ft
3:22.0,Defensive rebound by C. Miles,,13-7,,
3:16.0,C. Miles misses 2-pt shot from 2 ft (block by T. Mozgov),,13-7,,
3:16.0,Offensive rebound by Team,,13-7,,
3:16.0,Indiana full timeout,,13-7,,
3:16.0,,,13-7,,D. Gallinari enters the game for W. Chandler
3:16.0,,,13-7,,Inbound foul by J. Hickson
3:16.0,D. West misses free throw 1 of 2,,13-7,,
3:16.0,Offensive rebound by Team,,13-7,,
3:16.0,D. West misses free throw 2 of 2,,13-7,,
3:15.0,,,13-7,,Defensive rebound by T. Mozgov
2:59.0,,,13-9,2,D. Gallinari makes 2-pt shot from 1 ft
2:40.0,S. Hill makes 3-pt shot from 24 ft (assist by L. Allen),3,16-9,,
2:19.0,,,16-11,2,J. Hickson makes 2-pt shot from 10 ft (assist by T. Lawson)
2:06.0,D. Sloan makes 2-pt shot from 1 ft,2,18-11,,
1:56.0,,,18-13,2,T. Lawson makes 2-pt shot from 2 ft
1:43.0,D. Sloan misses 3-pt shot from 25 ft,,18-13,,
1:43.0,,,18-13,,Defensive rebound by Team
1:31.0,,,18-15,2,D. Gallinari makes 2-pt shot at rim (assist by T. Lawson)
1:15.0,L. Allen misses 2-pt shot from 21 ft,,18-15,,
1:13.0,,,18-15,,Defensive rebound by J. Hickson
0:55.0,,,18-15,,J. Hickson misses 2-pt shot from 16 ft
0:54.0,Defensive rebound by L. Allen,,18-15,,
0:33.0,D. West misses 2-pt shot from 19 ft,,18-15,,
0:31.0,,,18-15,,Defensive rebound by A. Afflalo
0:24.0,,,18-15,,A. Afflalo misses 2-pt shot from 2 ft (block by C. Miles)
0:24.0,,,18-15,,Offensive rebound by Team
0:14.0,,,18-15,,D. Gallinari misses 2-pt shot from 22 ft
0:13.0,Defensive rebound by D. West,,18-15,,
0:03.0,,,18-15,,Personal foul by T. Lawson (drawn by D. Sloan)
0:00.0,C. Miles makes 3-pt shot from 25 ft (assist by D. West),3,21-15,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:47.0,Personal foul by D. Rudez (drawn by D. Gallinari),,21-15,,
11:41.0,,,21-17,2,J. Nurkic makes 2-pt shot from 1 ft (assist by N. Robinson)
11:23.0,L. Scola makes 2-pt shot from 20 ft (assist by L. Allen),2,23-17,,
11:03.0,,,23-19,2,N. Robinson makes 2-pt shot from 8 ft
10:39.0,R. Stuckey misses 3-pt shot from 25 ft,,23-19,,
10:37.0,,,23-19,,Defensive rebound by J. Hickson
10:26.0,,,23-19,,J. Hickson misses 2-pt shot from 4 ft
10:25.0,Defensive rebound by L. Scola,,23-19,,
10:16.0,L. Scola misses 2-pt shot from 19 ft,,23-19,,
10:15.0,Offensive rebound by R. Stuckey,,23-19,,
10:03.0,C. Miles misses 2-pt shot from 18 ft,,23-19,,
10:02.0,,,23-19,,Defensive rebound by J. Nurkic
9:52.0,,,23-19,,N. Robinson misses 2-pt shot from 17 ft
9:50.0,Defensive rebound by L. Scola,,23-19,,
9:40.0,R. Stuckey misses 2-pt shot from 1 ft,,23-19,,
9:38.0,Offensive rebound by L. Allen,,23-19,,
9:34.0,L. Allen makes 2-pt shot from 8 ft,2,25-19,,
9:19.0,,,25-19,,Turnover by N. Robinson (bad pass; steal by C. Miles)
9:16.0,D. Rudez misses 2-pt shot from 1 ft (block by W. Chandler),,25-19,,
9:15.0,,,25-19,,Defensive rebound by Team
9:15.0,Loose ball foul by L. Scola (drawn by W. Chandler),,25-19,,
9:15.0,,,25-19,,K. Faried enters the game for J. Hickson
8:54.0,,,25-19,,W. Chandler misses 2-pt shot from 3 ft
8:52.0,,,25-19,,Offensive rebound by J. Nurkic
8:52.0,,,25-21,2,J. Nurkic makes 2-pt shot from 2 ft
8:41.0,C. Miles misses 3-pt shot from 25 ft,,25-21,,
8:40.0,,,25-21,,Defensive rebound by D. Gallinari
8:30.0,,,25-21,,K. Faried misses 2-pt shot from 5 ft
8:28.0,Defensive rebound by D. Rudez,,25-21,,
8:20.0,Offensive foul by R. Stuckey,,25-21,,
8:20.0,Turnover by R. Stuckey (offensive foul),,25-21,,
8:20.0,Official timeout,,25-21,,
8:08.0,,,25-21,,N. Robinson misses 3-pt shot from 24 ft
8:07.0,Defensive rebound by C. Miles,,25-21,,
7:44.0,R. Stuckey misses 3-pt shot from 25 ft,,25-21,,
7:43.0,,,25-21,,Defensive rebound by J. Nurkic
7:31.0,,,25-21,,N. Robinson misses 2-pt shot from 13 ft
7:28.0,,,25-21,,Offensive rebound by K. Faried
7:22.0,,,25-21,,W. Chandler misses 2-pt shot from 13 ft
7:21.0,Defensive rebound by R. Stuckey,,25-21,,
7:18.0,Turnover by R. Stuckey (bad pass; steal by N. Robinson),,25-21,,
7:08.0,,,25-23,2,N. Robinson makes 2-pt shot from 17 ft
6:42.0,C. Miles misses 2-pt shot from 17 ft,,25-23,,
6:41.0,,,25-23,,Defensive rebound by J. Nurkic
6:30.0,,,25-23,,J. Nurkic misses 2-pt shot from 4 ft
6:29.0,Defensive rebound by L. Scola,,25-23,,
6:26.0,,,25-23,,Personal foul by K. Faried (drawn by L. Scola)
6:26.0,S. Hill enters the game for C. Miles,,25-23,,
6:26.0,R. Hibbert enters the game for L. Allen,,25-23,,
6:15.0,Turnover by R. Hibbert (3 sec),,25-23,,
6:06.0,Personal block foul by D. Rudez (drawn by D. Gallinari),,25-23,,
6:06.0,D. Sloan enters the game for D. Rudez,,25-23,,
6:06.0,,,25-23,,T. Lawson enters the game for N. Robinson
6:06.0,,,25-23,,T. Mozgov enters the game for J. Nurkic
5:53.0,,,25-23,,W. Chandler misses 2-pt shot from 4 ft
5:51.0,Defensive rebound by D. Sloan,,25-23,,
5:44.0,L. Scola misses 2-pt shot from 2 ft (block by T. Mozgov),,25-23,,
5:41.0,,,25-23,,Defensive rebound by K. Faried
5:36.0,,,25-23,,D. Gallinari misses 3-pt shot from 25 ft
5:35.0,Defensive rebound by D. Sloan,,25-23,,
5:24.0,,,25-23,,Personal foul by D. Gallinari (drawn by R. Stuckey)
5:24.0,,,25-23,,Denver full timeout
5:24.0,,,25-23,,A. Afflalo enters the game for W. Chandler
5:24.0,R. Stuckey makes free throw 1 of 2,1,26-23,,
5:24.0,R. Stuckey makes free throw 2 of 2,1,27-23,,
5:04.0,,,27-23,,Turnover by T. Mozgov (traveling)
4:51.0,R. Hibbert misses 2-pt shot from 18 ft,,27-23,,
4:50.0,,,27-23,,Defensive rebound by T. Lawson
4:40.0,,,27-25,2,T. Lawson makes 2-pt shot from 2 ft
4:15.0,Turnover by Team (bad pass),,27-25,,
4:01.0,,,27-27,2,D. Gallinari makes 2-pt shot from 2 ft
3:35.0,S. Hill misses 3-pt shot from 25 ft,,27-27,,
3:32.0,Offensive rebound by R. Hibbert,,27-27,,
3:24.0,L. Scola misses 2-pt shot from 2 ft,,27-27,,
3:23.0,,,27-27,,Defensive rebound by K. Faried
3:14.0,,,27-27,,T. Lawson misses 2-pt shot from 15 ft
3:10.0,Defensive rebound by L. Scola,,27-27,,
3:10.0,Indiana full timeout,,27-27,,
3:10.0,C. Miles enters the game for R. Stuckey,,27-27,,
3:10.0,D. West enters the game for L. Scola,,27-27,,
2:57.0,Turnover by D. Sloan (bad pass; steal by K. Faried),,27-27,,
2:52.0,,,27-27,,Turnover by T. Lawson (bad pass; steal by D. Sloan)
2:44.0,D. Sloan misses 2-pt shot from 3 ft (block by T. Mozgov),,27-27,,
2:43.0,,,27-27,,Defensive rebound by A. Afflalo
2:43.0,,,27-27,,Shooting foul by S. Hill (drawn by D. Gallinari)
2:43.0,,,27-28,1,D. Gallinari makes free throw 1 of 2
2:43.0,,,27-28,,D. Gallinari misses free throw 2 of 2
2:41.0,Defensive rebound by R. Hibbert,,27-28,,
2:24.0,D. West misses 2-pt shot from 15 ft,,27-28,,
2:22.0,,,27-28,,Defensive rebound by D. Gallinari
2:07.0,,,27-28,,A. Afflalo misses 3-pt shot from 23 ft
2:06.0,Defensive rebound by D. West,,27-28,,
1:41.0,D. West makes 2-pt shot from 15 ft,2,29-28,,
1:26.0,,,29-30,2,T. Mozgov makes 2-pt shot from 2 ft (assist by T. Lawson)
1:10.0,Shooting foul by K. Faried (drawn by D. West),,29-30,,
1:10.0,D. West makes free throw 1 of 2,1,30-30,,
1:10.0,R. Stuckey enters the game for D. Sloan,,30-30,,
1:10.0,,,30-30,,J. Hickson enters the game for K. Faried
1:10.0,L. Allen enters the game for R. Hibbert,,30-30,,
1:10.0,D. West makes free throw 2 of 2,1,31-30,,
1:00.0,,,31-32,2,A. Afflalo makes 2-pt shot from 15 ft
0:43.0,D. West misses 2-pt shot from 19 ft,,31-32,,
0:42.0,,,31-32,,Defensive rebound by Team
0:28.0,,,31-32,,Turnover by D. Gallinari (lost ball; steal by S. Hill)
0:23.0,Shooting foul by A. Afflalo (drawn by C. Miles),,31-32,,
0:23.0,C. Miles makes free throw 1 of 2,1,32-32,,
0:23.0,D. Sloan enters the game for S. Hill,,32-32,,
0:23.0,C. Miles makes free throw 2 of 2,1,33-32,,
0:22.0,,,33-32,,Denver full timeout
0:22.0,,,33-32,,N. Robinson enters the game for T. Mozgov
0:06.0,,,33-32,,J. Hickson misses 2-pt shot from 15 ft
0:05.0,Defensive rebound by C. Miles,,33-32,,
0:01.0,D. Sloan misses 3-pt shot from 25 ft,,33-32,,
0:00.0,Offensive rebound by Team,,33-32,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:47.0,,,33-32,,Turnover by A. Afflalo (bad pass)
11:36.0,R. Hibbert misses 2-pt shot from 14 ft,,33-32,,
11:35.0,,,33-32,,Defensive rebound by W. Chandler
11:17.0,,,33-34,2,A. Afflalo makes 2-pt shot from 15 ft
10:57.0,D. West makes 2-pt shot from 4 ft,2,35-34,,
10:57.0,Shooting foul by K. Faried (drawn by D. West),,35-34,,
10:57.0,,,35-34,,J. Hickson enters the game for K. Faried
10:57.0,D. West misses free throw 1 of 1,,35-34,,
10:55.0,Offensive rebound by S. Hill,,35-34,,
10:40.0,R. Stuckey makes 2-pt shot from 20 ft (assist by S. Hill),2,37-34,,
10:25.0,,,37-34,,T. Lawson misses 2-pt shot from 21 ft
10:25.0,,,37-34,,Offensive rebound by Team
10:25.0,Loose ball foul by R. Hibbert (drawn by T. Mozgov),,37-34,,
10:14.0,,,37-36,2,J. Hickson makes 2-pt shot from 2 ft (assist by T. Lawson)
9:51.0,D. West misses 2-pt shot from 18 ft,,37-36,,
9:50.0,,,37-36,,Defensive rebound by A. Afflalo
9:39.0,,,37-38,2,J. Hickson makes 2-pt shot from 4 ft (assist by A. Afflalo)
9:21.0,Turnover by R. Hibbert (lost ball; steal by T. Lawson),,37-38,,
9:16.0,,,37-40,2,T. Lawson makes 2-pt shot from 2 ft
8:55.0,R. Stuckey misses 2-pt shot from 17 ft,,37-40,,
8:54.0,Offensive rebound by Team,,37-40,,
8:42.0,D. Sloan misses 3-pt shot from 24 ft,,37-40,,
8:38.0,Offensive rebound by Team,,37-40,,
8:25.0,S. Hill makes 3-pt shot from 25 ft (assist by D. West),3,40-40,,
8:08.0,,,40-40,,T. Lawson misses 2-pt shot from 18 ft
8:07.0,Defensive rebound by D. Sloan,,40-40,,
8:00.0,Offensive foul by R. Hibbert,,40-40,,
8:00.0,Turnover by R. Hibbert (offensive foul),,40-40,,
8:00.0,L. Allen enters the game for R. Hibbert,,40-40,,
7:52.0,,,40-40,,Shooting foul by L. Allen (drawn by J. Hickson)
7:52.0,,,40-41,1,J. Hickson makes free throw 1 of 2
7:52.0,,,40-42,1,J. Hickson makes free throw 2 of 2
7:37.0,R. Stuckey misses 2-pt shot from 5 ft,,40-42,,
7:34.0,,,40-42,,Defensive rebound by T. Mozgov
7:19.0,,,40-42,,T. Lawson misses 2-pt shot from 12 ft
7:18.0,Defensive rebound by Team,,40-42,,
6:59.0,S. Hill misses 3-pt shot from 23 ft,,40-42,,
6:58.0,,,40-42,,Defensive rebound by J. Hickson
6:56.0,,,40-42,,Shooting foul by D. West (drawn by W. Chandler)
6:56.0,,,40-43,1,W. Chandler makes free throw 1 of 2
6:56.0,C. Miles enters the game for D. Sloan,,40-43,,
6:56.0,,,40-43,,W. Chandler misses free throw 2 of 2
6:54.0,Defensive rebound by L. Allen,,40-43,,
6:32.0,Shooting foul by T. Mozgov (drawn by S. Hill),,40-43,,
6:32.0,S. Hill makes free throw 1 of 2,1,41-43,,
6:32.0,S. Hill misses free throw 2 of 2,,41-43,,
6:30.0,Offensive rebound by L. Allen,,41-43,,
6:21.0,S. Hill makes 2-pt shot at rim (assist by D. West),2,43-43,,
5:58.0,,,43-43,,Turnover by A. Afflalo (dbl dribble)
5:58.0,,,43-43,,Denver full timeout
5:58.0,,,43-43,,D. Gallinari enters the game for W. Chandler
5:45.0,,,43-43,,Personal foul by A. Afflalo (drawn by C. Miles)
5:34.0,C. Miles makes 2-pt shot from 17 ft (assist by D. West),2,45-43,,
5:19.0,,,45-45,2,T. Lawson makes 2-pt shot from 2 ft (assist by D. Gallinari)
5:09.0,,,45-45,,Personal foul by A. Afflalo (drawn by C. Miles)
5:09.0,,,45-45,,A. Gee enters the game for A. Afflalo
4:55.0,D. West misses 2-pt shot from 12 ft,,45-45,,
4:54.0,,,45-45,,Defensive rebound by T. Mozgov
4:44.0,,,45-45,,Turnover by T. Lawson (bad pass; steal by S. Hill)
4:39.0,S. Hill misses 2-pt shot from 1 ft,,45-45,,
4:38.0,,,45-45,,Defensive rebound by Team
4:26.0,,,45-47,2,D. Gallinari makes 2-pt shot from 4 ft
4:26.0,,,45-47,,Shooting foul by S. Hill (drawn by D. Gallinari)
4:26.0,,,45-48,1,D. Gallinari makes free throw 1 of 1
4:08.0,C. Miles misses 2-pt shot from 18 ft,,45-48,,
4:07.0,,,45-48,,Defensive rebound by T. Mozgov
4:01.0,,,45-48,,A. Gee misses 2-pt shot from 6 ft
3:59.0,,,45-48,,Offensive rebound by A. Gee
3:46.0,Violation by D. West (kicked ball),,45-48,,
3:41.0,,,45-48,,Turnover by D. Gallinari (bad pass)
3:32.0,R. Stuckey misses 2-pt shot from 2 ft,,45-48,,
3:31.0,,,45-48,,Defensive rebound by J. Hickson
3:27.0,,,45-48,,Turnover by A. Gee (lost ball; steal by C. Miles)
3:27.0,,,45-48,,Personal foul by T. Lawson (drawn by S. Hill)
3:27.0,S. Hill makes free throw 1 of 2,1,46-48,,
3:27.0,,,46-48,,J. Nurkic enters the game for T. Mozgov
3:27.0,S. Hill makes free throw 2 of 2,1,47-48,,
3:15.0,,,47-50,2,D. Gallinari makes 2-pt shot from 5 ft (assist by T. Lawson)
3:15.0,,,47-50,,Shooting foul by S. Hill (drawn by D. Gallinari)
3:15.0,,,47-51,1,D. Gallinari makes free throw 1 of 1
3:11.0,Indiana full timeout,,47-51,,
3:11.0,D. Rudez enters the game for S. Hill,,47-51,,
3:03.0,Turnover by C. Miles (bad pass; steal by J. Nurkic),,47-51,,
2:57.0,,,47-53,2,D. Gallinari makes 2-pt shot at rim (assist by T. Lawson)
2:33.0,D. West makes 2-pt shot from 4 ft (assist by R. Stuckey),2,49-53,,
2:13.0,,,49-53,,D. Gallinari misses 3-pt shot from 26 ft
2:12.0,Defensive rebound by L. Allen,,49-53,,
1:59.0,D. West misses 2-pt shot from 6 ft,,49-53,,
1:58.0,,,49-53,,Defensive rebound by J. Nurkic
1:48.0,,,49-53,,J. Nurkic misses 2-pt shot from 6 ft
1:46.0,Defensive rebound by D. West,,49-53,,
1:41.0,D. Rudez makes 2-pt shot from 3 ft (assist by D. West),2,51-53,,
1:17.0,,,51-53,,Shooting foul by D. West (drawn by A. Gee)
1:17.0,,,51-53,,A. Gee misses free throw 1 of 2
1:17.0,,,51-53,,Offensive rebound by Team
1:17.0,D. Sloan enters the game for R. Stuckey,,51-53,,
1:17.0,,,51-53,,N. Robinson enters the game for T. Lawson
1:17.0,L. Scola enters the game for D. West,,51-53,,
1:17.0,,,51-54,1,A. Gee makes free throw 2 of 2
0:57.0,D. Rudez misses 3-pt shot from 25 ft,,51-54,,
0:56.0,Offensive rebound by L. Allen,,51-54,,
0:45.0,Shooting foul by J. Hickson (drawn by L. Scola),,51-54,,
0:45.0,L. Scola makes free throw 1 of 2,1,52-54,,
0:45.0,L. Scola misses free throw 2 of 2,,52-54,,
0:45.0,,,52-54,,Defensive rebound by A. Gee
0:45.0,Loose ball foul by L. Allen (drawn by A. Gee),,52-54,,
0:45.0,,,52-55,1,A. Gee makes free throw 1 of 2
0:45.0,,,52-55,,W. Chandler enters the game for J. Hickson
0:45.0,,,52-55,,A. Gee misses free throw 2 of 2
0:44.0,Defensive rebound by L. Scola,,52-55,,
0:32.0,C. Miles misses 2-pt shot from 17 ft,,52-55,,
0:30.0,Offensive rebound by L. Allen,,52-55,,
0:28.0,C. Miles makes 3-pt shot from 25 ft (assist by L. Allen),3,55-55,,
0:09.0,,,55-55,,Turnover by W. Chandler (offensive foul)
0:09.0,,,55-55,,Offensive foul by W. Chandler
0:09.0,S. Hill enters the game for L. Scola,,55-55,,
0:09.0,R. Stuckey enters the game for D. Sloan,,55-55,,
0:01.0,R. Stuckey misses 2-pt shot from 11 ft,,55-55,,
0:00.0,Offensive rebound by Team,,55-55,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:41.0,D. Rudez makes 3-pt shot from 25 ft (assist by D. Sloan),3,58-55,,
11:26.0,,,58-55,,Denver full timeout
11:18.0,,,58-55,,Turnover by A. Gee (traveling)
11:04.0,,,58-55,,Personal foul by J. Nurkic (drawn by R. Hibbert)
10:58.0,C. Miles makes 2-pt shot from 20 ft (assist by L. Scola),2,60-55,,
10:41.0,,,60-55,,D. Gallinari misses 2-pt shot from 3 ft
10:40.0,,,60-55,,Offensive rebound by D. Gallinari
10:37.0,,,60-55,,D. Gallinari misses 2-pt shot from 1 ft
10:37.0,Defensive rebound by L. Scola,,60-55,,
10:37.0,,,60-55,,Personal block foul by J. Nurkic (drawn by L. Scola)
10:37.0,,,60-55,,A. Afflalo enters the game for A. Gee
10:28.0,Offensive foul by D. Rudez,,60-55,,
10:28.0,Turnover by D. Rudez (offensive foul),,60-55,,
10:28.0,,,60-55,,K. Faried enters the game for W. Chandler
10:18.0,,,60-55,,K. Faried misses 2-pt shot from 1 ft
10:16.0,Defensive rebound by L. Scola,,60-55,,
10:06.0,L. Scola misses 2-pt shot from 18 ft,,60-55,,
10:05.0,,,60-55,,Defensive rebound by A. Afflalo
9:52.0,,,60-58,3,D. Gallinari makes 3-pt shot from 25 ft
9:32.0,C. Miles misses 3-pt shot from 24 ft,,60-58,,
9:32.0,Offensive rebound by Team,,60-58,,
9:32.0,,,60-58,,Loose ball foul by J. Nurkic (drawn by R. Hibbert)
9:32.0,,,60-58,,T. Mozgov enters the game for J. Nurkic
9:26.0,D. Rudez misses 2-pt shot from 22 ft,,60-58,,
9:25.0,,,60-58,,Defensive rebound by T. Mozgov
9:15.0,,,60-58,,Turnover by D. Gallinari (lost ball)
8:57.0,Turnover by L. Scola (3 sec),,60-58,,
8:57.0,Official timeout,,60-58,,
8:57.0,,,60-58,,T. Lawson enters the game for N. Robinson
8:42.0,Personal foul by D. Rudez (drawn by D. Gallinari),,60-58,,
8:27.0,,,60-58,,T. Lawson misses 3-pt shot from 25 ft
8:25.0,Defensive rebound by R. Hibbert,,60-58,,
8:08.0,C. Miles misses 2-pt shot from 12 ft,,60-58,,
8:06.0,Offensive rebound by R. Hibbert,,60-58,,
8:04.0,R. Hibbert misses 2-pt shot from 1 ft (block by T. Mozgov),,60-58,,
8:02.0,,,60-58,,Defensive rebound by A. Afflalo
7:57.0,,,60-60,2,A. Afflalo makes 2-pt shot from 3 ft
7:38.0,L. Scola misses 2-pt shot from 14 ft,,60-60,,
7:35.0,,,60-60,,Defensive rebound by T. Mozgov
7:26.0,,,60-62,2,K. Faried makes 2-pt shot from 2 ft (assist by T. Lawson)
7:25.0,Indiana full timeout,,60-62,,
7:25.0,S. Hill enters the game for C. Miles,,60-62,,
7:25.0,R. Stuckey enters the game for D. Rudez,,60-62,,
7:07.0,Turnover by S. Hill (lost ball),,60-62,,
6:54.0,,,60-62,,K. Faried misses 2-pt shot from 6 ft
6:54.0,,,60-62,,Offensive rebound by T. Mozgov
6:54.0,,,60-64,2,T. Mozgov makes 2-pt shot at rim
6:54.0,Technical foul by Team,,60-64,,
6:54.0,,,60-65,1,D. Gallinari makes technical free throw
6:35.0,L. Scola misses 2-pt shot from 1 ft,,60-65,,
6:34.0,,,60-65,,Defensive rebound by T. Mozgov
6:20.0,,,60-65,,A. Afflalo misses 3-pt shot from 27 ft
6:18.0,Defensive rebound by Team,,60-65,,
6:18.0,D. West enters the game for L. Scola,,60-65,,
6:06.0,D. Sloan misses 2-pt shot from 14 ft,,60-65,,
6:05.0,,,60-65,,Defensive rebound by Team
6:05.0,Personal foul by S. Hill (drawn by T. Mozgov),,60-65,,
6:05.0,C. Miles enters the game for S. Hill,,60-65,,
5:54.0,,,60-65,,K. Faried misses 2-pt shot from 8 ft
5:54.0,,,60-65,,Offensive rebound by Team
5:48.0,,,60-65,,A. Afflalo misses 2-pt shot from 12 ft
5:46.0,Defensive rebound by C. Miles,,60-65,,
5:33.0,C. Miles makes 2-pt shot from 18 ft,2,62-65,,
5:21.0,Personal block foul by C. Miles (drawn by T. Lawson),,62-65,,
5:21.0,,,62-65,,W. Chandler enters the game for D. Gallinari
5:13.0,,,62-65,,W. Chandler misses 3-pt shot from 25 ft
5:11.0,Defensive rebound by D. Sloan,,62-65,,
4:53.0,D. West misses 2-pt shot at rim (block by T. Mozgov),,62-65,,
4:52.0,Offensive rebound by Team,,62-65,,
4:49.0,C. Miles makes 2-pt shot from 18 ft (assist by R. Stuckey),2,64-65,,
4:34.0,,,64-65,,T. Lawson misses 2-pt shot from 17 ft
4:33.0,,,64-65,,Offensive rebound by K. Faried
4:27.0,,,64-65,,Offensive foul by T. Lawson
4:27.0,,,64-65,,Turnover by T. Lawson (offensive foul)
4:06.0,D. West misses 2-pt shot from 6 ft,,64-65,,
4:05.0,,,64-65,,Defensive rebound by T. Mozgov
3:58.0,,,64-65,,A. Afflalo misses 3-pt shot from 22 ft
3:57.0,,,64-65,,Offensive rebound by K. Faried
3:54.0,,,64-65,,K. Faried misses 2-pt shot from 1 ft
3:53.0,,,64-65,,Offensive rebound by T. Mozgov
