time,San Antonio,pts.away,score,pts.home,Portland
2:01.0,T. Parker misses 2-pt shot from 18 ft,,46-48,,
2:00.0,Offensive rebound by D. Green,,46-48,,
1:49.0,A. Baynes makes 2-pt shot from 1 ft (assist by K. Leonard),2,48-48,,
1:29.0,,,48-51,3,D. Lillard makes 3-pt shot from 23 ft (assist by N. Batum)
1:15.0,K. Leonard misses 2-pt shot from 13 ft,,48-51,,
1:15.0,,,48-51,,Defensive rebound by D. Lillard
1:04.0,,,48-51,,L. Aldridge misses 2-pt shot from 19 ft
1:04.0,Defensive rebound by D. Green,,48-51,,
0:57.0,,,48-51,,Violation by N. Batum (kicked ball)
0:43.0,Shooting foul by W. Matthews (drawn by D. Green),,48-51,,
0:43.0,D. Green makes free throw 1 of 2,1,49-51,,
0:43.0,D. Green makes free throw 2 of 2,1,50-51,,
0:33.0,,,50-51,,W. Matthews misses 3-pt shot from 25 ft
0:33.0,Defensive rebound by A. Baynes,,50-51,,
0:10.0,K. Leonard misses 3-pt shot from 23 ft,,50-51,,
0:10.0,,,50-51,,Defensive rebound by D. Lillard
0:05.0,,,50-51,,Turnover by D. Lillard (bad pass)
0:05.0,M. Bonner enters the game for A. Baynes,,50-51,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:43.0,,,50-53,2,L. Aldridge makes 2-pt shot from 17 ft
11:30.0,Turnover by A. Baynes (lost ball; steal by L. Aldridge),,50-53,,
11:26.0,,,50-53,,Shooting foul by D. Green (drawn by W. Matthews)
11:26.0,,,50-55,2,W. Matthews makes 2-pt shot from 1 ft (assist by N. Batum)
11:26.0,,,50-56,1,W. Matthews makes free throw 1 of 1
11:02.0,T. Duncan makes 2-pt shot from 1 ft (assist by T. Parker),2,52-56,,
10:53.0,Personal foul by T. Parker (drawn by D. Lillard),,52-56,,
10:40.0,,,52-56,,R. Lopez misses 2-pt shot from 6 ft
10:40.0,Defensive rebound by T. Duncan,,52-56,,
10:28.0,A. Baynes makes 2-pt shot from 1 ft,2,54-56,,
10:13.0,,,54-58,2,D. Lillard makes 2-pt shot from 3 ft
10:13.0,,,54-58,,Shooting foul by T. Parker (drawn by D. Lillard)
10:13.0,,,54-59,1,D. Lillard makes free throw 1 of 1
10:00.0,,,54-59,,Personal foul by D. Lillard (drawn by T. Parker)
9:47.0,D. Green misses 3-pt shot from 24 ft,,54-59,,
9:46.0,,,54-59,,Defensive rebound by R. Lopez
9:39.0,,,54-59,,D. Lillard misses 2-pt shot from 9 ft (block by K. Leonard)
9:39.0,,,54-59,,Offensive rebound by Team
9:32.0,,,54-59,,D. Lillard misses 2-pt shot from 11 ft
9:31.0,Defensive rebound by T. Parker,,54-59,,
9:19.0,K. Leonard misses 2-pt shot from 13 ft,,54-59,,
9:18.0,,,54-59,,Defensive rebound by L. Aldridge
9:04.0,,,54-61,2,L. Aldridge makes 2-pt shot from 20 ft (assist by W. Matthews)
9:04.0,San Antonio full timeout,,54-61,,
8:52.0,Turnover by T. Parker (step out of bounds),,54-61,,
8:29.0,,,54-64,3,N. Batum makes 3-pt shot from 24 ft
8:13.0,T. Parker misses 2-pt shot from 18 ft,,54-64,,
8:12.0,,,54-64,,Defensive rebound by L. Aldridge
8:03.0,,,54-64,,W. Matthews misses 3-pt shot from 22 ft
8:02.0,Defensive rebound by K. Leonard,,54-64,,
7:55.0,Turnover by T. Duncan (lost ball; steal by W. Matthews),,54-64,,
7:51.0,,,54-64,,Turnover by N. Batum (bad pass; steal by K. Leonard)
7:44.0,D. Green misses 3-pt shot from 24 ft,,54-64,,
7:42.0,,,54-64,,Defensive rebound by L. Aldridge
7:34.0,,,54-67,3,D. Lillard makes 3-pt shot from 22 ft (assist by W. Matthews)
7:18.0,T. Parker makes 2-pt shot from 12 ft,2,56-67,,
7:05.0,,,56-67,,D. Lillard misses 2-pt shot from 6 ft
7:03.0,Defensive rebound by T. Duncan,,56-67,,
6:47.0,T. Duncan misses 2-pt shot from 5 ft,,56-67,,
6:47.0,Offensive rebound by K. Leonard,,56-67,,
6:46.0,K. Leonard makes 2-pt shot from 1 ft,2,58-67,,
6:30.0,,,58-67,,Turnover by N. Batum (lost ball; steal by K. Leonard)
6:19.0,T. Duncan misses 2-pt shot from 4 ft,,58-67,,
6:19.0,,,58-67,,Defensive rebound by R. Lopez
6:15.0,,,58-67,,Turnover by D. Lillard (bad pass)
6:15.0,B. Diaw enters the game for A. Baynes,,58-67,,
6:01.0,T. Duncan makes 2-pt shot from 17 ft (assist by B. Diaw),2,60-67,,
5:42.0,,,60-69,2,W. Matthews makes 2-pt shot from 21 ft (assist by D. Lillard)
5:19.0,,,60-69,,Personal foul by W. Matthews (drawn by D. Green)
5:19.0,,,60-69,,A. Afflalo enters the game for W. Matthews
5:11.0,T. Parker misses 2-pt shot from 2 ft (block by R. Lopez),,60-69,,
5:10.0,Offensive rebound by T. Duncan,,60-69,,
5:10.0,T. Duncan misses 2-pt shot from 2 ft,,60-69,,
5:10.0,Offensive rebound by Team,,60-69,,
5:10.0,M. Ginobili enters the game for D. Green,,60-69,,
5:10.0,C. Joseph enters the game for T. Parker,,60-69,,
5:10.0,T. Splitter enters the game for T. Duncan,,60-69,,
4:57.0,B. Diaw misses 2-pt shot at rim,,60-69,,
4:56.0,Offensive rebound by B. Diaw,,60-69,,
4:56.0,B. Diaw misses 2-pt shot at rim,,60-69,,
4:54.0,,,60-69,,Defensive rebound by R. Lopez
4:48.0,,,60-69,,Turnover by A. Afflalo (step out of bounds)
4:31.0,M. Ginobili misses 2-pt shot from 20 ft,,60-69,,
4:30.0,,,60-69,,Defensive rebound by L. Aldridge
4:22.0,Personal block foul by M. Ginobili (drawn by D. Lillard),,60-69,,
4:06.0,,,60-69,,L. Aldridge misses 2-pt shot from 17 ft
4:05.0,,,60-69,,Offensive rebound by N. Batum
4:01.0,,,60-72,3,A. Afflalo makes 3-pt shot from 24 ft (assist by N. Batum)
3:44.0,B. Diaw misses 2-pt shot from 22 ft,,60-72,,
3:43.0,Offensive rebound by K. Leonard,,60-72,,
3:41.0,K. Leonard makes 2-pt shot from 1 ft,2,62-72,,
3:40.0,,,62-72,,Portland full timeout
3:40.0,M. Belinelli enters the game for C. Joseph,,62-72,,
3:40.0,,,62-72,,C. Kaman enters the game for R. Lopez
3:24.0,,,62-74,2,D. Lillard makes 2-pt shot from 2 ft (assist by N. Batum)
3:11.0,M. Ginobili misses 3-pt shot from 24 ft,,62-74,,
3:10.0,,,62-74,,Defensive rebound by Team
2:53.0,,,62-76,2,C. Kaman makes 2-pt shot from 9 ft (assist by N. Batum)
2:41.0,K. Leonard misses 2-pt shot from 7 ft,,62-76,,
2:41.0,,,62-76,,Defensive rebound by C. Kaman
2:27.0,,,62-76,,C. Kaman misses 2-pt shot from 4 ft (block by M. Ginobili)
2:25.0,Defensive rebound by K. Leonard,,62-76,,
2:21.0,Shooting foul by C. Kaman (drawn by K. Leonard),,62-76,,
2:21.0,K. Leonard makes free throw 1 of 2,1,63-76,,
2:21.0,,,63-76,,S. Blake enters the game for D. Lillard
2:21.0,K. Leonard makes free throw 2 of 2,1,64-76,,
2:04.0,,,64-76,,L. Aldridge misses 2-pt shot from 17 ft
2:03.0,Defensive rebound by K. Leonard,,64-76,,
1:59.0,,,64-76,,Personal block foul by A. Afflalo (drawn by M. Ginobili)
1:59.0,P. Mills enters the game for K. Leonard,,64-76,,
1:59.0,D. Green enters the game for M. Ginobili,,64-76,,
1:51.0,,,64-76,,W. Matthews enters the game for N. Batum
1:51.0,B. Diaw misses 2-pt shot from 2 ft,,64-76,,
1:51.0,Offensive rebound by T. Splitter,,64-76,,
1:51.0,T. Splitter misses 2-pt shot at rim,,64-76,,
1:51.0,,,64-76,,Defensive rebound by L. Aldridge
1:51.0,Personal foul by B. Diaw (drawn by L. Aldridge),,64-76,,
1:51.0,,,64-77,1,L. Aldridge makes free throw 1 of 2
1:51.0,,,64-77,,L. Aldridge misses free throw 2 of 2
1:50.0,Defensive rebound by T. Splitter,,64-77,,
1:35.0,P. Mills makes 2-pt shot from 8 ft,2,66-77,,
1:08.0,,,66-79,2,C. Kaman makes 2-pt shot from 3 ft (assist by S. Blake)
0:59.0,T. Splitter makes 2-pt shot from 4 ft,2,68-79,,
0:52.0,,,68-79,,S. Blake misses 3-pt shot from 24 ft
0:50.0,,,68-79,,Offensive rebound by L. Aldridge
0:46.0,,,68-79,,W. Matthews misses 3-pt shot from 24 ft
0:45.0,,,68-79,,Offensive rebound by C. Kaman
0:29.0,,,68-79,,L. Aldridge misses 2-pt shot from 13 ft
0:27.0,Defensive rebound by P. Mills,,68-79,,
0:21.0,D. Green makes 3-pt shot from 25 ft (assist by P. Mills),3,71-79,,
0:03.0,,,71-81,2,S. Blake makes 2-pt shot from 19 ft
0:00.0,P. Mills misses 2-pt shot from 1 ft,,71-81,,
0:00.0,Offensive rebound by Team,,71-81,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:46.0,B. Diaw misses 2-pt shot from 12 ft,,71-81,,
11:44.0,Offensive rebound by Team,,71-81,,
11:41.0,D. Green makes 3-pt shot from 22 ft (assist by P. Mills),3,74-81,,
11:15.0,,,74-81,,A. Afflalo misses 3-pt shot from 23 ft
11:15.0,Defensive rebound by B. Diaw,,74-81,,
11:00.0,P. Mills makes 3-pt shot from 22 ft (assist by T. Splitter),3,77-81,,
10:39.0,,,77-84,3,W. Matthews makes 3-pt shot from 24 ft (assist by S. Blake)
10:27.0,B. Diaw misses 3-pt shot from 24 ft,,77-84,,
10:25.0,,,77-84,,Defensive rebound by A. Afflalo
10:19.0,,,77-86,2,A. Afflalo makes 2-pt shot from 15 ft
10:02.0,B. Diaw misses 2-pt shot from 13 ft,,77-86,,
10:00.0,Offensive rebound by D. Green,,77-86,,
9:50.0,D. Green misses 3-pt shot from 24 ft,,77-86,,
9:49.0,,,77-86,,Defensive rebound by M. Leonard
9:33.0,,,77-89,3,W. Matthews makes 3-pt shot from 25 ft
9:32.0,San Antonio full timeout,,77-89,,
9:32.0,K. Leonard enters the game for B. Diaw,,77-89,,
9:23.0,P. Mills misses 3-pt shot from 25 ft,,77-89,,
9:21.0,,,77-89,,Defensive rebound by W. Matthews
8:58.0,,,77-89,,A. Afflalo misses 2-pt shot from 17 ft
8:57.0,,,77-89,,Offensive rebound by C. Kaman
8:57.0,,,77-89,,Shooting foul by T. Splitter (drawn by C. Kaman)
8:57.0,,,77-90,1,C. Kaman makes free throw 1 of 2
8:57.0,,,77-90,,N. Batum enters the game for M. Leonard
8:57.0,,,77-91,1,C. Kaman makes free throw 2 of 2
8:45.0,P. Mills makes 2-pt shot from 20 ft,2,79-91,,
8:32.0,,,79-91,,Shooting foul by D. Green (drawn by W. Matthews)
8:32.0,,,79-92,1,W. Matthews makes free throw 1 of 2
8:32.0,,,79-92,,D. Lillard enters the game for A. Afflalo
8:32.0,,,79-92,,W. Matthews misses free throw 2 of 2
8:31.0,,,79-92,,Offensive rebound by N. Batum
8:22.0,,,79-92,,W. Matthews misses 2-pt shot from 5 ft (block by T. Splitter)
8:20.0,,,79-92,,Offensive rebound by W. Matthews
8:16.0,,,79-92,,S. Blake misses 2-pt shot from 14 ft (block by D. Green)
8:14.0,,,79-92,,Offensive rebound by D. Lillard
8:07.0,,,79-92,,D. Lillard misses 3-pt shot from 27 ft
8:06.0,,,79-92,,Offensive rebound by C. Kaman
8:06.0,,,79-92,,Shooting foul by D. Green (drawn by C. Kaman)
8:06.0,,,79-94,2,C. Kaman makes 2-pt shot from 1 ft
8:06.0,,,79-94,,A. Afflalo enters the game for W. Matthews
8:06.0,T. Duncan enters the game for T. Splitter,,79-94,,
8:06.0,,,79-95,1,C. Kaman makes free throw 1 of 1
7:50.0,M. Belinelli makes 2-pt shot from 15 ft,2,81-95,,
7:23.0,,,81-97,2,C. Kaman makes 2-pt shot from 14 ft (assist by D. Lillard)
7:11.0,K. Leonard makes 2-pt shot from 5 ft,2,83-97,,
7:11.0,Shooting foul by C. Kaman (drawn by K. Leonard),,83-97,,
7:11.0,T. Parker enters the game for P. Mills,,83-97,,
7:11.0,K. Leonard makes free throw 1 of 1,1,84-97,,
6:57.0,,,84-97,,D. Lillard misses 2-pt shot from 20 ft
6:57.0,Defensive rebound by T. Duncan,,84-97,,
6:40.0,Turnover by T. Parker (bad pass; steal by S. Blake),,84-97,,
6:24.0,Personal foul by T. Parker (drawn by A. Afflalo),,84-97,,
6:24.0,,,84-97,,L. Aldridge enters the game for C. Kaman
6:08.0,,,84-97,,S. Blake misses 2-pt shot from 3 ft
6:08.0,,,84-97,,Offensive rebound by Team
6:08.0,,,84-97,,Turnover by Team (shot clock)
5:45.0,M. Belinelli misses 3-pt shot from 24 ft,,84-97,,
5:43.0,,,84-97,,Defensive rebound by L. Aldridge
5:29.0,,,84-97,,L. Aldridge misses 2-pt shot from 20 ft
5:29.0,Defensive rebound by T. Duncan,,84-97,,
5:17.0,Shooting foul by L. Aldridge (drawn by T. Duncan),,84-97,,
5:17.0,Official timeout,,84-97,,
5:17.0,T. Duncan makes free throw 1 of 2,1,85-97,,
5:17.0,T. Duncan makes free throw 2 of 2,1,86-97,,
4:56.0,,,86-97,,L. Aldridge misses 2-pt shot from 2 ft
4:55.0,Defensive rebound by T. Duncan,,86-97,,
4:50.0,Shooting foul by D. Lillard (drawn by D. Green),,86-97,,
4:50.0,D. Green makes free throw 1 of 2,1,87-97,,
4:50.0,,,87-97,,W. Matthews enters the game for S. Blake
4:50.0,D. Green makes free throw 2 of 2,1,88-97,,
4:27.0,,,88-97,,N. Batum misses 3-pt shot from 24 ft
4:26.0,Defensive rebound by D. Green,,88-97,,
4:13.0,K. Leonard misses 3-pt shot from 22 ft,,88-97,,
4:13.0,,,88-97,,Defensive rebound by L. Aldridge
4:00.0,,,88-100,3,D. Lillard makes 3-pt shot from 27 ft (assist by W. Matthews)
3:40.0,Turnover by D. Green (bad pass; steal by D. Lillard),,88-100,,
3:35.0,,,88-100,,D. Lillard misses 2-pt shot from 1 ft
3:34.0,,,88-100,,Offensive rebound by L. Aldridge
3:31.0,,,88-100,,A. Afflalo misses 3-pt shot from 23 ft
3:30.0,Defensive rebound by T. Parker,,88-100,,
3:21.0,Turnover by M. Belinelli (lost ball; steal by W. Matthews),,88-100,,
3:17.0,,,88-102,2,W. Matthews makes 2-pt shot from 1 ft
3:17.0,San Antonio full timeout,,88-102,,
3:17.0,P. Mills enters the game for T. Parker,,88-102,,
3:17.0,A. Baynes enters the game for T. Duncan,,88-102,,
3:17.0,,,88-102,,R. Lopez enters the game for A. Afflalo
3:06.0,P. Mills makes 3-pt shot from 24 ft,3,91-102,,
2:40.0,,,91-105,3,W. Matthews makes 3-pt shot from 22 ft (assist by N. Batum)
2:25.0,Turnover by K. Leonard (bad pass; steal by W. Matthews),,91-105,,
2:25.0,Personal foul by A. Baynes (drawn by W. Matthews),,91-105,,
2:25.0,,,91-105,,W. Matthews misses free throw 1 of 2
2:25.0,,,91-105,,Offensive rebound by Team
2:25.0,C. Joseph enters the game for K. Leonard,,91-105,,
2:25.0,M. Bonner enters the game for A. Baynes,,91-105,,
2:25.0,J. Ayres enters the game for M. Belinelli,,91-105,,
2:25.0,,,91-106,1,W. Matthews makes free throw 2 of 2
2:10.0,P. Mills misses 2-pt shot from 15 ft,,91-106,,
2:08.0,,,91-106,,Defensive rebound by L. Aldridge
1:56.0,,,91-106,,L. Aldridge misses 2-pt shot from 17 ft
1:54.0,Defensive rebound by C. Joseph,,91-106,,
1:47.0,P. Mills misses 3-pt shot from 24 ft,,91-106,,
1:45.0,,,91-106,,Defensive rebound by R. Lopez
1:24.0,,,91-109,3,W. Matthews makes 3-pt shot from 24 ft
1:20.0,,,91-109,,Personal take foul by N. Batum (drawn by C. Joseph)
1:20.0,B. Diaw enters the game for D. Green,,91-109,,
1:20.0,,,91-109,,M. Leonard enters the game for N. Batum
1:20.0,,,91-109,,A. Crabbe enters the game for L. Aldridge
1:20.0,,,91-109,,C. McCollum enters the game for W. Matthews
1:20.0,,,91-109,,A. Gee enters the game for D. Lillard
1:20.0,,,91-109,,D. Wright enters the game for R. Lopez
1:14.0,P. Mills misses 2-pt shot from 2 ft (block by D. Wright),,91-109,,
1:13.0,Offensive rebound by Team,,91-109,,
1:02.0,J. Ayres misses 2-pt shot from 16 ft,,91-109,,
1:01.0,,,91-109,,Defensive rebound by M. Leonard
