time,Orlando,pts.away,score,pts.home,Denver
3:13.0,,,31-35,,Shooting foul by E. Payton (drawn by A. Afflalo)
3:13.0,,,31-36,1,A. Afflalo makes free throw 1 of 2
3:13.0,,,31-36,,K. Faried enters the game for J. Hickson
3:13.0,,,31-37,1,A. Afflalo makes free throw 2 of 2
3:00.0,Shooting foul by J. Nurkic (drawn by V. Oladipo),,31-37,,
3:00.0,V. Oladipo makes free throw 1 of 2,1,32-37,,
3:00.0,V. Oladipo makes free throw 2 of 2,1,33-37,,
2:48.0,,,33-37,,T. Lawson misses 2-pt shot from 20 ft
2:44.0,,,33-37,,Offensive rebound by J. Nurkic
2:40.0,,,33-37,,T. Lawson misses 3-pt shot from 26 ft
2:38.0,Defensive rebound by E. Payton,,33-37,,
2:31.0,N. Vucevic misses 2-pt shot from 19 ft,,33-37,,
2:29.0,,,33-37,,Defensive rebound by A. Afflalo
2:20.0,,,33-37,,A. Afflalo misses 2-pt shot from 1 ft
2:19.0,Defensive rebound by E. Payton,,33-37,,
2:16.0,Shooting foul by J. Nurkic (drawn by N. Vucevic),,33-37,,
2:16.0,Official timeout,,33-37,,
2:16.0,E. Fournier enters the game for T. Harris,,33-37,,
2:16.0,,,33-37,,D. Arthur enters the game for J. Nurkic
2:16.0,N. Vucevic misses free throw 1 of 2,,33-37,,
2:16.0,Offensive rebound by Team,,33-37,,
2:16.0,N. Vucevic makes free throw 2 of 2,1,34-37,,
2:01.0,,,34-37,,D. Arthur misses 3-pt shot from 24 ft
2:00.0,,,34-37,,Offensive rebound by W. Chandler
1:54.0,,,34-40,3,W. Chandler makes 3-pt shot from 25 ft (assist by T. Lawson)
1:28.0,E. Fournier makes 3-pt shot from 23 ft (assist by N. Vucevic),3,37-40,,
1:18.0,,,37-40,,D. Arthur misses 3-pt shot from 26 ft
1:16.0,Defensive rebound by E. Payton,,37-40,,
1:06.0,A. Nicholson misses 2-pt shot from 21 ft,,37-40,,
1:05.0,,,37-40,,Defensive rebound by K. Faried
0:46.0,,,37-40,,W. Chandler misses 2-pt shot from 5 ft
0:45.0,Defensive rebound by N. Vucevic,,37-40,,
0:28.0,V. Oladipo makes 2-pt shot from 1 ft,2,39-40,,
0:04.0,,,39-40,,A. Afflalo misses 3-pt shot from 25 ft
0:02.0,Defensive rebound by N. Vucevic,,39-40,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:47.0,,,39-40,,Personal block foul by K. Faried (drawn by V. Oladipo)
11:40.0,Turnover by T. Harris (lost ball),,39-40,,
11:27.0,,,39-40,,J. Nurkic misses 2-pt shot from 1 ft
11:26.0,Defensive rebound by K. O'Quinn,,39-40,,
11:08.0,T. Harris makes 2-pt shot from 10 ft (assist by K. O'Quinn),2,41-40,,
10:51.0,,,41-42,2,W. Chandler makes 2-pt shot from 1 ft (assist by J. Nurkic)
10:37.0,N. Vucevic misses 2-pt shot from 9 ft,,41-42,,
10:37.0,,,41-42,,Defensive rebound by Team
10:37.0,Loose ball foul by E. Payton (drawn by J. Nurkic),,41-42,,
10:27.0,,,41-44,2,T. Lawson makes 2-pt shot from 18 ft (assist by J. Nurkic)
10:06.0,E. Payton misses 2-pt shot from 19 ft,,41-44,,
10:04.0,,,41-44,,Defensive rebound by K. Faried
9:48.0,,,41-46,2,J. Nurkic makes 2-pt shot from 3 ft (assist by T. Lawson)
9:30.0,T. Harris misses 2-pt shot from 12 ft (block by J. Nurkic),,41-46,,
9:28.0,Offensive rebound by T. Harris,,41-46,,
9:25.0,T. Harris misses 2-pt shot from 7 ft (block by J. Nurkic),,41-46,,
9:23.0,,,41-46,,Defensive rebound by A. Afflalo
9:19.0,Personal foul by K. O'Quinn (drawn by K. Faried),,41-46,,
9:19.0,A. Nicholson enters the game for K. O'Quinn,,41-46,,
9:08.0,,,41-46,,J. Nurkic misses 2-pt shot from 1 ft (block by T. Harris)
9:08.0,,,41-46,,Offensive rebound by Team
9:06.0,,,41-48,2,A. Afflalo makes 2-pt shot from 15 ft (assist by W. Chandler)
8:49.0,T. Harris makes 2-pt shot from 6 ft (assist by A. Nicholson),2,43-48,,
8:38.0,,,43-50,2,T. Lawson makes 2-pt shot from 15 ft (assist by J. Nurkic)
8:31.0,,,43-50,,Violation by J. Nurkic (kicked ball)
8:28.0,V. Oladipo misses 2-pt shot from 20 ft,,43-50,,
8:27.0,,,43-50,,Defensive rebound by J. Nurkic
8:09.0,,,43-50,,Turnover by W. Chandler (bad pass; steal by E. Payton)
8:03.0,V. Oladipo makes 2-pt shot at rim (assist by E. Payton),2,45-50,,
7:45.0,,,45-50,,W. Chandler misses 3-pt shot from 23 ft
7:44.0,Defensive rebound by Team,,45-50,,
7:26.0,N. Vucevic makes 2-pt shot from 2 ft,2,47-50,,
7:05.0,,,47-50,,T. Lawson misses 3-pt shot from 24 ft
7:04.0,Defensive rebound by N. Vucevic,,47-50,,
6:53.0,A. Nicholson misses 2-pt shot from 1 ft,,47-50,,
6:51.0,,,47-50,,Defensive rebound by J. Nurkic
6:48.0,Violation by T. Harris (def goaltending),,47-50,,
6:48.0,,,47-52,2,W. Chandler makes 2-pt shot from 1 ft (assist by A. Afflalo)
6:38.0,Shooting foul by T. Lawson (drawn by N. Vucevic),,47-52,,
6:38.0,N. Vucevic makes free throw 1 of 2,1,48-52,,
6:38.0,N. Vucevic makes free throw 2 of 2,1,49-52,,
6:22.0,,,49-52,,J. Nurkic misses 2-pt shot from 4 ft
6:21.0,Defensive rebound by A. Nicholson,,49-52,,
6:07.0,N. Vucevic makes 2-pt shot from 7 ft (assist by V. Oladipo),2,51-52,,
5:50.0,,,51-52,,Turnover by T. Lawson (bad pass)
5:50.0,,,51-52,,Denver full timeout
5:50.0,,,51-52,,J. Hickson enters the game for K. Faried
5:50.0,,,51-52,,D. Arthur enters the game for J. Nurkic
5:35.0,T. Harris misses 2-pt shot from 6 ft,,51-52,,
5:34.0,,,51-52,,Defensive rebound by J. Hickson
5:30.0,,,51-52,,Turnover by T. Lawson (bad pass; steal by N. Vucevic)
5:24.0,E. Payton makes 2-pt shot from 9 ft,2,53-52,,
5:05.0,,,53-54,2,A. Afflalo makes 2-pt shot from 9 ft
4:39.0,V. Oladipo misses 3-pt shot from 24 ft,,53-54,,
4:38.0,,,53-54,,Defensive rebound by A. Afflalo
4:33.0,Personal foul by V. Oladipo (drawn by J. Hickson),,53-54,,
4:33.0,C. Frye enters the game for T. Harris,,53-54,,
4:33.0,E. Fournier enters the game for N. Vucevic,,53-54,,
4:24.0,,,53-54,,W. Chandler misses 2-pt shot from 15 ft
4:23.0,Defensive rebound by C. Frye,,53-54,,
4:17.0,E. Payton misses 2-pt shot from 2 ft,,53-54,,
4:15.0,,,53-54,,Defensive rebound by J. Hickson
4:06.0,,,53-57,3,D. Arthur makes 3-pt shot from 24 ft (assist by T. Lawson)
3:57.0,C. Frye misses 3-pt shot from 24 ft,,53-57,,
3:56.0,,,53-57,,Defensive rebound by A. Afflalo
3:50.0,,,53-59,2,J. Hickson makes 2-pt shot at rim (assist by T. Lawson)
3:50.0,Orlando full timeout,,53-59,,
3:50.0,L. Ridnour enters the game for E. Payton,,53-59,,
3:50.0,,,53-59,,N. Robinson enters the game for W. Chandler
3:28.0,Turnover by L. Ridnour (bad pass; steal by J. Hickson),,53-59,,
3:28.0,Personal foul by L. Ridnour (drawn by J. Hickson),,53-59,,
3:28.0,B. Gordon enters the game for V. Oladipo,,53-59,,
3:19.0,,,53-59,,Offensive foul by D. Arthur
3:19.0,,,53-59,,Turnover by D. Arthur (offensive foul)
3:00.0,A. Nicholson misses 2-pt shot from 9 ft,,53-59,,
2:59.0,,,53-59,,Defensive rebound by D. Arthur
2:48.0,,,53-61,2,T. Lawson makes 2-pt shot from 20 ft
2:28.0,Offensive foul by C. Frye,,53-61,,
2:28.0,Turnover by C. Frye (offensive foul),,53-61,,
2:28.0,K. O'Quinn enters the game for A. Nicholson,,53-61,,
2:17.0,Personal foul by E. Fournier (drawn by A. Afflalo),,53-61,,
2:17.0,,,53-61,,A. Afflalo misses free throw 1 of 2
2:17.0,,,53-61,,Offensive rebound by Team
2:17.0,,,53-61,,A. Afflalo misses free throw 2 of 2
2:14.0,,,53-61,,Offensive rebound by D. Arthur
2:10.0,,,53-63,2,A. Afflalo makes 2-pt shot at rim
1:58.0,,,53-63,,Personal foul by T. Lawson (drawn by C. Frye)
1:50.0,L. Ridnour misses 2-pt shot from 18 ft,,53-63,,
1:47.0,,,53-63,,Defensive rebound by J. Hickson
1:33.0,,,53-63,,Turnover by N. Robinson (bad pass)
1:24.0,B. Gordon makes 2-pt shot from 18 ft,2,55-63,,
1:12.0,,,55-63,,Turnover by D. Arthur (bad pass; steal by K. O'Quinn)
1:00.0,Offensive foul by K. O'Quinn,,55-63,,
1:00.0,Turnover by K. O'Quinn (offensive foul),,55-63,,
0:52.0,,,55-63,,D. Arthur misses 3-pt shot from 25 ft
0:50.0,Defensive rebound by Team,,55-63,,
0:30.0,C. Frye misses 3-pt shot from 24 ft,,55-63,,
0:28.0,,,55-63,,Defensive rebound by J. Hickson
0:26.0,,,55-63,,Turnover by A. Afflalo (lost ball)
0:26.0,,,55-63,,A. Gee enters the game for A. Afflalo
0:05.0,L. Ridnour makes 3-pt shot from 25 ft,3,58-63,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:46.0,,,58-63,,Turnover by D. Arthur (bad pass; steal by B. Gordon)
11:29.0,B. Gordon misses 3-pt shot from 25 ft,,58-63,,
11:28.0,Offensive rebound by E. Fournier,,58-63,,
11:28.0,,,58-63,,Personal foul by W. Chandler (drawn by E. Fournier)
11:13.0,K. O'Quinn misses 2-pt shot from 12 ft,,58-63,,
11:12.0,,,58-63,,Defensive rebound by W. Chandler
11:00.0,,,58-63,,N. Robinson misses 2-pt shot from 2 ft
10:59.0,Defensive rebound by K. O'Quinn,,58-63,,
10:44.0,E. Fournier makes 3-pt shot from 26 ft (assist by B. Gordon),3,61-63,,
10:28.0,,,61-65,2,D. Arthur makes 2-pt shot from 21 ft (assist by N. Robinson)
10:12.0,C. Frye misses 2-pt shot from 1 ft,,61-65,,
10:11.0,,,61-65,,Defensive rebound by J. Hickson
10:01.0,,,61-65,,N. Robinson misses 2-pt shot from 12 ft
10:00.0,,,61-65,,Offensive rebound by Team
10:00.0,Loose ball foul by E. Fournier (drawn by J. Hickson),,61-65,,
10:00.0,N. Vucevic enters the game for K. O'Quinn,,61-65,,
9:48.0,,,61-67,2,W. Chandler makes 2-pt shot from 3 ft
9:35.0,E. Fournier makes 2-pt shot from 8 ft,2,63-67,,
9:35.0,Shooting foul by W. Chandler (drawn by E. Fournier),,63-67,,
9:35.0,E. Fournier makes free throw 1 of 1,1,64-67,,
9:19.0,,,64-67,,D. Arthur misses 2-pt shot from 18 ft
9:17.0,Defensive rebound by B. Gordon,,64-67,,
9:03.0,B. Gordon misses 3-pt shot from 25 ft,,64-67,,
9:02.0,,,64-67,,Defensive rebound by A. Gee
9:00.0,Personal foul by L. Ridnour (drawn by N. Robinson),,64-67,,
8:50.0,,,64-67,,W. Chandler misses 2-pt shot from 13 ft
8:48.0,Defensive rebound by N. Vucevic,,64-67,,
8:35.0,N. Vucevic misses 2-pt shot from 8 ft,,64-67,,
8:34.0,,,64-67,,Defensive rebound by J. Hickson
8:27.0,Personal foul by N. Vucevic (drawn by N. Robinson),,64-67,,
8:27.0,Official timeout,,64-67,,
8:27.0,,,64-67,,K. Faried enters the game for W. Chandler
8:27.0,,,64-67,,A. Afflalo enters the game for D. Arthur
8:27.0,,,64-68,1,N. Robinson makes free throw 1 of 2
8:27.0,,,64-69,1,N. Robinson makes free throw 2 of 2
8:06.0,B. Gordon makes 2-pt shot from 3 ft (assist by C. Frye),2,66-69,,
7:48.0,,,66-72,3,N. Robinson makes 3-pt shot from 25 ft (assist by A. Afflalo)
7:34.0,E. Fournier misses 3-pt shot from 25 ft,,66-72,,
7:33.0,,,66-72,,Defensive rebound by J. Hickson
7:24.0,,,66-72,,Shooting foul by N. Vucevic (drawn by N. Robinson)
7:24.0,,,66-73,1,N. Robinson makes free throw 1 of 2
7:24.0,E. Payton enters the game for L. Ridnour,,66-73,,
7:24.0,V. Oladipo enters the game for B. Gordon,,66-73,,
7:24.0,T. Harris enters the game for C. Frye,,66-73,,
7:24.0,,,66-74,1,N. Robinson makes free throw 2 of 2
7:04.0,V. Oladipo makes 2-pt shot from 1 ft,2,68-74,,
6:51.0,,,68-74,,Turnover by J. Hickson (traveling)
6:38.0,V. Oladipo misses 2-pt shot from 10 ft,,68-74,,
6:36.0,Offensive rebound by N. Vucevic,,68-74,,
6:36.0,N. Vucevic misses 2-pt shot at rim,,68-74,,
6:34.0,,,68-74,,Defensive rebound by K. Faried
6:30.0,,,68-74,,Shooting foul by T. Harris (drawn by J. Hickson)
6:30.0,A. Nicholson enters the game for E. Fournier,,68-74,,
6:30.0,,,68-75,1,J. Hickson makes free throw 1 of 2
6:30.0,,,68-76,1,J. Hickson makes free throw 2 of 2
6:13.0,,,68-76,,Violation by K. Faried (kicked ball)
6:05.0,,,68-76,,Personal foul by A. Afflalo (drawn by V. Oladipo)
5:51.0,E. Payton misses 2-pt shot from 6 ft,,68-76,,
5:51.0,Offensive rebound by A. Nicholson,,68-76,,
5:51.0,Turnover by Team (shot clock),,68-76,,
5:51.0,,,68-76,,Denver full timeout
5:49.0,Personal foul by E. Payton (drawn by N. Robinson),,68-76,,
5:49.0,,,68-77,1,N. Robinson makes free throw 1 of 2
5:49.0,,,68-78,1,N. Robinson makes free throw 2 of 2
5:37.0,V. Oladipo misses 2-pt shot from 8 ft,,68-78,,
5:36.0,Offensive rebound by N. Vucevic,,68-78,,
5:26.0,A. Nicholson misses 2-pt shot from 20 ft,,68-78,,
5:25.0,,,68-78,,Defensive rebound by N. Robinson
5:14.0,,,68-78,,K. Faried misses 2-pt shot from 3 ft
5:13.0,Defensive rebound by T. Harris,,68-78,,
5:02.0,N. Vucevic makes 2-pt shot from 14 ft,2,70-78,,
4:41.0,,,70-80,2,A. Afflalo makes 2-pt shot from 16 ft (assist by N. Robinson)
4:27.0,Shooting foul by J. Hickson (drawn by N. Vucevic),,70-80,,
4:27.0,N. Vucevic misses free throw 1 of 2,,70-80,,
4:27.0,Offensive rebound by Team,,70-80,,
4:27.0,N. Vucevic makes free throw 2 of 2,1,71-80,,
4:15.0,,,71-80,,Turnover by J. Hickson (traveling)
4:03.0,T. Harris makes 2-pt shot from 9 ft (assist by N. Vucevic),2,73-80,,
4:03.0,Shooting foul by A. Gee (drawn by T. Harris),,73-80,,
4:03.0,,,73-80,,T. Lawson enters the game for A. Gee
4:03.0,T. Harris misses free throw 1 of 1,,73-80,,
4:01.0,,,73-80,,Defensive rebound by A. Afflalo
3:44.0,,,73-82,2,A. Afflalo makes 2-pt shot from 17 ft
3:29.0,Turnover by T. Harris (lost ball),,73-82,,
3:16.0,,,73-82,,A. Afflalo misses 2-pt shot from 14 ft (block by T. Harris)
3:15.0,,,73-82,,Offensive rebound by Team
