time,Cleveland,pts.away,score,pts.home,Milwaukee
5:24.0,,,36-31,,Offensive rebound by Team
5:24.0,,,36-31,,Z. Pachulia misses free throw 2 of 2
5:23.0,Defensive rebound by T. Mozgov,,36-31,,
4:59.0,K. Irving makes 3-pt shot from 23 ft (assist by J. Smith),3,39-31,,
4:44.0,,,39-31,,M. Carter-Williams misses 2-pt shot from 14 ft
4:42.0,Defensive rebound by K. Irving,,39-31,,
4:29.0,K. Love misses 3-pt shot from 23 ft,,39-31,,
4:28.0,,,39-31,,Defensive rebound by M. Plumlee
4:18.0,,,39-31,,M. Plumlee misses 2-pt shot from 3 ft
4:17.0,Defensive rebound by L. James,,39-31,,
4:08.0,Turnover by T. Mozgov (lost ball; steal by Z. Pachulia),,39-31,,
3:58.0,,,39-31,,T. Ennis misses 3-pt shot from 26 ft
3:57.0,,,39-31,,Offensive rebound by Z. Pachulia
3:55.0,Personal foul by J. Smith (drawn by M. Plumlee),,39-31,,
3:51.0,,,39-31,,Z. Pachulia misses 2-pt shot from 15 ft
3:50.0,Defensive rebound by K. Love,,39-31,,
3:40.0,K. Love misses 3-pt shot from 24 ft,,39-31,,
3:38.0,,,39-31,,Defensive rebound by M. Carter-Williams
3:30.0,,,39-34,3,T. Ennis makes 3-pt shot from 23 ft (assist by M. Carter-Williams)
3:12.0,K. Irving makes 2-pt shot at rim,2,41-34,,
2:51.0,,,41-34,,Z. Pachulia misses 2-pt shot from 14 ft
2:50.0,Defensive rebound by T. Mozgov,,41-34,,
2:39.0,,,41-34,,Personal foul by T. Ennis (drawn by K. Irving)
2:39.0,Cleveland full timeout,,41-34,,
2:39.0,,,41-34,,O. Mayo enters the game for T. Ennis
2:39.0,,,41-34,,E. Ilyasova enters the game for M. Plumlee
2:23.0,K. Love makes 2-pt shot from 15 ft,2,43-34,,
2:10.0,,,43-36,2,O. Mayo makes 2-pt shot from 6 ft (assist by M. Carter-Williams)
1:50.0,Offensive charge foul by T. Mozgov,,43-36,,
1:50.0,Turnover by T. Mozgov (offensive foul),,43-36,,
1:50.0,T. Thompson enters the game for T. Mozgov,,43-36,,
1:41.0,,,43-38,2,Z. Pachulia makes 2-pt shot from 15 ft (assist by M. Carter-Williams)
1:26.0,J. Smith makes 3-pt shot from 23 ft (assist by L. James),3,46-38,,
1:08.0,,,46-40,2,M. Carter-Williams makes 2-pt shot from 7 ft
0:56.0,K. Irving makes 3-pt shot from 24 ft (assist by L. James),3,49-40,,
0:48.0,Personal foul by K. Irving (drawn by M. Carter-Williams),,49-40,,
0:46.0,,,49-42,2,Z. Pachulia makes 2-pt shot at rim (assist by O. Mayo)
0:37.0,K. Irving makes 3-pt shot from 24 ft,3,52-42,,
0:26.0,Personal foul by K. Irving (drawn by Z. Pachulia),,52-42,,
0:26.0,,,52-43,1,Z. Pachulia makes free throw 1 of 2
0:26.0,,,52-44,1,Z. Pachulia makes free throw 2 of 2
0:06.0,Turnover by K. Love (step out of bounds),,52-44,,
0:06.0,M. Dellavedova enters the game for K. Irving,,52-44,,
0:00.0,,,52-44,,M. Carter-Williams misses 2-pt shot from 15 ft
0:00.0,,,52-44,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:44.0,Shooting foul by E. Ilyasova (drawn by K. Love),,52-44,,
11:44.0,K. Love misses free throw 1 of 2,,52-44,,
11:44.0,Offensive rebound by Team,,52-44,,
11:44.0,K. Love makes free throw 2 of 2,1,53-44,,
11:32.0,,,53-44,,E. Ilyasova misses 2-pt shot at rim
11:30.0,Defensive rebound by K. Love,,53-44,,
11:21.0,Turnover by J. Smith (bad pass; steal by Z. Pachulia),,53-44,,
11:15.0,,,53-44,,K. Middleton misses 2-pt shot from 1 ft (block by T. Mozgov)
11:13.0,,,53-44,,Offensive rebound by Z. Pachulia
11:10.0,,,53-44,,E. Ilyasova misses 3-pt shot from 23 ft
11:09.0,Defensive rebound by L. James,,53-44,,
10:56.0,Shooting foul by K. Middleton (drawn by T. Mozgov),,53-44,,
10:56.0,T. Mozgov misses free throw 1 of 2,,53-44,,
10:56.0,Offensive rebound by Team,,53-44,,
10:56.0,T. Mozgov makes free throw 2 of 2,1,54-44,,
10:45.0,,,54-44,,E. Ilyasova misses 2-pt shot at rim
10:43.0,,,54-44,,Offensive rebound by E. Ilyasova
10:37.0,,,54-46,2,M. Carter-Williams makes 2-pt shot at rim (assist by J. Dudley)
10:16.0,T. Mozgov makes 2-pt shot at rim (assist by L. James),2,56-46,,
9:57.0,,,56-46,,Turnover by K. Middleton (bad pass; steal by K. Love)
9:53.0,L. James makes 2-pt shot at rim (assist by K. Irving),2,58-46,,
9:51.0,,,58-46,,Turnover by J. Dudley (dbl dribble)
9:33.0,K. Love makes 3-pt shot from 25 ft (assist by L. James),3,61-46,,
9:33.0,,,61-46,,Milwaukee full timeout
9:33.0,,,61-46,,J. Henson enters the game for E. Ilyasova
9:22.0,,,61-48,2,K. Middleton makes 2-pt shot from 18 ft (assist by M. Carter-Williams)
8:56.0,J. Smith misses 2-pt shot from 7 ft,,61-48,,
8:55.0,,,61-48,,Defensive rebound by Z. Pachulia
8:44.0,,,61-51,3,J. Dudley makes 3-pt shot from 24 ft (assist by Z. Pachulia)
8:22.0,Turnover by T. Mozgov (lost ball; steal by Z. Pachulia),,61-51,,
8:11.0,,,61-51,,Z. Pachulia misses 2-pt shot from 17 ft
8:10.0,Defensive rebound by L. James,,61-51,,
7:56.0,K. Irving misses 3-pt shot from 25 ft,,61-51,,
7:55.0,,,61-51,,Defensive rebound by K. Middleton
7:47.0,,,61-51,,Turnover by J. Henson (lost ball; steal by K. Irving)
7:45.0,Turnover by K. Irving (bad pass; steal by K. Middleton),,61-51,,
7:45.0,Personal foul by K. Irving (drawn by K. Middleton),,61-51,,
7:32.0,,,61-51,,Turnover by M. Carter-Williams (bad pass; steal by T. Mozgov)
7:25.0,,,61-51,,Personal foul by Z. Pachulia (drawn by J. Smith)
7:08.0,K. Love misses 3-pt shot from 25 ft,,61-51,,
7:07.0,,,61-51,,Defensive rebound by J. Dudley
6:56.0,Violation by J. Smith (kicked ball),,61-51,,
6:46.0,,,61-51,,J. Henson misses 2-pt shot from 4 ft
6:44.0,,,61-51,,Offensive rebound by J. Henson
6:37.0,,,61-54,3,M. Carter-Williams makes 3-pt shot from 23 ft (assist by J. Dudley)
6:17.0,T. Mozgov misses 2-pt shot from 1 ft (block by Z. Pachulia),,61-54,,
6:14.0,,,61-54,,Defensive rebound by Z. Pachulia
6:09.0,,,61-54,,J. Dudley misses 3-pt shot from 26 ft
6:07.0,Defensive rebound by K. Love,,61-54,,
6:05.0,,,61-54,,Personal foul by J. Henson (drawn by T. Mozgov)
6:05.0,T. Thompson enters the game for T. Mozgov,,61-54,,
5:49.0,K. Love misses 2-pt shot from 1 ft,,61-54,,
5:47.0,,,61-54,,Defensive rebound by J. Henson
5:41.0,,,61-56,2,J. Henson makes 2-pt shot at rim (assist by Z. Pachulia)
5:39.0,Cleveland full timeout,,61-56,,
5:39.0,I. Shumpert enters the game for J. Smith,,61-56,,
5:39.0,,,61-56,,J. Bayless enters the game for J. Dudley
5:27.0,Turnover by K. Irving (lost ball; steal by Z. Pachulia),,61-56,,
5:18.0,,,61-56,,M. Carter-Williams misses 2-pt shot at rim (block by K. Love)
5:17.0,,,61-56,,Offensive rebound by Team
5:17.0,,,61-57,1,M. Carter-Williams makes flagrant free throw 1 of 2
5:17.0,,,61-58,1,M. Carter-Williams makes flagrant free throw 2 of 2
5:04.0,,,61-58,,Turnover by J. Bayless (lost ball; steal by K. Irving)
5:01.0,Shooting foul by Z. Pachulia (drawn by K. Irving),,61-58,,
5:01.0,K. Irving makes free throw 1 of 2,1,62-58,,
5:01.0,K. Irving makes free throw 2 of 2,1,63-58,,
4:35.0,,,63-58,,Z. Pachulia misses 2-pt shot from 4 ft
4:34.0,Defensive rebound by T. Thompson,,63-58,,
4:17.0,I. Shumpert makes 2-pt shot from 19 ft (assist by K. Irving),2,65-58,,
3:58.0,,,65-60,2,K. Middleton makes 2-pt shot from 15 ft (assist by M. Carter-Williams)
3:40.0,L. James misses 3-pt shot from 24 ft,,65-60,,
3:39.0,,,65-60,,Defensive rebound by J. Bayless
3:25.0,,,65-62,2,M. Carter-Williams makes 2-pt shot from 5 ft
3:06.0,I. Shumpert misses 3-pt shot from 23 ft,,65-62,,
3:04.0,,,65-62,,Defensive rebound by Z. Pachulia
2:54.0,,,65-64,2,Z. Pachulia makes 2-pt shot at rim (assist by J. Bayless)
2:54.0,,,65-64,,Shooting foul by L. James (drawn by Z. Pachulia)
2:54.0,,,65-64,,O. Mayo enters the game for M. Carter-Williams
2:54.0,J. Smith enters the game for L. James,,65-64,,
2:54.0,,,65-65,1,Z. Pachulia makes free throw 1 of 1
2:45.0,Turnover by K. Irving (lost ball),,65-65,,
2:45.0,,,65-65,,J. Dudley enters the game for Z. Pachulia
2:28.0,,,65-67,2,K. Middleton makes 2-pt shot at rim (assist by J. Henson)
2:03.0,J. Smith misses 3-pt shot from 26 ft,,65-67,,
2:00.0,Offensive rebound by I. Shumpert,,65-67,,
1:58.0,Shooting foul by J. Bayless (drawn by T. Thompson),,65-67,,
1:58.0,T. Thompson makes free throw 1 of 2,1,66-67,,
1:58.0,T. Thompson makes free throw 2 of 2,1,67-67,,
1:42.0,,,67-70,3,K. Middleton makes 3-pt shot from 23 ft (assist by J. Dudley)
1:20.0,J. Smith makes 3-pt shot from 25 ft (assist by T. Thompson),3,70-70,,
1:11.0,Personal foul by J. Smith (drawn by J. Dudley),,70-70,,
1:04.0,,,70-72,2,J. Henson makes 2-pt shot at rim (assist by O. Mayo)
0:50.0,Shooting foul by J. Henson (drawn by K. Irving),,70-72,,
0:50.0,K. Irving makes free throw 1 of 2,1,71-72,,
0:50.0,K. Irving makes free throw 2 of 2,1,72-72,,
0:43.0,,,72-72,,Turnover by O. Mayo (bad pass; steal by J. Smith)
0:32.0,J. Smith makes 2-pt shot from 14 ft,2,74-72,,
0:21.0,,,74-72,,O. Mayo misses 3-pt shot from 25 ft
0:19.0,Defensive rebound by K. Love,,74-72,,
0:00.0,K. Irving misses 3-pt shot from 29 ft,,74-72,,
0:00.0,Offensive rebound by Team,,74-72,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:47.0,,,74-74,2,J. Henson makes 2-pt shot from 2 ft (assist by J. Bayless)
11:21.0,J. Smith misses 3-pt shot from 27 ft,,74-74,,
11:20.0,Offensive rebound by T. Thompson,,74-74,,
11:20.0,,,74-74,,Loose ball foul by J. Henson (drawn by T. Thompson)
11:11.0,,,74-74,,Shooting block foul by J. Dudley (drawn by L. James)
11:11.0,L. James makes free throw 1 of 2,1,75-74,,
11:11.0,L. James makes free throw 2 of 2,1,76-74,,
10:54.0,,,76-74,,Turnover by J. Bayless (bad pass; steal by L. James)
10:49.0,T. Thompson makes 2-pt shot at rim (assist by L. James),2,78-74,,
10:37.0,,,78-76,2,M. Carter-Williams makes 2-pt shot at rim
10:37.0,,,78-76,,Shooting foul by I. Shumpert (drawn by M. Carter-Williams)
10:37.0,,,78-77,1,M. Carter-Williams makes free throw 1 of 1
10:24.0,,,78-77,,Personal foul by J. Bayless (drawn by M. Dellavedova)
10:14.0,I. Shumpert makes 3-pt shot from 24 ft (assist by M. Dellavedova),3,81-77,,
10:02.0,,,81-77,,M. Carter-Williams misses 2-pt shot from 19 ft
10:00.0,,,81-77,,Offensive rebound by J. Henson
9:56.0,,,81-79,2,O. Mayo makes 2-pt shot from 15 ft (assist by J. Henson)
9:43.0,J. Smith misses 3-pt shot from 27 ft,,81-79,,
9:39.0,,,81-79,,Defensive rebound by J. Dudley
9:23.0,,,81-81,2,M. Carter-Williams makes 2-pt shot from 10 ft
8:58.0,Offensive foul by T. Thompson,,81-81,,
8:58.0,Turnover by T. Thompson (offensive foul),,81-81,,
8:58.0,Official timeout,,81-81,,
8:48.0,,,81-81,,J. Bayless misses 3-pt shot from 25 ft
8:47.0,Defensive rebound by T. Thompson,,81-81,,
8:37.0,,,81-81,,Personal block foul by O. Mayo (drawn by J. Smith)
8:25.0,J. Smith makes 2-pt shot from 13 ft (assist by L. James),2,83-81,,
8:05.0,,,83-83,2,J. Bayless makes 2-pt shot at rim (assist by J. Dudley)
8:05.0,,,83-83,,Shooting foul by J. Smith (drawn by J. Bayless)
8:05.0,,,83-84,1,J. Bayless makes free throw 1 of 1
7:48.0,J. Smith makes 2-pt shot from 18 ft (assist by I. Shumpert),2,85-84,,
7:32.0,,,85-84,,M. Carter-Williams misses 2-pt shot from 17 ft
7:31.0,Defensive rebound by L. James,,85-84,,
7:18.0,M. Dellavedova misses 2-pt shot from 14 ft,,85-84,,
7:18.0,,,85-84,,Defensive rebound by Team
7:18.0,K. Irving enters the game for M. Dellavedova,,85-84,,
6:54.0,,,85-84,,J. Bayless misses 2-pt shot from 12 ft
6:53.0,Defensive rebound by J. Smith,,85-84,,
6:35.0,T. Thompson makes 2-pt shot at rim (assist by K. Irving),2,87-84,,
6:35.0,Shooting foul by O. Mayo (drawn by T. Thompson),,87-84,,
6:35.0,T. Thompson makes free throw 1 of 1,1,88-84,,
6:26.0,,,88-86,2,M. Carter-Williams makes 2-pt shot at rim
6:14.0,L. James makes 2-pt shot from 1 ft,2,90-86,,
5:47.0,,,90-86,,J. Henson misses 2-pt shot from 1 ft
5:45.0,Defensive rebound by T. Thompson,,90-86,,
5:25.0,I. Shumpert misses 3-pt shot from 23 ft,,90-86,,
5:25.0,Offensive rebound by L. James,,90-86,,
5:25.0,L. James makes 2-pt shot at rim,2,92-86,,
5:25.0,,,92-86,,Milwaukee full timeout
5:25.0,,,92-86,,K. Middleton enters the game for J. Bayless
5:25.0,,,92-86,,Z. Pachulia enters the game for J. Henson
5:16.0,,,92-86,,Milwaukee full timeout
5:00.0,,,92-89,3,O. Mayo makes 3-pt shot from 25 ft (assist by K. Middleton)
4:41.0,L. James misses 3-pt shot from 23 ft,,92-89,,
4:39.0,Offensive rebound by I. Shumpert,,92-89,,
4:39.0,I. Shumpert makes 2-pt shot at rim,2,94-89,,
4:25.0,,,94-89,,K. Middleton misses 2-pt shot from 11 ft
4:24.0,,,94-89,,Offensive rebound by Z. Pachulia
4:22.0,,,94-89,,Turnover by Z. Pachulia (bad pass)
4:22.0,K. Love enters the game for T. Thompson,,94-89,,
3:59.0,K. Love makes 2-pt shot at rim (assist by L. James),2,96-89,,
3:38.0,,,96-89,,M. Carter-Williams misses 3-pt shot from 24 ft
3:37.0,Defensive rebound by K. Love,,96-89,,
3:19.0,J. Smith misses 3-pt shot from 25 ft,,96-89,,
3:17.0,Offensive rebound by K. Irving,,96-89,,
3:12.0,K. Love misses 3-pt shot from 23 ft,,96-89,,
3:11.0,Offensive rebound by L. James,,96-89,,
3:11.0,Shooting foul by J. Dudley (drawn by L. James),,96-89,,
3:11.0,L. James makes free throw 1 of 2,1,97-89,,
3:11.0,L. James misses free throw 2 of 2,,97-89,,
3:09.0,,,97-89,,Defensive rebound by O. Mayo
2:54.0,,,97-91,2,Z. Pachulia makes 2-pt shot from 1 ft (assist by M. Carter-Williams)
2:46.0,Cleveland full timeout,,97-91,,
2:34.0,Turnover by K. Irving (bad pass; steal by Z. Pachulia),,97-91,,
2:24.0,,,97-91,,Shooting foul by K. Love (drawn by O. Mayo)
2:24.0,,,97-92,1,O. Mayo makes free throw 1 of 2
2:24.0,,,97-93,1,O. Mayo makes free throw 2 of 2
2:01.0,L. James misses 2-pt shot from 10 ft,,97-93,,
2:00.0,,,97-93,,Defensive rebound by K. Middleton
1:45.0,,,97-95,2,K. Middleton makes 2-pt shot from 5 ft
1:28.0,K. Irving makes 2-pt shot at rim,2,99-95,,
1:10.0,,,99-95,,O. Mayo misses 2-pt shot from 1 ft
1:08.0,,,99-95,,Offensive rebound by Z. Pachulia
1:08.0,,,99-95,,Z. Pachulia misses 2-pt shot at rim (block by L. James)
1:08.0,Defensive rebound by Team,,99-95,,
0:47.0,L. James misses 2-pt shot from 16 ft,,99-95,,
0:45.0,,,99-95,,Defensive rebound by Z. Pachulia
0:36.0,,,99-97,2,O. Mayo makes 2-pt shot from 6 ft (assist by M. Carter-Williams)
0:15.0,L. James makes 3-pt shot from 24 ft,3,102-97,,
0:14.0,,,102-97,,Milwaukee full timeout
0:14.0,T. Thompson enters the game for K. Love,,102-97,,
0:10.0,,,102-99,2,M. Carter-Williams makes 2-pt shot at rim
0:10.0,Cleveland full timeout,,102-99,,
0:10.0,K. Love enters the game for T. Thompson,,102-99,,
