time,Chicago,pts.away,score,pts.home,Philadelphia
11:24.0,N. Mirotic makes 3-pt shot from 23 ft (assist by K. Hinrich),3,25-24,,
11:08.0,,,25-24,,T. Robinson misses 2-pt shot from 1 ft
11:07.0,,,25-24,,Offensive rebound by T. Robinson
10:55.0,,,25-24,,Turnover by J. Grant (bad pass; steal by K. Hinrich)
10:43.0,D. McDermott makes 2-pt shot from 1 ft (assist by N. Mirotic),2,27-24,,
10:29.0,,,27-26,2,R. Covington makes 2-pt shot from 3 ft
10:16.0,D. McDermott makes 2-pt shot from 1 ft (assist by N. Mirotic),2,29-26,,
10:09.0,,,29-26,,Philadelphia full timeout
10:03.0,,,29-26,,Turnover by I. Canaan (bad pass; steal by T. Snell)
9:45.0,Turnover by T. Snell (traveling),,29-26,,
9:28.0,,,29-26,,R. Covington misses 2-pt shot from 4 ft
9:26.0,,,29-26,,Offensive rebound by R. Covington
9:26.0,,,29-28,2,R. Covington makes 2-pt shot at rim
9:12.0,Shooting foul by T. Robinson (drawn by N. Mirotic),,29-28,,
9:12.0,N. Mirotic makes free throw 1 of 2,1,30-28,,
9:12.0,N. Mirotic makes free throw 2 of 2,1,31-28,,
8:50.0,,,31-28,,J. Grant misses 2-pt shot from 6 ft
8:47.0,,,31-28,,Offensive rebound by T. Robinson
8:46.0,,,31-28,,T. Robinson misses 2-pt shot from 18 ft
8:45.0,Defensive rebound by K. Hinrich,,31-28,,
8:31.0,K. Hinrich misses 2-pt shot from 21 ft,,31-28,,
8:29.0,,,31-28,,Defensive rebound by T. Robinson
8:26.0,Personal foul by K. Hinrich (drawn by I. Canaan),,31-28,,
8:26.0,,,31-28,,Technical foul by I. Canaan
8:26.0,T. Snell makes technical free throw,1,32-28,,
8:26.0,,,32-28,,I. Smith enters the game for I. Canaan
8:11.0,,,32-28,,I. Smith misses 3-pt shot from 23 ft
8:10.0,,,32-28,,Offensive rebound by F. Aldemir
8:03.0,,,32-31,3,R. Covington makes 3-pt shot from 26 ft (assist by J. Grant)
7:50.0,K. Hinrich misses 3-pt shot from 25 ft,,32-31,,
7:48.0,,,32-31,,Defensive rebound by T. Robinson
7:34.0,,,32-34,3,J. Grant makes 3-pt shot from 25 ft (assist by I. Smith)
7:16.0,N. Mirotic makes 2-pt shot from 20 ft (assist by K. Hinrich),2,34-34,,
7:05.0,,,34-34,,I. Smith misses 2-pt shot from 5 ft
7:02.0,,,34-34,,Offensive rebound by T. Robinson
7:02.0,,,34-36,2,T. Robinson makes 2-pt shot at rim
6:41.0,,,34-36,,Personal foul by T. Robinson (drawn by N. Mirotic)
6:41.0,A. Brooks enters the game for K. Hinrich,,34-36,,
6:41.0,M. Dunleavy enters the game for D. McDermott,,34-36,,
6:41.0,,,34-36,,L. Mbah a Moute enters the game for F. Aldemir
6:41.0,,,34-36,,J. Richardson enters the game for T. Robinson
6:41.0,,,34-36,,N. Noel enters the game for J. Grant
6:27.0,N. Mohammed misses 2-pt shot from 8 ft,,34-36,,
6:26.0,,,34-36,,Defensive rebound by N. Noel
6:09.0,,,34-36,,R. Covington misses 3-pt shot from 23 ft
6:07.0,Defensive rebound by N. Mirotic,,34-36,,
5:54.0,N. Mirotic makes 2-pt shot from 1 ft (assist by A. Brooks),2,36-36,,
5:54.0,Shooting foul by J. Richardson (drawn by N. Mirotic),,36-36,,
5:54.0,Official timeout,,36-36,,
5:54.0,P. Gasol enters the game for T. Snell,,36-36,,
5:54.0,E. Moore enters the game for N. Mohammed,,36-36,,
5:54.0,N. Mirotic misses free throw 1 of 1,,36-36,,
5:52.0,,,36-36,,Defensive rebound by N. Noel
5:39.0,,,36-36,,R. Covington misses 2-pt shot from 2 ft
5:38.0,,,36-36,,Offensive rebound by R. Covington
5:38.0,,,36-36,,R. Covington misses 2-pt shot from 2 ft
5:36.0,,,36-36,,Offensive rebound by N. Noel
5:31.0,,,36-36,,N. Noel misses 2-pt shot from 4 ft
5:28.0,,,36-36,,Offensive rebound by J. Richardson
5:28.0,,,36-38,2,J. Richardson makes 2-pt shot at rim
5:11.0,Shooting foul by N. Noel (drawn by A. Brooks),,36-38,,
5:11.0,A. Brooks makes free throw 1 of 2,1,37-38,,
5:11.0,A. Brooks makes free throw 2 of 2,1,38-38,,
4:57.0,,,38-38,,L. Mbah a Moute misses 2-pt shot from 19 ft
4:56.0,,,38-38,,Offensive rebound by Team
4:56.0,Loose ball foul by E. Moore (drawn by J. Richardson),,38-38,,
4:50.0,,,38-38,,L. Mbah a Moute misses 2-pt shot from 20 ft
4:49.0,Defensive rebound by M. Dunleavy,,38-38,,
4:43.0,Turnover by M. Dunleavy (bad pass; steal by N. Noel),,38-38,,
4:39.0,,,38-40,2,N. Noel makes 2-pt shot at rim
4:21.0,,,38-40,,J. Sampson enters the game for R. Covington
4:16.0,Turnover by P. Gasol (lost ball; steal by N. Noel),,38-40,,
4:10.0,,,38-40,,J. Richardson misses 3-pt shot from 23 ft
4:07.0,Defensive rebound by Team,,38-40,,
3:54.0,P. Gasol makes 2-pt shot at rim (assist by E. Moore),2,40-40,,
3:48.0,,,40-42,2,N. Noel makes 2-pt shot at rim (assist by I. Smith)
3:31.0,,,40-42,,Personal foul by N. Noel (drawn by P. Gasol)
3:31.0,P. Gasol misses free throw 1 of 2,,40-42,,
3:31.0,Offensive rebound by Team,,40-42,,
3:31.0,P. Gasol makes free throw 2 of 2,1,41-42,,
3:15.0,,,41-45,3,I. Smith makes 3-pt shot from 25 ft (assist by J. Richardson)
2:50.0,E. Moore misses 2-pt shot from 19 ft,,41-45,,
2:47.0,,,41-45,,Defensive rebound by J. Sampson
2:38.0,,,41-47,2,I. Smith makes 2-pt shot at rim
2:32.0,Chicago full timeout,,41-47,,
2:32.0,T. Snell enters the game for E. Moore,,41-47,,
2:20.0,M. Dunleavy makes 3-pt shot from 23 ft (assist by P. Gasol),3,44-47,,
2:00.0,,,44-47,,Shooting foul by N. Mirotic (drawn by N. Noel)
2:00.0,,,44-47,,N. Noel misses free throw 1 of 2
2:00.0,,,44-47,,Offensive rebound by Team
2:00.0,,,44-47,,N. Noel misses free throw 2 of 2
1:59.0,,,44-47,,Offensive rebound by Team
1:48.0,,,44-49,2,J. Richardson makes 2-pt shot from 17 ft
1:36.0,N. Mirotic makes 3-pt shot from 24 ft (assist by A. Brooks),3,47-49,,
1:11.0,,,47-51,2,I. Smith makes 2-pt shot from 4 ft (assist by L. Mbah a Moute)
1:00.0,P. Gasol makes 2-pt shot from 1 ft,2,49-51,,
0:56.0,,,49-51,,Philadelphia full timeout
0:56.0,,,49-51,,F. Aldemir enters the game for N. Noel
0:48.0,,,49-51,,L. Mbah a Moute misses 3-pt shot from 25 ft
0:47.0,Defensive rebound by P. Gasol,,49-51,,
0:29.0,A. Brooks makes 2-pt shot from 2 ft (assist by N. Mirotic),2,51-51,,
0:07.0,,,51-51,,I. Smith misses 3-pt shot from 26 ft
0:05.0,Defensive rebound by Team,,51-51,,
0:00.0,N. Mirotic misses 3-pt shot from 29 ft,,51-51,,
0:00.0,Offensive rebound by Team,,51-51,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:40.0,T. Snell misses 3-pt shot from 25 ft,,51-51,,
11:38.0,,,51-51,,Defensive rebound by N. Noel
11:34.0,,,51-51,,Turnover by J. Sampson (lost ball)
11:12.0,A. Brooks misses 3-pt shot from 26 ft,,51-51,,
11:11.0,Offensive rebound by P. Gasol,,51-51,,
11:09.0,P. Gasol misses 2-pt shot from 12 ft,,51-51,,
11:07.0,,,51-51,,Defensive rebound by J. Sampson
10:58.0,,,51-51,,N. Noel misses 2-pt shot from 3 ft
10:56.0,Defensive rebound by N. Mirotic,,51-51,,
10:45.0,T. Snell makes 2-pt shot from 2 ft,2,53-51,,
10:25.0,,,53-51,,J. Richardson misses 2-pt shot from 14 ft
10:23.0,Defensive rebound by A. Brooks,,53-51,,
10:19.0,A. Brooks makes 2-pt shot at rim,2,55-51,,
9:54.0,,,55-51,,L. Mbah a Moute misses 2-pt shot from 18 ft
9:53.0,Defensive rebound by P. Gasol,,55-51,,
9:37.0,Turnover by P. Gasol (lost ball),,55-51,,
9:18.0,,,55-51,,I. Smith misses 2-pt shot from 8 ft
9:16.0,Defensive rebound by M. Dunleavy,,55-51,,
9:04.0,Turnover by A. Brooks (lost ball),,55-51,,
8:55.0,,,55-51,,L. Mbah a Moute misses 3-pt shot from 25 ft
8:54.0,Defensive rebound by N. Mirotic,,55-51,,
8:48.0,Turnover by P. Gasol (lost ball; steal by J. Richardson),,55-51,,
8:40.0,,,55-51,,J. Richardson misses 3-pt shot from 26 ft
8:38.0,Defensive rebound by N. Mirotic,,55-51,,
8:24.0,T. Snell misses 2-pt shot from 2 ft,,55-51,,
8:22.0,,,55-51,,Defensive rebound by N. Noel
8:18.0,,,55-51,,J. Sampson misses 2-pt shot from 6 ft
8:17.0,,,55-51,,Offensive rebound by I. Smith
8:13.0,,,55-51,,J. Richardson misses 3-pt shot from 23 ft
8:10.0,Defensive rebound by M. Dunleavy,,55-51,,
8:00.0,A. Brooks makes 2-pt shot from 8 ft,2,57-51,,
7:51.0,,,57-51,,I. Smith misses 2-pt shot from 8 ft
7:49.0,Defensive rebound by N. Mirotic,,57-51,,
7:43.0,,,57-51,,H. Thompson enters the game for J. Sampson
7:36.0,A. Brooks misses 3-pt shot from 24 ft,,57-51,,
7:34.0,,,57-51,,Defensive rebound by L. Mbah a Moute
7:13.0,,,57-51,,Turnover by H. Thompson (lost ball; steal by M. Dunleavy)
7:03.0,Turnover by T. Snell (bad pass),,57-51,,
6:43.0,,,57-51,,Turnover by N. Noel (traveling)
6:32.0,P. Gasol misses 2-pt shot from 16 ft,,57-51,,
6:31.0,,,57-51,,Defensive rebound by J. Richardson
6:07.0,,,57-51,,J. Richardson misses 3-pt shot from 27 ft
6:06.0,Defensive rebound by P. Gasol,,57-51,,
6:01.0,M. Dunleavy misses 3-pt shot from 25 ft,,57-51,,
5:59.0,Offensive rebound by T. Snell,,57-51,,
5:58.0,Shooting foul by N. Noel (drawn by T. Snell),,57-51,,
5:58.0,,,57-51,,Philadelphia full timeout
5:58.0,,,57-51,,I. Canaan enters the game for L. Mbah a Moute
5:58.0,,,57-51,,J. Grant enters the game for J. Richardson
5:58.0,,,57-51,,R. Covington enters the game for I. Smith
5:58.0,T. Snell misses free throw 1 of 2,,57-51,,
5:58.0,Offensive rebound by Team,,57-51,,
5:58.0,T. Snell makes free throw 2 of 2,1,58-51,,
5:45.0,,,58-51,,R. Covington misses 3-pt shot from 26 ft
5:43.0,Defensive rebound by P. Gasol,,58-51,,
5:24.0,Shooting foul by J. Grant (drawn by N. Mirotic),,58-51,,
5:24.0,N. Mirotic makes free throw 1 of 2,1,59-51,,
5:24.0,N. Mirotic makes free throw 2 of 2,1,60-51,,
5:10.0,,,60-51,,J. Grant misses 3-pt shot from 25 ft
5:08.0,Defensive rebound by P. Gasol,,60-51,,
5:00.0,N. Mirotic misses 2-pt shot from 1 ft,,60-51,,
4:58.0,Offensive rebound by T. Snell,,60-51,,
4:56.0,Turnover by T. Snell (lost ball; steal by N. Noel),,60-51,,
4:44.0,,,60-51,,Shooting foul by P. Gasol (drawn by N. Noel)
4:44.0,,,60-51,,N. Noel misses free throw 1 of 2
4:44.0,,,60-51,,Offensive rebound by Team
4:44.0,,,60-51,,N. Noel misses free throw 2 of 2
4:43.0,Defensive rebound by M. Dunleavy,,60-51,,
4:32.0,T. Snell misses 2-pt shot from 2 ft (block by N. Noel),,60-51,,
4:31.0,,,60-51,,Defensive rebound by Team
4:31.0,N. Mohammed enters the game for N. Mirotic,,60-51,,
4:31.0,K. Hinrich enters the game for A. Brooks,,60-51,,
4:21.0,,,60-53,2,R. Covington makes 2-pt shot from 1 ft
4:09.0,P. Gasol makes 2-pt shot from 2 ft (assist by M. Dunleavy),2,62-53,,
3:58.0,,,62-53,,R. Covington misses 3-pt shot from 25 ft
3:56.0,Defensive rebound by P. Gasol,,62-53,,
3:46.0,P. Gasol makes 2-pt shot from 2 ft (assist by T. Snell),2,64-53,,
3:44.0,,,64-53,,Philadelphia full timeout
3:44.0,,,64-53,,T. Robinson enters the game for N. Noel
3:28.0,,,64-53,,T. Robinson misses 2-pt shot from 12 ft
3:27.0,Defensive rebound by M. Dunleavy,,64-53,,
3:08.0,N. Mohammed misses 2-pt shot from 3 ft (block by T. Robinson),,64-53,,
3:06.0,Offensive rebound by N. Mohammed,,64-53,,
2:59.0,Turnover by N. Mohammed (bad pass; steal by H. Thompson),,64-53,,
2:57.0,,,64-53,,Shooting foul by K. Hinrich (drawn by I. Canaan)
2:57.0,Chicago full timeout,,64-53,,
2:57.0,,,64-54,1,I. Canaan makes free throw 1 of 2
2:57.0,,,64-55,1,I. Canaan makes free throw 2 of 2
2:42.0,K. Hinrich misses 3-pt shot from 23 ft,,64-55,,
2:40.0,,,64-55,,Defensive rebound by J. Grant
2:32.0,,,64-57,2,R. Covington makes 2-pt shot from 1 ft (assist by T. Robinson)
2:32.0,,,64-57,,Shooting foul by T. Snell (drawn by R. Covington)
2:32.0,,,64-57,,R. Covington misses free throw 1 of 1
2:31.0,Defensive rebound by P. Gasol,,64-57,,
2:30.0,,,64-57,,Personal foul by T. Robinson (drawn by P. Gasol)
2:30.0,D. McDermott enters the game for N. Mohammed,,64-57,,
2:20.0,Shooting foul by R. Covington (drawn by T. Snell),,64-57,,
2:20.0,T. Snell makes free throw 1 of 2,1,65-57,,
2:20.0,T. Snell makes free throw 2 of 2,1,66-57,,
2:09.0,,,66-59,2,H. Thompson makes 2-pt shot from 1 ft (assist by T. Robinson)
1:53.0,T. Snell misses 3-pt shot from 24 ft,,66-59,,
1:51.0,,,66-59,,Defensive rebound by I. Canaan
1:47.0,,,66-59,,Turnover by I. Canaan (bad pass)
1:22.0,Turnover by T. Snell (bad pass; steal by T. Robinson),,66-59,,
1:13.0,,,66-59,,T. Robinson misses 2-pt shot from 4 ft
1:11.0,Defensive rebound by K. Hinrich,,66-59,,
1:08.0,D. McDermott makes 3-pt shot from 25 ft (assist by K. Hinrich),3,69-59,,
0:52.0,,,69-59,,Shooting foul by D. McDermott (drawn by J. Grant)
0:52.0,,,69-59,,J. Grant misses free throw 1 of 2
0:52.0,,,69-59,,Offensive rebound by Team
0:52.0,,,69-59,,J. Grant misses free throw 2 of 2
0:43.0,Defensive rebound by K. Hinrich,,69-59,,
0:39.0,P. Gasol misses 2-pt shot from 18 ft,,69-59,,
0:37.0,,,69-59,,Defensive rebound by T. Robinson
0:32.0,,,69-61,2,I. Canaan makes 2-pt shot from 7 ft
0:13.0,Turnover by T. Snell (lost ball; steal by J. Grant),,69-61,,
0:04.0,,,69-63,2,I. Canaan makes 2-pt shot from 1 ft
0:01.0,M. Dunleavy makes 3-pt shot from 45 ft,3,72-63,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:37.0,,,72-63,,I. Canaan misses 3-pt shot from 26 ft
11:35.0,Defensive rebound by M. Dunleavy,,72-63,,
11:13.0,E. Moore makes 2-pt shot from 2 ft (assist by M. Dunleavy),2,74-63,,
11:00.0,,,74-63,,Shooting foul by K. Hinrich (drawn by T. Robinson)
11:00.0,,,74-64,1,T. Robinson makes free throw 1 of 2
11:00.0,,,74-64,,T. Robinson misses free throw 2 of 2
11:00.0,,,74-64,,Offensive rebound by T. Robinson
10:55.0,,,74-64,,Turnover by T. Robinson (bad pass; steal by E. Moore)
10:50.0,Jump ball: R. Covington vs. N. Mirotic (I. Canaan gains possession),,,,Jump ball: R. Covington vs. N. Mirotic (I. Canaan gains possession)
10:50.0,Turnover by N. Mirotic (lost ball; steal by R. Covington),,74-64,,
10:45.0,,,74-64,,Shooting foul by M. Dunleavy (drawn by J. Grant)
10:45.0,,,74-65,1,J. Grant makes free throw 1 of 2
10:45.0,,,74-65,,J. Grant misses free throw 2 of 2
10:44.0,,,74-65,,Offensive rebound by Team
10:38.0,,,74-65,,Shooting foul by N. Mohammed (drawn by T. Robinson)
10:38.0,,,74-65,,T. Robinson misses free throw 1 of 2
10:38.0,,,74-65,,Offensive rebound by Team
10:38.0,,,74-65,,T. Robinson misses free throw 2 of 2
10:38.0,Defensive rebound by K. Hinrich,,74-65,,
10:22.0,K. Hinrich makes 2-pt shot at rim,2,76-65,,
10:22.0,,,76-65,,Philadelphia full timeout
10:22.0,,,76-65,,N. Noel enters the game for J. Grant
10:22.0,,,76-65,,I. Smith enters the game for R. Covington
10:22.0,,,76-65,,L. Mbah a Moute enters the game for T. Robinson
9:58.0,,,76-65,,I. Smith misses 2-pt shot from 6 ft
9:58.0,Defensive rebound by Team,,76-65,,
9:58.0,,,76-65,,Loose ball foul by N. Noel (drawn by N. Mirotic)
9:44.0,K. Hinrich makes 3-pt shot from 26 ft (assist by N. Mirotic),3,79-65,,
9:25.0,,,79-68,3,I. Smith makes 3-pt shot from 25 ft (assist by N. Noel)
9:08.0,N. Mirotic misses 3-pt shot from 26 ft,,79-68,,
9:06.0,Offensive rebound by E. Moore,,79-68,,
8:55.0,N. Mirotic misses 2-pt shot from 2 ft,,79-68,,
8:53.0,,,79-68,,Defensive rebound by I. Canaan
8:47.0,,,79-70,2,I. Canaan makes 2-pt shot from 3 ft
8:34.0,Offensive foul by N. Mirotic,,79-70,,
8:34.0,Turnover by N. Mirotic (offensive foul),,79-70,,
8:34.0,A. Brooks enters the game for E. Moore,,79-70,,
8:34.0,P. Gasol enters the game for N. Mohammed,,79-70,,
8:24.0,,,79-70,,I. Canaan misses 2-pt shot from 3 ft
8:22.0,Defensive rebound by P. Gasol,,79-70,,
8:01.0,A. Brooks misses 2-pt shot from 21 ft,,79-70,,
7:59.0,,,79-70,,Defensive rebound by N. Noel
7:52.0,,,79-73,3,I. Canaan makes 3-pt shot from 24 ft (assist by I. Smith)
7:51.0,Chicago full timeout,,79-73,,
7:51.0,T. Snell enters the game for N. Mirotic,,79-73,,
7:40.0,P. Gasol misses 2-pt shot from 11 ft (block by N. Noel),,79-73,,
7:37.0,,,79-73,,Defensive rebound by L. Mbah a Moute
7:27.0,,,79-75,2,I. Smith makes 2-pt shot from 5 ft
7:05.0,A. Brooks misses 2-pt shot from 18 ft,,79-75,,
7:04.0,,,79-75,,Defensive rebound by I. Smith
6:58.0,,,79-78,3,H. Thompson makes 3-pt shot from 25 ft (assist by I. Smith)
6:34.0,Shooting foul by N. Noel (drawn by A. Brooks),,79-78,,
6:34.0,A. Brooks misses free throw 1 of 2,,79-78,,
6:34.0,Offensive rebound by Team,,79-78,,
6:34.0,,,79-78,,T. Robinson enters the game for N. Noel
6:34.0,A. Brooks misses free throw 2 of 2,,79-78,,
6:33.0,Offensive rebound by P. Gasol,,79-78,,
6:29.0,T. Snell misses 3-pt shot from 27 ft,,79-78,,
6:23.0,,,79-78,,Defensive rebound by L. Mbah a Moute
6:12.0,,,79-80,2,H. Thompson makes 2-pt shot from 2 ft (assist by I. Smith)
6:11.0,Chicago full timeout,,79-80,,
6:11.0,N. Mirotic enters the game for M. Dunleavy,,79-80,,
6:11.0,E. Moore enters the game for K. Hinrich,,79-80,,
5:56.0,T. Snell misses 2-pt shot from 6 ft,,79-80,,
5:54.0,,,79-80,,Defensive rebound by T. Robinson
5:36.0,,,79-80,,H. Thompson misses 2-pt shot from 4 ft
5:35.0,,,79-80,,Offensive rebound by T. Robinson
5:35.0,,,79-80,,T. Robinson misses 2-pt shot from 2 ft
5:33.0,,,79-80,,Offensive rebound by Team
5:25.0,,,79-80,,I. Canaan misses 3-pt shot from 24 ft
5:23.0,Defensive rebound by N. Mirotic,,79-80,,
5:15.0,A. Brooks makes 2-pt shot from 1 ft,2,81-80,,
4:55.0,,,81-82,2,T. Robinson makes 2-pt shot from 1 ft (assist by I. Smith)
4:39.0,A. Brooks makes 2-pt shot from 4 ft,2,83-82,,
4:22.0,,,83-82,,Shooting foul by N. Mirotic (drawn by L. Mbah a Moute)
4:22.0,,,83-82,,L. Mbah a Moute misses free throw 1 of 2
4:22.0,,,83-82,,Offensive rebound by Team
4:22.0,,,83-82,,N. Noel enters the game for T. Robinson
4:22.0,,,83-83,1,L. Mbah a Moute makes free throw 2 of 2
4:10.0,A. Brooks makes 2-pt shot from 1 ft,2,85-83,,
4:00.0,,,85-83,,L. Mbah a Moute misses 3-pt shot from 26 ft
