time,LA Lakers,pts.away,score,pts.home,San Antonio
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,,,15-31,,A. Baynes misses 3-pt shot from 25 ft
11:45.0,Defensive rebound by E. Davis,,15-31,,
11:26.0,C. Boozer misses 2-pt shot from 18 ft,,15-31,,
11:25.0,,,15-31,,Defensive rebound by D. Green
11:19.0,,,15-31,,D. Green misses 3-pt shot from 25 ft
11:18.0,,,15-31,,Offensive rebound by A. Baynes
11:16.0,,,15-33,2,A. Baynes makes 2-pt shot from 1 ft
10:59.0,N. Young misses 3-pt shot from 24 ft,,15-33,,
10:58.0,,,15-33,,Defensive rebound by T. Splitter
10:39.0,,,15-35,2,M. Ginobili makes 2-pt shot from 2 ft (assist by C. Joseph)
10:15.0,C. Boozer makes 2-pt shot at rim,2,17-35,,
10:03.0,,,17-35,,Shooting foul by C. Boozer (drawn by T. Splitter)
10:03.0,,,17-36,1,T. Splitter makes free throw 1 of 2
10:03.0,,,17-36,,K. Leonard enters the game for M. Ginobili
10:03.0,,,17-36,,T. Parker enters the game for C. Joseph
10:03.0,,,17-36,,T. Splitter misses free throw 2 of 2
10:02.0,Defensive rebound by C. Boozer,,17-36,,
9:37.0,E. Davis makes 2-pt shot from 2 ft (assist by R. Price),2,19-36,,
9:23.0,Personal foul by W. Johnson (drawn by D. Green),,19-36,,
9:22.0,,,19-36,,Offensive foul by D. Green
9:22.0,,,19-36,,Turnover by D. Green (offensive foul)
9:08.0,Shooting foul by T. Splitter (drawn by W. Johnson),,19-36,,
9:08.0,W. Johnson misses free throw 1 of 2,,19-36,,
9:08.0,Offensive rebound by Team,,19-36,,
9:08.0,,,19-36,,T. Duncan enters the game for T. Splitter
9:08.0,,,19-36,,M. Bonner enters the game for A. Baynes
9:08.0,W. Johnson makes free throw 2 of 2,1,20-36,,
8:45.0,,,20-36,,T. Duncan misses 2-pt shot from 10 ft
8:44.0,Defensive rebound by W. Johnson,,20-36,,
8:32.0,C. Boozer misses 2-pt shot from 6 ft,,20-36,,
8:31.0,,,20-36,,Defensive rebound by M. Bonner
8:24.0,,,20-38,2,T. Duncan makes 2-pt shot from 1 ft (assist by T. Parker)
8:06.0,N. Young misses 2-pt shot at rim,,20-38,,
8:05.0,,,20-38,,Defensive rebound by T. Duncan
7:58.0,Official timeout,,20-38,,
7:58.0,Jump ball: D. Green vs. W. Johnson (M. Bonner gains possession),,,,Jump ball: D. Green vs. W. Johnson (M. Bonner gains possession)
7:54.0,,,20-38,,M. Bonner misses 2-pt shot from 13 ft
7:52.0,Defensive rebound by W. Johnson,,20-38,,
7:43.0,Shooting foul by M. Bonner (drawn by N. Young),,20-38,,
7:43.0,N. Young makes free throw 1 of 2,1,21-38,,
7:43.0,,,21-38,,B. Diaw enters the game for M. Bonner
7:43.0,N. Young makes free throw 2 of 2,1,22-38,,
7:29.0,,,22-40,2,T. Parker makes 2-pt shot from 19 ft
7:16.0,N. Young misses 3-pt shot from 25 ft,,22-40,,
7:15.0,,,22-40,,Defensive rebound by T. Duncan
7:15.0,Personal foul by E. Davis (drawn by B. Diaw),,22-40,,
7:15.0,J. Hill enters the game for C. Boozer,,22-40,,
7:05.0,,,22-42,2,T. Duncan makes 2-pt shot from 8 ft (assist by T. Parker)
7:05.0,,,22-42,,Shooting foul by J. Hill (drawn by T. Duncan)
7:05.0,,,22-42,,T. Duncan misses free throw 1 of 1
7:04.0,Defensive rebound by Team,,22-42,,
6:47.0,E. Davis makes 2-pt shot at rim (assist by W. Johnson),2,24-42,,
6:37.0,,,24-42,,Shooting foul by R. Price (drawn by T. Parker)
6:37.0,,,24-42,,T. Parker misses free throw 1 of 2
6:37.0,,,24-42,,Offensive rebound by Team
6:37.0,,,24-43,1,T. Parker makes free throw 2 of 2
6:18.0,J. Hill misses 2-pt shot from 19 ft,,24-43,,
6:17.0,,,24-43,,Defensive rebound by K. Leonard
6:09.0,Personal foul by J. Hill (drawn by T. Duncan),,24-43,,
6:09.0,,,24-44,1,T. Duncan makes free throw 1 of 2
6:09.0,J. Clarkson enters the game for N. Young,,24-44,,
6:09.0,R. Sacre enters the game for J. Hill,,24-44,,
6:09.0,W. Ellington enters the game for R. Price,,24-44,,
6:09.0,,,24-45,1,T. Duncan makes free throw 2 of 2
5:47.0,W. Johnson misses 2-pt shot from 11 ft,,24-45,,
5:46.0,,,24-45,,Defensive rebound by B. Diaw
5:33.0,,,24-45,,Shooting foul by R. Sacre (drawn by D. Green)
5:33.0,,,24-45,,San Antonio full timeout
5:33.0,R. Kelly enters the game for W. Johnson,,24-45,,
5:33.0,,,24-45,,M. Ginobili enters the game for K. Leonard
5:33.0,,,24-46,1,D. Green makes free throw 1 of 2
5:33.0,,,24-47,1,D. Green makes free throw 2 of 2
5:18.0,J. Clarkson misses 2-pt shot from 8 ft,,24-47,,
5:17.0,Offensive rebound by R. Sacre,,24-47,,
5:13.0,R. Sacre makes 2-pt shot from 2 ft,2,26-47,,
4:52.0,,,26-47,,T. Duncan misses 2-pt shot from 7 ft
4:51.0,Defensive rebound by W. Ellington,,26-47,,
4:37.0,W. Ellington makes 2-pt shot from 21 ft (assist by J. Clarkson),2,28-47,,
4:22.0,,,28-47,,Turnover by D. Green (lost ball)
4:22.0,,,28-47,,C. Joseph enters the game for T. Parker
4:22.0,,,28-47,,A. Baynes enters the game for T. Duncan
4:22.0,C. Boozer enters the game for E. Davis,,28-47,,
4:07.0,J. Clarkson makes 2-pt shot from 1 ft,2,30-47,,
3:42.0,,,30-47,,M. Ginobili misses 3-pt shot from 24 ft
3:41.0,,,30-47,,Offensive rebound by C. Joseph
3:26.0,,,30-47,,Shooting foul by R. Kelly (drawn by B. Diaw)
3:26.0,,,30-48,1,B. Diaw makes free throw 1 of 2
3:26.0,,,30-48,,K. Leonard enters the game for D. Green
3:26.0,,,30-49,1,B. Diaw makes free throw 2 of 2
3:06.0,W. Ellington misses 3-pt shot from 26 ft,,30-49,,
3:05.0,,,30-49,,Defensive rebound by M. Ginobili
2:55.0,,,30-49,,K. Leonard misses 3-pt shot from 25 ft
2:54.0,Defensive rebound by R. Kelly,,30-49,,
2:49.0,C. Boozer makes 2-pt shot from 1 ft (assist by J. Clarkson),2,32-49,,
2:38.0,,,32-51,2,M. Ginobili makes 2-pt shot from 2 ft
2:22.0,,,32-51,,Personal block foul by M. Ginobili (drawn by W. Ellington)
2:22.0,LA Lakers full timeout,,32-51,,
2:09.0,W. Ellington misses 2-pt shot from 18 ft,,32-51,,
2:08.0,,,32-51,,Defensive rebound by B. Diaw
1:53.0,,,32-53,2,K. Leonard makes 2-pt shot from 16 ft
1:38.0,W. Ellington makes 2-pt shot from 21 ft,2,34-53,,
1:30.0,Personal block foul by R. Sacre (drawn by C. Joseph),,34-53,,
1:30.0,,,34-53,,C. Joseph misses free throw 1 of 2
1:30.0,,,34-53,,Offensive rebound by Team
1:30.0,,,34-54,1,C. Joseph makes free throw 2 of 2
1:08.0,C. Boozer makes 2-pt shot from 7 ft,2,36-54,,
1:00.0,,,36-56,2,M. Ginobili makes 2-pt shot from 6 ft (assist by C. Joseph)
0:39.0,R. Kelly misses 2-pt shot from 17 ft,,36-56,,
0:38.0,Offensive rebound by W. Ellington,,36-56,,
0:30.0,Turnover by J. Clarkson (lost ball; steal by M. Ginobili),,36-56,,
0:25.0,,,36-56,,M. Ginobili misses 3-pt shot from 24 ft
0:24.0,Defensive rebound by Team,,36-56,,
0:02.0,C. Boozer makes 2-pt shot from 13 ft,2,38-56,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:44.0,,,38-56,,K. Leonard misses 2-pt shot from 18 ft
11:43.0,Defensive rebound by J. Hill,,38-56,,
11:24.0,R. Kelly makes 2-pt shot from 15 ft,2,40-56,,
11:12.0,,,40-58,2,T. Parker makes 2-pt shot from 1 ft
10:53.0,R. Kelly makes 2-pt shot from 1 ft (assist by J. Hill),2,42-58,,
10:35.0,,,42-58,,K. Leonard misses 3-pt shot from 25 ft
10:34.0,Defensive rebound by J. Clarkson,,42-58,,
10:23.0,J. Hill makes 2-pt shot from 18 ft (assist by J. Clarkson),2,44-58,,
10:09.0,,,44-58,,T. Parker misses 2-pt shot from 18 ft
10:08.0,Defensive rebound by R. Kelly,,44-58,,
9:59.0,J. Hill misses 2-pt shot from 15 ft,,44-58,,
9:58.0,Offensive rebound by R. Sacre,,44-58,,
9:51.0,R. Kelly misses 2-pt shot from 19 ft,,44-58,,
9:50.0,Offensive rebound by J. Hill,,44-58,,
9:49.0,Turnover by J. Hill (step out of bounds),,44-58,,
9:32.0,,,44-58,,T. Duncan misses 2-pt shot from 6 ft
9:31.0,Defensive rebound by Team,,44-58,,
9:19.0,W. Ellington misses 2-pt shot from 19 ft,,44-58,,
9:18.0,,,44-58,,Defensive rebound by K. Leonard
9:03.0,,,44-58,,D. Green misses 3-pt shot from 25 ft
9:02.0,Defensive rebound by R. Sacre,,44-58,,
8:51.0,Shooting foul by D. Green (drawn by R. Kelly),,44-58,,
8:51.0,R. Kelly makes free throw 1 of 2,1,45-58,,
8:51.0,R. Kelly misses free throw 2 of 2,,45-58,,
8:50.0,,,45-58,,Defensive rebound by T. Duncan
8:36.0,,,45-58,,Shooting foul by R. Kelly (drawn by T. Duncan)
8:36.0,,,45-59,1,T. Duncan makes free throw 1 of 2
8:36.0,,,45-60,1,T. Duncan makes free throw 2 of 2
8:20.0,J. Hill misses 2-pt shot from 17 ft,,45-60,,
8:19.0,Offensive rebound by Team,,45-60,,
8:19.0,,,45-60,,Loose ball foul by M. Bonner (drawn by R. Sacre)
8:11.0,Shooting foul by T. Duncan (drawn by J. Hill),,45-60,,
8:11.0,J. Hill makes free throw 1 of 2,1,46-60,,
8:11.0,J. Hill makes free throw 2 of 2,1,47-60,,
8:00.0,,,47-60,,M. Bonner misses 3-pt shot from 25 ft
7:59.0,Defensive rebound by W. Ellington,,47-60,,
7:44.0,J. Hill misses 2-pt shot from 17 ft,,47-60,,
7:43.0,,,47-60,,Defensive rebound by K. Leonard
7:34.0,,,47-60,,K. Leonard misses 2-pt shot from 3 ft
7:33.0,,,47-60,,Offensive rebound by T. Duncan
7:30.0,,,47-63,3,T. Parker makes 3-pt shot from 22 ft (assist by T. Duncan)
7:09.0,J. Clarkson misses 2-pt shot from 17 ft,,47-63,,
7:08.0,,,47-63,,Defensive rebound by K. Leonard
7:01.0,,,47-63,,Shooting foul by R. Sacre (drawn by K. Leonard)
7:01.0,,,47-64,1,K. Leonard makes free throw 1 of 2
7:01.0,,,47-64,,K. Leonard misses free throw 2 of 2
7:01.0,Defensive rebound by J. Hill,,47-64,,
6:47.0,W. Ellington makes 2-pt shot from 2 ft,2,49-64,,
6:27.0,,,49-64,,T. Parker misses 2-pt shot from 18 ft
6:26.0,Defensive rebound by R. Sacre,,49-64,,
6:10.0,R. Sacre misses 2-pt shot from 16 ft,,49-64,,
6:09.0,,,49-64,,Defensive rebound by M. Bonner
6:00.0,,,49-66,2,T. Duncan makes 2-pt shot from 6 ft (assist by T. Parker)
5:43.0,J. Hill makes 2-pt shot from 12 ft,2,51-66,,
5:43.0,,,51-66,,San Antonio full timeout
5:43.0,,,51-66,,T. Splitter enters the game for M. Bonner
5:43.0,,,51-66,,M. Ginobili enters the game for D. Green
5:43.0,C. Boozer enters the game for R. Sacre,,51-66,,
5:26.0,,,51-66,,T. Parker misses 2-pt shot from 17 ft
5:25.0,Defensive rebound by J. Hill,,51-66,,
5:06.0,C. Boozer misses 2-pt shot from 14 ft,,51-66,,
5:05.0,,,51-66,,Defensive rebound by T. Splitter
4:58.0,,,51-68,2,T. Parker makes 2-pt shot from 2 ft
4:41.0,W. Ellington misses 3-pt shot from 24 ft,,51-68,,
4:39.0,,,51-68,,Defensive rebound by K. Leonard
4:34.0,,,51-68,,K. Leonard misses 2-pt shot from 1 ft
4:34.0,Defensive rebound by Team,,51-68,,
4:34.0,,,51-68,,A. Baynes enters the game for T. Duncan
4:17.0,Shooting foul by K. Leonard (drawn by R. Kelly),,51-68,,
4:17.0,R. Kelly makes free throw 1 of 3,1,52-68,,
4:17.0,R. Kelly misses free throw 2 of 3,,52-68,,
4:17.0,Offensive rebound by Team,,52-68,,
4:17.0,R. Kelly makes free throw 3 of 3,1,53-68,,
4:00.0,,,53-71,3,K. Leonard makes 3-pt shot from 24 ft (assist by A. Baynes)
3:37.0,J. Clarkson misses 2-pt shot from 7 ft,,53-71,,
3:37.0,,,53-71,,Defensive rebound by Team
3:37.0,Loose ball foul by C. Boozer (drawn by A. Baynes),,53-71,,
3:37.0,,,53-71,,P. Mills enters the game for T. Parker
3:37.0,,,53-71,,D. Green enters the game for K. Leonard
3:37.0,E. Davis enters the game for J. Hill,,53-71,,
3:37.0,W. Johnson enters the game for R. Kelly,,53-71,,
3:37.0,N. Young enters the game for W. Ellington,,53-71,,
3:18.0,,,53-71,,Turnover by D. Green (lost ball; steal by W. Johnson)
3:14.0,J. Clarkson makes 2-pt shot from 1 ft,2,55-71,,
3:14.0,Shooting foul by M. Ginobili (drawn by J. Clarkson),,55-71,,
3:14.0,J. Clarkson makes free throw 1 of 1,1,56-71,,
3:03.0,,,56-71,,Shooting foul by W. Johnson (drawn by M. Ginobili)
3:03.0,,,56-72,1,M. Ginobili makes free throw 1 of 2
3:03.0,R. Price enters the game for J. Clarkson,,56-72,,
3:03.0,,,56-73,1,M. Ginobili makes free throw 2 of 2
2:41.0,LA Lakers full timeout,,56-73,,
2:37.0,N. Young makes 2-pt shot from 11 ft (assist by R. Price),2,58-73,,
2:25.0,,,58-73,,A. Baynes misses 2-pt shot at rim (block by E. Davis)
2:24.0,Defensive rebound by C. Boozer,,58-73,,
2:17.0,N. Young makes 3-pt shot from 23 ft (assist by R. Price),3,61-73,,
1:55.0,,,61-73,,Turnover by T. Splitter (lost ball; steal by R. Price)
1:47.0,E. Davis misses 2-pt shot from 4 ft,,61-73,,
1:46.0,,,61-73,,Defensive rebound by T. Splitter
1:39.0,,,61-73,,P. Mills misses 3-pt shot from 24 ft
1:38.0,,,61-73,,Offensive rebound by A. Baynes
1:29.0,,,61-73,,T. Splitter misses 2-pt shot from 2 ft
1:28.0,Defensive rebound by E. Davis,,61-73,,
1:18.0,R. Price misses 2-pt shot from 20 ft,,61-73,,
1:17.0,,,61-73,,Defensive rebound by T. Splitter
1:06.0,,,61-73,,Shooting foul by C. Boozer (drawn by T. Splitter)
1:06.0,,,61-74,1,T. Splitter makes free throw 1 of 2
1:06.0,,,61-74,,T. Splitter misses free throw 2 of 2
1:04.0,,,61-74,,Offensive rebound by M. Ginobili
1:01.0,,,61-74,,D. Green misses 3-pt shot from 24 ft
0:59.0,,,61-74,,Offensive rebound by Team
0:50.0,,,61-74,,P. Mills misses 2-pt shot from 18 ft
0:48.0,,,61-74,,Offensive rebound by T. Splitter
0:45.0,,,61-74,,T. Splitter misses 2-pt shot from 4 ft
0:44.0,,,61-74,,Offensive rebound by T. Splitter
0:41.0,,,61-74,,T. Splitter misses 2-pt shot from 2 ft (block by W. Johnson)
0:39.0,Defensive rebound by C. Boozer,,61-74,,
0:26.0,N. Young misses 2-pt shot from 10 ft,,61-74,,
0:25.0,,,61-74,,Defensive rebound by M. Ginobili
0:03.0,,,61-76,2,M. Ginobili makes 2-pt shot from 2 ft
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:41.0,,,61-76,,Personal foul by M. Ginobili (drawn by C. Boozer)
11:33.0,Turnover by R. Price (bad pass; steal by M. Ginobili),,61-76,,
11:13.0,,,61-76,,A. Baynes misses 2-pt shot from 1 ft
11:12.0,Defensive rebound by C. Boozer,,61-76,,
11:02.0,C. Boozer makes 2-pt shot from 17 ft (assist by R. Price),2,63-76,,
10:34.0,,,63-76,,B. Diaw misses 2-pt shot from 18 ft
10:33.0,,,63-76,,Offensive rebound by K. Leonard
10:23.0,,,63-76,,Turnover by M. Ginobili (traveling)
10:07.0,W. Johnson makes 3-pt shot from 24 ft (assist by E. Davis),3,66-76,,
9:53.0,,,66-78,2,M. Ginobili makes 2-pt shot from 1 ft
9:38.0,W. Johnson misses 2-pt shot from 7 ft,,66-78,,
9:37.0,,,66-78,,Defensive rebound by K. Leonard
9:17.0,,,66-80,2,B. Diaw makes 2-pt shot from 7 ft
9:11.0,Turnover by R. Price (lost ball; steal by P. Mills),,66-80,,
9:07.0,,,66-83,3,P. Mills makes 3-pt shot from 23 ft
9:07.0,LA Lakers full timeout,,66-83,,
9:07.0,,,66-83,,T. Splitter enters the game for A. Baynes
8:54.0,Turnover by C. Boozer (bad pass; steal by K. Leonard),,66-83,,
8:40.0,,,66-83,,Turnover by M. Ginobili (lost ball; steal by R. Price)
8:33.0,N. Young misses 2-pt shot from 4 ft,,66-83,,
8:33.0,,,66-83,,Defensive rebound by Team
8:33.0,Loose ball foul by C. Boozer (drawn by K. Leonard),,66-83,,
8:33.0,,,66-83,,C. Joseph enters the game for M. Ginobili
8:17.0,,,66-83,,C. Joseph misses 2-pt shot from 2 ft
8:16.0,,,66-83,,Offensive rebound by T. Splitter
8:16.0,,,66-83,,Turnover by T. Splitter (lost ball)
8:06.0,W. Johnson makes 2-pt shot from 16 ft (assist by R. Price),2,68-83,,
7:56.0,,,68-83,,B. Diaw misses 2-pt shot from 5 ft
7:55.0,,,68-83,,Offensive rebound by K. Leonard
7:51.0,,,68-86,3,P. Mills makes 3-pt shot from 23 ft (assist by K. Leonard)
7:36.0,C. Boozer misses 2-pt shot from 15 ft,,68-86,,
7:35.0,,,68-86,,Defensive rebound by K. Leonard
7:27.0,,,68-86,,Turnover by K. Leonard (lost ball; steal by R. Price)
7:20.0,N. Young makes 3-pt shot from 25 ft (assist by R. Price),3,71-86,,
7:07.0,,,71-86,,P. Mills misses 2-pt shot from 17 ft
7:06.0,Defensive rebound by C. Boozer,,71-86,,
6:59.0,R. Price misses 3-pt shot from 26 ft,,71-86,,
6:58.0,,,71-86,,Defensive rebound by K. Leonard
6:50.0,,,71-86,,B. Diaw misses 3-pt shot from 25 ft
6:49.0,Defensive rebound by R. Price,,71-86,,
6:39.0,W. Johnson misses 3-pt shot from 23 ft,,71-86,,
6:38.0,,,71-86,,Defensive rebound by T. Splitter
6:20.0,,,71-88,2,K. Leonard makes 2-pt shot from 9 ft
5:56.0,E. Davis misses 2-pt shot from 11 ft,,71-88,,
5:55.0,,,71-88,,Defensive rebound by K. Leonard
5:42.0,,,71-88,,B. Diaw misses 3-pt shot from 24 ft
5:41.0,Defensive rebound by C. Boozer,,71-88,,
5:32.0,R. Price misses 2-pt shot from 2 ft,,71-88,,
5:31.0,Offensive rebound by E. Davis,,71-88,,
5:31.0,E. Davis makes 2-pt shot at rim,2,73-88,,
5:29.0,,,73-88,,San Antonio full timeout
5:29.0,,,73-88,,D. Green enters the game for K. Leonard
5:29.0,J. Clarkson enters the game for C. Boozer,,73-88,,
5:29.0,R. Sacre enters the game for N. Young,,73-88,,
5:29.0,J. Hill enters the game for E. Davis,,73-88,,
5:29.0,W. Ellington enters the game for R. Price,,73-88,,
5:14.0,,,73-88,,P. Mills misses 3-pt shot from 25 ft
5:13.0,Defensive rebound by W. Johnson,,73-88,,
4:50.0,W. Ellington misses 2-pt shot from 7 ft,,73-88,,
4:49.0,Offensive rebound by R. Sacre,,73-88,,
4:47.0,R. Sacre misses 2-pt shot from 3 ft,,73-88,,
4:46.0,,,73-88,,Defensive rebound by B. Diaw
4:32.0,,,73-88,,B. Diaw misses 3-pt shot from 24 ft
4:31.0,Defensive rebound by Team,,73-88,,
4:11.0,W. Johnson misses 2-pt shot from 22 ft,,73-88,,
4:10.0,,,73-88,,Defensive rebound by T. Splitter
3:50.0,,,73-90,2,D. Green makes 2-pt shot from 19 ft (assist by C. Joseph)
3:35.0,W. Johnson misses 2-pt shot from 10 ft (block by T. Splitter),,73-90,,
3:34.0,,,73-90,,Defensive rebound by P. Mills
3:31.0,,,73-90,,Shooting foul by J. Clarkson (drawn by C. Joseph)
3:31.0,,,73-91,1,C. Joseph makes free throw 1 of 2
3:31.0,,,73-91,,J. Ayres enters the game for T. Splitter
3:31.0,,,73-91,,J. Green enters the game for P. Mills
3:31.0,,,73-92,1,C. Joseph makes free throw 2 of 2
3:21.0,Shooting foul by C. Joseph (drawn by J. Clarkson),,73-92,,
3:21.0,J. Clarkson misses free throw 1 of 2,,73-92,,
3:21.0,Offensive rebound by Team,,73-92,,
3:21.0,,,73-92,,M. Bonner enters the game for D. Green
3:21.0,J. Clarkson misses free throw 2 of 2,,73-92,,
3:20.0,,,73-92,,Defensive rebound by J. Green
3:06.0,,,73-92,,Turnover by J. Green (traveling)
