time,LA Clippers,pts.away,score,pts.home,Brooklyn
6:22.0,,,6-4,,J. Johnson misses 2-pt shot from 5 ft
6:21.0,Defensive rebound by D. Jordan,,6-4,,
6:12.0,J. Crawford misses 3-pt shot from 24 ft,,6-4,,
6:11.0,Offensive rebound by Team,,6-4,,
6:10.0,,,6-4,,D. Williams enters the game for A. Anderson
6:06.0,B. Griffin makes 2-pt shot from 5 ft (assist by C. Paul),2,8-4,,
5:59.0,,,8-4,,Offensive foul by D. Williams
5:59.0,,,8-4,,Turnover by D. Williams (offensive foul)
5:59.0,,,8-4,,C. Jefferson enters the game for M. Plumlee
5:41.0,M. Barnes misses 3-pt shot from 23 ft,,8-4,,
5:40.0,,,8-4,,Defensive rebound by J. Jack
5:32.0,,,8-6,2,B. Lopez makes 2-pt shot from 5 ft (assist by J. Johnson)
5:25.0,,,8-6,,Personal foul by C. Jefferson (drawn by D. Jordan)
5:25.0,D. Jordan misses free throw 1 of 2,,8-6,,
5:25.0,Offensive rebound by Team,,8-6,,
5:25.0,D. Jordan misses free throw 2 of 2,,8-6,,
5:23.0,Offensive rebound by J. Crawford,,8-6,,
5:09.0,Turnover by D. Jordan (bad pass; steal by B. Lopez),,8-6,,
5:04.0,,,8-9,3,D. Williams makes 3-pt shot from 23 ft (assist by J. Johnson)
4:54.0,Shooting foul by C. Jefferson (drawn by D. Jordan),,8-9,,
4:54.0,D. Jordan makes 2-pt shot from 2 ft (assist by B. Griffin),2,10-9,,
4:54.0,D. Jordan makes free throw 1 of 1,1,11-9,,
4:47.0,Personal foul by J. Crawford (drawn by D. Williams),,11-9,,
4:39.0,,,11-9,,J. Jack misses 3-pt shot from 24 ft
4:38.0,Defensive rebound by J. Crawford,,11-9,,
4:34.0,J. Crawford makes 2-pt shot from 18 ft,2,13-9,,
4:18.0,,,13-9,,C. Jefferson misses 2-pt shot from 20 ft
4:17.0,Defensive rebound by J. Crawford,,13-9,,
4:15.0,B. Griffin makes 2-pt shot at rim (assist by J. Crawford),2,15-9,,
4:13.0,,,15-9,,Brooklyn full timeout
4:00.0,,,15-11,2,J. Johnson makes 2-pt shot from 18 ft
3:43.0,J. Crawford misses 2-pt shot from 20 ft,,15-11,,
3:42.0,Offensive rebound by Team,,15-11,,
3:40.0,Offensive foul by J. Crawford,,15-11,,
3:40.0,Turnover by J. Crawford (offensive foul),,15-11,,
3:28.0,,,15-11,,Turnover by C. Jefferson (lost ball; steal by C. Paul)
3:19.0,Turnover by C. Paul (bad pass; steal by J. Jack),,15-11,,
3:15.0,,,15-13,2,J. Johnson makes 2-pt shot from 1 ft (assist by J. Jack)
3:02.0,C. Paul makes 3-pt shot from 23 ft,3,18-13,,
2:50.0,,,18-13,,B. Lopez misses 2-pt shot from 19 ft
2:49.0,Defensive rebound by D. Jordan,,18-13,,
2:39.0,Turnover by D. Jordan (offensive goaltending),,18-13,,
2:39.0,S. Hawes enters the game for B. Griffin,,18-13,,
2:30.0,,,18-13,,Turnover by J. Jack (bad pass; steal by C. Paul)
2:26.0,Turnover by C. Paul (bad pass),,18-13,,
2:26.0,A. Rivers enters the game for C. Paul,,18-13,,
2:16.0,,,18-13,,D. Williams misses 3-pt shot from 24 ft
2:15.0,Defensive rebound by S. Hawes,,18-13,,
2:02.0,J. Crawford misses 2-pt shot from 14 ft,,18-13,,
1:59.0,Offensive rebound by J. Crawford,,18-13,,
1:54.0,D. Jordan makes 2-pt shot at rim (assist by J. Crawford),2,20-13,,
1:40.0,,,20-15,2,B. Lopez makes 2-pt shot from 6 ft (assist by J. Johnson)
1:21.0,A. Rivers makes 2-pt shot from 5 ft (assist by M. Barnes),2,22-15,,
1:02.0,,,22-17,2,B. Lopez makes 2-pt shot from 8 ft (assist by J. Johnson)
0:48.0,J. Crawford misses 2-pt shot from 18 ft,,22-17,,
0:47.0,,,22-17,,Defensive rebound by J. Jack
0:39.0,,,22-20,3,J. Johnson makes 3-pt shot from 24 ft (assist by J. Jack)
0:30.0,J. Crawford misses 2-pt shot from 18 ft,,22-20,,
0:29.0,,,22-20,,Defensive rebound by C. Jefferson
0:13.0,Personal foul by S. Hawes (drawn by J. Johnson),,22-20,,
0:13.0,G. Davis enters the game for D. Jordan,,22-20,,
0:13.0,D. Jones enters the game for J. Crawford,,22-20,,
0:03.0,,,22-22,2,J. Jack makes 2-pt shot from 5 ft
0:01.0,D. Jones misses 2-pt shot from 13 ft,,22-22,,
0:00.0,Offensive rebound by Team,,22-22,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:43.0,G. Davis makes 2-pt shot from 6 ft (assist by A. Rivers),2,24-22,,
11:19.0,,,24-22,,B. Lopez misses 2-pt shot from 12 ft
11:18.0,Defensive rebound by H. Turkoglu,,24-22,,
11:05.0,J. Crawford makes 2-pt shot from 6 ft,2,26-22,,
10:42.0,,,26-22,,Turnover by C. Jefferson (3 sec)
10:28.0,J. Crawford misses 2-pt shot from 2 ft,,26-22,,
10:27.0,,,26-22,,Defensive rebound by Team
10:10.0,,,26-24,2,B. Bogdanovic makes 2-pt shot from 8 ft
9:46.0,G. Davis misses 2-pt shot from 2 ft,,26-24,,
9:45.0,,,26-24,,Defensive rebound by D. Morris
9:36.0,,,26-24,,B. Bogdanovic misses 2-pt shot from 1 ft (block by S. Hawes)
9:35.0,Defensive rebound by H. Turkoglu,,26-24,,
9:22.0,H. Turkoglu misses 3-pt shot from 25 ft,,26-24,,
9:21.0,,,26-24,,Defensive rebound by C. Jefferson
9:05.0,,,26-26,2,B. Lopez makes 2-pt shot from 4 ft (assist by D. Williams)
8:51.0,J. Crawford misses 2-pt shot from 7 ft,,26-26,,
8:50.0,Offensive rebound by G. Davis,,26-26,,
8:47.0,G. Davis misses 2-pt shot from 1 ft,,26-26,,
8:46.0,,,26-26,,Defensive rebound by B. Lopez
8:40.0,,,26-26,,Turnover by D. Williams (bad pass)
8:40.0,Official timeout,,26-26,,
8:40.0,C. Paul enters the game for J. Crawford,,26-26,,
8:40.0,,,26-26,,A. Anderson enters the game for D. Williams
8:40.0,,,26-26,,K. Garnett enters the game for C. Jefferson
8:15.0,H. Turkoglu misses 3-pt shot from 27 ft,,26-26,,
8:14.0,,,26-26,,Defensive rebound by B. Lopez
7:58.0,,,26-28,2,K. Garnett makes 2-pt shot from 16 ft (assist by B. Bogdanovic)
7:45.0,G. Davis makes 2-pt shot from 2 ft (assist by C. Paul),2,28-28,,
7:32.0,,,28-28,,Turnover by B. Bogdanovic (lost ball; steal by H. Turkoglu)
7:24.0,H. Turkoglu makes 3-pt shot from 24 ft (assist by A. Rivers),3,31-28,,
7:07.0,Personal foul by G. Davis (drawn by B. Lopez),,31-28,,
7:07.0,D. Jordan enters the game for S. Hawes,,31-28,,
7:07.0,B. Griffin enters the game for G. Davis,,31-28,,
6:55.0,,,31-28,,B. Lopez misses 2-pt shot from 3 ft
6:54.0,Defensive rebound by H. Turkoglu,,31-28,,
6:44.0,,,31-28,,Personal foul by K. Garnett (drawn by B. Griffin)
6:44.0,,,31-28,,J. Jack enters the game for D. Morris
6:31.0,C. Paul misses 2-pt shot from 17 ft,,31-28,,
6:30.0,,,31-28,,Defensive rebound by K. Garnett
6:22.0,,,31-30,2,B. Lopez makes 2-pt shot from 12 ft (assist by J. Jack)
6:04.0,B. Griffin misses 2-pt shot from 16 ft,,31-30,,
6:04.0,,,31-30,,Defensive rebound by J. Jack
6:04.0,Personal foul by B. Griffin (drawn by K. Garnett),,31-30,,
6:04.0,M. Barnes enters the game for H. Turkoglu,,31-30,,
5:50.0,,,31-32,2,B. Lopez makes 2-pt shot from 18 ft (assist by A. Anderson)
5:42.0,Turnover by C. Paul (bad pass),,31-32,,
5:42.0,,,31-32,,Brooklyn full timeout
5:42.0,J. Crawford enters the game for A. Rivers,,31-32,,
5:17.0,,,31-32,,A. Anderson misses 3-pt shot from 24 ft
5:16.0,Defensive rebound by C. Paul,,31-32,,
5:14.0,,,31-32,,Personal foul by A. Anderson (drawn by B. Griffin)
5:05.0,,,31-32,,Personal foul by J. Jack (drawn by C. Paul)
4:52.0,Turnover by Team (shot clock),,31-32,,
4:39.0,,,31-32,,Turnover by K. Garnett (offensive foul)
4:39.0,,,31-32,,Offensive foul by K. Garnett
4:39.0,,,31-32,,M. Plumlee enters the game for K. Garnett
4:39.0,,,31-32,,J. Johnson enters the game for B. Bogdanovic
4:23.0,M. Barnes misses 3-pt shot from 24 ft,,31-32,,
4:22.0,,,31-32,,Defensive rebound by J. Jack
4:15.0,,,31-32,,J. Jack misses 2-pt shot from 2 ft
4:14.0,Defensive rebound by D. Jordan,,31-32,,
4:09.0,J. Crawford misses 2-pt shot from 17 ft,,31-32,,
4:07.0,,,31-32,,Defensive rebound by B. Lopez
3:51.0,,,31-34,2,B. Lopez makes 2-pt shot from 9 ft
3:43.0,B. Griffin misses 2-pt shot from 3 ft,,31-34,,
3:42.0,,,31-34,,Defensive rebound by J. Johnson
3:36.0,,,31-34,,J. Johnson misses 2-pt shot from 4 ft
3:35.0,Defensive rebound by C. Paul,,31-34,,
3:32.0,Shooting foul by B. Lopez (drawn by B. Griffin),,31-34,,
3:32.0,B. Griffin misses free throw 1 of 2,,31-34,,
3:32.0,Offensive rebound by Team,,31-34,,
3:32.0,B. Griffin makes free throw 2 of 2,1,32-34,,
3:13.0,,,32-36,2,B. Lopez makes 2-pt shot at rim
2:58.0,M. Barnes makes 2-pt shot from 2 ft (assist by B. Griffin),2,34-36,,
2:30.0,,,34-38,2,B. Lopez makes 2-pt shot from 19 ft (assist by J. Jack)
2:14.0,J. Crawford misses 3-pt shot from 23 ft,,34-38,,
2:13.0,,,34-38,,Defensive rebound by J. Jack
2:08.0,,,34-38,,M. Plumlee misses 2-pt shot from 1 ft
2:07.0,Defensive rebound by C. Paul,,34-38,,
1:51.0,C. Paul misses 2-pt shot from 16 ft,,34-38,,
1:50.0,,,34-38,,Defensive rebound by J. Jack
1:40.0,,,34-38,,B. Lopez misses 2-pt shot from 18 ft
1:39.0,Defensive rebound by B. Griffin,,34-38,,
1:36.0,LA Clippers full timeout,,34-38,,
1:36.0,,,34-38,,J. Jordan enters the game for B. Lopez
1:19.0,C. Paul misses 3-pt shot from 28 ft,,34-38,,
1:16.0,,,34-38,,Defensive rebound by Team
0:58.0,,,34-38,,Shooting foul by B. Griffin (drawn by M. Plumlee)
0:58.0,,,34-38,,M. Plumlee misses free throw 1 of 2
0:58.0,,,34-38,,Offensive rebound by Team
0:58.0,A. Rivers enters the game for J. Crawford,,34-38,,
0:58.0,S. Hawes enters the game for B. Griffin,,34-38,,
0:58.0,,,34-38,,M. Plumlee misses free throw 2 of 2
0:58.0,Defensive rebound by D. Jordan,,34-38,,
0:44.0,Turnover by M. Barnes (lost ball; steal by J. Johnson),,34-38,,
0:35.0,,,34-38,,A. Anderson misses 3-pt shot from 22 ft
0:34.0,Defensive rebound by M. Barnes,,34-38,,
0:16.0,C. Paul makes 2-pt shot from 2 ft,2,36-38,,
0:03.0,,,36-38,,J. Jack misses 2-pt shot from 18 ft
0:01.0,Defensive rebound by C. Paul,,36-38,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:38.0,M. Barnes makes 3-pt shot from 24 ft (assist by B. Griffin),3,39-38,,
11:24.0,,,39-38,,Turnover by M. Plumlee (lost ball; steal by C. Paul)
11:19.0,M. Barnes makes 2-pt shot from 1 ft,2,41-38,,
10:57.0,,,41-38,,J. Johnson misses 3-pt shot from 24 ft
10:56.0,,,41-38,,Offensive rebound by M. Plumlee
10:55.0,,,41-40,2,M. Plumlee makes 2-pt shot at rim
10:36.0,D. Jordan makes 2-pt shot at rim (assist by B. Griffin),2,43-40,,
10:18.0,,,43-40,,B. Lopez misses 2-pt shot from 8 ft
10:17.0,Defensive rebound by D. Jordan,,43-40,,
10:07.0,B. Griffin makes 2-pt shot from 19 ft (assist by C. Paul),2,45-40,,
10:05.0,,,45-40,,Brooklyn full timeout
9:52.0,,,45-40,,J. Jack misses 2-pt shot from 18 ft
9:51.0,,,45-40,,Offensive rebound by M. Plumlee
9:51.0,,,45-40,,Offensive foul by M. Plumlee
9:51.0,,,45-40,,Turnover by M. Plumlee (offensive foul)
9:28.0,C. Paul makes 2-pt shot from 13 ft,2,47-40,,
9:04.0,,,47-40,,Shooting foul by C. Paul (drawn by M. Plumlee)
9:04.0,,,47-41,1,M. Plumlee makes free throw 1 of 2
9:04.0,,,47-42,1,M. Plumlee makes free throw 2 of 2
8:55.0,B. Griffin misses 2-pt shot from 18 ft,,47-42,,
8:54.0,,,47-42,,Defensive rebound by M. Plumlee
8:47.0,Personal foul by M. Barnes (drawn by M. Plumlee),,47-42,,
8:40.0,,,47-42,,Shooting foul by D. Jordan (drawn by M. Plumlee)
8:40.0,,,47-42,,M. Plumlee misses free throw 1 of 2
8:40.0,,,47-42,,Offensive rebound by Team
8:40.0,,,47-42,,M. Plumlee misses free throw 2 of 2
8:39.0,Defensive rebound by B. Griffin,,47-42,,
8:21.0,Turnover by B. Griffin (traveling),,47-42,,
8:17.0,,,47-42,,Offensive foul by M. Plumlee
8:17.0,,,47-42,,Turnover by M. Plumlee (offensive foul)
8:10.0,C. Paul makes 2-pt shot from 15 ft,2,49-42,,
7:50.0,,,49-44,2,J. Johnson makes 2-pt shot from 2 ft
7:37.0,J. Crawford makes 2-pt shot from 19 ft (assist by C. Paul),2,51-44,,
7:37.0,Shooting foul by J. Jack (drawn by J. Crawford),,51-44,,
7:37.0,,,51-44,,D. Williams enters the game for A. Anderson
7:37.0,J. Crawford makes free throw 1 of 1,1,52-44,,
7:21.0,,,52-44,,B. Lopez misses 2-pt shot from 8 ft
7:20.0,,,52-44,,Offensive rebound by M. Plumlee
7:19.0,,,52-46,2,M. Plumlee makes 2-pt shot at rim
6:57.0,J. Crawford makes 3-pt shot from 23 ft (assist by B. Griffin),3,55-46,,
6:41.0,,,55-48,2,M. Plumlee makes 2-pt shot from 2 ft (assist by D. Williams)
6:26.0,Shooting foul by D. Williams (drawn by J. Crawford),,55-48,,
6:26.0,J. Crawford makes free throw 1 of 2,1,56-48,,
6:26.0,,,56-48,,K. Garnett enters the game for M. Plumlee
6:26.0,J. Crawford misses free throw 2 of 2,,56-48,,
6:25.0,,,56-48,,Defensive rebound by K. Garnett
6:11.0,,,56-50,2,B. Lopez makes 2-pt shot from 6 ft (assist by K. Garnett)
5:58.0,C. Paul misses 2-pt shot from 14 ft,,56-50,,
5:57.0,,,56-50,,Defensive rebound by D. Williams
5:49.0,,,56-50,,K. Garnett misses 2-pt shot from 8 ft
5:48.0,Defensive rebound by D. Jordan,,56-50,,
5:41.0,J. Crawford misses 3-pt shot from 23 ft,,56-50,,
5:40.0,,,56-50,,Defensive rebound by K. Garnett
5:19.0,,,56-50,,J. Jack misses 2-pt shot from 11 ft
5:17.0,,,56-50,,Offensive rebound by K. Garnett
5:17.0,,,56-52,2,K. Garnett makes 2-pt shot from 1 ft
5:16.0,LA Clippers full timeout,,56-52,,
4:52.0,J. Crawford makes 3-pt shot from 23 ft (assist by B. Griffin),3,59-52,,
4:38.0,,,59-52,,B. Lopez misses 2-pt shot from 9 ft
4:37.0,Defensive rebound by D. Jordan,,59-52,,
4:26.0,C. Paul misses 2-pt shot from 15 ft,,59-52,,
4:25.0,,,59-52,,Defensive rebound by B. Lopez
4:12.0,Personal foul by B. Griffin (drawn by B. Lopez),,59-52,,
4:12.0,S. Hawes enters the game for B. Griffin,,59-52,,
4:10.0,,,59-52,,K. Garnett misses 2-pt shot at rim
4:09.0,Defensive rebound by C. Paul,,59-52,,
4:03.0,S. Hawes misses 2-pt shot at rim,,59-52,,
4:02.0,,,59-52,,Defensive rebound by K. Garnett
3:59.0,,,59-52,,Shooting foul by C. Paul (drawn by D. Williams)
3:59.0,,,59-53,1,D. Williams makes free throw 1 of 2
3:59.0,,,59-54,1,D. Williams makes free throw 2 of 2
3:43.0,J. Crawford misses 2-pt shot from 14 ft,,59-54,,
3:42.0,,,59-54,,Defensive rebound by Team
3:42.0,,,59-54,,B. Bogdanovic enters the game for K. Garnett
3:30.0,Personal foul by J. Crawford (drawn by J. Johnson),,59-54,,
3:30.0,,,59-55,1,J. Johnson makes free throw 1 of 2
3:30.0,,,59-56,1,J. Johnson makes free throw 2 of 2
3:04.0,C. Paul makes 3-pt shot from 25 ft,3,62-56,,
2:49.0,,,62-59,3,B. Bogdanovic makes 3-pt shot from 24 ft
2:41.0,,,62-59,,Personal foul by B. Bogdanovic (drawn by S. Hawes)
2:41.0,A. Rivers enters the game for J. Crawford,,62-59,,
2:32.0,S. Hawes misses 2-pt shot from 2 ft,,62-59,,
2:31.0,Offensive rebound by D. Jordan,,62-59,,
2:30.0,D. Jordan misses 2-pt shot from 1 ft,,62-59,,
2:29.0,Offensive rebound by D. Jordan,,62-59,,
2:28.0,D. Jordan misses 2-pt shot from 1 ft,,62-59,,
2:25.0,Offensive rebound by D. Jordan,,62-59,,
2:25.0,D. Jordan misses 2-pt shot at rim,,62-59,,
2:25.0,,,62-59,,Defensive rebound by B. Lopez
2:10.0,,,62-61,2,J. Jack makes 2-pt shot from 20 ft (assist by D. Williams)
1:50.0,A. Rivers makes 3-pt shot from 23 ft (assist by C. Paul),3,65-61,,
1:30.0,,,65-64,3,B. Bogdanovic makes 3-pt shot from 24 ft
1:11.0,M. Barnes misses 2-pt shot from 3 ft,,65-64,,
1:09.0,Offensive rebound by D. Jordan,,65-64,,
1:08.0,D. Jordan makes 2-pt shot at rim,2,67-64,,
0:53.0,,,67-67,3,J. Johnson makes 3-pt shot from 24 ft (assist by B. Bogdanovic)
0:44.0,,,67-67,,Personal foul by J. Jack (drawn by C. Paul)
0:44.0,J. Crawford enters the game for C. Paul,,67-67,,
0:37.0,Turnover by D. Jordan (lost ball; steal by J. Jack),,67-67,,
0:29.0,,,67-70,3,D. Williams makes 3-pt shot from 25 ft (assist by J. Johnson)
0:18.0,A. Rivers misses 2-pt shot from 8 ft,,67-70,,
0:17.0,Offensive rebound by D. Jordan,,67-70,,
0:16.0,D. Jordan makes 2-pt shot from 1 ft,2,69-70,,
0:16.0,Shooting foul by B. Bogdanovic (drawn by D. Jordan),,69-70,,
0:16.0,D. Jones enters the game for J. Crawford,,69-70,,
0:16.0,H. Turkoglu enters the game for S. Hawes,,69-70,,
0:16.0,D. Jordan misses free throw 1 of 1,,69-70,,
0:15.0,Offensive rebound by M. Barnes,,69-70,,
0:14.0,M. Barnes makes 2-pt shot from 1 ft,2,71-70,,
0:04.0,,,71-70,,Turnover by D. Williams (bad pass)
0:04.0,C. Paul enters the game for D. Jordan,,71-70,,
0:04.0,,,71-70,,D. Morris enters the game for B. Lopez
0:04.0,J. Crawford enters the game for D. Jones,,71-70,,
0:03.0,,,71-70,,Personal foul by J. Jack (drawn by C. Paul)
0:03.0,C. Paul misses free throw 1 of 2,,71-70,,
0:03.0,Offensive rebound by Team,,71-70,,
0:03.0,,,71-70,,M. Brown enters the game for J. Jack
0:03.0,,,71-70,,B. Lopez enters the game for D. Morris
0:03.0,D. Jordan enters the game for H. Turkoglu,,71-70,,
0:03.0,D. Jones enters the game for J. Crawford,,71-70,,
0:03.0,C. Paul makes free throw 2 of 2,1,72-70,,
0:01.0,,,72-70,,Offensive charge foul by D. Williams
0:01.0,,,72-70,,Turnover by D. Williams (offensive foul)
0:01.0,J. Crawford enters the game for D. Jones,,72-70,,
0:01.0,H. Turkoglu enters the game for D. Jordan,,72-70,,
0:01.0,,,72-70,,D. Morris enters the game for B. Lopez
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:44.0,,,72-72,2,D. Williams makes 2-pt shot from 2 ft
11:23.0,A. Rivers misses 2-pt shot from 9 ft,,72-72,,
11:22.0,,,72-72,,Defensive rebound by K. Garnett
11:09.0,,,72-72,,D. Morris misses 3-pt shot from 23 ft
11:07.0,Defensive rebound by B. Griffin,,72-72,,
10:56.0,J. Crawford makes 2-pt shot from 18 ft,2,74-72,,
10:39.0,,,74-72,,B. Bogdanovic misses 3-pt shot from 24 ft
10:38.0,Defensive rebound by A. Rivers,,74-72,,
10:23.0,S. Hawes makes 3-pt shot from 23 ft (assist by J. Crawford),3,77-72,,
10:03.0,,,77-72,,B. Bogdanovic misses 3-pt shot from 24 ft
10:02.0,,,77-72,,Offensive rebound by K. Garnett
9:59.0,,,77-75,3,B. Bogdanovic makes 3-pt shot from 23 ft (assist by D. Morris)
9:59.0,Away from play foul by H. Turkoglu (drawn by K. Garnett),,77-75,,
9:59.0,,,77-75,,J. Johnson enters the game for D. Morris
9:59.0,,,77-75,,K. Garnett misses free throw 1 of 1
9:58.0,Defensive rebound by H. Turkoglu,,77-75,,
9:41.0,J. Crawford makes 2-pt shot from 11 ft,2,79-75,,
9:27.0,Personal foul by H. Turkoglu (drawn by J. Johnson),,79-75,,
9:27.0,M. Barnes enters the game for H. Turkoglu,,79-75,,
9:19.0,,,79-75,,Turnover by J. Johnson (lost ball; steal by B. Griffin)
9:15.0,Shooting foul by B. Bogdanovic (drawn by M. Barnes),,79-75,,
9:15.0,M. Barnes makes free throw 1 of 2,1,80-75,,
9:15.0,,,80-75,,J. Jack enters the game for M. Plumlee
9:15.0,M. Barnes misses free throw 2 of 2,,80-75,,
9:14.0,,,80-75,,Defensive rebound by K. Garnett
8:50.0,,,80-75,,D. Williams misses 3-pt shot from 24 ft
8:49.0,Defensive rebound by S. Hawes,,80-75,,
8:33.0,J. Crawford misses 2-pt shot from 19 ft,,80-75,,
8:32.0,Offensive rebound by B. Griffin,,80-75,,
8:31.0,B. Griffin makes 2-pt shot from 1 ft,2,82-75,,
8:12.0,,,82-75,,Turnover by J. Jack (discontinued dribble)
8:12.0,Official timeout,,82-75,,
8:12.0,C. Paul enters the game for S. Hawes,,82-75,,
8:01.0,C. Paul makes 2-pt shot from 2 ft,2,84-75,,
7:45.0,,,84-75,,B. Bogdanovic misses 3-pt shot from 24 ft
7:44.0,Defensive rebound by M. Barnes,,84-75,,
7:28.0,J. Crawford misses 3-pt shot from 26 ft,,84-75,,
7:27.0,Offensive rebound by J. Crawford,,84-75,,
7:17.0,Turnover by J. Crawford (lost ball),,84-75,,
7:17.0,,,84-75,,B. Lopez enters the game for K. Garnett
7:07.0,,,84-77,2,B. Lopez makes 2-pt shot from 3 ft
6:46.0,M. Barnes misses 3-pt shot from 23 ft,,84-77,,
6:44.0,,,84-77,,Defensive rebound by D. Williams
6:37.0,Personal foul by B. Griffin (drawn by B. Lopez),,84-77,,
6:37.0,D. Jordan enters the game for A. Rivers,,84-77,,
6:27.0,,,84-77,,B. Bogdanovic misses 3-pt shot from 24 ft
6:26.0,Defensive rebound by D. Jordan,,84-77,,
6:21.0,B. Griffin makes 2-pt shot from 1 ft (assist by C. Paul),2,86-77,,
6:07.0,,,86-79,2,D. Williams makes 2-pt shot from 1 ft
6:05.0,,,86-79,,Personal foul by D. Williams (drawn by C. Paul)
5:47.0,J. Crawford misses 3-pt shot from 23 ft,,86-79,,
5:46.0,Offensive rebound by D. Jordan,,86-79,,
5:45.0,D. Jordan makes 2-pt shot at rim,2,88-79,,
5:30.0,,,88-79,,D. Williams misses 2-pt shot from 17 ft
5:29.0,Defensive rebound by D. Jordan,,88-79,,
5:17.0,D. Jordan makes 2-pt shot at rim (assist by C. Paul),2,90-79,,
5:16.0,,,90-79,,Brooklyn full timeout
5:16.0,,,90-79,,M. Plumlee enters the game for B. Bogdanovic
5:00.0,,,90-81,2,J. Johnson makes 2-pt shot from 20 ft
4:37.0,M. Barnes misses 3-pt shot from 24 ft,,90-81,,
4:36.0,,,90-81,,Defensive rebound by M. Plumlee
4:25.0,,,90-81,,B. Lopez misses 2-pt shot from 9 ft
4:24.0,Defensive rebound by B. Griffin,,90-81,,
