time,Cleveland,pts.away,score,pts.home,Dallas
8:55.0,,,7-10,,Turnover by D. Nowitzki (lost ball; steal by K. Irving)
8:47.0,K. Love misses 3-pt shot from 25 ft,,7-10,,
8:45.0,Offensive rebound by T. Mozgov,,7-10,,
8:45.0,T. Mozgov makes 2-pt shot at rim,2,9-10,,
8:28.0,,,9-10,,R. Rondo misses 3-pt shot from 23 ft
8:26.0,Defensive rebound by T. Mozgov,,9-10,,
8:18.0,K. Love misses 3-pt shot from 24 ft,,9-10,,
8:17.0,Offensive rebound by J. Smith,,9-10,,
8:10.0,T. Mozgov makes 2-pt shot from 1 ft (assist by J. Smith),2,11-10,,
7:50.0,,,11-10,,M. Ellis misses 2-pt shot from 14 ft
7:49.0,Defensive rebound by K. Love,,11-10,,
7:41.0,L. James makes 2-pt shot at rim,2,13-10,,
7:25.0,,,13-10,,D. Nowitzki misses 2-pt shot from 19 ft
7:24.0,Defensive rebound by J. Smith,,13-10,,
7:15.0,J. Smith makes 3-pt shot from 24 ft (assist by K. Irving),3,16-10,,
7:14.0,,,16-10,,Dallas full timeout
7:14.0,,,16-10,,A. Aminu enters the game for D. Nowitzki
6:58.0,,,16-10,,A. Aminu misses 2-pt shot from 3 ft
6:55.0,,,16-10,,Offensive rebound by T. Chandler
6:47.0,,,16-10,,Turnover by A. Aminu (step out of bounds)
6:36.0,L. James makes 2-pt shot from 2 ft (assist by K. Love),2,18-10,,
6:07.0,,,18-12,2,C. Parsons makes 2-pt shot from 6 ft (assist by R. Rondo)
6:02.0,Shooting foul by A. Aminu (drawn by K. Irving),,18-12,,
6:02.0,K. Irving makes free throw 1 of 2,1,19-12,,
6:02.0,K. Irving makes free throw 2 of 2,1,20-12,,
5:45.0,,,20-12,,M. Ellis misses 2-pt shot from 3 ft
5:42.0,Defensive rebound by K. Love,,20-12,,
5:32.0,K. Love misses 2-pt shot from 7 ft,,20-12,,
5:30.0,,,20-12,,Defensive rebound by R. Rondo
5:26.0,,,20-12,,R. Rondo misses 2-pt shot from 2 ft
5:24.0,Defensive rebound by K. Love,,20-12,,
5:24.0,Turnover by K. Love (lost ball; steal by R. Rondo),,20-12,,
5:24.0,Loose ball foul by K. Love (drawn by R. Rondo),,20-12,,
5:24.0,I. Shumpert enters the game for L. James,,20-12,,
5:19.0,,,20-12,,C. Parsons misses 3-pt shot from 25 ft
5:18.0,Defensive rebound by K. Love,,20-12,,
5:12.0,Turnover by K. Love (bad pass; steal by T. Chandler),,20-12,,
5:12.0,Loose ball foul by J. Smith (drawn by T. Chandler),,20-12,,
5:01.0,,,20-14,2,M. Ellis makes 2-pt shot from 15 ft
4:40.0,I. Shumpert misses 2-pt shot from 20 ft,,20-14,,
4:38.0,,,20-14,,Defensive rebound by A. Aminu
4:32.0,,,20-14,,A. Aminu misses 2-pt shot from 1 ft (block by T. Mozgov)
4:31.0,,,20-14,,Offensive rebound by T. Chandler
4:31.0,,,20-14,,Shooting foul by I. Shumpert (drawn by T. Chandler)
4:31.0,,,20-15,1,T. Chandler makes free throw 1 of 2
4:31.0,,,20-16,1,T. Chandler makes free throw 2 of 2
4:11.0,Shooting foul by T. Chandler (drawn by T. Mozgov),,20-16,,
4:11.0,T. Mozgov misses free throw 1 of 2,,20-16,,
4:11.0,Offensive rebound by Team,,20-16,,
4:11.0,,,20-16,,A. Stoudemire enters the game for T. Chandler
4:11.0,T. Mozgov makes free throw 2 of 2,1,21-16,,
4:00.0,,,21-16,,A. Aminu misses 2-pt shot from 8 ft
3:59.0,Defensive rebound by K. Love,,21-16,,
3:51.0,J. Smith misses 2-pt shot from 21 ft,,21-16,,
3:49.0,,,21-16,,Defensive rebound by A. Aminu
3:48.0,Loose ball foul by J. Smith (drawn by A. Aminu),,21-16,,
3:48.0,,,21-16,,D. Nowitzki enters the game for C. Parsons
3:48.0,,,21-16,,D. Harris enters the game for R. Rondo
3:48.0,M. Dellavedova enters the game for T. Mozgov,,21-16,,
3:48.0,T. Thompson enters the game for J. Smith,,21-16,,
3:35.0,,,21-18,2,D. Nowitzki makes 2-pt shot from 3 ft (assist by M. Ellis)
3:35.0,,,21-18,,Shooting foul by T. Thompson (drawn by D. Nowitzki)
3:35.0,,,21-19,1,D. Nowitzki makes free throw 1 of 1
3:18.0,Turnover by T. Thompson (3 sec),,21-19,,
3:06.0,,,21-21,2,M. Ellis makes 2-pt shot from 6 ft
2:46.0,K. Love misses 2-pt shot from 3 ft,,21-21,,
2:43.0,,,21-21,,Defensive rebound by D. Nowitzki
2:31.0,,,21-21,,D. Nowitzki misses 3-pt shot from 24 ft
2:30.0,,,21-21,,Offensive rebound by A. Stoudemire
2:30.0,,,21-23,2,A. Stoudemire makes 2-pt shot from 1 ft
2:29.0,Cleveland full timeout,,21-23,,
2:29.0,L. James enters the game for K. Irving,,21-23,,
2:29.0,T. Mozgov enters the game for T. Thompson,,21-23,,
2:18.0,L. James makes 2-pt shot from 2 ft,2,23-23,,
2:18.0,Shooting foul by D. Nowitzki (drawn by L. James),,23-23,,
2:18.0,,,23-23,,R. Jefferson enters the game for D. Nowitzki
2:18.0,L. James makes free throw 1 of 1,1,24-23,,
1:58.0,,,24-25,2,A. Stoudemire makes 2-pt shot from 4 ft
1:36.0,Shooting foul by R. Jefferson (drawn by L. James),,24-25,,
1:36.0,L. James misses free throw 1 of 2,,24-25,,
1:36.0,Offensive rebound by Team,,24-25,,
1:36.0,L. James misses free throw 2 of 2,,24-25,,
1:35.0,,,24-25,,Defensive rebound by R. Jefferson
1:21.0,,,24-25,,D. Harris misses 3-pt shot from 24 ft
1:19.0,,,24-25,,Offensive rebound by A. Aminu
1:12.0,Personal foul by M. Dellavedova (drawn by D. Harris),,24-25,,
1:12.0,,,24-26,1,D. Harris makes free throw 1 of 2
1:12.0,J. Jones enters the game for T. Mozgov,,24-26,,
1:12.0,,,24-27,1,D. Harris makes free throw 2 of 2
0:57.0,L. James misses 2-pt shot from 13 ft,,24-27,,
0:56.0,,,24-27,,Defensive rebound by Team
0:30.0,,,24-27,,M. Ellis misses 3-pt shot from 26 ft
0:29.0,Defensive rebound by L. James,,24-27,,
0:10.0,Shooting foul by A. Aminu (drawn by M. Dellavedova),,24-27,,
0:10.0,M. Dellavedova makes free throw 1 of 2,1,25-27,,
0:10.0,,,25-27,,C. Parsons enters the game for A. Aminu
0:10.0,M. Dellavedova makes free throw 2 of 2,1,26-27,,
0:04.0,,,26-29,2,D. Harris makes 2-pt shot from 1 ft
0:02.0,Turnover by J. Jones (bad pass; steal by M. Ellis),,26-29,,
0:01.0,Violation by L. James (def goaltending),,26-29,,
0:01.0,,,26-31,2,M. Ellis makes 2-pt shot at rim
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:44.0,,,26-31,,Turnover by A. Stoudemire (offensive foul)
11:44.0,,,26-31,,Offensive foul by A. Stoudemire
11:29.0,L. James makes 3-pt shot from 26 ft,3,29-31,,
11:06.0,,,29-31,,Shooting foul by M. Dellavedova (drawn by J. Barea)
11:06.0,,,29-32,1,J. Barea makes free throw 1 of 2
11:06.0,K. Irving enters the game for M. Dellavedova,,29-32,,
11:06.0,,,29-33,1,J. Barea makes free throw 2 of 2
10:48.0,L. James makes 3-pt shot from 24 ft,3,32-33,,
10:32.0,,,32-35,2,A. Stoudemire makes 2-pt shot from 3 ft
10:24.0,,,32-35,,Personal foul by D. Harris (drawn by K. Irving)
10:14.0,J. Jones makes 3-pt shot from 22 ft (assist by L. James),3,35-35,,
9:50.0,,,35-35,,C. Parsons misses 2-pt shot from 21 ft
9:48.0,Defensive rebound by L. James,,35-35,,
9:37.0,L. James misses 2-pt shot from 21 ft,,35-35,,
9:36.0,Offensive rebound by J. Jones,,35-35,,
9:18.0,Offensive foul by T. Thompson,,35-35,,
9:18.0,Turnover by T. Thompson (offensive foul),,35-35,,
9:18.0,T. Mozgov enters the game for T. Thompson,,35-35,,
9:06.0,,,35-37,2,A. Stoudemire makes 2-pt shot from 3 ft (assist by J. Barea)
8:52.0,K. Irving makes 2-pt shot at rim,2,37-37,,
8:40.0,,,37-37,,Shooting foul by J. Jones (drawn by D. Nowitzki)
8:40.0,Official timeout,,37-37,,
8:40.0,,,37-37,,D. Nowitzki misses free throw 1 of 2
8:40.0,,,37-37,,Offensive rebound by Team
8:40.0,,,37-38,1,D. Nowitzki makes free throw 2 of 2
8:23.0,K. Irving misses 2-pt shot from 20 ft,,37-38,,
8:22.0,,,37-38,,Defensive rebound by J. Barea
8:14.0,,,37-38,,D. Nowitzki misses 3-pt shot from 26 ft
8:13.0,,,37-38,,Offensive rebound by C. Parsons
8:07.0,,,37-38,,Turnover by C. Parsons (bad pass; steal by I. Shumpert)
8:03.0,L. James makes 2-pt shot from 2 ft (assist by I. Shumpert),2,39-38,,
7:46.0,,,39-38,,A. Stoudemire misses 2-pt shot from 19 ft
7:45.0,Defensive rebound by L. James,,39-38,,
7:39.0,J. Jones misses 3-pt shot from 23 ft,,39-38,,
7:37.0,,,39-38,,Defensive rebound by A. Stoudemire
7:23.0,,,39-38,,J. Barea misses 2-pt shot from 20 ft
7:21.0,Defensive rebound by K. Irving,,39-38,,
7:15.0,K. Irving makes 2-pt shot from 1 ft,2,41-38,,
7:15.0,,,41-38,,Dallas full timeout
7:15.0,J. Smith enters the game for I. Shumpert,,41-38,,
7:09.0,Personal foul by L. James (drawn by D. Harris),,41-38,,
6:57.0,,,41-38,,Shooting foul by L. James (drawn by A. Stoudemire)
6:57.0,,,41-39,1,A. Stoudemire makes free throw 1 of 2
6:57.0,,,41-39,,R. Rondo enters the game for D. Harris
6:57.0,,,41-39,,M. Ellis enters the game for J. Barea
6:57.0,,,41-39,,A. Stoudemire misses free throw 2 of 2
6:56.0,Defensive rebound by L. James,,41-39,,
6:46.0,K. Irving misses 2-pt shot from 17 ft,,41-39,,
6:44.0,,,41-39,,Defensive rebound by M. Ellis
6:38.0,,,41-39,,D. Nowitzki misses 2-pt shot from 17 ft
6:36.0,Defensive rebound by L. James,,41-39,,
6:21.0,J. Smith makes 3-pt shot from 25 ft (assist by K. Irving),3,44-39,,
6:08.0,,,44-41,2,M. Ellis makes 2-pt shot from 2 ft (assist by D. Nowitzki)
6:00.0,L. James makes 2-pt shot at rim,2,46-41,,
5:41.0,,,46-41,,Shooting foul by J. Jones (drawn by C. Parsons)
5:41.0,,,46-42,1,C. Parsons makes free throw 1 of 2
5:41.0,,,46-42,,T. Chandler enters the game for A. Stoudemire
5:41.0,K. Love enters the game for L. James,,46-42,,
5:41.0,I. Shumpert enters the game for J. Jones,,46-42,,
5:41.0,,,46-42,,R. Jefferson enters the game for D. Nowitzki
5:41.0,,,46-42,,C. Parsons misses free throw 2 of 2
5:40.0,Defensive rebound by K. Love,,46-42,,
5:27.0,K. Irving makes 2-pt shot from 2 ft,2,48-42,,
5:10.0,,,48-42,,T. Chandler misses 2-pt shot from 3 ft
5:07.0,Defensive rebound by T. Mozgov,,48-42,,
5:03.0,Offensive charge foul by K. Irving,,48-42,,
5:03.0,Turnover by K. Irving (offensive foul),,48-42,,
4:54.0,,,48-42,,M. Ellis misses 3-pt shot from 27 ft
4:52.0,Defensive rebound by I. Shumpert,,48-42,,
4:49.0,I. Shumpert misses 2-pt shot from 2 ft (block by C. Parsons),,48-42,,
4:46.0,Offensive rebound by K. Love,,48-42,,
4:40.0,I. Shumpert misses 3-pt shot from 23 ft,,48-42,,
4:39.0,,,48-42,,Defensive rebound by R. Jefferson
4:32.0,Personal foul by T. Mozgov (drawn by T. Chandler),,48-42,,
4:32.0,,,48-43,1,T. Chandler makes free throw 1 of 2
4:32.0,,,48-44,1,T. Chandler makes free throw 2 of 2
4:20.0,Shooting foul by R. Jefferson (drawn by I. Shumpert),,48-44,,
4:20.0,I. Shumpert makes free throw 1 of 2,1,49-44,,
4:20.0,,,49-44,,C. Villanueva enters the game for C. Parsons
4:20.0,I. Shumpert makes free throw 2 of 2,1,50-44,,
4:05.0,,,50-44,,Turnover by R. Jefferson (bad pass; steal by K. Irving)
4:03.0,Turnover by K. Irving (step out of bounds),,50-44,,
3:57.0,,,50-44,,Turnover by R. Jefferson (bad pass; steal by I. Shumpert)
3:53.0,J. Smith makes 2-pt shot at rim (assist by I. Shumpert),2,52-44,,
3:41.0,Personal foul by T. Mozgov (drawn by M. Ellis),,52-44,,
3:41.0,,,52-45,1,M. Ellis makes free throw 1 of 2
3:41.0,,,52-45,,C. Parsons enters the game for R. Jefferson
3:41.0,T. Thompson enters the game for T. Mozgov,,52-45,,
3:41.0,,,52-45,,D. Nowitzki enters the game for C. Villanueva
3:41.0,,,52-45,,M. Ellis misses free throw 2 of 2
3:40.0,Defensive rebound by K. Love,,52-45,,
3:26.0,J. Smith misses 2-pt shot from 13 ft,,52-45,,
3:24.0,Offensive rebound by K. Love,,52-45,,
3:24.0,K. Love makes 2-pt shot at rim,2,54-45,,
3:13.0,,,54-47,2,C. Parsons makes 2-pt shot at rim
2:53.0,K. Love makes 2-pt shot from 5 ft (assist by I. Shumpert),2,56-47,,
2:44.0,,,56-47,,T. Chandler misses 2-pt shot from 2 ft
2:42.0,,,56-47,,Offensive rebound by T. Chandler
2:40.0,,,56-47,,T. Chandler misses 2-pt shot from 3 ft (block by T. Thompson)
2:37.0,,,56-47,,Offensive rebound by M. Ellis
2:37.0,,,56-49,2,M. Ellis makes 2-pt shot from 1 ft
2:36.0,Cleveland full timeout,,56-49,,
2:19.0,,,56-49,,Violation by T. Chandler (kicked ball)
2:08.0,J. Smith makes 3-pt shot from 28 ft,3,59-49,,
1:43.0,,,59-49,,C. Parsons misses 2-pt shot from 6 ft
1:40.0,Defensive rebound by K. Irving,,59-49,,
1:35.0,Shooting foul by R. Rondo (drawn by K. Irving),,59-49,,
1:35.0,K. Irving makes free throw 1 of 2,1,60-49,,
1:35.0,,,60-49,,D. Harris enters the game for R. Rondo
1:35.0,K. Irving makes free throw 2 of 2,1,61-49,,
1:24.0,Shooting block foul by T. Thompson (drawn by T. Chandler),,61-49,,
1:24.0,,,61-50,1,T. Chandler makes free throw 1 of 2
1:24.0,K. Perkins enters the game for T. Thompson,,61-50,,
1:24.0,,,61-51,1,T. Chandler makes free throw 2 of 2
1:12.0,K. Irving misses 2-pt shot from 1 ft,,61-51,,
1:10.0,,,61-51,,Defensive rebound by T. Chandler
1:00.0,,,61-51,,M. Ellis misses 2-pt shot from 3 ft
0:57.0,Defensive rebound by K. Perkins,,61-51,,
0:43.0,J. Smith makes 3-pt shot from 25 ft,3,64-51,,
0:34.0,,,64-53,2,C. Parsons makes 2-pt shot at rim
0:25.0,K. Irving makes 2-pt shot from 1 ft,2,66-53,,
0:25.0,Shooting foul by T. Chandler (drawn by K. Irving),,66-53,,
0:25.0,M. Dellavedova enters the game for J. Smith,,66-53,,
0:25.0,,,66-53,,A. Stoudemire enters the game for T. Chandler
0:25.0,K. Irving makes free throw 1 of 1,1,67-53,,
0:04.0,,,67-53,,M. Ellis misses 3-pt shot from 25 ft
0:02.0,Defensive rebound by I. Shumpert,,67-53,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:46.0,,,67-53,,M. Ellis misses 2-pt shot from 21 ft
11:45.0,Defensive rebound by K. Love,,67-53,,
11:29.0,K. Love misses 2-pt shot from 7 ft,,67-53,,
11:27.0,,,67-53,,Defensive rebound by D. Nowitzki
11:20.0,,,67-55,2,R. Rondo makes 2-pt shot from 1 ft
11:02.0,J. Smith misses 3-pt shot from 24 ft,,67-55,,
11:02.0,,,67-55,,Defensive rebound by T. Chandler
10:52.0,,,67-55,,C. Parsons misses 2-pt shot from 4 ft
10:50.0,Defensive rebound by J. Smith,,67-55,,
10:48.0,Shooting foul by D. Nowitzki (drawn by L. James),,67-55,,
10:48.0,L. James makes free throw 1 of 2,1,68-55,,
10:48.0,L. James makes free throw 2 of 2,1,69-55,,
10:34.0,,,69-55,,D. Nowitzki misses 2-pt shot from 19 ft
10:32.0,Defensive rebound by J. Smith,,69-55,,
10:17.0,K. Irving misses 2-pt shot from 2 ft,,69-55,,
10:15.0,,,69-55,,Defensive rebound by C. Parsons
10:05.0,,,69-55,,Turnover by T. Chandler (3 sec)
9:45.0,J. Smith makes 3-pt shot from 26 ft (assist by K. Irving),3,72-55,,
9:35.0,,,72-55,,Shooting foul by J. Smith (drawn by T. Chandler)
9:35.0,,,72-56,1,T. Chandler makes free throw 1 of 2
9:35.0,,,72-56,,T. Chandler misses free throw 2 of 2
9:35.0,Defensive rebound by K. Love,,72-56,,
9:20.0,Turnover by K. Love (bad pass; steal by M. Ellis),,72-56,,
9:15.0,,,72-59,3,D. Nowitzki makes 3-pt shot from 24 ft (assist by C. Parsons)
9:00.0,K. Love makes 2-pt shot at rim (assist by L. James),2,74-59,,
8:56.0,,,74-59,,Dallas full timeout
8:46.0,,,74-59,,D. Nowitzki misses 2-pt shot from 14 ft
8:44.0,Defensive rebound by J. Smith,,74-59,,
8:40.0,T. Mozgov makes 2-pt shot at rim (assist by L. James),2,76-59,,
8:25.0,,,76-61,2,M. Ellis makes 2-pt shot from 16 ft
8:08.0,,,76-61,,Personal block foul by C. Parsons (drawn by L. James)
7:56.0,Shooting foul by M. Ellis (drawn by T. Mozgov),,76-61,,
7:56.0,T. Mozgov makes free throw 1 of 2,1,77-61,,
7:56.0,T. Mozgov makes free throw 2 of 2,1,78-61,,
7:44.0,,,78-64,3,C. Parsons makes 3-pt shot from 24 ft (assist by M. Ellis)
7:22.0,T. Mozgov misses 2-pt shot from 3 ft (block by T. Chandler),,78-64,,
7:21.0,Offensive rebound by Team,,78-64,,
7:18.0,K. Love makes 2-pt shot from 16 ft (assist by L. James),2,80-64,,
7:06.0,,,80-64,,R. Rondo misses 2-pt shot from 2 ft
7:03.0,,,80-64,,Offensive rebound by T. Chandler
7:03.0,,,80-66,2,T. Chandler makes 2-pt shot from 2 ft
6:39.0,K. Irving misses 3-pt shot from 25 ft,,80-66,,
6:38.0,,,80-66,,Defensive rebound by C. Parsons
6:29.0,,,80-66,,Turnover by C. Parsons (lost ball; steal by T. Mozgov)
6:22.0,,,80-66,,R. Jefferson enters the game for C. Parsons
6:22.0,,,80-66,,D. Harris enters the game for R. Rondo
6:09.0,,,80-66,,Personal block foul by D. Harris (drawn by L. James)
6:02.0,Shooting foul by D. Nowitzki (drawn by K. Irving),,80-66,,
6:02.0,K. Irving makes free throw 1 of 2,1,81-66,,
6:02.0,K. Irving makes free throw 2 of 2,1,82-66,,
5:43.0,,,82-66,,M. Ellis misses 2-pt shot from 2 ft
5:41.0,,,82-66,,Offensive rebound by D. Nowitzki
5:41.0,,,82-66,,Shooting foul by T. Mozgov (drawn by D. Nowitzki)
5:41.0,,,82-67,1,D. Nowitzki makes free throw 1 of 2
5:41.0,,,82-68,1,D. Nowitzki makes free throw 2 of 2
5:29.0,,,82-68,,Personal foul by R. Jefferson (drawn by T. Mozgov)
5:29.0,,,82-68,,Technical foul by Team
5:29.0,K. Irving makes technical free throw,1,83-68,,
5:29.0,T. Mozgov makes free throw 1 of 2,1,84-68,,
5:29.0,,,84-68,,C. Parsons enters the game for D. Nowitzki
5:29.0,T. Mozgov makes free throw 2 of 2,1,85-68,,
5:19.0,,,85-68,,Turnover by C. Parsons (lost ball; steal by L. James)
5:15.0,J. Smith makes 2-pt shot from 2 ft (assist by L. James),2,87-68,,
4:51.0,,,87-68,,M. Ellis misses 3-pt shot from 24 ft
4:49.0,Defensive rebound by K. Love,,87-68,,
4:39.0,K. Love misses 3-pt shot from 22 ft,,87-68,,
4:37.0,Offensive rebound by Team,,87-68,,
4:37.0,,,87-68,,A. Stoudemire enters the game for T. Chandler
4:18.0,L. James makes 2-pt shot from 1 ft (assist by T. Mozgov),2,89-68,,
4:00.0,,,89-68,,A. Stoudemire misses 2-pt shot from 1 ft (block by K. Love)
3:59.0,Defensive rebound by J. Smith,,89-68,,
3:55.0,T. Mozgov makes 2-pt shot from 1 ft (assist by J. Smith),2,91-68,,
3:54.0,,,91-68,,Dallas full timeout
3:54.0,I. Shumpert enters the game for L. James,,91-68,,
3:36.0,,,91-68,,A. Stoudemire misses 2-pt shot from 1 ft (block by T. Mozgov)
3:34.0,,,91-68,,Offensive rebound by R. Jefferson
3:33.0,,,91-70,2,A. Stoudemire makes 2-pt shot at rim (assist by R. Jefferson)
3:16.0,Shooting foul by R. Jefferson (drawn by K. Love),,91-70,,
3:16.0,K. Love makes free throw 1 of 2,1,92-70,,
3:16.0,K. Love misses free throw 2 of 2,,92-70,,
3:15.0,,,92-70,,Defensive rebound by R. Jefferson
3:04.0,,,92-72,2,A. Stoudemire makes 2-pt shot from 18 ft (assist by D. Harris)
2:43.0,K. Love makes 2-pt shot from 4 ft,2,94-72,,
2:33.0,,,94-74,2,M. Ellis makes 2-pt shot at rim (assist by D. Harris)
2:12.0,K. Love misses 2-pt shot from 15 ft,,94-74,,
2:10.0,,,94-74,,Defensive rebound by C. Parsons
2:05.0,,,94-74,,D. Harris misses 2-pt shot from 1 ft
2:03.0,Defensive rebound by K. Irving,,94-74,,
2:00.0,Cleveland full timeout,,94-74,,
2:00.0,,,94-74,,J. Barea enters the game for C. Parsons
2:00.0,,,94-74,,D. Nowitzki enters the game for M. Ellis
2:00.0,T. Thompson enters the game for T. Mozgov,,94-74,,
1:49.0,K. Love makes 2-pt shot from 4 ft (assist by K. Irving),2,96-74,,
1:27.0,,,96-74,,Turnover by J. Barea (bad pass; steal by I. Shumpert)
1:25.0,,,96-74,,Personal take foul by R. Jefferson (drawn by K. Irving)
1:25.0,K. Irving misses free throw 1 of 2,,96-74,,
1:25.0,Offensive rebound by Team,,96-74,,
1:25.0,T. Mozgov enters the game for K. Love,,96-74,,
1:25.0,K. Irving makes free throw 2 of 2,1,97-74,,
1:13.0,,,97-74,,D. Nowitzki misses 2-pt shot from 19 ft
1:11.0,Defensive rebound by K. Irving,,97-74,,
0:55.0,T. Mozgov misses 2-pt shot from 17 ft,,97-74,,
0:53.0,,,97-74,,Defensive rebound by J. Barea
0:37.0,,,97-74,,J. Barea misses 2-pt shot from 1 ft
0:36.0,,,97-74,,Offensive rebound by A. Stoudemire
0:36.0,Loose ball foul by T. Thompson (drawn by A. Stoudemire),,97-74,,
0:23.0,,,97-74,,R. Jefferson misses 3-pt shot from 24 ft
0:22.0,,,97-74,,Offensive rebound by D. Harris
0:16.0,,,97-76,2,R. Jefferson makes 2-pt shot from 1 ft (assist by J. Barea)
0:03.0,K. Irving makes 2-pt shot from 1 ft,2,99-76,,
0:02.0,,,99-76,,Turnover by D. Nowitzki (bad pass; steal by J. Smith)
0:02.0,J. Smith misses 3-pt shot from 25 ft,,99-76,,
0:00.0,Offensive rebound by Team,,99-76,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:44.0,L. James makes 3-pt shot from 26 ft (assist by K. Irving),3,102-76,,
11:26.0,,,102-79,3,D. Harris makes 3-pt shot from 24 ft (assist by J. Barea)
11:07.0,Offensive charge foul by I. Shumpert,,102-79,,
11:07.0,Turnover by I. Shumpert (offensive foul),,102-79,,
10:48.0,,,102-81,2,R. Jefferson makes 2-pt shot from 16 ft (assist by J. Barea)
10:24.0,L. James misses 3-pt shot from 23 ft,,102-81,,
10:23.0,,,102-81,,Defensive rebound by R. Jefferson
10:11.0,,,102-81,,R. Jefferson misses 2-pt shot from 3 ft
10:07.0,Defensive rebound by T. Thompson,,102-81,,
9:57.0,Turnover by L. James (lost ball; steal by D. Harris),,102-81,,
9:48.0,,,102-81,,Shooting foul by I. Shumpert (drawn by D. Nowitzki)
9:48.0,,,102-82,1,D. Nowitzki makes free throw 1 of 2
9:48.0,M. Dellavedova enters the game for K. Irving,,102-82,,
9:48.0,K. Love enters the game for T. Thompson,,102-82,,
9:48.0,,,102-83,1,D. Nowitzki makes free throw 2 of 2
9:32.0,L. James makes 3-pt shot from 26 ft (assist by I. Shumpert),3,105-83,,
9:12.0,,,105-83,,A. Stoudemire misses 2-pt shot from 18 ft
9:11.0,Defensive rebound by K. Love,,105-83,,
8:59.0,K. Love makes 3-pt shot from 24 ft (assist by L. James),3,108-83,,
8:58.0,,,108-83,,Dallas full timeout
8:50.0,Personal foul by M. Dellavedova (drawn by D. Harris),,108-83,,
8:40.0,,,108-85,2,D. Nowitzki makes 2-pt shot from 13 ft
8:25.0,K. Love misses 3-pt shot from 22 ft,,108-85,,
8:24.0,,,108-85,,Defensive rebound by J. Barea
8:18.0,,,108-87,2,A. Stoudemire makes 2-pt shot from 1 ft (assist by J. Barea)
8:01.0,I. Shumpert makes 3-pt shot from 23 ft (assist by L. James),3,111-87,,
7:51.0,,,111-87,,J. Barea misses 3-pt shot from 25 ft
7:50.0,,,111-87,,Offensive rebound by D. Nowitzki
7:50.0,Loose ball foul by K. Love (drawn by D. Nowitzki),,111-87,,
7:50.0,,,111-87,,T. Chandler enters the game for A. Stoudemire
7:50.0,,,111-87,,M. Ellis enters the game for D. Harris
7:50.0,,,111-87,,C. Parsons enters the game for R. Jefferson
7:50.0,,,111-87,,R. Rondo enters the game for J. Barea
7:50.0,,,111-87,,C. Villanueva enters the game for D. Nowitzki
7:41.0,Personal foul by L. James (drawn by M. Ellis),,111-87,,
7:33.0,,,111-87,,Turnover by R. Rondo (bad pass)
7:24.0,Turnover by L. James (bad pass),,111-87,,
7:11.0,,,111-87,,C. Villanueva misses 3-pt shot from 22 ft
