time,Sacramento,pts.away,score,pts.home,Houston
6:33.0,,,5-13,,Turnover by J. Terry (bad pass; steal by D. Cousins)
6:29.0,,,5-13,,Clear path foul by J. Harden
6:29.0,O. Casspi makes clear path free throw 1 of 2,1,6-13,,
6:29.0,O. Casspi makes clear path free throw 2 of 2,1,7-13,,
6:25.0,Turnover by O. Casspi (bad pass; steal by T. Ariza),,7-13,,
6:22.0,,,7-13,,J. Dorsey misses 2-pt shot from 1 ft (block by C. Landry)
6:20.0,,,7-13,,Offensive rebound by T. Jones
6:15.0,,,7-16,3,J. Terry makes 3-pt shot from 25 ft (assist by T. Jones)
6:02.0,,,7-16,,Personal foul by J. Dorsey (drawn by D. Cousins)
5:54.0,C. Landry makes 2-pt shot at rim (assist by D. Cousins),2,9-16,,
5:42.0,,,9-16,,Turnover by J. Harden (bad pass; steal by R. McCallum)
5:37.0,B. McLemore makes 2-pt shot from 2 ft (assist by R. McCallum),2,11-16,,
5:29.0,,,11-19,3,T. Ariza makes 3-pt shot from 23 ft (assist by J. Harden)
5:14.0,B. McLemore misses 2-pt shot from 3 ft,,11-19,,
5:12.0,,,11-19,,Defensive rebound by J. Harden
4:58.0,,,11-19,,J. Harden misses 2-pt shot from 13 ft
4:57.0,Defensive rebound by D. Cousins,,11-19,,
4:49.0,D. Cousins makes 2-pt shot from 7 ft,2,13-19,,
4:37.0,,,13-19,,Offensive charge foul by T. Ariza
4:37.0,,,13-19,,Turnover by T. Ariza (offensive foul)
4:37.0,,,13-19,,J. Smith enters the game for T. Jones
4:37.0,,,13-19,,P. Prigioni enters the game for J. Terry
4:37.0,N. Stauskas enters the game for B. McLemore,,13-19,,
4:37.0,D. Williams enters the game for O. Casspi,,13-19,,
4:37.0,,,13-19,,C. Brewer enters the game for T. Ariza
4:18.0,C. Landry makes 2-pt shot from 17 ft (assist by R. McCallum),2,15-19,,
4:00.0,,,15-19,,C. Brewer misses 3-pt shot from 22 ft
3:59.0,Defensive rebound by D. Williams,,15-19,,
3:55.0,N. Stauskas misses 2-pt shot from 2 ft,,15-19,,
3:53.0,,,15-19,,Defensive rebound by P. Prigioni
3:45.0,,,15-22,3,J. Harden makes 3-pt shot from 25 ft (assist by P. Prigioni)
3:35.0,R. McCallum makes 2-pt shot from 1 ft (assist by N. Stauskas),2,17-22,,
3:15.0,,,17-22,,J. Dorsey misses 2-pt shot at rim (block by D. Cousins)
3:13.0,,,17-22,,Offensive rebound by J. Dorsey
3:11.0,,,17-22,,J. Dorsey misses 2-pt shot from 1 ft
3:10.0,Defensive rebound by C. Landry,,17-22,,
3:05.0,,,17-22,,Houston full timeout
3:05.0,,,17-22,,C. Capela enters the game for J. Dorsey
3:05.0,J. Thompson enters the game for C. Landry,,17-22,,
3:05.0,D. Wear enters the game for D. Cousins,,17-22,,
2:52.0,N. Stauskas misses 2-pt shot from 18 ft,,17-22,,
2:51.0,Offensive rebound by D. Wear,,17-22,,
2:51.0,D. Wear misses 2-pt shot at rim,,17-22,,
2:48.0,Offensive rebound by Team,,17-22,,
2:46.0,,,17-22,,Personal foul by C. Brewer (drawn by N. Stauskas)
2:39.0,D. Williams makes 2-pt shot from 19 ft (assist by R. McCallum),2,19-22,,
2:22.0,,,19-22,,C. Brewer misses 3-pt shot from 24 ft
2:21.0,Defensive rebound by Team,,19-22,,
2:21.0,,,19-22,,Loose ball foul by C. Capela (drawn by J. Thompson)
2:10.0,D. Williams misses 2-pt shot from 3 ft (block by C. Capela),,19-22,,
2:08.0,Offensive rebound by J. Thompson,,19-22,,
1:57.0,R. McCallum makes 2-pt shot from 17 ft,2,21-22,,
1:45.0,,,21-25,3,P. Prigioni makes 3-pt shot from 25 ft
1:32.0,D. Wear misses 3-pt shot from 24 ft,,21-25,,
1:31.0,,,21-25,,Defensive rebound by C. Capela
1:24.0,,,21-27,2,J. Harden makes 2-pt shot from 1 ft
1:24.0,,,21-27,,Shooting foul by J. Thompson (drawn by J. Harden)
1:24.0,A. Miller enters the game for R. McCallum,,21-27,,
1:24.0,,,21-28,1,J. Harden makes free throw 1 of 1
1:11.0,N. Stauskas makes 2-pt shot from 8 ft,2,23-28,,
0:58.0,,,23-30,2,C. Capela makes 2-pt shot at rim (assist by J. Harden)
0:39.0,J. Thompson makes 2-pt shot from 9 ft (assist by A. Miller),2,25-30,,
0:29.0,,,25-33,3,J. Harden makes 3-pt shot from 25 ft
0:09.0,Turnover by N. Stauskas (bad pass; steal by J. Harden),,25-33,,
0:05.0,,,25-35,2,J. Harden makes 2-pt shot from 1 ft
0:00.0,N. Stauskas misses 3-pt shot from 24 ft,,25-35,,
0:00.0,Offensive rebound by Team,,25-35,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:42.0,,,25-38,3,T. Ariza makes 3-pt shot from 23 ft (assist by P. Prigioni)
11:33.0,,,25-38,,Violation by P. Prigioni (kicked ball)
11:20.0,D. Williams misses 2-pt shot from 2 ft,,25-38,,
11:17.0,Offensive rebound by D. Williams,,25-38,,
11:16.0,D. Williams misses 2-pt shot from 2 ft (block by C. Capela),,25-38,,
11:15.0,,,25-38,,Defensive rebound by C. Brewer
11:06.0,,,25-40,2,J. Smith makes 2-pt shot from 6 ft
10:51.0,D. Williams misses 2-pt shot from 18 ft,,25-40,,
10:49.0,Offensive rebound by J. Thompson,,25-40,,
10:47.0,J. Thompson misses 2-pt shot at rim (block by J. Smith),,25-40,,
10:46.0,Offensive rebound by J. Thompson,,25-40,,
10:46.0,J. Thompson misses 2-pt shot at rim,,25-40,,
10:44.0,Offensive rebound by J. Thompson,,25-40,,
10:43.0,J. Thompson makes 2-pt shot from 1 ft,2,27-40,,
10:29.0,,,27-40,,C. Brewer misses 2-pt shot from 18 ft
10:27.0,Defensive rebound by J. Thompson,,27-40,,
10:24.0,Turnover by J. Thompson (bad pass; steal by C. Brewer),,27-40,,
10:20.0,,,27-40,,Shooting foul by D. Wear (drawn by C. Capela)
10:20.0,,,27-40,,C. Capela misses free throw 1 of 2
10:20.0,,,27-40,,Offensive rebound by Team
10:20.0,O. Casspi enters the game for D. Williams,,27-40,,
10:20.0,D. Cousins enters the game for D. Wear,,27-40,,
10:20.0,,,27-40,,C. Capela misses free throw 2 of 2
10:19.0,Defensive rebound by N. Stauskas,,27-40,,
10:08.0,D. Cousins misses 2-pt shot from 19 ft,,27-40,,
10:07.0,,,27-40,,Defensive rebound by J. Smith
9:56.0,,,27-40,,C. Capela misses 2-pt shot from 2 ft (block by D. Cousins)
9:54.0,,,27-40,,Offensive rebound by C. Capela
9:51.0,,,27-40,,T. Ariza misses 3-pt shot from 26 ft
9:50.0,,,27-40,,Offensive rebound by C. Capela
9:44.0,,,27-43,3,T. Ariza makes 3-pt shot from 23 ft (assist by P. Prigioni)
9:30.0,D. Cousins misses 2-pt shot from 1 ft,,27-43,,
9:29.0,,,27-43,,Defensive rebound by J. Smith
9:23.0,,,27-46,3,T. Ariza makes 3-pt shot from 23 ft (assist by P. Prigioni)
9:19.0,Sacramento full timeout,,27-46,,
9:19.0,,,27-46,,T. Jones enters the game for C. Capela
9:01.0,N. Stauskas makes 3-pt shot from 25 ft (assist by D. Cousins),3,30-46,,
8:49.0,,,30-46,,P. Prigioni misses 3-pt shot from 22 ft
8:48.0,Defensive rebound by D. Cousins,,30-46,,
8:43.0,O. Casspi makes 2-pt shot from 2 ft (assist by A. Miller),2,32-46,,
8:37.0,,,32-46,,Turnover by J. Smith (bad pass)
8:29.0,,,32-46,,Personal foul by T. Jones (drawn by D. Cousins)
8:21.0,D. Cousins misses 2-pt shot from 1 ft,,32-46,,
8:20.0,Offensive rebound by D. Cousins,,32-46,,
8:20.0,Shooting foul by T. Jones (drawn by D. Cousins),,32-46,,
8:20.0,D. Cousins misses free throw 1 of 2,,32-46,,
8:20.0,Offensive rebound by Team,,32-46,,
8:20.0,D. Cousins makes free throw 2 of 2,1,33-46,,
8:05.0,,,33-48,2,T. Jones makes 2-pt shot from 2 ft (assist by C. Brewer)
8:00.0,Turnover by A. Miller (lost ball; steal by P. Prigioni),,33-48,,
7:59.0,Personal foul by A. Miller (drawn by C. Brewer),,33-48,,
7:59.0,Violation by Team (delay of game),,33-48,,
7:47.0,,,33-48,,P. Prigioni misses 3-pt shot from 26 ft
7:46.0,Defensive rebound by O. Casspi,,33-48,,
7:36.0,O. Casspi makes 2-pt shot from 1 ft,2,35-48,,
7:26.0,,,35-48,,T. Ariza misses 3-pt shot from 23 ft
7:25.0,Defensive rebound by O. Casspi,,35-48,,
7:16.0,N. Stauskas misses 3-pt shot from 22 ft,,35-48,,
7:15.0,Offensive rebound by D. Cousins,,35-48,,
7:14.0,D. Cousins makes 2-pt shot from 1 ft,2,37-48,,
6:51.0,,,37-48,,T. Ariza misses 3-pt shot from 23 ft
6:50.0,Defensive rebound by O. Casspi,,37-48,,
6:39.0,J. Thompson makes 2-pt shot at rim (assist by D. Cousins),2,39-48,,
6:39.0,,,39-48,,Houston full timeout
6:39.0,B. McLemore enters the game for N. Stauskas,,39-48,,
6:39.0,C. Landry enters the game for J. Thompson,,39-48,,
6:39.0,,,39-48,,J. Dorsey enters the game for P. Prigioni
6:39.0,,,39-48,,J. Terry enters the game for J. Smith
6:39.0,,,39-48,,J. Harden enters the game for C. Brewer
6:20.0,,,39-48,,Turnover by T. Ariza (bad pass; steal by D. Cousins)
6:16.0,D. Cousins makes 2-pt shot at rim (assist by O. Casspi),2,41-48,,
5:55.0,,,41-48,,J. Terry misses 3-pt shot from 24 ft
5:53.0,Defensive rebound by B. McLemore,,41-48,,
5:47.0,O. Casspi misses 2-pt shot from 2 ft,,41-48,,
5:45.0,,,41-48,,Defensive rebound by T. Jones
5:38.0,,,41-51,3,J. Harden makes 3-pt shot from 24 ft (assist by J. Terry)
5:22.0,Shooting foul by J. Dorsey (drawn by D. Cousins),,41-51,,
5:22.0,D. Cousins misses free throw 1 of 2,,41-51,,
5:22.0,Offensive rebound by Team,,41-51,,
5:22.0,R. McCallum enters the game for A. Miller,,41-51,,
5:22.0,D. Cousins misses free throw 2 of 2,,41-51,,
5:22.0,Offensive rebound by D. Cousins,,41-51,,
5:16.0,D. Cousins makes 2-pt shot from 2 ft,2,43-51,,
4:55.0,,,43-51,,T. Ariza misses 3-pt shot from 24 ft
4:54.0,Defensive rebound by O. Casspi,,43-51,,
4:51.0,B. McLemore makes 2-pt shot at rim (assist by O. Casspi),2,45-51,,
4:50.0,,,45-51,,Houston full timeout
4:25.0,,,45-54,3,J. Harden makes 3-pt shot from 24 ft (assist by J. Dorsey)
4:01.0,D. Cousins makes 2-pt shot from 1 ft,2,47-54,,
3:48.0,,,47-54,,J. Harden misses 2-pt shot from 13 ft
3:46.0,,,47-54,,Offensive rebound by J. Dorsey
3:43.0,,,47-54,,J. Harden misses 2-pt shot from 3 ft
3:41.0,Defensive rebound by D. Cousins,,47-54,,
3:34.0,C. Landry makes 2-pt shot from 2 ft (assist by B. McLemore),2,49-54,,
3:10.0,,,49-54,,J. Terry misses 3-pt shot from 22 ft
3:09.0,Defensive rebound by B. McLemore,,49-54,,
2:58.0,D. Cousins misses 2-pt shot from 2 ft,,49-54,,
2:56.0,,,49-54,,Defensive rebound by T. Ariza
2:52.0,,,49-54,,J. Harden misses 2-pt shot from 2 ft (block by B. McLemore)
2:49.0,Defensive rebound by R. McCallum,,49-54,,
2:44.0,C. Landry makes 2-pt shot at rim (assist by R. McCallum),2,51-54,,
2:32.0,,,51-54,,T. Jones misses 2-pt shot from 19 ft
2:31.0,Defensive rebound by D. Cousins,,51-54,,
2:18.0,C. Landry misses 2-pt shot from 3 ft (block by T. Jones),,51-54,,
2:16.0,Offensive rebound by C. Landry,,51-54,,
2:14.0,C. Landry misses 2-pt shot from 2 ft (block by T. Jones),,51-54,,
2:12.0,Offensive rebound by C. Landry,,51-54,,
2:12.0,C. Landry misses 2-pt shot from 1 ft (block by T. Jones),,51-54,,
2:10.0,,,51-54,,Defensive rebound by J. Harden
2:04.0,,,51-54,,Turnover by T. Ariza (bad pass; steal by B. McLemore)
2:00.0,O. Casspi makes 2-pt shot from 2 ft (assist by B. McLemore),2,53-54,,
1:33.0,,,53-54,,Shooting foul by C. Landry (drawn by T. Jones)
1:33.0,Official timeout,,53-54,,
1:33.0,,,53-54,,C. Brewer enters the game for T. Ariza
1:33.0,,,53-55,1,T. Jones makes free throw 1 of 2
1:33.0,,,53-55,,T. Jones misses free throw 2 of 2
1:33.0,Defensive rebound by D. Cousins,,53-55,,
1:19.0,Turnover by O. Casspi (bad pass),,53-55,,
1:19.0,,,53-55,,J. Smith enters the game for T. Jones
1:02.0,,,53-55,,J. Dorsey misses 2-pt shot at rim (block by D. Cousins)
1:02.0,,,53-55,,Offensive rebound by J. Dorsey
1:02.0,,,53-55,,Shooting foul by R. McCallum (drawn by J. Dorsey)
1:02.0,,,53-56,1,J. Dorsey makes free throw 1 of 2
1:02.0,,,53-56,,J. Dorsey misses free throw 2 of 2
1:02.0,Defensive rebound by D. Cousins,,53-56,,
0:46.0,O. Casspi makes 2-pt shot from 1 ft (assist by D. Cousins),2,55-56,,
0:35.0,,,55-58,2,J. Harden makes 2-pt shot from 15 ft
0:18.0,B. McLemore misses 3-pt shot from 23 ft,,55-58,,
0:17.0,,,55-58,,Defensive rebound by J. Smith
0:11.0,,,55-58,,J. Harden misses 2-pt shot from 1 ft (block by D. Cousins)
0:09.0,Defensive rebound by B. McLemore,,55-58,,
0:02.0,C. Landry misses 2-pt shot from 3 ft (block by J. Smith),,55-58,,
0:01.0,,,55-58,,Defensive rebound by Team
0:00.0,,,55-58,,J. Dorsey misses 3-pt shot from 44 ft
0:00.0,,,55-58,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:39.0,,,55-60,2,T. Jones makes 2-pt shot from 5 ft (assist by T. Ariza)
11:22.0,Shooting foul by J. Terry (drawn by R. McCallum),,55-60,,
11:22.0,R. McCallum makes free throw 1 of 2,1,56-60,,
11:22.0,R. McCallum makes free throw 2 of 2,1,57-60,,
11:01.0,,,57-60,,Turnover by J. Harden (step out of bounds)
10:37.0,D. Cousins misses 2-pt shot from 4 ft (block by T. Jones),,57-60,,
10:35.0,,,57-60,,Defensive rebound by J. Dorsey
10:31.0,,,57-60,,T. Jones misses 2-pt shot from 2 ft (block by C. Landry)
10:28.0,Defensive rebound by R. McCallum,,57-60,,
10:26.0,D. Cousins makes 2-pt shot at rim (assist by R. McCallum),2,59-60,,
10:05.0,,,59-60,,J. Harden misses 3-pt shot from 24 ft
10:04.0,Defensive rebound by D. Cousins,,59-60,,
9:51.0,D. Cousins makes 2-pt shot from 19 ft,2,61-60,,
9:24.0,,,61-62,2,T. Jones makes 2-pt shot at rim
9:11.0,B. McLemore makes 2-pt shot from 4 ft,2,63-62,,
9:00.0,,,63-62,,T. Ariza misses 3-pt shot from 25 ft
8:59.0,Defensive rebound by R. McCallum,,63-62,,
8:46.0,O. Casspi misses 2-pt shot at rim (block by T. Jones),,63-62,,
8:43.0,,,63-62,,Defensive rebound by J. Dorsey
8:36.0,,,63-65,3,T. Ariza makes 3-pt shot from 24 ft (assist by J. Harden)
8:19.0,Turnover by B. McLemore (lost ball; steal by J. Harden),,63-65,,
8:12.0,,,63-65,,J. Terry misses 3-pt shot from 25 ft
8:10.0,,,63-65,,Offensive rebound by J. Harden
8:10.0,,,63-65,,J. Harden misses 2-pt shot from 1 ft
8:08.0,Defensive rebound by D. Cousins,,63-65,,
8:00.0,D. Cousins makes 2-pt shot from 2 ft,2,65-65,,
7:47.0,,,65-68,3,J. Harden makes 3-pt shot from 25 ft
7:35.0,C. Landry makes 2-pt shot from 12 ft (assist by O. Casspi),2,67-68,,
7:16.0,,,67-70,2,J. Terry makes 2-pt shot from 15 ft (assist by T. Ariza)
6:58.0,B. McLemore makes 3-pt shot from 26 ft (assist by D. Cousins),3,70-70,,
6:42.0,,,70-72,2,J. Terry makes 2-pt shot from 7 ft
6:39.0,,,70-72,,Technical foul by T. Jones
6:39.0,Technical foul by C. Landry,,70-72,,
6:39.0,D. Williams enters the game for O. Casspi,,70-72,,
6:39.0,J. Thompson enters the game for C. Landry,,70-72,,
6:39.0,,,70-72,,J. Smith enters the game for T. Jones
6:20.0,D. Cousins makes 2-pt shot from 3 ft (assist by J. Thompson),2,72-72,,
6:20.0,Shooting foul by J. Smith (drawn by D. Cousins),,72-72,,
6:20.0,D. Cousins misses free throw 1 of 1,,72-72,,
6:20.0,,,72-72,,Defensive rebound by T. Ariza
6:05.0,Personal foul by B. McLemore (drawn by J. Harden),,72-72,,
5:56.0,,,72-74,2,J. Harden makes 2-pt shot from 3 ft
5:56.0,,,72-74,,Shooting foul by B. McLemore (drawn by J. Harden)
5:56.0,,,72-74,,Houston full timeout
5:56.0,,,72-75,1,J. Harden makes free throw 1 of 1
5:42.0,B. McLemore misses 2-pt shot from 7 ft,,72-75,,
5:40.0,Offensive rebound by D. Cousins,,72-75,,
5:40.0,D. Cousins misses 2-pt shot at rim,,72-75,,
5:39.0,,,72-75,,Defensive rebound by J. Harden
5:32.0,,,72-75,,J. Smith misses 3-pt shot from 25 ft
5:31.0,,,72-75,,Offensive rebound by Team
5:31.0,Loose ball foul by D. Cousins (drawn by J. Dorsey),,72-75,,
5:25.0,,,72-75,,T. Ariza misses 3-pt shot from 23 ft
5:24.0,,,72-75,,Offensive rebound by J. Dorsey
5:22.0,,,72-77,2,J. Dorsey makes 2-pt shot from 2 ft
5:09.0,Turnover by D. Cousins (bad pass; steal by T. Ariza),,72-77,,
4:55.0,,,72-79,2,T. Ariza makes 2-pt shot from 3 ft (assist by J. Harden)
4:54.0,Sacramento full timeout,,72-79,,
4:54.0,,,72-79,,P. Prigioni enters the game for J. Terry
4:54.0,N. Stauskas enters the game for B. McLemore,,72-79,,
4:43.0,,,72-79,,Personal foul by J. Dorsey (drawn by D. Cousins)
4:32.0,D. Williams misses 2-pt shot from 4 ft,,72-79,,
4:29.0,Offensive rebound by D. Cousins,,72-79,,
4:29.0,D. Cousins misses 2-pt shot from 2 ft,,72-79,,
4:26.0,Offensive rebound by D. Cousins,,72-79,,
4:25.0,D. Cousins misses 2-pt shot at rim,,72-79,,
4:23.0,Offensive rebound by J. Thompson,,72-79,,
4:10.0,J. Thompson makes 2-pt shot from 2 ft (assist by D. Cousins),2,74-79,,
4:02.0,,,74-82,3,T. Ariza makes 3-pt shot from 22 ft (assist by P. Prigioni)
3:48.0,R. McCallum makes 3-pt shot from 25 ft,3,77-82,,
3:27.0,,,77-85,3,J. Harden makes 3-pt shot from 25 ft
3:13.0,Turnover by D. Cousins (bad pass; steal by J. Harden),,77-85,,
3:09.0,,,77-87,2,J. Harden makes 2-pt shot at rim
2:55.0,Turnover by R. McCallum (bad pass; steal by P. Prigioni),,77-87,,
2:53.0,,,77-87,,Shooting foul by N. Stauskas (drawn by J. Harden)
2:53.0,,,77-88,1,J. Harden makes free throw 1 of 2
2:53.0,,,77-88,,C. Brewer enters the game for T. Ariza
2:53.0,A. Miller enters the game for R. McCallum,,77-88,,
2:53.0,O. Casspi enters the game for D. Cousins,,77-88,,
2:53.0,,,77-89,1,J. Harden makes free throw 2 of 2
2:41.0,,,77-89,,Shooting block foul by J. Smith (drawn by D. Williams)
2:41.0,D. Williams misses free throw 1 of 2,,77-89,,
2:41.0,Offensive rebound by Team,,77-89,,
2:41.0,,,77-89,,T. Jones enters the game for J. Dorsey
2:41.0,D. Williams misses free throw 2 of 2,,77-89,,
2:41.0,,,77-89,,Defensive rebound by P. Prigioni
2:28.0,,,77-89,,Shooting foul by N. Stauskas (drawn by J. Harden)
2:28.0,,,77-90,1,J. Harden makes free throw 1 of 2
2:28.0,,,77-91,1,J. Harden makes free throw 2 of 2
2:14.0,O. Casspi makes 2-pt shot from 3 ft (assist by D. Williams),2,79-91,,
2:02.0,,,79-93,2,J. Harden makes 2-pt shot at rim (assist by T. Jones)
1:43.0,D. Williams makes 3-pt shot from 25 ft (assist by A. Miller),3,82-93,,
1:32.0,,,82-96,3,T. Jones makes 3-pt shot from 25 ft (assist by P. Prigioni)
1:18.0,Turnover by O. Casspi (lost ball; steal by P. Prigioni),,82-96,,
1:06.0,,,82-96,,Shooting foul by J. Thompson (drawn by T. Jones)
1:06.0,,,82-97,1,T. Jones makes free throw 1 of 2
1:06.0,,,82-97,,T. Jones misses free throw 2 of 2
1:06.0,Defensive rebound by D. Williams,,82-97,,
0:57.0,O. Casspi misses 2-pt shot from 2 ft,,82-97,,
0:56.0,Offensive rebound by J. Thompson,,82-97,,
0:56.0,J. Thompson makes 2-pt shot from 1 ft,2,84-97,,
0:44.0,,,84-97,,J. Harden misses 2-pt shot from 17 ft
0:43.0,Defensive rebound by N. Stauskas,,84-97,,
0:37.0,D. Williams misses 2-pt shot from 3 ft (block by J. Smith),,84-97,,
0:35.0,Offensive rebound by D. Williams,,84-97,,
0:35.0,D. Williams misses 2-pt shot from 1 ft,,84-97,,
0:34.0,Offensive rebound by J. Thompson,,84-97,,
0:34.0,J. Thompson makes 2-pt shot from 1 ft,2,86-97,,
0:25.0,Personal foul by J. Thompson (drawn by T. Jones),,86-97,,
0:25.0,,,86-97,,T. Jones misses free throw 1 of 2
0:25.0,,,86-97,,Offensive rebound by Team
0:25.0,,,86-97,,T. Jones misses free throw 2 of 2
0:25.0,Defensive rebound by J. Thompson,,86-97,,
0:03.0,Turnover by N. Stauskas (bad pass; steal by P. Prigioni),,86-97,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:42.0,O. Casspi misses 2-pt shot from 2 ft,,86-97,,
11:41.0,,,86-97,,Defensive rebound by T. Ariza
11:25.0,,,86-100,3,T. Jones makes 3-pt shot from 25 ft (assist by P. Prigioni)
11:09.0,J. Thompson makes 2-pt shot from 6 ft,2,88-100,,
10:45.0,,,88-100,,C. Brewer misses 2-pt shot from 20 ft
10:44.0,Defensive rebound by J. Thompson,,88-100,,
10:34.0,D. Williams makes 3-pt shot from 24 ft (assist by J. Thompson),3,91-100,,
10:20.0,Personal foul by N. Stauskas (drawn by C. Brewer),,91-100,,
10:20.0,R. McCallum enters the game for N. Stauskas,,91-100,,
10:20.0,D. Cousins enters the game for J. Thompson,,91-100,,
10:20.0,B. McLemore enters the game for A. Miller,,91-100,,
10:06.0,,,91-100,,T. Ariza misses 3-pt shot from 25 ft
10:05.0,Defensive rebound by D. Williams,,91-100,,
9:58.0,D. Cousins misses 2-pt shot from 3 ft (block by C. Capela),,91-100,,
9:56.0,,,91-100,,Defensive rebound by T. Jones
9:36.0,,,91-100,,P. Prigioni misses 2-pt shot from 14 ft
9:34.0,Defensive rebound by D. Cousins,,91-100,,
9:30.0,Turnover by R. McCallum (bad pass),,91-100,,
9:30.0,,,91-100,,J. Smith enters the game for T. Jones
9:09.0,,,91-100,,J. Smith misses 2-pt shot from 1 ft
9:08.0,Defensive rebound by D. Cousins,,91-100,,
8:59.0,D. Cousins misses 2-pt shot from 18 ft,,91-100,,
8:58.0,,,91-100,,Defensive rebound by J. Smith
8:37.0,,,91-100,,C. Brewer misses 2-pt shot from 3 ft (block by D. Cousins)
8:37.0,,,91-100,,Offensive rebound by Team
8:37.0,Official timeout,,91-100,,
8:34.0,,,91-100,,C. Brewer misses 2-pt shot from 19 ft
8:33.0,Defensive rebound by D. Cousins,,91-100,,
8:30.0,O. Casspi makes 2-pt shot from 1 ft (assist by D. Williams),2,93-100,,
8:16.0,,,93-102,2,C. Capela makes 2-pt shot at rim (assist by J. Smith)
8:03.0,D. Cousins makes 2-pt shot from 3 ft,2,95-102,,
8:03.0,Shooting foul by C. Capela (drawn by D. Cousins),,95-102,,
8:03.0,,,95-102,,J. Dorsey enters the game for C. Capela
8:03.0,D. Cousins makes free throw 1 of 1,1,96-102,,
7:54.0,,,96-102,,Turnover by C. Brewer (lost ball; steal by D. Cousins)
7:47.0,Turnover by D. Cousins (lost ball; steal by J. Dorsey),,96-102,,
7:35.0,,,96-102,,C. Brewer misses 2-pt shot from 2 ft
7:33.0,Defensive rebound by D. Cousins,,96-102,,
7:26.0,B. McLemore makes 2-pt shot at rim (assist by R. McCallum),2,98-102,,
7:10.0,,,98-104,2,C. Brewer makes 2-pt shot from 1 ft (assist by J. Dorsey)
6:54.0,,,98-104,,Personal foul by P. Prigioni (drawn by O. Casspi)
6:54.0,,,98-104,,J. Harden enters the game for T. Ariza
6:45.0,D. Cousins misses 2-pt shot from 14 ft,,98-104,,
