time,San Antonio,pts.away,score,pts.home,Boston
1:52.0,,,23-19,2,E. Turner makes 2-pt shot at rim
1:30.0,A. Baynes misses 2-pt shot at rim,,23-19,,
1:29.0,,,23-19,,Defensive rebound by M. Thornton
1:20.0,,,23-22,3,M. Thornton makes 3-pt shot from 24 ft (assist by R. Rondo)
1:00.0,B. Diaw makes 2-pt shot at rim (assist by T. Parker),2,25-22,,
0:53.0,,,25-22,,R. Rondo misses 2-pt shot from 17 ft
0:52.0,Defensive rebound by A. Baynes,,25-22,,
0:30.0,M. Ginobili misses 3-pt shot from 25 ft,,25-22,,
0:28.0,,,25-22,,Defensive rebound by R. Rondo
0:06.0,,,25-22,,K. Olynyk misses 2-pt shot from 16 ft
0:05.0,Defensive rebound by B. Diaw,,25-22,,
0:00.0,M. Ginobili misses 3-pt shot from 40 ft,,25-22,,
0:00.0,Offensive rebound by Team,,25-22,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:44.0,,,25-24,2,E. Turner makes 2-pt shot at rim
11:38.0,C. Joseph makes 2-pt shot at rim (assist by M. Ginobili),2,27-24,,
11:17.0,,,27-24,,M. Thornton misses 3-pt shot from 25 ft
11:16.0,,,27-24,,Offensive rebound by Team
11:16.0,Loose ball foul by M. Bonner (drawn by K. Olynyk),,27-24,,
11:01.0,,,27-24,,A. Bradley misses 2-pt shot from 18 ft
10:59.0,Defensive rebound by A. Baynes,,27-24,,
10:57.0,Turnover by A. Baynes (bad pass; steal by J. Sullinger),,27-24,,
10:43.0,,,27-26,2,E. Turner makes 2-pt shot from 8 ft
10:38.0,,,27-26,,Personal foul by J. Sullinger (drawn by A. Baynes)
10:33.0,Turnover by M. Ginobili (bad pass),,27-26,,
10:20.0,,,27-26,,A. Bradley misses 3-pt shot from 22 ft
10:19.0,,,27-26,,Offensive rebound by A. Bradley
10:14.0,,,27-29,3,J. Sullinger makes 3-pt shot from 25 ft (assist by A. Bradley)
9:59.0,,,27-29,,Personal foul by E. Turner (drawn by M. Ginobili)
9:53.0,M. Bonner misses 3-pt shot from 25 ft,,27-29,,
9:52.0,,,27-29,,Defensive rebound by J. Sullinger
9:43.0,,,27-29,,E. Turner misses 2-pt shot from 15 ft
9:42.0,Defensive rebound by C. Joseph,,27-29,,
9:34.0,Turnover by D. Green (step out of bounds),,27-29,,
9:17.0,,,27-29,,J. Sullinger misses 2-pt shot from 2 ft
9:15.0,,,27-29,,Offensive rebound by J. Sullinger
9:06.0,,,27-29,,Turnover by M. Thornton (lost ball; steal by C. Joseph)
9:00.0,Turnover by M. Ginobili (bad pass; steal by A. Bradley),,27-29,,
8:53.0,,,27-32,3,K. Olynyk makes 3-pt shot from 24 ft (assist by M. Thornton)
8:51.0,San Antonio full timeout,,27-32,,
8:51.0,T. Parker enters the game for M. Ginobili,,27-32,,
8:34.0,C. Joseph misses 2-pt shot from 1 ft (block by M. Thornton),,27-32,,
8:33.0,Offensive rebound by Team,,27-32,,
8:26.0,C. Joseph misses 2-pt shot from 22 ft,,27-32,,
8:25.0,,,27-32,,Defensive rebound by K. Olynyk
8:09.0,,,27-32,,M. Thornton misses 2-pt shot at rim (block by M. Bonner)
8:07.0,Defensive rebound by A. Baynes,,27-32,,
7:55.0,D. Green misses 2-pt shot from 21 ft,,27-32,,
7:54.0,Offensive rebound by C. Joseph,,27-32,,
7:47.0,Turnover by T. Parker (lost ball; steal by J. Sullinger),,27-32,,
7:42.0,,,27-34,2,M. Thornton makes 2-pt shot at rim (assist by E. Turner)
7:23.0,T. Parker misses 2-pt shot from 20 ft,,27-34,,
7:22.0,,,27-34,,Defensive rebound by Team
7:22.0,T. Duncan enters the game for A. Baynes,,27-34,,
7:09.0,,,27-34,,E. Turner misses 2-pt shot at rim (block by T. Duncan)
7:08.0,,,27-34,,Offensive rebound by E. Turner
7:05.0,,,27-36,2,E. Turner makes 2-pt shot from 13 ft
6:52.0,M. Bonner misses 2-pt shot from 18 ft,,27-36,,
6:51.0,Offensive rebound by M. Bonner,,27-36,,
6:43.0,D. Green makes 3-pt shot from 25 ft (assist by C. Joseph),3,30-36,,
6:24.0,,,30-38,2,A. Bradley makes 2-pt shot from 18 ft (assist by J. Sullinger)
6:03.0,Shooting foul by J. Sullinger (drawn by T. Duncan),,30-38,,
6:03.0,T. Duncan makes free throw 1 of 2,1,31-38,,
6:03.0,K. Leonard enters the game for C. Joseph,,31-38,,
6:03.0,,,31-38,,R. Rondo enters the game for M. Thornton
6:03.0,,,31-38,,J. Green enters the game for E. Turner
6:03.0,T. Duncan makes free throw 2 of 2,1,32-38,,
5:52.0,,,32-38,,A. Bradley misses 2-pt shot from 15 ft
5:51.0,Defensive rebound by D. Green,,32-38,,
5:45.0,M. Bonner misses 2-pt shot from 6 ft (block by K. Olynyk),,32-38,,
5:44.0,Offensive rebound by Team,,32-38,,
5:44.0,Official timeout,,32-38,,
5:44.0,B. Diaw enters the game for M. Bonner,,32-38,,
5:32.0,T. Duncan misses 2-pt shot from 14 ft,,32-38,,
5:31.0,,,32-38,,Defensive rebound by K. Olynyk
5:10.0,,,32-38,,J. Green misses 3-pt shot from 24 ft
5:09.0,Defensive rebound by T. Duncan,,32-38,,
4:52.0,K. Leonard makes 2-pt shot from 14 ft (assist by B. Diaw),2,34-38,,
4:41.0,,,34-40,2,J. Green makes 2-pt shot at rim
4:29.0,D. Green makes 3-pt shot from 24 ft (assist by T. Parker),3,37-40,,
4:10.0,,,37-40,,K. Olynyk misses 2-pt shot from 20 ft
4:07.0,Defensive rebound by K. Leonard,,37-40,,
3:51.0,Turnover by T. Parker (lost ball),,37-40,,
3:51.0,,,37-40,,E. Turner enters the game for A. Bradley
3:39.0,,,37-43,3,J. Green makes 3-pt shot from 26 ft (assist by R. Rondo)
3:29.0,Shooting foul by K. Olynyk (drawn by B. Diaw),,37-43,,
3:29.0,B. Diaw makes free throw 1 of 2,1,38-43,,
3:29.0,,,38-43,,T. Zeller enters the game for K. Olynyk
3:29.0,,,38-43,,B. Bass enters the game for J. Sullinger
3:29.0,B. Diaw makes free throw 2 of 2,1,39-43,,
3:11.0,,,39-43,,E. Turner misses 2-pt shot from 16 ft
3:10.0,Defensive rebound by D. Green,,39-43,,
3:03.0,Shooting foul by R. Rondo (drawn by T. Parker),,39-43,,
3:03.0,T. Parker makes free throw 1 of 2,1,40-43,,
3:03.0,T. Parker misses free throw 2 of 2,,40-43,,
3:02.0,,,40-43,,Defensive rebound by B. Bass
2:51.0,,,40-43,,Turnover by J. Green (lost ball; steal by K. Leonard)
2:37.0,,,40-43,,Personal block foul by J. Green (drawn by T. Parker)
2:37.0,,,40-43,,Boston full timeout
2:37.0,T. Parker makes free throw 1 of 2,1,41-43,,
2:37.0,T. Parker makes free throw 2 of 2,1,42-43,,
2:27.0,,,42-45,2,B. Bass makes 2-pt shot from 19 ft (assist by R. Rondo)
2:11.0,D. Green misses 3-pt shot from 25 ft,,42-45,,
2:10.0,Offensive rebound by B. Diaw,,42-45,,
2:05.0,D. Green makes 3-pt shot from 23 ft (assist by T. Parker),3,45-45,,
1:47.0,,,45-45,,R. Rondo misses 2-pt shot from 4 ft
1:46.0,,,45-45,,Offensive rebound by R. Rondo
1:34.0,,,45-45,,R. Rondo misses 2-pt shot from 10 ft (block by B. Diaw)
1:33.0,Defensive rebound by B. Diaw,,45-45,,
1:26.0,Turnover by T. Duncan (3 sec),,45-45,,
1:26.0,,,45-45,,K. Olynyk enters the game for T. Zeller
1:26.0,,,45-45,,M. Thornton enters the game for E. Turner
1:07.0,,,45-47,2,B. Bass makes 2-pt shot from 16 ft (assist by R. Rondo)
0:42.0,K. Leonard misses 3-pt shot from 25 ft,,45-47,,
0:41.0,,,45-47,,Defensive rebound by M. Thornton
0:34.0,,,45-47,,M. Thornton misses 3-pt shot from 24 ft
0:33.0,,,45-47,,Offensive rebound by R. Rondo
0:29.0,,,45-49,2,B. Bass makes 2-pt shot from 16 ft (assist by R. Rondo)
0:06.0,T. Duncan misses 2-pt shot from 4 ft,,45-49,,
0:05.0,Offensive rebound by T. Duncan,,45-49,,
0:03.0,T. Duncan misses 2-pt shot at rim (block by B. Bass),,45-49,,
0:02.0,,,45-49,,Defensive rebound by R. Rondo
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:36.0,,,45-52,3,A. Bradley makes 3-pt shot from 23 ft (assist by J. Sullinger)
11:10.0,K. Leonard misses 3-pt shot from 25 ft,,45-52,,
11:09.0,,,45-52,,Defensive rebound by T. Zeller
10:58.0,,,45-52,,J. Sullinger misses 3-pt shot from 24 ft
10:57.0,Defensive rebound by D. Green,,45-52,,
10:45.0,T. Parker misses 2-pt shot from 1 ft,,45-52,,
10:44.0,,,45-52,,Defensive rebound by J. Sullinger
10:36.0,,,45-52,,Turnover by J. Sullinger (bad pass; steal by D. Green)
10:26.0,T. Parker makes 2-pt shot at rim,2,47-52,,
10:09.0,,,47-52,,J. Sullinger misses 2-pt shot from 9 ft
10:08.0,Defensive rebound by T. Duncan,,47-52,,
10:03.0,T. Parker misses 2-pt shot from 1 ft,,47-52,,
10:02.0,Offensive rebound by T. Duncan,,47-52,,
10:02.0,T. Duncan misses 2-pt shot at rim,,47-52,,
10:01.0,Offensive rebound by T. Duncan,,47-52,,
9:59.0,T. Duncan misses 2-pt shot at rim,,47-52,,
9:58.0,Offensive rebound by Team,,47-52,,
9:55.0,,,47-52,,Personal foul by A. Bradley (drawn by T. Parker)
9:42.0,T. Duncan makes 2-pt shot from 9 ft,2,49-52,,
9:27.0,,,49-54,2,J. Sullinger makes 2-pt shot from 5 ft
9:15.0,D. Green makes 2-pt shot from 16 ft,2,51-54,,
9:00.0,,,51-54,,T. Zeller misses 2-pt shot from 1 ft
8:59.0,Defensive rebound by T. Duncan,,51-54,,
8:52.0,B. Diaw makes 3-pt shot from 25 ft (assist by T. Duncan),3,54-54,,
8:37.0,,,54-56,2,J. Green makes 2-pt shot at rim
8:29.0,T. Duncan misses 2-pt shot at rim,,54-56,,
8:27.0,,,54-56,,Defensive rebound by R. Rondo
8:21.0,,,54-58,2,T. Zeller makes 2-pt shot at rim (assist by R. Rondo)
8:21.0,,,54-58,,Shooting foul by B. Diaw (drawn by T. Zeller)
8:21.0,,,54-59,1,T. Zeller makes free throw 1 of 1
8:10.0,T. Parker makes 2-pt shot at rim,2,56-59,,
7:59.0,,,56-59,,Offensive foul by J. Sullinger
7:59.0,,,56-59,,Turnover by J. Sullinger (offensive foul)
7:46.0,Shooting foul by T. Zeller (drawn by T. Duncan),,56-59,,
7:46.0,T. Duncan makes free throw 1 of 2,1,57-59,,
7:46.0,T. Duncan makes free throw 2 of 2,1,58-59,,
7:30.0,,,58-61,2,J. Green makes 2-pt shot at rim
7:18.0,K. Leonard makes 2-pt shot at rim (assist by T. Duncan),2,60-61,,
6:53.0,,,60-61,,J. Sullinger misses 2-pt shot from 5 ft (block by D. Green)
6:52.0,Defensive rebound by T. Parker,,60-61,,
6:44.0,T. Parker makes 2-pt shot from 11 ft,2,62-61,,
6:18.0,,,62-61,,Turnover by J. Sullinger (bad pass)
6:04.0,T. Parker misses 2-pt shot from 14 ft,,62-61,,
6:04.0,,,62-61,,Defensive rebound by T. Zeller
5:59.0,,,62-63,2,A. Bradley makes 2-pt shot at rim (assist by T. Zeller)
5:59.0,San Antonio full timeout,,62-63,,
5:59.0,,,62-63,,K. Olynyk enters the game for J. Sullinger
5:59.0,,,62-63,,E. Turner enters the game for A. Bradley
5:46.0,D. Green misses 3-pt shot from 22 ft,,62-63,,
5:45.0,,,62-63,,Defensive rebound by E. Turner
5:23.0,,,62-63,,Turnover by K. Olynyk (bad pass; steal by K. Leonard)
5:14.0,T. Parker misses 2-pt shot from 1 ft (block by T. Zeller),,62-63,,
5:13.0,,,62-63,,Defensive rebound by T. Zeller
5:03.0,,,62-63,,Shooting foul by D. Green (drawn by R. Rondo)
5:03.0,,,62-63,,R. Rondo misses free throw 1 of 2
5:03.0,,,62-63,,Offensive rebound by Team
5:03.0,M. Bonner enters the game for B. Diaw,,62-63,,
5:03.0,M. Ginobili enters the game for D. Green,,62-63,,
5:03.0,,,62-63,,R. Rondo misses free throw 2 of 2
5:01.0,,,62-63,,Offensive rebound by T. Zeller
4:51.0,,,62-63,,Turnover by E. Turner (lost ball; steal by M. Bonner)
4:50.0,,,62-63,,Personal foul by K. Olynyk (drawn by M. Bonner)
4:35.0,T. Duncan makes 2-pt shot at rim (assist by T. Parker),2,64-63,,
4:17.0,,,64-63,,K. Olynyk misses 2-pt shot from 6 ft
4:16.0,Defensive rebound by M. Bonner,,64-63,,
4:09.0,M. Bonner misses 3-pt shot from 24 ft,,64-63,,
4:08.0,,,64-63,,Defensive rebound by J. Green
4:04.0,,,64-63,,Shooting foul by T. Duncan (drawn by J. Green)
4:04.0,,,64-64,1,J. Green makes free throw 1 of 2
4:04.0,,,64-64,,B. Bass enters the game for T. Zeller
4:04.0,,,64-64,,M. Thornton enters the game for R. Rondo
4:04.0,C. Joseph enters the game for T. Parker,,64-64,,
4:04.0,,,64-65,1,J. Green makes free throw 2 of 2
3:49.0,M. Bonner makes 2-pt shot from 23 ft (assist by M. Ginobili),2,66-65,,
3:31.0,,,66-65,,K. Olynyk misses 2-pt shot at rim
3:30.0,,,66-65,,Offensive rebound by B. Bass
3:30.0,,,66-67,2,B. Bass makes 2-pt shot from 1 ft
3:17.0,K. Leonard makes 2-pt shot from 2 ft,2,68-67,,
3:17.0,Shooting foul by K. Olynyk (drawn by K. Leonard),,68-67,,
3:17.0,K. Leonard makes free throw 1 of 1,1,69-67,,
3:11.0,,,69-67,,Boston full timeout
3:11.0,A. Baynes enters the game for T. Duncan,,69-67,,
3:03.0,,,69-69,2,M. Thornton makes 2-pt shot from 1 ft (assist by K. Olynyk)
2:44.0,M. Bonner makes 2-pt shot from 5 ft (assist by C. Joseph),2,71-69,,
2:29.0,,,71-69,,J. Green misses 2-pt shot from 9 ft
2:28.0,Defensive rebound by K. Leonard,,71-69,,
2:21.0,K. Leonard makes 2-pt shot from 6 ft,2,73-69,,
2:05.0,,,73-69,,B. Bass misses 2-pt shot from 16 ft
2:03.0,Defensive rebound by C. Joseph,,73-69,,
1:52.0,Turnover by C. Joseph (discontinued dribble),,73-69,,
1:52.0,,,73-69,,A. Bradley enters the game for J. Green
1:52.0,D. Green enters the game for K. Leonard,,73-69,,
1:32.0,,,73-71,2,A. Bradley makes 2-pt shot at rim
1:16.0,D. Green makes 3-pt shot from 23 ft (assist by M. Bonner),3,76-71,,
1:02.0,,,76-71,,E. Turner misses 2-pt shot from 6 ft
1:01.0,Defensive rebound by Team,,76-71,,
0:47.0,C. Joseph misses 3-pt shot from 23 ft,,76-71,,
0:46.0,,,76-71,,Defensive rebound by K. Olynyk
0:31.0,,,76-73,2,E. Turner makes 2-pt shot at rim (assist by M. Thornton)
0:11.0,Shooting foul by B. Bass (drawn by M. Ginobili),,76-73,,
0:11.0,M. Ginobili makes free throw 1 of 2,1,77-73,,
0:11.0,,,77-73,,J. Sullinger enters the game for K. Olynyk
0:11.0,M. Ginobili makes free throw 2 of 2,1,78-73,,
0:10.0,Personal foul by M. Ginobili (drawn by E. Turner),,78-73,,
0:04.0,,,78-73,,Turnover by E. Turner (lost ball)
0:00.0,M. Ginobili misses 3-pt shot from 28 ft,,78-73,,
0:00.0,Offensive rebound by Team,,78-73,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:35.0,C. Joseph misses 2-pt shot from 4 ft,,78-73,,
11:34.0,,,78-73,,Defensive rebound by J. Sullinger
11:17.0,,,78-73,,M. Thornton misses 2-pt shot from 10 ft
11:16.0,Defensive rebound by M. Bonner,,78-73,,
11:07.0,D. Green makes 2-pt shot at rim,2,80-73,,
10:54.0,,,80-73,,Shooting foul by A. Baynes (drawn by A. Bradley)
10:54.0,,,80-74,1,A. Bradley makes free throw 1 of 2
10:54.0,,,80-75,1,A. Bradley makes free throw 2 of 2
10:31.0,M. Ginobili misses 3-pt shot from 24 ft,,80-75,,
10:30.0,,,80-75,,Defensive rebound by J. Sullinger
10:23.0,,,80-75,,E. Turner misses 2-pt shot from 19 ft
10:22.0,,,80-75,,Offensive rebound by E. Turner
10:21.0,,,80-75,,Shooting foul by A. Baynes (drawn by E. Turner)
10:21.0,,,80-76,1,E. Turner makes free throw 1 of 2
10:21.0,,,80-77,1,E. Turner makes free throw 2 of 2
10:15.0,,,80-77,,Personal foul by M. Thornton (drawn by D. Green)
10:04.0,Turnover by M. Ginobili (lost ball; steal by B. Bass),,80-77,,
10:01.0,,,80-77,,Offensive charge foul by B. Bass
10:01.0,,,80-77,,Turnover by B. Bass (offensive foul)
9:49.0,M. Ginobili makes 3-pt shot from 25 ft (assist by C. Joseph),3,83-77,,
9:33.0,,,83-77,,E. Turner misses 3-pt shot from 25 ft
9:32.0,Defensive rebound by D. Green,,83-77,,
9:21.0,M. Ginobili makes 2-pt shot at rim,2,85-77,,
9:14.0,,,85-77,,Boston full timeout
9:14.0,,,85-77,,R. Rondo enters the game for B. Bass
9:14.0,,,85-77,,K. Olynyk enters the game for E. Turner
9:14.0,K. Leonard enters the game for M. Ginobili,,85-77,,
9:07.0,,,85-77,,A. Bradley misses 2-pt shot at rim
9:06.0,Defensive rebound by K. Leonard,,85-77,,
8:53.0,,,85-77,,Personal foul by R. Rondo (drawn by K. Leonard)
8:53.0,,,85-77,,J. Green enters the game for M. Thornton
8:42.0,C. Joseph makes 2-pt shot from 1 ft,2,87-77,,
8:42.0,Shooting foul by K. Olynyk (drawn by C. Joseph),,87-77,,
8:42.0,C. Joseph makes free throw 1 of 1,1,88-77,,
8:32.0,,,88-77,,K. Olynyk misses 3-pt shot from 25 ft
8:31.0,Defensive rebound by K. Leonard,,88-77,,
8:24.0,K. Leonard misses 2-pt shot from 21 ft,,88-77,,
8:23.0,,,88-77,,Defensive rebound by J. Sullinger
8:01.0,,,88-79,2,J. Sullinger makes 2-pt shot from 12 ft (assist by R. Rondo)
7:44.0,A. Baynes misses 2-pt shot from 18 ft,,88-79,,
7:43.0,,,88-79,,Defensive rebound by J. Sullinger
7:31.0,,,88-79,,J. Sullinger misses 3-pt shot from 23 ft
7:30.0,Defensive rebound by K. Leonard,,88-79,,
7:25.0,,,88-79,,Personal foul by J. Sullinger (drawn by A. Baynes)
7:25.0,A. Baynes makes free throw 1 of 2,1,89-79,,
7:25.0,A. Baynes makes free throw 2 of 2,1,90-79,,
7:16.0,,,90-79,,Offensive foul by J. Sullinger
7:16.0,,,90-79,,Turnover by J. Sullinger (offensive foul)
6:54.0,K. Leonard misses 2-pt shot from 11 ft,,90-79,,
6:53.0,Offensive rebound by M. Bonner,,90-79,,
6:38.0,A. Baynes makes 2-pt shot at rim (assist by C. Joseph),2,92-79,,
6:28.0,Personal block foul by A. Baynes (drawn by J. Sullinger),,92-79,,
6:28.0,,,92-79,,E. Turner enters the game for A. Bradley
6:28.0,,,92-79,,B. Bass enters the game for J. Sullinger
6:25.0,,,92-79,,Turnover by K. Olynyk (lost ball; steal by D. Green)
6:10.0,C. Joseph makes 2-pt shot at rim,2,94-79,,
6:09.0,,,94-79,,Boston full timeout
6:09.0,,,94-79,,M. Thornton enters the game for K. Olynyk
6:09.0,T. Parker enters the game for C. Joseph,,94-79,,
6:09.0,M. Ginobili enters the game for M. Bonner,,94-79,,
6:02.0,,,94-79,,Shooting foul by K. Leonard (drawn by J. Green)
6:02.0,,,94-80,1,J. Green makes free throw 1 of 2
6:02.0,,,94-80,,J. Green misses free throw 2 of 2
6:01.0,Defensive rebound by K. Leonard,,94-80,,
5:35.0,A. Baynes makes 3-pt shot from 27 ft (assist by D. Green),3,97-80,,
5:26.0,,,97-80,,M. Thornton misses 3-pt shot from 26 ft
5:25.0,Defensive rebound by A. Baynes,,97-80,,
5:05.0,A. Baynes misses 2-pt shot from 16 ft,,97-80,,
5:04.0,,,97-80,,Defensive rebound by B. Bass
4:55.0,,,97-80,,J. Green misses 2-pt shot at rim
4:54.0,Defensive rebound by A. Baynes,,97-80,,
4:38.0,A. Baynes makes 2-pt shot at rim (assist by D. Green),2,99-80,,
4:20.0,,,99-80,,M. Thornton misses 2-pt shot from 1 ft
4:19.0,,,99-80,,Offensive rebound by Team
4:19.0,Official timeout,,99-80,,
4:19.0,,,99-80,,D. Powell enters the game for J. Green
4:19.0,,,99-80,,J. Young enters the game for R. Rondo
4:19.0,,,99-80,,P. Pressey enters the game for B. Bass
4:19.0,,,99-80,,T. Zeller enters the game for E. Turner
4:19.0,M. Belinelli enters the game for K. Leonard,,99-80,,
4:19.0,C. Joseph enters the game for T. Parker,,99-80,,
4:19.0,K. Anderson enters the game for M. Ginobili,,99-80,,
4:19.0,J. Ayres enters the game for A. Baynes,,99-80,,
4:19.0,,,99-80,,Turnover by P. Pressey (bad pass)
3:59.0,K. Anderson misses 2-pt shot from 11 ft,,99-80,,
3:58.0,,,99-80,,Defensive rebound by D. Powell
3:56.0,Personal take foul by C. Joseph (drawn by P. Pressey),,99-80,,
3:56.0,A. Daye enters the game for D. Green,,99-80,,
3:56.0,,,99-80,,P. Pressey misses free throw 1 of 2
3:56.0,,,99-80,,Offensive rebound by Team
3:56.0,,,99-81,1,P. Pressey makes free throw 2 of 2
3:50.0,,,99-81,,Personal foul by P. Pressey (drawn by C. Joseph)
3:50.0,C. Joseph makes free throw 1 of 2,1,100-81,,
3:50.0,C. Joseph misses free throw 2 of 2,,100-81,,
3:49.0,,,100-81,,Defensive rebound by J. Young
3:33.0,,,100-81,,Turnover by D. Powell (lost ball; steal by K. Anderson)
3:28.0,San Antonio full timeout,,100-81,,
3:28.0,M. Bonner enters the game for C. Joseph,,100-81,,
3:14.0,M. Bonner misses 2-pt shot from 5 ft,,100-81,,
3:13.0,,,100-81,,Defensive rebound by T. Zeller
2:57.0,,,100-81,,D. Powell misses 2-pt shot from 1 ft
2:56.0,Defensive rebound by J. Ayres,,100-81,,
2:52.0,Turnover by A. Daye (traveling),,100-81,,
2:52.0,San Antonio full timeout,,100-81,,
