time,Houston,pts.away,score,pts.home,Portland
7:13.0,Personal foul by J. Harden (drawn by N. Batum),,81-89,,
7:05.0,,,81-89,,L. Aldridge misses 2-pt shot from 7 ft
7:04.0,,,81-89,,Offensive rebound by C. Kaman
7:04.0,,,81-89,,C. Kaman misses 2-pt shot at rim
7:03.0,Defensive rebound by T. Ariza,,81-89,,
6:54.0,Offensive charge foul by J. Harden,,81-89,,
6:54.0,Turnover by J. Harden (offensive foul),,81-89,,
6:54.0,,,81-89,,R. Lopez enters the game for C. Kaman
6:41.0,,,81-89,,Turnover by N. Batum (bad pass; steal by T. Jones)
6:38.0,,,81-89,,Personal foul by D. Lillard (drawn by T. Jones)
6:38.0,,,81-89,,A. Afflalo enters the game for C. McCollum
6:30.0,P. Beverley makes 2-pt shot from 2 ft,2,83-89,,
6:17.0,Personal foul by D. Motiejunas (drawn by L. Aldridge),,83-89,,
6:08.0,Personal foul by D. Motiejunas (drawn by L. Aldridge),,83-89,,
6:04.0,,,83-89,,Offensive foul by L. Aldridge
6:04.0,,,83-89,,Turnover by L. Aldridge (offensive foul)
5:55.0,P. Beverley misses 2-pt shot from 6 ft,,83-89,,
5:54.0,,,83-89,,Defensive rebound by N. Batum
5:44.0,,,83-91,2,N. Batum makes 2-pt shot at rim
5:28.0,J. Harden misses 2-pt shot from 2 ft (block by L. Aldridge),,83-91,,
5:26.0,Offensive rebound by T. Ariza,,83-91,,
5:20.0,T. Jones misses 3-pt shot from 24 ft,,83-91,,
5:20.0,,,83-91,,Defensive rebound by Team
5:20.0,Loose ball foul by J. Harden (drawn by N. Batum),,83-91,,
5:20.0,,,83-91,,Portland full timeout
5:20.0,,,83-91,,N. Batum misses free throw 1 of 2
5:20.0,,,83-91,,Offensive rebound by Team
5:20.0,,,83-92,1,N. Batum makes free throw 2 of 2
5:01.0,D. Motiejunas misses 2-pt shot from 7 ft,,83-92,,
5:01.0,,,83-92,,Defensive rebound by R. Lopez
4:52.0,,,83-94,2,R. Lopez makes 2-pt shot from 1 ft (assist by D. Lillard)
4:39.0,J. Harden misses 3-pt shot from 24 ft,,83-94,,
