time,Golden State,pts.away,score,pts.home,Dallas
8:42.0,,,12-6,,Defensive rebound by T. Chandler
8:32.0,,,12-8,2,T. Chandler makes 2-pt shot from 12 ft (assist by R. Rondo)
8:15.0,Shooting foul by D. Nowitzki (drawn by D. Green),,12-8,,
8:15.0,D. Green misses free throw 1 of 2,,12-8,,
8:15.0,Offensive rebound by Team,,12-8,,
8:15.0,,,12-8,,A. Aminu enters the game for D. Nowitzki
8:15.0,D. Green misses free throw 2 of 2,,12-8,,
8:14.0,,,12-8,,Defensive rebound by R. Rondo
8:05.0,,,12-10,2,R. Rondo makes 2-pt shot from 1 ft
7:51.0,K. Thompson misses 2-pt shot from 21 ft,,12-10,,
7:49.0,Offensive rebound by H. Barnes,,12-10,,
7:47.0,H. Barnes misses 2-pt shot from 1 ft,,12-10,,
7:47.0,,,12-10,,Defensive rebound by T. Chandler
7:41.0,,,12-12,2,R. Jefferson makes 2-pt shot from 2 ft (assist by R. Rondo)
7:29.0,S. Curry makes 3-pt shot from 22 ft (assist by A. Bogut),3,15-12,,
7:20.0,,,15-12,,R. Rondo misses 2-pt shot from 9 ft
7:19.0,,,15-12,,Offensive rebound by T. Chandler
7:19.0,,,15-12,,T. Chandler misses 2-pt shot from 1 ft
7:17.0,Defensive rebound by A. Bogut,,15-12,,
7:08.0,D. Green misses 3-pt shot from 24 ft,,15-12,,
7:07.0,,,15-12,,Defensive rebound by R. Rondo
7:00.0,,,15-12,,R. Rondo misses 2-pt shot from 9 ft
6:59.0,Defensive rebound by A. Bogut,,15-12,,
6:43.0,H. Barnes misses 3-pt shot from 22 ft,,15-12,,
6:42.0,,,15-12,,Defensive rebound by M. Ellis
6:36.0,Personal block foul by K. Thompson (drawn by M. Ellis),,15-12,,
6:36.0,J. Holiday enters the game for K. Thompson,,15-12,,
6:27.0,,,15-12,,R. Jefferson misses 2-pt shot from 9 ft
6:26.0,Defensive rebound by D. Green,,15-12,,
6:20.0,S. Curry misses 3-pt shot from 26 ft,,15-12,,
6:18.0,Offensive rebound by A. Bogut,,15-12,,
6:18.0,A. Bogut makes 2-pt shot at rim,2,17-12,,
5:52.0,A. Iguodala enters the game for D. Green,,17-12,,
5:49.0,,,17-12,,A. Aminu misses 3-pt shot from 22 ft
5:48.0,Defensive rebound by A. Bogut,,17-12,,
5:37.0,Turnover by A. Bogut (lost ball; steal by R. Jefferson),,17-12,,
5:33.0,,,17-12,,M. Ellis misses 2-pt shot at rim
5:31.0,Defensive rebound by H. Barnes,,17-12,,
5:25.0,H. Barnes makes 2-pt shot from 17 ft,2,19-12,,
5:04.0,,,19-12,,A. Aminu misses 2-pt shot from 3 ft
5:03.0,,,19-12,,Offensive rebound by Team
5:01.0,,,19-14,2,R. Rondo makes 2-pt shot at rim
5:01.0,,,19-14,,Shooting foul by A. Bogut (drawn by R. Rondo)
5:01.0,,,19-14,,A. Stoudemire enters the game for T. Chandler
5:01.0,,,19-14,,R. Rondo misses free throw 1 of 1
5:00.0,,,19-14,,Offensive rebound by A. Aminu
4:56.0,Shooting block foul by H. Barnes (drawn by A. Aminu),,19-14,,
4:56.0,,,19-15,1,A. Aminu makes free throw 1 of 2
4:56.0,,,19-15,,A. Aminu misses free throw 2 of 2
4:55.0,Defensive rebound by A. Bogut,,19-15,,
4:39.0,A. Iguodala makes 3-pt shot from 24 ft,3,22-15,,
4:27.0,,,22-15,,A. Stoudemire misses 2-pt shot from 2 ft (block by A. Bogut)
4:26.0,Defensive rebound by H. Barnes,,22-15,,
4:19.0,J. Holiday misses 3-pt shot from 24 ft,,22-15,,
4:17.0,Offensive rebound by S. Curry,,22-15,,
4:15.0,Turnover by S. Curry (bad pass; steal by R. Jefferson),,22-15,,
4:08.0,,,22-17,2,M. Ellis makes 2-pt shot from 14 ft (assist by R. Rondo)
3:54.0,J. Holiday misses 2-pt shot from 2 ft,,22-17,,
3:53.0,,,22-17,,Defensive rebound by M. Ellis
3:41.0,,,22-17,,A. Stoudemire misses 2-pt shot from 6 ft
3:41.0,Defensive rebound by Team,,22-17,,
3:41.0,,,22-17,,D. Harris enters the game for R. Rondo
3:41.0,S. Livingston enters the game for H. Barnes,,22-17,,
3:20.0,A. Iguodala misses 2-pt shot from 1 ft,,22-17,,
3:19.0,,,22-17,,Defensive rebound by A. Stoudemire
3:19.0,Loose ball foul by A. Bogut (drawn by A. Stoudemire),,22-17,,
3:19.0,,,22-18,1,A. Stoudemire makes free throw 1 of 2
3:19.0,F. Ezeli enters the game for A. Bogut,,22-18,,
3:19.0,,,22-19,1,A. Stoudemire makes free throw 2 of 2
3:12.0,Turnover by S. Livingston (bad pass; steal by A. Aminu),,22-19,,
3:09.0,,,22-21,2,A. Aminu makes 2-pt shot at rim
3:09.0,Golden State full timeout,,22-21,,
2:52.0,F. Ezeli makes 2-pt shot from 5 ft (assist by A. Iguodala),2,24-21,,
2:37.0,,,24-21,,A. Stoudemire misses 2-pt shot from 19 ft
2:36.0,Defensive rebound by S. Livingston,,24-21,,
2:27.0,S. Curry misses 2-pt shot from 4 ft,,24-21,,
2:26.0,,,24-21,,Defensive rebound by Team
2:08.0,,,24-23,2,A. Stoudemire makes 2-pt shot at rim
1:58.0,Turnover by S. Livingston (bad pass; steal by R. Jefferson),,24-23,,
1:57.0,Clear path foul by J. Holiday,,24-23,,
1:57.0,,,24-24,1,R. Jefferson makes clear path free throw 1 of 2
1:57.0,,,24-24,,R. Jefferson misses clear path free throw 2 of 2
1:57.0,,,24-24,,Offensive rebound by Team
1:57.0,L. Barbosa enters the game for S. Curry,,24-24,,
1:47.0,,,24-24,,Turnover by D. Harris (bad pass; steal by L. Barbosa)
1:41.0,J. Holiday misses 3-pt shot from 23 ft,,24-24,,
1:40.0,,,24-24,,Defensive rebound by A. Stoudemire
1:34.0,,,24-24,,Turnover by D. Harris (traveling)
1:34.0,,,24-24,,J. Barea enters the game for M. Ellis
1:17.0,,,24-24,,Personal foul by A. Aminu (drawn by F. Ezeli)
1:17.0,,,24-24,,C. Villanueva enters the game for R. Jefferson
1:09.0,S. Livingston makes 2-pt shot from 13 ft,2,26-24,,
0:53.0,,,26-24,,J. Barea misses 2-pt shot from 11 ft
0:52.0,Defensive rebound by F. Ezeli,,26-24,,
0:45.0,A. Iguodala misses 3-pt shot from 22 ft,,26-24,,
0:44.0,Offensive rebound by F. Ezeli,,26-24,,
0:44.0,,,26-24,,Loose ball foul by C. Villanueva (drawn by F. Ezeli)
0:44.0,F. Ezeli misses free throw 1 of 2,,26-24,,
0:44.0,Offensive rebound by Team,,26-24,,
0:44.0,F. Ezeli misses free throw 2 of 2,,26-24,,
0:44.0,,,26-24,,Defensive rebound by A. Aminu
0:27.0,,,26-24,,Turnover by J. Barea (bad pass; steal by F. Ezeli)
0:23.0,Turnover by J. Holiday (offensive foul),,26-24,,
0:23.0,Offensive charge foul by J. Holiday,,26-24,,
0:04.0,,,26-24,,J. Barea misses 2-pt shot from 6 ft (block by J. Holiday)
0:04.0,,,26-24,,Offensive rebound by Team
0:02.0,,,26-24,,D. Harris misses 2-pt shot from 1 ft (block by F. Ezeli)
0:01.0,Defensive rebound by J. Holiday,,26-24,,
0:00.0,A. Iguodala misses 3-pt shot from 65 ft,,26-24,,
0:00.0,Offensive rebound by Team,,26-24,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:47.0,,,26-26,2,D. Nowitzki makes 2-pt shot from 15 ft (assist by J. Barea)
11:34.0,A. Iguodala makes 3-pt shot from 23 ft (assist by L. Barbosa),3,29-26,,
11:15.0,,,29-28,2,A. Stoudemire makes 2-pt shot at rim (assist by D. Harris)
10:57.0,D. Green misses 2-pt shot from 17 ft,,29-28,,
10:56.0,,,29-28,,Defensive rebound by D. Harris
10:36.0,,,29-28,,Shooting foul by S. Livingston (drawn by D. Nowitzki)
10:36.0,,,29-28,,D. Nowitzki misses free throw 1 of 2
10:36.0,,,29-28,,Offensive rebound by Team
10:36.0,,,29-29,1,D. Nowitzki makes free throw 2 of 2
10:24.0,M. Speights makes 2-pt shot from 15 ft (assist by S. Livingston),2,31-29,,
10:09.0,,,31-31,2,J. Barea makes 2-pt shot from 5 ft
9:56.0,M. Speights makes 2-pt shot from 22 ft (assist by L. Barbosa),2,33-31,,
9:43.0,,,33-31,,Shooting foul by D. Green (drawn by D. Harris)
9:43.0,,,33-31,,D. Harris misses free throw 1 of 2
9:43.0,,,33-31,,Offensive rebound by Team
9:43.0,,,33-32,1,D. Harris makes free throw 2 of 2
9:30.0,Shooting foul by D. Nowitzki (drawn by M. Speights),,33-32,,
9:30.0,M. Speights makes free throw 1 of 2,1,34-32,,
9:30.0,,,34-32,,C. Villanueva enters the game for D. Nowitzki
9:30.0,M. Speights makes free throw 2 of 2,1,35-32,,
9:10.0,,,35-32,,A. Stoudemire misses 2-pt shot from 19 ft
9:09.0,Defensive rebound by Team,,35-32,,
9:09.0,,,35-32,,Personal foul by J. Barea (drawn by D. Green)
9:09.0,K. Thompson enters the game for S. Livingston,,35-32,,
9:09.0,,,35-32,,T. Chandler enters the game for A. Stoudemire
8:56.0,D. Green makes 2-pt shot from 1 ft (assist by M. Speights),2,37-32,,
8:47.0,,,37-32,,Shooting foul by L. Barbosa (drawn by J. Barea)
8:47.0,Official timeout,,37-32,,
8:47.0,,,37-33,1,J. Barea makes free throw 1 of 2
8:47.0,,,37-33,,J. Barea misses free throw 2 of 2
8:46.0,Defensive rebound by D. Green,,37-33,,
8:32.0,M. Speights misses 2-pt shot from 19 ft,,37-33,,
8:31.0,,,37-33,,Defensive rebound by C. Villanueva
8:13.0,,,37-33,,J. Barea misses 2-pt shot from 2 ft (block by L. Barbosa)
8:11.0,Defensive rebound by D. Green,,37-33,,
8:03.0,A. Iguodala misses 3-pt shot from 24 ft,,37-33,,
8:02.0,,,37-33,,Defensive rebound by C. Villanueva
7:49.0,,,37-33,,Shooting foul by M. Speights (drawn by A. Aminu)
7:49.0,,,37-34,1,A. Aminu makes free throw 1 of 2
7:49.0,A. Bogut enters the game for M. Speights,,37-34,,
7:49.0,,,37-34,,A. Aminu misses free throw 2 of 2
7:48.0,Defensive rebound by A. Iguodala,,37-34,,
7:32.0,Turnover by K. Thompson (bad pass; steal by A. Aminu),,37-34,,
7:26.0,,,37-34,,D. Harris misses 3-pt shot from 25 ft
7:24.0,,,37-34,,Offensive rebound by C. Villanueva
7:24.0,,,37-36,2,C. Villanueva makes 2-pt shot at rim
7:06.0,K. Thompson misses 2-pt shot from 12 ft,,37-36,,
7:05.0,Offensive rebound by A. Bogut,,37-36,,
7:05.0,A. Bogut misses 2-pt shot at rim,,37-36,,
7:04.0,,,37-36,,Defensive rebound by T. Chandler
7:01.0,Personal foul by A. Bogut (drawn by T. Chandler),,37-36,,
7:01.0,,,37-36,,T. Chandler misses free throw 1 of 2
7:01.0,,,37-36,,Offensive rebound by Team
7:01.0,F. Ezeli enters the game for A. Bogut,,37-36,,
7:01.0,,,37-37,1,T. Chandler makes free throw 2 of 2
6:45.0,A. Iguodala misses 2-pt shot from 5 ft,,37-37,,
6:44.0,Offensive rebound by F. Ezeli,,37-37,,
6:40.0,L. Barbosa makes 3-pt shot from 22 ft (assist by A. Iguodala),3,40-37,,
6:31.0,,,40-37,,Turnover by J. Barea (bad pass; steal by D. Green)
6:26.0,A. Iguodala misses 2-pt shot from 4 ft,,40-37,,
6:25.0,,,40-37,,Defensive rebound by A. Aminu
6:21.0,,,40-37,,Shooting foul by F. Ezeli (drawn by A. Aminu)
6:21.0,,,40-37,,A. Aminu misses free throw 1 of 2
6:21.0,,,40-37,,Offensive rebound by Team
6:21.0,,,40-38,1,A. Aminu makes free throw 2 of 2
6:06.0,K. Thompson misses 3-pt shot from 23 ft,,40-38,,
6:05.0,,,40-38,,Defensive rebound by A. Aminu
5:58.0,,,40-38,,C. Villanueva misses 3-pt shot from 25 ft
5:57.0,Defensive rebound by K. Thompson,,40-38,,
5:50.0,D. Green makes 3-pt shot from 24 ft (assist by K. Thompson),3,43-38,,
5:49.0,,,43-38,,Dallas full timeout
5:49.0,,,43-38,,M. Ellis enters the game for A. Aminu
5:49.0,,,43-38,,R. Rondo enters the game for D. Harris
5:49.0,,,43-38,,R. Jefferson enters the game for J. Barea
5:49.0,S. Curry enters the game for A. Iguodala,,43-38,,
5:49.0,H. Barnes enters the game for L. Barbosa,,43-38,,
5:34.0,,,43-38,,C. Villanueva misses 2-pt shot from 17 ft
5:33.0,Defensive rebound by F. Ezeli,,43-38,,
5:09.0,H. Barnes misses 2-pt shot from 10 ft,,43-38,,
5:08.0,,,43-38,,Defensive rebound by C. Villanueva
4:56.0,,,43-38,,C. Villanueva misses 2-pt shot from 4 ft
4:55.0,Defensive rebound by F. Ezeli,,43-38,,
4:38.0,Shooting foul by T. Chandler (drawn by F. Ezeli),,43-38,,
4:38.0,F. Ezeli makes free throw 1 of 2,1,44-38,,
4:38.0,F. Ezeli makes free throw 2 of 2,1,45-38,,
4:23.0,,,45-38,,M. Ellis misses 2-pt shot from 18 ft
4:21.0,,,45-38,,Offensive rebound by C. Villanueva
4:21.0,,,45-38,,C. Villanueva misses 2-pt shot from 3 ft
4:20.0,,,45-38,,Offensive rebound by T. Chandler
4:20.0,,,45-40,2,T. Chandler makes 2-pt shot at rim
4:07.0,H. Barnes misses 3-pt shot from 22 ft,,45-40,,
4:06.0,Offensive rebound by H. Barnes,,45-40,,
3:59.0,H. Barnes makes 2-pt shot at rim (assist by S. Curry),2,47-40,,
3:36.0,,,47-40,,M. Ellis misses 2-pt shot from 4 ft
3:35.0,Defensive rebound by F. Ezeli,,47-40,,
3:28.0,S. Curry misses 3-pt shot from 24 ft,,47-40,,
3:27.0,,,47-40,,Defensive rebound by T. Chandler
3:18.0,,,47-40,,R. Jefferson misses 3-pt shot from 24 ft
3:17.0,Defensive rebound by S. Curry,,47-40,,
3:12.0,S. Curry makes 2-pt shot from 2 ft,2,49-40,,
2:52.0,Golden State full timeout,,49-40,,
2:52.0,,,49-40,,A. Aminu enters the game for C. Villanueva
2:52.0,A. Iguodala enters the game for D. Green,,49-40,,
2:52.0,Jump ball: M. Ellis vs. K. Thompson (A. Aminu gains possession),,,,Jump ball: M. Ellis vs. K. Thompson (A. Aminu gains possession)
2:47.0,,,49-40,,R. Rondo misses 3-pt shot from 24 ft
2:46.0,,,49-40,,Offensive rebound by T. Chandler
2:41.0,,,49-42,2,M. Ellis makes 2-pt shot from 7 ft
2:19.0,F. Ezeli makes 2-pt shot from 1 ft (assist by A. Iguodala),2,51-42,,
2:11.0,Violation by K. Thompson (kicked ball),,51-42,,
2:06.0,,,51-42,,M. Ellis misses 2-pt shot from 18 ft
2:06.0,,,51-42,,Offensive rebound by R. Rondo
2:01.0,Shooting block foul by F. Ezeli (drawn by R. Jefferson),,51-42,,
2:01.0,,,51-43,1,R. Jefferson makes free throw 1 of 2
2:01.0,Golden State full timeout,,51-43,,
2:01.0,,,51-44,1,R. Jefferson makes free throw 2 of 2
1:46.0,H. Barnes misses 3-pt shot from 24 ft,,51-44,,
1:45.0,Offensive rebound by S. Curry,,51-44,,
1:41.0,K. Thompson makes 3-pt shot from 23 ft (assist by S. Curry),3,54-44,,
1:33.0,,,54-44,,Turnover by M. Ellis (lost ball; steal by H. Barnes)
1:29.0,A. Iguodala makes 2-pt shot at rim (assist by H. Barnes),2,56-44,,
1:28.0,,,56-44,,Dallas full timeout
1:28.0,,,56-44,,A. Stoudemire enters the game for T. Chandler
1:28.0,S. Livingston enters the game for H. Barnes,,56-44,,
1:06.0,,,56-44,,A. Stoudemire misses 2-pt shot from 10 ft
1:05.0,Defensive rebound by S. Livingston,,56-44,,
0:55.0,,,56-44,,Personal foul by R. Rondo (drawn by S. Curry)
0:46.0,F. Ezeli misses 2-pt shot from 7 ft,,56-44,,
0:45.0,,,56-44,,Defensive rebound by A. Aminu
0:36.0,,,56-44,,Shooting foul by F. Ezeli (drawn by M. Ellis)
0:36.0,,,56-45,1,M. Ellis makes free throw 1 of 2
0:36.0,M. Speights enters the game for F. Ezeli,,56-45,,
0:36.0,,,56-45,,M. Ellis misses free throw 2 of 2
0:36.0,Defensive rebound by S. Curry,,56-45,,
0:25.0,K. Thompson misses 3-pt shot from 24 ft,,56-45,,
0:24.0,,,56-45,,Defensive rebound by R. Jefferson
0:03.0,,,56-47,2,M. Ellis makes 2-pt shot from 1 ft
0:03.0,,,56-47,,Shooting foul by M. Speights (drawn by M. Ellis)
0:03.0,,,56-47,,D. Harris enters the game for A. Stoudemire
0:03.0,,,56-48,1,M. Ellis makes free throw 1 of 1
0:00.0,M. Speights makes 3-pt shot from 35 ft,3,59-48,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
12:00.0,Technical foul by Team,,59-48,,
12:00.0,,,59-48,,M. Ellis misses technical free throw
12:00.0,,,59-48,,Offensive rebound by Team
11:46.0,,,59-48,,M. Ellis misses 2-pt shot from 9 ft
11:45.0,Defensive rebound by H. Barnes,,59-48,,
11:28.0,K. Thompson makes 3-pt shot from 23 ft (assist by D. Green),3,62-48,,
11:13.0,,,62-50,2,M. Ellis makes 2-pt shot from 20 ft (assist by R. Rondo)
11:00.0,K. Thompson makes 3-pt shot from 23 ft (assist by S. Curry),3,65-50,,
10:42.0,Personal foul by A. Bogut (drawn by D. Nowitzki),,65-50,,
10:33.0,,,65-50,,M. Ellis misses 3-pt shot from 25 ft
10:31.0,Defensive rebound by H. Barnes,,65-50,,
10:26.0,K. Thompson misses 3-pt shot from 24 ft,,65-50,,
10:24.0,Offensive rebound by H. Barnes,,65-50,,
10:19.0,H. Barnes misses 2-pt shot from 21 ft,,65-50,,
10:18.0,,,65-50,,Defensive rebound by D. Nowitzki
10:09.0,,,65-50,,Shooting foul by S. Curry (drawn by D. Nowitzki)
10:09.0,,,65-50,,D. Nowitzki misses free throw 1 of 2
10:09.0,,,65-50,,Offensive rebound by Team
10:09.0,,,65-51,1,D. Nowitzki makes free throw 2 of 2
9:59.0,A. Bogut makes 2-pt shot from 1 ft (assist by D. Green),2,67-51,,
9:46.0,,,67-51,,Turnover by M. Ellis (bad pass; steal by S. Curry)
9:38.0,K. Thompson misses 3-pt shot from 23 ft,,67-51,,
9:37.0,,,67-51,,Defensive rebound by T. Chandler
9:16.0,,,67-51,,R. Jefferson misses 2-pt shot from 21 ft
9:15.0,Defensive rebound by A. Bogut,,67-51,,
9:09.0,D. Green misses 2-pt shot from 11 ft,,67-51,,
9:09.0,Offensive rebound by K. Thompson,,67-51,,
9:09.0,K. Thompson makes 2-pt shot at rim,2,69-51,,
9:09.0,,,69-51,,Dallas full timeout
8:55.0,,,69-51,,Shooting foul by H. Barnes (drawn by R. Jefferson)
8:55.0,,,69-52,1,R. Jefferson makes free throw 1 of 2
8:55.0,,,69-53,1,R. Jefferson makes free throw 2 of 2
8:33.0,K. Thompson misses 2-pt shot from 7 ft,,69-53,,
8:32.0,,,69-53,,Defensive rebound by T. Chandler
8:21.0,,,69-55,2,D. Nowitzki makes 2-pt shot from 10 ft
8:21.0,,,69-55,,Shooting foul by D. Green (drawn by D. Nowitzki)
8:21.0,,,69-56,1,D. Nowitzki makes free throw 1 of 1
8:05.0,S. Curry misses 2-pt shot from 5 ft,,69-56,,
8:04.0,,,69-56,,Defensive rebound by R. Jefferson
7:56.0,,,69-56,,Turnover by D. Nowitzki (bad pass)
7:48.0,S. Curry misses 2-pt shot from 3 ft,,69-56,,
7:47.0,Offensive rebound by A. Bogut,,69-56,,
7:47.0,A. Bogut makes 2-pt shot at rim,2,71-56,,
7:36.0,,,71-58,2,M. Ellis makes 2-pt shot from 11 ft
7:24.0,D. Green misses 2-pt shot from 2 ft,,71-58,,
7:23.0,,,71-58,,Defensive rebound by T. Chandler
7:17.0,,,71-58,,Turnover by R. Jefferson (bad pass; steal by H. Barnes)
7:12.0,Shooting foul by R. Rondo (drawn by H. Barnes),,71-58,,
7:12.0,H. Barnes makes free throw 1 of 2,1,72-58,,
7:12.0,,,72-58,,D. Harris enters the game for R. Rondo
7:12.0,H. Barnes makes free throw 2 of 2,1,73-58,,
6:54.0,,,73-60,2,D. Nowitzki makes 2-pt shot from 13 ft
6:45.0,Offensive charge foul by D. Green,,73-60,,
6:45.0,Turnover by D. Green (offensive foul),,73-60,,
6:41.0,Personal foul by D. Green (drawn by D. Nowitzki),,73-60,,
6:41.0,,,73-61,1,D. Nowitzki makes free throw 1 of 2
6:41.0,A. Iguodala enters the game for D. Green,,73-61,,
6:41.0,,,73-62,1,D. Nowitzki makes free throw 2 of 2
6:25.0,,,73-62,,Violation by D. Nowitzki (kicked ball)
6:25.0,,,73-62,,J. Barea enters the game for R. Jefferson
6:16.0,K. Thompson misses 3-pt shot from 24 ft,,73-62,,
6:15.0,,,73-62,,Defensive rebound by D. Nowitzki
6:07.0,,,73-62,,D. Nowitzki misses 2-pt shot from 16 ft
6:06.0,Defensive rebound by A. Bogut,,73-62,,
6:02.0,Shooting foul by J. Barea (drawn by H. Barnes),,73-62,,
6:02.0,H. Barnes makes free throw 1 of 2,1,74-62,,
6:02.0,H. Barnes misses free throw 2 of 2,,74-62,,
6:01.0,,,74-62,,Defensive rebound by D. Nowitzki
5:42.0,,,74-62,,M. Ellis misses 2-pt shot from 22 ft
5:41.0,Defensive rebound by A. Bogut,,74-62,,
5:27.0,Turnover by K. Thompson (traveling),,74-62,,
5:13.0,Personal foul by H. Barnes (drawn by D. Nowitzki),,74-62,,
5:13.0,,,74-63,1,D. Nowitzki makes free throw 1 of 2
5:13.0,L. Barbosa enters the game for K. Thompson,,74-63,,
5:13.0,,,74-63,,D. Nowitzki misses free throw 2 of 2
5:12.0,Defensive rebound by A. Bogut,,74-63,,
4:57.0,A. Iguodala misses 3-pt shot from 23 ft,,74-63,,
4:56.0,,,74-63,,Defensive rebound by T. Chandler
4:48.0,,,74-65,2,J. Barea makes 2-pt shot from 14 ft
4:36.0,,,74-65,,Personal foul by D. Harris (drawn by S. Curry)
4:36.0,S. Livingston enters the game for H. Barnes,,74-65,,
4:36.0,,,74-65,,A. Aminu enters the game for D. Nowitzki
4:26.0,A. Bogut misses 2-pt shot from 11 ft,,74-65,,
4:25.0,,,74-65,,Defensive rebound by T. Chandler
4:07.0,,,74-65,,D. Harris misses 2-pt shot from 17 ft
4:07.0,Defensive rebound by A. Iguodala,,74-65,,
4:07.0,,,74-65,,Loose ball foul by A. Aminu (drawn by A. Iguodala)
3:55.0,A. Bogut makes 2-pt shot from 5 ft,2,76-65,,
3:44.0,,,76-67,2,T. Chandler makes 2-pt shot at rim (assist by J. Barea)
3:32.0,Shooting foul by D. Harris (drawn by S. Curry),,76-67,,
3:32.0,S. Curry misses free throw 1 of 2,,76-67,,
3:32.0,Offensive rebound by Team,,76-67,,
3:32.0,F. Ezeli enters the game for A. Bogut,,76-67,,
3:32.0,S. Curry makes free throw 2 of 2,1,77-67,,
3:26.0,,,77-69,2,M. Ellis makes 2-pt shot from 2 ft (assist by J. Barea)
3:25.0,Golden State full timeout,,77-69,,
3:25.0,,,77-69,,A. Stoudemire enters the game for T. Chandler
3:09.0,S. Curry misses 2-pt shot from 5 ft,,77-69,,
3:08.0,Offensive rebound by F. Ezeli,,77-69,,
3:08.0,F. Ezeli misses 2-pt shot from 3 ft (block by A. Stoudemire),,77-69,,
3:08.0,Jump ball: F. Ezeli vs. A. Stoudemire (L. Barbosa gains possession),,,,Jump ball: F. Ezeli vs. A. Stoudemire (L. Barbosa gains possession)
3:08.0,Offensive rebound by F. Ezeli,,77-69,,
3:01.0,A. Iguodala makes 3-pt shot from 24 ft (assist by L. Barbosa),3,80-69,,
2:45.0,,,80-69,,Turnover by D. Harris (lost ball; steal by L. Barbosa)
2:41.0,A. Iguodala makes 2-pt shot from 1 ft (assist by S. Livingston),2,82-69,,
2:40.0,,,82-69,,Dallas full timeout
2:26.0,,,82-71,2,A. Stoudemire makes 2-pt shot at rim
2:20.0,Technical foul by F. Ezeli,,82-71,,
2:20.0,,,82-72,1,D. Harris makes technical free throw
2:05.0,A. Iguodala makes 2-pt shot from 12 ft,2,84-72,,
1:53.0,,,84-72,,J. Barea misses 2-pt shot from 7 ft
1:52.0,Defensive rebound by Team,,84-72,,
1:52.0,,,84-72,,D. Nowitzki enters the game for M. Ellis
1:38.0,L. Barbosa makes 2-pt shot at rim (assist by A. Iguodala),2,86-72,,
1:28.0,,,86-73,1,D. Nowitzki makes flagrant free throw 1 of 2
1:28.0,,,86-74,1,D. Nowitzki makes flagrant free throw 2 of 2
1:15.0,,,86-74,,A. Aminu misses 3-pt shot from 22 ft
1:14.0,,,86-74,,Offensive rebound by A. Aminu
1:09.0,,,86-76,2,A. Aminu makes 2-pt shot from 3 ft
0:51.0,S. Curry misses 3-pt shot from 24 ft,,86-76,,
0:49.0,Offensive rebound by F. Ezeli,,86-76,,
0:49.0,F. Ezeli makes 2-pt shot from 1 ft,2,88-76,,
0:31.0,,,88-76,,J. Barea misses 3-pt shot from 26 ft
0:30.0,Defensive rebound by L. Barbosa,,88-76,,
0:25.0,Shooting foul by D. Harris (drawn by L. Barbosa),,88-76,,
0:25.0,L. Barbosa makes free throw 1 of 2,1,89-76,,
0:25.0,J. Holiday enters the game for S. Curry,,89-76,,
0:25.0,L. Barbosa makes free throw 2 of 2,1,90-76,,
0:05.0,,,90-76,,D. Harris misses 2-pt shot from 17 ft
0:04.0,Defensive rebound by A. Iguodala,,90-76,,
0:00.0,L. Barbosa misses 3-pt shot from 28 ft,,90-76,,
0:00.0,Offensive rebound by Team,,90-76,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
