time,Memphis,pts.away,score,pts.home,Houston
8:09.0,K. Koufos makes 2-pt shot from 19 ft (assist by B. Udrih),2,35-42,,
7:58.0,,,35-45,3,F. Garcia makes 3-pt shot from 25 ft
7:39.0,V. Carter makes 2-pt shot from 2 ft,2,37-45,,
7:15.0,,,37-45,,J. Terry misses 3-pt shot from 22 ft
7:14.0,Defensive rebound by V. Carter,,37-45,,
7:07.0,K. Koufos misses 2-pt shot from 3 ft (block by T. Ariza),,37-45,,
7:04.0,,,37-45,,Defensive rebound by J. Dorsey
7:00.0,,,37-45,,T. Ariza misses 3-pt shot from 25 ft
6:58.0,Defensive rebound by K. Koufos,,37-45,,
6:35.0,Q. Pondexter misses 3-pt shot from 24 ft,,37-45,,
6:35.0,Offensive rebound by Team,,37-45,,
6:35.0,Turnover by Team (shot clock),,37-45,,
6:35.0,,,37-45,,Houston full timeout
6:35.0,M. Gasol enters the game for B. Udrih,,37-45,,
6:35.0,C. Lee enters the game for Q. Pondexter,,37-45,,
6:35.0,M. Conley enters the game for J. Leuer,,37-45,,
6:35.0,,,37-45,,D. Motiejunas enters the game for J. Dorsey
6:35.0,,,37-45,,J. Harden enters the game for F. Garcia
6:14.0,,,37-45,,J. Terry misses 2-pt shot from 2 ft (block by K. Koufos)
6:14.0,,,37-45,,Offensive rebound by Team
6:12.0,,,37-45,,Turnover by J. Harden (lost ball; steal by K. Koufos)
6:03.0,V. Carter misses 3-pt shot from 25 ft,,37-45,,
6:02.0,,,37-45,,Defensive rebound by D. Motiejunas
5:50.0,,,37-45,,Shooting foul by K. Koufos (drawn by T. Ariza)
5:50.0,,,37-46,1,T. Ariza makes free throw 1 of 2
5:50.0,,,37-46,,N. Johnson enters the game for J. Terry
5:50.0,,,37-47,1,T. Ariza makes free throw 2 of 2
5:33.0,K. Koufos makes 2-pt shot at rim (assist by M. Gasol),2,39-47,,
5:19.0,,,39-49,2,D. Motiejunas makes 2-pt shot from 6 ft
5:00.0,M. Gasol misses 2-pt shot from 16 ft,,39-49,,
4:58.0,,,39-49,,Defensive rebound by K. Papanikolaou
4:51.0,,,39-49,,T. Ariza misses 3-pt shot from 22 ft
4:50.0,Defensive rebound by C. Lee,,39-49,,
4:39.0,Turnover by M. Gasol (lost ball; steal by J. Harden),,39-49,,
4:35.0,,,39-49,,Shooting foul by C. Lee (drawn by J. Harden)
4:35.0,,,39-50,1,J. Harden makes free throw 1 of 2
4:35.0,N. Calathes enters the game for V. Carter,,39-50,,
4:35.0,Z. Randolph enters the game for K. Koufos,,39-50,,
4:35.0,,,39-50,,T. Black enters the game for K. Papanikolaou
4:35.0,,,39-50,,J. Harden misses free throw 2 of 2
4:35.0,Defensive rebound by M. Gasol,,39-50,,
4:26.0,Turnover by M. Conley (lost ball),,39-50,,
4:19.0,,,39-53,3,J. Harden makes 3-pt shot from 27 ft
4:00.0,N. Calathes misses 2-pt shot from 4 ft,,39-53,,
4:00.0,Offensive rebound by Team,,39-53,,
4:00.0,,,39-53,,Loose ball foul by J. Harden (drawn by M. Gasol)
3:52.0,M. Conley misses 2-pt shot from 5 ft,,39-53,,
3:48.0,,,39-53,,Defensive rebound by N. Johnson
3:39.0,,,39-55,2,D. Motiejunas makes 2-pt shot from 3 ft (assist by J. Harden)
3:30.0,Shooting foul by T. Black (drawn by Z. Randolph),,39-55,,
3:30.0,Z. Randolph makes free throw 1 of 2,1,40-55,,
3:30.0,Z. Randolph misses free throw 2 of 2,,40-55,,
3:28.0,Offensive rebound by M. Conley,,40-55,,
3:21.0,Offensive charge foul by M. Gasol,,40-55,,
3:21.0,Turnover by M. Gasol (offensive foul),,40-55,,
3:21.0,Technical foul by M. Gasol,,40-55,,
3:21.0,,,40-56,1,J. Harden makes technical free throw
3:03.0,,,40-58,2,T. Black makes 2-pt shot at rim (assist by N. Johnson)
2:37.0,Shooting foul by N. Johnson (drawn by M. Conley),,40-58,,
2:37.0,Memphis full timeout,,40-58,,
2:37.0,,,40-58,,J. Terry enters the game for N. Johnson
2:37.0,M. Conley makes free throw 1 of 2,1,41-58,,
2:37.0,M. Conley makes free throw 2 of 2,1,42-58,,
2:29.0,,,42-58,,Offensive foul by D. Motiejunas
2:29.0,,,42-58,,Turnover by D. Motiejunas (offensive foul)
2:19.0,M. Conley misses 3-pt shot from 23 ft,,42-58,,
2:17.0,,,42-58,,Defensive rebound by J. Terry
2:00.0,,,42-58,,T. Ariza misses 2-pt shot from 14 ft
1:59.0,Defensive rebound by M. Gasol,,42-58,,
1:40.0,M. Gasol makes 2-pt shot from 1 ft (assist by M. Conley),2,44-58,,
1:40.0,Shooting foul by T. Black (drawn by M. Gasol),,44-58,,
1:40.0,,,44-58,,J. Dorsey enters the game for T. Black
1:40.0,M. Gasol misses free throw 1 of 1,,44-58,,
1:40.0,,,44-58,,Defensive rebound by D. Motiejunas
1:27.0,,,44-58,,Turnover by J. Harden (lost ball; steal by N. Calathes)
1:15.0,C. Lee misses 3-pt shot from 24 ft,,44-58,,
1:13.0,Offensive rebound by Z. Randolph,,44-58,,
1:02.0,Z. Randolph misses 2-pt shot from 5 ft,,44-58,,
1:00.0,Offensive rebound by Z. Randolph,,44-58,,
1:00.0,Shooting foul by D. Motiejunas (drawn by Z. Randolph),,44-58,,
1:00.0,Z. Randolph makes free throw 1 of 2,1,45-58,,
1:00.0,,,45-58,,F. Garcia enters the game for J. Dorsey
1:00.0,Z. Randolph makes free throw 2 of 2,1,46-58,,
0:43.0,,,46-58,,T. Ariza misses 3-pt shot from 25 ft
0:41.0,Defensive rebound by M. Gasol,,46-58,,
0:29.0,C. Lee misses 3-pt shot from 23 ft,,46-58,,
0:27.0,,,46-58,,Defensive rebound by T. Ariza
0:06.0,Personal foul by N. Calathes (drawn by J. Harden),,46-58,,
0:06.0,,,46-58,,Houston full timeout
0:06.0,T. Allen enters the game for C. Lee,,46-58,,
0:06.0,Q. Pondexter enters the game for M. Conley,,46-58,,
0:06.0,V. Carter enters the game for Z. Randolph,,46-58,,
0:05.0,,,46-58,,Turnover by T. Ariza (step out of bounds)
0:05.0,Z. Randolph enters the game for T. Allen,,46-58,,
0:05.0,M. Conley enters the game for Q. Pondexter,,46-58,,
0:05.0,C. Lee enters the game for V. Carter,,46-58,,
0:05.0,,,46-58,,N. Johnson enters the game for J. Terry
0:02.0,M. Conley misses 3-pt shot from 25 ft,,46-58,,
0:01.0,,,46-58,,Defensive rebound by J. Harden
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:48.0,,,46-58,,Turnover by D. Motiejunas (bad pass; steal by T. Allen)
11:44.0,Turnover by T. Allen (lost ball; steal by J. Terry),,46-58,,
11:41.0,,,46-58,,J. Harden misses 3-pt shot from 25 ft
11:41.0,,,46-58,,Offensive rebound by T. Black
11:40.0,,,46-58,,T. Black misses 2-pt shot from 1 ft
11:39.0,,,46-58,,Offensive rebound by T. Black
11:38.0,,,46-58,,T. Black misses 2-pt shot from 1 ft
11:37.0,,,46-58,,Offensive rebound by T. Black
11:37.0,,,46-60,2,T. Black makes 2-pt shot from 1 ft
11:17.0,Turnover by M. Conley (lost ball; steal by J. Harden),,46-60,,
11:13.0,,,46-60,,Shooting foul by T. Allen (drawn by J. Terry)
11:13.0,,,46-61,1,J. Terry makes free throw 1 of 2
11:13.0,,,46-62,1,J. Terry makes free throw 2 of 2
10:52.0,Z. Randolph misses 2-pt shot from 7 ft,,46-62,,
10:51.0,,,46-62,,Defensive rebound by D. Motiejunas
10:34.0,,,46-62,,J. Harden misses 2-pt shot from 5 ft (block by T. Allen)
10:33.0,,,46-62,,Offensive rebound by T. Black
10:33.0,,,46-65,3,D. Motiejunas makes 3-pt shot from 22 ft (assist by J. Terry)
10:20.0,Z. Randolph misses 2-pt shot from 4 ft (block by J. Harden),,46-65,,
10:18.0,,,46-65,,Defensive rebound by J. Harden
10:13.0,,,46-68,3,T. Ariza makes 3-pt shot from 25 ft (assist by J. Terry)
10:04.0,Memphis full timeout,,46-68,,
9:50.0,M. Conley makes 2-pt shot from 22 ft (assist by M. Gasol),2,48-68,,
9:43.0,,,48-68,,J. Harden misses 3-pt shot from 25 ft
9:42.0,,,48-68,,Offensive rebound by T. Black
9:42.0,,,48-68,,T. Black misses 2-pt shot from 1 ft (block by T. Allen)
9:41.0,Defensive rebound by Z. Randolph,,48-68,,
9:31.0,M. Gasol misses 2-pt shot from 17 ft,,48-68,,
9:29.0,Offensive rebound by T. Allen,,48-68,,
9:28.0,T. Allen makes 2-pt shot from 2 ft,2,50-68,,
9:19.0,,,50-70,2,T. Black makes 2-pt shot from 2 ft (assist by J. Terry)
9:02.0,Turnover by T. Allen (lost ball; steal by T. Ariza),,50-70,,
8:56.0,,,50-70,,Turnover by T. Ariza (lost ball; steal by M. Conley)
8:40.0,Shooting foul by D. Motiejunas (drawn by M. Conley),,50-70,,
8:40.0,M. Conley makes free throw 1 of 2,1,51-70,,
8:40.0,M. Conley makes free throw 2 of 2,1,52-70,,
8:31.0,,,52-70,,Turnover by D. Motiejunas (bad pass; steal by M. Conley)
8:27.0,M. Conley makes 2-pt shot from 1 ft,2,54-70,,
8:11.0,,,54-70,,D. Motiejunas misses 2-pt shot from 2 ft
8:10.0,Defensive rebound by M. Gasol,,54-70,,
8:04.0,M. Conley misses 3-pt shot from 24 ft,,54-70,,
8:03.0,,,54-70,,Defensive rebound by T. Ariza
7:57.0,,,54-73,3,J. Terry makes 3-pt shot from 26 ft (assist by J. Harden)
7:35.0,T. Allen misses 3-pt shot from 24 ft,,54-73,,
7:34.0,,,54-73,,Defensive rebound by J. Terry
7:30.0,,,54-75,2,T. Ariza makes 2-pt shot from 22 ft (assist by J. Terry)
7:27.0,Memphis full timeout,,54-75,,
7:27.0,Q. Pondexter enters the game for T. Allen,,54-75,,
7:27.0,J. Leuer enters the game for Z. Randolph,,54-75,,
7:16.0,,,54-75,,Personal foul by J. Harden (drawn by M. Gasol)
7:06.0,Turnover by M. Conley (lost ball; steal by T. Ariza),,54-75,,
7:02.0,,,54-77,2,T. Ariza makes 2-pt shot at rim (assist by J. Harden)
6:48.0,Turnover by M. Conley (lost ball; steal by T. Ariza),,54-77,,
6:45.0,,,54-79,2,T. Ariza makes 2-pt shot at rim
6:23.0,,,54-79,,N. Johnson enters the game for J. Terry
6:23.0,Jump ball: M. Gasol vs. D. Motiejunas (M. Conley gains possession),,,,Jump ball: M. Gasol vs. D. Motiejunas (M. Conley gains possession)
6:16.0,J. Leuer makes 2-pt shot from 13 ft (assist by M. Conley),2,56-79,,
6:04.0,Violation by J. Leuer (kicked ball),,56-79,,
5:47.0,,,56-79,,N. Johnson misses 3-pt shot from 24 ft
5:46.0,Defensive rebound by M. Gasol,,56-79,,
5:37.0,J. Leuer makes 2-pt shot from 19 ft (assist by M. Conley),2,58-79,,
5:26.0,,,58-79,,Turnover by D. Motiejunas (lost ball; steal by M. Conley)
5:22.0,M. Conley makes 2-pt shot from 1 ft (assist by J. Leuer),2,60-79,,
4:52.0,,,60-79,,T. Black misses 2-pt shot from 2 ft
4:51.0,,,60-79,,Offensive rebound by T. Black
4:43.0,,,60-79,,N. Johnson misses 2-pt shot from 7 ft
4:42.0,,,60-79,,Offensive rebound by T. Black
4:41.0,,,60-81,2,T. Black makes 2-pt shot from 1 ft
4:27.0,J. Leuer misses 3-pt shot from 24 ft,,60-81,,
4:25.0,,,60-81,,Defensive rebound by D. Motiejunas
4:11.0,,,60-83,2,J. Harden makes 2-pt shot from 11 ft
3:56.0,M. Gasol misses 2-pt shot from 10 ft,,60-83,,
3:54.0,,,60-83,,Defensive rebound by T. Ariza
3:47.0,,,60-83,,J. Harden misses 2-pt shot from 11 ft (block by C. Lee)
3:47.0,Defensive rebound by M. Conley,,60-83,,
3:47.0,,,60-83,,Personal foul by J. Harden (drawn by M. Conley)
3:47.0,N. Calathes enters the game for M. Gasol,,60-83,,
3:47.0,K. Koufos enters the game for C. Lee,,60-83,,
3:47.0,,,60-83,,F. Garcia enters the game for T. Ariza
3:47.0,,,60-83,,K. Papanikolaou enters the game for D. Motiejunas
3:31.0,Turnover by M. Conley (bad pass; steal by J. Harden),,60-83,,
3:17.0,,,60-85,2,J. Harden makes 2-pt shot from 3 ft
3:17.0,,,60-85,,Shooting foul by Q. Pondexter (drawn by J. Harden)
3:17.0,,,60-86,1,J. Harden makes free throw 1 of 1
2:59.0,M. Conley makes 3-pt shot from 25 ft (assist by N. Calathes),3,63-86,,
2:33.0,,,63-86,,N. Johnson misses 2-pt shot from 4 ft
2:33.0,,,63-86,,Offensive rebound by T. Black
2:33.0,,,63-86,,Turnover by Team (shot clock)
2:33.0,,,63-86,,Houston full timeout
2:33.0,,,63-86,,J. Terry enters the game for J. Harden
2:19.0,K. Koufos misses 2-pt shot from 2 ft (block by F. Garcia),,63-86,,
2:19.0,Offensive rebound by Team,,63-86,,
2:10.0,Turnover by N. Calathes (bad pass; steal by J. Terry),,63-86,,
2:06.0,,,63-86,,Offensive charge foul by N. Johnson
2:06.0,,,63-86,,Turnover by N. Johnson (offensive foul)
1:51.0,J. Leuer misses 2-pt shot from 9 ft,,63-86,,
1:49.0,,,63-86,,Defensive rebound by T. Black
1:39.0,,,63-88,2,T. Black makes 2-pt shot at rim (assist by K. Papanikolaou)
1:27.0,M. Conley makes 2-pt shot from 1 ft,2,65-88,,
1:07.0,,,65-90,2,K. Papanikolaou makes 2-pt shot from 4 ft
0:51.0,Turnover by J. Leuer (lost ball; steal by J. Terry),,65-90,,
0:45.0,,,65-92,2,N. Johnson makes 2-pt shot from 2 ft (assist by K. Papanikolaou)
0:32.0,J. Leuer misses 2-pt shot from 18 ft,,65-92,,
0:30.0,Offensive rebound by K. Koufos,,65-92,,
0:29.0,K. Koufos makes 2-pt shot from 5 ft,2,67-92,,
0:13.0,,,67-94,2,K. Papanikolaou makes 2-pt shot from 1 ft (assist by J. Terry)
0:03.0,N. Calathes misses 2-pt shot from 8 ft,,67-94,,
0:01.0,Offensive rebound by J. Leuer,,67-94,,
0:01.0,Shooting foul by F. Garcia (drawn by J. Leuer),,67-94,,
0:01.0,J. Leuer misses free throw 1 of 2,,67-94,,
0:01.0,Offensive rebound by Team,,67-94,,
0:01.0,J. Leuer makes free throw 2 of 2,1,68-94,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:45.0,B. Udrih makes 2-pt shot from 10 ft (assist by N. Calathes),2,70-94,,
11:19.0,,,70-94,,K. Papanikolaou misses 2-pt shot from 11 ft
11:17.0,Defensive rebound by J. Stokes,,70-94,,
10:57.0,J. Stokes makes 2-pt shot from 2 ft (assist by N. Calathes),2,72-94,,
10:43.0,,,72-94,,Turnover by T. Ariza (lost ball)
10:35.0,J. Leuer misses 2-pt shot from 15 ft,,72-94,,
10:33.0,,,72-94,,Defensive rebound by J. Dorsey
10:22.0,,,72-94,,Turnover by J. Terry (lost ball)
10:04.0,B. Udrih makes 2-pt shot from 8 ft,2,74-94,,
9:47.0,,,74-97,3,F. Garcia makes 3-pt shot from 23 ft (assist by K. Papanikolaou)
9:39.0,Shooting foul by F. Garcia (drawn by N. Calathes),,74-97,,
9:39.0,N. Calathes misses free throw 1 of 2,,74-97,,
9:39.0,Offensive rebound by Team,,74-97,,
9:39.0,N. Calathes misses free throw 2 of 2,,74-97,,
9:39.0,,,74-97,,Defensive rebound by T. Ariza
9:22.0,,,74-97,,K. Papanikolaou misses 3-pt shot from 25 ft
9:21.0,Defensive rebound by J. Leuer,,74-97,,
9:10.0,J. Leuer misses 2-pt shot from 11 ft,,74-97,,
9:09.0,,,74-97,,Defensive rebound by J. Dorsey
8:57.0,,,74-97,,K. Papanikolaou misses 2-pt shot from 1 ft
8:56.0,,,74-97,,Offensive rebound by K. Papanikolaou
8:56.0,,,74-99,2,K. Papanikolaou makes 2-pt shot from 1 ft
8:43.0,Turnover by B. Udrih (lost ball; steal by J. Dorsey),,74-99,,
8:38.0,,,74-99,,J. Terry misses 3-pt shot from 25 ft
8:37.0,,,74-99,,Offensive rebound by Team
8:37.0,Loose ball foul by N. Calathes (drawn by F. Garcia),,74-99,,
8:37.0,,,74-99,,Houston full timeout
8:22.0,,,74-99,,F. Garcia misses 2-pt shot from 8 ft
8:21.0,,,74-99,,Offensive rebound by F. Garcia
8:01.0,,,74-99,,K. Papanikolaou misses 2-pt shot from 10 ft
8:00.0,Defensive rebound by Q. Pondexter,,74-99,,
8:00.0,,,74-99,,Personal foul by K. Papanikolaou (drawn by Q. Pondexter)
7:50.0,N. Calathes makes 2-pt shot from 17 ft,2,76-99,,
7:30.0,,,76-99,,K. Papanikolaou misses 2-pt shot from 7 ft
7:28.0,Defensive rebound by B. Udrih,,76-99,,
7:23.0,J. Stokes makes 2-pt shot at rim (assist by N. Calathes),2,78-99,,
7:03.0,,,78-99,,Shooting foul by J. Stokes (drawn by J. Dorsey)
7:03.0,,,78-100,1,J. Dorsey makes free throw 1 of 2
7:03.0,,,78-100,,J. Dorsey misses free throw 2 of 2
7:03.0,,,78-100,,Offensive rebound by K. Papanikolaou
6:54.0,,,78-100,,Shooting foul by J. Leuer (drawn by J. Terry)
6:54.0,,,78-100,,J. Terry misses free throw 1 of 2
6:54.0,,,78-100,,Offensive rebound by Team
6:54.0,,,78-100,,T. Daniels enters the game for T. Ariza
6:54.0,,,78-101,1,J. Terry makes free throw 2 of 2
6:31.0,B. Udrih makes 2-pt shot from 17 ft (assist by N. Calathes),2,80-101,,
6:20.0,,,80-101,,T. Daniels misses 3-pt shot from 25 ft
6:19.0,Defensive rebound by B. Udrih,,80-101,,
6:13.0,Shooting foul by J. Dorsey (drawn by B. Udrih),,80-101,,
6:13.0,B. Udrih makes free throw 1 of 2,1,81-101,,
6:13.0,,,81-101,,N. Johnson enters the game for J. Terry
6:13.0,B. Udrih makes free throw 2 of 2,1,82-101,,
6:00.0,,,82-101,,Turnover by T. Daniels (bad pass)
5:45.0,,,82-101,,Personal foul by T. Daniels (drawn by N. Calathes)
5:45.0,,,82-101,,Houston full timeout
5:33.0,J. Stokes misses 2-pt shot from 5 ft (block by J. Dorsey),,82-101,,
5:31.0,,,82-101,,Defensive rebound by N. Johnson
