time,Minnesota,pts.away,score,pts.home,Phoenix
6:20.0,Turnover by G. Dieng (bad pass; steal by A. Len),,17-16,,
6:15.0,,,17-16,,E. Bledsoe misses 2-pt shot from 20 ft
6:11.0,Defensive rebound by A. Wiggins,,17-16,,
6:04.0,A. Wiggins misses 3-pt shot from 24 ft,,17-16,,
6:02.0,,,17-16,,Defensive rebound by A. Len
5:53.0,,,17-19,3,G. Dragic makes 3-pt shot from 24 ft (assist by M. Morris)
5:34.0,T. Young misses 2-pt shot from 5 ft (block by A. Len),,17-19,,
5:32.0,,,17-19,,Defensive rebound by E. Bledsoe
5:27.0,,,17-19,,G. Dragic misses 3-pt shot from 23 ft
5:24.0,Defensive rebound by T. Young,,17-19,,
5:08.0,M. Williams misses 3-pt shot from 27 ft,,17-19,,
5:06.0,,,17-19,,Defensive rebound by E. Bledsoe
5:01.0,,,17-19,,Turnover by E. Bledsoe (bad pass; steal by M. Williams)
4:52.0,T. Young misses 2-pt shot from 4 ft,,17-19,,
4:50.0,Offensive rebound by G. Dieng,,17-19,,
4:50.0,G. Dieng misses 2-pt shot from 2 ft,,17-19,,
4:48.0,,,17-19,,Defensive rebound by P. Tucker
4:42.0,,,17-19,,E. Bledsoe misses 2-pt shot from 4 ft
4:40.0,,,17-19,,Offensive rebound by G. Dragic
4:40.0,,,17-21,2,G. Dragic makes 2-pt shot from 1 ft
4:33.0,Minnesota full timeout,,17-21,,
4:33.0,A. Bennett enters the game for G. Dieng,,17-21,,
4:33.0,,,17-21,,I. Thomas enters the game for A. Len
4:33.0,,,17-21,,B. Wright enters the game for E. Bledsoe
4:22.0,M. Williams makes 3-pt shot from 24 ft,3,20-21,,
4:02.0,,,20-23,2,M. Morris makes 2-pt shot from 7 ft
3:44.0,A. Bennett misses 2-pt shot from 6 ft,,20-23,,
3:42.0,,,20-23,,Defensive rebound by P. Tucker
3:37.0,Violation by C. Budinger (kicked ball),,20-23,,
3:24.0,,,20-25,2,M. Morris makes 2-pt shot from 15 ft
3:12.0,A. Wiggins makes 2-pt shot at rim (assist by M. Williams),2,22-25,,
2:58.0,Personal foul by C. Budinger (drawn by B. Wright),,22-25,,
2:58.0,,,22-25,,M. Morris enters the game for P. Tucker
2:58.0,R. Hummel enters the game for C. Budinger,,22-25,,
2:52.0,,,22-28,3,M. Morris makes 3-pt shot from 24 ft (assist by I. Thomas)
2:29.0,R. Hummel misses 2-pt shot from 8 ft,,22-28,,
2:27.0,,,22-28,,Defensive rebound by B. Wright
2:20.0,,,22-30,2,M. Morris makes 2-pt shot at rim (assist by G. Dragic)
2:07.0,M. Williams makes 3-pt shot from 24 ft,3,25-30,,
1:58.0,,,25-30,,Turnover by I. Thomas (lost ball; steal by M. Williams)
1:43.0,T. Young misses 2-pt shot from 7 ft (block by M. Morris),,25-30,,
1:40.0,Offensive rebound by T. Young,,25-30,,
1:40.0,T. Young makes 2-pt shot at rim,2,27-30,,
1:29.0,,,27-30,,M. Morris misses 3-pt shot from 24 ft
1:27.0,Defensive rebound by A. Bennett,,27-30,,
1:14.0,T. Young misses 3-pt shot from 24 ft,,27-30,,
1:12.0,,,27-30,,Defensive rebound by G. Dragic
1:04.0,,,27-30,,M. Morris misses 2-pt shot from 2 ft (block by R. Hummel)
1:01.0,Defensive rebound by A. Wiggins,,27-30,,
0:54.0,M. Williams misses 2-pt shot from 7 ft,,27-30,,
0:54.0,,,27-30,,Defensive rebound by Team
0:39.0,,,27-30,,Turnover by I. Thomas (bad pass)
0:34.0,M. Williams misses 3-pt shot from 24 ft,,27-30,,
0:32.0,,,27-30,,Defensive rebound by M. Morris
0:30.0,,,27-32,2,I. Thomas makes 2-pt shot from 2 ft (assist by M. Morris)
0:07.0,R. Hummel misses 3-pt shot from 23 ft,,27-32,,
0:05.0,Offensive rebound by A. Wiggins,,27-32,,
0:01.0,T. Young misses 3-pt shot from 25 ft,,27-32,,
0:00.0,Offensive rebound by Team,,27-32,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,Turnover by A. Wiggins (bad pass),,27-32,,
11:34.0,,,27-34,2,B. Wright makes 2-pt shot at rim (assist by I. Thomas)
11:10.0,R. Hummel makes 2-pt shot at rim (assist by G. Dieng),2,29-34,,
10:57.0,,,29-36,2,M. Morris makes 2-pt shot from 15 ft
10:42.0,Shooting foul by I. Thomas (drawn by M. Williams),,29-36,,
10:42.0,M. Williams makes free throw 1 of 2,1,30-36,,
10:42.0,M. Williams misses free throw 2 of 2,,30-36,,
10:41.0,,,30-36,,Defensive rebound by M. Morris
10:24.0,,,30-38,2,T. Warren makes 2-pt shot from 20 ft
10:11.0,M. Williams misses 2-pt shot from 15 ft,,30-38,,
10:10.0,,,30-38,,Defensive rebound by Team
10:10.0,Z. LaVine enters the game for M. Williams,,30-38,,
9:57.0,,,30-38,,T. Warren misses 3-pt shot from 23 ft
9:55.0,Defensive rebound by R. Hummel,,30-38,,
9:45.0,A. Bennett makes 2-pt shot at rim (assist by A. Wiggins),2,32-38,,
9:24.0,,,32-40,2,G. Green makes 2-pt shot from 13 ft
9:11.0,R. Hummel makes 2-pt shot at rim (assist by G. Dieng),2,34-40,,
9:11.0,Shooting foul by T. Warren (drawn by R. Hummel),,34-40,,
9:08.0,Jump ball: G. Dieng vs. B. Wright (Z. LaVine gains possession),,,,Jump ball: G. Dieng vs. B. Wright (Z. LaVine gains possession)
8:59.0,A. Bennett makes 2-pt shot at rim (assist by A. Wiggins),2,36-40,,
8:43.0,,,36-42,2,G. Green makes 2-pt shot from 22 ft
8:31.0,A. Wiggins makes 3-pt shot from 25 ft (assist by R. Hummel),3,39-42,,
8:21.0,,,39-42,,I. Thomas misses 3-pt shot from 24 ft
8:19.0,Defensive rebound by A. Wiggins,,39-42,,
8:08.0,G. Dieng misses 2-pt shot from 14 ft,,39-42,,
8:08.0,Offensive rebound by Team,,39-42,,
8:08.0,,,39-42,,Loose ball foul by T. Warren (drawn by R. Hummel)
8:08.0,Official timeout,,39-42,,
8:00.0,A. Bennett misses 2-pt shot from 8 ft,,39-42,,
7:58.0,Offensive rebound by G. Dieng,,39-42,,
7:50.0,R. Hummel makes 3-pt shot from 24 ft (assist by G. Dieng),3,42-42,,
7:34.0,,,42-42,,G. Green misses 3-pt shot from 24 ft
7:32.0,Defensive rebound by Z. LaVine,,42-42,,
7:23.0,G. Dieng makes 2-pt shot at rim (assist by Z. LaVine),2,44-42,,
7:08.0,,,44-44,2,B. Wright makes 2-pt shot at rim
7:08.0,,,44-44,,Shooting foul by G. Dieng (drawn by B. Wright)
7:08.0,,,44-44,,E. Bledsoe enters the game for T. Warren
7:08.0,,,44-45,1,B. Wright makes free throw 1 of 1
6:54.0,A. Bennett misses 2-pt shot from 7 ft,,44-45,,
6:52.0,,,44-45,,Defensive rebound by M. Morris
6:47.0,,,44-45,,I. Thomas misses 2-pt shot from 18 ft
6:45.0,Defensive rebound by A. Bennett,,44-45,,
6:31.0,Z. LaVine misses 2-pt shot from 18 ft,,44-45,,
6:30.0,,,44-45,,Defensive rebound by G. Green
6:16.0,,,44-47,2,M. Morris makes 2-pt shot from 1 ft (assist by E. Bledsoe)
6:07.0,Minnesota full timeout,,44-47,,
6:07.0,,,44-47,,A. Len enters the game for B. Wright
6:07.0,M. Williams enters the game for A. Wiggins,,44-47,,
6:07.0,T. Young enters the game for A. Bennett,,44-47,,
5:49.0,G. Dieng misses 2-pt shot from 4 ft,,44-47,,
5:47.0,Offensive rebound by T. Young,,44-47,,
5:45.0,T. Young makes 2-pt shot from 5 ft,2,46-47,,
5:28.0,,,46-47,,Shooting foul by G. Dieng (drawn by E. Bledsoe)
5:28.0,,,46-48,1,E. Bledsoe makes free throw 1 of 2
5:28.0,,,46-48,,M. Morris enters the game for M. Morris
5:28.0,,,46-48,,G. Dragic enters the game for I. Thomas
5:28.0,G. Robinson enters the game for R. Hummel,,46-48,,
5:28.0,,,46-49,1,E. Bledsoe makes free throw 2 of 2
5:18.0,M. Williams misses 2-pt shot from 8 ft,,46-49,,
5:16.0,,,46-49,,Defensive rebound by A. Len
5:08.0,,,46-49,,Offensive foul by A. Len
5:08.0,,,46-49,,Turnover by A. Len (offensive foul)
4:58.0,,,46-49,,Personal foul by E. Bledsoe (drawn by G. Dieng)
4:45.0,G. Dieng makes 2-pt shot from 16 ft (assist by T. Young),2,48-49,,
4:35.0,,,48-51,2,E. Bledsoe makes 2-pt shot from 2 ft
4:35.0,,,48-51,,Shooting foul by M. Williams (drawn by E. Bledsoe)
4:35.0,,,48-52,1,E. Bledsoe makes free throw 1 of 1
4:24.0,Z. LaVine misses 2-pt shot from 2 ft,,48-52,,
4:19.0,,,48-52,,Defensive rebound by G. Green
4:04.0,,,48-54,2,E. Bledsoe makes 2-pt shot from 15 ft
3:39.0,T. Young misses 2-pt shot from 2 ft,,48-54,,
3:38.0,,,48-54,,Defensive rebound by A. Len
3:31.0,,,48-56,2,G. Green makes 2-pt shot from 3 ft (assist by G. Dragic)
3:31.0,,,48-56,,Shooting foul by G. Robinson (drawn by G. Green)
3:31.0,Minnesota full timeout,,48-56,,
3:31.0,,,48-57,1,G. Green makes free throw 1 of 1
3:19.0,T. Young misses 2-pt shot from 5 ft (block by A. Len),,48-57,,
3:17.0,,,48-57,,Defensive rebound by E. Bledsoe
3:17.0,,,48-57,,Phoenix full timeout
3:17.0,C. Budinger enters the game for Z. LaVine,,48-57,,
3:17.0,A. Wiggins enters the game for G. Robinson,,48-57,,
2:59.0,,,48-57,,Turnover by G. Green (bad pass; steal by C. Budinger)
2:58.0,,,48-57,,Violation by G. Dragic (kicked ball)
2:47.0,M. Williams misses 2-pt shot from 19 ft,,48-57,,
2:46.0,,,48-57,,Defensive rebound by E. Bledsoe
2:42.0,,,48-57,,Turnover by M. Morris (bad pass; steal by M. Williams)
2:38.0,A. Wiggins makes 2-pt shot from 1 ft (assist by M. Williams),2,50-57,,
2:33.0,,,50-57,,Turnover by G. Dragic (bad pass)
2:18.0,Turnover by M. Williams (traveling),,50-57,,
2:11.0,,,50-59,2,G. Dragic makes 2-pt shot from 1 ft
1:50.0,M. Williams misses 2-pt shot from 21 ft,,50-59,,
1:48.0,,,50-59,,Defensive rebound by A. Len
1:34.0,,,50-59,,G. Green misses 2-pt shot from 18 ft
1:32.0,Defensive rebound by C. Budinger,,50-59,,
1:26.0,A. Wiggins makes 2-pt shot at rim,2,52-59,,
1:09.0,,,52-59,,G. Dragic misses 2-pt shot from 16 ft
1:07.0,,,52-59,,Offensive rebound by A. Len
1:06.0,,,52-59,,A. Len misses 2-pt shot at rim
1:04.0,,,52-59,,Offensive rebound by G. Green
1:04.0,,,52-59,,G. Green misses 2-pt shot from 1 ft
1:02.0,,,52-59,,Offensive rebound by G. Green
1:00.0,,,52-59,,G. Green misses 2-pt shot from 6 ft
1:00.0,Defensive rebound by G. Dieng,,52-59,,
1:00.0,,,52-59,,Personal take foul by G. Green (drawn by G. Dieng)
1:00.0,G. Dieng makes free throw 1 of 2,1,53-59,,
1:00.0,Z. LaVine enters the game for C. Budinger,,53-59,,
1:00.0,T. Daniels enters the game for M. Williams,,53-59,,
1:00.0,G. Dieng makes free throw 2 of 2,1,54-59,,
0:40.0,,,54-59,,Turnover by M. Morris (bad pass; steal by A. Wiggins)
0:37.0,A. Wiggins misses 2-pt shot at rim,,54-59,,
0:36.0,Offensive rebound by Z. LaVine,,54-59,,
0:36.0,Z. LaVine makes 2-pt shot from 1 ft,2,56-59,,
0:15.0,,,56-59,,Turnover by E. Bledsoe (bad pass)
0:15.0,,,56-59,,I. Thomas enters the game for E. Bledsoe
0:00.0,G. Dieng misses 2-pt shot from 19 ft,,56-59,,
0:00.0,Offensive rebound by Team,,56-59,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:35.0,Turnover by Team (shot clock),,56-59,,
11:20.0,,,56-61,2,P. Tucker makes 2-pt shot from 19 ft (assist by E. Bledsoe)
11:01.0,A. Wiggins misses 2-pt shot from 21 ft,,56-61,,
10:59.0,,,56-61,,Defensive rebound by G. Dragic
10:50.0,,,56-64,3,E. Bledsoe makes 3-pt shot from 25 ft (assist by G. Dragic)
10:50.0,Minnesota full timeout,,56-64,,
10:31.0,T. Young makes 2-pt shot from 1 ft (assist by M. Williams),2,58-64,,
10:13.0,,,58-64,,Turnover by G. Dragic (lost ball; steal by T. Young)
10:07.0,M. Williams misses 3-pt shot from 23 ft,,58-64,,
10:05.0,Offensive rebound by C. Budinger,,58-64,,
10:01.0,T. Young misses 2-pt shot from 3 ft,,58-64,,
9:59.0,Offensive rebound by T. Young,,58-64,,
9:59.0,T. Young makes 2-pt shot from 1 ft,2,60-64,,
9:38.0,,,60-66,2,M. Morris makes 2-pt shot from 18 ft (assist by G. Dragic)
9:21.0,C. Budinger makes 2-pt shot from 19 ft (assist by T. Young),2,62-66,,
9:08.0,,,62-66,,E. Bledsoe misses 3-pt shot from 24 ft
9:07.0,,,62-66,,Offensive rebound by M. Morris
9:07.0,,,62-68,2,M. Morris makes 2-pt shot from 4 ft
9:07.0,,,62-68,,Shooting foul by G. Dieng (drawn by M. Morris)
9:07.0,,,62-68,,M. Morris misses free throw 1 of 1
9:05.0,Defensive rebound by T. Young,,62-68,,
8:46.0,Turnover by M. Williams (bad pass),,62-68,,
8:46.0,M. Raduljica enters the game for G. Dieng,,62-68,,
8:30.0,,,62-68,,Turnover by G. Dragic (discontinued dribble)
8:16.0,Shooting foul by G. Dragic (drawn by C. Budinger),,62-68,,
8:16.0,C. Budinger makes free throw 1 of 2,1,63-68,,
8:16.0,C. Budinger misses free throw 2 of 2,,63-68,,
8:15.0,,,63-68,,Defensive rebound by A. Len
7:56.0,,,63-68,,M. Morris misses 2-pt shot from 7 ft
7:54.0,Defensive rebound by T. Young,,63-68,,
7:42.0,C. Budinger misses 3-pt shot from 25 ft,,63-68,,
7:40.0,,,63-68,,Defensive rebound by A. Len
7:27.0,Personal foul by M. Raduljica (drawn by A. Len),,63-68,,
7:21.0,,,63-68,,G. Dragic misses 2-pt shot from 22 ft
7:19.0,Defensive rebound by T. Young,,63-68,,
7:16.0,A. Wiggins makes 2-pt shot at rim (assist by M. Williams),2,65-68,,
6:55.0,,,65-70,2,G. Dragic makes 2-pt shot from 1 ft
6:34.0,M. Williams makes 2-pt shot from 16 ft (assist by T. Young),2,67-70,,
6:19.0,Personal foul by M. Raduljica (drawn by A. Len),,67-70,,
6:19.0,,,67-70,,M. Plumlee enters the game for A. Len
6:08.0,,,67-70,,M. Morris misses 2-pt shot from 9 ft
6:06.0,Defensive rebound by C. Budinger,,67-70,,
6:00.0,T. Young misses 2-pt shot from 2 ft,,67-70,,
5:58.0,Offensive rebound by T. Young,,67-70,,
5:55.0,Turnover by M. Raduljica (bad pass; steal by M. Plumlee),,67-70,,
5:55.0,Personal foul by M. Williams (drawn by G. Dragic),,67-70,,
5:55.0,,,67-70,,Phoenix full timeout
5:42.0,,,67-70,,M. Morris misses 2-pt shot from 6 ft
5:42.0,,,67-70,,Offensive rebound by Team
5:42.0,Loose ball foul by C. Budinger (drawn by E. Bledsoe),,67-70,,
5:42.0,,,67-71,1,E. Bledsoe makes free throw 1 of 2
5:42.0,,,67-72,1,E. Bledsoe makes free throw 2 of 2
5:23.0,A. Wiggins makes 2-pt shot at rim,2,69-72,,
5:06.0,,,69-74,2,E. Bledsoe makes 2-pt shot from 20 ft
4:46.0,M. Raduljica misses 2-pt shot from 3 ft,,69-74,,
4:44.0,,,69-74,,Defensive rebound by M. Plumlee
4:36.0,,,69-76,2,M. Plumlee makes 2-pt shot at rim (assist by G. Dragic)
4:17.0,A. Wiggins misses 2-pt shot from 19 ft,,69-76,,
4:16.0,,,69-76,,Defensive rebound by P. Tucker
4:13.0,,,69-76,,Offensive foul by M. Morris
4:13.0,,,69-76,,Turnover by M. Morris (offensive foul)
4:13.0,A. Bennett enters the game for M. Raduljica,,69-76,,
4:13.0,,,69-76,,I. Thomas enters the game for G. Dragic
4:00.0,Turnover by T. Young (bad pass; steal by M. Morris),,69-76,,
3:54.0,,,69-76,,E. Bledsoe misses 2-pt shot from 22 ft
3:51.0,Defensive rebound by A. Wiggins,,69-76,,
3:44.0,T. Young misses 2-pt shot from 18 ft,,69-76,,
3:43.0,Offensive rebound by C. Budinger,,69-76,,
3:33.0,M. Williams makes 3-pt shot from 25 ft,3,72-76,,
3:17.0,,,72-78,2,M. Plumlee makes 2-pt shot from 14 ft
2:58.0,Turnover by M. Williams (bad pass; steal by I. Thomas),,72-78,,
2:55.0,,,72-80,2,M. Plumlee makes 2-pt shot at rim (assist by I. Thomas)
2:41.0,Minnesota full timeout,,72-80,,
2:41.0,R. Hummel enters the game for T. Young,,72-80,,
2:41.0,,,72-80,,G. Green enters the game for M. Morris
2:41.0,,,72-80,,M. Morris enters the game for E. Bledsoe
2:29.0,Turnover by C. Budinger (bad pass),,72-80,,
2:17.0,,,72-80,,I. Thomas misses 2-pt shot from 1 ft
2:15.0,,,72-80,,Offensive rebound by M. Morris
2:15.0,,,72-82,2,M. Morris makes 2-pt shot from 2 ft
1:58.0,C. Budinger misses 3-pt shot from 23 ft,,72-82,,
1:56.0,,,72-82,,Defensive rebound by P. Tucker
1:47.0,,,72-84,2,M. Morris makes 2-pt shot from 10 ft
1:26.0,A. Wiggins misses 2-pt shot from 11 ft,,72-84,,
1:24.0,Offensive rebound by Team,,72-84,,
1:24.0,T. Young enters the game for A. Wiggins,,72-84,,
1:10.0,Shooting foul by M. Morris (drawn by T. Young),,72-84,,
1:10.0,T. Young makes free throw 1 of 2,1,73-84,,
1:10.0,T. Young misses free throw 2 of 2,,73-84,,
1:09.0,,,73-84,,Defensive rebound by P. Tucker
0:58.0,,,73-86,2,I. Thomas makes 2-pt shot at rim
0:50.0,R. Hummel makes 2-pt shot from 2 ft (assist by A. Bennett),2,75-86,,
0:29.0,,,75-86,,Turnover by M. Morris (traveling)
0:06.0,T. Young misses 2-pt shot from 12 ft,,75-86,,
0:05.0,,,75-86,,Defensive rebound by M. Morris
0:03.0,,,75-86,,Turnover by M. Morris (lost ball)
0:03.0,,,75-86,,Violation by Team (delay of game)
0:00.0,M. Williams misses 3-pt shot from 25 ft,,75-86,,
0:00.0,Offensive rebound by Team,,75-86,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:41.0,,,75-88,2,G. Green makes 2-pt shot from 1 ft
11:19.0,M. Williams misses 3-pt shot from 27 ft,,75-88,,
11:17.0,Offensive rebound by R. Hummel,,75-88,,
11:03.0,A. Bennett misses 2-pt shot from 20 ft,,75-88,,
11:01.0,,,75-88,,Defensive rebound by M. Morris
10:52.0,Personal foul by A. Bennett (drawn by M. Plumlee),,75-88,,
10:52.0,G. Dieng enters the game for T. Young,,75-88,,
10:52.0,,,75-88,,Offensive foul by B. Wright
10:52.0,,,75-88,,Turnover by B. Wright (offensive foul)
10:40.0,Shooting foul by M. Morris (drawn by A. Bennett),,75-88,,
10:40.0,A. Bennett makes free throw 1 of 2,1,76-88,,
10:40.0,Z. LaVine enters the game for M. Williams,,76-88,,
10:40.0,A. Bennett makes free throw 2 of 2,1,77-88,,
10:27.0,,,77-90,2,G. Green makes 2-pt shot from 18 ft
10:11.0,C. Budinger makes 2-pt shot from 1 ft (assist by R. Hummel),2,79-90,,
10:04.0,,,79-90,,G. Green misses 3-pt shot from 23 ft
10:01.0,Defensive rebound by C. Budinger,,79-90,,
9:58.0,A. Wiggins enters the game for C. Budinger,,79-90,,
9:52.0,A. Wiggins misses 2-pt shot from 8 ft,,79-90,,
9:50.0,,,79-90,,Defensive rebound by M. Plumlee
9:43.0,,,79-90,,I. Thomas misses 2-pt shot from 13 ft
9:41.0,Defensive rebound by G. Dieng,,79-90,,
9:25.0,Z. LaVine makes 2-pt shot from 17 ft,2,81-90,,
9:01.0,,,81-90,,M. Morris misses 3-pt shot from 24 ft
8:59.0,,,81-90,,Offensive rebound by B. Wright
8:57.0,Official timeout,,81-90,,
8:57.0,,,81-90,,G. Dragic enters the game for M. Plumlee
8:50.0,,,81-90,,G. Green misses 2-pt shot from 3 ft
8:49.0,,,81-90,,Offensive rebound by B. Wright
8:49.0,,,81-92,2,B. Wright makes 2-pt shot from 4 ft
8:49.0,,,81-92,,Shooting foul by R. Hummel (drawn by B. Wright)
8:49.0,,,81-92,,B. Wright misses free throw 1 of 1
8:48.0,Defensive rebound by G. Dieng,,81-92,,
8:37.0,Z. LaVine misses 2-pt shot from 12 ft (block by I. Thomas),,81-92,,
8:37.0,Offensive rebound by Team,,81-92,,
8:27.0,A. Bennett makes 3-pt shot from 24 ft (assist by A. Wiggins),3,84-92,,
8:11.0,,,84-94,2,I. Thomas makes 2-pt shot from 22 ft
7:57.0,A. Wiggins makes 2-pt shot from 7 ft,2,86-94,,
7:46.0,,,86-97,3,G. Green makes 3-pt shot from 25 ft (assist by G. Dragic)
7:22.0,A. Bennett misses 2-pt shot from 3 ft (block by B. Wright),,86-97,,
7:22.0,Offensive rebound by Team,,86-97,,
7:19.0,A. Wiggins misses 3-pt shot from 25 ft,,86-97,,
7:17.0,,,86-97,,Defensive rebound by M. Morris
7:08.0,,,86-100,3,G. Green makes 3-pt shot from 23 ft (assist by G. Dragic)
7:07.0,Minnesota full timeout,,86-100,,
7:07.0,M. Williams enters the game for R. Hummel,,86-100,,
7:07.0,T. Young enters the game for Z. LaVine,,86-100,,
6:56.0,,,86-100,,Personal foul by G. Green (drawn by T. Young)
6:42.0,G. Dieng misses 2-pt shot from 11 ft,,86-100,,
6:40.0,,,86-100,,Defensive rebound by I. Thomas
6:38.0,,,86-102,2,B. Wright makes 2-pt shot at rim (assist by I. Thomas)
6:19.0,M. Williams makes 2-pt shot from 10 ft,2,88-102,,
6:00.0,,,88-104,2,G. Green makes 2-pt shot from 2 ft (assist by M. Morris)
5:40.0,,,88-104,,Personal foul by G. Dragic (drawn by A. Wiggins)
5:40.0,T. Daniels enters the game for A. Wiggins,,88-104,,
5:40.0,,,88-104,,M. Morris enters the game for M. Morris
5:38.0,M. Williams makes 2-pt shot from 22 ft (assist by T. Daniels),2,90-104,,
5:12.0,,,90-104,,B. Wright misses 2-pt shot from 11 ft
5:10.0,Defensive rebound by A. Bennett,,90-104,,
4:58.0,A. Bennett misses 2-pt shot from 19 ft,,90-104,,
4:57.0,Offensive rebound by G. Dieng,,90-104,,
4:54.0,M. Williams misses 3-pt shot from 24 ft,,90-104,,
4:52.0,Offensive rebound by A. Bennett,,90-104,,
4:48.0,T. Daniels makes 2-pt shot from 18 ft (assist by A. Bennett),2,92-104,,
4:25.0,,,92-106,2,G. Dragic makes 2-pt shot from 2 ft
4:00.0,Shooting foul by B. Wright (drawn by A. Bennett),,92-106,,
4:00.0,A. Bennett misses free throw 1 of 2,,92-106,,
4:00.0,Offensive rebound by Team,,92-106,,
4:00.0,,,92-106,,E. Bledsoe enters the game for I. Thomas
4:00.0,A. Bennett misses free throw 2 of 2,,92-106,,
3:58.0,,,92-106,,Defensive rebound by M. Morris
3:42.0,,,92-108,2,B. Wright makes 2-pt shot at rim (assist by G. Dragic)
3:24.0,M. Williams makes 3-pt shot from 25 ft (assist by T. Daniels),3,95-108,,
3:10.0,,,95-108,,G. Dragic misses 2-pt shot from 15 ft
3:08.0,Defensive rebound by M. Williams,,95-108,,
3:01.0,G. Dieng makes 2-pt shot at rim (assist by T. Daniels),2,97-108,,
3:01.0,,,97-108,,Phoenix full timeout
3:01.0,,,97-108,,P. Tucker enters the game for G. Green
2:49.0,,,97-110,2,G. Dragic makes 2-pt shot from 5 ft
2:34.0,,,97-110,,A. Len enters the game for B. Wright
2:28.0,M. Williams misses 3-pt shot from 28 ft,,97-110,,
2:26.0,,,97-110,,Defensive rebound by A. Len
2:08.0,,,97-110,,Offensive foul by M. Morris
2:08.0,,,97-110,,Turnover by M. Morris (offensive foul)
1:55.0,Turnover by M. Williams (bad pass; steal by E. Bledsoe),,97-110,,
1:42.0,,,97-110,,M. Morris misses 2-pt shot from 20 ft
1:40.0,,,97-110,,Offensive rebound by A. Len
1:38.0,,,97-110,,A. Len misses 2-pt shot from 1 ft
1:36.0,,,97-110,,Offensive rebound by A. Len
1:35.0,,,97-110,,A. Len misses 2-pt shot from 5 ft
1:32.0,Defensive rebound by T. Daniels,,97-110,,
1:11.0,M. Williams makes 2-pt shot from 1 ft,2,99-110,,
0:51.0,,,99-110,,E. Bledsoe misses 2-pt shot from 19 ft
0:49.0,,,99-110,,Offensive rebound by M. Morris
0:31.0,,,99-110,,G. Dragic misses 2-pt shot from 14 ft
0:30.0,Defensive rebound by Team,,99-110,,
0:30.0,Minnesota full timeout,,99-110,,
0:06.0,,,99-110,,E. Bledsoe misses 3-pt shot from 26 ft
0:04.0,Defensive rebound by M. Williams,,99-110,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
