time,Atlanta,pts.away,score,pts.home,Sacramento
6:12.0,P. Millsap makes 2-pt shot from 15 ft (assist by J. Teague),2,68-56,,
6:07.0,,,68-56,,Sacramento full timeout
6:07.0,,,68-56,,B. McLemore enters the game for O. Casspi
6:07.0,,,68-56,,J. Thompson enters the game for C. Landry
5:49.0,Personal foul by E. Brand (drawn by D. Cousins),,68-56,,
5:49.0,P. Antic enters the game for E. Brand,,68-56,,
5:48.0,Personal foul by J. Teague (drawn by R. McCallum),,68-56,,
5:38.0,,,68-58,2,B. McLemore makes 2-pt shot from 2 ft
5:26.0,,,68-58,,Personal foul by J. Thompson (drawn by J. Teague)
5:26.0,J. Teague misses free throw 1 of 2,,68-58,,
5:26.0,Offensive rebound by Team,,68-58,,
5:26.0,D. Schroder enters the game for K. Bazemore,,68-58,,
5:26.0,J. Teague makes free throw 2 of 2,1,69-58,,
5:16.0,,,69-58,,N. Stauskas misses 3-pt shot from 23 ft
5:16.0,Defensive rebound by P. Millsap,,69-58,,
5:08.0,D. Schroder makes 2-pt shot from 2 ft,2,71-58,,
4:53.0,,,71-60,2,D. Cousins makes 2-pt shot from 3 ft
4:42.0,J. Teague misses 2-pt shot from 15 ft,,71-60,,
4:42.0,Offensive rebound by Team,,71-60,,
4:42.0,,,71-60,,Loose ball foul by N. Stauskas (drawn by P. Antic)
4:42.0,,,71-60,,Technical foul by D. Cousins
4:42.0,J. Teague makes technical free throw,1,72-60,,
4:42.0,,,72-60,,D. Williams enters the game for N. Stauskas
4:42.0,P. Antic makes free throw 1 of 2,1,73-60,,
4:42.0,P. Antic misses free throw 2 of 2,,73-60,,
4:41.0,,,73-60,,Defensive rebound by J. Thompson
4:23.0,,,73-60,,D. Williams misses 3-pt shot from 23 ft
4:22.0,,,73-60,,Offensive rebound by J. Thompson
4:21.0,,,73-62,2,J. Thompson makes 2-pt shot from 1 ft
4:21.0,,,73-62,,Shooting foul by P. Antic (drawn by J. Thompson)
4:21.0,,,73-62,,O. Casspi enters the game for D. Williams
4:21.0,,,73-63,1,J. Thompson makes free throw 1 of 1
4:14.0,,,73-63,,Personal foul by B. McLemore (drawn by D. Schroder)
4:14.0,D. Schroder makes free throw 1 of 2,1,74-63,,
4:14.0,M. Muscala enters the game for P. Millsap,,74-63,,
4:14.0,,,74-63,,A. Miller enters the game for R. McCallum
4:14.0,D. Schroder makes free throw 2 of 2,1,75-63,,
4:00.0,,,75-66,3,A. Miller makes 3-pt shot from 25 ft (assist by D. Cousins)
3:37.0,P. Antic makes 3-pt shot from 24 ft (assist by D. Schroder),3,78-66,,
3:20.0,,,78-66,,Turnover by A. Miller (bad pass; steal by P. Antic)
3:11.0,D. Carroll misses 3-pt shot from 25 ft,,78-66,,
3:11.0,,,78-66,,Defensive rebound by J. Thompson
3:01.0,Personal foul by J. Teague (drawn by A. Miller),,78-66,,
3:01.0,,,78-67,1,A. Miller makes free throw 1 of 2
3:01.0,Atlanta full timeout,,78-67,,
3:01.0,,,78-68,1,A. Miller makes free throw 2 of 2
2:48.0,D. Carroll misses 2-pt shot from 7 ft,,78-68,,
2:47.0,,,78-68,,Defensive rebound by B. McLemore
2:47.0,Personal foul by D. Schroder (drawn by B. McLemore),,78-68,,
2:47.0,,,78-69,1,B. McLemore makes free throw 1 of 2
2:47.0,,,78-69,,B. McLemore misses free throw 2 of 2
2:45.0,,,78-69,,Offensive rebound by D. Cousins
2:44.0,,,78-69,,Turnover by D. Cousins (bad pass)
2:33.0,J. Teague misses 3-pt shot from 25 ft,,78-69,,
2:32.0,,,78-69,,Defensive rebound by O. Casspi
2:24.0,,,78-71,2,D. Cousins makes 2-pt shot at rim (assist by A. Miller)
2:08.0,,,78-71,,Personal foul by D. Cousins (drawn by D. Schroder)
2:08.0,D. Schroder makes free throw 1 of 2,1,79-71,,
2:08.0,P. Millsap enters the game for J. Teague,,79-71,,
2:08.0,S. Mack enters the game for P. Antic,,79-71,,
2:08.0,,,79-71,,R. Evans enters the game for D. Cousins
2:08.0,D. Schroder makes free throw 2 of 2,1,80-71,,
1:53.0,,,80-73,2,J. Thompson makes 2-pt shot from 20 ft (assist by A. Miller)
1:42.0,D. Schroder misses 2-pt shot from 6 ft,,80-73,,
1:42.0,,,80-73,,Defensive rebound by R. Evans
1:32.0,,,80-75,2,J. Thompson makes 2-pt shot from 4 ft (assist by A. Miller)
1:32.0,,,80-75,,Shooting foul by M. Muscala (drawn by J. Thompson)
1:32.0,K. Bazemore enters the game for D. Carroll,,80-75,,
1:32.0,,,80-76,1,J. Thompson makes free throw 1 of 1
1:12.0,Turnover by D. Schroder (bad pass),,80-76,,
0:59.0,,,80-76,,B. McLemore misses 2-pt shot from 12 ft
0:58.0,Defensive rebound by D. Schroder,,80-76,,
0:32.0,K. Bazemore misses 3-pt shot from 25 ft,,80-76,,
0:32.0,,,80-76,,Defensive rebound by B. McLemore
0:27.0,,,80-76,,B. McLemore misses 2-pt shot from 3 ft
0:25.0,Defensive rebound by D. Schroder,,80-76,,
0:21.0,D. Schroder misses 2-pt shot from 19 ft,,80-76,,
0:20.0,Offensive rebound by M. Muscala,,80-76,,
0:20.0,M. Muscala makes 2-pt shot at rim,2,82-76,,
0:05.0,Violation by M. Muscala (kicked ball),,82-76,,
0:05.0,P. Antic enters the game for P. Millsap,,82-76,,
0:01.0,,,82-76,,Turnover by A. Miller (bad pass; steal by S. Mack)
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:35.0,,,82-78,2,A. Miller makes 2-pt shot from 7 ft
11:19.0,Turnover by P. Millsap (lost ball; steal by R. Evans),,82-78,,
11:15.0,,,82-80,2,O. Casspi makes 2-pt shot at rim (assist by B. McLemore)
10:50.0,S. Mack misses 3-pt shot from 24 ft,,82-80,,
10:49.0,Offensive rebound by P. Millsap,,82-80,,
10:48.0,P. Millsap makes 2-pt shot from 6 ft,2,84-80,,
10:30.0,,,84-82,2,A. Miller makes 2-pt shot from 12 ft
10:14.0,D. Schroder makes 2-pt shot from 2 ft (assist by S. Mack),2,86-82,,
10:10.0,,,86-82,,Turnover by A. Miller (bad pass)
9:46.0,S. Mack makes 2-pt shot from 10 ft (assist by D. Schroder),2,88-82,,
9:28.0,,,88-84,2,J. Thompson makes 2-pt shot from 2 ft (assist by B. McLemore)
9:17.0,,,88-84,,Personal foul by O. Casspi (drawn by M. Muscala)
9:17.0,,,88-84,,N. Stauskas enters the game for B. McLemore
9:17.0,,,88-84,,D. Cousins enters the game for R. Evans
9:17.0,E. Brand enters the game for M. Muscala,,88-84,,
9:08.0,D. Schroder misses 2-pt shot from 7 ft,,88-84,,
9:07.0,,,88-84,,Defensive rebound by A. Miller
8:59.0,,,88-84,,Turnover by J. Thompson (kicked ball)
8:59.0,Official timeout,,88-84,,
8:59.0,J. Teague enters the game for D. Schroder,,88-84,,
8:44.0,K. Bazemore misses 3-pt shot from 23 ft,,88-84,,
8:43.0,Offensive rebound by P. Millsap,,88-84,,
8:38.0,Turnover by P. Millsap (bad pass; steal by A. Miller),,88-84,,
8:35.0,,,88-84,,Turnover by O. Casspi (lost ball)
8:21.0,S. Mack misses 3-pt shot from 24 ft,,88-84,,
8:20.0,,,88-84,,Defensive rebound by A. Miller
8:05.0,,,88-86,2,O. Casspi makes 2-pt shot from 2 ft (assist by D. Cousins)
7:41.0,P. Millsap makes 2-pt shot from 5 ft (assist by S. Mack),2,90-86,,
7:25.0,,,90-86,,N. Stauskas misses 2-pt shot from 4 ft
7:24.0,Defensive rebound by J. Teague,,90-86,,
7:23.0,,,90-86,,Personal foul by D. Cousins (drawn by J. Teague)
7:23.0,D. Carroll enters the game for K. Bazemore,,90-86,,
7:23.0,,,90-86,,R. Evans enters the game for D. Cousins
