time,Cleveland,pts.away,score,pts.home,Indiana
6:33.0,L. James misses 3-pt shot from 26 ft,,81-79,,
6:33.0,,,81-79,,Defensive rebound by C. Miles
6:12.0,,,81-81,2,S. Hill makes 2-pt shot from 8 ft
5:58.0,K. Irving makes 2-pt shot from 14 ft,2,83-81,,
5:39.0,,,83-84,3,C. Miles makes 3-pt shot from 25 ft (assist by L. Scola)
5:10.0,K. Irving makes 2-pt shot from 7 ft,2,85-84,,
4:53.0,,,85-84,,Shooting foul by K. Love (drawn by C. Miles)
4:53.0,Official timeout,,85-84,,
4:53.0,,,85-84,,G. Hill enters the game for C. Watson
4:53.0,T. Mozgov enters the game for T. Thompson,,85-84,,
4:53.0,,,85-84,,D. West enters the game for L. Scola
4:53.0,J. Smith enters the game for M. Dellavedova,,85-84,,
4:53.0,,,85-85,1,C. Miles makes free throw 1 of 2
4:53.0,,,85-86,1,C. Miles makes free throw 2 of 2
4:42.0,K. Irving misses 2-pt shot from 12 ft,,85-86,,
4:41.0,,,85-86,,Defensive rebound by D. West
4:28.0,,,85-86,,Turnover by R. Hibbert (lost ball; steal by K. Irving)
4:15.0,K. Love misses 3-pt shot from 24 ft,,85-86,,
4:14.0,,,85-86,,Defensive rebound by D. West
3:59.0,,,85-88,2,R. Hibbert makes 2-pt shot from 18 ft (assist by D. West)
3:45.0,K. Irving misses 3-pt shot from 26 ft,,85-88,,
3:44.0,,,85-88,,Defensive rebound by R. Hibbert
3:32.0,,,85-88,,R. Hibbert misses 2-pt shot from 20 ft
3:30.0,,,85-88,,Offensive rebound by R. Hibbert
3:30.0,,,85-88,,Indiana full timeout
3:30.0,I. Shumpert enters the game for K. Love,,85-88,,
3:13.0,,,85-88,,Turnover by G. Hill (bad pass; steal by L. James)
3:10.0,L. James makes 2-pt shot at rim,2,87-88,,
2:51.0,,,87-88,,S. Hill misses 2-pt shot from 3 ft
2:50.0,Defensive rebound by Team,,87-88,,
2:50.0,Cleveland full timeout,,87-88,,
2:42.0,T. Mozgov misses 2-pt shot from 4 ft,,87-88,,
2:41.0,Offensive rebound by T. Mozgov,,87-88,,
2:39.0,T. Mozgov makes 2-pt shot from 1 ft,2,89-88,,
2:25.0,,,89-88,,G. Hill misses 2-pt shot from 13 ft
2:21.0,Defensive rebound by J. Smith,,89-88,,
2:09.0,Turnover by L. James (offensive foul),,89-88,,
2:09.0,Offensive charge foul by L. James,,89-88,,
1:59.0,,,89-91,3,C. Miles makes 3-pt shot from 23 ft (assist by G. Hill)
1:46.0,K. Irving misses 3-pt shot from 25 ft,,89-91,,
1:44.0,Offensive rebound by K. Irving,,89-91,,
1:41.0,I. Shumpert makes 3-pt shot from 24 ft (assist by K. Irving),3,92-91,,
1:26.0,,,92-94,3,G. Hill makes 3-pt shot from 25 ft
1:26.0,,,92-94,,Shooting foul by K. Irving (drawn by G. Hill)
1:26.0,,,92-95,1,G. Hill makes free throw 1 of 1
