time,Dallas,pts.away,score,pts.home,Boston
7:32.0,,,43-27,,J. Nelson misses 2-pt shot from 15 ft
7:32.0,Defensive rebound by Team,,43-27,,
7:32.0,,,43-27,,E. Turner enters the game for J. Nelson
7:11.0,J. Barea misses 2-pt shot from 1 ft,,43-27,,
7:09.0,Offensive rebound by C. Villanueva,,43-27,,
7:08.0,C. Villanueva misses 2-pt shot from 1 ft,,43-27,,
7:05.0,Offensive rebound by C. Villanueva,,43-27,,
7:04.0,C. Villanueva misses 2-pt shot at rim,,43-27,,
7:02.0,,,43-27,,Defensive rebound by J. Sullinger
6:58.0,,,43-27,,J. Crowder misses 3-pt shot from 23 ft
6:56.0,Defensive rebound by T. Chandler,,43-27,,
6:48.0,M. Ellis makes 2-pt shot at rim,2,45-27,,
6:35.0,,,45-27,,J. Sullinger misses 3-pt shot from 24 ft
6:33.0,Defensive rebound by M. Ellis,,45-27,,
6:28.0,J. Barea makes 2-pt shot from 2 ft,2,47-27,,
6:21.0,,,47-27,,Boston full timeout
6:21.0,,,47-27,,A. Bradley enters the game for J. Crowder
6:21.0,,,47-27,,T. Zeller enters the game for B. Wright
6:10.0,,,47-30,3,E. Turner makes 3-pt shot from 23 ft (assist by J. Sullinger)
5:50.0,M. Ellis makes 2-pt shot from 15 ft (assist by T. Chandler),2,49-30,,
5:38.0,,,49-32,2,J. Sullinger makes 2-pt shot at rim (assist by E. Turner)
5:27.0,,,49-32,,Personal foul by E. Turner (drawn by C. Parsons)
5:15.0,Shooting foul by E. Turner (drawn by C. Parsons),,49-32,,
5:15.0,C. Parsons makes free throw 1 of 2,1,50-32,,
5:15.0,C. Parsons makes free throw 2 of 2,1,51-32,,
5:04.0,,,51-34,2,T. Zeller makes 2-pt shot from 2 ft (assist by E. Turner)
5:04.0,,,51-34,,Shooting foul by T. Chandler (drawn by T. Zeller)
5:04.0,,,51-34,,J. Green enters the game for M. Smart
5:04.0,G. Smith enters the game for T. Chandler,,51-34,,
5:04.0,D. Nowitzki enters the game for C. Villanueva,,51-34,,
5:04.0,R. Rondo enters the game for J. Barea,,51-34,,
5:04.0,,,51-35,1,T. Zeller makes free throw 1 of 1
4:43.0,M. Ellis misses 2-pt shot from 22 ft,,51-35,,
4:42.0,,,51-35,,Defensive rebound by J. Green
4:34.0,,,51-35,,A. Bradley misses 2-pt shot from 19 ft
4:33.0,,,51-35,,Offensive rebound by J. Sullinger
4:25.0,,,51-35,,J. Sullinger misses 2-pt shot from 17 ft
4:24.0,Defensive rebound by C. Parsons,,51-35,,
4:16.0,D. Nowitzki misses 3-pt shot from 25 ft,,51-35,,
4:15.0,,,51-35,,Defensive rebound by T. Zeller
4:10.0,,,51-35,,A. Bradley misses 3-pt shot from 23 ft
4:09.0,,,51-35,,Offensive rebound by T. Zeller
4:07.0,,,51-37,2,T. Zeller makes 2-pt shot from 1 ft
3:53.0,G. Smith misses 2-pt shot at rim,,51-37,,
3:52.0,,,51-37,,Defensive rebound by J. Sullinger
3:41.0,,,51-40,3,J. Green makes 3-pt shot from 25 ft (assist by A. Bradley)
3:16.0,D. Nowitzki makes 2-pt shot from 14 ft,2,53-40,,
3:05.0,Personal foul by C. Parsons (drawn by J. Green),,53-40,,
3:00.0,Personal foul by M. Ellis (drawn by T. Zeller),,53-40,,
2:56.0,,,53-40,,E. Turner misses 2-pt shot from 13 ft
2:56.0,,,53-40,,Offensive rebound by Team
2:56.0,Loose ball foul by C. Parsons (drawn by J. Sullinger),,53-40,,
2:56.0,Official timeout,,53-40,,
2:56.0,T. Chandler enters the game for G. Smith,,53-40,,
2:56.0,,,53-41,1,J. Sullinger makes free throw 1 of 2
2:56.0,,,53-42,1,J. Sullinger makes free throw 2 of 2
2:39.0,M. Ellis makes 2-pt shot from 20 ft,2,55-42,,
2:20.0,,,55-42,,E. Turner misses 2-pt shot from 2 ft
2:19.0,,,55-42,,Offensive rebound by T. Zeller
2:18.0,,,55-44,2,T. Zeller makes 2-pt shot from 1 ft
1:58.0,R. Rondo misses 3-pt shot from 24 ft,,55-44,,
1:57.0,,,55-44,,Defensive rebound by Team
1:57.0,,,55-44,,M. Smart enters the game for E. Turner
1:45.0,,,55-44,,M. Smart misses 2-pt shot from 15 ft (block by C. Parsons)
1:43.0,Defensive rebound by M. Ellis,,55-44,,
1:24.0,D. Nowitzki misses 2-pt shot from 12 ft,,55-44,,
1:23.0,,,55-44,,Defensive rebound by J. Green
1:19.0,,,55-44,,Offensive charge foul by J. Green
1:19.0,,,55-44,,Turnover by J. Green (offensive foul)
1:19.0,G. Smith enters the game for T. Chandler,,55-44,,
1:19.0,D. Harris enters the game for M. Ellis,,55-44,,
1:03.0,D. Nowitzki makes 2-pt shot from 11 ft,2,57-44,,
0:54.0,,,57-44,,Turnover by A. Bradley (bad pass; steal by G. Smith)
0:49.0,Turnover by R. Rondo (bad pass; steal by J. Green),,57-44,,
0:44.0,,,57-46,2,J. Green makes 2-pt shot from 1 ft
0:34.0,D. Nowitzki makes 2-pt shot from 15 ft (assist by D. Harris),2,59-46,,
0:21.0,,,59-46,,A. Bradley misses 2-pt shot from 18 ft
0:20.0,Defensive rebound by C. Parsons,,59-46,,
0:03.0,Turnover by D. Nowitzki (bad pass),,59-46,,
0:03.0,,,59-46,,Boston full timeout
0:03.0,A. Aminu enters the game for C. Parsons,,59-46,,
0:03.0,R. Jefferson enters the game for D. Nowitzki,,59-46,,
0:03.0,,,59-46,,J. Nelson enters the game for T. Zeller
0:03.0,,,59-46,,K. Olynyk enters the game for M. Smart
0:00.0,,,59-46,,A. Bradley misses 3-pt shot from 24 ft
0:00.0,,,59-46,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:48.0,T. Chandler misses 2-pt shot from 16 ft,,59-46,,
11:47.0,,,59-46,,Defensive rebound by A. Bradley
11:35.0,,,59-49,3,J. Sullinger makes 3-pt shot from 25 ft (assist by T. Zeller)
11:21.0,M. Ellis makes 3-pt shot from 24 ft (assist by R. Rondo),3,62-49,,
11:03.0,,,62-49,,A. Bradley misses 2-pt shot from 9 ft
11:02.0,Defensive rebound by D. Nowitzki,,62-49,,
10:54.0,R. Rondo misses 2-pt shot from 21 ft,,62-49,,
10:52.0,Offensive rebound by C. Parsons,,62-49,,
10:42.0,Offensive foul by C. Parsons,,62-49,,
10:42.0,Turnover by C. Parsons (offensive foul),,62-49,,
10:27.0,,,62-51,2,J. Green makes 2-pt shot from 9 ft
10:17.0,,,62-51,,Personal foul by J. Sullinger (drawn by D. Nowitzki)
10:08.0,C. Parsons misses 3-pt shot from 23 ft,,62-51,,
10:07.0,Offensive rebound by C. Parsons,,62-51,,
10:06.0,C. Parsons makes 2-pt shot at rim,2,64-51,,
9:52.0,,,64-51,,E. Turner misses 2-pt shot from 12 ft
9:51.0,Defensive rebound by M. Ellis,,64-51,,
9:39.0,R. Rondo makes 2-pt shot from 1 ft (assist by D. Nowitzki),2,66-51,,
9:24.0,,,66-53,2,T. Zeller makes 2-pt shot from 1 ft (assist by J. Green)
9:13.0,M. Ellis misses 3-pt shot from 24 ft,,66-53,,
9:12.0,,,66-53,,Defensive rebound by T. Zeller
9:04.0,,,66-56,3,J. Sullinger makes 3-pt shot from 24 ft (assist by J. Green)
8:39.0,M. Ellis misses 2-pt shot at rim,,66-56,,
8:38.0,,,66-56,,Defensive rebound by E. Turner
8:33.0,,,66-58,2,A. Bradley makes 2-pt shot from 2 ft
8:33.0,,,66-58,,Shooting foul by R. Rondo (drawn by A. Bradley)
8:33.0,,,66-59,1,A. Bradley makes free throw 1 of 1
8:18.0,R. Rondo misses 3-pt shot from 24 ft,,66-59,,
8:17.0,Offensive rebound by D. Nowitzki,,66-59,,
8:12.0,D. Nowitzki misses 3-pt shot from 25 ft,,66-59,,
8:11.0,Offensive rebound by C. Parsons,,66-59,,
8:08.0,Shooting foul by J. Green (drawn by T. Chandler),,66-59,,
8:08.0,T. Chandler makes free throw 1 of 2,1,67-59,,
8:08.0,T. Chandler makes free throw 2 of 2,1,68-59,,
7:53.0,,,68-59,,A. Bradley misses 2-pt shot from 19 ft
7:51.0,Defensive rebound by R. Rondo,,68-59,,
7:43.0,M. Ellis misses 2-pt shot from 2 ft,,68-59,,
7:41.0,Offensive rebound by T. Chandler,,68-59,,
7:40.0,T. Chandler makes 2-pt shot from 2 ft,2,70-59,,
7:20.0,,,70-59,,J. Green misses 3-pt shot from 25 ft
7:19.0,Defensive rebound by C. Parsons,,70-59,,
7:08.0,R. Rondo makes 2-pt shot from 18 ft,2,72-59,,
6:51.0,,,72-59,,E. Turner misses 2-pt shot from 11 ft
6:51.0,Defensive rebound by D. Nowitzki,,72-59,,
6:39.0,R. Rondo misses 2-pt shot from 21 ft,,72-59,,
6:37.0,,,72-59,,Defensive rebound by T. Zeller
6:28.0,Personal foul by R. Rondo (drawn by J. Sullinger),,72-59,,
6:28.0,R. Jefferson enters the game for D. Nowitzki,,72-59,,
6:28.0,,,72-59,,K. Olynyk enters the game for T. Zeller
6:28.0,D. Harris enters the game for R. Rondo,,72-59,,
6:19.0,,,72-59,,A. Bradley misses 2-pt shot from 20 ft
6:17.0,Defensive rebound by T. Chandler,,72-59,,
5:54.0,M. Ellis makes 2-pt shot from 19 ft,2,74-59,,
5:54.0,,,74-59,,Boston full timeout
5:54.0,,,74-59,,J. Nelson enters the game for A. Bradley
5:31.0,,,74-59,,J. Green misses 2-pt shot from 12 ft
5:30.0,Defensive rebound by T. Chandler,,74-59,,
5:24.0,C. Parsons misses 3-pt shot from 24 ft,,74-59,,
5:22.0,,,74-59,,Defensive rebound by K. Olynyk
5:15.0,,,74-59,,Turnover by E. Turner (bad pass; steal by M. Ellis)
5:13.0,,,74-59,,Personal foul by J. Sullinger (drawn by M. Ellis)
5:13.0,,,74-59,,B. Wright enters the game for J. Sullinger
5:03.0,C. Parsons misses 2-pt shot from 15 ft,,74-59,,
5:01.0,,,74-59,,Defensive rebound by J. Nelson
4:44.0,,,74-61,2,J. Nelson makes 2-pt shot from 3 ft
4:18.0,T. Chandler misses 2-pt shot from 1 ft (block by B. Wright),,74-61,,
4:16.0,,,74-61,,Defensive rebound by B. Wright
4:13.0,,,74-61,,Offensive charge foul by E. Turner
4:13.0,,,74-61,,Turnover by E. Turner (offensive foul)
4:13.0,Dallas full timeout,,74-61,,
4:13.0,G. Smith enters the game for T. Chandler,,74-61,,
4:13.0,,,74-61,,M. Smart enters the game for E. Turner
4:00.0,D. Harris misses 3-pt shot from 24 ft,,74-61,,
3:59.0,,,74-61,,Defensive rebound by Team
3:44.0,,,74-61,,Shooting foul by R. Jefferson (drawn by K. Olynyk)
3:44.0,,,74-61,,K. Olynyk misses free throw 1 of 2
3:44.0,,,74-61,,Offensive rebound by Team
3:44.0,,,74-61,,K. Olynyk misses free throw 2 of 2
3:43.0,Defensive rebound by C. Parsons,,74-61,,
3:33.0,Offensive charge foul by G. Smith,,74-61,,
3:33.0,Turnover by G. Smith (offensive foul),,74-61,,
3:19.0,,,74-61,,J. Nelson misses 2-pt shot from 1 ft
3:18.0,Defensive rebound by R. Jefferson,,74-61,,
3:14.0,Shooting foul by J. Green (drawn by C. Parsons),,74-61,,
3:14.0,C. Parsons misses free throw 1 of 2,,74-61,,
3:14.0,Offensive rebound by Team,,74-61,,
3:14.0,C. Parsons makes free throw 2 of 2,1,75-61,,
2:56.0,,,75-61,,J. Green misses 2-pt shot from 6 ft
2:55.0,,,75-61,,Offensive rebound by K. Olynyk
2:54.0,,,75-63,2,K. Olynyk makes 2-pt shot from 1 ft
2:40.0,M. Ellis makes 2-pt shot from 20 ft,2,77-63,,
2:26.0,,,77-63,,M. Smart misses 3-pt shot from 24 ft
2:25.0,,,77-63,,Offensive rebound by K. Olynyk
2:23.0,,,77-63,,Turnover by K. Olynyk (lost ball; steal by D. Harris)
2:09.0,D. Harris makes 2-pt shot from 2 ft,2,79-63,,
2:01.0,,,79-63,,Shooting foul by G. Smith (drawn by J. Nelson)
2:01.0,,,79-64,1,J. Nelson makes free throw 1 of 2
2:01.0,,,79-64,,J. Crowder enters the game for J. Green
2:01.0,D. Nowitzki enters the game for C. Parsons,,79-64,,
2:01.0,R. Rondo enters the game for M. Ellis,,79-64,,
2:01.0,T. Chandler enters the game for G. Smith,,79-64,,
2:01.0,,,79-64,,B. Bass enters the game for K. Olynyk
2:01.0,,,79-64,,J. Nelson misses free throw 2 of 2
1:59.0,,,79-64,,Offensive rebound by Team
1:49.0,,,79-64,,J. Nelson misses 2-pt shot from 1 ft
1:47.0,Defensive rebound by T. Chandler,,79-64,,
1:33.0,D. Harris makes 3-pt shot from 25 ft (assist by R. Rondo),3,82-64,,
1:13.0,,,82-64,,J. Crowder misses 3-pt shot from 24 ft
1:12.0,Defensive rebound by T. Chandler,,82-64,,
1:04.0,D. Nowitzki makes 2-pt shot from 2 ft (assist by D. Harris),2,84-64,,
1:04.0,Shooting foul by J. Crowder (drawn by D. Nowitzki),,84-64,,
1:04.0,D. Nowitzki makes free throw 1 of 1,1,85-64,,
0:51.0,,,85-64,,J. Nelson misses 3-pt shot from 24 ft
0:48.0,Defensive rebound by Team,,85-64,,
0:34.0,Shooting foul by J. Nelson (drawn by D. Harris),,85-64,,
0:34.0,D. Harris makes free throw 1 of 2,1,86-64,,
0:34.0,D. Harris makes free throw 2 of 2,1,87-64,,
0:15.0,,,87-64,,M. Smart misses 3-pt shot from 26 ft
0:13.0,Defensive rebound by R. Rondo,,87-64,,
0:07.0,R. Jefferson makes 3-pt shot from 23 ft (assist by R. Rondo),3,90-64,,
0:02.0,,,90-64,,Turnover by B. Bass (bad pass)
0:00.0,R. Jefferson makes 2-pt shot at rim (assist by D. Nowitzki),2,92-64,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:49.0,,,92-66,2,T. Zeller makes 2-pt shot from 4 ft (assist by A. Bradley)
11:49.0,,,92-66,,Shooting foul by R. Jefferson (drawn by T. Zeller)
11:49.0,,,92-67,1,T. Zeller makes free throw 1 of 1
11:38.0,D. Nowitzki misses 2-pt shot from 12 ft,,92-67,,
11:37.0,Offensive rebound by T. Chandler,,92-67,,
11:35.0,D. Harris misses 3-pt shot from 24 ft,,92-67,,
11:33.0,,,92-67,,Defensive rebound by Team
11:21.0,,,92-69,2,A. Bradley makes 2-pt shot from 19 ft (assist by M. Smart)
10:59.0,D. Nowitzki misses 2-pt shot from 14 ft,,92-69,,
10:58.0,,,92-69,,Defensive rebound by T. Zeller
10:54.0,Personal foul by D. Harris (drawn by B. Bass),,92-69,,
10:50.0,Personal foul by R. Jefferson (drawn by A. Bradley),,92-69,,
10:47.0,,,92-69,,Offensive foul by T. Zeller
10:47.0,,,92-69,,Turnover by T. Zeller (offensive foul)
10:38.0,Turnover by D. Nowitzki (bad pass; steal by M. Smart),,92-69,,
10:33.0,,,92-71,2,B. Bass makes 2-pt shot at rim (assist by M. Smart)
10:33.0,Dallas full timeout,,92-71,,
10:33.0,G. Smith enters the game for T. Chandler,,92-71,,
10:18.0,D. Nowitzki makes 2-pt shot from 15 ft (assist by G. Smith),2,94-71,,
10:02.0,,,94-74,3,A. Bradley makes 3-pt shot from 24 ft
9:36.0,R. Jefferson misses 2-pt shot from 5 ft,,94-74,,
9:35.0,,,94-74,,Defensive rebound by T. Zeller
9:25.0,,,94-74,,J. Crowder misses 2-pt shot from 11 ft
9:24.0,Defensive rebound by D. Nowitzki,,94-74,,
9:12.0,R. Jefferson makes 3-pt shot from 23 ft (assist by D. Harris),3,97-74,,
9:06.0,,,97-76,2,J. Crowder makes 2-pt shot from 1 ft (assist by M. Smart)
8:45.0,D. Nowitzki misses 2-pt shot from 16 ft,,97-76,,
8:44.0,,,97-76,,Defensive rebound by T. Zeller
8:36.0,C. Parsons enters the game for D. Nowitzki,,97-76,,
8:36.0,M. Ellis enters the game for D. Harris,,97-76,,
8:36.0,T. Chandler enters the game for G. Smith,,97-76,,
8:36.0,,,97-76,,J. Sullinger enters the game for B. Bass
8:29.0,,,97-78,2,T. Zeller makes 2-pt shot at rim (assist by M. Smart)
8:03.0,C. Parsons misses 2-pt shot from 1 ft,,97-78,,
8:02.0,,,97-78,,Defensive rebound by T. Zeller
7:57.0,,,97-81,3,A. Bradley makes 3-pt shot from 24 ft (assist by M. Smart)
7:56.0,Dallas full timeout,,97-81,,
7:43.0,Offensive foul by T. Chandler,,97-81,,
7:43.0,Turnover by T. Chandler (offensive foul),,97-81,,
7:34.0,,,97-83,2,A. Bradley makes 2-pt shot from 1 ft
7:13.0,Turnover by R. Rondo (lost ball; steal by J. Crowder),,97-83,,
7:06.0,,,97-85,2,J. Crowder makes 2-pt shot from 1 ft (assist by M. Smart)
7:05.0,Dallas full timeout,,97-85,,
6:52.0,,,97-85,,Personal block foul by M. Smart (drawn by M. Ellis)
6:43.0,Turnover by C. Parsons (lost ball; steal by J. Crowder),,97-85,,
6:27.0,,,97-87,2,A. Bradley makes 2-pt shot from 21 ft (assist by T. Zeller)
6:14.0,R. Rondo makes 2-pt shot from 16 ft,2,99-87,,
6:05.0,,,99-87,,M. Smart misses 3-pt shot from 23 ft
6:04.0,Defensive rebound by R. Rondo,,99-87,,
5:51.0,T. Chandler misses 2-pt shot from 3 ft,,99-87,,
5:50.0,Offensive rebound by T. Chandler,,99-87,,
5:50.0,Shooting foul by T. Zeller (drawn by T. Chandler),,99-87,,
