time,LA Clippers,pts.away,score,pts.home,Indiana
6:26.0,,,42-36,2,D. West makes 2-pt shot from 4 ft (assist by L. Allen)
6:12.0,J. Crawford makes 2-pt shot from 2 ft,2,44-36,,
5:56.0,,,44-39,3,C. Miles makes 3-pt shot from 27 ft (assist by C. Watson)
5:42.0,Turnover by J. Crawford (lost ball; steal by D. Rudez),,44-39,,
5:38.0,,,44-39,,Shooting foul by M. Barnes (drawn by D. Rudez)
5:38.0,,,44-39,,Indiana full timeout
5:38.0,C. Paul enters the game for J. Crawford,,44-39,,
5:38.0,J. Redick enters the game for J. Farmar,,44-39,,
5:38.0,,,44-40,1,D. Rudez makes free throw 1 of 2
5:38.0,,,44-41,1,D. Rudez makes free throw 2 of 2
5:26.0,,,44-41,,Personal foul by C. Watson (drawn by C. Paul)
5:12.0,M. Barnes misses 3-pt shot from 25 ft,,44-41,,
5:11.0,,,44-41,,Defensive rebound by L. Allen
5:01.0,,,44-41,,D. Rudez misses 3-pt shot from 25 ft
5:00.0,Defensive rebound by D. Jordan,,44-41,,
4:45.0,B. Griffin misses 2-pt shot from 19 ft,,44-41,,
4:44.0,,,44-41,,Defensive rebound by C. Watson
4:35.0,,,44-41,,C. Miles misses 3-pt shot from 22 ft
4:34.0,Defensive rebound by M. Barnes,,44-41,,
4:15.0,C. Paul misses 3-pt shot from 26 ft,,44-41,,
4:14.0,,,44-41,,Defensive rebound by C. Miles
4:11.0,,,44-41,,R. Stuckey enters the game for C. Watson
4:11.0,,,44-41,,S. Hill enters the game for D. Rudez
4:09.0,,,44-43,2,L. Allen makes 2-pt shot from 2 ft (assist by D. West)
3:38.0,M. Barnes misses 3-pt shot from 23 ft,,44-43,,
3:37.0,,,44-43,,Defensive rebound by R. Stuckey
3:26.0,,,44-43,,D. West misses 3-pt shot from 24 ft
3:25.0,,,44-43,,Offensive rebound by C. Miles
3:10.0,Personal foul by C. Paul (drawn by S. Hill),,44-43,,
3:10.0,LA Clippers full timeout,,44-43,,
3:10.0,,,44-43,,C. Copeland enters the game for C. Miles
3:10.0,,,44-44,1,S. Hill makes free throw 1 of 2
3:10.0,,,44-45,1,S. Hill makes free throw 2 of 2
2:54.0,M. Barnes misses 3-pt shot from 22 ft,,44-45,,
2:53.0,,,44-45,,Defensive rebound by D. West
2:29.0,,,44-45,,C. Copeland misses 3-pt shot from 25 ft
2:27.0,Defensive rebound by C. Paul,,44-45,,
2:21.0,B. Griffin makes 2-pt shot from 1 ft (assist by C. Paul),2,46-45,,
2:04.0,,,46-45,,R. Stuckey misses 3-pt shot from 25 ft
2:02.0,Defensive rebound by D. Jordan,,46-45,,
1:52.0,B. Griffin misses 2-pt shot from 7 ft,,46-45,,
1:50.0,Offensive rebound by D. Jordan,,46-45,,
1:48.0,D. Jordan makes 2-pt shot from 1 ft,2,48-45,,
1:39.0,Personal foul by M. Barnes (drawn by C. Copeland),,48-45,,
1:39.0,,,48-46,1,C. Copeland makes free throw 1 of 2
1:39.0,,,48-47,1,C. Copeland makes free throw 2 of 2
1:30.0,J. Redick makes 2-pt shot from 2 ft (assist by C. Paul),2,50-47,,
1:11.0,,,50-47,,Turnover by R. Stuckey (traveling)
1:01.0,C. Paul makes 2-pt shot from 4 ft,2,52-47,,
0:45.0,,,52-47,,S. Hill misses 2-pt shot from 3 ft (block by D. Jordan)
0:45.0,,,52-47,,Offensive rebound by Team
0:45.0,J. Crawford enters the game for M. Barnes,,52-47,,
0:42.0,,,52-47,,Turnover by L. Allen (lost ball; steal by D. Jordan)
0:33.0,D. Jordan makes 2-pt shot at rim (assist by C. Paul),2,54-47,,
0:12.0,,,54-47,,S. Hill misses 2-pt shot from 22 ft
0:09.0,,,54-47,,Offensive rebound by D. West
0:07.0,,,54-49,2,L. Allen makes 2-pt shot from 6 ft
0:01.0,J. Crawford misses 3-pt shot from 32 ft,,54-49,,
0:00.0,,,54-49,,Defensive rebound by L. Allen
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:40.0,Turnover by M. Barnes (bad pass),,54-49,,
11:23.0,,,54-51,2,R. Hibbert makes 2-pt shot from 18 ft (assist by R. Stuckey)
11:05.0,J. Redick makes 2-pt shot from 21 ft (assist by B. Griffin),2,56-51,,
10:47.0,,,56-54,3,C. Copeland makes 3-pt shot from 25 ft (assist by S. Hill)
10:29.0,C. Paul makes 2-pt shot from 19 ft,2,58-54,,
10:08.0,,,58-54,,R. Stuckey misses 2-pt shot from 3 ft (block by M. Barnes)
10:05.0,Defensive rebound by D. Jordan,,58-54,,
10:00.0,J. Redick misses 2-pt shot from 20 ft,,58-54,,
9:58.0,Offensive rebound by B. Griffin,,58-54,,
9:57.0,B. Griffin misses 2-pt shot from 1 ft,,58-54,,
9:56.0,Offensive rebound by B. Griffin,,58-54,,
9:56.0,B. Griffin makes 2-pt shot from 1 ft,2,60-54,,
9:41.0,,,60-54,,R. Stuckey misses 2-pt shot from 7 ft
9:39.0,Defensive rebound by D. Jordan,,60-54,,
9:26.0,D. Jordan makes 2-pt shot from 2 ft (assist by C. Paul),2,62-54,,
9:02.0,,,62-54,,C. Copeland misses 2-pt shot from 3 ft (block by B. Griffin)
9:00.0,Defensive rebound by D. Jordan,,62-54,,
8:57.0,,,62-54,,Shooting block foul by R. Hibbert (drawn by M. Barnes)
8:57.0,M. Barnes makes free throw 1 of 2,1,63-54,,
8:57.0,M. Barnes makes free throw 2 of 2,1,64-54,,
8:45.0,,,64-54,,S. Hill misses 2-pt shot from 19 ft
8:44.0,Defensive rebound by C. Paul,,64-54,,
8:35.0,C. Paul makes 2-pt shot from 15 ft,2,66-54,,
8:34.0,,,66-54,,Indiana full timeout
8:34.0,,,66-54,,C. Miles enters the game for S. Hill
8:09.0,,,66-54,,Turnover by Team (shot clock)
7:52.0,C. Paul misses 2-pt shot from 21 ft,,66-54,,
7:52.0,Offensive rebound by D. Jordan,,66-54,,
7:52.0,,,66-54,,Loose ball foul by R. Hibbert (drawn by D. Jordan)
7:52.0,,,66-54,,L. Allen enters the game for R. Hibbert
7:45.0,C. Paul misses 2-pt shot from 6 ft,,66-54,,
7:44.0,,,66-54,,Defensive rebound by R. Stuckey
7:35.0,,,66-56,2,L. Allen makes 2-pt shot from 20 ft (assist by R. Stuckey)
7:22.0,J. Redick makes 2-pt shot from 19 ft (assist by C. Paul),2,68-56,,
7:04.0,,,68-56,,C. Miles misses 2-pt shot from 20 ft
7:03.0,Defensive rebound by D. Jordan,,68-56,,
6:57.0,M. Barnes makes 2-pt shot from 1 ft (assist by C. Paul),2,70-56,,
6:42.0,,,70-56,,Turnover by R. Stuckey (lost ball; steal by C. Paul)
6:36.0,,,70-56,,Personal foul by L. Allen (drawn by D. Jordan)
6:30.0,Turnover by M. Barnes (back court),,70-56,,
6:19.0,,,70-56,,R. Stuckey misses 2-pt shot from 1 ft (block by D. Jordan)
6:19.0,,,70-56,,Offensive rebound by Team
6:15.0,,,70-58,2,C. Miles makes 2-pt shot from 13 ft (assist by D. West)
5:53.0,C. Paul misses 2-pt shot from 2 ft (block by C. Copeland),,70-58,,
5:53.0,Offensive rebound by Team,,70-58,,
5:51.0,D. Jordan misses 2-pt shot from 3 ft,,70-58,,
5:49.0,,,70-58,,Defensive rebound by C. Copeland
5:39.0,,,70-58,,C. Copeland misses 3-pt shot from 23 ft
5:37.0,Defensive rebound by D. Jordan,,70-58,,
5:33.0,M. Barnes makes 2-pt shot from 1 ft (assist by C. Paul),2,72-58,,
5:18.0,Personal foul by C. Paul (drawn by R. Stuckey),,72-58,,
5:05.0,,,72-58,,C. Miles misses 3-pt shot from 27 ft
5:04.0,,,72-58,,Offensive rebound by L. Allen
5:01.0,,,72-58,,L. Allen misses 2-pt shot at rim (block by D. Jordan)
4:58.0,Defensive rebound by D. Jordan,,72-58,,
4:52.0,M. Barnes makes 3-pt shot from 23 ft (assist by J. Redick),3,75-58,,
4:52.0,,,75-58,,Indiana full timeout
4:28.0,,,75-58,,L. Allen misses 2-pt shot from 21 ft
4:27.0,Defensive rebound by M. Barnes,,75-58,,
4:24.0,Turnover by M. Barnes (bad pass),,75-58,,
4:06.0,,,75-58,,C. Copeland misses 2-pt shot from 2 ft
4:04.0,Defensive rebound by B. Griffin,,75-58,,
3:57.0,Turnover by C. Paul (bad pass; steal by R. Stuckey),,75-58,,
3:52.0,,,75-58,,Shooting foul by C. Paul (drawn by R. Stuckey)
3:52.0,,,75-59,1,R. Stuckey makes free throw 1 of 2
3:52.0,,,75-59,,C. Watson enters the game for C. Copeland
3:52.0,,,75-60,1,R. Stuckey makes free throw 2 of 2
3:32.0,M. Barnes makes 2-pt shot at rim,2,77-60,,
3:17.0,J. Crawford enters the game for J. Redick,,77-60,,
3:14.0,,,77-60,,D. West misses 2-pt shot from 19 ft
3:12.0,,,77-60,,Offensive rebound by L. Allen
3:07.0,,,77-62,2,R. Stuckey makes 2-pt shot from 19 ft
2:52.0,C. Paul misses 2-pt shot from 9 ft,,77-62,,
2:50.0,Offensive rebound by D. Jordan,,77-62,,
2:50.0,D. Jordan misses 2-pt shot at rim,,77-62,,
2:50.0,Offensive rebound by D. Jordan,,77-62,,
2:50.0,,,77-62,,Personal foul by C. Watson (drawn by D. Jordan)
2:50.0,LA Clippers full timeout,,77-62,,
2:50.0,S. Hawes enters the game for D. Jordan,,77-62,,
2:50.0,J. Farmar enters the game for M. Barnes,,77-62,,
2:42.0,B. Griffin makes 2-pt shot from 3 ft (assist by C. Paul),2,79-62,,
2:16.0,,,79-62,,D. West misses 2-pt shot from 2 ft
2:15.0,Defensive rebound by C. Paul,,79-62,,
2:08.0,J. Crawford misses 3-pt shot from 23 ft,,79-62,,
2:07.0,Offensive rebound by C. Paul,,79-62,,
1:52.0,J. Farmar makes 3-pt shot from 24 ft (assist by C. Paul),3,82-62,,
1:26.0,,,82-62,,L. Allen misses 2-pt shot from 14 ft
1:24.0,Defensive rebound by B. Griffin,,82-62,,
1:12.0,Turnover by C. Paul (bad pass; steal by C. Watson),,82-62,,
1:07.0,,,82-62,,Shooting foul by S. Hawes (drawn by C. Miles)
1:07.0,,,82-62,,C. Miles misses free throw 1 of 2
1:07.0,,,82-62,,Offensive rebound by Team
1:07.0,,,82-62,,L. Scola enters the game for D. West
1:07.0,,,82-62,,D. Rudez enters the game for R. Stuckey
1:07.0,,,82-63,1,C. Miles makes free throw 2 of 2
0:56.0,J. Crawford misses 2-pt shot from 2 ft,,82-63,,
0:55.0,,,82-63,,Defensive rebound by L. Scola
0:50.0,,,82-63,,C. Miles misses 3-pt shot from 27 ft
0:49.0,Defensive rebound by J. Crawford,,82-63,,
0:39.0,J. Farmar misses 3-pt shot from 24 ft,,82-63,,
0:38.0,,,82-63,,Defensive rebound by C. Miles
0:30.0,,,82-65,2,L. Scola makes 2-pt shot from 15 ft (assist by C. Watson)
0:10.0,C. Paul misses 2-pt shot from 13 ft,,82-65,,
0:08.0,,,82-65,,Defensive rebound by L. Scola
0:02.0,,,82-65,,C. Watson misses 2-pt shot from 13 ft
0:01.0,Defensive rebound by C. Paul,,82-65,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:45.0,,,82-67,2,C. Miles makes 2-pt shot at rim
11:29.0,G. Davis makes 2-pt shot from 1 ft (assist by J. Crawford),2,84-67,,
11:09.0,,,84-70,3,C. Miles makes 3-pt shot from 25 ft (assist by L. Allen)
10:52.0,J. Farmar misses 2-pt shot from 18 ft,,84-70,,
10:51.0,,,84-70,,Defensive rebound by L. Scola
10:44.0,,,84-72,2,L. Scola makes 2-pt shot from 1 ft (assist by C. Watson)
10:24.0,S. Hawes makes 2-pt shot from 13 ft,2,86-72,,
10:01.0,,,86-72,,Turnover by C. Miles (bad pass; steal by S. Hawes)
9:49.0,G. Davis misses 2-pt shot from 20 ft,,86-72,,
9:47.0,,,86-72,,Defensive rebound by L. Allen
9:39.0,,,86-75,3,C. Miles makes 3-pt shot from 25 ft (assist by C. Watson)
9:22.0,S. Hawes misses 3-pt shot from 23 ft,,86-75,,
9:20.0,,,86-75,,Defensive rebound by L. Scola
9:05.0,,,86-75,,Turnover by L. Scola (lost ball; steal by J. Farmar)
9:00.0,M. Barnes misses 2-pt shot at rim,,86-75,,
8:59.0,,,86-75,,Defensive rebound by C. Miles
8:52.0,,,86-77,2,L. Allen makes 2-pt shot from 1 ft (assist by C. Miles)
8:52.0,LA Clippers full timeout,,86-77,,
8:52.0,D. Jordan enters the game for G. Davis,,86-77,,
8:34.0,J. Crawford makes 2-pt shot from 18 ft,2,88-77,,
8:19.0,,,88-77,,Shooting foul by J. Farmar (drawn by C. Watson)
8:19.0,,,88-78,1,C. Watson makes free throw 1 of 2
8:19.0,,,88-79,1,C. Watson makes free throw 2 of 2
8:06.0,J. Crawford misses 3-pt shot from 25 ft,,88-79,,
8:05.0,,,88-79,,Defensive rebound by C. Watson
8:01.0,,,88-79,,Shooting foul by S. Hawes (drawn by C. Watson)
8:01.0,,,88-80,1,C. Watson makes free throw 1 of 2
8:01.0,C. Paul enters the game for J. Farmar,,88-80,,
8:01.0,,,88-81,1,C. Watson makes free throw 2 of 2
7:45.0,S. Hawes misses 3-pt shot from 22 ft,,88-81,,
7:44.0,,,88-81,,Defensive rebound by L. Allen
7:35.0,,,88-81,,C. Watson misses 2-pt shot from 6 ft
7:34.0,,,88-81,,Offensive rebound by L. Allen
7:32.0,,,88-83,2,L. Allen makes 2-pt shot from 2 ft
7:32.0,LA Clippers full timeout,,88-83,,
7:32.0,B. Griffin enters the game for S. Hawes,,88-83,,
7:32.0,,,88-83,,S. Hill enters the game for C. Miles
7:19.0,B. Griffin misses 2-pt shot from 21 ft,,88-83,,
7:18.0,,,88-83,,Defensive rebound by C. Watson
6:55.0,,,88-83,,L. Scola misses 2-pt shot from 17 ft
6:54.0,,,88-83,,Offensive rebound by L. Allen
6:46.0,,,88-83,,S. Hill misses 3-pt shot from 26 ft
6:45.0,Defensive rebound by B. Griffin,,88-83,,
6:40.0,C. Paul makes 2-pt shot from 15 ft,2,90-83,,
6:40.0,Shooting foul by D. Rudez (drawn by C. Paul),,90-83,,
6:40.0,J. Redick enters the game for M. Barnes,,90-83,,
6:40.0,,,90-83,,C. Miles enters the game for S. Hill
6:40.0,C. Paul makes free throw 1 of 1,1,91-83,,
6:20.0,,,91-83,,C. Watson misses 2-pt shot from 19 ft
6:19.0,,,91-83,,Offensive rebound by L. Allen
6:15.0,,,91-83,,C. Miles misses 3-pt shot from 25 ft
6:15.0,,,91-83,,Offensive rebound by L. Scola
6:15.0,Loose ball foul by C. Paul (drawn by L. Scola),,91-83,,
6:12.0,,,91-85,2,C. Watson makes 2-pt shot from 1 ft (assist by C. Miles)
5:59.0,,,91-85,,Personal foul by L. Scola (drawn by B. Griffin)
5:47.0,B. Griffin makes 2-pt shot from 3 ft,2,93-85,,
5:32.0,,,93-85,,C. Watson misses 2-pt shot from 19 ft
5:31.0,Defensive rebound by J. Redick,,93-85,,
5:30.0,,,93-85,,Personal block foul by C. Watson (drawn by J. Redick)
5:18.0,B. Griffin misses 2-pt shot from 7 ft,,93-85,,
5:18.0,,,93-85,,Defensive rebound by Team
5:18.0,Loose ball foul by D. Jordan (drawn by L. Allen),,93-85,,
5:02.0,,,93-85,,C. Miles misses 2-pt shot from 21 ft
5:01.0,Defensive rebound by B. Griffin,,93-85,,
4:56.0,Turnover by D. Jordan (bad pass),,93-85,,
4:44.0,Personal foul by D. Jordan (drawn by L. Scola),,93-85,,
4:44.0,,,93-86,1,L. Scola makes free throw 1 of 2
4:44.0,,,93-86,,R. Stuckey enters the game for D. Rudez
4:44.0,,,93-87,1,L. Scola makes free throw 2 of 2
4:32.0,Turnover by C. Paul (lost ball; steal by C. Watson),,93-87,,
4:32.0,Jump ball: C. Paul vs. C. Watson (C. Miles gains possession),,,,Jump ball: C. Paul vs. C. Watson (C. Miles gains possession)
4:19.0,,,93-87,,L. Scola misses 2-pt shot from 18 ft
4:19.0,Defensive rebound by D. Jordan,,93-87,,
4:01.0,C. Paul makes 2-pt shot from 15 ft,2,95-87,,
3:42.0,,,95-87,,L. Scola misses 2-pt shot from 6 ft (block by B. Griffin)
3:42.0,,,95-87,,Offensive rebound by Team
3:40.0,,,95-90,3,C. Miles makes 3-pt shot from 25 ft (assist by R. Stuckey)
3:22.0,J. Redick misses 3-pt shot from 25 ft,,95-90,,
3:21.0,,,95-90,,Defensive rebound by L. Scola
3:09.0,,,95-92,2,L. Scola makes 2-pt shot from 1 ft (assist by C. Watson)
2:46.0,J. Crawford makes 3-pt shot from 26 ft (assist by C. Paul),3,98-92,,
2:31.0,,,98-92,,L. Scola misses 2-pt shot from 19 ft
2:29.0,,,98-92,,Offensive rebound by L. Allen
2:27.0,,,98-94,2,L. Allen makes 2-pt shot from 1 ft
