time,New York,pts.away,score,pts.home,Oklahoma City
10:17.0,,,13-33,,Shooting foul by P. Prigioni (drawn by J. Lamb)
10:17.0,,,13-34,1,J. Lamb makes free throw 1 of 2
10:17.0,,,13-35,1,J. Lamb makes free throw 2 of 2
10:05.0,,,13-35,,Personal foul by K. Perkins (drawn by A. Stoudemire)
9:57.0,P. Prigioni misses 3-pt shot from 24 ft,,13-35,,
9:56.0,,,13-35,,Defensive rebound by K. Perkins
9:49.0,,,13-37,2,K. Perkins makes 2-pt shot from 6 ft (assist by J. Lamb)
9:28.0,P. Prigioni misses 3-pt shot from 23 ft,,13-37,,
9:26.0,Offensive rebound by A. Stoudemire,,13-37,,
9:22.0,T. Hardaway misses 2-pt shot from 9 ft,,13-37,,
9:21.0,,,13-37,,Defensive rebound by A. Morrow
9:05.0,,,13-40,3,J. Lamb makes 3-pt shot from 22 ft (assist by A. Morrow)
8:58.0,New York full timeout,,13-40,,
8:58.0,C. Aldrich enters the game for A. Stoudemire,,13-40,,
8:58.0,T. Wear enters the game for P. Prigioni,,13-40,,
8:58.0,I. Shumpert enters the game for T. Hardaway,,13-40,,
8:51.0,I. Shumpert makes 2-pt shot from 4 ft,2,15-40,,
8:25.0,,,15-40,,R. Jackson misses 3-pt shot from 25 ft
8:24.0,Defensive rebound by Q. Acy,,15-40,,
8:08.0,I. Shumpert makes 2-pt shot from 18 ft,2,17-40,,
7:52.0,Personal foul by Q. Acy (drawn by J. Lamb),,17-40,,
7:46.0,Violation by C. Aldrich (kicked ball),,17-40,,
7:40.0,,,17-40,,R. Jackson misses 2-pt shot from 7 ft
7:39.0,Defensive rebound by C. Aldrich,,17-40,,
7:28.0,C. Aldrich misses 2-pt shot from 6 ft,,17-40,,
7:27.0,Offensive rebound by Q. Acy,,17-40,,
7:22.0,S. Larkin misses 2-pt shot from 16 ft,,17-40,,
7:20.0,,,17-40,,Defensive rebound by K. Perkins
7:04.0,Personal foul by C. Aldrich (drawn by R. Jackson),,17-40,,
7:04.0,,,17-40,,S. Ibaka enters the game for N. Collison
7:04.0,,,17-40,,R. Westbrook enters the game for J. Lamb
6:57.0,,,17-40,,A. Morrow misses 2-pt shot from 21 ft
6:56.0,,,17-40,,Offensive rebound by R. Westbrook
6:52.0,,,17-40,,R. Westbrook misses 2-pt shot from 17 ft
6:51.0,Defensive rebound by Q. Acy,,17-40,,
6:37.0,Shooting foul by A. Morrow (drawn by Q. Acy),,17-40,,
6:37.0,Q. Acy makes free throw 1 of 2,1,18-40,,
6:37.0,,,18-40,,A. Roberson enters the game for A. Morrow
6:37.0,Q. Acy makes free throw 2 of 2,1,19-40,,
6:27.0,,,19-40,,R. Jackson misses 2-pt shot from 2 ft (block by C. Aldrich)
6:26.0,,,19-40,,Offensive rebound by R. Jackson
6:18.0,,,19-40,,K. Perkins misses 2-pt shot from 2 ft
6:16.0,,,19-40,,Offensive rebound by S. Ibaka
6:16.0,,,19-40,,S. Ibaka misses 2-pt shot at rim (block by I. Shumpert)
6:16.0,,,19-40,,Offensive rebound by Team
6:12.0,,,19-40,,K. Perkins misses 2-pt shot from 11 ft
6:11.0,Defensive rebound by Q. Acy,,19-40,,
5:58.0,C. Aldrich makes 2-pt shot from 6 ft,2,21-40,,
5:51.0,,,21-40,,Oklahoma City full timeout
5:51.0,,,21-40,,S. Adams enters the game for K. Perkins
5:51.0,J. Calderon enters the game for S. Larkin,,21-40,,
5:41.0,,,21-40,,S. Adams misses 2-pt shot from 1 ft (block by C. Aldrich)
5:40.0,,,21-40,,Offensive rebound by R. Westbrook
5:40.0,,,21-40,,R. Westbrook misses 2-pt shot from 2 ft
5:40.0,,,21-40,,Offensive rebound by Team
5:38.0,,,21-40,,Shooting foul by C. Aldrich (drawn by S. Ibaka)
5:38.0,,,21-41,1,S. Ibaka makes free throw 1 of 2
5:38.0,J. Smith enters the game for T. Wear,,21-41,,
5:38.0,,,21-42,1,S. Ibaka makes free throw 2 of 2
5:17.0,J. Calderon misses 2-pt shot from 17 ft,,21-42,,
5:16.0,,,21-42,,Defensive rebound by R. Westbrook
5:07.0,,,21-42,,S. Ibaka misses 2-pt shot from 3 ft
5:06.0,,,21-42,,Offensive rebound by R. Westbrook
5:05.0,Violation by C. Aldrich (def goaltending),,21-42,,
5:05.0,,,21-44,2,R. Westbrook makes 2-pt shot from 2 ft
4:55.0,I. Shumpert misses 3-pt shot from 23 ft,,21-44,,
4:54.0,,,21-44,,Defensive rebound by A. Roberson
4:46.0,,,21-44,,Turnover by R. Westbrook (bad pass)
4:40.0,C. Aldrich makes 2-pt shot at rim (assist by J. Smith),2,23-44,,
4:16.0,,,23-47,3,S. Ibaka makes 3-pt shot from 24 ft (assist by R. Westbrook)
4:00.0,J. Smith misses 2-pt shot from 12 ft,,23-47,,
4:00.0,,,23-47,,Defensive rebound by S. Adams
3:52.0,,,23-49,2,S. Ibaka makes 2-pt shot from 1 ft (assist by R. Westbrook)
3:38.0,J. Smith misses 3-pt shot from 23 ft,,23-49,,
3:37.0,,,23-49,,Defensive rebound by S. Adams
3:28.0,,,23-49,,S. Adams misses 2-pt shot at rim
3:27.0,,,23-49,,Offensive rebound by S. Adams
3:26.0,,,23-49,,S. Adams misses 2-pt shot at rim
3:24.0,,,23-49,,Offensive rebound by R. Westbrook
3:22.0,,,23-51,2,S. Adams makes 2-pt shot at rim (assist by R. Westbrook)
3:13.0,New York full timeout,,23-51,,
3:13.0,A. Stoudemire enters the game for Q. Acy,,23-51,,
3:13.0,S. Dalembert enters the game for C. Aldrich,,23-51,,
3:03.0,A. Stoudemire makes 2-pt shot at rim,2,25-51,,
3:03.0,Shooting foul by S. Ibaka (drawn by A. Stoudemire),,25-51,,
3:03.0,A. Stoudemire misses free throw 1 of 1,,25-51,,
3:03.0,,,25-51,,Defensive rebound by R. Jackson
2:49.0,,,25-51,,Turnover by R. Westbrook (bad pass)
2:35.0,S. Dalembert makes 2-pt shot from 11 ft (assist by J. Smith),2,27-51,,
2:08.0,,,27-51,,S. Ibaka misses 2-pt shot from 17 ft
2:07.0,,,27-51,,Offensive rebound by R. Jackson
2:05.0,,,27-53,2,R. Jackson makes 2-pt shot from 15 ft
1:45.0,Turnover by J. Calderon (bad pass; steal by R. Jackson),,27-53,,
1:41.0,,,27-55,2,A. Roberson makes 2-pt shot at rim (assist by R. Jackson)
1:34.0,,,27-55,,Personal foul by S. Ibaka (drawn by A. Stoudemire)
1:21.0,Turnover by I. Shumpert (bad pass; steal by A. Roberson),,27-55,,
1:17.0,,,27-55,,R. Jackson misses 2-pt shot at rim (block by J. Smith)
1:15.0,Defensive rebound by S. Dalembert,,27-55,,
1:10.0,A. Stoudemire makes 2-pt shot at rim (assist by I. Shumpert),2,29-55,,
0:59.0,Personal foul by I. Shumpert (drawn by R. Westbrook),,29-55,,
0:59.0,,,29-55,,R. Westbrook misses free throw 1 of 2
0:59.0,,,29-55,,Offensive rebound by Team
0:59.0,,,29-56,1,R. Westbrook makes free throw 2 of 2
0:42.0,A. Stoudemire makes 2-pt shot at rim (assist by J. Smith),2,31-56,,
0:36.0,,,31-59,3,R. Westbrook makes 3-pt shot from 25 ft
0:24.0,I. Shumpert makes 2-pt shot from 16 ft,2,33-59,,
0:02.0,,,33-59,,A. Roberson misses 3-pt shot from 24 ft
0:01.0,,,33-59,,Offensive rebound by S. Adams
0:00.0,,,33-59,,S. Adams misses 2-pt shot at rim
0:00.0,Defensive rebound by Team,,33-59,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:41.0,S. Dalembert misses 2-pt shot from 6 ft,,33-59,,
11:40.0,,,33-59,,Defensive rebound by S. Ibaka
11:24.0,,,33-59,,Turnover by A. Roberson (traveling)
11:02.0,S. Dalembert misses 2-pt shot from 5 ft,,33-59,,
11:01.0,,,33-59,,Defensive rebound by S. Adams
10:59.0,Personal foul by A. Stoudemire (drawn by S. Adams),,33-59,,
10:42.0,,,33-59,,S. Adams misses 2-pt shot from 7 ft
10:41.0,Defensive rebound by S. Dalembert,,33-59,,
10:33.0,Turnover by I. Shumpert (bad pass; steal by S. Adams),,33-59,,
10:26.0,,,33-59,,R. Westbrook misses 2-pt shot from 17 ft
10:25.0,Defensive rebound by A. Stoudemire,,33-59,,
10:20.0,,,33-59,,Personal foul by A. Roberson (drawn by I. Shumpert)
10:16.0,J. Smith makes 2-pt shot at rim (assist by S. Dalembert),2,35-59,,
9:54.0,,,35-59,,S. Adams misses 2-pt shot at rim (block by S. Dalembert)
9:52.0,,,35-59,,Offensive rebound by L. Thomas
9:49.0,,,35-59,,R. Westbrook misses 3-pt shot from 28 ft
9:47.0,Defensive rebound by A. Stoudemire,,35-59,,
9:31.0,A. Stoudemire makes 2-pt shot from 2 ft,2,37-59,,
9:31.0,Shooting foul by S. Adams (drawn by A. Stoudemire),,37-59,,
9:31.0,A. Stoudemire misses free throw 1 of 1,,37-59,,
9:30.0,,,37-59,,Defensive rebound by S. Adams
9:20.0,Personal foul by I. Shumpert (drawn by S. Adams),,37-59,,
9:15.0,,,37-61,2,R. Westbrook makes 2-pt shot from 1 ft
9:02.0,,,37-61,,Personal foul by L. Thomas (drawn by I. Shumpert)
8:55.0,,,37-61,,Personal foul by L. Thomas (drawn by I. Shumpert)
8:41.0,S. Dalembert makes 2-pt shot at rim (assist by J. Smith),2,39-61,,
8:25.0,,,39-61,,Shooting foul by I. Shumpert (drawn by R. Westbrook)
8:25.0,,,39-62,1,R. Westbrook makes free throw 1 of 2
8:25.0,,,39-63,1,R. Westbrook makes free throw 2 of 2
8:06.0,,,39-63,,Personal foul by S. Ibaka (drawn by I. Shumpert)
8:06.0,I. Shumpert misses free throw 1 of 2,,39-63,,
8:06.0,Offensive rebound by Team,,39-63,,
8:06.0,I. Shumpert makes free throw 2 of 2,1,40-63,,
7:53.0,,,40-63,,Offensive foul by S. Ibaka
7:53.0,,,40-63,,Turnover by S. Ibaka (offensive foul)
7:38.0,J. Smith misses 2-pt shot from 16 ft,,40-63,,
7:37.0,,,40-63,,Defensive rebound by S. Ibaka
7:27.0,,,40-65,2,R. Westbrook makes 2-pt shot from 2 ft
7:12.0,I. Shumpert misses 3-pt shot from 24 ft,,40-65,,
7:11.0,,,40-65,,Defensive rebound by S. Ibaka
7:02.0,,,40-65,,S. Ibaka misses 3-pt shot from 24 ft
7:01.0,Defensive rebound by J. Smith,,40-65,,
6:53.0,J. Smith misses 2-pt shot from 5 ft,,40-65,,
6:52.0,,,40-65,,Defensive rebound by R. Westbrook
6:43.0,,,40-67,2,A. Roberson makes 2-pt shot at rim (assist by R. Westbrook)
6:43.0,New York full timeout,,40-67,,
6:43.0,,,40-67,,N. Collison enters the game for S. Ibaka
6:43.0,C. Aldrich enters the game for S. Dalembert,,40-67,,
6:43.0,T. Hardaway enters the game for I. Shumpert,,40-67,,
6:27.0,Turnover by A. Stoudemire (lost ball; steal by L. Thomas),,40-67,,
6:27.0,Jump ball: C. Aldrich vs. L. Thomas,,,,Jump ball: C. Aldrich vs. L. Thomas
6:14.0,,,40-67,,Shooting foul by C. Aldrich (drawn by R. Westbrook)
6:14.0,,,40-67,,R. Westbrook misses free throw 1 of 2
6:14.0,,,40-67,,Offensive rebound by Team
6:14.0,Q. Acy enters the game for A. Stoudemire,,40-67,,
6:14.0,,,40-68,1,R. Westbrook makes free throw 2 of 2
5:58.0,T. Hardaway misses 2-pt shot from 4 ft,,40-68,,
5:58.0,,,40-68,,Defensive rebound by S. Adams
5:47.0,,,40-68,,Turnover by L. Thomas (bad pass)
5:23.0,J. Smith misses 2-pt shot from 8 ft,,40-68,,
5:22.0,,,40-68,,Defensive rebound by Team
5:09.0,,,40-70,2,R. Westbrook makes 2-pt shot from 16 ft
4:59.0,,,40-70,,Personal foul by A. Roberson (drawn by T. Hardaway)
4:59.0,T. Hardaway makes free throw 1 of 2,1,41-70,,
4:59.0,T. Hardaway makes free throw 2 of 2,1,42-70,,
4:45.0,,,42-70,,Turnover by S. Adams (lost ball; steal by J. Smith)
4:28.0,Turnover by J. Calderon (bad pass; steal by R. Westbrook),,42-70,,
4:23.0,,,42-72,2,R. Westbrook makes 2-pt shot from 11 ft
3:59.0,J. Smith misses 2-pt shot from 6 ft,,42-72,,
3:58.0,,,42-72,,Defensive rebound by S. Adams
3:47.0,,,42-72,,L. Thomas misses 2-pt shot from 4 ft
3:46.0,,,42-72,,Offensive rebound by L. Thomas
3:44.0,,,42-74,2,L. Thomas makes 2-pt shot from 2 ft
3:43.0,Technical foul by Q. Acy,,42-74,,
3:43.0,,,42-75,1,R. Westbrook makes technical free throw
3:43.0,P. Prigioni enters the game for J. Smith,,42-75,,
3:43.0,,,42-75,,R. Jackson enters the game for R. Westbrook
3:34.0,,,42-75,,Personal foul by A. Roberson (drawn by Q. Acy)
3:34.0,Q. Acy makes free throw 1 of 2,1,43-75,,
3:34.0,S. Larkin enters the game for J. Calderon,,43-75,,
3:34.0,Q. Acy misses free throw 2 of 2,,43-75,,
3:34.0,,,43-75,,Defensive rebound by S. Adams
3:26.0,Personal foul by P. Prigioni (drawn by A. Roberson),,43-75,,
3:26.0,,,43-76,1,A. Roberson makes free throw 1 of 2
3:26.0,,,43-76,,A. Roberson misses free throw 2 of 2
3:25.0,,,43-76,,Offensive rebound by L. Thomas
3:03.0,,,43-78,2,R. Jackson makes 2-pt shot from 17 ft
2:44.0,S. Larkin makes 3-pt shot from 22 ft (assist by C. Aldrich),3,46-78,,
