time,Orlando,pts.away,score,pts.home,Houston
11:04.0,,,27-28,,T. Jones misses free throw 1 of 2
11:04.0,,,27-28,,Offensive rebound by Team
11:04.0,,,27-28,,T. Jones misses free throw 2 of 2
11:04.0,Defensive rebound by D. Dedmon,,27-28,,
10:40.0,,,27-28,,Shooting block foul by C. Brewer (drawn by B. Gordon)
10:40.0,B. Gordon makes free throw 1 of 2,1,28-28,,
10:40.0,B. Gordon makes free throw 2 of 2,1,29-28,,
10:26.0,,,29-30,2,J. Smith makes 2-pt shot at rim (assist by P. Prigioni)
10:16.0,L. Ridnour misses 2-pt shot from 21 ft,,29-30,,
10:14.0,Offensive rebound by M. Harkless,,29-30,,
10:13.0,M. Harkless makes 2-pt shot at rim,2,31-30,,
9:54.0,Personal foul by L. Ridnour (drawn by P. Prigioni),,31-30,,
9:54.0,,,31-30,,D. Motiejunas enters the game for T. Jones
9:52.0,Personal foul by D. Dedmon (drawn by D. Motiejunas),,31-30,,
9:42.0,Personal foul by D. Dedmon (drawn by D. Motiejunas),,31-30,,
9:42.0,K. O'Quinn enters the game for D. Dedmon,,31-30,,
9:30.0,,,31-32,2,T. Ariza makes 2-pt shot from 1 ft
9:08.0,M. Harkless makes 3-pt shot from 25 ft (assist by L. Ridnour),3,34-32,,
8:58.0,,,34-32,,T. Ariza misses 3-pt shot from 25 ft
8:57.0,Defensive rebound by C. Frye,,34-32,,
8:34.0,K. O'Quinn misses 2-pt shot from 20 ft,,34-32,,
8:33.0,Offensive rebound by M. Harkless,,34-32,,
8:32.0,Shooting foul by T. Ariza (drawn by M. Harkless),,34-32,,
8:32.0,Orlando full timeout,,34-32,,
8:32.0,,,34-32,,P. Beverley enters the game for P. Prigioni
8:32.0,M. Harkless misses free throw 1 of 2,,34-32,,
8:32.0,Offensive rebound by Team,,34-32,,
8:32.0,M. Harkless misses free throw 2 of 2,,34-32,,
8:32.0,,,34-32,,Defensive rebound by D. Motiejunas
8:14.0,,,34-32,,D. Motiejunas misses 2-pt shot from 5 ft
8:13.0,,,34-32,,Offensive rebound by J. Smith
8:12.0,,,34-34,2,J. Smith makes 2-pt shot from 1 ft
7:51.0,L. Ridnour misses 2-pt shot from 19 ft,,34-34,,
7:50.0,Offensive rebound by M. Harkless,,34-34,,
7:49.0,M. Harkless misses 2-pt shot from 1 ft,,34-34,,
7:48.0,Offensive rebound by M. Harkless,,34-34,,
7:48.0,M. Harkless misses 2-pt shot from 1 ft,,34-34,,
7:47.0,Offensive rebound by M. Harkless,,34-34,,
7:47.0,Shooting foul by D. Motiejunas (drawn by M. Harkless),,34-34,,
7:47.0,M. Harkless makes free throw 1 of 2,1,35-34,,
7:47.0,M. Harkless misses free throw 2 of 2,,35-34,,
7:47.0,Offensive rebound by C. Frye,,35-34,,
7:23.0,L. Ridnour misses 3-pt shot from 27 ft,,35-34,,
7:21.0,,,35-34,,Defensive rebound by C. Brewer
7:16.0,,,35-34,,T. Ariza misses 3-pt shot from 25 ft
7:14.0,,,35-34,,Offensive rebound by Team
7:03.0,,,35-34,,Shooting foul by M. Harkless (drawn by J. Smith)
7:03.0,,,35-35,1,J. Smith makes free throw 1 of 2
7:03.0,,,35-36,1,J. Smith makes free throw 2 of 2
7:02.0,Orlando full timeout,,35-36,,
7:02.0,T. Harris enters the game for L. Ridnour,,35-36,,
7:02.0,E. Payton enters the game for C. Frye,,35-36,,
6:51.0,M. Harkless misses 2-pt shot from 4 ft,,35-36,,
6:50.0,,,35-36,,Defensive rebound by D. Motiejunas
6:35.0,,,35-38,2,C. Brewer makes 2-pt shot from 4 ft (assist by T. Ariza)
6:25.0,B. Gordon makes 2-pt shot from 21 ft,2,37-38,,
6:09.0,,,37-40,2,D. Motiejunas makes 2-pt shot from 6 ft (assist by C. Brewer)
5:44.0,B. Gordon makes 2-pt shot from 18 ft,2,39-40,,
5:23.0,,,39-40,,J. Smith misses 2-pt shot from 7 ft
5:21.0,,,39-40,,Offensive rebound by D. Motiejunas
5:11.0,,,39-40,,Turnover by C. Brewer (lost ball; steal by K. O'Quinn)
5:06.0,T. Harris misses 2-pt shot from 1 ft,,39-40,,
5:04.0,,,39-40,,Defensive rebound by T. Ariza
4:59.0,,,39-40,,P. Beverley misses 2-pt shot from 1 ft (block by E. Payton)
4:59.0,,,39-40,,Offensive rebound by J. Smith
4:59.0,,,39-40,,J. Smith misses 2-pt shot from 3 ft
4:59.0,,,39-40,,Offensive rebound by Team
4:59.0,,,39-40,,J. Harden enters the game for J. Smith
4:59.0,,,39-40,,T. Jones enters the game for C. Brewer
4:59.0,V. Oladipo enters the game for M. Harkless,,39-40,,
4:59.0,N. Vucevic enters the game for K. O'Quinn,,39-40,,
4:57.0,,,39-42,2,D. Motiejunas makes 2-pt shot from 1 ft (assist by T. Ariza)
4:32.0,Turnover by E. Payton (lost ball; steal by J. Harden),,39-42,,
4:13.0,,,39-42,,Shooting foul by N. Vucevic (drawn by D. Motiejunas)
4:13.0,,,39-42,,D. Motiejunas misses free throw 1 of 2
4:13.0,,,39-42,,Offensive rebound by Team
4:13.0,A. Gordon enters the game for T. Harris,,39-42,,
4:13.0,,,39-43,1,D. Motiejunas makes free throw 2 of 2
3:58.0,,,39-43,,Personal foul by J. Harden (drawn by V. Oladipo)
3:44.0,B. Gordon misses 3-pt shot from 23 ft,,39-43,,
3:43.0,,,39-43,,Defensive rebound by J. Harden
3:40.0,,,39-43,,Turnover by J. Harden (bad pass; steal by E. Payton)
3:35.0,V. Oladipo makes 2-pt shot at rim (assist by E. Payton),2,41-43,,
3:27.0,,,41-43,,Turnover by T. Ariza (bad pass)
3:24.0,Turnover by E. Payton (bad pass; steal by T. Ariza),,41-43,,
3:12.0,,,41-46,3,D. Motiejunas makes 3-pt shot from 25 ft (assist by T. Ariza)
2:55.0,N. Vucevic misses 2-pt shot from 5 ft,,41-46,,
2:53.0,Offensive rebound by E. Payton,,41-46,,
2:49.0,B. Gordon makes 3-pt shot from 24 ft (assist by E. Payton),3,44-46,,
2:23.0,,,44-46,,Turnover by Team (shot clock)
2:23.0,,,44-46,,Houston full timeout
2:23.0,,,44-46,,C. Brewer enters the game for T. Ariza
2:06.0,B. Gordon makes 2-pt shot from 14 ft,2,46-46,,
1:46.0,,,46-46,,D. Motiejunas misses 2-pt shot from 10 ft
1:45.0,,,46-46,,Offensive rebound by C. Brewer
1:41.0,,,46-46,,C. Brewer misses 2-pt shot from 2 ft (block by N. Vucevic)
1:39.0,,,46-46,,Offensive rebound by C. Brewer
1:38.0,,,46-46,,P. Beverley misses 3-pt shot from 23 ft
1:35.0,Defensive rebound by E. Payton,,46-46,,
1:31.0,,,46-46,,Shooting block foul by D. Motiejunas (drawn by V. Oladipo)
1:31.0,V. Oladipo makes free throw 1 of 2,1,47-46,,
1:31.0,,,47-46,,J. Smith enters the game for D. Motiejunas
1:31.0,V. Oladipo makes free throw 2 of 2,1,48-46,,
1:18.0,,,48-48,2,T. Jones makes 2-pt shot at rim (assist by J. Harden)
1:00.0,Turnover by N. Vucevic (lost ball; steal by J. Smith),,48-48,,
0:51.0,,,48-48,,T. Jones misses 2-pt shot from 1 ft (block by A. Gordon)
0:49.0,Defensive rebound by B. Gordon,,48-48,,
0:42.0,E. Payton misses 2-pt shot from 2 ft (block by J. Smith),,48-48,,
0:40.0,,,48-48,,Defensive rebound by J. Harden
0:38.0,Violation by A. Gordon (def goaltending),,48-48,,
0:38.0,,,48-50,2,J. Harden makes 2-pt shot from 2 ft
0:38.0,,,48-50,,Shooting foul by B. Gordon (drawn by J. Harden)
0:38.0,C. Frye enters the game for A. Gordon,,48-50,,
0:38.0,,,48-51,1,J. Harden makes free throw 1 of 1
0:28.0,V. Oladipo makes 2-pt shot from 18 ft (assist by E. Payton),2,50-51,,
0:06.0,,,50-51,,J. Harden misses 3-pt shot from 25 ft
0:05.0,,,50-51,,Offensive rebound by C. Brewer
0:05.0,,,50-51,,C. Brewer misses 2-pt shot at rim
0:02.0,Defensive rebound by Team,,50-51,,
0:02.0,Orlando full timeout,,50-51,,
0:02.0,K. O'Quinn enters the game for E. Payton,,50-51,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:43.0,,,50-53,2,D. Motiejunas makes 2-pt shot at rim (assist by P. Beverley)
11:25.0,V. Oladipo misses 2-pt shot from 2 ft,,50-53,,
11:24.0,,,50-53,,Defensive rebound by D. Motiejunas
11:20.0,Shooting block foul by E. Payton (drawn by J. Harden),,50-53,,
11:20.0,,,50-54,1,J. Harden makes free throw 1 of 2
11:20.0,,,50-55,1,J. Harden makes free throw 2 of 2
11:10.0,Offensive foul by N. Vucevic,,50-55,,
11:10.0,Turnover by N. Vucevic (offensive foul),,50-55,,
10:56.0,,,50-55,,Shooting foul by D. Dedmon (drawn by D. Motiejunas)
10:56.0,,,50-55,,D. Motiejunas misses free throw 1 of 2
10:56.0,,,50-55,,Offensive rebound by Team
10:56.0,,,50-56,1,D. Motiejunas makes free throw 2 of 2
10:40.0,V. Oladipo makes 2-pt shot at rim,2,52-56,,
10:26.0,,,52-56,,Turnover by J. Harden (bad pass; steal by V. Oladipo)
10:23.0,Shooting foul by T. Ariza (drawn by T. Harris),,52-56,,
10:23.0,T. Harris makes free throw 1 of 2,1,53-56,,
10:23.0,T. Harris makes free throw 2 of 2,1,54-56,,
10:03.0,,,54-58,2,J. Harden makes 2-pt shot from 1 ft (assist by D. Motiejunas)
9:37.0,T. Harris misses 3-pt shot from 25 ft (block by T. Jones),,54-58,,
9:35.0,,,54-58,,Defensive rebound by T. Ariza
9:29.0,,,54-58,,T. Ariza misses 3-pt shot from 24 ft
9:28.0,Defensive rebound by V. Oladipo,,54-58,,
9:20.0,V. Oladipo makes 2-pt shot from 2 ft,2,56-58,,
9:02.0,,,56-60,2,T. Jones makes 2-pt shot from 7 ft (assist by P. Beverley)
8:54.0,D. Dedmon makes 2-pt shot at rim (assist by E. Payton),2,58-60,,
8:33.0,,,58-60,,P. Beverley misses 2-pt shot from 18 ft
8:32.0,Defensive rebound by E. Payton,,58-60,,
8:23.0,N. Vucevic misses 2-pt shot from 17 ft,,58-60,,
8:22.0,,,58-60,,Defensive rebound by J. Harden
8:20.0,Personal foul by E. Payton (drawn by J. Harden),,58-60,,
8:14.0,,,58-60,,Turnover by J. Harden (bad pass; steal by V. Oladipo)
8:11.0,V. Oladipo makes 2-pt shot at rim,2,60-60,,
7:56.0,,,60-60,,T. Ariza misses 3-pt shot from 24 ft
7:54.0,Defensive rebound by N. Vucevic,,60-60,,
7:46.0,V. Oladipo misses 3-pt shot from 25 ft,,60-60,,
7:45.0,,,60-60,,Defensive rebound by Team
7:35.0,,,60-60,,T. Jones misses 3-pt shot from 26 ft
7:34.0,Defensive rebound by N. Vucevic,,60-60,,
7:28.0,,,60-60,,Personal foul by T. Jones (drawn by D. Dedmon)
7:28.0,M. Harkless enters the game for T. Harris,,60-60,,
7:16.0,Turnover by N. Vucevic (bad pass),,60-60,,
7:07.0,,,60-60,,Turnover by T. Jones (lost ball; steal by E. Payton)
6:57.0,N. Vucevic misses 2-pt shot from 2 ft,,60-60,,
6:56.0,,,60-60,,Defensive rebound by Team
6:41.0,,,60-60,,J. Harden misses 2-pt shot from 2 ft
6:40.0,Defensive rebound by E. Payton,,60-60,,
6:36.0,V. Oladipo misses 2-pt shot from 3 ft (block by T. Ariza),,60-60,,
6:35.0,Offensive rebound by Team,,60-60,,
6:35.0,,,60-60,,J. Smith enters the game for T. Jones
6:26.0,N. Vucevic misses 2-pt shot from 18 ft,,60-60,,
6:25.0,,,60-60,,Defensive rebound by J. Harden
6:14.0,,,60-60,,Shooting foul by M. Harkless (drawn by D. Motiejunas)
6:14.0,,,60-61,1,D. Motiejunas makes free throw 1 of 2
6:14.0,C. Frye enters the game for N. Vucevic,,60-61,,
6:14.0,,,60-61,,D. Motiejunas misses free throw 2 of 2
6:14.0,Defensive rebound by C. Frye,,60-61,,
5:50.0,E. Payton makes 2-pt shot from 21 ft,2,62-61,,
5:30.0,,,62-61,,P. Beverley misses 3-pt shot from 24 ft
5:30.0,Defensive rebound by D. Dedmon,,62-61,,
5:22.0,E. Payton misses 2-pt shot from 2 ft,,62-61,,
5:21.0,Offensive rebound by D. Dedmon,,62-61,,
5:21.0,D. Dedmon misses 2-pt shot from 1 ft,,62-61,,
5:19.0,,,62-61,,Defensive rebound by J. Smith
5:14.0,,,62-64,3,T. Ariza makes 3-pt shot from 23 ft (assist by P. Beverley)
5:02.0,E. Payton makes 2-pt shot from 1 ft,2,64-64,,
4:47.0,,,64-66,2,J. Harden makes 2-pt shot from 1 ft
4:45.0,Orlando full timeout,,64-66,,
4:45.0,,,64-66,,P. Prigioni enters the game for P. Beverley
4:45.0,N. Vucevic enters the game for D. Dedmon,,64-66,,
4:33.0,C. Frye makes 3-pt shot from 24 ft (assist by N. Vucevic),3,67-66,,
4:14.0,,,67-66,,Turnover by J. Smith (palming)
4:01.0,N. Vucevic makes 2-pt shot at rim (assist by E. Payton),2,69-66,,
3:43.0,,,69-68,2,T. Ariza makes 2-pt shot from 2 ft (assist by P. Prigioni)
3:28.0,V. Oladipo misses 2-pt shot from 1 ft,,69-68,,
3:27.0,Offensive rebound by N. Vucevic,,69-68,,
3:27.0,N. Vucevic misses 2-pt shot at rim,,69-68,,
3:25.0,,,69-68,,Defensive rebound by J. Smith
3:20.0,,,69-68,,Turnover by J. Smith (lost ball)
3:20.0,,,69-68,,T. Jones enters the game for D. Motiejunas
3:20.0,,,69-68,,C. Brewer enters the game for T. Ariza
3:08.0,E. Payton makes 2-pt shot from 4 ft,2,71-68,,
2:48.0,,,71-70,2,T. Jones makes 2-pt shot from 2 ft (assist by C. Brewer)
2:26.0,C. Frye misses 3-pt shot from 25 ft,,71-70,,
2:26.0,,,71-70,,Defensive rebound by Team
2:26.0,,,71-70,,Houston full timeout
2:09.0,,,71-70,,J. Harden misses 3-pt shot from 24 ft
2:07.0,Defensive rebound by C. Frye,,71-70,,
2:01.0,,,71-70,,Personal foul by C. Brewer (drawn by E. Payton)
1:55.0,N. Vucevic misses 2-pt shot at rim,,71-70,,
1:54.0,,,71-70,,Defensive rebound by T. Jones
1:44.0,,,71-70,,Shooting foul by C. Frye (drawn by J. Harden)
1:44.0,,,71-71,1,J. Harden makes free throw 1 of 2
1:44.0,,,71-71,,J. Harden misses free throw 2 of 2
1:44.0,Defensive rebound by N. Vucevic,,71-71,,
1:30.0,N. Vucevic makes 2-pt shot from 7 ft (assist by V. Oladipo),2,73-71,,
1:09.0,,,73-71,,P. Prigioni misses 3-pt shot from 27 ft
1:08.0,Defensive rebound by N. Vucevic,,73-71,,
0:57.0,C. Frye makes 3-pt shot from 25 ft (assist by N. Vucevic),3,76-71,,
0:46.0,,,76-71,,Turnover by J. Smith (bad pass; steal by V. Oladipo)
0:46.0,Jump ball: J. Harden vs. M. Harkless (N. Vucevic gains possession),,,,Jump ball: J. Harden vs. M. Harkless (N. Vucevic gains possession)
0:35.0,E. Payton makes 2-pt shot from 2 ft,2,78-71,,
0:26.0,,,78-74,3,J. Smith makes 3-pt shot from 23 ft (assist by J. Harden)
0:06.0,V. Oladipo misses 2-pt shot from 19 ft,,78-74,,
0:04.0,,,78-74,,Defensive rebound by C. Brewer
0:00.0,,,78-77,3,J. Smith makes 3-pt shot from 27 ft (assist by C. Brewer)
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:42.0,M. Harkless makes 2-pt shot from 1 ft (assist by C. Frye),2,80-77,,
11:16.0,,,80-77,,Turnover by Team (shot clock)
10:56.0,C. Frye misses 2-pt shot from 7 ft,,80-77,,
10:56.0,Offensive rebound by Team,,80-77,,
10:56.0,,,80-77,,Loose ball foul by J. Smith (drawn by N. Vucevic)
10:47.0,N. Vucevic misses 2-pt shot from 12 ft,,80-77,,
10:46.0,,,80-77,,Defensive rebound by T. Ariza
10:37.0,,,80-77,,J. Smith misses 2-pt shot from 7 ft
10:35.0,Defensive rebound by C. Frye,,80-77,,
10:24.0,M. Harkless misses 3-pt shot from 23 ft,,80-77,,
10:23.0,,,80-77,,Defensive rebound by T. Jones
10:15.0,,,80-79,2,C. Brewer makes 2-pt shot from 1 ft
10:00.0,Turnover by B. Gordon (bad pass; steal by C. Brewer),,80-79,,
9:59.0,Clear path foul by C. Frye,,80-79,,
9:59.0,,,80-80,1,C. Brewer makes clear path free throw 1 of 2
9:59.0,,,80-81,1,C. Brewer makes clear path free throw 2 of 2
9:59.0,D. Dedmon enters the game for N. Vucevic,,80-81,,
9:44.0,,,80-81,,T. Jones misses 2-pt shot from 3 ft (block by D. Dedmon)
9:40.0,Defensive rebound by D. Dedmon,,80-81,,
9:28.0,L. Ridnour makes 2-pt shot from 13 ft,2,82-81,,
9:15.0,,,82-84,3,T. Ariza makes 3-pt shot from 25 ft
8:59.0,Turnover by B. Gordon (bad pass; steal by T. Jones),,82-84,,
8:55.0,,,82-86,2,J. Smith makes 2-pt shot at rim (assist by P. Beverley)
8:54.0,Orlando full timeout,,82-86,,
8:54.0,V. Oladipo enters the game for M. Harkless,,82-86,,
8:42.0,L. Ridnour makes 2-pt shot from 2 ft,2,84-86,,
8:25.0,,,84-86,,Shooting foul by C. Frye (drawn by J. Smith)
8:25.0,,,84-87,1,J. Smith makes free throw 1 of 2
8:25.0,,,84-87,,J. Smith misses free throw 2 of 2
8:25.0,Defensive rebound by D. Dedmon,,84-87,,
8:03.0,B. Gordon misses 2-pt shot from 4 ft,,84-87,,
8:02.0,,,84-87,,Defensive rebound by P. Beverley
7:56.0,,,84-89,2,C. Brewer makes 2-pt shot from 2 ft (assist by P. Beverley)
7:29.0,B. Gordon misses 3-pt shot from 27 ft,,84-89,,
7:28.0,,,84-89,,Defensive rebound by J. Smith
7:13.0,,,84-89,,P. Beverley misses 3-pt shot from 25 ft
7:12.0,Defensive rebound by C. Frye,,84-89,,
7:01.0,V. Oladipo makes 2-pt shot at rim (assist by L. Ridnour),2,86-89,,
6:48.0,,,86-91,2,T. Ariza makes 2-pt shot at rim (assist by J. Smith)
6:31.0,Shooting foul by T. Jones (drawn by V. Oladipo),,86-91,,
6:31.0,V. Oladipo makes free throw 1 of 2,1,87-91,,
6:31.0,E. Payton enters the game for B. Gordon,,87-91,,
6:31.0,,,87-91,,J. Harden enters the game for T. Ariza
6:31.0,,,87-91,,D. Motiejunas enters the game for J. Smith
6:31.0,V. Oladipo makes free throw 2 of 2,1,88-91,,
6:10.0,,,88-93,2,D. Motiejunas makes 2-pt shot from 2 ft
5:48.0,L. Ridnour makes 2-pt shot from 21 ft,2,90-93,,
5:27.0,,,90-93,,C. Brewer misses 2-pt shot from 19 ft
5:25.0,Defensive rebound by D. Dedmon,,90-93,,
5:09.0,C. Frye misses 3-pt shot from 24 ft,,90-93,,
5:08.0,,,90-93,,Defensive rebound by P. Beverley
4:57.0,Shooting block foul by E. Payton (drawn by J. Harden),,90-93,,
4:57.0,Official timeout,,90-93,,
4:57.0,N. Vucevic enters the game for D. Dedmon,,90-93,,
4:57.0,,,90-94,1,J. Harden makes free throw 1 of 2
4:57.0,,,90-94,,J. Harden misses free throw 2 of 2
4:57.0,Defensive rebound by N. Vucevic,,90-94,,
4:42.0,V. Oladipo makes 2-pt shot from 1 ft,2,92-94,,
4:20.0,,,92-97,3,P. Beverley makes 3-pt shot from 25 ft (assist by D. Motiejunas)
4:03.0,V. Oladipo misses 3-pt shot from 25 ft,,92-97,,
4:01.0,,,92-97,,Defensive rebound by D. Motiejunas
3:48.0,,,92-97,,Offensive foul by T. Jones
3:48.0,,,92-97,,Turnover by T. Jones (offensive foul)
