time,Houston,pts.away,score,pts.home,San Antonio
10:03.0,J. Smith makes 3-pt shot from 25 ft (assist by C. Brewer),3,42-36,,
9:43.0,,,42-36,,B. Diaw misses 2-pt shot at rim
9:42.0,Defensive rebound by C. Brewer,,42-36,,
9:39.0,Offensive charge foul by C. Brewer,,42-36,,
9:39.0,Turnover by C. Brewer (offensive foul),,42-36,,
9:39.0,,,42-36,,K. Leonard enters the game for M. Ginobili
9:28.0,,,42-36,,T. Duncan misses 2-pt shot from 18 ft
9:27.0,Defensive rebound by P. Prigioni,,42-36,,
9:13.0,Shooting foul by D. Green (drawn by D. Howard),,42-36,,
9:13.0,D. Howard misses free throw 1 of 2,,42-36,,
9:13.0,Offensive rebound by Team,,42-36,,
9:13.0,D. Howard misses free throw 2 of 2,,42-36,,
9:13.0,,,42-36,,Defensive rebound by T. Duncan
9:03.0,,,42-36,,C. Joseph misses 2-pt shot from 19 ft
9:02.0,Defensive rebound by D. Howard,,42-36,,
9:00.0,Turnover by D. Howard (bad pass; steal by K. Leonard),,42-36,,
8:43.0,Personal foul by J. Smith (drawn by T. Duncan),,42-36,,
8:43.0,Official timeout,,42-36,,
8:43.0,,,42-36,,R. Williams enters the game for D. Green
8:32.0,,,42-36,,B. Diaw misses 2-pt shot from 6 ft
8:30.0,,,42-36,,Offensive rebound by R. Williams
8:13.0,,,42-38,2,B. Diaw makes 2-pt shot from 16 ft (assist by C. Joseph)
7:53.0,Turnover by P. Prigioni (bad pass; steal by T. Duncan),,42-38,,
7:50.0,,,42-38,,Offensive charge foul by K. Leonard
7:50.0,,,42-38,,Turnover by K. Leonard (offensive foul)
7:33.0,D. Howard misses 2-pt shot from 8 ft,,42-38,,
7:32.0,,,42-38,,Defensive rebound by K. Leonard
7:11.0,,,42-38,,C. Joseph misses 2-pt shot from 14 ft
7:10.0,Defensive rebound by C. Brewer,,42-38,,
7:02.0,J. Smith misses 3-pt shot from 24 ft,,42-38,,
7:01.0,,,42-38,,Defensive rebound by T. Duncan
6:51.0,,,42-41,3,R. Williams makes 3-pt shot from 24 ft
6:34.0,D. Howard makes 2-pt shot from 4 ft (assist by P. Prigioni),2,44-41,,
6:22.0,,,44-41,,Turnover by T. Duncan (bad pass; steal by P. Prigioni)
6:18.0,P. Prigioni makes 2-pt shot at rim,2,46-41,,
5:53.0,,,46-41,,R. Williams misses 3-pt shot from 24 ft
5:52.0,,,46-41,,Offensive rebound by B. Diaw
5:52.0,,,46-41,,B. Diaw misses 2-pt shot at rim
5:51.0,Defensive rebound by D. Howard,,46-41,,
5:39.0,T. Ariza makes 3-pt shot from 23 ft (assist by J. Smith),3,49-41,,
5:38.0,,,49-41,,San Antonio full timeout
5:38.0,J. Dorsey enters the game for T. Ariza,,49-41,,
5:38.0,J. Harden enters the game for D. Howard,,49-41,,
5:38.0,J. Terry enters the game for P. Prigioni,,49-41,,
5:38.0,T. Jones enters the game for J. Smith,,49-41,,
5:38.0,,,49-41,,T. Parker enters the game for R. Williams
5:38.0,,,49-41,,A. Baynes enters the game for T. Duncan
5:21.0,,,49-43,2,K. Leonard makes 2-pt shot from 7 ft
4:56.0,C. Brewer misses 3-pt shot from 23 ft,,49-43,,
4:55.0,,,49-43,,Defensive rebound by A. Baynes
4:52.0,,,49-43,,Turnover by A. Baynes (bad pass; steal by J. Harden)
4:50.0,J. Harden misses 2-pt shot from 6 ft,,49-43,,
4:49.0,,,49-43,,Defensive rebound by A. Baynes
4:38.0,,,49-45,2,K. Leonard makes 2-pt shot from 9 ft
4:24.0,J. Terry misses 2-pt shot from 15 ft,,49-45,,
4:23.0,,,49-45,,Defensive rebound by B. Diaw
4:08.0,,,49-47,2,A. Baynes makes 2-pt shot at rim (assist by B. Diaw)
3:45.0,Turnover by J. Harden (bad pass; steal by K. Leonard),,49-47,,
3:39.0,,,49-49,2,T. Parker makes 2-pt shot at rim (assist by K. Leonard)
3:38.0,Houston full timeout,,49-49,,
3:38.0,J. Smith enters the game for J. Dorsey,,49-49,,
3:22.0,J. Harden misses 2-pt shot from 16 ft,,49-49,,
3:21.0,,,49-49,,Defensive rebound by C. Joseph
3:01.0,,,49-49,,Turnover by T. Parker (bad pass; steal by J. Smith)
2:58.0,J. Terry makes 2-pt shot from 1 ft (assist by J. Smith),2,51-49,,
2:45.0,,,51-51,2,A. Baynes makes 2-pt shot from 1 ft
2:32.0,Turnover by J. Smith (lost ball; steal by C. Joseph),,51-51,,
2:26.0,,,51-53,2,C. Joseph makes 2-pt shot from 3 ft
2:07.0,J. Terry misses 2-pt shot from 16 ft,,51-53,,
2:06.0,,,51-53,,Defensive rebound by A. Baynes
1:47.0,,,51-55,2,B. Diaw makes 2-pt shot from 5 ft
1:29.0,J. Harden misses 2-pt shot from 18 ft,,51-55,,
1:29.0,Offensive rebound by J. Harden,,51-55,,
1:23.0,C. Brewer misses 2-pt shot from 7 ft,,51-55,,
1:21.0,,,51-55,,Defensive rebound by A. Baynes
0:58.0,,,51-55,,B. Diaw misses 2-pt shot from 17 ft
0:57.0,Defensive rebound by C. Brewer,,51-55,,
0:49.0,J. Smith misses 3-pt shot from 25 ft,,51-55,,
0:48.0,,,51-55,,Defensive rebound by A. Baynes
0:30.0,,,51-57,2,T. Parker makes 2-pt shot from 16 ft
0:22.0,Houston full timeout,,51-57,,
0:22.0,T. Ariza enters the game for T. Jones,,51-57,,
0:22.0,,,51-57,,R. Williams enters the game for A. Baynes
0:07.0,J. Harden makes 2-pt shot from 14 ft,2,53-57,,
0:02.0,Personal foul by J. Smith (drawn by T. Parker),,53-57,,
0:02.0,,,53-57,,San Antonio full timeout
0:02.0,D. Howard enters the game for J. Terry,,53-57,,
0:02.0,,,53-57,,D. Green enters the game for C. Joseph
0:00.0,,,53-57,,D. Green misses 3-pt shot from 25 ft
0:00.0,,,53-57,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:46.0,J. Harden misses 3-pt shot from 25 ft,,53-57,,
11:45.0,,,53-57,,Defensive rebound by T. Duncan
11:32.0,,,53-59,2,K. Leonard makes 2-pt shot from 6 ft (assist by T. Parker)
11:19.0,T. Ariza misses 3-pt shot from 25 ft,,53-59,,
11:18.0,,,53-59,,Defensive rebound by T. Duncan
11:06.0,,,53-61,2,T. Parker makes 2-pt shot from 8 ft
10:50.0,,,53-61,,Personal foul by A. Baynes (drawn by D. Howard)
10:44.0,D. Howard makes 2-pt shot at rim,2,55-61,,
10:25.0,,,55-61,,T. Parker misses 2-pt shot from 19 ft
10:24.0,Defensive rebound by D. Howard,,55-61,,
10:08.0,Shooting foul by T. Duncan (drawn by J. Harden),,55-61,,
10:08.0,J. Harden makes free throw 1 of 2,1,56-61,,
10:08.0,J. Harden makes free throw 2 of 2,1,57-61,,
9:44.0,,,57-61,,K. Leonard misses 2-pt shot from 16 ft
9:43.0,,,57-61,,Offensive rebound by K. Leonard
9:30.0,,,57-61,,D. Green misses 3-pt shot from 23 ft
9:29.0,Defensive rebound by Team,,57-61,,
9:14.0,T. Ariza misses 2-pt shot from 6 ft,,57-61,,
9:14.0,,,57-61,,Defensive rebound by A. Baynes
9:04.0,,,57-63,2,T. Parker makes 2-pt shot from 18 ft
8:53.0,Turnover by D. Howard (lost ball; steal by A. Baynes),,57-63,,
8:48.0,,,57-65,2,K. Leonard makes 2-pt shot at rim (assist by D. Green)
8:48.0,Houston full timeout,,57-65,,
8:33.0,T. Jones misses 2-pt shot from 3 ft (block by T. Duncan),,57-65,,
8:33.0,Offensive rebound by Team,,57-65,,
8:29.0,J. Harden makes 3-pt shot from 23 ft (assist by T. Ariza),3,60-65,,
8:12.0,,,60-65,,Turnover by D. Green (bad pass; steal by D. Howard)
8:00.0,Turnover by T. Jones (lost ball; steal by K. Leonard),,60-65,,
7:56.0,,,60-65,,Shooting foul by J. Terry (drawn by D. Green)
7:56.0,,,60-66,1,D. Green makes free throw 1 of 2
7:56.0,J. Dorsey enters the game for D. Howard,,60-66,,
7:56.0,J. Smith enters the game for T. Jones,,60-66,,
7:56.0,,,60-67,1,D. Green makes free throw 2 of 2
7:31.0,J. Harden misses 2-pt shot from 20 ft,,60-67,,
7:30.0,,,60-67,,Defensive rebound by Team
7:30.0,,,60-67,,B. Diaw enters the game for A. Baynes
7:06.0,,,60-67,,B. Diaw misses 2-pt shot from 8 ft
7:04.0,,,60-67,,Offensive rebound by T. Duncan
6:47.0,,,60-69,2,T. Parker makes 2-pt shot from 20 ft (assist by D. Green)
6:22.0,J. Terry misses 3-pt shot from 25 ft,,60-69,,
6:21.0,,,60-69,,Defensive rebound by D. Green
6:03.0,,,60-69,,Shooting foul by J. Harden (drawn by T. Duncan)
6:03.0,,,60-70,1,T. Duncan makes free throw 1 of 2
6:03.0,P. Prigioni enters the game for J. Terry,,60-70,,
6:03.0,,,60-71,1,T. Duncan makes free throw 2 of 2
5:44.0,J. Smith makes 2-pt shot from 20 ft (assist by T. Ariza),2,62-71,,
5:24.0,,,62-71,,T. Duncan misses 2-pt shot from 6 ft
5:23.0,,,62-71,,Offensive rebound by B. Diaw
5:17.0,,,62-71,,Turnover by T. Parker (bad pass)
4:52.0,P. Prigioni misses 2-pt shot from 13 ft,,62-71,,
4:52.0,Offensive rebound by Team,,62-71,,
4:52.0,Turnover by Team (shot clock),,62-71,,
4:52.0,,,62-71,,San Antonio full timeout
4:52.0,,,62-71,,M. Ginobili enters the game for D. Green
4:52.0,C. Brewer enters the game for J. Dorsey,,62-71,,
4:30.0,,,62-71,,T. Parker misses 2-pt shot from 7 ft
4:29.0,Defensive rebound by J. Smith,,62-71,,
4:28.0,Turnover by J. Smith (bad pass),,62-71,,
4:15.0,,,62-73,2,B. Diaw makes 2-pt shot from 6 ft
3:56.0,C. Brewer misses 2-pt shot from 15 ft,,62-73,,
3:55.0,,,62-73,,Defensive rebound by K. Leonard
3:49.0,,,62-75,2,K. Leonard makes 2-pt shot at rim
3:24.0,P. Prigioni misses 3-pt shot from 25 ft,,62-75,,
3:23.0,,,62-75,,Defensive rebound by B. Diaw
3:15.0,,,62-77,2,T. Parker makes 2-pt shot at rim
3:15.0,Houston full timeout,,62-77,,
3:15.0,,,62-77,,R. Williams enters the game for T. Duncan
3:03.0,T. Ariza makes 3-pt shot from 25 ft (assist by J. Smith),3,65-77,,
2:46.0,,,65-77,,A. Baynes enters the game for R. Williams
2:46.0,D. Howard enters the game for C. Brewer,,65-77,,
2:38.0,,,65-79,2,T. Parker makes 2-pt shot from 1 ft
2:18.0,J. Smith misses 3-pt shot from 26 ft,,65-79,,
2:16.0,,,65-79,,Defensive rebound by T. Parker
1:57.0,,,65-79,,T. Parker misses 2-pt shot from 15 ft
1:56.0,Defensive rebound by T. Ariza,,65-79,,
1:56.0,,,65-79,,Loose ball foul by A. Baynes (drawn by T. Ariza)
1:56.0,,,65-79,,C. Joseph enters the game for T. Parker
1:43.0,D. Howard makes 2-pt shot from 2 ft,2,67-79,,
1:28.0,,,67-79,,Shooting foul by D. Howard (drawn by K. Leonard)
1:28.0,,,67-80,1,K. Leonard makes free throw 1 of 2
1:28.0,,,67-81,1,K. Leonard makes free throw 2 of 2
1:26.0,,,67-81,,Personal take foul by M. Ginobili (drawn by D. Howard)
1:26.0,D. Howard makes free throw 1 of 2,1,68-81,,
1:26.0,D. Howard makes free throw 2 of 2,1,69-81,,
1:15.0,Violation by D. Howard (def goaltending),,69-81,,
1:15.0,,,69-83,2,B. Diaw makes 2-pt shot from 1 ft (assist by M. Ginobili)
1:00.0,J. Harden makes 2-pt shot from 1 ft,2,71-83,,
0:46.0,,,71-83,,B. Diaw misses 3-pt shot from 24 ft
0:45.0,,,71-83,,Offensive rebound by A. Baynes
0:41.0,,,71-83,,K. Leonard misses 3-pt shot from 24 ft
0:40.0,,,71-83,,Offensive rebound by A. Baynes
0:40.0,,,71-85,2,A. Baynes makes 2-pt shot from 2 ft
0:23.0,J. Smith misses 3-pt shot from 24 ft,,71-85,,
0:22.0,Offensive rebound by D. Howard,,71-85,,
0:06.0,J. Smith misses 2-pt shot from 2 ft,,71-85,,
0:05.0,,,71-85,,Defensive rebound by B. Diaw
0:01.0,,,71-85,,K. Leonard misses 3-pt shot from 26 ft
0:00.0,,,71-85,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:34.0,,,71-87,2,C. Joseph makes 2-pt shot from 17 ft
11:21.0,C. Brewer makes 2-pt shot from 9 ft,2,73-87,,
11:06.0,,,73-89,2,B. Diaw makes 2-pt shot from 2 ft (assist by C. Joseph)
10:58.0,C. Brewer misses 2-pt shot from 2 ft,,73-89,,
10:57.0,,,73-89,,Defensive rebound by B. Diaw
10:33.0,,,73-89,,B. Diaw misses 3-pt shot from 25 ft
10:32.0,Defensive rebound by P. Prigioni,,73-89,,
10:24.0,J. Harden misses 2-pt shot from 7 ft,,73-89,,
10:23.0,,,73-89,,Defensive rebound by B. Diaw
10:21.0,Personal foul by P. Prigioni (drawn by M. Ginobili),,73-89,,
10:21.0,J. Smith enters the game for D. Howard,,73-89,,
10:01.0,,,73-89,,M. Ginobili misses 2-pt shot from 13 ft
10:00.0,,,73-89,,Offensive rebound by A. Baynes
10:00.0,,,73-89,,A. Baynes misses 2-pt shot from 1 ft
9:58.0,,,73-89,,Offensive rebound by C. Joseph
9:54.0,,,73-92,3,M. Ginobili makes 3-pt shot from 23 ft (assist by C. Joseph)
9:52.0,Houston full timeout,,73-92,,
9:52.0,,,73-92,,T. Duncan enters the game for A. Baynes
9:30.0,Turnover by J. Smith (bad pass; steal by C. Joseph),,73-92,,
9:29.0,Personal foul by J. Smith (drawn by D. Green),,73-92,,
9:29.0,,,73-92,,K. Leonard enters the game for B. Diaw
9:15.0,,,73-92,,D. Green misses 2-pt shot from 15 ft
9:14.0,Defensive rebound by C. Brewer,,73-92,,
9:08.0,T. Ariza makes 3-pt shot from 24 ft (assist by C. Brewer),3,76-92,,
8:53.0,,,76-92,,M. Ginobili misses 2-pt shot from 5 ft (block by C. Brewer)
8:51.0,Defensive rebound by J. Harden,,76-92,,
8:49.0,,,76-92,,Violation by D. Green (def goaltending)
8:49.0,P. Prigioni makes 2-pt shot from 2 ft (assist by J. Harden),2,78-92,,
8:27.0,,,78-92,,T. Duncan misses 2-pt shot from 6 ft
8:26.0,Defensive rebound by J. Harden,,78-92,,
8:20.0,J. Harden misses 3-pt shot from 24 ft,,78-92,,
8:19.0,,,78-92,,Defensive rebound by M. Ginobili
8:12.0,,,78-94,2,M. Ginobili makes 2-pt shot from 1 ft
8:00.0,Turnover by C. Brewer (lost ball; steal by M. Ginobili),,78-94,,
7:48.0,,,78-96,2,K. Leonard makes 2-pt shot from 17 ft
7:22.0,T. Ariza makes 3-pt shot from 28 ft,3,81-96,,
7:05.0,,,81-98,2,K. Leonard makes 2-pt shot from 20 ft
6:52.0,J. Smith makes 3-pt shot from 24 ft (assist by P. Prigioni),3,84-98,,
6:37.0,,,84-100,2,K. Leonard makes 2-pt shot from 1 ft
6:26.0,Turnover by J. Smith (bad pass; steal by T. Duncan),,84-100,,
6:17.0,,,84-103,3,D. Green makes 3-pt shot from 24 ft (assist by K. Leonard)
6:16.0,Houston full timeout,,84-103,,
6:16.0,N. Johnson enters the game for T. Ariza,,84-103,,
6:16.0,K. Papanikolaou enters the game for J. Harden,,84-103,,
6:16.0,K. McDaniels enters the game for P. Prigioni,,84-103,,
6:16.0,C. Capela enters the game for J. Smith,,84-103,,
6:16.0,,,84-103,,P. Mills enters the game for T. Duncan
6:16.0,,,84-103,,R. Williams enters the game for M. Ginobili
6:16.0,,,84-103,,J. Ayres enters the game for C. Joseph
6:16.0,,,84-103,,K. Anderson enters the game for K. Leonard
6:06.0,N. Johnson misses 2-pt shot from 7 ft,,84-103,,
6:04.0,,,84-103,,Defensive rebound by J. Ayres
5:45.0,,,84-103,,J. Ayres misses 2-pt shot from 8 ft
5:44.0,Defensive rebound by C. Capela,,84-103,,
5:26.0,K. McDaniels misses 2-pt shot from 18 ft,,84-103,,
5:25.0,,,84-103,,Defensive rebound by J. Ayres
5:11.0,,,84-106,3,D. Green makes 3-pt shot from 24 ft (assist by P. Mills)
5:05.0,,,84-106,,Personal take foul by P. Mills (drawn by K. Papanikolaou)
5:05.0,,,84-106,,M. Bonner enters the game for D. Green
5:05.0,J. Dorsey enters the game for C. Brewer,,84-106,,
4:59.0,N. Johnson makes 2-pt shot from 1 ft (assist by K. McDaniels),2,86-106,,
4:45.0,,,86-108,2,K. Anderson makes 2-pt shot from 9 ft
4:32.0,C. Capela misses 2-pt shot from 4 ft,,86-108,,
4:31.0,,,86-108,,Defensive rebound by K. Anderson
4:27.0,,,86-108,,R. Williams misses 2-pt shot from 2 ft (block by K. McDaniels)
4:24.0,Defensive rebound by K. Papanikolaou,,86-108,,
4:21.0,Turnover by K. Papanikolaou (lost ball; steal by K. Anderson),,86-108,,
4:17.0,,,86-108,,K. Anderson misses 2-pt shot from 1 ft (block by K. McDaniels)
4:15.0,Defensive rebound by C. Capela,,86-108,,
4:06.0,K. McDaniels makes 2-pt shot from 2 ft,2,88-108,,
3:51.0,,,88-108,,P. Mills misses 2-pt shot from 19 ft
3:50.0,,,88-108,,Offensive rebound by J. Ayres
3:50.0,,,88-108,,J. Ayres misses 2-pt shot at rim
3:49.0,Defensive rebound by K. McDaniels,,88-108,,
3:42.0,N. Johnson makes 2-pt shot from 1 ft (assist by K. McDaniels),2,90-108,,
3:17.0,,,90-108,,K. Anderson misses 2-pt shot from 17 ft
3:15.0,Defensive rebound by J. Dorsey,,90-108,,
3:10.0,N. Johnson misses 2-pt shot from 3 ft (block by M. Bonner),,90-108,,
3:10.0,Offensive rebound by Team,,90-108,,
3:10.0,T. Jones enters the game for K. Papanikolaou,,90-108,,
2:59.0,C. Capela misses 2-pt shot from 1 ft,,90-108,,
2:58.0,Offensive rebound by C. Capela,,90-108,,
2:58.0,C. Capela makes 2-pt shot from 1 ft,2,92-108,,
2:45.0,,,92-108,,K. Anderson misses 2-pt shot from 19 ft
2:44.0,Defensive rebound by J. Dorsey,,92-108,,
2:34.0,J. Dorsey makes 2-pt shot at rim (assist by N. Johnson),2,94-108,,
2:33.0,,,94-108,,San Antonio full timeout
2:33.0,K. Papanikolaou enters the game for T. Jones,,94-108,,
2:17.0,,,94-108,,R. Williams misses 3-pt shot from 25 ft
2:15.0,Defensive rebound by C. Capela,,94-108,,
2:01.0,K. McDaniels misses 3-pt shot from 25 ft,,94-108,,
2:00.0,Offensive rebound by K. Papanikolaou,,94-108,,
1:43.0,K. McDaniels misses 2-pt shot from 10 ft,,94-108,,
1:42.0,,,94-108,,Defensive rebound by M. Bonner
