time,Phoenix,pts.away,score,pts.home,Brooklyn
1:30.0,,,19-21,3,T. Young makes 3-pt shot from 24 ft (assist by J. Jack)
1:09.0,G. Green misses 3-pt shot from 24 ft,,19-21,,
1:08.0,,,19-21,,Defensive rebound by B. Lopez
0:54.0,,,19-21,,B. Lopez misses 2-pt shot from 12 ft
0:53.0,Defensive rebound by B. Wright,,19-21,,
0:36.0,B. Wright makes 2-pt shot at rim (assist by M. Morris),2,21-21,,
0:12.0,,,21-21,,B. Bogdanovic misses 2-pt shot from 16 ft
0:11.0,Defensive rebound by B. Wright,,21-21,,
0:01.0,B. Knight misses 2-pt shot from 21 ft,,21-21,,
0:00.0,Offensive rebound by Team,,21-21,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:42.0,Turnover by P. Tucker (bad pass),,21-21,,
11:30.0,,,21-23,2,B. Bogdanovic makes 2-pt shot at rim (assist by A. Anderson)
11:07.0,M. Morris misses 3-pt shot from 22 ft,,21-23,,
11:06.0,,,21-23,,Defensive rebound by A. Anderson
10:56.0,,,21-23,,A. Anderson misses 3-pt shot from 24 ft
10:55.0,Defensive rebound by P. Tucker,,21-23,,
10:49.0,M. Morris makes 2-pt shot from 1 ft (assist by B. Knight),2,23-23,,
10:32.0,,,23-25,2,A. Anderson makes 2-pt shot from 8 ft (assist by B. Lopez)
10:32.0,,,23-25,,Shooting foul by P. Tucker (drawn by A. Anderson)
10:32.0,,,23-26,1,A. Anderson makes free throw 1 of 1
10:15.0,M. Morris misses 2-pt shot from 18 ft,,23-26,,
10:14.0,,,23-26,,Defensive rebound by A. Anderson
10:00.0,,,23-28,2,T. Young makes 2-pt shot from 6 ft
9:42.0,Turnover by M. Thornton (lost ball; steal by T. Young),,23-28,,
9:36.0,,,23-28,,A. Anderson misses 2-pt shot from 2 ft
9:35.0,Defensive rebound by B. Knight,,23-28,,
9:24.0,B. Wright makes 2-pt shot at rim (assist by B. Knight),2,25-28,,
9:17.0,Personal block foul by B. Knight (drawn by J. Jack),,25-28,,
9:17.0,,,25-28,,J. Johnson enters the game for A. Anderson
9:06.0,,,25-28,,T. Young misses 2-pt shot from 19 ft
9:05.0,Defensive rebound by P. Tucker,,25-28,,
8:54.0,M. Morris misses 3-pt shot from 22 ft,,25-28,,
8:53.0,Offensive rebound by M. Thornton,,25-28,,
8:51.0,M. Thornton misses 2-pt shot from 2 ft,,25-28,,
8:50.0,,,25-28,,Defensive rebound by B. Lopez
8:42.0,,,25-28,,Turnover by J. Johnson (bad pass; steal by B. Wright)
8:37.0,B. Knight makes 2-pt shot at rim,2,27-28,,
8:18.0,,,27-28,,Turnover by B. Lopez (lost ball; steal by M. Morris)
8:12.0,B. Knight misses 3-pt shot from 25 ft,,27-28,,
8:11.0,,,27-28,,Defensive rebound by J. Johnson
8:03.0,,,27-28,,J. Jack misses 2-pt shot from 2 ft
8:02.0,Defensive rebound by Team,,27-28,,
8:02.0,Official timeout,,27-28,,
8:02.0,E. Bledsoe enters the game for B. Knight,,27-28,,
7:45.0,Turnover by E. Bledsoe (bad pass; steal by B. Lopez),,27-28,,
7:39.0,,,27-28,,T. Young misses 3-pt shot from 24 ft
7:37.0,Defensive rebound by B. Wright,,27-28,,
7:28.0,M. Morris makes 2-pt shot from 22 ft (assist by E. Bledsoe),2,29-28,,
7:05.0,,,29-30,2,T. Young makes 2-pt shot from 8 ft
6:50.0,E. Bledsoe misses 3-pt shot from 24 ft,,29-30,,
6:48.0,,,29-30,,Defensive rebound by B. Lopez
6:34.0,,,29-30,,B. Bogdanovic misses 2-pt shot at rim
6:32.0,,,29-30,,Offensive rebound by B. Bogdanovic
6:31.0,,,29-30,,B. Bogdanovic misses 2-pt shot from 1 ft
6:27.0,Defensive rebound by B. Wright,,29-30,,
6:24.0,M. Morris misses 3-pt shot from 23 ft,,29-30,,
6:21.0,Offensive rebound by M. Thornton,,29-30,,
6:20.0,M. Thornton makes 2-pt shot from 2 ft,2,31-30,,
6:04.0,,,31-30,,Shooting foul by P. Tucker (drawn by B. Lopez)
6:04.0,,,31-30,,B. Lopez misses free throw 1 of 2
6:04.0,,,31-30,,Offensive rebound by Team
6:04.0,,,31-30,,D. Williams enters the game for J. Jack
6:04.0,,,31-30,,M. Brown enters the game for B. Bogdanovic
6:04.0,,,31-31,1,B. Lopez makes free throw 2 of 2
5:40.0,M. Thornton misses 3-pt shot from 22 ft,,31-31,,
5:39.0,Offensive rebound by M. Morris,,31-31,,
5:36.0,M. Morris makes 2-pt shot at rim,2,33-31,,
5:32.0,,,33-31,,Brooklyn full timeout
5:32.0,,,33-31,,M. Plumlee enters the game for B. Lopez
5:32.0,M. Morris enters the game for M. Thornton,,33-31,,
5:12.0,,,33-33,2,J. Johnson makes 2-pt shot from 4 ft
4:51.0,M. Morris makes 2-pt shot from 14 ft (assist by E. Bledsoe),2,35-33,,
4:25.0,,,35-33,,M. Brown misses 2-pt shot from 6 ft
4:23.0,Defensive rebound by B. Wright,,35-33,,
4:17.0,P. Tucker misses 3-pt shot from 22 ft,,35-33,,
4:16.0,,,35-33,,Defensive rebound by M. Plumlee
4:09.0,,,35-35,2,M. Brown makes 2-pt shot at rim (assist by T. Young)
3:48.0,Shooting foul by T. Young (drawn by M. Morris),,35-35,,
3:48.0,M. Morris misses free throw 1 of 2,,35-35,,
3:48.0,Offensive rebound by Team,,35-35,,
3:48.0,A. Len enters the game for B. Wright,,35-35,,
3:48.0,M. Morris makes free throw 2 of 2,1,36-35,,
3:28.0,,,36-35,,T. Young misses 2-pt shot from 5 ft
3:27.0,Defensive rebound by A. Len,,36-35,,
3:23.0,Turnover by E. Bledsoe (lost ball; steal by M. Plumlee),,36-35,,
3:17.0,,,36-37,2,M. Brown makes 2-pt shot at rim
3:04.0,M. Morris misses 2-pt shot from 8 ft,,36-37,,
3:03.0,,,36-37,,Defensive rebound by M. Brown
2:53.0,,,36-37,,M. Brown misses 3-pt shot from 25 ft
2:52.0,Defensive rebound by E. Bledsoe,,36-37,,
2:48.0,P. Tucker makes 2-pt shot from 7 ft,2,38-37,,
2:48.0,Shooting foul by M. Brown (drawn by P. Tucker),,38-37,,
2:48.0,Phoenix full timeout,,38-37,,
2:48.0,B. Knight enters the game for M. Morris,,38-37,,
2:48.0,,,38-37,,J. Jack enters the game for M. Brown
2:48.0,P. Tucker makes free throw 1 of 1,1,39-37,,
2:33.0,,,39-37,,Shooting foul by A. Len (drawn by D. Williams)
2:33.0,,,39-38,1,D. Williams makes free throw 1 of 2
2:33.0,B. Wright enters the game for A. Len,,39-38,,
2:33.0,,,39-39,1,D. Williams makes free throw 2 of 2
2:22.0,Shooting foul by T. Young (drawn by B. Wright),,39-39,,
2:22.0,B. Wright makes free throw 1 of 2,1,40-39,,
2:22.0,,,40-39,,A. Anderson enters the game for T. Young
2:22.0,,,40-39,,B. Lopez enters the game for M. Plumlee
2:22.0,B. Wright makes free throw 2 of 2,1,41-39,,
2:08.0,,,41-39,,D. Williams misses 2-pt shot from 19 ft
2:07.0,Defensive rebound by M. Morris,,41-39,,
2:04.0,E. Bledsoe makes 2-pt shot from 1 ft,2,43-39,,
2:04.0,Shooting foul by D. Williams (drawn by E. Bledsoe),,43-39,,
2:04.0,E. Bledsoe misses free throw 1 of 1,,43-39,,
2:03.0,,,43-39,,Defensive rebound by J. Johnson
1:49.0,,,43-42,3,D. Williams makes 3-pt shot from 24 ft (assist by A. Anderson)
1:32.0,M. Morris makes 2-pt shot from 20 ft (assist by E. Bledsoe),2,45-42,,
1:19.0,,,45-44,2,A. Anderson makes 2-pt shot at rim (assist by D. Williams)
1:05.0,B. Wright makes 2-pt shot from 3 ft (assist by B. Knight),2,47-44,,
0:59.0,,,47-44,,D. Williams misses 2-pt shot at rim (block by B. Wright)
0:57.0,Defensive rebound by E. Bledsoe,,47-44,,
0:49.0,M. Morris makes 2-pt shot at rim (assist by B. Knight),2,49-44,,
0:35.0,,,49-44,,J. Johnson misses 3-pt shot from 24 ft
0:34.0,Defensive rebound by E. Bledsoe,,49-44,,
0:28.0,Shooting foul by J. Johnson (drawn by E. Bledsoe),,49-44,,
0:28.0,E. Bledsoe makes free throw 1 of 2,1,50-44,,
0:28.0,M. Morris enters the game for P. Tucker,,50-44,,
0:28.0,E. Bledsoe misses free throw 2 of 2,,50-44,,
0:28.0,,,50-44,,Defensive rebound by J. Johnson
0:05.0,,,50-46,2,J. Johnson makes 2-pt shot from 9 ft
0:01.0,M. Morris misses 3-pt shot from 29 ft,,50-46,,
0:00.0,Offensive rebound by Team,,50-46,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:37.0,B. Knight misses 3-pt shot from 23 ft,,50-46,,
11:36.0,,,50-46,,Defensive rebound by D. Williams
11:21.0,,,50-49,3,J. Johnson makes 3-pt shot from 22 ft (assist by D. Williams)
11:05.0,,,50-49,,Personal foul by A. Anderson (drawn by B. Knight)
11:01.0,,,50-49,,Personal foul by M. Plumlee (drawn by E. Bledsoe)
10:55.0,M. Morris makes 2-pt shot from 20 ft (assist by M. Morris),2,52-49,,
10:39.0,,,52-49,,Turnover by T. Young (lost ball; steal by E. Bledsoe)
10:32.0,Turnover by E. Bledsoe (back court),,52-49,,
10:23.0,,,52-49,,M. Plumlee misses 2-pt shot at rim
10:22.0,Defensive rebound by A. Len,,52-49,,
10:13.0,M. Morris makes 2-pt shot from 18 ft (assist by M. Morris),2,54-49,,
10:11.0,,,54-49,,Brooklyn full timeout
9:57.0,,,54-49,,Shooting foul by E. Bledsoe (drawn by T. Young)
9:57.0,,,54-49,,T. Young misses free throw 1 of 2
9:57.0,,,54-49,,Offensive rebound by Team
9:57.0,,,54-50,1,T. Young makes free throw 2 of 2
9:40.0,Turnover by M. Morris (traveling),,54-50,,
9:26.0,,,54-50,,Shooting foul by A. Len (drawn by M. Plumlee)
9:26.0,,,54-51,1,M. Plumlee makes free throw 1 of 2
9:26.0,B. Wright enters the game for A. Len,,54-51,,
9:26.0,,,54-51,,M. Plumlee misses free throw 2 of 2
9:25.0,Defensive rebound by E. Bledsoe,,54-51,,
9:06.0,M. Morris makes 2-pt shot from 14 ft (assist by E. Bledsoe),2,56-51,,
8:48.0,,,56-51,,T. Young misses 3-pt shot from 24 ft
8:47.0,,,56-51,,Offensive rebound by A. Anderson
8:44.0,Personal foul by B. Wright (drawn by M. Plumlee),,56-51,,
8:37.0,Personal foul by B. Knight (drawn by D. Williams),,56-51,,
8:28.0,,,56-53,2,M. Plumlee makes 2-pt shot from 2 ft (assist by J. Johnson)
8:04.0,M. Morris makes 2-pt shot from 1 ft,2,58-53,,
7:50.0,,,58-53,,D. Williams misses 2-pt shot from 1 ft
7:49.0,Defensive rebound by M. Morris,,58-53,,
7:44.0,Turnover by E. Bledsoe (bad pass),,58-53,,
7:31.0,Personal block foul by M. Morris (drawn by T. Young),,58-53,,
7:31.0,,,58-54,1,T. Young makes free throw 1 of 2
7:31.0,,,58-54,,B. Lopez enters the game for M. Plumlee
7:31.0,,,58-54,,J. Jack enters the game for J. Johnson
7:31.0,,,58-55,1,T. Young makes free throw 2 of 2
7:15.0,B. Wright makes 2-pt shot at rim (assist by M. Morris),2,60-55,,
6:51.0,,,60-55,,B. Lopez misses 2-pt shot from 10 ft
6:49.0,Defensive rebound by E. Bledsoe,,60-55,,
6:43.0,E. Bledsoe makes 2-pt shot from 20 ft,2,62-55,,
6:29.0,,,62-57,2,B. Lopez makes 2-pt shot from 2 ft (assist by J. Jack)
6:21.0,Turnover by E. Bledsoe (lost ball; steal by A. Anderson),,62-57,,
6:15.0,,,62-59,2,J. Jack makes 2-pt shot from 15 ft (assist by D. Williams)
5:49.0,B. Knight misses 3-pt shot from 25 ft,,62-59,,
5:47.0,,,62-59,,Defensive rebound by B. Lopez
5:41.0,,,62-59,,J. Jack misses 2-pt shot from 3 ft
5:40.0,Defensive rebound by B. Wright,,62-59,,
5:24.0,E. Bledsoe misses 2-pt shot from 20 ft,,62-59,,
5:23.0,,,62-59,,Defensive rebound by T. Young
5:15.0,,,62-59,,D. Williams misses 2-pt shot at rim
5:14.0,Defensive rebound by E. Bledsoe,,62-59,,
5:05.0,M. Morris misses 2-pt shot from 7 ft,,62-59,,
5:04.0,,,62-59,,Defensive rebound by T. Young
4:59.0,Shooting block foul by M. Morris (drawn by D. Williams),,62-59,,
4:59.0,,,62-59,,Brooklyn full timeout
4:59.0,,,62-59,,C. Jefferson enters the game for T. Young
4:59.0,A. Goodwin enters the game for E. Bledsoe,,62-59,,
4:59.0,,,62-60,1,D. Williams makes free throw 1 of 2
4:59.0,,,62-60,,D. Williams misses free throw 2 of 2
4:58.0,,,62-60,,Offensive rebound by B. Lopez
4:57.0,,,62-60,,Shooting foul by B. Wright (drawn by B. Lopez)
4:57.0,,,62-61,1,B. Lopez makes free throw 1 of 2
4:57.0,,,62-61,,B. Bogdanovic enters the game for A. Anderson
4:57.0,,,62-62,1,B. Lopez makes free throw 2 of 2
4:48.0,Turnover by A. Goodwin (step out of bounds),,62-62,,
4:38.0,,,62-62,,J. Jack misses 2-pt shot from 14 ft
4:37.0,Defensive rebound by A. Goodwin,,62-62,,
4:24.0,Turnover by M. Morris (traveling),,62-62,,
4:24.0,P. Tucker enters the game for M. Morris,,62-62,,
4:10.0,,,62-62,,C. Jefferson misses 2-pt shot from 4 ft
4:09.0,,,62-62,,Offensive rebound by C. Jefferson
4:09.0,,,62-62,,C. Jefferson misses 2-pt shot from 4 ft (block by A. Goodwin)
4:08.0,,,62-62,,Offensive rebound by C. Jefferson
4:07.0,,,62-62,,Shooting foul by P. Tucker (drawn by C. Jefferson)
4:07.0,,,62-63,1,C. Jefferson makes free throw 1 of 2
4:07.0,,,62-64,1,C. Jefferson makes free throw 2 of 2
3:44.0,A. Goodwin makes 2-pt shot from 2 ft,2,64-64,,
3:31.0,,,64-64,,Turnover by B. Lopez (lost ball; steal by B. Wright)
3:28.0,Shooting foul by B. Bogdanovic (drawn by A. Goodwin),,64-64,,
3:28.0,A. Goodwin makes free throw 1 of 2,1,65-64,,
3:28.0,A. Goodwin misses free throw 2 of 2,,65-64,,
3:26.0,,,65-64,,Defensive rebound by C. Jefferson
3:14.0,,,65-64,,Turnover by J. Jack (bad pass)
2:58.0,M. Morris misses 2-pt shot from 15 ft,,65-64,,
2:57.0,,,65-64,,Defensive rebound by J. Jack
2:46.0,,,65-64,,B. Lopez misses 2-pt shot from 3 ft
2:45.0,,,65-64,,Offensive rebound by B. Lopez
2:44.0,,,65-66,2,B. Lopez makes 2-pt shot from 1 ft
2:31.0,B. Knight misses 2-pt shot from 2 ft,,65-66,,
2:30.0,Offensive rebound by B. Wright,,65-66,,
2:29.0,B. Wright makes 2-pt shot at rim,2,67-66,,
2:15.0,,,67-69,3,B. Bogdanovic makes 3-pt shot from 25 ft (assist by D. Williams)
1:51.0,P. Tucker misses 2-pt shot from 2 ft,,67-69,,
1:49.0,,,67-69,,Defensive rebound by J. Jack
1:43.0,,,67-72,3,B. Bogdanovic makes 3-pt shot from 24 ft (assist by J. Jack)
1:42.0,Phoenix full timeout,,67-72,,
1:26.0,M. Morris makes 2-pt shot from 10 ft,2,69-72,,
1:05.0,,,69-75,3,B. Bogdanovic makes 3-pt shot from 24 ft (assist by D. Williams)
0:51.0,P. Tucker misses 3-pt shot from 23 ft,,69-75,,
0:50.0,,,69-75,,Defensive rebound by C. Jefferson
0:40.0,,,69-77,2,J. Jack makes 2-pt shot from 1 ft
0:34.0,,,69-77,,Personal foul by J. Jack (drawn by B. Knight)
0:30.0,B. Knight misses 2-pt shot from 21 ft,,69-77,,
0:29.0,,,69-77,,Defensive rebound by C. Jefferson
0:07.0,,,69-77,,B. Bogdanovic misses 3-pt shot from 24 ft
0:06.0,,,69-77,,Offensive rebound by C. Jefferson
0:05.0,,,69-79,2,C. Jefferson makes 2-pt shot from 11 ft
0:05.0,,,69-79,,Shooting foul by B. Wright (drawn by C. Jefferson)
0:05.0,E. Bledsoe enters the game for P. Tucker,,69-79,,
0:05.0,,,69-79,,M. Brown enters the game for B. Lopez
0:05.0,,,69-80,1,C. Jefferson makes free throw 1 of 1
0:01.0,M. Morris misses 3-pt shot from 28 ft,,69-80,,
0:00.0,Offensive rebound by Team,,69-80,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:36.0,,,69-80,,D. Williams misses 3-pt shot from 24 ft
11:35.0,,,69-80,,Offensive rebound by C. Jefferson
11:31.0,,,69-82,2,B. Lopez makes 2-pt shot at rim (assist by C. Jefferson)
11:14.0,Shooting foul by J. Jack (drawn by A. Len),,69-82,,
11:14.0,A. Len makes free throw 1 of 2,1,70-82,,
11:14.0,M. Morris enters the game for B. Wright,,70-82,,
11:14.0,A. Len makes free throw 2 of 2,1,71-82,,
11:05.0,,,71-82,,D. Williams misses 2-pt shot from 1 ft
11:04.0,,,71-82,,Offensive rebound by C. Jefferson
11:01.0,,,71-82,,Turnover by C. Jefferson (lost ball; steal by M. Thornton)
10:52.0,M. Thornton makes 2-pt shot from 7 ft,2,73-82,,
10:37.0,,,73-82,,Offensive foul by B. Lopez
10:37.0,,,73-82,,Turnover by B. Lopez (offensive foul)
10:26.0,M. Thornton misses 3-pt shot from 24 ft,,73-82,,
10:24.0,,,73-82,,Defensive rebound by C. Jefferson
10:08.0,,,73-82,,B. Lopez misses 2-pt shot from 5 ft
10:07.0,,,73-82,,Offensive rebound by C. Jefferson
9:52.0,,,73-84,2,D. Williams makes 2-pt shot from 9 ft
9:33.0,E. Bledsoe misses 2-pt shot from 4 ft,,73-84,,
9:32.0,,,73-84,,Defensive rebound by C. Jefferson
9:25.0,,,73-84,,Turnover by B. Bogdanovic (offensive goaltending)
9:13.0,M. Morris misses 3-pt shot from 24 ft,,73-84,,
9:12.0,Offensive rebound by E. Bledsoe,,73-84,,
9:02.0,M. Thornton misses 2-pt shot from 3 ft (block by B. Lopez),,73-84,,
9:00.0,,,73-84,,Defensive rebound by C. Jefferson
8:57.0,,,73-84,,D. Williams misses 2-pt shot from 1 ft
8:56.0,,,73-84,,Offensive rebound by C. Jefferson
8:55.0,,,73-86,2,C. Jefferson makes 2-pt shot at rim
8:35.0,M. Morris misses 2-pt shot from 19 ft,,73-86,,
8:34.0,Offensive rebound by P. Tucker,,73-86,,
8:33.0,,,73-86,,Personal foul by B. Lopez (drawn by P. Tucker)
8:33.0,Official timeout,,73-86,,
8:33.0,M. Morris enters the game for A. Len,,73-86,,
8:15.0,M. Thornton misses 3-pt shot from 24 ft,,73-86,,
8:14.0,Offensive rebound by P. Tucker,,73-86,,
8:13.0,Shooting foul by C. Jefferson (drawn by P. Tucker),,73-86,,
8:13.0,P. Tucker misses free throw 1 of 2,,73-86,,
8:13.0,Offensive rebound by Team,,73-86,,
8:13.0,P. Tucker makes free throw 2 of 2,1,74-86,,
7:59.0,,,74-86,,B. Lopez misses 2-pt shot from 10 ft
7:58.0,,,74-86,,Offensive rebound by B. Lopez
7:57.0,,,74-86,,B. Lopez misses 2-pt shot at rim
7:56.0,Defensive rebound by M. Thornton,,74-86,,
7:44.0,M. Thornton misses 2-pt shot at rim,,74-86,,
7:43.0,,,74-86,,Defensive rebound by B. Lopez
7:41.0,,,74-86,,Turnover by D. Williams (bad pass; steal by M. Morris)
7:40.0,,,74-86,,Personal foul by D. Williams (drawn by E. Bledsoe)
7:34.0,,,74-86,,Personal foul by B. Lopez (drawn by M. Morris)
7:34.0,M. Morris makes free throw 1 of 2,1,75-86,,
7:34.0,M. Morris makes free throw 2 of 2,1,76-86,,
7:14.0,,,76-86,,D. Williams misses 3-pt shot from 24 ft
7:12.0,,,76-86,,Offensive rebound by Team
6:54.0,,,76-88,2,C. Jefferson makes 2-pt shot from 19 ft (assist by D. Williams)
6:29.0,M. Thornton misses 3-pt shot from 25 ft,,76-88,,
6:28.0,,,76-88,,Defensive rebound by Team
6:28.0,Loose ball foul by M. Morris (drawn by B. Bogdanovic),,76-88,,
6:08.0,,,76-88,,B. Bogdanovic misses 2-pt shot from 20 ft
