time,Indiana,pts.away,score,pts.home,Portland
4:17.0,Defensive rebound by C. Copeland,,8-10,,
4:04.0,R. Hibbert makes 2-pt shot from 17 ft,2,10-10,,
3:39.0,,,10-10,,N. Batum misses 3-pt shot from 24 ft
3:38.0,Defensive rebound by D. West,,10-10,,
3:29.0,Indiana full timeout,,10-10,,
3:29.0,C. Watson enters the game for S. Hill,,10-10,,
3:29.0,I. Mahinmi enters the game for R. Stuckey,,10-10,,
3:29.0,,,10-10,,C. Kaman enters the game for R. Lopez
3:19.0,Offensive foul by D. West,,10-10,,
3:19.0,Turnover by D. West (offensive foul),,10-10,,
2:58.0,,,10-12,2,L. Aldridge makes 2-pt shot from 12 ft (assist by N. Batum)
2:40.0,Turnover by C. Copeland (bad pass; steal by N. Batum),,10-12,,
2:35.0,,,10-14,2,L. Aldridge makes 2-pt shot from 1 ft (assist by S. Blake)
2:12.0,C. Copeland misses 3-pt shot from 24 ft,,10-14,,
2:11.0,,,10-14,,Defensive rebound by C. Kaman
2:04.0,,,10-14,,S. Blake misses 3-pt shot from 24 ft
2:03.0,Defensive rebound by C. Watson,,10-14,,
1:52.0,D. West misses 2-pt shot from 19 ft,,10-14,,
1:51.0,,,10-14,,Defensive rebound by S. Blake
1:47.0,,,10-14,,Turnover by S. Blake (palming)
1:47.0,D. Rudez enters the game for C. Copeland,,10-14,,
1:47.0,L. Scola enters the game for D. West,,10-14,,
1:47.0,S. Hill enters the game for R. Hibbert,,10-14,,
1:47.0,,,10-14,,W. Matthews enters the game for D. Lillard
1:47.0,,,10-14,,A. Crabbe enters the game for N. Batum
1:33.0,C. Watson makes 2-pt shot from 20 ft (assist by S. Hill),2,12-14,,
1:15.0,,,12-14,,L. Aldridge misses 2-pt shot from 3 ft
1:14.0,Defensive rebound by L. Scola,,12-14,,
1:05.0,C. Watson misses 2-pt shot from 7 ft,,12-14,,
1:04.0,,,12-14,,Defensive rebound by L. Aldridge
0:56.0,,,12-14,,Turnover by L. Aldridge (lost ball)
0:47.0,S. Hill makes 2-pt shot from 18 ft (assist by L. Scola),2,14-14,,
0:32.0,,,14-14,,S. Blake misses 3-pt shot from 24 ft
0:31.0,Defensive rebound by I. Mahinmi,,14-14,,
0:08.0,D. Rudez misses 3-pt shot from 24 ft,,14-14,,
0:08.0,,,14-14,,Defensive rebound by C. Kaman
0:01.0,,,14-14,,Shooting foul by D. Rudez (drawn by A. Crabbe)
0:01.0,,,14-15,1,A. Crabbe makes free throw 1 of 2
0:01.0,,,14-16,1,A. Crabbe makes free throw 2 of 2
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:43.0,L. Scola misses 2-pt shot from 3 ft,,14-16,,
11:42.0,Offensive rebound by I. Mahinmi,,14-16,,
11:22.0,L. Scola makes 2-pt shot from 8 ft,2,16-16,,
11:06.0,,,16-16,,Shooting foul by I. Mahinmi (drawn by C. Kaman)
11:06.0,,,16-17,1,C. Kaman makes free throw 1 of 2
11:06.0,,,16-18,1,C. Kaman makes free throw 2 of 2
10:52.0,Turnover by C. Miles (lost ball),,16-18,,
10:34.0,,,16-20,2,C. Kaman makes 2-pt shot from 17 ft (assist by S. Blake)
10:21.0,,,16-20,,Personal foul by S. Blake (drawn by C. Watson)
10:16.0,C. Watson misses 2-pt shot from 19 ft,,16-20,,
10:15.0,,,16-20,,Defensive rebound by J. Freeland
10:04.0,,,16-20,,C. Kaman misses 2-pt shot from 15 ft
10:03.0,Defensive rebound by I. Mahinmi,,16-20,,
9:51.0,Turnover by D. Rudez (bad pass; steal by W. Matthews),,16-20,,
9:47.0,,,16-22,2,W. Matthews makes 2-pt shot from 1 ft
9:29.0,L. Scola makes 2-pt shot from 7 ft,2,18-22,,
9:19.0,,,18-22,,W. Matthews misses 3-pt shot from 24 ft
9:17.0,Defensive rebound by I. Mahinmi,,18-22,,
8:59.0,L. Scola makes 2-pt shot from 18 ft (assist by C. Miles),2,20-22,,
8:39.0,,,20-24,2,W. Matthews makes 2-pt shot from 6 ft (assist by J. Freeland)
8:18.0,C. Watson misses 2-pt shot from 7 ft (block by A. Crabbe),,20-24,,
8:15.0,,,20-24,,Defensive rebound by S. Blake
8:12.0,,,20-26,2,J. Freeland makes 2-pt shot at rim (assist by S. Blake)
8:12.0,Indiana full timeout,,20-26,,
8:00.0,C. Miles misses 2-pt shot from 7 ft,,20-26,,
8:00.0,Offensive rebound by Team,,20-26,,
8:00.0,,,20-26,,Loose ball foul by S. Blake (drawn by L. Scola)
7:53.0,C. Watson misses 2-pt shot from 9 ft,,20-26,,
7:52.0,,,20-26,,Defensive rebound by J. Freeland
7:45.0,,,20-26,,Turnover by W. Matthews (bad pass; steal by C. Watson)
7:41.0,Shooting foul by W. Matthews (drawn by L. Scola),,20-26,,
7:41.0,L. Scola makes free throw 1 of 2,1,21-26,,
7:41.0,,,21-26,,N. Batum enters the game for W. Matthews
7:41.0,,,21-26,,D. Lillard enters the game for S. Blake
7:41.0,L. Scola makes free throw 2 of 2,1,22-26,,
7:22.0,,,22-28,2,A. Crabbe makes 2-pt shot at rim (assist by N. Batum)
7:07.0,L. Scola misses 2-pt shot from 21 ft,,22-28,,
7:05.0,,,22-28,,Defensive rebound by J. Freeland
6:55.0,,,22-28,,C. Kaman misses 2-pt shot from 14 ft
6:55.0,Defensive rebound by L. Scola,,22-28,,
6:47.0,C. Watson misses 2-pt shot from 16 ft,,22-28,,
6:46.0,,,22-28,,Defensive rebound by A. Crabbe
6:37.0,,,22-28,,Turnover by D. Lillard (lost ball)
6:26.0,,,22-28,,Personal foul by J. Freeland (drawn by L. Scola)
6:26.0,,,22-28,,R. Lopez enters the game for C. Kaman
6:26.0,R. Stuckey enters the game for C. Watson,,22-28,,
6:26.0,R. Hibbert enters the game for I. Mahinmi,,22-28,,
6:20.0,Turnover by C. Miles (lost ball; steal by R. Lopez),,22-28,,
6:12.0,,,22-30,2,D. Lillard makes 2-pt shot from 19 ft
5:55.0,Turnover by R. Stuckey (bad pass; steal by A. Crabbe),,22-30,,
5:49.0,,,22-30,,D. Lillard misses 3-pt shot from 25 ft
5:47.0,Defensive rebound by R. Hibbert,,22-30,,
5:33.0,R. Stuckey makes 2-pt shot from 16 ft,2,24-30,,
5:17.0,,,24-32,2,N. Batum makes 2-pt shot from 17 ft
5:00.0,Turnover by R. Stuckey (traveling),,24-32,,
5:00.0,Official timeout,,24-32,,
5:00.0,,,24-32,,L. Aldridge enters the game for J. Freeland
5:00.0,D. West enters the game for L. Scola,,24-32,,
4:43.0,,,24-32,,R. Lopez misses 2-pt shot from 7 ft
4:41.0,,,24-32,,Offensive rebound by L. Aldridge
4:40.0,,,24-32,,Turnover by L. Aldridge (lost ball)
4:28.0,C. Miles misses 2-pt shot from 6 ft (block by N. Batum),,24-32,,
4:28.0,Offensive rebound by Team,,24-32,,
4:28.0,,,24-32,,W. Matthews enters the game for A. Crabbe
4:22.0,C. Miles makes 3-pt shot from 25 ft (assist by R. Stuckey),3,27-32,,
4:07.0,,,27-32,,W. Matthews misses 2-pt shot from 13 ft
4:06.0,Defensive rebound by R. Stuckey,,27-32,,
3:49.0,C. Miles makes 2-pt shot from 13 ft,2,29-32,,
3:32.0,,,29-32,,Turnover by R. Lopez (lost ball; steal by D. West)
3:12.0,R. Stuckey makes 2-pt shot from 16 ft,2,31-32,,
3:04.0,,,31-32,,Portland full timeout
3:04.0,S. Hill enters the game for D. Rudez,,31-32,,
2:57.0,,,31-32,,N. Batum misses 2-pt shot from 14 ft
2:55.0,Defensive rebound by C. Miles,,31-32,,
2:40.0,D. West misses 2-pt shot from 3 ft,,31-32,,
2:40.0,Offensive rebound by Team,,31-32,,
2:25.0,R. Stuckey misses 2-pt shot from 19 ft,,31-32,,
2:24.0,,,31-32,,Defensive rebound by D. Lillard
2:18.0,,,31-32,,Turnover by R. Lopez (offensive foul)
2:18.0,,,31-32,,Offensive foul by R. Lopez
2:10.0,Offensive foul by R. Hibbert,,31-32,,
2:10.0,Turnover by R. Hibbert (offensive foul),,31-32,,
1:55.0,,,31-32,,Offensive foul by L. Aldridge
1:55.0,,,31-32,,Turnover by L. Aldridge (offensive foul)
1:55.0,Indiana full timeout,,31-32,,
1:46.0,Turnover by R. Stuckey (bad pass; steal by D. Lillard),,31-32,,
1:43.0,Shooting block foul by R. Stuckey (drawn by D. Lillard),,31-32,,
1:43.0,,,31-33,1,D. Lillard makes free throw 1 of 2
1:43.0,,,31-34,1,D. Lillard makes free throw 2 of 2
1:25.0,R. Hibbert misses 2-pt shot from 2 ft,,31-34,,
1:24.0,,,31-34,,Defensive rebound by R. Lopez
1:17.0,,,31-34,,D. Lillard misses 3-pt shot from 24 ft
1:17.0,Defensive rebound by S. Hill,,31-34,,
1:13.0,Offensive charge foul by S. Hill,,31-34,,
1:13.0,Turnover by S. Hill (offensive foul),,31-34,,
0:54.0,,,31-36,2,D. Lillard makes 2-pt shot from 21 ft
0:44.0,D. West misses 2-pt shot from 17 ft,,31-36,,
0:43.0,Offensive rebound by S. Hill,,31-36,,
0:43.0,S. Hill makes 2-pt shot at rim,2,33-36,,
0:21.0,,,33-38,2,R. Lopez makes 2-pt shot from 9 ft (assist by N. Batum)
0:03.0,R. Stuckey misses 2-pt shot from 6 ft,,33-38,,
0:01.0,,,33-38,,Defensive rebound by N. Batum
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:47.0,C. Copeland misses 2-pt shot from 3 ft,,33-38,,
11:46.0,,,33-38,,Defensive rebound by R. Lopez
11:32.0,,,33-40,2,W. Matthews makes 2-pt shot from 7 ft
11:14.0,S. Hill misses 2-pt shot from 1 ft,,33-40,,
11:13.0,Offensive rebound by S. Hill,,33-40,,
11:11.0,S. Hill misses 2-pt shot from 1 ft (block by L. Aldridge),,33-40,,
11:10.0,,,33-40,,Defensive rebound by D. Lillard
11:07.0,,,33-42,2,N. Batum makes 2-pt shot at rim (assist by D. Lillard)
10:45.0,S. Hill misses 3-pt shot from 25 ft,,33-42,,
10:45.0,,,33-42,,Defensive rebound by N. Batum
10:35.0,,,33-42,,D. Lillard misses 2-pt shot from 6 ft
10:34.0,Defensive rebound by R. Hibbert,,33-42,,
10:30.0,R. Stuckey misses 2-pt shot from 1 ft (block by N. Batum),,33-42,,
10:28.0,Offensive rebound by R. Hibbert,,33-42,,
10:26.0,D. West makes 2-pt shot at rim (assist by R. Hibbert),2,35-42,,
10:07.0,,,35-42,,W. Matthews misses 2-pt shot from 1 ft (block by S. Hill)
10:05.0,Defensive rebound by C. Copeland,,35-42,,
9:55.0,,,35-42,,Personal foul by R. Lopez (drawn by R. Hibbert)
9:47.0,C. Copeland misses 3-pt shot from 23 ft,,35-42,,
9:47.0,,,35-42,,Defensive rebound by D. Lillard
9:27.0,,,35-42,,L. Aldridge misses 2-pt shot from 17 ft
9:26.0,Defensive rebound by R. Stuckey,,35-42,,
9:21.0,R. Stuckey makes 2-pt shot from 2 ft,2,37-42,,
9:02.0,,,37-42,,N. Batum misses 2-pt shot from 17 ft
9:01.0,Defensive rebound by D. West,,37-42,,
8:47.0,C. Copeland makes 3-pt shot from 23 ft (assist by R. Stuckey),3,40-42,,
8:26.0,,,40-44,2,L. Aldridge makes 2-pt shot from 13 ft
8:14.0,R. Stuckey makes 2-pt shot from 7 ft,2,42-44,,
7:48.0,,,42-44,,N. Batum misses 2-pt shot at rim
7:47.0,,,42-44,,Offensive rebound by Team
7:47.0,Technical foul by D. West,,42-44,,
7:47.0,,,42-44,,D. Lillard misses technical free throw
7:47.0,,,42-44,,Offensive rebound by Team
7:44.0,,,42-46,2,L. Aldridge makes 2-pt shot from 20 ft (assist by N. Batum)
7:26.0,C. Copeland makes 2-pt shot at rim (assist by D. West),2,44-46,,
7:12.0,,,44-46,,L. Aldridge misses 2-pt shot from 20 ft
7:11.0,Defensive rebound by R. Stuckey,,44-46,,
7:00.0,R. Hibbert misses 2-pt shot from 7 ft,,44-46,,
6:59.0,,,44-46,,Defensive rebound by L. Aldridge
6:45.0,,,44-46,,N. Batum misses 3-pt shot from 24 ft
6:44.0,Defensive rebound by S. Hill,,44-46,,
6:36.0,C. Copeland misses 3-pt shot from 24 ft,,44-46,,
6:35.0,,,44-46,,Defensive rebound by L. Aldridge
6:20.0,,,44-49,3,D. Lillard makes 3-pt shot from 24 ft (assist by N. Batum)
6:01.0,S. Hill misses 2-pt shot from 2 ft (block by L. Aldridge),,44-49,,
5:59.0,,,44-49,,Defensive rebound by D. Lillard
5:57.0,,,44-51,2,N. Batum makes 2-pt shot at rim (assist by D. Lillard)
5:57.0,Indiana full timeout,,44-51,,
5:57.0,,,44-51,,S. Blake enters the game for W. Matthews
5:42.0,Turnover by R. Hibbert (bad pass; steal by D. Lillard),,44-51,,
5:39.0,,,44-53,2,D. Lillard makes 2-pt shot at rim
5:39.0,,,44-53,,Shooting foul by R. Stuckey (drawn by D. Lillard)
5:39.0,,,44-54,1,D. Lillard makes free throw 1 of 1
5:24.0,C. Copeland misses 2-pt shot from 20 ft,,44-54,,
5:23.0,,,44-54,,Defensive rebound by D. Lillard
5:10.0,,,44-54,,Turnover by N. Batum (traveling)
4:56.0,,,44-54,,Personal foul by S. Blake (drawn by D. West)
4:45.0,D. West misses 2-pt shot from 19 ft,,44-54,,
4:44.0,Offensive rebound by S. Hill,,44-54,,
4:44.0,S. Hill makes 2-pt shot at rim,2,46-54,,
4:26.0,,,46-54,,Turnover by N. Batum (bad pass; steal by D. West)
4:13.0,S. Hill makes 3-pt shot from 23 ft (assist by D. West),3,49-54,,
3:55.0,,,49-54,,L. Aldridge misses 2-pt shot from 21 ft
3:54.0,Defensive rebound by R. Hibbert,,49-54,,
3:39.0,,,49-54,,Personal foul by R. Lopez (drawn by R. Hibbert)
3:39.0,,,49-54,,C. Kaman enters the game for R. Lopez
3:39.0,I. Mahinmi enters the game for R. Hibbert,,49-54,,
3:39.0,C. Watson enters the game for R. Stuckey,,49-54,,
3:24.0,D. West makes 2-pt shot from 7 ft,2,51-54,,
3:01.0,Personal foul by D. West (drawn by S. Blake),,51-54,,
3:01.0,,,51-54,,Portland full timeout
3:01.0,D. Rudez enters the game for C. Copeland,,51-54,,
3:01.0,,,51-54,,W. Matthews enters the game for D. Lillard
2:55.0,,,51-57,3,L. Aldridge makes 3-pt shot from 22 ft (assist by C. Kaman)
2:40.0,D. West makes 2-pt shot from 20 ft (assist by S. Hill),2,53-57,,
2:28.0,,,53-57,,N. Batum misses 3-pt shot from 26 ft
2:28.0,Defensive rebound by D. West,,53-57,,
2:18.0,D. West misses 2-pt shot from 19 ft,,53-57,,
2:17.0,,,53-57,,Defensive rebound by L. Aldridge
2:08.0,,,53-57,,C. Kaman misses 2-pt shot from 4 ft
2:06.0,Defensive rebound by S. Hill,,53-57,,
1:53.0,D. West makes 2-pt shot from 6 ft,2,55-57,,
1:35.0,,,55-59,2,W. Matthews makes 2-pt shot from 1 ft (assist by S. Blake)
1:14.0,S. Hill makes 2-pt shot from 3 ft,2,57-59,,
1:01.0,,,57-61,2,W. Matthews makes 2-pt shot from 20 ft
0:53.0,,,57-61,,Personal foul by S. Blake (drawn by C. Watson)
0:53.0,L. Scola enters the game for D. West,,57-61,,
0:53.0,,,57-61,,A. Crabbe enters the game for N. Batum
0:53.0,C. Miles enters the game for S. Hill,,57-61,,
0:45.0,D. Rudez makes 2-pt shot from 20 ft (assist by C. Watson),2,59-61,,
0:33.0,,,59-61,,C. Kaman misses 2-pt shot from 2 ft (block by C. Watson)
0:30.0,Defensive rebound by C. Watson,,59-61,,
0:22.0,C. Miles misses 3-pt shot from 25 ft,,59-61,,
0:21.0,,,59-61,,Defensive rebound by C. Kaman
0:11.0,Personal foul by I. Mahinmi (drawn by L. Aldridge),,59-61,,
0:11.0,,,59-61,,D. Lillard enters the game for C. Kaman
0:11.0,S. Hill enters the game for L. Scola,,59-61,,
0:04.0,Personal foul by S. Hill (drawn by D. Lillard),,59-61,,
0:04.0,,,59-61,,D. Lillard misses free throw 1 of 2
0:04.0,,,59-61,,Offensive rebound by Team
0:04.0,,,59-61,,J. Freeland enters the game for L. Aldridge
0:04.0,,,59-61,,N. Batum enters the game for S. Blake
0:04.0,,,59-62,1,D. Lillard makes free throw 2 of 2
0:01.0,Turnover by S. Hill (traveling),,59-62,,
0:00.0,,,59-62,,Turnover by N. Batum (bad pass; steal by S. Hill)
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:45.0,,,59-64,2,C. Kaman makes 2-pt shot from 4 ft
11:23.0,D. Rudez makes 3-pt shot from 24 ft (assist by C. Watson),3,62-64,,
11:07.0,,,62-64,,W. Matthews misses 3-pt shot from 24 ft
11:06.0,Defensive rebound by C. Watson,,62-64,,
10:58.0,L. Scola makes 2-pt shot from 1 ft (assist by C. Watson),2,64-64,,
10:39.0,,,64-64,,Turnover by C. Kaman (lost ball; steal by I. Mahinmi)
10:34.0,C. Miles misses 3-pt shot from 24 ft,,64-64,,
10:33.0,,,64-64,,Defensive rebound by J. Freeland
10:29.0,Personal foul by L. Scola (drawn by S. Blake),,64-64,,
10:25.0,Personal foul by I. Mahinmi (drawn by C. Kaman),,64-64,,
10:17.0,,,64-64,,A. Crabbe misses 3-pt shot from 24 ft
10:17.0,Defensive rebound by Team,,64-64,,
10:17.0,,,64-64,,Loose ball foul by J. Freeland (drawn by L. Scola)
10:00.0,C. Watson misses 2-pt shot from 19 ft,,64-64,,
10:00.0,,,64-64,,Defensive rebound by C. Kaman
9:41.0,,,64-64,,W. Matthews misses 2-pt shot from 2 ft (block by I. Mahinmi)
9:40.0,Defensive rebound by I. Mahinmi,,64-64,,
9:39.0,C. Miles misses 3-pt shot from 23 ft,,64-64,,
9:37.0,,,64-64,,Defensive rebound by J. Freeland
9:28.0,,,64-66,2,S. Blake makes 2-pt shot from 2 ft
9:10.0,C. Watson makes 2-pt shot from 2 ft (assist by C. Miles),2,66-66,,
9:03.0,,,66-66,,W. Matthews misses 3-pt shot from 24 ft
9:02.0,Defensive rebound by I. Mahinmi,,66-66,,
8:54.0,C. Watson misses 2-pt shot from 2 ft,,66-66,,
8:53.0,,,66-66,,Defensive rebound by C. Kaman
8:51.0,,,66-68,2,A. Crabbe makes 2-pt shot at rim (assist by C. Kaman)
8:27.0,C. Watson misses 2-pt shot from 19 ft,,66-68,,
8:27.0,,,66-68,,Defensive rebound by C. Kaman
8:15.0,,,66-70,2,J. Freeland makes 2-pt shot from 17 ft (assist by C. Kaman)
8:14.0,Indiana full timeout,,66-70,,
8:14.0,,,66-70,,N. Batum enters the game for W. Matthews
8:06.0,Turnover by C. Watson (bad pass; steal by N. Batum),,66-70,,
8:02.0,,,66-70,,S. Blake misses 3-pt shot from 25 ft
8:01.0,Defensive rebound by I. Mahinmi,,66-70,,
7:40.0,C. Watson misses 3-pt shot from 26 ft,,66-70,,
7:38.0,Offensive rebound by I. Mahinmi,,66-70,,
7:36.0,I. Mahinmi misses 2-pt shot from 3 ft,,66-70,,
7:35.0,,,66-70,,Defensive rebound by C. Kaman
7:17.0,,,66-70,,D. Lillard enters the game for S. Blake
7:17.0,Jump ball: C. Kaman vs. C. Miles (N. Batum gains possession),,,,Jump ball: C. Kaman vs. C. Miles (N. Batum gains possession)
7:12.0,,,66-73,3,N. Batum makes 3-pt shot from 25 ft (assist by C. Kaman)
6:47.0,L. Scola misses 2-pt shot from 19 ft,,66-73,,
6:45.0,Offensive rebound by C. Miles,,66-73,,
6:42.0,C. Miles misses 3-pt shot from 24 ft,,66-73,,
6:41.0,Offensive rebound by I. Mahinmi,,66-73,,
6:41.0,Shooting foul by J. Freeland (drawn by I. Mahinmi),,66-73,,
6:41.0,I. Mahinmi misses free throw 1 of 2,,66-73,,
6:41.0,Offensive rebound by Team,,66-73,,
6:41.0,,,66-73,,R. Lopez enters the game for C. Kaman
6:41.0,,,66-73,,L. Aldridge enters the game for J. Freeland
6:41.0,I. Mahinmi misses free throw 2 of 2,,66-73,,
6:41.0,,,66-73,,Defensive rebound by N. Batum
6:34.0,,,66-73,,D. Lillard misses 3-pt shot from 24 ft
6:33.0,Defensive rebound by I. Mahinmi,,66-73,,
6:24.0,C. Watson misses 2-pt shot from 16 ft,,66-73,,
6:22.0,Offensive rebound by L. Scola,,66-73,,
6:22.0,L. Scola misses 2-pt shot from 4 ft,,66-73,,
6:20.0,,,66-73,,Defensive rebound by N. Batum
6:09.0,R. Stuckey enters the game for C. Watson,,66-73,,
6:09.0,R. Hibbert enters the game for I. Mahinmi,,66-73,,
6:04.0,,,66-75,2,D. Lillard makes 2-pt shot from 21 ft
5:47.0,,,66-75,,Personal foul by R. Lopez (drawn by R. Hibbert)
5:47.0,Official timeout,,66-75,,
5:36.0,Turnover by L. Scola (lost ball; steal by A. Crabbe),,66-75,,
5:32.0,,,66-75,,Shooting foul by R. Stuckey (drawn by D. Lillard)
5:32.0,,,66-76,1,D. Lillard makes free throw 1 of 2
5:32.0,,,66-77,1,D. Lillard makes free throw 2 of 2
5:19.0,R. Hibbert makes 2-pt shot from 7 ft,2,68-77,,
4:52.0,,,68-77,,L. Aldridge misses 2-pt shot from 3 ft
4:52.0,Defensive rebound by Team,,68-77,,
4:52.0,,,68-77,,Loose ball foul by L. Aldridge (drawn by L. Scola)
4:52.0,,,68-77,,W. Matthews enters the game for A. Crabbe
4:52.0,S. Hill enters the game for C. Miles,,68-77,,
4:52.0,D. West enters the game for L. Scola,,68-77,,
4:40.0,S. Hill makes 2-pt shot from 17 ft (assist by R. Hibbert),2,70-77,,
4:25.0,,,70-77,,L. Aldridge misses 2-pt shot from 22 ft
4:23.0,,,70-77,,Offensive rebound by R. Lopez
4:14.0,,,70-77,,D. Lillard misses 3-pt shot from 24 ft
4:13.0,Defensive rebound by S. Hill,,70-77,,
4:05.0,R. Hibbert makes 2-pt shot from 2 ft (assist by R. Stuckey),2,72-77,,
3:43.0,,,72-79,2,L. Aldridge makes 2-pt shot from 2 ft
3:26.0,,,72-79,,Personal foul by R. Lopez (drawn by R. Hibbert)
3:26.0,Technical foul by R. Hibbert,,72-79,,
3:26.0,,,72-80,1,D. Lillard makes technical free throw
3:26.0,R. Hibbert makes free throw 1 of 2,1,73-80,,
3:26.0,R. Hibbert misses free throw 2 of 2,,73-80,,
3:25.0,,,73-80,,Defensive rebound by L. Aldridge
3:09.0,,,73-80,,L. Aldridge misses 2-pt shot from 16 ft
3:07.0,Defensive rebound by R. Stuckey,,73-80,,
3:00.0,R. Stuckey misses 2-pt shot from 19 ft,,73-80,,
2:59.0,,,73-80,,Defensive rebound by D. Lillard
2:42.0,,,73-80,,L. Aldridge misses 2-pt shot from 20 ft
2:41.0,Defensive rebound by D. Rudez,,73-80,,
2:30.0,R. Hibbert misses 2-pt shot from 4 ft,,73-80,,
2:29.0,,,73-80,,Defensive rebound by D. Lillard
2:18.0,,,73-80,,Portland full timeout
