time,Miami,pts.away,score,pts.home,New York
3:52.0,,,14-10,,I. Shumpert misses 3-pt shot from 25 ft
3:51.0,Defensive rebound by C. Bosh,,14-10,,
3:46.0,Turnover by D. Wade (bad pass),,14-10,,
3:46.0,M. Chalmers enters the game for C. Bosh,,14-10,,
3:46.0,U. Haslem enters the game for D. Wade,,14-10,,
3:29.0,,,14-10,,A. Stoudemire misses 2-pt shot from 8 ft
3:28.0,Defensive rebound by N. Cole,,14-10,,
3:16.0,N. Cole misses 3-pt shot from 25 ft,,14-10,,
3:15.0,,,14-10,,Defensive rebound by I. Shumpert
2:52.0,,,14-10,,J. Calderon misses 3-pt shot from 24 ft
2:50.0,Defensive rebound by L. Deng,,14-10,,
2:34.0,L. Deng misses 2-pt shot at rim,,14-10,,
2:33.0,,,14-10,,Defensive rebound by A. Stoudemire
2:23.0,,,14-12,2,C. Anthony makes 2-pt shot from 19 ft (assist by J. Calderon)
2:02.0,U. Haslem misses 2-pt shot from 17 ft,,14-12,,
2:01.0,Offensive rebound by L. Deng,,14-12,,
1:53.0,L. Deng makes 2-pt shot from 1 ft (assist by J. McRoberts),2,16-12,,
1:34.0,,,16-14,2,C. Anthony makes 2-pt shot from 1 ft
1:15.0,U. Haslem makes 2-pt shot from 1 ft (assist by J. McRoberts),2,18-14,,
1:01.0,,,18-14,,J. Smith enters the game for Q. Acy
1:01.0,,,18-14,,J. Smith enters the game for I. Shumpert
1:01.0,S. Napier enters the game for N. Cole,,18-14,,
1:01.0,J. Ennis enters the game for L. Deng,,18-14,,
1:01.0,,,18-14,,Turnover by J. Calderon (lost ball; steal by U. Haslem)
1:01.0,Jump ball: J. Calderon vs. U. Haslem (J. McRoberts gains possession),,,,Jump ball: J. Calderon vs. U. Haslem (J. McRoberts gains possession)
0:38.0,M. Chalmers misses 2-pt shot from 1 ft,,18-14,,
0:36.0,,,18-14,,Defensive rebound by J. Calderon
0:33.0,Personal foul by M. Chalmers (drawn by J. Calderon),,18-14,,
0:33.0,,,18-14,,P. Prigioni enters the game for J. Calderon
0:29.0,Personal foul by J. Ennis (drawn by C. Anthony),,18-14,,
0:29.0,,,18-14,,C. Anthony misses free throw 1 of 2
0:29.0,,,18-14,,Offensive rebound by Team
0:29.0,,,18-15,1,C. Anthony makes free throw 2 of 2
0:05.0,M. Chalmers makes 3-pt shot from 24 ft (assist by J. McRoberts),3,21-15,,
0:02.0,Personal foul by J. McRoberts (drawn by C. Anthony),,21-15,,
0:02.0,,,21-16,1,C. Anthony makes free throw 1 of 2
0:02.0,,,21-17,1,C. Anthony makes free throw 2 of 2
0:00.0,M. Chalmers misses 3-pt shot from 45 ft,,21-17,,
0:00.0,Offensive rebound by Team,,21-17,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:38.0,,,21-17,,J. Smith misses 2-pt shot from 16 ft (block by J. McRoberts)
11:37.0,,,21-17,,Offensive rebound by J. Smith
11:36.0,,,21-17,,Turnover by Team (shot clock)
11:11.0,Turnover by Team (shot clock),,21-17,,
10:56.0,,,21-17,,J. Smith misses 2-pt shot from 1 ft
10:55.0,Defensive rebound by U. Haslem,,21-17,,
10:43.0,J. Ennis makes 2-pt shot from 19 ft (assist by J. McRoberts),2,23-17,,
10:33.0,Personal foul by U. Haslem (drawn by A. Stoudemire),,23-17,,
10:22.0,,,23-17,,P. Prigioni misses 3-pt shot from 25 ft
10:21.0,,,23-17,,Offensive rebound by A. Stoudemire
10:18.0,,,23-19,2,A. Stoudemire makes 2-pt shot from 1 ft
10:01.0,J. Ennis makes 3-pt shot from 25 ft (assist by M. Chalmers),3,26-19,,
9:50.0,,,26-19,,J. Smith misses 2-pt shot from 22 ft
9:49.0,Defensive rebound by U. Haslem,,26-19,,
9:40.0,,,26-19,,Personal foul by A. Stoudemire (drawn by M. Chalmers)
9:27.0,J. Ennis makes 2-pt shot at rim (assist by M. Chalmers),2,28-19,,
9:14.0,,,28-19,,J. Smith misses 2-pt shot from 16 ft
9:13.0,Defensive rebound by M. Chalmers,,28-19,,
8:55.0,J. McRoberts makes 3-pt shot from 24 ft (assist by J. Ennis),3,31-19,,
8:42.0,,,31-19,,New York full timeout
8:42.0,,,31-19,,S. Dalembert enters the game for A. Stoudemire
8:42.0,,,31-19,,C. Anthony enters the game for J. Smith
8:37.0,,,31-19,,P. Prigioni misses 3-pt shot from 24 ft
8:36.0,Defensive rebound by M. Chalmers,,31-19,,
8:23.0,U. Haslem misses 2-pt shot from 12 ft,,31-19,,
8:22.0,,,31-19,,Defensive rebound by J. Smith
8:00.0,,,31-21,2,S. Larkin makes 2-pt shot from 2 ft (assist by P. Prigioni)
7:36.0,J. McRoberts makes 3-pt shot from 25 ft,3,34-21,,
7:19.0,,,34-21,,C. Anthony misses 2-pt shot from 15 ft
7:18.0,,,34-21,,Offensive rebound by Team
7:11.0,,,34-21,,J. Smith misses 2-pt shot from 12 ft
7:10.0,,,34-21,,Offensive rebound by S. Dalembert
7:10.0,,,34-21,,S. Dalembert misses 2-pt shot at rim
7:09.0,Defensive rebound by S. Napier,,34-21,,
7:01.0,J. Ennis misses 3-pt shot from 25 ft,,34-21,,
7:00.0,,,34-21,,Defensive rebound by S. Dalembert
6:45.0,D. Wade enters the game for J. Ennis,,34-21,,
6:45.0,C. Bosh enters the game for U. Haslem,,34-21,,
6:45.0,,,34-21,,I. Shumpert enters the game for P. Prigioni
6:38.0,,,34-21,,I. Shumpert misses 2-pt shot from 18 ft
6:37.0,,,34-21,,Offensive rebound by Team
6:37.0,Loose ball foul by J. McRoberts (drawn by S. Dalembert),,34-21,,
6:37.0,,,34-21,,Technical foul by C. Anthony
6:37.0,D. Wade misses technical free throw,,34-21,,
6:37.0,,,34-21,,Offensive rebound by Team
6:37.0,S. Williams enters the game for J. McRoberts,,34-21,,
6:37.0,L. Deng enters the game for S. Napier,,34-21,,
6:37.0,,,34-21,,Q. Acy enters the game for J. Smith
6:21.0,,,34-21,,I. Shumpert misses 2-pt shot at rim
6:20.0,Defensive rebound by L. Deng,,34-21,,
6:08.0,D. Wade misses 2-pt shot from 21 ft,,34-21,,
6:07.0,,,34-21,,Defensive rebound by S. Dalembert
5:57.0,,,34-21,,C. Anthony misses 2-pt shot from 9 ft
5:56.0,Defensive rebound by C. Bosh,,34-21,,
5:40.0,S. Williams misses 3-pt shot from 23 ft,,34-21,,
5:39.0,Offensive rebound by D. Wade,,34-21,,
5:23.0,Shooting foul by I. Shumpert (drawn by L. Deng),,34-21,,
5:23.0,Official timeout,,34-21,,
5:23.0,,,34-21,,J. Calderon enters the game for S. Larkin
5:23.0,L. Deng makes free throw 1 of 2,1,35-21,,
5:23.0,L. Deng misses free throw 2 of 2,,35-21,,
5:22.0,Offensive rebound by Team,,35-21,,
5:01.0,C. Bosh makes 2-pt shot from 1 ft,2,37-21,,
4:48.0,Personal foul by M. Chalmers (drawn by Q. Acy),,37-21,,
4:48.0,,,37-21,,A. Stoudemire enters the game for S. Dalembert
4:44.0,,,37-21,,I. Shumpert misses 2-pt shot from 20 ft
4:43.0,,,37-21,,Offensive rebound by A. Stoudemire
4:39.0,,,37-21,,A. Stoudemire misses 2-pt shot from 5 ft
4:38.0,,,37-21,,Offensive rebound by J. Calderon
4:34.0,,,37-21,,J. Calderon misses 3-pt shot from 25 ft
4:33.0,,,37-21,,Offensive rebound by J. Calderon
4:23.0,,,37-21,,J. Calderon misses 3-pt shot from 26 ft
4:22.0,,,37-21,,Offensive rebound by C. Anthony
4:22.0,,,37-21,,C. Anthony misses 2-pt shot from 2 ft
4:21.0,,,37-21,,Offensive rebound by C. Anthony
4:19.0,,,37-23,2,C. Anthony makes 2-pt shot from 1 ft
4:03.0,L. Deng misses 3-pt shot from 23 ft,,37-23,,
4:02.0,,,37-23,,Defensive rebound by J. Calderon
3:50.0,Personal foul by S. Williams (drawn by Q. Acy),,37-23,,
3:44.0,,,37-23,,Turnover by Q. Acy (bad pass; steal by L. Deng)
3:41.0,,,37-23,,Personal foul by Q. Acy (drawn by L. Deng)
3:40.0,Turnover by M. Chalmers (bad pass; steal by I. Shumpert),,37-23,,
3:36.0,,,37-25,2,I. Shumpert makes 2-pt shot at rim
3:35.0,Miami full timeout,,37-25,,
3:21.0,D. Wade misses 2-pt shot from 9 ft,,37-25,,
3:20.0,,,37-25,,Defensive rebound by I. Shumpert
3:13.0,,,37-25,,Turnover by I. Shumpert (bad pass)
2:56.0,C. Bosh misses 2-pt shot from 12 ft,,37-25,,
2:55.0,,,37-25,,Defensive rebound by A. Stoudemire
2:45.0,,,37-27,2,I. Shumpert makes 2-pt shot from 19 ft (assist by A. Stoudemire)
2:24.0,D. Wade makes 2-pt shot from 5 ft,2,39-27,,
2:04.0,,,39-27,,C. Anthony misses 2-pt shot from 10 ft
2:03.0,,,39-27,,Offensive rebound by A. Stoudemire
1:53.0,,,39-27,,Shooting foul by C. Bosh (drawn by C. Anthony)
1:53.0,,,39-28,1,C. Anthony makes free throw 1 of 2
1:53.0,U. Haslem enters the game for S. Williams,,39-28,,
1:53.0,,,39-29,1,C. Anthony makes free throw 2 of 2
1:37.0,C. Bosh makes 2-pt shot from 9 ft (assist by L. Deng),2,41-29,,
1:27.0,Away from play foul by M. Chalmers (drawn by Q. Acy),,41-29,,
1:27.0,,,41-31,2,I. Shumpert makes 2-pt shot from 19 ft (assist by J. Calderon)
1:27.0,N. Cole enters the game for M. Chalmers,,41-31,,
1:27.0,,,41-32,1,Q. Acy makes free throw 1 of 1
1:15.0,Shooting foul by I. Shumpert (drawn by D. Wade),,41-32,,
1:15.0,D. Wade makes free throw 1 of 2,1,42-32,,
1:15.0,,,42-32,,J. Smith enters the game for I. Shumpert
1:15.0,D. Wade misses free throw 2 of 2,,42-32,,
1:14.0,,,42-32,,Defensive rebound by Q. Acy
0:54.0,,,42-32,,J. Smith misses 3-pt shot from 26 ft
0:53.0,Defensive rebound by U. Haslem,,42-32,,
0:45.0,Offensive foul by D. Wade,,42-32,,
0:45.0,Turnover by D. Wade (offensive foul),,42-32,,
0:34.0,,,42-34,2,C. Anthony makes 2-pt shot at rim (assist by J. Calderon)
0:25.0,Turnover by D. Wade (bad pass),,42-34,,
0:20.0,,,42-34,,New York full timeout
0:20.0,,,42-34,,T. Hardaway enters the game for Q. Acy
0:02.0,,,42-34,,T. Hardaway misses 3-pt shot from 26 ft
0:00.0,Defensive rebound by L. Deng,,42-34,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:37.0,,,42-36,2,A. Stoudemire makes 2-pt shot from 1 ft
11:10.0,Shooting foul by C. Anthony (drawn by N. Cole),,42-36,,
11:10.0,N. Cole misses free throw 1 of 2,,42-36,,
11:10.0,Offensive rebound by Team,,42-36,,
11:10.0,N. Cole makes free throw 2 of 2,1,43-36,,
10:44.0,,,43-36,,A. Stoudemire misses 2-pt shot from 14 ft
10:43.0,Defensive rebound by L. Deng,,43-36,,
10:23.0,D. Wade makes 2-pt shot at rim (assist by C. Bosh),2,45-36,,
10:01.0,,,45-38,2,C. Anthony makes 2-pt shot from 16 ft (assist by Q. Acy)
9:43.0,C. Bosh makes 2-pt shot from 19 ft (assist by D. Wade),2,47-38,,
9:34.0,,,47-40,2,C. Anthony makes 2-pt shot from 20 ft
9:15.0,S. Williams misses 3-pt shot from 25 ft,,47-40,,
9:14.0,,,47-40,,Defensive rebound by C. Anthony
9:03.0,,,47-40,,Turnover by J. Calderon (bad pass)
8:52.0,N. Cole makes 2-pt shot from 16 ft (assist by S. Williams),2,49-40,,
8:45.0,Personal foul by N. Cole (drawn by J. Calderon),,49-40,,
8:40.0,,,49-40,,I. Shumpert misses 3-pt shot from 24 ft
8:39.0,Defensive rebound by C. Bosh,,49-40,,
8:21.0,C. Bosh misses 2-pt shot from 16 ft,,49-40,,
8:20.0,,,49-40,,Defensive rebound by J. Calderon
7:57.0,,,49-40,,Shooting foul by L. Deng (drawn by A. Stoudemire)
7:57.0,,,49-40,,A. Stoudemire misses free throw 1 of 2
7:57.0,,,49-40,,Offensive rebound by Team
7:57.0,,,49-40,,A. Stoudemire misses free throw 2 of 2
7:56.0,Defensive rebound by C. Bosh,,49-40,,
7:47.0,D. Wade makes 2-pt shot from 2 ft (assist by C. Bosh),2,51-40,,
7:47.0,Shooting foul by I. Shumpert (drawn by D. Wade),,51-40,,
7:47.0,,,51-40,,T. Hardaway enters the game for I. Shumpert
7:47.0,D. Wade makes free throw 1 of 1,1,52-40,,
7:35.0,,,52-40,,T. Hardaway misses 2-pt shot from 17 ft
7:34.0,,,52-40,,Offensive rebound by J. Calderon
7:26.0,,,52-43,3,J. Calderon makes 3-pt shot from 24 ft (assist by C. Anthony)
7:00.0,S. Williams makes 3-pt shot from 25 ft (assist by N. Cole),3,55-43,,
6:44.0,,,55-43,,Shooting foul by N. Cole (drawn by A. Stoudemire)
6:44.0,,,55-44,1,A. Stoudemire makes free throw 1 of 2
6:44.0,,,55-45,1,A. Stoudemire makes free throw 2 of 2
6:27.0,C. Bosh makes 3-pt shot from 25 ft (assist by D. Wade),3,58-45,,
6:16.0,,,58-48,3,C. Anthony makes 3-pt shot from 25 ft
6:02.0,C. Bosh makes 2-pt shot from 19 ft (assist by D. Wade),2,60-48,,
5:50.0,,,60-50,2,C. Anthony makes 2-pt shot from 2 ft
5:33.0,S. Williams misses 3-pt shot from 22 ft,,60-50,,
5:31.0,,,60-50,,Defensive rebound by A. Stoudemire
5:24.0,,,60-50,,C. Anthony misses 3-pt shot from 24 ft
5:23.0,Defensive rebound by Team,,60-50,,
5:23.0,,,60-50,,New York full timeout
5:23.0,,,60-50,,T. Wear enters the game for Q. Acy
5:23.0,Jump ball: C. Bosh vs. A. Stoudemire (L. Deng gains possession),,,,Jump ball: C. Bosh vs. A. Stoudemire (L. Deng gains possession)
5:08.0,Turnover by C. Bosh (traveling),,60-50,,
4:45.0,,,60-52,2,T. Wear makes 2-pt shot from 15 ft (assist by J. Calderon)
4:33.0,D. Wade makes 2-pt shot at rim (assist by N. Cole),2,62-52,,
4:16.0,,,62-52,,A. Stoudemire misses 2-pt shot from 1 ft
4:15.0,Defensive rebound by C. Bosh,,62-52,,
4:05.0,Turnover by D. Wade (bad pass),,62-52,,
4:05.0,M. Chalmers enters the game for D. Wade,,62-52,,
3:48.0,,,62-52,,C. Anthony misses 2-pt shot from 11 ft
3:47.0,Defensive rebound by Team,,62-52,,
3:27.0,C. Bosh misses 2-pt shot from 12 ft,,62-52,,
3:26.0,,,62-52,,Defensive rebound by J. Calderon
3:13.0,,,62-52,,Shooting foul by C. Bosh (drawn by A. Stoudemire)
3:13.0,,,62-52,,A. Stoudemire misses free throw 1 of 2
3:13.0,,,62-52,,Offensive rebound by Team
3:13.0,S. Napier enters the game for N. Cole,,62-52,,
3:13.0,,,62-52,,S. Larkin enters the game for J. Calderon
3:13.0,,,62-53,1,A. Stoudemire makes free throw 2 of 2
2:54.0,Shooting foul by A. Stoudemire (drawn by C. Bosh),,62-53,,
2:54.0,Miami full timeout,,62-53,,
2:54.0,J. McRoberts enters the game for S. Williams,,62-53,,
2:54.0,,,62-53,,S. Dalembert enters the game for A. Stoudemire
2:54.0,C. Bosh misses free throw 1 of 2,,62-53,,
2:54.0,Offensive rebound by Team,,62-53,,
2:54.0,C. Bosh makes free throw 2 of 2,1,63-53,,
2:31.0,,,63-56,3,S. Larkin makes 3-pt shot from 25 ft (assist by C. Anthony)
2:08.0,Turnover by L. Deng (bad pass),,63-56,,
1:54.0,,,63-56,,S. Larkin misses 3-pt shot from 25 ft
1:53.0,Defensive rebound by Team,,63-56,,
1:53.0,U. Haslem enters the game for C. Bosh,,63-56,,
1:39.0,J. McRoberts misses 2-pt shot from 2 ft,,63-56,,
1:38.0,,,63-56,,Defensive rebound by T. Hardaway
1:30.0,,,63-58,2,S. Dalembert makes 2-pt shot at rim (assist by T. Hardaway)
1:07.0,L. Deng misses 2-pt shot from 22 ft,,63-58,,
1:06.0,,,63-58,,Defensive rebound by S. Dalembert
0:47.0,,,63-58,,Shooting foul by L. Deng (drawn by C. Anthony)
0:47.0,,,63-58,,C. Anthony misses free throw 1 of 2
0:47.0,,,63-58,,Offensive rebound by Team
0:47.0,,,63-59,1,C. Anthony makes free throw 2 of 2
0:34.0,,,63-59,,Personal foul by S. Dalembert (drawn by U. Haslem)
0:26.0,Turnover by M. Chalmers (lost ball),,63-59,,
0:03.0,,,63-59,,T. Wear misses 2-pt shot from 21 ft
0:02.0,Defensive rebound by S. Napier,,63-59,,
0:00.0,L. Deng misses 3-pt shot from 46 ft,,63-59,,
0:00.0,Offensive rebound by Team,,63-59,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:41.0,Shooting foul by T. Hardaway (drawn by U. Haslem),,63-59,,
11:41.0,U. Haslem misses free throw 1 of 2,,63-59,,
11:41.0,Offensive rebound by Team,,63-59,,
11:41.0,U. Haslem misses free throw 2 of 2,,63-59,,
11:40.0,,,63-59,,Defensive rebound by A. Stoudemire
11:22.0,,,63-61,2,A. Stoudemire makes 2-pt shot from 3 ft (assist by S. Larkin)
11:03.0,J. McRoberts misses 2-pt shot from 4 ft,,63-61,,
11:02.0,,,63-61,,Defensive rebound by S. Larkin
10:59.0,,,63-61,,Turnover by S. Larkin (bad pass; steal by U. Haslem)
10:53.0,U. Haslem makes 2-pt shot at rim,2,65-61,,
10:25.0,,,65-61,,A. Stoudemire misses 3-pt shot from 25 ft
10:24.0,Defensive rebound by U. Haslem,,65-61,,
10:13.0,M. Chalmers misses 2-pt shot from 3 ft,,65-61,,
10:12.0,,,65-61,,Defensive rebound by Team
9:58.0,Personal foul by M. Chalmers (drawn by T. Hardaway),,65-61,,
9:46.0,,,65-61,,Turnover by S. Larkin (bad pass)
9:40.0,,,65-61,,Personal foul by T. Hardaway (drawn by M. Chalmers)
9:27.0,Turnover by M. Chalmers (bad pass; steal by T. Hardaway),,65-61,,
9:23.0,,,65-63,2,T. Hardaway makes 2-pt shot from 2 ft
9:23.0,,,65-63,,Shooting foul by M. Chalmers (drawn by T. Hardaway)
9:23.0,D. Wade enters the game for M. Chalmers,,65-63,,
9:23.0,,,65-63,,T. Hardaway misses free throw 1 of 1
9:22.0,,,65-63,,Offensive rebound by A. Stoudemire
9:16.0,,,65-63,,T. Hardaway misses 3-pt shot from 26 ft
9:15.0,,,65-63,,Offensive rebound by Team
8:57.0,,,65-63,,S. Dalembert misses 2-pt shot from 4 ft
8:56.0,Defensive rebound by U. Haslem,,65-63,,
8:55.0,Turnover by U. Haslem (bad pass; steal by S. Larkin),,65-63,,
8:53.0,,,65-63,,S. Larkin misses 3-pt shot from 24 ft
8:50.0,Defensive rebound by U. Haslem,,65-63,,
8:44.0,D. Wade makes 2-pt shot from 19 ft,2,67-63,,
8:32.0,,,67-63,,New York full timeout
8:32.0,,,67-63,,J. Calderon enters the game for S. Larkin
8:32.0,,,67-63,,C. Anthony enters the game for T. Wear
8:16.0,,,67-63,,T. Hardaway misses 3-pt shot from 23 ft
8:15.0,,,67-63,,Offensive rebound by A. Stoudemire
8:12.0,,,67-63,,Shooting foul by U. Haslem (drawn by A. Stoudemire)
8:12.0,,,67-64,1,A. Stoudemire makes free throw 1 of 2
8:12.0,,,67-65,1,A. Stoudemire makes free throw 2 of 2
8:06.0,,,67-65,,Personal foul by C. Anthony (drawn by J. McRoberts)
8:06.0,L. Deng enters the game for J. Ennis,,67-65,,
8:06.0,C. Bosh enters the game for U. Haslem,,67-65,,
8:06.0,Miami full timeout,,67-65,,
7:54.0,D. Wade makes 2-pt shot from 18 ft,2,69-65,,
7:54.0,Shooting foul by T. Hardaway (drawn by D. Wade),,69-65,,
7:54.0,D. Wade misses free throw 1 of 1,,69-65,,
7:53.0,,,69-65,,Defensive rebound by S. Dalembert
7:37.0,,,69-65,,C. Anthony misses 3-pt shot from 24 ft
7:36.0,,,69-65,,Offensive rebound by S. Dalembert
7:36.0,,,69-65,,S. Dalembert misses 2-pt shot at rim
7:35.0,Defensive rebound by D. Wade,,69-65,,
7:30.0,C. Bosh misses 2-pt shot from 2 ft (block by S. Dalembert),,69-65,,
7:29.0,Offensive rebound by L. Deng,,69-65,,
7:28.0,Shooting foul by A. Stoudemire (drawn by L. Deng),,69-65,,
7:28.0,L. Deng misses free throw 1 of 2,,69-65,,
7:28.0,Offensive rebound by Team,,69-65,,
7:28.0,,,69-65,,I. Shumpert enters the game for T. Hardaway
7:28.0,L. Deng makes free throw 2 of 2,1,70-65,,
7:04.0,,,70-65,,I. Shumpert misses 2-pt shot from 4 ft
7:03.0,Defensive rebound by L. Deng,,70-65,,
6:54.0,D. Wade makes 2-pt shot from 12 ft,2,72-65,,
6:34.0,,,72-67,2,C. Anthony makes 2-pt shot from 11 ft
6:11.0,D. Wade makes 2-pt shot from 11 ft,2,74-67,,
6:01.0,,,74-67,,C. Anthony misses 2-pt shot from 1 ft
6:00.0,,,74-67,,Offensive rebound by C. Anthony
6:00.0,,,74-67,,C. Anthony misses 2-pt shot from 1 ft
5:59.0,,,74-67,,Offensive rebound by Team
5:59.0,Jump ball: S. Dalembert vs. D. Wade (J. Calderon gains possession),,,,Jump ball: S. Dalembert vs. D. Wade (J. Calderon gains possession)
5:47.0,,,74-67,,I. Shumpert misses 3-pt shot from 24 ft
5:46.0,Defensive rebound by J. McRoberts,,74-67,,
5:34.0,Turnover by D. Wade (lost ball; steal by I. Shumpert),,74-67,,
5:27.0,,,74-67,,J. Calderon misses 3-pt shot from 23 ft
5:26.0,,,74-67,,Offensive rebound by I. Shumpert
5:23.0,,,74-67,,C. Anthony misses 3-pt shot from 25 ft
5:22.0,Defensive rebound by Team,,74-67,,
5:08.0,L. Deng misses 2-pt shot from 1 ft (block by C. Anthony),,74-67,,
5:07.0,Offensive rebound by Team,,74-67,,
5:04.0,C. Bosh misses 3-pt shot from 25 ft,,74-67,,
5:03.0,,,74-67,,Defensive rebound by A. Stoudemire
4:56.0,,,74-67,,I. Shumpert misses 2-pt shot from 2 ft
4:55.0,Defensive rebound by J. McRoberts,,74-67,,
4:49.0,Shooting foul by A. Stoudemire (drawn by C. Bosh),,74-67,,
4:49.0,C. Bosh makes free throw 1 of 2,1,75-67,,
4:49.0,C. Bosh misses free throw 2 of 2,,75-67,,
4:48.0,,,75-67,,Defensive rebound by S. Dalembert
4:34.0,,,75-69,2,J. Calderon makes 2-pt shot from 15 ft
