time,Dallas,pts.away,score,pts.home,Houston
7:36.0,T. Chandler misses 2-pt shot at rim,,14-9,,
7:34.0,,,14-9,,Defensive rebound by J. Dorsey
7:32.0,,,14-11,2,J. Harden makes 2-pt shot at rim
7:32.0,,,14-11,,Shooting foul by D. Nowitzki (drawn by J. Harden)
7:32.0,A. Aminu enters the game for D. Nowitzki,,14-11,,
7:32.0,,,14-11,,J. Harden misses free throw 1 of 1
7:32.0,Defensive rebound by T. Chandler,,14-11,,
7:07.0,A. Aminu misses 2-pt shot from 22 ft,,14-11,,
7:05.0,,,14-11,,Defensive rebound by Team
6:55.0,,,14-11,,J. Harden misses 2-pt shot from 1 ft
6:54.0,,,14-11,,Offensive rebound by J. Dorsey
6:53.0,,,14-11,,J. Dorsey misses 2-pt shot from 1 ft
6:51.0,Defensive rebound by T. Chandler,,14-11,,
6:44.0,M. Ellis makes 2-pt shot from 1 ft (assist by R. Rondo),2,16-11,,
6:30.0,,,16-11,,P. Beverley misses 3-pt shot from 25 ft
6:30.0,Defensive rebound by Team,,16-11,,
6:30.0,,,16-11,,J. Smith enters the game for J. Dorsey
6:15.0,M. Ellis makes 2-pt shot from 18 ft,2,18-11,,
5:55.0,,,18-11,,Turnover by T. Ariza (traveling)
5:44.0,A. Aminu makes 3-pt shot from 23 ft (assist by R. Rondo),3,21-11,,
5:29.0,,,21-11,,P. Beverley misses 3-pt shot from 23 ft
5:28.0,Defensive rebound by A. Aminu,,21-11,,
5:18.0,C. Parsons misses 3-pt shot from 28 ft,,21-11,,
5:17.0,,,21-11,,Defensive rebound by J. Smith
5:02.0,,,21-11,,Turnover by J. Harden (lost ball; steal by A. Aminu)
4:59.0,Turnover by A. Aminu (lost ball; steal by J. Smith),,21-11,,
4:50.0,,,21-14,3,D. Motiejunas makes 3-pt shot from 22 ft (assist by J. Smith)
4:49.0,Dallas full timeout,,21-14,,
4:49.0,,,21-14,,C. Brewer enters the game for T. Ariza
4:49.0,,,21-14,,T. Jones enters the game for D. Motiejunas
4:49.0,D. Powell enters the game for T. Chandler,,21-14,,
4:31.0,Turnover by A. Aminu (bad pass; steal by C. Brewer),,21-14,,
4:26.0,,,21-14,,Turnover by J. Smith (bad pass; steal by M. Ellis)
4:22.0,M. Ellis makes 2-pt shot from 1 ft (assist by C. Parsons),2,23-14,,
4:14.0,,,23-14,,C. Brewer misses 2-pt shot from 3 ft (block by A. Aminu)
4:14.0,,,23-14,,Offensive rebound by Team
4:03.0,,,23-14,,J. Harden misses 2-pt shot from 10 ft
4:01.0,Defensive rebound by C. Parsons,,23-14,,
3:51.0,R. Rondo misses 2-pt shot from 5 ft,,23-14,,
3:49.0,Offensive rebound by C. Parsons,,23-14,,
3:49.0,C. Parsons misses 2-pt shot at rim,,23-14,,
3:48.0,,,23-14,,Defensive rebound by P. Beverley
3:36.0,,,23-14,,T. Jones misses 2-pt shot from 4 ft
3:35.0,Defensive rebound by C. Parsons,,23-14,,
3:24.0,R. Rondo misses 3-pt shot from 24 ft,,23-14,,
3:23.0,Offensive rebound by Team,,23-14,,
3:23.0,,,23-14,,Loose ball foul by J. Harden (drawn by D. Powell)
3:23.0,,,23-14,,J. Terry enters the game for P. Beverley
3:11.0,Turnover by C. Parsons (lost ball; steal by C. Brewer),,23-14,,
3:06.0,,,23-16,2,J. Harden makes 2-pt shot from 1 ft
2:45.0,M. Ellis misses 3-pt shot from 28 ft,,23-16,,
2:44.0,,,23-16,,Defensive rebound by J. Smith
2:37.0,,,23-16,,J. Smith misses 2-pt shot from 1 ft
2:36.0,,,23-16,,Offensive rebound by C. Brewer
2:29.0,,,23-19,3,J. Smith makes 3-pt shot from 24 ft (assist by J. Harden)
2:26.0,Dallas full timeout,,23-19,,
2:26.0,D. Nowitzki enters the game for C. Parsons,,23-19,,
2:26.0,D. Harris enters the game for M. Ellis,,23-19,,
2:26.0,J. Barea enters the game for R. Rondo,,23-19,,
2:14.0,D. Harris misses 2-pt shot from 20 ft,,23-19,,
2:12.0,Offensive rebound by D. Powell,,23-19,,
1:58.0,D. Nowitzki misses 2-pt shot from 7 ft,,23-19,,
1:56.0,,,23-19,,Defensive rebound by T. Jones
1:46.0,,,23-22,3,C. Brewer makes 3-pt shot from 23 ft (assist by T. Jones)
1:27.0,Turnover by D. Harris (bad pass; steal by J. Terry),,23-22,,
1:21.0,,,23-22,,T. Jones misses 2-pt shot from 2 ft (block by A. Aminu)
1:18.0,Defensive rebound by J. Barea,,23-22,,
1:13.0,D. Powell makes 2-pt shot from 2 ft (assist by J. Barea),2,25-22,,
1:02.0,,,25-24,2,J. Smith makes 2-pt shot from 2 ft
0:46.0,,,25-24,,Personal foul by J. Terry (drawn by D. Nowitzki)
0:46.0,,,25-24,,D. Motiejunas enters the game for T. Jones
0:34.0,D. Powell misses 2-pt shot from 8 ft (block by J. Terry),,25-24,,
0:32.0,,,25-24,,Defensive rebound by J. Harden
0:27.0,,,25-24,,C. Brewer misses 3-pt shot from 24 ft
0:25.0,Defensive rebound by A. Aminu,,25-24,,
0:02.0,J. Barea misses 2-pt shot from 7 ft,,25-24,,
0:01.0,,,25-24,,Defensive rebound by J. Smith
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,,,25-24,,D. Motiejunas misses 2-pt shot from 4 ft
11:45.0,Defensive rebound by A. Aminu,,25-24,,
11:33.0,D. Nowitzki misses 2-pt shot from 3 ft (block by J. Smith),,25-24,,
11:32.0,Offensive rebound by Team,,25-24,,
11:22.0,D. Harris misses 3-pt shot from 26 ft (block by J. Terry),,25-24,,
11:22.0,Offensive rebound by Team,,25-24,,
11:22.0,Turnover by Team (shot clock),,25-24,,
11:13.0,,,25-24,,J. Smith misses 2-pt shot from 5 ft
11:12.0,Defensive rebound by J. Barea,,25-24,,
11:01.0,D. Nowitzki misses 3-pt shot from 25 ft,,25-24,,
11:00.0,,,25-24,,Defensive rebound by J. Terry
10:53.0,,,25-24,,Shooting foul by D. Harris (drawn by D. Motiejunas)
10:53.0,,,25-25,1,D. Motiejunas makes free throw 1 of 2
10:53.0,,,25-26,1,D. Motiejunas makes free throw 2 of 2
10:43.0,Turnover by J. Barea (lost ball; steal by J. Terry),,25-26,,
10:39.0,,,25-26,,C. Brewer misses 2-pt shot from 3 ft (block by A. Aminu)
10:38.0,,,25-26,,Offensive rebound by J. Terry
10:35.0,,,25-28,2,D. Motiejunas makes 2-pt shot at rim (assist by J. Terry)
10:24.0,,,25-28,,Violation by D. Motiejunas (kicked ball)
10:19.0,,,25-28,,Personal foul by J. Smith (drawn by D. Nowitzki)
10:07.0,D. Harris misses 2-pt shot from 7 ft,,25-28,,
10:06.0,Offensive rebound by D. Powell,,25-28,,
10:06.0,D. Powell makes 2-pt shot from 1 ft,2,27-28,,
9:51.0,,,27-28,,J. Smith misses 2-pt shot from 4 ft
9:50.0,Defensive rebound by A. Aminu,,27-28,,
9:45.0,Shooting foul by D. Motiejunas (drawn by A. Aminu),,27-28,,
9:45.0,A. Aminu makes free throw 1 of 2,1,28-28,,
9:45.0,A. Aminu makes free throw 2 of 2,1,29-28,,
9:26.0,,,29-31,3,J. Smith makes 3-pt shot from 25 ft (assist by J. Terry)
9:20.0,Offensive charge foul by J. Barea,,29-31,,
9:20.0,Turnover by J. Barea (offensive foul),,29-31,,
9:06.0,,,29-31,,J. Smith misses 3-pt shot from 22 ft
9:05.0,,,29-31,,Offensive rebound by D. Motiejunas
9:03.0,,,29-33,2,D. Motiejunas makes 2-pt shot from 2 ft
9:02.0,Dallas full timeout,,29-33,,
8:45.0,Turnover by D. Harris (lost ball),,29-33,,
8:29.0,,,29-35,2,C. Brewer makes 2-pt shot from 12 ft
8:20.0,J. Barea makes 2-pt shot from 2 ft,2,31-35,,
8:10.0,,,31-35,,Offensive foul by J. Terry
8:10.0,,,31-35,,Turnover by J. Terry (offensive foul)
8:10.0,T. Chandler enters the game for D. Nowitzki,,31-35,,
8:10.0,R. Rondo enters the game for D. Powell,,31-35,,
8:10.0,C. Parsons enters the game for J. Barea,,31-35,,
8:10.0,M. Ellis enters the game for D. Harris,,31-35,,
7:51.0,T. Chandler misses 2-pt shot from 2 ft,,31-35,,
7:50.0,Offensive rebound by T. Chandler,,31-35,,
7:44.0,Turnover by R. Rondo (lost ball; steal by C. Brewer),,31-35,,
7:42.0,,,31-35,,Shooting foul by A. Aminu (drawn by C. Brewer)
7:42.0,,,31-36,1,C. Brewer makes free throw 1 of 2
7:42.0,,,31-37,1,C. Brewer makes free throw 2 of 2
7:28.0,A. Aminu makes 3-pt shot from 22 ft (assist by R. Rondo),3,34-37,,
7:13.0,,,34-37,,J. Terry misses 2-pt shot from 3 ft
7:11.0,Defensive rebound by T. Chandler,,34-37,,
6:50.0,M. Ellis misses 3-pt shot from 26 ft,,34-37,,
6:49.0,,,34-37,,Defensive rebound by Team
6:49.0,,,34-37,,P. Beverley enters the game for J. Terry
6:31.0,,,34-37,,D. Motiejunas misses 2-pt shot from 5 ft (block by A. Aminu)
6:30.0,,,34-37,,Offensive rebound by D. Motiejunas
6:26.0,,,34-37,,J. Smith misses 2-pt shot from 2 ft (block by R. Rondo)
6:24.0,,,34-37,,Offensive rebound by J. Smith
6:20.0,,,34-37,,D. Motiejunas misses 3-pt shot from 25 ft
6:19.0,Defensive rebound by R. Rondo,,34-37,,
6:15.0,Turnover by T. Chandler (traveling),,34-37,,
6:15.0,,,34-37,,J. Harden enters the game for T. Ariza
6:03.0,,,34-37,,Turnover by P. Beverley (lost ball; steal by T. Chandler)
5:58.0,C. Parsons makes 2-pt shot from 3 ft (assist by M. Ellis),2,36-37,,
5:50.0,,,36-39,2,C. Brewer makes 2-pt shot from 11 ft
5:26.0,R. Rondo misses 2-pt shot from 8 ft,,36-39,,
5:25.0,,,36-39,,Defensive rebound by J. Smith
5:22.0,,,36-39,,Turnover by J. Smith (dbl dribble)
5:22.0,Dallas full timeout,,36-39,,
5:22.0,,,36-39,,T. Jones enters the game for J. Smith
5:12.0,C. Parsons makes 3-pt shot from 26 ft,3,39-39,,
4:55.0,,,39-39,,C. Brewer misses 3-pt shot from 23 ft
4:54.0,Defensive rebound by Team,,39-39,,
4:28.0,R. Rondo misses 2-pt shot from 20 ft,,39-39,,
4:27.0,,,39-39,,Defensive rebound by T. Jones
4:19.0,Personal foul by M. Ellis (drawn by C. Brewer),,39-39,,
4:03.0,,,39-41,2,J. Harden makes 2-pt shot from 16 ft
3:49.0,M. Ellis misses 2-pt shot from 3 ft,,39-41,,
3:47.0,Offensive rebound by T. Chandler,,39-41,,
3:47.0,T. Chandler makes 2-pt shot at rim,2,41-41,,
3:39.0,Personal foul by C. Parsons (drawn by P. Beverley),,41-41,,
3:39.0,D. Nowitzki enters the game for A. Aminu,,41-41,,
3:33.0,,,41-44,3,T. Jones makes 3-pt shot from 25 ft (assist by P. Beverley)
3:19.0,M. Ellis makes 3-pt shot from 25 ft (assist by R. Rondo),3,44-44,,
3:10.0,,,44-44,,C. Brewer misses 2-pt shot from 5 ft
3:08.0,Defensive rebound by D. Nowitzki,,44-44,,
3:03.0,M. Ellis misses 3-pt shot from 26 ft,,44-44,,
3:01.0,,,44-44,,Defensive rebound by C. Brewer
2:49.0,,,44-46,2,T. Jones makes 2-pt shot from 5 ft
2:41.0,Turnover by R. Rondo (lost ball; steal by J. Harden),,44-46,,
2:35.0,,,44-46,,Shooting foul by D. Nowitzki (drawn by T. Jones)
2:35.0,,,44-46,,Houston full timeout
2:35.0,,,44-46,,T. Ariza enters the game for D. Motiejunas
2:35.0,,,44-46,,J. Smith enters the game for C. Brewer
2:35.0,,,44-46,,T. Jones misses free throw 1 of 2
2:35.0,,,44-46,,Offensive rebound by Team
2:35.0,,,44-47,1,T. Jones makes free throw 2 of 2
2:20.0,C. Parsons makes 3-pt shot from 25 ft (assist by R. Rondo),3,47-47,,
1:52.0,,,47-47,,P. Beverley misses 3-pt shot from 24 ft
1:51.0,Defensive rebound by R. Rondo,,47-47,,
1:40.0,M. Ellis makes 2-pt shot from 10 ft,2,49-47,,
1:21.0,,,49-49,2,T. Jones makes 2-pt shot from 7 ft (assist by J. Harden)
1:00.0,Shooting foul by T. Jones (drawn by D. Nowitzki),,49-49,,
1:00.0,D. Nowitzki makes free throw 1 of 2,1,50-49,,
1:00.0,D. Nowitzki makes free throw 2 of 2,1,51-49,,
0:51.0,,,51-51,2,J. Smith makes 2-pt shot at rim (assist by P. Beverley)
0:36.0,M. Ellis makes 2-pt shot from 22 ft,2,53-51,,
0:24.0,,,53-54,3,J. Smith makes 3-pt shot from 24 ft (assist by J. Harden)
0:02.0,R. Rondo misses 3-pt shot from 23 ft,,53-54,,
0:01.0,,,53-54,,Defensive rebound by J. Smith
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:45.0,,,53-57,3,T. Ariza makes 3-pt shot from 23 ft (assist by J. Harden)
11:28.0,Turnover by T. Chandler (lost ball; steal by J. Harden),,53-57,,
11:19.0,,,53-57,,J. Harden misses 3-pt shot from 24 ft
11:18.0,Defensive rebound by M. Ellis,,53-57,,
11:05.0,M. Ellis makes 2-pt shot from 9 ft,2,55-57,,
10:52.0,,,55-57,,D. Motiejunas misses 2-pt shot from 9 ft
10:52.0,Defensive rebound by Team,,55-57,,
10:52.0,,,55-57,,Loose ball foul by J. Dorsey (drawn by D. Nowitzki)
10:40.0,Turnover by T. Chandler (lost ball; steal by J. Harden),,55-57,,
10:32.0,,,55-57,,P. Beverley misses 3-pt shot from 24 ft
10:31.0,,,55-57,,Offensive rebound by J. Harden
10:31.0,,,55-59,2,J. Harden makes 2-pt shot at rim
10:17.0,R. Rondo misses 2-pt shot from 18 ft,,55-59,,
10:14.0,Offensive rebound by T. Chandler,,55-59,,
10:14.0,T. Chandler makes 2-pt shot at rim,2,57-59,,
9:50.0,,,57-62,3,D. Motiejunas makes 3-pt shot from 23 ft (assist by P. Beverley)
9:26.0,,,57-62,,Personal foul by P. Beverley (drawn by M. Ellis)
9:21.0,M. Ellis makes 2-pt shot from 12 ft,2,59-62,,
9:03.0,,,59-62,,D. Motiejunas misses 2-pt shot from 8 ft
9:02.0,Defensive rebound by D. Nowitzki,,59-62,,
8:55.0,C. Parsons misses 2-pt shot from 6 ft,,59-62,,
8:53.0,,,59-62,,Defensive rebound by J. Harden
8:47.0,,,59-65,3,T. Ariza makes 3-pt shot from 24 ft (assist by J. Harden)
8:16.0,D. Nowitzki makes 3-pt shot from 25 ft (assist by M. Ellis),3,62-65,,
7:54.0,,,62-67,2,T. Ariza makes 2-pt shot from 23 ft
7:37.0,M. Ellis makes 2-pt shot from 22 ft,2,64-67,,
7:13.0,,,64-67,,J. Harden misses 3-pt shot from 23 ft
7:11.0,,,64-67,,Offensive rebound by J. Dorsey
7:08.0,,,64-67,,P. Beverley misses 3-pt shot from 24 ft
7:07.0,Defensive rebound by T. Chandler,,64-67,,
7:00.0,Turnover by M. Ellis (bad pass),,64-67,,
6:44.0,,,64-67,,D. Motiejunas misses 2-pt shot from 7 ft
6:43.0,,,64-67,,Offensive rebound by J. Dorsey
6:39.0,,,64-69,2,T. Ariza makes 2-pt shot at rim (assist by J. Dorsey)
6:36.0,Dallas full timeout,,64-69,,
6:36.0,A. Aminu enters the game for D. Nowitzki,,64-69,,
6:26.0,A. Aminu misses 2-pt shot from 18 ft,,64-69,,
6:24.0,,,64-69,,Defensive rebound by P. Beverley
6:12.0,,,64-69,,D. Motiejunas misses 2-pt shot from 6 ft
6:11.0,Defensive rebound by T. Chandler,,64-69,,
5:51.0,R. Rondo misses 2-pt shot from 20 ft,,64-69,,
5:50.0,,,64-69,,Defensive rebound by D. Motiejunas
5:40.0,,,64-69,,P. Beverley misses 3-pt shot from 23 ft
5:39.0,Defensive rebound by T. Chandler,,64-69,,
5:21.0,M. Ellis makes 2-pt shot from 21 ft,2,66-69,,
4:58.0,,,66-69,,P. Beverley misses 2-pt shot from 7 ft
4:57.0,Defensive rebound by T. Chandler,,66-69,,
4:50.0,C. Parsons misses 3-pt shot from 25 ft,,66-69,,
4:49.0,,,66-69,,Defensive rebound by P. Beverley
4:41.0,,,66-69,,T. Ariza misses 2-pt shot from 2 ft
4:40.0,Defensive rebound by T. Chandler,,66-69,,
4:24.0,Turnover by R. Rondo (lost ball; steal by J. Harden),,66-69,,
4:17.0,,,66-72,3,T. Ariza makes 3-pt shot from 24 ft (assist by P. Beverley)
4:09.0,Dallas full timeout,,66-72,,
4:09.0,,,66-72,,J. Smith enters the game for D. Motiejunas
4:09.0,,,66-72,,T. Jones enters the game for J. Dorsey
4:09.0,D. Harris enters the game for R. Rondo,,66-72,,
3:57.0,Shooting foul by P. Beverley (drawn by M. Ellis),,66-72,,
3:57.0,M. Ellis makes free throw 1 of 2,1,67-72,,
3:57.0,C. Villanueva enters the game for T. Chandler,,67-72,,
3:57.0,M. Ellis makes free throw 2 of 2,1,68-72,,
3:36.0,,,68-74,2,T. Jones makes 2-pt shot at rim (assist by J. Smith)
3:22.0,Turnover by D. Harris (lost ball; steal by T. Ariza),,68-74,,
3:20.0,,,68-74,,Turnover by T. Ariza (lost ball; steal by A. Aminu)
3:16.0,C. Parsons misses 3-pt shot from 25 ft,,68-74,,
3:15.0,Offensive rebound by A. Aminu,,68-74,,
3:13.0,A. Aminu misses 2-pt shot from 2 ft (block by T. Jones),,68-74,,
3:11.0,,,68-74,,Defensive rebound by T. Ariza
3:05.0,,,68-74,,T. Ariza misses 3-pt shot from 24 ft
3:04.0,Defensive rebound by C. Villanueva,,68-74,,
2:50.0,,,68-74,,Houston full timeout
2:50.0,,,68-74,,J. Terry enters the game for T. Ariza
2:50.0,,,68-74,,C. Brewer enters the game for P. Beverley
2:50.0,D. Powell enters the game for C. Parsons,,68-74,,
2:45.0,M. Ellis makes 2-pt shot from 20 ft,2,70-74,,
2:25.0,,,70-76,2,J. Harden makes 2-pt shot at rim
2:13.0,C. Villanueva misses 3-pt shot from 24 ft,,70-76,,
2:12.0,,,70-76,,Defensive rebound by Team
2:12.0,Loose ball foul by D. Powell (drawn by J. Smith),,70-76,,
2:12.0,D. Nowitzki enters the game for D. Powell,,70-76,,
2:02.0,,,70-76,,Turnover by J. Harden (lost ball; steal by D. Harris)
2:01.0,Shooting foul by J. Harden (drawn by A. Aminu),,70-76,,
2:01.0,A. Aminu makes free throw 1 of 2,1,71-76,,
2:01.0,A. Aminu makes free throw 2 of 2,1,72-76,,
1:48.0,,,72-78,2,J. Harden makes 2-pt shot from 1 ft
1:31.0,Shooting foul by J. Smith (drawn by D. Nowitzki),,72-78,,
1:31.0,D. Nowitzki makes free throw 1 of 2,1,73-78,,
1:31.0,D. Nowitzki makes free throw 2 of 2,1,74-78,,
1:08.0,,,74-78,,C. Brewer misses 3-pt shot from 23 ft
1:07.0,Defensive rebound by C. Villanueva,,74-78,,
1:01.0,D. Nowitzki makes 2-pt shot from 1 ft (assist by M. Ellis),2,76-78,,
0:58.0,Personal foul by A. Aminu (drawn by J. Harden),,76-78,,
0:42.0,,,76-78,,J. Smith misses 2-pt shot from 8 ft
0:40.0,Defensive rebound by A. Aminu,,76-78,,
0:35.0,M. Ellis misses 3-pt shot from 26 ft,,76-78,,
0:34.0,,,76-78,,Defensive rebound by J. Harden
0:25.0,,,76-81,3,J. Terry makes 3-pt shot from 23 ft (assist by J. Harden)
0:03.0,M. Ellis makes 2-pt shot from 15 ft,2,78-81,,
0:00.0,,,78-81,,T. Jones misses 3-pt shot from 48 ft
0:00.0,,,78-81,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:51.0,D. Harris misses 2-pt shot from 4 ft,,78-81,,
11:49.0,,,78-81,,Defensive rebound by C. Brewer
11:42.0,,,78-81,,T. Jones misses 2-pt shot from 3 ft (block by A. Aminu)
11:41.0,Defensive rebound by C. Villanueva,,78-81,,
11:32.0,C. Villanueva misses 2-pt shot from 2 ft,,78-81,,
11:30.0,,,78-81,,Defensive rebound by T. Jones
11:24.0,,,78-84,3,C. Brewer makes 3-pt shot from 22 ft (assist by J. Terry)
11:05.0,D. Nowitzki misses 2-pt shot from 12 ft,,78-84,,
11:02.0,,,78-84,,Defensive rebound by T. Jones
10:45.0,Personal block foul by D. Harris (drawn by T. Ariza),,78-84,,
10:41.0,,,78-84,,Shooting foul by J. Barea (drawn by C. Brewer)
10:41.0,,,78-85,1,C. Brewer makes free throw 1 of 2
10:41.0,,,78-86,1,C. Brewer makes free throw 2 of 2
10:32.0,,,78-86,,Shooting block foul by T. Jones (drawn by J. Barea)
10:32.0,J. Barea makes free throw 1 of 2,1,79-86,,
10:32.0,J. Barea makes free throw 2 of 2,1,80-86,,
10:19.0,,,80-86,,C. Brewer misses 3-pt shot from 22 ft
10:18.0,Defensive rebound by D. Nowitzki,,80-86,,
10:08.0,J. Barea misses 3-pt shot from 25 ft,,80-86,,
10:06.0,,,80-86,,Defensive rebound by T. Ariza
9:44.0,,,80-86,,T. Ariza misses 2-pt shot from 18 ft (block by A. Aminu)
9:43.0,Defensive rebound by D. Nowitzki,,80-86,,
9:22.0,C. Villanueva misses 2-pt shot from 4 ft,,80-86,,
9:21.0,,,80-86,,Defensive rebound by T. Jones
9:10.0,,,80-86,,Turnover by C. Brewer (lost ball; steal by C. Villanueva)
8:59.0,D. Nowitzki misses 2-pt shot from 12 ft,,80-86,,
8:58.0,,,80-86,,Defensive rebound by Team
8:58.0,Loose ball foul by J. Barea (drawn by J. Terry),,80-86,,
8:58.0,,,80-86,,Houston full timeout
8:58.0,C. Parsons enters the game for D. Nowitzki,,80-86,,
8:58.0,T. Chandler enters the game for J. Barea,,80-86,,
8:58.0,R. Rondo enters the game for D. Harris,,80-86,,
8:58.0,M. Ellis enters the game for C. Villanueva,,80-86,,
8:58.0,,,80-86,,D. Motiejunas enters the game for T. Jones
8:44.0,,,80-86,,Turnover by T. Ariza (bad pass; steal by A. Aminu)
8:37.0,A. Aminu misses 3-pt shot from 24 ft,,80-86,,
8:35.0,Offensive rebound by T. Chandler,,80-86,,
8:32.0,T. Chandler makes 2-pt shot from 1 ft,2,82-86,,
8:22.0,Violation by M. Ellis (kicked ball),,82-86,,
8:13.0,,,82-86,,J. Terry misses 2-pt shot from 22 ft
8:11.0,Defensive rebound by M. Ellis,,82-86,,
8:03.0,Turnover by R. Rondo (lost ball; steal by C. Brewer),,82-86,,
8:00.0,,,82-86,,Turnover by C. Brewer (lost ball; steal by T. Chandler)
7:52.0,A. Aminu misses 2-pt shot from 5 ft (block by J. Smith),,82-86,,
7:51.0,,,82-86,,Defensive rebound by J. Terry
7:45.0,,,82-86,,C. Brewer misses 3-pt shot from 23 ft
7:44.0,Defensive rebound by A. Aminu,,82-86,,
7:36.0,Turnover by M. Ellis (bad pass; steal by D. Motiejunas),,82-86,,
7:32.0,,,82-86,,Shooting foul by R. Rondo (drawn by J. Terry)
7:32.0,,,82-87,1,J. Terry makes free throw 1 of 2
7:32.0,,,82-87,,J. Harden enters the game for T. Ariza
7:32.0,,,82-87,,T. Jones enters the game for J. Smith
7:32.0,,,82-88,1,J. Terry makes free throw 2 of 2
7:20.0,,,82-88,,Personal foul by C. Brewer (drawn by M. Ellis)
7:12.0,C. Parsons makes 3-pt shot from 24 ft (assist by M. Ellis),3,85-88,,
6:47.0,,,85-88,,D. Motiejunas misses 2-pt shot from 6 ft
6:46.0,,,85-88,,Offensive rebound by J. Terry
6:43.0,,,85-88,,Turnover by J. Terry (lost ball; steal by C. Parsons)
6:43.0,,,85-88,,Personal foul by D. Motiejunas (drawn by C. Parsons)
6:29.0,Turnover by C. Parsons (bad pass),,85-88,,
6:19.0,,,85-88,,Offensive charge foul by J. Harden
6:19.0,,,85-88,,Turnover by J. Harden (offensive foul)
6:19.0,,,85-88,,Houston full timeout
6:19.0,,,85-88,,P. Beverley enters the game for J. Terry
6:07.0,M. Ellis misses 2-pt shot from 16 ft,,85-88,,
6:05.0,,,85-88,,Defensive rebound by C. Brewer
5:49.0,,,85-88,,C. Brewer misses 3-pt shot from 24 ft
5:48.0,Defensive rebound by M. Ellis,,85-88,,
5:33.0,Turnover by R. Rondo (bad pass),,85-88,,
5:33.0,,,85-88,,Houston full timeout
5:33.0,D. Nowitzki enters the game for A. Aminu,,85-88,,
5:33.0,,,85-88,,T. Ariza enters the game for C. Brewer
5:14.0,,,85-88,,J. Harden misses 2-pt shot from 13 ft
5:11.0,,,85-88,,Offensive rebound by D. Motiejunas
5:11.0,,,85-90,2,D. Motiejunas makes 2-pt shot from 1 ft
4:43.0,C. Parsons makes 2-pt shot from 2 ft,2,87-90,,
4:24.0,,,87-90,,Offensive foul by J. Harden
4:24.0,,,87-90,,Turnover by J. Harden (offensive foul)
4:06.0,D. Nowitzki misses 3-pt shot from 25 ft,,87-90,,
4:05.0,Offensive rebound by Team,,87-90,,
3:58.0,Offensive charge foul by C. Parsons,,87-90,,
3:58.0,Turnover by C. Parsons (offensive foul),,87-90,,
3:34.0,,,87-92,2,P. Beverley makes 2-pt shot from 1 ft
3:26.0,Dallas full timeout,,87-92,,
3:26.0,,,87-92,,J. Smith enters the game for T. Jones
3:11.0,T. Chandler misses 2-pt shot from 2 ft,,87-92,,
3:09.0,,,87-92,,Defensive rebound by P. Beverley
