time,Toronto,pts.away,score,pts.home,Oklahoma City
1:47.0,,,59-53,,Offensive rebound by Team
1:47.0,,,59-54,1,R. Westbrook makes free throw 2 of 2
1:25.0,A. Johnson misses 2-pt shot from 4 ft,,59-54,,
1:25.0,,,59-54,,Defensive rebound by D. Waiters
1:13.0,,,59-56,2,A. Roberson makes 2-pt shot from 1 ft (assist by E. Kanter)
0:54.0,T. Ross misses 2-pt shot from 4 ft,,59-56,,
0:53.0,,,59-56,,Defensive rebound by E. Kanter
0:49.0,,,59-58,2,S. Ibaka makes 2-pt shot at rim (assist by R. Westbrook)
0:49.0,Toronto full timeout,,59-58,,
0:32.0,Turnover by D. DeRozan (bad pass; steal by R. Westbrook),,59-58,,
0:28.0,,,59-58,,R. Westbrook misses 2-pt shot from 1 ft (block by T. Ross)
0:27.0,Defensive rebound by Team,,59-58,,
0:05.0,Shooting foul by S. Ibaka (drawn by G. Vasquez),,59-58,,
0:05.0,G. Vasquez makes free throw 1 of 2,1,60-58,,
0:05.0,,,60-58,,N. Collison enters the game for S. Ibaka
0:05.0,J. Johnson enters the game for D. DeRozan,,60-58,,
0:05.0,,,60-58,,A. Morrow enters the game for A. Roberson
0:05.0,G. Vasquez makes free throw 2 of 2,1,61-58,,
0:01.0,,,61-58,,A. Morrow misses 3-pt shot from 24 ft
0:00.0,,,61-58,,Offensive rebound by E. Kanter
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:50.0,,,61-60,2,S. Ibaka makes 2-pt shot from 19 ft (assist by R. Westbrook)
11:32.0,D. DeRozan misses 2-pt shot from 18 ft,,61-60,,
11:31.0,,,61-60,,Defensive rebound by E. Kanter
11:17.0,,,61-62,2,E. Kanter makes 2-pt shot at rim (assist by R. Westbrook)
10:53.0,A. Johnson misses 3-pt shot from 24 ft,,61-62,,
10:52.0,Offensive rebound by J. Valanciunas,,61-62,,
10:50.0,J. Valanciunas makes 2-pt shot from 1 ft,2,63-62,,
10:35.0,,,63-62,,S. Ibaka misses 3-pt shot from 24 ft
10:33.0,,,63-62,,Offensive rebound by E. Kanter
10:30.0,,,63-62,,E. Kanter misses 2-pt shot from 3 ft
10:29.0,,,63-62,,Offensive rebound by R. Westbrook
10:29.0,Personal foul by J. Valanciunas (drawn by R. Westbrook),,63-62,,
10:21.0,,,63-62,,E. Kanter misses 2-pt shot at rim
10:20.0,Defensive rebound by D. DeRozan,,63-62,,
10:15.0,T. Ross makes 2-pt shot at rim (assist by D. DeRozan),2,65-62,,
10:01.0,,,65-62,,K. Singler misses 2-pt shot from 14 ft
10:00.0,Defensive rebound by T. Ross,,65-62,,
9:49.0,D. DeRozan misses 2-pt shot from 12 ft,,65-62,,
9:48.0,,,65-62,,Defensive rebound by R. Westbrook
9:40.0,,,65-62,,S. Ibaka misses 3-pt shot from 24 ft
9:39.0,,,65-62,,Offensive rebound by K. Singler
9:33.0,,,65-62,,K. Singler misses 2-pt shot from 11 ft
9:32.0,,,65-62,,Offensive rebound by K. Singler
9:19.0,,,65-64,2,A. Roberson makes 2-pt shot at rim (assist by E. Kanter)
8:57.0,T. Ross makes 3-pt shot from 24 ft (assist by K. Lowry),3,68-64,,
8:45.0,,,68-64,,R. Westbrook misses 3-pt shot from 27 ft
8:44.0,Defensive rebound by A. Johnson,,68-64,,
8:32.0,,,68-64,,Personal foul by E. Kanter (drawn by J. Valanciunas)
8:20.0,Turnover by D. DeRozan (traveling),,68-64,,
8:07.0,,,68-64,,E. Kanter misses 2-pt shot from 4 ft
8:07.0,Defensive rebound by A. Johnson,,68-64,,
7:58.0,A. Johnson misses 2-pt shot from 3 ft (block by S. Ibaka),,68-64,,
7:56.0,,,68-64,,Defensive rebound by K. Singler
7:55.0,,,68-64,,Shooting foul by T. Ross (drawn by R. Westbrook)
7:55.0,,,68-65,1,R. Westbrook makes free throw 1 of 2
7:55.0,,,68-66,1,R. Westbrook makes free throw 2 of 2
7:42.0,D. DeRozan misses 2-pt shot from 16 ft,,68-66,,
7:41.0,,,68-66,,Defensive rebound by R. Westbrook
7:35.0,,,68-68,2,E. Kanter makes 2-pt shot from 1 ft (assist by R. Westbrook)
7:19.0,K. Lowry misses 2-pt shot from 11 ft,,68-68,,
7:18.0,,,68-68,,Defensive rebound by A. Roberson
7:12.0,,,68-68,,K. Singler misses 3-pt shot from 23 ft
7:10.0,,,68-68,,Offensive rebound by Team
7:10.0,Loose ball foul by D. DeRozan (drawn by A. Roberson),,68-68,,
7:05.0,,,68-68,,R. Westbrook misses 3-pt shot from 24 ft
7:04.0,,,68-68,,Offensive rebound by K. Singler
7:00.0,,,68-71,3,R. Westbrook makes 3-pt shot from 23 ft (assist by K. Singler)
7:00.0,Toronto full timeout,,68-71,,
7:00.0,P. Patterson enters the game for A. Johnson,,68-71,,
6:42.0,P. Patterson misses 2-pt shot from 13 ft,,68-71,,
6:42.0,,,68-71,,Defensive rebound by S. Ibaka
6:36.0,,,68-71,,Turnover by R. Westbrook (lost ball)
6:16.0,Turnover by K. Lowry (lost ball; steal by R. Westbrook),,68-71,,
