time,Dallas,pts.away,score,pts.home,Memphis
0:46.0,D. Harris enters the game for M. Ellis,,59-53,,
0:46.0,T. Chandler enters the game for B. Wright,,59-53,,
0:46.0,,,59-54,1,Z. Randolph makes free throw 2 of 2
0:31.0,Turnover by D. Nowitzki (bad pass; steal by T. Allen),,59-54,,
0:28.0,,,59-56,2,T. Allen makes 2-pt shot from 1 ft
0:08.0,J. Nelson makes 3-pt shot from 24 ft,3,62-56,,
0:01.0,,,62-56,,C. Lee misses 3-pt shot from 24 ft
0:00.0,,,62-56,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:44.0,,,62-58,2,Z. Randolph makes 2-pt shot from 2 ft (assist by M. Gasol)
11:26.0,,,62-58,,Personal foul by C. Lee (drawn by C. Parsons)
11:20.0,M. Ellis misses 2-pt shot from 19 ft,,62-58,,
11:20.0,,,62-58,,Defensive rebound by C. Lee
11:03.0,,,62-60,2,M. Gasol makes 2-pt shot from 13 ft (assist by M. Conley)
10:47.0,Turnover by J. Nelson (bad pass),,62-60,,
10:33.0,,,62-60,,Z. Randolph misses 2-pt shot from 17 ft
10:33.0,Defensive rebound by J. Nelson,,62-60,,
10:15.0,D. Nowitzki misses 3-pt shot from 24 ft,,62-60,,
10:14.0,Offensive rebound by T. Chandler,,62-60,,
10:09.0,M. Ellis misses 3-pt shot from 24 ft,,62-60,,
10:09.0,,,62-60,,Defensive rebound by Team
9:54.0,,,62-60,,M. Gasol misses 2-pt shot from 18 ft
9:53.0,,,62-60,,Offensive rebound by Z. Randolph
9:32.0,,,62-62,2,T. Allen makes 2-pt shot from 1 ft
9:20.0,C. Parsons makes 3-pt shot from 24 ft (assist by J. Nelson),3,65-62,,
9:06.0,,,65-64,2,M. Conley makes 2-pt shot from 17 ft
8:54.0,J. Nelson misses 3-pt shot from 24 ft,,65-64,,
8:53.0,Offensive rebound by T. Chandler,,65-64,,
8:48.0,M. Ellis misses 2-pt shot from 17 ft,,65-64,,
8:48.0,,,65-64,,Defensive rebound by M. Conley
8:39.0,,,65-64,,M. Conley misses 2-pt shot from 16 ft
8:36.0,,,65-64,,Offensive rebound by Z. Randolph
8:36.0,,,65-66,2,Z. Randolph makes 2-pt shot at rim
8:17.0,D. Nowitzki makes 2-pt shot from 16 ft (assist by C. Parsons),2,67-66,,
8:07.0,,,67-68,2,M. Conley makes 2-pt shot from 1 ft
7:55.0,,,67-68,,Personal foul by C. Lee (drawn by C. Parsons)
7:55.0,,,67-68,,T. Prince enters the game for C. Lee
7:39.0,M. Ellis misses 3-pt shot from 25 ft,,67-68,,
7:39.0,,,67-68,,Defensive rebound by M. Gasol
7:30.0,,,67-68,,Shooting foul by J. Nelson (drawn by M. Conley)
7:30.0,,,67-69,1,M. Conley makes free throw 1 of 2
7:30.0,D. Harris enters the game for M. Ellis,,67-69,,
7:30.0,,,67-70,1,M. Conley makes free throw 2 of 2
7:24.0,,,67-70,,Personal foul by T. Prince (drawn by C. Parsons)
7:17.0,J. Nelson misses 2-pt shot from 22 ft,,67-70,,
7:16.0,,,67-70,,Defensive rebound by Z. Randolph
7:01.0,,,67-72,2,Z. Randolph makes 2-pt shot from 2 ft (assist by T. Prince)
7:00.0,Dallas full timeout,,67-72,,
6:50.0,Offensive foul by D. Harris,,67-72,,
6:50.0,Turnover by D. Harris (offensive foul),,67-72,,
6:36.0,,,67-75,3,M. Conley makes 3-pt shot from 25 ft
6:18.0,Shooting foul by Z. Randolph (drawn by D. Nowitzki),,67-75,,
6:18.0,D. Nowitzki makes free throw 1 of 2,1,68-75,,
6:18.0,D. Nowitzki makes free throw 2 of 2,1,69-75,,
6:04.0,Personal foul by D. Harris (drawn by M. Gasol),,69-75,,
5:56.0,,,69-75,,Z. Randolph misses 2-pt shot from 4 ft
5:55.0,Defensive rebound by D. Nowitzki,,69-75,,
5:46.0,D. Nowitzki misses 3-pt shot from 24 ft,,69-75,,
5:46.0,,,69-75,,Defensive rebound by Z. Randolph
5:38.0,,,69-75,,T. Prince misses 2-pt shot from 16 ft
5:36.0,Defensive rebound by C. Parsons,,69-75,,
5:26.0,Shooting foul by T. Allen (drawn by C. Parsons),,69-75,,
5:26.0,C. Parsons makes free throw 1 of 3,1,70-75,,
5:26.0,C. Parsons misses free throw 2 of 3,,70-75,,
5:26.0,Offensive rebound by Team,,70-75,,
5:26.0,M. Ellis enters the game for D. Nowitzki,,70-75,,
5:26.0,C. Parsons makes free throw 3 of 3,1,71-75,,
5:14.0,,,71-75,,T. Allen misses 2-pt shot from 3 ft
5:12.0,,,71-75,,Offensive rebound by Z. Randolph
5:12.0,,,71-77,2,Z. Randolph makes 2-pt shot from 2 ft
4:47.0,C. Parsons makes 3-pt shot from 25 ft (assist by M. Ellis),3,74-77,,
4:26.0,,,74-77,,Shooting foul by T. Chandler (drawn by M. Gasol)
4:26.0,,,74-78,1,M. Gasol makes free throw 1 of 2
4:26.0,B. Wright enters the game for D. Harris,,74-78,,
4:26.0,,,74-79,1,M. Gasol makes free throw 2 of 2
4:17.0,Turnover by M. Ellis (bad pass; steal by M. Conley),,74-79,,
4:13.0,,,74-81,2,M. Conley makes 2-pt shot from 1 ft
4:13.0,Violation by C. Parsons (def goaltending),,74-81,,
4:04.0,Turnover by J. Nelson (step out of bounds),,74-81,,
3:41.0,,,74-81,,T. Prince misses 2-pt shot from 16 ft (block by B. Wright)
3:39.0,Defensive rebound by J. Nelson,,74-81,,
3:33.0,C. Parsons misses 3-pt shot from 26 ft,,74-81,,
3:32.0,,,74-81,,Defensive rebound by M. Conley
3:26.0,Personal foul by J. Nelson (drawn by T. Prince),,74-81,,
3:26.0,J. Barea enters the game for J. Nelson,,74-81,,
3:26.0,D. Nowitzki enters the game for T. Chandler,,74-81,,
3:14.0,,,74-81,,Z. Randolph misses 2-pt shot from 3 ft
3:14.0,Defensive rebound by J. Barea,,74-81,,
3:07.0,C. Parsons misses 3-pt shot from 24 ft,,74-81,,
3:06.0,,,74-81,,Defensive rebound by T. Prince
2:52.0,,,74-83,2,T. Prince makes 2-pt shot at rim (assist by M. Gasol)
2:40.0,Turnover by J. Barea (dbl dribble),,74-83,,
2:40.0,,,74-83,,Memphis full timeout
2:40.0,J. Crowder enters the game for C. Parsons,,74-83,,
2:40.0,,,74-83,,V. Carter enters the game for T. Allen
2:23.0,,,74-85,2,T. Prince makes 2-pt shot from 6 ft
1:55.0,D. Nowitzki makes 2-pt shot from 11 ft (assist by J. Barea),2,76-85,,
1:43.0,,,76-85,,M. Gasol misses 2-pt shot from 4 ft
1:41.0,,,76-85,,Offensive rebound by Z. Randolph
1:39.0,,,76-85,,Z. Randolph misses 2-pt shot from 2 ft (block by D. Nowitzki)
1:37.0,,,76-85,,Offensive rebound by Z. Randolph
1:37.0,,,76-85,,Z. Randolph misses 2-pt shot from 1 ft
1:33.0,,,76-85,,Offensive rebound by M. Gasol
1:33.0,,,76-87,2,M. Gasol makes 2-pt shot at rim
1:26.0,D. Nowitzki misses 3-pt shot from 25 ft,,76-87,,
1:26.0,Offensive rebound by J. Crowder,,76-87,,
1:22.0,J. Crowder makes 3-pt shot from 25 ft,3,79-87,,
1:07.0,,,79-87,,Z. Randolph misses 2-pt shot from 2 ft
1:06.0,,,79-87,,Offensive rebound by Z. Randolph
1:06.0,,,79-87,,Shooting foul by J. Crowder (drawn by Z. Randolph)
1:06.0,,,79-88,1,Z. Randolph makes free throw 1 of 2
1:06.0,,,79-88,,J. Leuer enters the game for M. Gasol
1:06.0,,,79-88,,Z. Randolph misses free throw 2 of 2
1:05.0,Defensive rebound by D. Nowitzki,,79-88,,
0:48.0,D. Nowitzki misses 2-pt shot from 14 ft,,79-88,,
0:47.0,,,79-88,,Defensive rebound by Z. Randolph
0:38.0,,,79-90,2,Z. Randolph makes 2-pt shot from 2 ft (assist by M. Conley)
0:30.0,Turnover by J. Barea (lost ball; steal by M. Conley),,79-90,,
0:08.0,,,79-90,,Shooting foul by B. Wright (drawn by Z. Randolph)
0:08.0,,,79-91,1,Z. Randolph makes free throw 1 of 2
0:08.0,,,79-91,,T. Allen enters the game for M. Conley
0:08.0,,,79-92,1,Z. Randolph makes free throw 2 of 2
0:00.0,J. Crowder misses 2-pt shot from 20 ft,,79-92,,
0:00.0,,,79-92,,Defensive rebound by T. Prince
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:43.0,D. Nowitzki misses 2-pt shot from 13 ft,,79-92,,
11:41.0,,,79-92,,Defensive rebound by V. Carter
11:23.0,,,79-92,,B. Udrih misses 2-pt shot from 9 ft
11:21.0,Defensive rebound by D. Harris,,79-92,,
11:06.0,D. Nowitzki misses 2-pt shot from 10 ft,,79-92,,
11:06.0,,,79-92,,Defensive rebound by B. Udrih
10:56.0,,,79-92,,Turnover by B. Udrih (bad pass; steal by J. Crowder)
10:45.0,J. Barea makes 2-pt shot from 22 ft,2,81-92,,
10:25.0,,,81-95,3,B. Udrih makes 3-pt shot from 24 ft (assist by V. Carter)
10:14.0,D. Nowitzki misses 3-pt shot from 25 ft,,81-95,,
10:12.0,Offensive rebound by B. Wright,,81-95,,
10:05.0,J. Barea misses 2-pt shot from 6 ft,,81-95,,
10:05.0,Offensive rebound by Team,,81-95,,
10:05.0,,,81-95,,Loose ball foul by V. Carter (drawn by B. Wright)
9:54.0,J. Barea makes 3-pt shot from 23 ft (assist by D. Nowitzki),3,84-95,,
9:29.0,,,84-95,,Z. Randolph misses 2-pt shot from 2 ft
9:29.0,Defensive rebound by J. Barea,,84-95,,
9:19.0,D. Nowitzki misses 2-pt shot from 11 ft,,84-95,,
9:17.0,Offensive rebound by B. Wright,,84-95,,
9:09.0,J. Barea misses 2-pt shot from 8 ft,,84-95,,
9:08.0,Offensive rebound by J. Crowder,,84-95,,
9:08.0,J. Crowder makes 2-pt shot from 1 ft,2,86-95,,
9:08.0,,,86-95,,Memphis full timeout
8:47.0,,,86-95,,V. Carter misses 3-pt shot from 25 ft
8:47.0,Defensive rebound by D. Nowitzki,,86-95,,
8:28.0,Turnover by D. Nowitzki (bad pass; steal by V. Carter),,86-95,,
8:18.0,,,86-95,,Z. Randolph misses 2-pt shot from 3 ft (block by B. Wright)
8:18.0,,,86-95,,Offensive rebound by Team
8:18.0,,,86-95,,M. Gasol enters the game for Z. Randolph
8:18.0,T. Chandler enters the game for D. Nowitzki,,86-95,,
8:18.0,C. Parsons enters the game for B. Wright,,86-95,,
8:18.0,,,86-95,,Violation by Team (delay of game)
8:09.0,,,86-95,,V. Carter misses 2-pt shot from 17 ft
8:08.0,Defensive rebound by D. Harris,,86-95,,
8:00.0,J. Barea makes 2-pt shot from 19 ft,2,88-95,,
7:46.0,,,88-97,2,B. Udrih makes 2-pt shot from 13 ft
7:22.0,J. Barea makes 3-pt shot from 25 ft (assist by D. Harris),3,91-97,,
7:00.0,,,91-99,2,M. Gasol makes 2-pt shot from 9 ft
6:39.0,C. Parsons makes 2-pt shot from 7 ft,2,93-99,,
6:21.0,,,93-99,,Personal foul by V. Carter (drawn by T. Chandler)
6:21.0,Personal foul by T. Chandler,,93-99,,
6:21.0,,,93-99,,C. Lee enters the game for V. Carter
6:16.0,,,93-101,2,B. Udrih makes 2-pt shot from 16 ft
6:04.0,J. Barea misses 3-pt shot from 25 ft,,93-101,,
6:03.0,Offensive rebound by D. Harris,,93-101,,
5:58.0,C. Parsons misses 3-pt shot from 23 ft,,93-101,,
5:57.0,,,93-101,,Defensive rebound by J. Leuer
5:39.0,,,93-101,,M. Gasol misses 2-pt shot from 16 ft
5:39.0,Defensive rebound by J. Barea,,93-101,,
5:33.0,D. Harris misses 3-pt shot from 25 ft,,93-101,,
5:32.0,Offensive rebound by T. Chandler,,93-101,,
5:27.0,C. Parsons makes 3-pt shot from 22 ft (assist by T. Chandler),3,96-101,,
5:06.0,Personal foul by T. Chandler (drawn by M. Gasol),,96-101,,
5:06.0,Official timeout,,96-101,,
5:06.0,,,96-101,,M. Conley enters the game for C. Lee
4:56.0,,,96-101,,M. Conley misses 2-pt shot from 18 ft
4:55.0,Defensive rebound by J. Crowder,,96-101,,
4:40.0,C. Parsons misses 2-pt shot from 3 ft,,96-101,,
4:39.0,Offensive rebound by T. Chandler,,96-101,,
4:39.0,,,96-101,,Loose ball foul by T. Prince (drawn by T. Chandler)
4:32.0,D. Harris makes 3-pt shot from 24 ft,3,99-101,,
4:05.0,,,99-101,,T. Prince misses 2-pt shot from 12 ft
4:04.0,Defensive rebound by C. Parsons,,99-101,,
3:43.0,J. Barea misses 3-pt shot from 26 ft,,99-101,,
3:42.0,,,99-101,,Defensive rebound by B. Udrih
3:27.0,,,99-103,2,B. Udrih makes 2-pt shot from 2 ft (assist by M. Gasol)
3:27.0,Dallas full timeout,,99-103,,
3:27.0,,,99-103,,T. Allen enters the game for J. Leuer
3:27.0,,,99-103,,Z. Randolph enters the game for B. Udrih
3:27.0,D. Nowitzki enters the game for J. Crowder,,99-103,,
3:06.0,J. Barea misses 3-pt shot from 23 ft,,99-103,,
3:05.0,,,99-103,,Defensive rebound by T. Prince
2:47.0,,,99-106,3,T. Prince makes 3-pt shot from 22 ft (assist by M. Gasol)
2:24.0,Shooting foul by M. Gasol (drawn by D. Harris),,99-106,,
2:24.0,D. Harris misses free throw 1 of 2,,99-106,,
2:24.0,Offensive rebound by Team,,99-106,,
2:24.0,D. Harris makes free throw 2 of 2,1,100-106,,
2:08.0,,,100-108,2,M. Conley makes 2-pt shot from 21 ft (assist by M. Gasol)
