time,San Antonio,pts.away,score,pts.home,Orlando
7:16.0,,,10-10,,Offensive rebound by N. Vucevic
7:12.0,,,10-10,,N. Vucevic misses 2-pt shot at rim
7:11.0,,,10-10,,Offensive rebound by N. Vucevic
7:11.0,,,10-10,,N. Vucevic misses 2-pt shot at rim
7:09.0,,,10-10,,Offensive rebound by N. Vucevic
7:09.0,,,10-10,,N. Vucevic misses 2-pt shot from 1 ft
7:08.0,,,10-10,,Offensive rebound by D. Dedmon
7:06.0,,,10-10,,Turnover by D. Dedmon (lost ball; steal by K. Leonard)
6:56.0,Turnover by T. Duncan (bad pass; steal by E. Payton),,10-10,,
6:55.0,M. Belinelli enters the game for D. Green,,10-10,,
6:55.0,A. Baynes enters the game for T. Duncan,,10-10,,
6:43.0,,,10-10,,N. Vucevic misses 2-pt shot from 18 ft
6:42.0,Defensive rebound by T. Splitter,,10-10,,
6:26.0,T. Splitter misses 2-pt shot from 2 ft (block by D. Dedmon),,10-10,,
6:24.0,,,10-10,,Defensive rebound by V. Oladipo
6:19.0,,,10-10,,Turnover by T. Harris (lost ball; steal by K. Leonard)
6:07.0,A. Baynes makes 2-pt shot from 17 ft (assist by T. Parker),2,12-10,,
5:51.0,,,12-12,2,V. Oladipo makes 2-pt shot from 9 ft (assist by E. Payton)
5:37.0,T. Parker makes 2-pt shot from 4 ft,2,14-12,,
5:29.0,,,14-12,,E. Payton misses 2-pt shot at rim
5:28.0,Defensive rebound by T. Splitter,,14-12,,
5:12.0,K. Leonard misses 2-pt shot from 15 ft,,14-12,,
5:11.0,,,14-12,,Defensive rebound by V. Oladipo
5:06.0,,,14-15,3,T. Harris makes 3-pt shot from 24 ft (assist by V. Oladipo)
4:46.0,Turnover by A. Baynes (bad pass; steal by E. Payton),,14-15,,
4:42.0,,,14-17,2,T. Harris makes 2-pt shot at rim (assist by E. Payton)
4:22.0,K. Leonard misses 2-pt shot from 8 ft,,14-17,,
4:21.0,,,14-17,,Defensive rebound by Team
4:21.0,Loose ball foul by T. Splitter (drawn by D. Dedmon),,14-17,,
4:21.0,,,14-17,,Orlando full timeout
4:21.0,B. Diaw enters the game for K. Leonard,,14-17,,
4:21.0,M. Ginobili enters the game for T. Splitter,,14-17,,
4:21.0,C. Joseph enters the game for T. Parker,,14-17,,
4:21.0,,,14-17,,K. O'Quinn enters the game for D. Dedmon
4:21.0,,,14-17,,M. Harkless enters the game for N. Vucevic
4:08.0,,,14-17,,T. Harris misses 2-pt shot at rim
4:07.0,,,14-17,,Offensive rebound by M. Harkless
4:07.0,,,14-17,,M. Harkless misses 2-pt shot from 1 ft
4:06.0,,,14-17,,Offensive rebound by M. Harkless
4:06.0,,,14-17,,M. Harkless misses 2-pt shot from 1 ft
4:04.0,Defensive rebound by M. Belinelli,,14-17,,
3:53.0,Shooting foul by T. Harris (drawn by A. Baynes),,14-17,,
3:53.0,A. Baynes makes free throw 1 of 2,1,15-17,,
3:53.0,A. Baynes makes free throw 2 of 2,1,16-17,,
3:38.0,,,16-17,,M. Harkless misses 3-pt shot from 23 ft
3:37.0,Defensive rebound by C. Joseph,,16-17,,
3:27.0,Turnover by B. Diaw (bad pass; steal by E. Payton),,16-17,,
3:22.0,,,16-19,2,E. Payton makes 2-pt shot at rim
3:05.0,M. Ginobili makes 2-pt shot from 1 ft,2,18-19,,
2:49.0,,,18-19,,E. Payton misses 2-pt shot from 3 ft
2:49.0,Defensive rebound by B. Diaw,,18-19,,
2:39.0,M. Ginobili misses 3-pt shot from 24 ft,,18-19,,
2:38.0,,,18-19,,Defensive rebound by M. Harkless
2:25.0,,,18-19,,V. Oladipo misses 3-pt shot from 23 ft
2:25.0,Defensive rebound by C. Joseph,,18-19,,
2:15.0,B. Diaw misses 2-pt shot at rim,,18-19,,
2:14.0,Offensive rebound by A. Baynes,,18-19,,
2:12.0,A. Baynes makes 2-pt shot from 1 ft,2,20-19,,
1:54.0,,,20-19,,K. O'Quinn misses 2-pt shot from 19 ft
1:53.0,Defensive rebound by C. Joseph,,20-19,,
1:36.0,M. Belinelli misses 3-pt shot from 25 ft,,20-19,,
1:35.0,,,20-19,,Defensive rebound by K. O'Quinn
1:17.0,,,20-19,,E. Payton misses 2-pt shot from 8 ft
1:15.0,,,20-19,,Offensive rebound by E. Payton
1:15.0,,,20-19,,E. Payton misses 2-pt shot at rim
1:12.0,Defensive rebound by A. Baynes,,20-19,,
1:02.0,M. Ginobili makes 3-pt shot from 24 ft (assist by C. Joseph),3,23-19,,
1:01.0,,,23-19,,Orlando full timeout
1:01.0,,,23-19,,L. Ridnour enters the game for T. Harris
1:01.0,,,23-19,,A. Nicholson enters the game for E. Payton
0:41.0,,,23-19,,Turnover by V. Oladipo (bad pass)
0:30.0,B. Diaw misses 3-pt shot from 24 ft,,23-19,,
0:28.0,,,23-19,,Defensive rebound by K. O'Quinn
0:02.0,,,23-19,,L. Ridnour misses 3-pt shot from 24 ft
0:01.0,Defensive rebound by B. Diaw,,23-19,,
0:00.0,C. Joseph misses 3-pt shot from 40 ft,,23-19,,
0:00.0,Offensive rebound by Team,,23-19,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:37.0,,,23-19,,A. Nicholson misses 2-pt shot from 20 ft
11:36.0,Defensive rebound by B. Diaw,,23-19,,
11:27.0,Turnover by A. Baynes (lost ball; steal by K. O'Quinn),,23-19,,
11:17.0,,,23-19,,L. Ridnour misses 2-pt shot from 1 ft (block by A. Baynes)
11:16.0,Defensive rebound by C. Joseph,,23-19,,
11:08.0,B. Diaw makes 3-pt shot from 24 ft (assist by M. Belinelli),3,26-19,,
10:45.0,,,26-19,,A. Nicholson misses 2-pt shot from 18 ft
10:44.0,Defensive rebound by M. Belinelli,,26-19,,
10:26.0,,,26-19,,N. Vucevic enters the game for K. O'Quinn
10:22.0,M. Ginobili misses 3-pt shot from 24 ft,,26-19,,
10:21.0,,,26-19,,Defensive rebound by N. Vucevic
10:01.0,,,26-21,2,W. Green makes 2-pt shot from 17 ft (assist by L. Ridnour)
9:48.0,A. Baynes makes 2-pt shot from 2 ft (assist by B. Diaw),2,28-21,,
9:38.0,,,28-21,,L. Ridnour misses 2-pt shot from 17 ft
9:37.0,Defensive rebound by M. Ginobili,,28-21,,
9:30.0,A. Baynes makes 2-pt shot at rim (assist by M. Ginobili),2,30-21,,
9:30.0,,,30-21,,Orlando full timeout
9:30.0,T. Parker enters the game for A. Baynes,,30-21,,
9:30.0,T. Splitter enters the game for C. Joseph,,30-21,,
9:18.0,,,30-21,,Turnover by W. Green (bad pass; steal by B. Diaw)
9:03.0,M. Belinelli makes 3-pt shot from 25 ft (assist by B. Diaw),3,33-21,,
8:46.0,,,33-21,,Turnover by A. Gordon (lost ball; steal by M. Belinelli)
8:36.0,M. Belinelli misses 3-pt shot from 26 ft,,33-21,,
8:36.0,,,33-21,,Defensive rebound by N. Vucevic
8:33.0,,,33-21,,Turnover by N. Vucevic (lost ball; steal by M. Ginobili)
8:26.0,M. Belinelli makes 3-pt shot from 24 ft (assist by T. Parker),3,36-21,,
8:24.0,,,36-21,,Orlando full timeout
8:24.0,K. Leonard enters the game for M. Ginobili,,36-21,,
8:24.0,,,36-21,,V. Oladipo enters the game for A. Nicholson
8:24.0,,,36-21,,T. Harris enters the game for L. Ridnour
8:24.0,,,36-21,,D. Dedmon enters the game for W. Green
8:24.0,,,36-21,,E. Payton enters the game for A. Gordon
8:05.0,,,36-23,2,D. Dedmon makes 2-pt shot from 1 ft (assist by N. Vucevic)
8:05.0,,,36-23,,Shooting foul by T. Parker (drawn by D. Dedmon)
8:05.0,,,36-24,1,D. Dedmon makes free throw 1 of 1
7:42.0,T. Parker misses 2-pt shot from 19 ft,,36-24,,
7:41.0,Offensive rebound by Team,,36-24,,
7:41.0,D. Green enters the game for M. Belinelli,,36-24,,
7:41.0,Jump ball: T. Splitter vs. N. Vucevic (D. Green gains possession),,,,Jump ball: T. Splitter vs. N. Vucevic (D. Green gains possession)
7:25.0,,,36-24,,Personal foul by D. Dedmon (drawn by B. Diaw)
7:14.0,B. Diaw misses 3-pt shot from 25 ft,,36-24,,
7:13.0,,,36-24,,Defensive rebound by E. Payton
7:04.0,,,36-26,2,N. Vucevic makes 2-pt shot from 16 ft (assist by V. Oladipo)
6:47.0,T. Parker makes 3-pt shot from 24 ft (assist by B. Diaw),3,39-26,,
6:30.0,,,39-26,,V. Oladipo misses 2-pt shot at rim
6:29.0,Defensive rebound by K. Leonard,,39-26,,
6:20.0,K. Leonard misses 2-pt shot from 12 ft,,39-26,,
6:19.0,,,39-26,,Defensive rebound by N. Vucevic
6:13.0,,,39-26,,E. Payton misses 2-pt shot from 2 ft (block by B. Diaw)
6:10.0,Defensive rebound by K. Leonard,,39-26,,
6:03.0,T. Splitter misses 2-pt shot at rim,,39-26,,
6:02.0,Offensive rebound by T. Splitter,,39-26,,
6:02.0,T. Splitter makes 2-pt shot at rim,2,41-26,,
5:45.0,,,41-26,,Turnover by V. Oladipo (lost ball; steal by B. Diaw)
5:31.0,T. Splitter makes 2-pt shot at rim (assist by K. Leonard),2,43-26,,
5:15.0,,,43-26,,T. Harris misses 2-pt shot from 22 ft
5:14.0,,,43-26,,Offensive rebound by V. Oladipo
4:56.0,T. Duncan enters the game for B. Diaw,,43-26,,
4:49.0,,,43-26,,N. Vucevic misses 3-pt shot from 32 ft
4:49.0,,,43-26,,Offensive rebound by D. Dedmon
4:43.0,,,43-28,2,T. Harris makes 2-pt shot at rim (assist by E. Payton)
4:43.0,San Antonio full timeout,,43-28,,
4:26.0,T. Parker misses 2-pt shot from 19 ft,,43-28,,
4:25.0,,,43-28,,Defensive rebound by T. Harris
4:07.0,,,43-30,2,E. Payton makes 2-pt shot from 5 ft (assist by N. Vucevic)
3:44.0,T. Duncan misses 2-pt shot from 22 ft,,43-30,,
3:43.0,,,43-30,,Defensive rebound by E. Payton
3:34.0,,,43-32,2,N. Vucevic makes 2-pt shot from 21 ft (assist by E. Payton)
3:12.0,Turnover by T. Splitter (3 sec),,43-32,,
2:55.0,,,43-32,,T. Harris misses 2-pt shot from 19 ft
2:54.0,,,43-32,,Offensive rebound by E. Payton
2:53.0,,,43-34,2,E. Payton makes 2-pt shot from 1 ft
2:52.0,San Antonio full timeout,,43-34,,
2:52.0,M. Belinelli enters the game for K. Leonard,,43-34,,
2:52.0,M. Ginobili enters the game for T. Duncan,,43-34,,
2:52.0,A. Baynes enters the game for T. Splitter,,43-34,,
2:52.0,C. Joseph enters the game for D. Green,,43-34,,
2:52.0,B. Diaw enters the game for T. Parker,,43-34,,
2:44.0,B. Diaw makes 2-pt shot from 1 ft,2,45-34,,
2:44.0,,,45-34,,Shooting block foul by V. Oladipo (drawn by B. Diaw)
2:44.0,B. Diaw makes free throw 1 of 1,1,46-34,,
2:25.0,,,46-34,,Turnover by D. Dedmon (offensive goaltending)
2:11.0,M. Belinelli makes 2-pt shot from 16 ft,2,48-34,,
1:55.0,,,48-37,3,V. Oladipo makes 3-pt shot from 23 ft (assist by T. Harris)
1:43.0,C. Joseph makes 2-pt shot from 21 ft (assist by M. Ginobili),2,50-37,,
1:28.0,,,50-37,,N. Vucevic misses 2-pt shot from 5 ft
1:26.0,,,50-37,,Offensive rebound by E. Payton
1:26.0,,,50-37,,E. Payton misses 2-pt shot at rim
1:25.0,Defensive rebound by Team,,50-37,,
1:20.0,Shooting foul by D. Dedmon (drawn by A. Baynes),,50-37,,
1:20.0,A. Baynes makes free throw 1 of 2,1,51-37,,
1:20.0,A. Baynes makes free throw 2 of 2,1,52-37,,
1:06.0,,,52-39,2,V. Oladipo makes 2-pt shot from 14 ft (assist by N. Vucevic)
0:49.0,A. Baynes misses 2-pt shot from 1 ft (block by N. Vucevic),,52-39,,
0:47.0,,,52-39,,Defensive rebound by T. Harris
0:43.0,,,52-39,,Shooting foul by A. Baynes (drawn by T. Harris)
0:43.0,,,52-39,,T. Harris misses free throw 1 of 2
0:43.0,,,52-39,,Offensive rebound by Team
0:43.0,,,52-39,,A. Gordon enters the game for D. Dedmon
0:43.0,,,52-40,1,T. Harris makes free throw 2 of 2
0:32.0,M. Ginobili misses 2-pt shot from 18 ft,,52-40,,
0:32.0,,,52-40,,Defensive rebound by N. Vucevic
0:11.0,,,52-40,,A. Gordon misses 3-pt shot from 23 ft
0:11.0,Defensive rebound by M. Ginobili,,52-40,,
0:00.0,A. Baynes misses 2-pt shot at rim (block by E. Payton),,52-40,,
0:00.0,Offensive rebound by Team,,52-40,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:45.0,,,52-40,,T. Harris misses 3-pt shot from 23 ft
11:44.0,Defensive rebound by T. Splitter,,52-40,,
11:25.0,Shooting foul by D. Dedmon (drawn by T. Duncan),,52-40,,
11:25.0,T. Duncan makes free throw 1 of 2,1,53-40,,
11:25.0,T. Duncan makes free throw 2 of 2,1,54-40,,
11:12.0,,,54-40,,N. Vucevic misses 2-pt shot from 19 ft
11:11.0,Defensive rebound by K. Leonard,,54-40,,
10:57.0,T. Splitter misses 2-pt shot from 1 ft,,54-40,,
10:56.0,,,54-40,,Defensive rebound by D. Dedmon
10:49.0,,,54-42,2,D. Dedmon makes 2-pt shot at rim (assist by E. Payton)
10:35.0,T. Splitter misses 2-pt shot from 5 ft,,54-42,,
10:34.0,,,54-42,,Defensive rebound by V. Oladipo
10:26.0,,,54-42,,Turnover by E. Payton (bad pass)
10:08.0,T. Duncan misses 2-pt shot from 9 ft,,54-42,,
10:07.0,Offensive rebound by T. Splitter,,54-42,,
10:07.0,Shooting foul by E. Payton (drawn by T. Splitter),,54-42,,
10:07.0,T. Splitter makes free throw 1 of 2,1,55-42,,
10:07.0,T. Splitter makes free throw 2 of 2,1,56-42,,
9:57.0,,,56-42,,Shooting foul by D. Green (drawn by V. Oladipo)
9:57.0,,,56-43,1,V. Oladipo makes free throw 1 of 2
9:57.0,,,56-44,1,V. Oladipo makes free throw 2 of 2
9:40.0,T. Duncan makes 2-pt shot from 8 ft,2,58-44,,
9:16.0,,,58-44,,N. Vucevic misses 2-pt shot from 8 ft
9:16.0,Defensive rebound by T. Duncan,,58-44,,
9:09.0,K. Leonard misses 2-pt shot from 7 ft,,58-44,,
9:08.0,Offensive rebound by T. Splitter,,58-44,,
9:08.0,T. Splitter makes 2-pt shot from 2 ft,2,60-44,,
8:54.0,,,60-46,2,E. Payton makes 2-pt shot from 1 ft
8:41.0,Shooting foul by D. Dedmon (drawn by T. Parker),,60-46,,
8:41.0,T. Parker makes free throw 1 of 2,1,61-46,,
8:41.0,,,61-46,,A. Nicholson enters the game for D. Dedmon
8:41.0,T. Parker makes free throw 2 of 2,1,62-46,,
8:26.0,,,62-46,,A. Nicholson misses 2-pt shot from 5 ft
8:25.0,Defensive rebound by T. Duncan,,62-46,,
8:08.0,T. Duncan misses 2-pt shot from 7 ft (block by N. Vucevic),,62-46,,
8:06.0,Offensive rebound by K. Leonard,,62-46,,
8:05.0,T. Duncan makes 2-pt shot from 1 ft,2,64-46,,
7:41.0,,,64-46,,V. Oladipo misses 2-pt shot from 1 ft
7:41.0,Defensive rebound by D. Green,,64-46,,
7:32.0,T. Parker misses 2-pt shot from 15 ft,,64-46,,
7:31.0,,,64-46,,Defensive rebound by N. Vucevic
7:23.0,,,64-46,,E. Payton misses 2-pt shot from 1 ft
7:23.0,Defensive rebound by T. Duncan,,64-46,,
7:06.0,Shooting foul by E. Payton (drawn by T. Duncan),,64-46,,
7:06.0,T. Duncan misses free throw 1 of 2,,64-46,,
7:06.0,Offensive rebound by Team,,64-46,,
7:06.0,T. Duncan misses free throw 2 of 2,,64-46,,
7:05.0,,,64-46,,Defensive rebound by A. Nicholson
6:54.0,,,64-48,2,V. Oladipo makes 2-pt shot from 13 ft (assist by E. Payton)
6:52.0,San Antonio full timeout,,64-48,,
6:52.0,M. Ginobili enters the game for T. Duncan,,64-48,,
6:52.0,B. Diaw enters the game for D. Green,,64-48,,
6:38.0,Shooting foul by E. Payton (drawn by M. Ginobili),,64-48,,
6:38.0,M. Ginobili makes free throw 1 of 2,1,65-48,,
6:38.0,M. Ginobili makes free throw 2 of 2,1,66-48,,
6:26.0,,,66-50,2,N. Vucevic makes 2-pt shot at rim (assist by A. Nicholson)
6:08.0,K. Leonard makes 3-pt shot from 23 ft (assist by T. Splitter),3,69-50,,
5:49.0,,,69-50,,Orlando full timeout
5:40.0,,,69-50,,V. Oladipo misses 2-pt shot from 15 ft
5:40.0,Defensive rebound by K. Leonard,,69-50,,
5:26.0,A. Baynes enters the game for T. Splitter,,69-50,,
5:21.0,Turnover by M. Ginobili (bad pass; steal by E. Payton),,69-50,,
5:11.0,,,69-52,2,T. Harris makes 2-pt shot at rim
4:58.0,T. Parker misses 2-pt shot from 7 ft,,69-52,,
4:58.0,,,69-52,,Defensive rebound by A. Nicholson
4:45.0,,,69-54,2,N. Vucevic makes 2-pt shot at rim (assist by V. Oladipo)
4:33.0,B. Diaw makes 3-pt shot from 25 ft (assist by T. Parker),3,72-54,,
4:17.0,Personal foul by M. Ginobili (drawn by V. Oladipo),,72-54,,
4:17.0,M. Belinelli enters the game for K. Leonard,,72-54,,
4:17.0,C. Joseph enters the game for T. Parker,,72-54,,
4:08.0,,,72-54,,Turnover by T. Harris (lost ball; steal by M. Ginobili)
3:58.0,,,72-54,,Violation by E. Payton (kicked ball)
3:58.0,,,72-54,,W. Green enters the game for V. Oladipo
3:56.0,Turnover by M. Belinelli (bad pass; steal by W. Green),,72-54,,
3:42.0,,,72-54,,T. Harris misses 3-pt shot from 25 ft
3:41.0,Defensive rebound by A. Baynes,,72-54,,
3:29.0,A. Baynes misses 2-pt shot from 19 ft,,72-54,,
3:28.0,Offensive rebound by B. Diaw,,72-54,,
3:13.0,M. Ginobili makes 3-pt shot from 23 ft (assist by M. Belinelli),3,75-54,,
2:56.0,,,75-56,2,N. Vucevic makes 2-pt shot from 7 ft
2:44.0,M. Ginobili makes 3-pt shot from 25 ft,3,78-56,,
2:39.0,,,78-56,,Orlando full timeout
2:39.0,,,78-56,,D. Dedmon enters the game for N. Vucevic
2:39.0,,,78-56,,L. Ridnour enters the game for E. Payton
2:34.0,,,78-56,,W. Green misses 3-pt shot from 23 ft
2:34.0,Defensive rebound by M. Ginobili,,78-56,,
2:25.0,A. Baynes makes 2-pt shot at rim (assist by M. Ginobili),2,80-56,,
2:10.0,,,80-56,,Turnover by A. Nicholson (bad pass)
1:53.0,A. Baynes misses 2-pt shot from 5 ft,,80-56,,
1:52.0,,,80-56,,Defensive rebound by D. Dedmon
1:35.0,,,80-56,,A. Nicholson misses 3-pt shot from 25 ft
1:35.0,Defensive rebound by C. Joseph,,80-56,,
1:18.0,C. Joseph misses 2-pt shot from 19 ft,,80-56,,
1:18.0,,,80-56,,Defensive rebound by D. Dedmon
1:11.0,,,80-56,,L. Ridnour misses 3-pt shot from 24 ft
1:10.0,Defensive rebound by M. Belinelli,,80-56,,
0:49.0,M. Belinelli misses 2-pt shot from 8 ft,,80-56,,
0:48.0,,,80-56,,Defensive rebound by D. Dedmon
0:31.0,,,80-58,2,A. Nicholson makes 2-pt shot from 7 ft (assist by W. Green)
0:12.0,B. Diaw misses 3-pt shot from 26 ft,,80-58,,
0:11.0,,,80-58,,Defensive rebound by D. Dedmon
0:05.0,,,80-60,2,T. Harris makes 2-pt shot from 2 ft
0:01.0,C. Joseph makes 2-pt shot from 2 ft,2,82-60,,
0:00.0,,,82-60,,A. Nicholson misses 3-pt shot from 36 ft
0:00.0,,,82-60,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:42.0,P. Mills misses 3-pt shot from 25 ft,,82-60,,
11:42.0,,,82-60,,Defensive rebound by D. Dedmon
11:20.0,,,82-62,2,V. Oladipo makes 2-pt shot from 17 ft
11:03.0,M. Bonner makes 2-pt shot from 8 ft,2,84-62,,
10:42.0,,,84-62,,A. Nicholson misses 3-pt shot from 24 ft
10:41.0,Defensive rebound by M. Belinelli,,84-62,,
10:28.0,,,84-62,,Personal foul by D. Dedmon (drawn by M. Belinelli)
10:20.0,M. Belinelli misses 2-pt shot from 20 ft,,84-62,,
10:20.0,,,84-62,,Defensive rebound by D. Dedmon
10:00.0,,,84-64,2,V. Oladipo makes 2-pt shot from 18 ft
9:41.0,Shooting foul by D. Dedmon (drawn by A. Baynes),,84-64,,
9:41.0,,,84-64,,A. Gordon enters the game for D. Dedmon
9:41.0,A. Baynes makes free throw 1 of 2,1,85-64,,
9:41.0,A. Baynes makes free throw 2 of 2,1,86-64,,
9:29.0,Personal foul by C. Joseph (drawn by V. Oladipo),,86-64,,
9:21.0,,,86-67,3,L. Ridnour makes 3-pt shot from 26 ft (assist by V. Oladipo)
9:09.0,M. Bonner misses 3-pt shot from 27 ft,,86-67,,
9:08.0,Offensive rebound by P. Mills,,86-67,,
9:04.0,P. Mills makes 3-pt shot from 23 ft (assist by C. Joseph),3,89-67,,
8:43.0,,,89-70,3,L. Ridnour makes 3-pt shot from 22 ft (assist by V. Oladipo)
8:33.0,C. Joseph misses 2-pt shot from 1 ft (block by A. Nicholson),,89-70,,
8:32.0,,,89-70,,Defensive rebound by A. Gordon
8:28.0,,,89-72,2,W. Green makes 2-pt shot from 1 ft (assist by A. Gordon)
8:16.0,,,89-72,,Personal foul by A. Nicholson (drawn by P. Mills)
8:16.0,Official timeout,,89-72,,
8:16.0,,,89-72,,T. Harris enters the game for A. Nicholson
8:16.0,B. Diaw enters the game for M. Bonner,,89-72,,
8:05.0,C. Joseph makes 2-pt shot from 17 ft,2,91-72,,
7:42.0,,,91-72,,V. Oladipo misses 2-pt shot from 1 ft
7:41.0,Defensive rebound by A. Baynes,,91-72,,
7:32.0,B. Diaw misses 2-pt shot from 3 ft,,91-72,,
7:31.0,Offensive rebound by A. Baynes,,91-72,,
7:31.0,A. Baynes misses 2-pt shot from 1 ft,,91-72,,
7:29.0,,,91-72,,Defensive rebound by V. Oladipo
7:28.0,,,91-72,,Turnover by V. Oladipo (bad pass; steal by P. Mills)
7:27.0,Shooting foul by A. Gordon (drawn by A. Baynes),,91-72,,
7:27.0,A. Baynes makes free throw 1 of 2,1,92-72,,
7:27.0,A. Baynes makes free throw 2 of 2,1,93-72,,
7:18.0,,,93-72,,Shooting foul by C. Joseph (drawn by V. Oladipo)
7:18.0,,,93-73,1,V. Oladipo makes free throw 1 of 2
7:18.0,,,93-74,1,V. Oladipo makes free throw 2 of 2
7:07.0,M. Belinelli misses 3-pt shot from 24 ft,,93-74,,
7:06.0,,,93-74,,Defensive rebound by T. Harris
6:56.0,,,93-74,,V. Oladipo misses 2-pt shot from 2 ft
6:55.0,Defensive rebound by C. Joseph,,93-74,,
6:51.0,B. Diaw makes 2-pt shot from 1 ft (assist by M. Belinelli),2,95-74,,
6:51.0,,,95-74,,Orlando full timeout
6:51.0,,,95-74,,E. Payton enters the game for W. Green
6:34.0,,,95-74,,T. Harris misses 2-pt shot from 6 ft
6:33.0,Defensive rebound by P. Mills,,95-74,,
6:15.0,M. Belinelli makes 3-pt shot from 24 ft (assist by B. Diaw),3,98-74,,
6:00.0,,,98-74,,V. Oladipo misses 2-pt shot from 19 ft
5:59.0,Defensive rebound by C. Joseph,,98-74,,
5:45.0,,,98-74,,Personal foul by A. Gordon (drawn by M. Belinelli)
5:45.0,M. Belinelli makes free throw 1 of 2,1,99-74,,
5:45.0,J. Ayres enters the game for B. Diaw,,99-74,,
5:45.0,,,99-74,,N. Vucevic enters the game for A. Gordon
5:45.0,M. Bonner enters the game for A. Baynes,,99-74,,
5:45.0,M. Belinelli misses free throw 2 of 2,,99-74,,
5:44.0,,,99-74,,Defensive rebound by T. Harris
5:20.0,,,99-74,,N. Vucevic misses 2-pt shot from 16 ft
5:20.0,Defensive rebound by P. Mills,,99-74,,
5:13.0,J. Ayres misses 2-pt shot from 1 ft,,99-74,,
5:12.0,,,99-74,,Defensive rebound by T. Harris
5:06.0,,,99-76,2,T. Harris makes 2-pt shot from 2 ft
4:48.0,C. Joseph makes 2-pt shot from 17 ft,2,101-76,,
4:35.0,,,101-78,2,N. Vucevic makes 2-pt shot from 5 ft (assist by E. Payton)
4:19.0,J. Ayres makes 2-pt shot from 12 ft (assist by P. Mills),2,103-78,,
4:04.0,,,103-80,2,N. Vucevic makes 2-pt shot from 6 ft (assist by V. Oladipo)
3:50.0,M. Belinelli misses 2-pt shot from 6 ft,,103-80,,
3:50.0,,,103-80,,Defensive rebound by Team
3:36.0,,,103-82,2,V. Oladipo makes 2-pt shot from 15 ft
3:21.0,P. Mills misses 3-pt shot from 24 ft,,103-82,,
3:21.0,,,103-82,,Defensive rebound by T. Harris
3:09.0,,,103-82,,Shooting foul by C. Joseph (drawn by T. Harris)
3:09.0,,,103-83,1,T. Harris makes free throw 1 of 2
3:09.0,,,103-83,,A. Gordon enters the game for L. Ridnour
3:09.0,,,103-84,1,T. Harris makes free throw 2 of 2
2:54.0,Turnover by M. Belinelli (bad pass),,103-84,,
2:54.0,San Antonio full timeout,,103-84,,
