time,Cleveland,pts.away,score,pts.home,Oklahoma City
2:12.0,,,22-16,2,J. Lamb makes 2-pt shot at rim
1:57.0,K. Irving misses 2-pt shot from 15 ft,,22-16,,
1:56.0,,,22-16,,Defensive rebound by Team
1:55.0,M. Dellavedova enters the game for K. Irving,,22-16,,
1:42.0,,,22-18,2,R. Jackson makes 2-pt shot from 17 ft
1:30.0,M. Dellavedova makes 3-pt shot from 24 ft (assist by D. Waiters),3,25-18,,
1:07.0,,,25-18,,Turnover by K. Perkins (3 sec)
0:56.0,Turnover by D. Waiters (lost ball; steal by N. Collison),,25-18,,
0:48.0,,,25-18,,J. Lamb misses 3-pt shot from 25 ft
0:47.0,Defensive rebound by K. Love,,25-18,,
0:38.0,Shooting foul by N. Collison (drawn by T. Thompson),,25-18,,
0:38.0,T. Thompson makes free throw 1 of 2,1,26-18,,
0:38.0,A. Varejao enters the game for K. Love,,26-18,,
0:38.0,,,26-18,,K. Durant enters the game for N. Collison
0:38.0,T. Thompson misses free throw 2 of 2,,26-18,,
0:38.0,,,26-18,,Defensive rebound by K. Durant
0:31.0,,,26-18,,K. Durant misses 3-pt shot from 24 ft
0:31.0,Defensive rebound by T. Thompson,,26-18,,
0:06.0,A. Varejao misses 2-pt shot from 15 ft (block by K. Perkins),,26-18,,
0:05.0,,,26-18,,Defensive rebound by R. Jackson
0:00.0,,,26-18,,R. Jackson misses 3-pt shot from 29 ft
0:00.0,Defensive rebound by Team,,26-18,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:36.0,D. Waiters makes 2-pt shot from 20 ft,2,28-18,,
11:21.0,,,28-18,,J. Lamb misses 3-pt shot from 25 ft
11:20.0,Defensive rebound by D. Waiters,,28-18,,
11:13.0,J. Jones misses 3-pt shot from 25 ft,,28-18,,
11:12.0,,,28-18,,Defensive rebound by K. Perkins
11:04.0,,,28-20,2,K. Durant makes 2-pt shot at rim (assist by R. Jackson)
10:52.0,D. Waiters misses 2-pt shot at rim (block by K. Perkins),,28-20,,
10:51.0,,,28-20,,Defensive rebound by K. Perkins
10:46.0,,,28-20,,J. Lamb misses 2-pt shot from 1 ft
10:46.0,Defensive rebound by Team,,28-20,,
10:46.0,,,28-20,,Loose ball foul by K. Perkins
10:31.0,Shooting foul by K. Perkins (drawn by J. Jones),,28-20,,
10:31.0,J. Jones makes free throw 1 of 3,1,29-20,,
10:31.0,J. Jones makes free throw 2 of 3,1,30-20,,
10:31.0,J. Jones makes free throw 3 of 3,1,31-20,,
10:23.0,,,31-20,,Shooting foul by T. Thompson (drawn by K. Durant)
10:23.0,,,31-21,1,K. Durant makes free throw 1 of 2
10:23.0,S. Marion enters the game for J. Jones,,31-21,,
10:23.0,,,31-22,1,K. Durant makes free throw 2 of 2
10:00.0,D. Waiters misses 2-pt shot from 2 ft,,31-22,,
9:58.0,,,31-22,,Defensive rebound by K. Perkins
9:45.0,,,31-22,,A. Morrow misses 2-pt shot from 15 ft
9:44.0,Defensive rebound by T. Thompson,,31-22,,
9:37.0,S. Marion misses 2-pt shot from 15 ft,,31-22,,
9:36.0,Offensive rebound by T. Thompson,,31-22,,
9:36.0,T. Thompson misses 2-pt shot from 1 ft,,31-22,,
9:34.0,,,31-22,,Defensive rebound by R. Jackson
9:25.0,,,31-24,2,K. Perkins makes 2-pt shot at rim (assist by R. Jackson)
9:11.0,K. Irving enters the game for D. Waiters,,31-24,,
9:11.0,Cleveland full timeout,,31-24,,
9:11.0,K. Love enters the game for T. Thompson,,31-24,,
9:02.0,A. Varejao misses 2-pt shot at rim,,31-24,,
9:01.0,,,31-24,,Defensive rebound by J. Lamb
8:52.0,,,31-27,3,J. Lamb makes 3-pt shot from 24 ft (assist by K. Durant)
8:33.0,Shooting foul by R. Jackson (drawn by K. Irving),,31-27,,
8:33.0,K. Irving makes free throw 1 of 2,1,32-27,,
8:33.0,,,32-27,,R. Westbrook enters the game for A. Morrow
8:33.0,K. Irving makes free throw 2 of 2,1,33-27,,
8:20.0,,,33-27,,K. Durant misses 2-pt shot from 11 ft
8:18.0,Defensive rebound by K. Love,,33-27,,
8:12.0,M. Dellavedova makes 3-pt shot from 24 ft (assist by K. Irving),3,36-27,,
7:59.0,,,36-29,2,R. Jackson makes 2-pt shot from 4 ft
7:46.0,M. Dellavedova misses 3-pt shot from 22 ft,,36-29,,
7:46.0,,,36-29,,Defensive rebound by R. Westbrook
7:43.0,Personal foul by K. Irving (drawn by R. Westbrook),,36-29,,
7:35.0,,,36-29,,R. Jackson misses 3-pt shot from 23 ft
7:35.0,Defensive rebound by M. Dellavedova,,36-29,,
7:14.0,K. Irving misses 3-pt shot from 23 ft,,36-29,,
7:11.0,,,36-29,,Defensive rebound by R. Westbrook
7:08.0,,,36-29,,Shooting foul by S. Marion (drawn by K. Durant)
7:08.0,,,36-30,1,K. Durant makes free throw 1 of 2
7:08.0,,,36-30,,S. Ibaka enters the game for R. Jackson
7:08.0,,,36-31,1,K. Durant makes free throw 2 of 2
6:53.0,K. Irving misses 3-pt shot from 24 ft,,36-31,,
6:53.0,Offensive rebound by A. Varejao,,36-31,,
6:43.0,S. Marion misses 3-pt shot from 22 ft,,36-31,,
6:41.0,,,36-31,,Defensive rebound by K. Durant
6:40.0,,,36-31,,Personal foul by S. Ibaka (drawn by K. Love)
6:40.0,Personal foul by K. Love,,36-31,,
6:27.0,,,36-33,2,R. Westbrook makes 2-pt shot from 19 ft
6:09.0,K. Love misses 2-pt shot from 1 ft (block by K. Perkins),,36-33,,
6:07.0,Offensive rebound by K. Love,,36-33,,
6:04.0,A. Varejao makes 2-pt shot from 14 ft (assist by K. Love),2,38-33,,
5:56.0,,,38-33,,J. Lamb misses 3-pt shot from 24 ft
5:55.0,Defensive rebound by M. Dellavedova,,38-33,,
5:52.0,Turnover by M. Dellavedova (lost ball; steal by J. Lamb),,38-33,,
5:44.0,,,38-33,,K. Perkins misses 2-pt shot from 6 ft
5:43.0,Defensive rebound by K. Irving,,38-33,,
5:25.0,Turnover by K. Love (lost ball; steal by R. Westbrook),,38-33,,
5:19.0,,,38-35,2,J. Lamb makes 2-pt shot from 8 ft (assist by R. Westbrook)
5:12.0,Cleveland full timeout,,38-35,,
5:11.0,Official timeout,,38-35,,
5:11.0,,,38-35,,N. Collison enters the game for K. Perkins
5:11.0,D. Waiters enters the game for M. Dellavedova,,38-35,,
5:11.0,T. Thompson enters the game for A. Varejao,,38-35,,
5:01.0,D. Waiters misses 3-pt shot from 23 ft,,38-35,,
5:00.0,,,38-35,,Defensive rebound by R. Westbrook
4:54.0,,,38-37,2,S. Ibaka makes 2-pt shot from 4 ft (assist by R. Westbrook)
4:40.0,K. Irving misses 2-pt shot from 3 ft,,38-37,,
4:39.0,,,38-37,,Defensive rebound by J. Lamb
4:25.0,Violation by K. Love (kicked ball),,38-37,,
4:11.0,,,38-37,,Turnover by S. Ibaka (step out of bounds)
3:47.0,S. Marion misses 2-pt shot from 12 ft,,38-37,,
3:46.0,,,38-37,,Defensive rebound by N. Collison
3:46.0,,,38-37,,R. Jackson enters the game for K. Durant
3:46.0,Jump ball: N. Collison vs. T. Thompson (J. Lamb gains possession),,,,Jump ball: N. Collison vs. T. Thompson (J. Lamb gains possession)
3:24.0,,,38-39,2,R. Jackson makes 2-pt shot from 1 ft
3:06.0,K. Irving misses 2-pt shot from 1 ft,,38-39,,
3:05.0,Offensive rebound by K. Irving,,38-39,,
3:01.0,Shooting foul by J. Lamb (drawn by D. Waiters),,38-39,,
3:01.0,D. Waiters makes free throw 1 of 2,1,39-39,,
3:01.0,,,39-39,,A. Morrow enters the game for J. Lamb
3:01.0,D. Waiters makes free throw 2 of 2,1,40-39,,
2:49.0,,,40-39,,Shooting foul by S. Marion (drawn by N. Collison)
2:49.0,,,40-39,,Oklahoma City full timeout
2:49.0,,,40-40,1,N. Collison makes free throw 1 of 2
2:49.0,,,40-41,1,N. Collison makes free throw 2 of 2
2:37.0,Turnover by K. Love (lost ball; steal by N. Collison),,40-41,,
2:24.0,,,40-41,,A. Morrow misses 3-pt shot from 22 ft
2:23.0,,,40-41,,Offensive rebound by N. Collison
2:22.0,,,40-41,,N. Collison misses 2-pt shot at rim
2:20.0,Defensive rebound by S. Marion,,40-41,,
2:15.0,K. Irving misses 2-pt shot from 1 ft,,40-41,,
2:14.0,Offensive rebound by T. Thompson,,40-41,,
2:12.0,T. Thompson misses 2-pt shot from 1 ft,,40-41,,
2:10.0,,,40-41,,Defensive rebound by R. Jackson
2:06.0,,,40-43,2,R. Westbrook makes 2-pt shot at rim (assist by R. Jackson)
1:47.0,,,40-43,,Personal foul by A. Morrow (drawn by K. Love)
1:47.0,K. Love misses free throw 1 of 2,,40-43,,
1:47.0,Offensive rebound by Team,,40-43,,
1:47.0,M. Dellavedova enters the game for S. Marion,,40-43,,
1:47.0,K. Love misses free throw 2 of 2,,40-43,,
1:46.0,,,40-43,,Defensive rebound by A. Morrow
1:32.0,,,40-43,,R. Westbrook misses 2-pt shot from 15 ft
1:31.0,Defensive rebound by Team,,40-43,,
1:31.0,,,40-43,,Loose ball foul by S. Ibaka (drawn by T. Thompson)
1:31.0,Cleveland full timeout,,40-43,,
1:31.0,A. Price enters the game for K. Irving,,40-43,,
1:31.0,T. Thompson makes free throw 1 of 2,1,41-43,,
1:31.0,T. Thompson makes free throw 2 of 2,1,42-43,,
1:16.0,,,42-45,2,R. Westbrook makes 2-pt shot from 5 ft (assist by N. Collison)
1:02.0,D. Waiters makes 2-pt shot from 19 ft,2,44-45,,
0:37.0,,,44-47,2,A. Morrow makes 2-pt shot from 4 ft (assist by S. Ibaka)
0:25.0,D. Waiters misses 3-pt shot from 24 ft,,44-47,,
0:24.0,Offensive rebound by M. Dellavedova,,44-47,,
0:02.0,D. Waiters makes 3-pt shot from 22 ft (assist by M. Dellavedova),3,47-47,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:38.0,K. Irving makes 2-pt shot from 6 ft (assist by K. Love),2,49-47,,
11:20.0,,,49-47,,K. Durant misses 3-pt shot from 25 ft
11:19.0,Defensive rebound by A. Varejao,,49-47,,
11:01.0,S. Marion misses 3-pt shot from 24 ft,,49-47,,
11:00.0,,,49-47,,Defensive rebound by Team
10:38.0,,,49-49,2,K. Durant makes 2-pt shot from 1 ft (assist by R. Westbrook)
10:18.0,Turnover by A. Varejao (3 sec),,49-49,,
9:56.0,,,49-51,2,A. Roberson makes 2-pt shot at rim (assist by R. Westbrook)
9:33.0,K. Love makes 3-pt shot from 25 ft (assist by A. Varejao),3,52-51,,
9:18.0,,,52-51,,R. Westbrook misses 2-pt shot from 1 ft (block by A. Varejao)
9:18.0,,,52-51,,Offensive rebound by S. Adams
9:18.0,,,52-51,,Shooting foul by K. Irving (drawn by S. Adams)
9:18.0,,,52-52,1,S. Adams makes free throw 1 of 2
9:18.0,,,52-53,1,S. Adams makes free throw 2 of 2
9:07.0,,,52-53,,Personal foul by A. Roberson (drawn by K. Irving)
8:59.0,Shooting foul by S. Ibaka (drawn by K. Love),,52-53,,
8:59.0,K. Love makes free throw 1 of 2,1,53-53,,
8:59.0,K. Love makes free throw 2 of 2,1,54-53,,
8:41.0,,,54-53,,R. Westbrook misses 2-pt shot from 2 ft
8:41.0,,,54-53,,Offensive rebound by S. Adams
8:41.0,,,54-53,,Shooting foul by M. Dellavedova (drawn by S. Adams)
8:41.0,,,54-54,1,S. Adams makes free throw 1 of 2
8:41.0,,,54-55,1,S. Adams makes free throw 2 of 2
8:29.0,K. Irving misses 2-pt shot from 10 ft,,54-55,,
8:29.0,,,54-55,,Defensive rebound by S. Adams
8:23.0,,,54-57,2,A. Roberson makes 2-pt shot from 1 ft (assist by R. Westbrook)
8:03.0,K. Love misses 2-pt shot from 4 ft (block by S. Adams),,54-57,,
8:03.0,Offensive rebound by Team,,54-57,,
7:57.0,Shooting foul by S. Adams (drawn by S. Marion),,54-57,,
7:57.0,S. Marion misses free throw 1 of 2,,54-57,,
7:57.0,Offensive rebound by Team,,54-57,,
7:57.0,S. Marion misses free throw 2 of 2,,54-57,,
7:56.0,,,54-57,,Defensive rebound by S. Adams
7:43.0,,,54-57,,Turnover by K. Durant (lost ball; steal by M. Dellavedova)
7:39.0,M. Dellavedova misses 2-pt shot from 1 ft,,54-57,,
7:38.0,Offensive rebound by S. Marion,,54-57,,
7:33.0,Turnover by S. Marion (bad pass),,54-57,,
7:33.0,,,54-57,,A. Morrow enters the game for K. Durant
7:31.0,,,54-57,,A. Morrow misses 2-pt shot from 23 ft
7:30.0,Defensive rebound by M. Dellavedova,,54-57,,
7:21.0,Turnover by K. Love (lost ball; steal by A. Morrow),,54-57,,
7:10.0,Personal foul by S. Marion (drawn by S. Ibaka),,54-57,,
7:10.0,J. Jones enters the game for S. Marion,,54-57,,
6:59.0,,,54-57,,R. Westbrook misses 3-pt shot from 25 ft
6:59.0,Defensive rebound by K. Love,,54-57,,
6:45.0,A. Varejao misses 2-pt shot from 3 ft (block by S. Ibaka),,54-57,,
6:44.0,,,54-57,,Defensive rebound by A. Morrow
6:42.0,Personal foul by J. Jones (drawn by R. Westbrook),,54-57,,
6:42.0,T. Thompson enters the game for A. Varejao,,54-57,,
6:42.0,D. Waiters enters the game for M. Dellavedova,,54-57,,
6:37.0,,,54-57,,Turnover by R. Westbrook (lost ball; steal by K. Irving)
6:26.0,K. Love makes 3-pt shot from 24 ft (assist by D. Waiters),3,57-57,,
6:23.0,,,57-57,,Oklahoma City full timeout
6:11.0,,,57-59,2,R. Westbrook makes 2-pt shot at rim
5:59.0,Offensive foul by T. Thompson,,57-59,,
5:59.0,Turnover by T. Thompson (offensive foul),,57-59,,
5:51.0,,,57-62,3,S. Ibaka makes 3-pt shot from 24 ft (assist by A. Morrow)
5:33.0,K. Irving misses 2-pt shot from 2 ft,,57-62,,
5:32.0,Offensive rebound by T. Thompson,,57-62,,
5:31.0,T. Thompson misses 2-pt shot from 2 ft (block by S. Adams),,57-62,,
5:29.0,,,57-62,,Defensive rebound by A. Roberson
5:23.0,,,57-65,3,A. Morrow makes 3-pt shot from 24 ft (assist by R. Westbrook)
5:20.0,Cleveland full timeout,,57-65,,
5:08.0,K. Love misses 3-pt shot from 25 ft,,57-65,,
5:07.0,Offensive rebound by T. Thompson,,57-65,,
4:43.0,J. Jones misses 3-pt shot from 26 ft,,57-65,,
4:42.0,Offensive rebound by K. Love,,57-65,,
4:31.0,Turnover by T. Thompson (offensive goaltending),,57-65,,
4:19.0,,,57-65,,R. Westbrook misses 2-pt shot from 1 ft (block by T. Thompson)
4:17.0,Defensive rebound by K. Love,,57-65,,
4:05.0,J. Jones misses 3-pt shot from 22 ft,,57-65,,
4:04.0,,,57-65,,Defensive rebound by R. Westbrook
4:03.0,Personal foul by T. Thompson (drawn by R. Westbrook),,57-65,,
4:03.0,,,57-66,1,R. Westbrook makes free throw 1 of 2
4:03.0,,,57-66,,K. Perkins enters the game for S. Adams
4:03.0,,,57-66,,R. Jackson enters the game for A. Roberson
4:03.0,,,57-67,1,R. Westbrook makes free throw 2 of 2
3:45.0,T. Thompson makes 2-pt shot from 12 ft (assist by D. Waiters),2,59-67,,
3:29.0,,,59-69,2,S. Ibaka makes 2-pt shot at rim (assist by R. Westbrook)
3:17.0,Shooting foul by S. Ibaka (drawn by T. Thompson),,59-69,,
3:17.0,T. Thompson misses free throw 1 of 2,,59-69,,
3:17.0,Offensive rebound by Team,,59-69,,
3:17.0,,,59-69,,N. Collison enters the game for S. Ibaka
3:17.0,T. Thompson makes free throw 2 of 2,1,60-69,,
3:09.0,,,60-69,,R. Westbrook misses 2-pt shot from 5 ft
3:08.0,,,60-69,,Offensive rebound by K. Perkins
3:08.0,,,60-69,,K. Perkins misses 2-pt shot from 1 ft
3:06.0,Defensive rebound by J. Jones,,60-69,,
2:54.0,D. Waiters misses 2-pt shot from 17 ft,,60-69,,
2:53.0,,,60-69,,Defensive rebound by K. Perkins
2:41.0,,,60-69,,Shooting foul by K. Love (drawn by K. Perkins)
2:41.0,,,60-70,1,K. Perkins makes free throw 1 of 2
2:41.0,,,60-70,,K. Durant enters the game for R. Westbrook
2:41.0,,,60-70,,K. Perkins misses free throw 2 of 2
2:40.0,Defensive rebound by T. Thompson,,60-70,,
2:23.0,T. Thompson makes 2-pt shot from 6 ft (assist by D. Waiters),2,62-70,,
2:01.0,,,62-70,,R. Jackson misses 2-pt shot from 1 ft
2:00.0,,,62-70,,Offensive rebound by N. Collison
2:00.0,,,62-70,,N. Collison misses 2-pt shot from 1 ft
1:59.0,Defensive rebound by T. Thompson,,62-70,,
1:47.0,K. Irving misses 2-pt shot from 12 ft,,62-70,,
1:46.0,,,62-70,,Defensive rebound by K. Perkins
1:38.0,,,62-70,,R. Jackson misses 2-pt shot from 4 ft
1:38.0,Defensive rebound by K. Love,,62-70,,
1:25.0,T. Thompson misses 2-pt shot from 15 ft,,62-70,,
1:25.0,,,62-70,,Defensive rebound by Team
1:25.0,Loose ball foul by K. Irving (drawn by R. Jackson),,62-70,,
1:25.0,,,62-71,1,R. Jackson makes free throw 1 of 2
1:25.0,,,62-72,1,R. Jackson makes free throw 2 of 2
1:03.0,Turnover by D. Waiters (lost ball; steal by K. Durant),,62-72,,
0:56.0,,,62-75,3,A. Morrow makes 3-pt shot from 25 ft (assist by K. Durant)
0:43.0,K. Irving makes 2-pt shot from 5 ft,2,64-75,,
0:29.0,,,64-78,3,K. Durant makes 3-pt shot from 25 ft (assist by N. Collison)
0:11.0,D. Waiters makes 2-pt shot at rim,2,66-78,,
0:00.0,,,66-78,,K. Durant misses 2-pt shot from 1 ft
0:00.0,Defensive rebound by Team,,66-78,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:45.0,,,66-80,2,R. Jackson makes 2-pt shot from 15 ft
11:31.0,D. Waiters misses 2-pt shot from 2 ft (block by N. Collison),,66-80,,
11:30.0,,,66-80,,Defensive rebound by K. Durant
11:21.0,,,66-83,3,R. Jackson makes 3-pt shot from 23 ft (assist by K. Durant)
10:54.0,Turnover by Team (shot clock),,66-83,,
10:41.0,K. Irving enters the game for J. Jones,,66-83,,
10:36.0,Violation by K. Irving (kicked ball),,66-83,,
10:24.0,,,66-86,3,A. Morrow makes 3-pt shot from 23 ft (assist by K. Durant)
9:56.0,K. Irving misses 3-pt shot from 25 ft,,66-86,,
9:56.0,Offensive rebound by T. Thompson,,66-86,,
9:52.0,M. Dellavedova makes 3-pt shot from 24 ft (assist by T. Thompson),3,69-86,,
9:43.0,,,69-86,,Offensive foul by R. Jackson
9:43.0,,,69-86,,Turnover by R. Jackson (offensive foul)
9:43.0,,,69-86,,J. Lamb enters the game for K. Durant
9:32.0,,,69-86,,Personal block foul by N. Collison (drawn by D. Waiters)
9:23.0,D. Waiters misses 3-pt shot from 23 ft,,69-86,,
9:22.0,Offensive rebound by T. Thompson,,69-86,,
9:16.0,M. Dellavedova makes 3-pt shot from 24 ft (assist by K. Irving),3,72-86,,
9:15.0,,,72-86,,Oklahoma City full timeout
8:59.0,,,72-86,,N. Collison misses 3-pt shot from 22 ft
8:59.0,Defensive rebound by K. Irving,,72-86,,
8:49.0,K. Irving makes 2-pt shot at rim,2,74-86,,
8:36.0,Personal foul by M. Dellavedova (drawn by R. Jackson),,74-86,,
8:36.0,,,74-86,,R. Westbrook enters the game for A. Morrow
8:36.0,,,74-86,,S. Ibaka enters the game for N. Collison
8:26.0,,,74-86,,S. Ibaka misses 2-pt shot from 18 ft
8:25.0,Defensive rebound by A. Varejao,,74-86,,
8:19.0,Turnover by M. Dellavedova (lost ball; steal by J. Lamb),,74-86,,
8:05.0,,,74-86,,R. Westbrook misses 2-pt shot from 9 ft
8:04.0,,,74-86,,Offensive rebound by K. Perkins
8:02.0,,,74-86,,Shooting foul by T. Thompson (drawn by K. Perkins)
8:02.0,,,74-87,1,K. Perkins makes free throw 1 of 2
8:02.0,,,74-87,,K. Perkins misses free throw 2 of 2
8:01.0,,,74-87,,Offensive rebound by R. Westbrook
8:00.0,,,74-89,2,R. Westbrook makes 2-pt shot from 1 ft
7:44.0,K. Irving misses 2-pt shot from 16 ft,,74-89,,
7:43.0,Offensive rebound by A. Varejao,,74-89,,
7:40.0,Turnover by M. Dellavedova (lost ball; steal by J. Lamb),,74-89,,
7:37.0,,,74-91,2,R. Westbrook makes 2-pt shot at rim (assist by J. Lamb)
7:18.0,M. Dellavedova misses 3-pt shot from 23 ft,,74-91,,
7:17.0,Offensive rebound by A. Varejao,,74-91,,
7:17.0,,,74-91,,Personal foul by S. Ibaka (drawn by T. Thompson)
7:17.0,J. Harris enters the game for D. Waiters,,74-91,,
7:08.0,A. Varejao makes 2-pt shot from 2 ft (assist by M. Dellavedova),2,76-91,,
6:50.0,,,76-91,,R. Westbrook misses 2-pt shot from 15 ft
6:49.0,Defensive rebound by T. Thompson,,76-91,,
6:43.0,,,76-91,,Personal foul by S. Ibaka (drawn by K. Irving)
6:43.0,,,76-91,,K. Durant enters the game for S. Ibaka
6:43.0,,,76-91,,N. Collison enters the game for J. Lamb
6:38.0,A. Varejao makes 2-pt shot from 1 ft (assist by K. Irving),2,78-91,,
6:38.0,Shooting foul by N. Collison (drawn by A. Varejao),,78-91,,
6:38.0,,,78-91,,S. Adams enters the game for K. Perkins
6:38.0,K. Love enters the game for T. Thompson,,78-91,,
6:38.0,A. Varejao makes free throw 1 of 1,1,79-91,,
6:27.0,,,79-91,,R. Jackson misses 3-pt shot from 24 ft
6:25.0,Defensive rebound by K. Love,,79-91,,
6:14.0,K. Irving misses 2-pt shot from 1 ft,,79-91,,
6:13.0,,,79-91,,Defensive rebound by R. Jackson
6:11.0,Personal foul by J. Harris (drawn by R. Jackson),,79-91,,
6:11.0,,,79-91,,Technical foul by S. Adams
6:11.0,Technical foul by A. Varejao,,79-91,,
6:00.0,,,79-91,,R. Jackson misses 3-pt shot from 23 ft
