time,LA Clippers,pts.away,score,pts.home,Boston
4:07.0,Shooting foul by E. Turner (drawn by B. Griffin),,55-33,,
4:07.0,B. Griffin makes free throw 1 of 2,1,56-33,,
4:07.0,,,56-33,,K. Olynyk enters the game for T. Zeller
4:07.0,,,56-33,,J. Crowder enters the game for A. Bradley
4:07.0,,,56-33,,I. Thomas enters the game for P. Pressey
4:07.0,B. Griffin misses free throw 2 of 2,,56-33,,
4:05.0,Offensive rebound by B. Griffin,,56-33,,
3:53.0,J. Redick misses 2-pt shot from 20 ft,,56-33,,
3:52.0,,,56-33,,Defensive rebound by E. Turner
3:47.0,,,56-35,2,B. Bass makes 2-pt shot at rim (assist by I. Thomas)
3:47.0,Technical foul by J. Redick,,56-35,,
3:47.0,LA Clippers full timeout,,56-35,,
3:47.0,A. Rivers enters the game for J. Redick,,56-35,,
3:47.0,,,56-35,,I. Thomas misses technical free throw
3:47.0,Offensive rebound by Team,,56-35,,
3:35.0,B. Griffin misses 2-pt shot from 19 ft,,56-35,,
3:33.0,Offensive rebound by D. Jordan,,56-35,,
3:33.0,D. Jordan misses 2-pt shot at rim,,56-35,,
3:31.0,Offensive rebound by D. Jordan,,56-35,,
3:30.0,D. Jordan makes 2-pt shot at rim,2,58-35,,
3:20.0,,,58-38,3,E. Turner makes 3-pt shot from 24 ft (assist by I. Thomas)
2:57.0,B. Griffin misses 2-pt shot from 1 ft,,58-38,,
2:56.0,,,58-38,,Defensive rebound by K. Olynyk
2:48.0,,,58-38,,E. Turner misses 3-pt shot from 24 ft
2:47.0,Defensive rebound by D. Jordan,,58-38,,
2:36.0,,,58-38,,Personal block foul by I. Thomas (drawn by A. Rivers)
2:26.0,Turnover by C. Paul (lost ball; steal by E. Turner),,58-38,,
2:18.0,,,58-38,,I. Thomas misses 3-pt shot from 26 ft
2:17.0,Defensive rebound by D. Jordan,,58-38,,
2:13.0,,,58-38,,Shooting block foul by E. Turner (drawn by C. Paul)
2:13.0,C. Paul makes free throw 1 of 2,1,59-38,,
2:13.0,C. Paul makes free throw 2 of 2,1,60-38,,
2:00.0,,,60-38,,K. Olynyk misses 2-pt shot from 15 ft
1:59.0,Defensive rebound by M. Barnes,,60-38,,
1:52.0,D. Jordan makes 2-pt shot at rim (assist by C. Paul),2,62-38,,
1:38.0,Shooting block foul by A. Rivers (drawn by I. Thomas),,62-38,,
1:38.0,,,62-39,1,I. Thomas makes free throw 1 of 2
1:38.0,,,62-40,1,I. Thomas makes free throw 2 of 2
1:24.0,B. Griffin misses 2-pt shot from 18 ft,,62-40,,
1:23.0,Offensive rebound by Team,,62-40,,
1:23.0,,,62-40,,Personal foul by K. Olynyk (drawn by D. Jordan)
1:15.0,C. Paul misses 2-pt shot from 11 ft,,62-40,,
1:13.0,Offensive rebound by D. Jordan,,62-40,,
1:12.0,D. Jordan makes 2-pt shot from 1 ft,2,64-40,,
1:06.0,Shooting block foul by A. Rivers (drawn by I. Thomas),,64-40,,
1:06.0,,,64-41,1,I. Thomas makes free throw 1 of 2
1:06.0,,,64-41,,T. Zeller enters the game for K. Olynyk
1:06.0,J. Redick enters the game for A. Rivers,,64-41,,
1:06.0,,,64-42,1,I. Thomas makes free throw 2 of 2
0:50.0,C. Paul makes 3-pt shot from 25 ft,3,67-42,,
0:37.0,,,67-42,,Shooting foul by D. Jordan (drawn by B. Bass)
0:37.0,,,67-42,,B. Bass misses free throw 1 of 2
0:37.0,,,67-42,,Offensive rebound by Team
0:37.0,,,67-43,1,B. Bass makes free throw 2 of 2
0:37.0,,,67-43,,Personal take foul by T. Zeller (drawn by D. Jordan)
0:37.0,D. Jordan misses free throw 1 of 2,,67-43,,
0:37.0,Offensive rebound by Team,,67-43,,
0:37.0,,,67-43,,J. Jerebko enters the game for T. Zeller
0:37.0,D. Jones enters the game for J. Redick,,67-43,,
0:37.0,D. Jordan makes free throw 2 of 2,1,68-43,,
0:30.0,,,68-43,,Shooting foul by D. Jordan (drawn by I. Thomas)
0:30.0,,,68-44,1,I. Thomas makes free throw 1 of 2
0:30.0,,,68-44,,T. Zeller enters the game for J. Jerebko
0:30.0,J. Redick enters the game for D. Jordan,,68-44,,
0:30.0,,,68-45,1,I. Thomas makes free throw 2 of 2
0:06.0,D. Jones misses 3-pt shot from 22 ft,,68-45,,
0:05.0,,,68-45,,Defensive rebound by E. Turner
0:00.0,,,68-47,2,I. Thomas makes 2-pt shot from 21 ft (assist by J. Crowder)
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:49.0,,,68-49,2,B. Bass makes 2-pt shot from 16 ft (assist by E. Turner)
11:28.0,M. Barnes makes 3-pt shot from 25 ft (assist by J. Redick),3,71-49,,
11:10.0,,,71-49,,Turnover by B. Bass (lost ball; steal by C. Paul)
10:59.0,,,71-49,,Personal foul by J. Jerebko (drawn by B. Griffin)
10:48.0,J. Redick makes 3-pt shot from 23 ft (assist by C. Paul),3,74-49,,
10:21.0,,,74-49,,J. Jerebko misses 2-pt shot from 16 ft
10:20.0,Defensive rebound by D. Jordan,,74-49,,
10:01.0,C. Paul makes 3-pt shot from 25 ft,3,77-49,,
9:46.0,,,77-51,2,E. Turner makes 2-pt shot from 1 ft
9:39.0,C. Paul makes 3-pt shot from 26 ft,3,80-51,,
9:23.0,,,80-51,,B. Bass misses 3-pt shot from 22 ft
9:22.0,Defensive rebound by B. Griffin,,80-51,,
9:02.0,B. Griffin makes 2-pt shot from 10 ft (assist by C. Paul),2,82-51,,
8:44.0,,,82-51,,Shooting foul by B. Griffin (drawn by J. Crowder)
8:44.0,,,82-52,1,J. Crowder makes free throw 1 of 2
8:44.0,,,82-53,1,J. Crowder makes free throw 2 of 2
8:35.0,J. Redick makes 2-pt shot from 1 ft (assist by C. Paul),2,84-53,,
8:25.0,,,84-55,2,B. Bass makes 2-pt shot at rim (assist by E. Turner)
8:15.0,C. Paul misses 2-pt shot from 1 ft,,84-55,,
8:14.0,Offensive rebound by C. Paul,,84-55,,
8:01.0,Shooting foul by J. Crowder (drawn by B. Griffin),,84-55,,
8:01.0,B. Griffin makes free throw 1 of 2,1,85-55,,
8:01.0,,,85-55,,T. Zeller enters the game for J. Jerebko
8:01.0,B. Griffin makes free throw 2 of 2,1,86-55,,
7:48.0,,,86-57,2,T. Zeller makes 2-pt shot from 5 ft
7:26.0,B. Griffin makes 2-pt shot from 7 ft,2,88-57,,
7:10.0,,,88-57,,Turnover by J. Crowder (bad pass; steal by B. Griffin)
7:01.0,D. Jordan makes 2-pt shot at rim (assist by B. Griffin),2,90-57,,
7:01.0,,,90-57,,Boston full timeout
7:01.0,,,90-57,,I. Thomas enters the game for J. Crowder
6:52.0,,,90-57,,Offensive charge foul by E. Turner
6:52.0,,,90-57,,Turnover by E. Turner (offensive foul)
6:52.0,A. Rivers enters the game for J. Redick,,90-57,,
6:35.0,Turnover by C. Paul (lost ball; steal by I. Thomas),,90-57,,
6:29.0,,,90-57,,A. Bradley misses 3-pt shot from 46 ft
6:27.0,,,90-57,,Offensive rebound by A. Bradley
6:21.0,,,90-57,,E. Turner misses 3-pt shot from 25 ft
6:20.0,Defensive rebound by C. Paul,,90-57,,
6:16.0,,,90-57,,Personal foul by A. Bradley (drawn by C. Paul)
6:06.0,M. Barnes misses 3-pt shot from 25 ft,,90-57,,
6:05.0,Offensive rebound by Team,,90-57,,
6:05.0,,,90-57,,Loose ball foul by T. Zeller (drawn by D. Jordan)
5:55.0,B. Griffin makes 2-pt shot from 6 ft,2,92-57,,
5:45.0,,,92-59,2,T. Zeller makes 2-pt shot from 3 ft (assist by I. Thomas)
5:29.0,B. Griffin misses 2-pt shot from 19 ft,,92-59,,
5:29.0,,,92-59,,Defensive rebound by Team
5:29.0,Loose ball foul by D. Jordan (drawn by T. Zeller),,92-59,,
5:16.0,,,92-61,2,T. Zeller makes 2-pt shot from 19 ft (assist by B. Bass)
4:54.0,M. Barnes makes 2-pt shot from 21 ft,2,94-61,,
4:44.0,,,94-61,,Turnover by E. Turner (lost ball; steal by A. Rivers)
4:42.0,Shooting foul by B. Bass (drawn by A. Rivers),,94-61,,
4:42.0,A. Rivers makes free throw 1 of 2,1,95-61,,
4:42.0,A. Rivers makes free throw 2 of 2,1,96-61,,
4:28.0,Personal foul by M. Barnes (drawn by E. Turner),,96-61,,
4:28.0,J. Redick enters the game for A. Rivers,,96-61,,
4:22.0,,,96-61,,E. Turner misses 2-pt shot from 6 ft
4:21.0,,,96-61,,Offensive rebound by B. Bass
4:20.0,,,96-61,,Shooting foul by D. Jordan (drawn by B. Bass)
4:20.0,,,96-62,1,B. Bass makes free throw 1 of 2
4:20.0,,,96-63,1,B. Bass makes free throw 2 of 2
4:05.0,M. Barnes misses 2-pt shot from 3 ft,,96-63,,
4:04.0,,,96-63,,Defensive rebound by T. Zeller
3:59.0,,,96-66,3,I. Thomas makes 3-pt shot from 24 ft (assist by E. Turner)
3:58.0,LA Clippers full timeout,,96-66,,
3:58.0,S. Hawes enters the game for D. Jordan,,96-66,,
3:46.0,B. Griffin makes 2-pt shot from 4 ft (assist by S. Hawes),2,98-66,,
3:27.0,,,98-66,,A. Bradley misses 2-pt shot from 19 ft
3:26.0,Defensive rebound by B. Griffin,,98-66,,
3:17.0,M. Barnes misses 3-pt shot from 25 ft,,98-66,,
3:16.0,,,98-66,,Defensive rebound by A. Bradley
3:11.0,,,98-68,2,T. Zeller makes 2-pt shot from 1 ft (assist by E. Turner)
2:44.0,M. Barnes misses 3-pt shot from 23 ft,,98-68,,
2:43.0,,,98-68,,Defensive rebound by T. Zeller
2:37.0,Personal foul by B. Griffin (drawn by T. Zeller),,98-68,,
2:37.0,,,98-69,1,T. Zeller makes free throw 1 of 2
2:37.0,A. Rivers enters the game for J. Redick,,98-69,,
2:37.0,,,98-69,,M. Smart enters the game for A. Bradley
2:37.0,,,98-69,,K. Olynyk enters the game for B. Bass
2:37.0,,,98-70,1,T. Zeller makes free throw 2 of 2
2:23.0,S. Hawes misses 3-pt shot from 25 ft,,98-70,,
2:22.0,,,98-70,,Defensive rebound by E. Turner
2:17.0,,,98-72,2,T. Zeller makes 2-pt shot at rim (assist by E. Turner)
1:53.0,C. Paul misses 3-pt shot from 24 ft,,98-72,,
1:52.0,Offensive rebound by Team,,98-72,,
1:52.0,,,98-72,,Loose ball foul by T. Zeller (drawn by S. Hawes)
1:52.0,S. Hawes makes free throw 1 of 2,1,99-72,,
1:52.0,S. Hawes makes free throw 2 of 2,1,100-72,,
1:45.0,,,100-72,,I. Thomas misses 2-pt shot from 4 ft
1:43.0,,,100-72,,Offensive rebound by K. Olynyk
1:42.0,,,100-74,2,K. Olynyk makes 2-pt shot from 4 ft
1:40.0,Technical foul by S. Hawes,,100-74,,
1:40.0,,,100-75,1,I. Thomas makes technical free throw
1:17.0,M. Barnes makes 3-pt shot from 23 ft (assist by A. Rivers),3,103-75,,
1:02.0,,,103-77,2,K. Olynyk makes 2-pt shot from 1 ft (assist by E. Turner)
0:42.0,M. Barnes makes 2-pt shot at rim (assist by B. Griffin),2,105-77,,
0:37.0,,,105-77,,I. Thomas misses 3-pt shot from 27 ft
0:35.0,Defensive rebound by A. Rivers,,105-77,,
0:11.0,M. Barnes misses 3-pt shot from 24 ft,,105-77,,
0:09.0,,,105-77,,Defensive rebound by T. Zeller
0:05.0,D. Jones enters the game for M. Barnes,,105-77,,
0:00.0,,,105-79,2,K. Olynyk makes 2-pt shot from 2 ft
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:41.0,Turnover by H. Turkoglu (lost ball; steal by K. Olynyk),,105-79,,
11:36.0,,,105-79,,I. Thomas misses 2-pt shot from 1 ft
11:35.0,,,105-79,,Offensive rebound by K. Olynyk
11:28.0,,,105-79,,I. Thomas misses 3-pt shot from 22 ft
11:27.0,,,105-79,,Offensive rebound by Team
11:25.0,,,105-79,,Offensive foul by M. Smart
11:25.0,,,105-79,,Turnover by M. Smart (offensive foul)
11:15.0,Turnover by J. Redick (lost ball),,105-79,,
11:02.0,,,105-82,3,K. Olynyk makes 3-pt shot from 22 ft (assist by I. Thomas)
10:45.0,H. Turkoglu misses 3-pt shot from 24 ft,,105-82,,
10:44.0,,,105-82,,Defensive rebound by M. Smart
10:37.0,,,105-82,,Turnover by K. Olynyk (traveling)
10:21.0,G. Davis misses 2-pt shot from 14 ft,,105-82,,
10:20.0,Offensive rebound by Team,,105-82,,
10:20.0,,,105-82,,Loose ball foul by L. Datome (drawn by S. Hawes)
10:14.0,Offensive foul by J. Redick,,105-82,,
10:14.0,Turnover by J. Redick (offensive foul),,105-82,,
10:02.0,,,105-82,,K. Olynyk misses 3-pt shot from 24 ft
10:01.0,,,105-82,,Offensive rebound by M. Smart
10:00.0,,,105-82,,L. Datome misses 2-pt shot from 2 ft
9:59.0,Defensive rebound by H. Turkoglu,,105-82,,
9:59.0,,,105-82,,Personal foul by M. Smart (drawn by H. Turkoglu)
9:47.0,Shooting foul by I. Thomas (drawn by A. Rivers),,105-82,,
9:47.0,A. Rivers makes free throw 1 of 2,1,106-82,,
9:47.0,,,106-82,,P. Pressey enters the game for I. Thomas
9:47.0,A. Rivers misses free throw 2 of 2,,106-82,,
9:46.0,,,106-82,,Defensive rebound by K. Olynyk
9:32.0,,,106-82,,M. Smart misses 3-pt shot from 24 ft
9:31.0,Defensive rebound by A. Rivers,,106-82,,
9:19.0,J. Redick makes 3-pt shot from 23 ft (assist by S. Hawes),3,109-82,,
9:03.0,,,109-84,2,L. Datome makes 2-pt shot from 22 ft
8:54.0,LA Clippers full timeout,,109-84,,
8:54.0,C. Wilcox enters the game for J. Redick,,109-84,,
8:40.0,G. Davis misses 2-pt shot from 1 ft,,109-84,,
8:38.0,,,109-84,,Defensive rebound by K. Olynyk
8:25.0,,,109-84,,J. Jerebko misses 2-pt shot from 3 ft
8:25.0,,,109-84,,Offensive rebound by Team
8:25.0,Loose ball foul by S. Hawes (drawn by K. Olynyk),,109-84,,
8:17.0,,,109-84,,M. Smart misses 2-pt shot from 3 ft
8:16.0,Defensive rebound by S. Hawes,,109-84,,
8:00.0,C. Wilcox misses 3-pt shot from 25 ft,,109-84,,
7:57.0,,,109-84,,Defensive rebound by Team
7:39.0,,,109-84,,L. Datome misses 2-pt shot from 22 ft
7:38.0,Defensive rebound by C. Wilcox,,109-84,,
7:32.0,Turnover by A. Rivers (bad pass; steal by J. Jerebko),,109-84,,
7:26.0,,,109-86,2,K. Olynyk makes 2-pt shot at rim (assist by P. Pressey)
7:03.0,S. Hawes misses 2-pt shot from 4 ft,,109-86,,
7:02.0,,,109-86,,Defensive rebound by J. Jerebko
6:53.0,,,109-88,2,L. Datome makes 2-pt shot from 8 ft (assist by K. Olynyk)
6:23.0,G. Davis misses 2-pt shot from 16 ft,,109-88,,
6:22.0,,,109-88,,Defensive rebound by J. Jerebko
6:17.0,,,109-90,2,K. Olynyk makes 2-pt shot at rim (assist by J. Jerebko)
6:17.0,LA Clippers full timeout,,109-90,,
