time,Orlando,pts.away,score,pts.home,LA Lakers
3:13.0,N. Vucevic makes 2-pt shot at rim,2,15-21,,
2:58.0,,,15-21,,J. Hill misses 2-pt shot from 5 ft
2:55.0,Defensive rebound by N. Vucevic,,15-21,,
2:54.0,Offensive foul by V. Oladipo,,15-21,,
2:54.0,Turnover by V. Oladipo (offensive foul),,15-21,,
2:54.0,Orlando full timeout,,15-21,,
2:54.0,,,15-21,,R. Sacre enters the game for J. Hill
2:54.0,D. Dedmon enters the game for N. Vucevic,,15-21,,
2:38.0,,,15-24,3,J. Lin makes 3-pt shot from 24 ft (assist by R. Sacre)
2:20.0,E. Fournier misses 3-pt shot from 25 ft,,15-24,,
2:18.0,,,15-24,,Defensive rebound by C. Boozer
2:12.0,,,15-24,,Turnover by N. Young (lost ball; steal by V. Oladipo)
2:12.0,,,15-24,,Loose ball foul by N. Young (drawn by V. Oladipo)
2:12.0,V. Oladipo makes free throw 1 of 2,1,16-24,,
2:12.0,V. Oladipo makes free throw 2 of 2,1,17-24,,
1:57.0,,,17-24,,Shooting foul by L. Ridnour (drawn by R. Kelly)
1:57.0,,,17-25,1,R. Kelly makes free throw 1 of 2
1:57.0,B. Gordon enters the game for V. Oladipo,,17-25,,
1:57.0,,,17-26,1,R. Kelly makes free throw 2 of 2
1:43.0,E. Fournier misses 2-pt shot from 1 ft,,17-26,,
1:40.0,,,17-26,,Defensive rebound by C. Boozer
1:29.0,,,17-26,,N. Young misses 3-pt shot from 22 ft
1:28.0,Defensive rebound by D. Dedmon,,17-26,,
1:18.0,D. Dedmon misses 2-pt shot from 4 ft (block by J. Lin),,17-26,,
1:16.0,Offensive rebound by D. Dedmon,,17-26,,
1:10.0,L. Ridnour makes 3-pt shot from 24 ft (assist by C. Frye),3,20-26,,
0:57.0,,,20-26,,Turnover by J. Lin (bad pass; steal by D. Dedmon)
0:50.0,Turnover by B. Gordon (lost ball),,20-26,,
0:42.0,,,20-28,2,N. Young makes 2-pt shot from 21 ft (assist by J. Lin)
0:27.0,Turnover by B. Gordon (lost ball; steal by J. Lin),,20-28,,
0:25.0,Personal take foul by C. Frye (drawn by J. Lin),,20-28,,
0:25.0,,,20-28,,J. Lin misses free throw 1 of 2
0:25.0,,,20-28,,Offensive rebound by Team
0:25.0,,,20-29,1,J. Lin makes free throw 2 of 2
0:03.0,L. Ridnour misses 3-pt shot from 25 ft,,20-29,,
0:01.0,,,20-29,,Defensive rebound by C. Boozer
0:01.0,,,20-29,,R. Kelly misses 3-pt shot from 29 ft
0:00.0,,,20-29,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:47.0,Turnover by C. Frye (bad pass; steal by N. Young),,20-29,,
11:46.0,Personal take foul by B. Gordon (drawn by N. Young),,20-29,,
11:34.0,,,20-29,,N. Young misses 3-pt shot from 25 ft
11:33.0,Defensive rebound by B. Gordon,,20-29,,
11:26.0,Turnover by E. Payton (bad pass; steal by J. Lin),,20-29,,
11:12.0,,,20-31,2,N. Young makes 2-pt shot from 1 ft
10:52.0,C. Frye makes 3-pt shot from 25 ft (assist by E. Fournier),3,23-31,,
10:31.0,,,23-33,2,C. Boozer makes 2-pt shot from 8 ft
10:22.0,Shooting foul by J. Lin (drawn by B. Gordon),,23-33,,
10:22.0,B. Gordon makes free throw 1 of 2,1,24-33,,
10:22.0,B. Gordon makes free throw 2 of 2,1,25-33,,
10:09.0,,,25-33,,N. Young misses 2-pt shot from 13 ft
10:07.0,,,25-33,,Offensive rebound by Team
10:03.0,,,25-33,,J. Lin misses 2-pt shot from 1 ft (block by E. Payton)
10:01.0,Defensive rebound by C. Frye,,25-33,,
9:54.0,B. Gordon misses 2-pt shot from 5 ft,,25-33,,
9:53.0,,,25-33,,Defensive rebound by C. Boozer
9:46.0,,,25-33,,N. Young misses 3-pt shot from 24 ft
9:45.0,,,25-33,,Offensive rebound by R. Sacre
9:41.0,,,25-33,,J. Lin misses 3-pt shot from 24 ft
9:40.0,,,25-33,,Offensive rebound by R. Sacre
9:36.0,,,25-33,,N. Young misses 3-pt shot from 24 ft
9:34.0,,,25-33,,Offensive rebound by C. Boozer
9:31.0,,,25-35,2,C. Boozer makes 2-pt shot from 11 ft
9:31.0,Orlando full timeout,,25-35,,
9:31.0,K. O'Quinn enters the game for N. Vucevic,,25-35,,
9:31.0,L. Ridnour enters the game for E. Payton,,25-35,,
9:31.0,T. Harris enters the game for C. Frye,,25-35,,
9:31.0,A. Nicholson enters the game for E. Fournier,,25-35,,
9:31.0,V. Oladipo enters the game for B. Gordon,,25-35,,
9:14.0,A. Nicholson makes 3-pt shot from 24 ft (assist by V. Oladipo),3,28-35,,
8:51.0,,,28-35,,R. Sacre misses 2-pt shot from 6 ft
8:49.0,Defensive rebound by A. Nicholson,,28-35,,
8:37.0,A. Nicholson misses 2-pt shot from 2 ft,,28-35,,
8:36.0,,,28-35,,Defensive rebound by Team
8:23.0,,,28-37,2,J. Clarkson makes 2-pt shot from 12 ft
8:10.0,V. Oladipo misses 2-pt shot from 1 ft,,28-37,,
8:09.0,,,28-37,,Defensive rebound by R. Sacre
8:05.0,,,28-37,,Turnover by J. Clarkson (lost ball; steal by V. Oladipo)
8:02.0,Shooting foul by R. Sacre (drawn by V. Oladipo),,28-37,,
8:02.0,V. Oladipo makes free throw 1 of 2,1,29-37,,
8:02.0,,,29-37,,E. Davis enters the game for C. Boozer
8:02.0,V. Oladipo makes free throw 2 of 2,1,30-37,,
7:45.0,,,30-37,,E. Davis misses 2-pt shot from 2 ft
7:43.0,,,30-37,,Offensive rebound by J. Clarkson
7:42.0,,,30-37,,Shooting foul by K. O'Quinn (drawn by R. Sacre)
7:42.0,,,30-37,,R. Sacre misses free throw 1 of 2
7:42.0,,,30-37,,Offensive rebound by Team
7:42.0,,,30-38,1,R. Sacre makes free throw 2 of 2
7:26.0,V. Oladipo misses 2-pt shot from 2 ft,,30-38,,
7:23.0,Offensive rebound by V. Oladipo,,30-38,,
7:23.0,V. Oladipo makes 2-pt shot at rim,2,32-38,,
7:03.0,,,32-38,,R. Sacre misses 2-pt shot from 2 ft
7:02.0,Defensive rebound by T. Harris,,32-38,,
6:49.0,Offensive foul by K. O'Quinn,,32-38,,
6:49.0,Turnover by K. O'Quinn (offensive foul),,32-38,,
6:49.0,,,32-38,,W. Ellington enters the game for J. Clarkson
6:49.0,,,32-38,,R. Price enters the game for J. Lin
6:49.0,,,32-38,,J. Hill enters the game for R. Sacre
6:37.0,,,32-38,,N. Young misses 2-pt shot from 15 ft
6:33.0,Defensive rebound by K. O'Quinn,,32-38,,
6:27.0,K. O'Quinn misses 2-pt shot from 11 ft,,32-38,,
6:25.0,,,32-38,,Defensive rebound by E. Davis
6:05.0,,,32-38,,N. Young misses 3-pt shot from 26 ft
6:04.0,,,32-38,,Offensive rebound by E. Davis
6:02.0,,,32-38,,Offensive foul by N. Young
6:02.0,,,32-38,,Turnover by N. Young (offensive foul)
6:02.0,,,32-38,,R. Kelly enters the game for N. Young
5:47.0,A. Nicholson misses 3-pt shot from 22 ft,,32-38,,
5:46.0,,,32-38,,Defensive rebound by R. Kelly
5:27.0,,,32-38,,J. Hill misses 2-pt shot from 3 ft (block by A. Nicholson)
5:19.0,,,32-38,,Offensive rebound by E. Davis
5:19.0,,,32-40,2,E. Davis makes 2-pt shot at rim
5:19.0,Orlando full timeout,,32-40,,
5:19.0,Official timeout,,32-40,,
5:07.0,T. Harris makes 2-pt shot from 3 ft,2,34-40,,
4:51.0,,,34-40,,R. Kelly misses 2-pt shot from 22 ft
4:51.0,Defensive rebound by Team,,34-40,,
4:44.0,L. Ridnour makes 2-pt shot from 2 ft,2,36-40,,
4:29.0,,,36-42,2,J. Hill makes 2-pt shot from 16 ft
4:16.0,T. Harris makes 2-pt shot from 14 ft,2,38-42,,
3:58.0,,,38-42,,W. Ellington misses 2-pt shot from 18 ft
3:56.0,Defensive rebound by T. Harris,,38-42,,
3:41.0,T. Harris misses 3-pt shot from 24 ft,,38-42,,
3:40.0,,,38-42,,Defensive rebound by J. Hill
3:27.0,,,38-42,,Shooting foul by A. Nicholson (drawn by J. Hill)
3:27.0,,,38-42,,J. Hill misses free throw 1 of 2
3:27.0,,,38-42,,Offensive rebound by Team
3:27.0,,,38-43,1,J. Hill makes free throw 2 of 2
3:15.0,L. Ridnour makes 2-pt shot from 14 ft,2,40-43,,
3:05.0,,,40-45,2,R. Price makes 2-pt shot from 18 ft
2:55.0,T. Harris misses 3-pt shot from 23 ft,,40-45,,
2:53.0,,,40-45,,Defensive rebound by W. Ellington
2:44.0,,,40-45,,Offensive foul by R. Price
2:44.0,,,40-45,,Turnover by R. Price (offensive foul)
2:44.0,,,40-45,,LA Lakers full timeout
2:44.0,,,40-45,,J. Lin enters the game for R. Price
2:30.0,T. Harris misses 2-pt shot from 6 ft,,40-45,,
2:29.0,,,40-45,,Defensive rebound by R. Kelly
2:16.0,,,40-45,,J. Lin misses 2-pt shot from 2 ft (block by A. Nicholson)
2:14.0,,,40-45,,Offensive rebound by E. Davis
2:10.0,,,40-47,2,E. Davis makes 2-pt shot from 4 ft
2:02.0,Turnover by L. Ridnour (bad pass; steal by J. Lin),,40-47,,
2:02.0,Personal foul by L. Ridnour (drawn by J. Hill),,40-47,,
1:48.0,,,40-47,,W. Ellington misses 2-pt shot from 18 ft
1:46.0,Defensive rebound by K. O'Quinn,,40-47,,
1:38.0,Shooting foul by J. Hill (drawn by V. Oladipo),,40-47,,
1:38.0,V. Oladipo makes free throw 1 of 2,1,41-47,,
1:38.0,V. Oladipo makes free throw 2 of 2,1,42-47,,
1:19.0,,,42-50,3,J. Lin makes 3-pt shot from 25 ft (assist by E. Davis)
0:57.0,L. Ridnour misses 2-pt shot from 16 ft,,42-50,,
0:56.0,,,42-50,,Defensive rebound by E. Davis
0:49.0,,,42-53,3,R. Kelly makes 3-pt shot from 23 ft (assist by J. Lin)
0:41.0,Turnover by L. Ridnour (lost ball; steal by J. Lin),,42-53,,
0:40.0,Personal take foul by A. Nicholson (drawn by J. Lin),,42-53,,
0:40.0,,,42-53,,J. Lin misses free throw 1 of 2
0:40.0,,,42-53,,Offensive rebound by Team
0:40.0,,,42-54,1,J. Lin makes free throw 2 of 2
0:30.0,T. Harris makes 3-pt shot from 23 ft (assist by V. Oladipo),3,45-54,,
0:10.0,,,45-54,,J. Hill misses 2-pt shot from 21 ft
0:08.0,Defensive rebound by A. Nicholson,,45-54,,
0:01.0,A. Nicholson misses 3-pt shot from 24 ft,,45-54,,
0:00.0,,,45-54,,Defensive rebound by J. Lin
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:48.0,,,45-54,,Personal foul by R. Kelly (drawn by T. Harris)
11:37.0,Turnover by T. Harris (lost ball; steal by R. Kelly),,45-54,,
11:18.0,,,45-56,2,W. Ellington makes 2-pt shot from 11 ft (assist by J. Hill)
11:09.0,N. Vucevic makes 2-pt shot from 15 ft (assist by E. Payton),2,47-56,,
10:51.0,,,47-58,2,W. Ellington makes 2-pt shot from 16 ft
10:37.0,T. Harris makes 2-pt shot from 16 ft (assist by K. O'Quinn),2,49-58,,
10:16.0,,,49-58,,J. Hill misses 2-pt shot from 12 ft
10:15.0,Defensive rebound by V. Oladipo,,49-58,,
10:07.0,Turnover by V. Oladipo (lost ball; steal by R. Price),,49-58,,
10:02.0,,,49-58,,R. Price misses 2-pt shot from 15 ft
10:00.0,,,49-58,,Offensive rebound by J. Hill
9:40.0,,,49-58,,R. Kelly misses 2-pt shot from 11 ft
9:39.0,Defensive rebound by N. Vucevic,,49-58,,
9:24.0,N. Vucevic misses 2-pt shot from 16 ft,,49-58,,
9:23.0,,,49-58,,Defensive rebound by R. Kelly
9:08.0,,,49-58,,E. Davis misses 2-pt shot from 11 ft
9:07.0,Defensive rebound by E. Payton,,49-58,,
8:59.0,E. Payton misses 2-pt shot from 8 ft,,49-58,,
8:56.0,,,49-58,,Defensive rebound by E. Davis
8:51.0,,,49-60,2,E. Davis makes 2-pt shot at rim (assist by R. Kelly)
8:37.0,V. Oladipo makes 2-pt shot at rim (assist by N. Vucevic),2,51-60,,
8:14.0,,,51-60,,J. Hill misses 2-pt shot from 4 ft
8:13.0,,,51-60,,Offensive rebound by E. Davis
8:10.0,,,51-62,2,E. Davis makes 2-pt shot from 1 ft
8:01.0,N. Vucevic misses 2-pt shot from 3 ft,,51-62,,
8:00.0,,,51-62,,Defensive rebound by J. Hill
7:43.0,,,51-62,,R. Price misses 3-pt shot from 24 ft
7:42.0,Defensive rebound by K. O'Quinn,,51-62,,
7:32.0,Shooting foul by R. Price (drawn by V. Oladipo),,51-62,,
7:32.0,V. Oladipo misses free throw 1 of 2,,51-62,,
7:32.0,Offensive rebound by Team,,51-62,,
7:32.0,V. Oladipo misses free throw 2 of 2,,51-62,,
7:32.0,,,51-62,,Defensive rebound by J. Hill
7:09.0,,,51-62,,J. Hill misses 2-pt shot from 11 ft
7:08.0,Defensive rebound by K. O'Quinn,,51-62,,
6:43.0,T. Harris misses 2-pt shot from 2 ft,,51-62,,
6:41.0,,,51-62,,Defensive rebound by R. Kelly
6:30.0,,,51-62,,Turnover by J. Hill (bad pass; steal by E. Payton)
6:26.0,E. Payton makes 2-pt shot from 1 ft,2,53-62,,
6:11.0,,,53-64,2,J. Hill makes 2-pt shot from 2 ft (assist by R. Price)
6:05.0,E. Payton misses 2-pt shot from 2 ft,,53-64,,
6:05.0,,,53-64,,Defensive rebound by Team
6:05.0,Loose ball foul by N. Vucevic (drawn by J. Hill),,53-64,,
5:55.0,,,53-64,,Turnover by R. Price (lost ball; steal by T. Harris)
5:51.0,N. Vucevic makes 2-pt shot at rim (assist by T. Harris),2,55-64,,
5:25.0,,,55-64,,R. Price misses 2-pt shot from 14 ft (block by E. Payton)
5:24.0,Defensive rebound by N. Vucevic,,55-64,,
5:20.0,V. Oladipo makes 2-pt shot at rim (assist by T. Harris),2,57-64,,
5:12.0,,,57-64,,LA Lakers full timeout
5:12.0,,,57-64,,C. Boozer enters the game for E. Davis
5:12.0,,,57-64,,T. Black enters the game for J. Hill
5:12.0,,,57-64,,J. Lin enters the game for R. Price
5:05.0,,,57-64,,Turnover by J. Lin (bad pass)
4:52.0,T. Harris misses 2-pt shot from 17 ft,,57-64,,
4:51.0,,,57-64,,Defensive rebound by C. Boozer
4:27.0,,,57-64,,W. Ellington misses 3-pt shot from 23 ft
4:26.0,Defensive rebound by K. O'Quinn,,57-64,,
4:14.0,V. Oladipo misses 2-pt shot from 18 ft,,57-64,,
4:12.0,,,57-64,,Defensive rebound by R. Kelly
3:51.0,,,57-64,,Turnover by J. Lin (bad pass)
3:51.0,E. Fournier enters the game for E. Payton,,57-64,,
3:41.0,Shooting foul by C. Boozer (drawn by V. Oladipo),,57-64,,
3:41.0,V. Oladipo makes free throw 1 of 2,1,58-64,,
3:41.0,L. Ridnour enters the game for T. Harris,,58-64,,
3:41.0,V. Oladipo misses free throw 2 of 2,,58-64,,
3:40.0,,,58-64,,Defensive rebound by T. Black
3:19.0,,,58-64,,R. Kelly misses 2-pt shot from 13 ft
3:18.0,,,58-64,,Offensive rebound by T. Black
3:14.0,,,58-64,,J. Lin misses 3-pt shot from 24 ft
3:14.0,Defensive rebound by Team,,58-64,,
3:14.0,,,58-64,,N. Young enters the game for W. Ellington
2:52.0,K. O'Quinn misses 2-pt shot from 17 ft,,58-64,,
2:51.0,,,58-64,,Defensive rebound by T. Black
2:44.0,,,58-64,,Shooting foul by V. Oladipo (drawn by N. Young)
2:44.0,Orlando full timeout,,58-64,,
2:44.0,C. Frye enters the game for K. O'Quinn,,58-64,,
2:44.0,,,58-65,1,N. Young makes free throw 1 of 3
2:44.0,,,58-66,1,N. Young makes free throw 2 of 3
2:44.0,,,58-67,1,N. Young makes free throw 3 of 3
2:22.0,N. Vucevic misses 2-pt shot from 8 ft,,58-67,,
2:20.0,,,58-67,,Defensive rebound by C. Boozer
2:01.0,,,58-67,,Shooting foul by C. Frye (drawn by J. Lin)
2:01.0,,,58-68,1,J. Lin makes free throw 1 of 2
2:01.0,A. Nicholson enters the game for N. Vucevic,,58-68,,
2:01.0,T. Harris enters the game for V. Oladipo,,58-68,,
2:01.0,,,58-69,1,J. Lin makes free throw 2 of 2
1:49.0,E. Fournier makes 2-pt shot from 3 ft,2,60-69,,
1:32.0,,,60-69,,N. Young misses 3-pt shot from 25 ft
1:31.0,Defensive rebound by T. Harris,,60-69,,
1:24.0,E. Fournier makes 2-pt shot at rim (assist by T. Harris),2,62-69,,
1:03.0,,,62-71,2,T. Black makes 2-pt shot from 5 ft (assist by J. Lin)
0:47.0,A. Nicholson makes 2-pt shot from 2 ft (assist by C. Frye),2,64-71,,
0:34.0,Personal foul by C. Frye (drawn by J. Lin),,64-71,,
0:28.0,,,64-71,,J. Lin misses 2-pt shot from 2 ft
0:27.0,,,64-71,,Offensive rebound by T. Black
0:27.0,,,64-73,2,T. Black makes 2-pt shot from 1 ft
0:08.0,C. Frye makes 3-pt shot from 25 ft (assist by L. Ridnour),3,67-73,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:50.0,Personal foul by A. Nicholson (drawn by C. Boozer),,67-73,,
11:50.0,,,67-73,,Violation by Team (jump ball)
11:41.0,,,67-73,,Personal foul by N. Young (drawn by C. Frye)
11:41.0,Offensive foul by C. Frye,,67-73,,
11:41.0,Turnover by C. Frye (offensive foul),,67-73,,
11:41.0,Orlando full timeout,,67-73,,
11:32.0,,,67-73,,Turnover by N. Young (bad pass; steal by C. Frye)
11:26.0,,,67-73,,Personal foul by T. Black (drawn by C. Frye)
11:21.0,E. Fournier makes 2-pt shot from 1 ft,2,69-73,,
11:21.0,Shooting foul by J. Clarkson (drawn by E. Fournier),,69-73,,
11:21.0,E. Fournier makes free throw 1 of 1,1,70-73,,
10:57.0,,,70-75,2,J. Lin makes 2-pt shot from 16 ft
10:41.0,E. Fournier misses 2-pt shot from 18 ft,,70-75,,
10:40.0,,,70-75,,Defensive rebound by T. Black
10:28.0,,,70-75,,C. Boozer misses 2-pt shot from 6 ft
10:27.0,,,70-75,,Offensive rebound by T. Black
10:26.0,,,70-75,,Shooting foul by A. Nicholson (drawn by T. Black)
10:26.0,,,70-77,2,T. Black makes 2-pt shot from 2 ft
10:26.0,,,70-77,,W. Ellington enters the game for J. Clarkson
10:26.0,,,70-78,1,T. Black makes free throw 1 of 1
10:18.0,Offensive foul by A. Nicholson,,70-78,,
10:18.0,Turnover by A. Nicholson (offensive foul),,70-78,,
10:18.0,N. Vucevic enters the game for A. Nicholson,,70-78,,
10:02.0,,,70-78,,C. Boozer misses 2-pt shot from 2 ft
10:01.0,Defensive rebound by L. Ridnour,,70-78,,
9:51.0,,,70-78,,Personal foul by T. Black (drawn by E. Fournier)
9:41.0,E. Fournier misses 2-pt shot at rim (block by C. Boozer),,70-78,,
9:39.0,,,70-78,,Defensive rebound by C. Boozer
9:39.0,,,70-78,,Shooting foul by L. Ridnour (drawn by N. Young)
9:39.0,,,70-79,1,N. Young makes free throw 1 of 2
9:39.0,,,70-80,1,N. Young makes free throw 2 of 2
9:28.0,L. Ridnour misses 2-pt shot from 18 ft,,70-80,,
9:27.0,,,70-80,,Defensive rebound by C. Boozer
9:17.0,,,70-82,2,J. Lin makes 2-pt shot from 1 ft
9:07.0,Offensive foul by N. Vucevic,,70-82,,
9:07.0,Turnover by N. Vucevic (offensive foul),,70-82,,
9:07.0,V. Oladipo enters the game for L. Ridnour,,70-82,,
8:54.0,,,70-82,,N. Young misses 2-pt shot from 19 ft
8:53.0,Defensive rebound by N. Vucevic,,70-82,,
8:42.0,T. Harris makes 2-pt shot from 1 ft,2,72-82,,
8:24.0,,,72-82,,Shooting foul by V. Oladipo (drawn by J. Lin)
8:24.0,,,72-82,,J. Lin misses free throw 1 of 2
8:24.0,,,72-82,,Offensive rebound by Team
8:24.0,,,72-82,,J. Lin misses free throw 2 of 2
8:23.0,Defensive rebound by N. Vucevic,,72-82,,
8:07.0,N. Vucevic misses 2-pt shot from 2 ft,,72-82,,
8:06.0,,,72-82,,Defensive rebound by J. Lin
7:59.0,,,72-82,,N. Young misses 2-pt shot from 14 ft
7:57.0,,,72-82,,Offensive rebound by Team
7:57.0,E. Payton enters the game for E. Fournier,,72-82,,
7:52.0,,,72-82,,W. Ellington misses 3-pt shot from 24 ft
7:51.0,,,72-82,,Offensive rebound by T. Black
7:37.0,,,72-82,,N. Young misses 2-pt shot from 9 ft
7:36.0,Defensive rebound by C. Frye,,72-82,,
7:23.0,N. Vucevic misses 2-pt shot from 1 ft (block by J. Lin),,72-82,,
7:22.0,Offensive rebound by N. Vucevic,,72-82,,
7:22.0,Shooting foul by C. Boozer (drawn by N. Vucevic),,72-82,,
7:22.0,N. Vucevic makes free throw 1 of 2,1,73-82,,
7:22.0,N. Vucevic makes free throw 2 of 2,1,74-82,,
7:09.0,Personal foul by T. Harris (drawn by T. Black),,74-82,,
7:09.0,,,74-83,1,T. Black makes free throw 1 of 2
7:09.0,,,74-84,1,T. Black makes free throw 2 of 2
6:51.0,N. Vucevic makes 2-pt shot from 7 ft (assist by V. Oladipo),2,76-84,,
6:33.0,,,76-84,,Shooting foul by E. Payton (drawn by T. Black)
6:33.0,,,76-85,1,T. Black makes free throw 1 of 2
6:33.0,,,76-85,,R. Kelly enters the game for N. Young
6:33.0,,,76-86,1,T. Black makes free throw 2 of 2
6:21.0,T. Harris makes 2-pt shot at rim (assist by C. Frye),2,78-86,,
6:03.0,,,78-86,,J. Lin misses 2-pt shot from 17 ft
6:01.0,,,78-86,,Offensive rebound by W. Ellington
5:54.0,,,78-88,2,T. Black makes 2-pt shot at rim (assist by J. Lin)
5:45.0,T. Harris misses 2-pt shot from 2 ft,,78-88,,
5:45.0,,,78-88,,Defensive rebound by C. Boozer
5:45.0,Personal foul by E. Payton (drawn by J. Lin),,78-88,,
5:45.0,Official timeout,,78-88,,
5:45.0,,,78-88,,R. Price enters the game for W. Ellington
5:45.0,,,78-89,1,J. Lin makes free throw 1 of 2
5:45.0,,,78-89,,J. Lin misses free throw 2 of 2
5:44.0,Defensive rebound by N. Vucevic,,78-89,,
5:35.0,,,78-89,,Violation by J. Lin (kicked ball)
5:27.0,C. Frye misses 3-pt shot from 24 ft,,78-89,,
5:26.0,,,78-89,,Defensive rebound by C. Boozer
