time,Chicago,pts.away,score,pts.home,Brooklyn
10:03.0,P. Gasol makes 2-pt shot from 6 ft,2,50-46,,
9:47.0,,,50-46,,K. Garnett misses 2-pt shot from 16 ft
9:46.0,Defensive rebound by P. Gasol,,50-46,,
9:34.0,P. Gasol makes 2-pt shot from 18 ft (assist by J. Butler),2,52-46,,
9:22.0,,,52-46,,Turnover by D. Williams (lost ball)
9:22.0,,,52-46,,J. Jordan enters the game for B. Lopez
9:09.0,M. Dunleavy misses 3-pt shot from 24 ft,,52-46,,
9:08.0,,,52-46,,Defensive rebound by K. Garnett
8:58.0,,,52-46,,Turnover by B. Bogdanovic (lost ball; steal by J. Noah)
8:52.0,J. Butler makes 2-pt shot from 1 ft (assist by D. Rose),2,54-46,,
8:52.0,,,54-46,,Brooklyn full timeout
8:33.0,,,54-46,,K. Garnett misses 2-pt shot from 15 ft
8:32.0,Defensive rebound by J. Butler,,54-46,,
8:13.0,P. Gasol makes 2-pt shot from 10 ft (assist by J. Butler),2,56-46,,
7:56.0,,,56-48,2,J. Jordan makes 2-pt shot at rim (assist by B. Bogdanovic)
7:38.0,P. Gasol misses 2-pt shot from 7 ft,,56-48,,
7:37.0,,,56-48,,Defensive rebound by K. Garnett
7:37.0,,,56-48,,Technical foul by K. Garnett
7:37.0,J. Butler misses technical free throw,,56-48,,
7:37.0,,,56-48,,Offensive rebound by Team
7:37.0,,,56-48,,M. Teletovic enters the game for K. Garnett
7:37.0,,,56-48,,J. Jack enters the game for J. Johnson
7:28.0,,,56-48,,M. Teletovic misses 3-pt shot from 25 ft
7:27.0,Defensive rebound by P. Gasol,,56-48,,
7:27.0,,,56-48,,Personal foul by J. Jordan (drawn by P. Gasol)
7:14.0,J. Butler misses 2-pt shot from 3 ft,,56-48,,
7:13.0,,,56-48,,Defensive rebound by B. Bogdanovic
7:05.0,,,56-48,,Turnover by D. Williams (lost ball; steal by P. Gasol)
7:01.0,J. Butler makes 2-pt shot at rim (assist by D. Rose),2,58-48,,
6:42.0,,,58-50,2,J. Jack makes 2-pt shot from 17 ft (assist by D. Williams)
6:22.0,J. Butler makes 2-pt shot from 18 ft (assist by M. Dunleavy),2,60-50,,
6:08.0,,,60-50,,M. Teletovic misses 3-pt shot from 24 ft
6:07.0,Defensive rebound by M. Dunleavy,,60-50,,
6:01.0,D. Rose makes 3-pt shot from 23 ft,3,63-50,,
6:01.0,,,63-50,,Brooklyn full timeout
5:51.0,,,63-50,,M. Teletovic misses 2-pt shot at rim
5:50.0,,,63-50,,Offensive rebound by M. Teletovic
5:49.0,,,63-50,,M. Teletovic misses 2-pt shot from 1 ft
5:48.0,Defensive rebound by M. Dunleavy,,63-50,,
5:41.0,D. Rose misses 2-pt shot from 2 ft,,63-50,,
5:40.0,,,63-50,,Defensive rebound by J. Jack
5:30.0,,,63-50,,D. Williams misses 3-pt shot from 23 ft
5:29.0,Defensive rebound by D. Rose,,63-50,,
5:13.0,J. Butler misses 3-pt shot from 23 ft,,63-50,,
5:12.0,Offensive rebound by P. Gasol,,63-50,,
5:11.0,P. Gasol makes 2-pt shot from 2 ft,2,65-50,,
4:54.0,,,65-50,,B. Bogdanovic misses 3-pt shot from 23 ft
4:53.0,,,65-50,,Offensive rebound by J. Jack
4:45.0,,,65-52,2,J. Jack makes 2-pt shot from 18 ft
4:28.0,D. Rose makes 2-pt shot from 10 ft,2,67-52,,
4:19.0,,,67-54,2,D. Williams makes 2-pt shot from 2 ft
4:02.0,D. Rose misses 3-pt shot from 25 ft,,67-54,,
4:01.0,,,67-54,,Defensive rebound by M. Teletovic
3:50.0,,,67-54,,M. Teletovic misses 3-pt shot from 24 ft
3:49.0,Defensive rebound by P. Gasol,,67-54,,
3:45.0,Shooting foul by B. Bogdanovic (drawn by J. Noah),,67-54,,
3:45.0,J. Noah misses free throw 1 of 2,,67-54,,
3:45.0,Offensive rebound by Team,,67-54,,
3:45.0,K. Hinrich enters the game for D. Rose,,67-54,,
3:45.0,,,67-54,,M. Plumlee enters the game for M. Teletovic
3:45.0,,,67-54,,J. Johnson enters the game for B. Bogdanovic
3:45.0,J. Noah makes free throw 2 of 2,1,68-54,,
3:22.0,,,68-56,2,J. Jordan makes 2-pt shot from 2 ft (assist by J. Jack)
3:01.0,M. Dunleavy misses 3-pt shot from 25 ft,,68-56,,
3:00.0,,,68-56,,Defensive rebound by J. Jack
2:55.0,,,68-58,2,M. Plumlee makes 2-pt shot at rim (assist by J. Jack)
2:55.0,Chicago full timeout,,68-58,,
2:55.0,N. Mirotic enters the game for J. Noah,,68-58,,
2:55.0,A. Brooks enters the game for M. Dunleavy,,68-58,,
2:41.0,Turnover by P. Gasol (bad pass),,68-58,,
2:27.0,,,68-58,,J. Jack misses 2-pt shot from 14 ft
2:26.0,Defensive rebound by N. Mirotic,,68-58,,
2:22.0,Turnover by A. Brooks (bad pass),,68-58,,
2:07.0,,,68-58,,J. Johnson misses 3-pt shot from 24 ft
2:05.0,Defensive rebound by P. Gasol,,68-58,,
1:52.0,Shooting foul by J. Jordan (drawn by P. Gasol),,68-58,,
1:52.0,P. Gasol makes free throw 1 of 2,1,69-58,,
1:52.0,T. Snell enters the game for J. Butler,,69-58,,
1:52.0,P. Gasol makes free throw 2 of 2,1,70-58,,
1:36.0,,,70-60,2,J. Jack makes 2-pt shot from 6 ft (assist by J. Jordan)
1:24.0,A. Brooks misses 2-pt shot from 5 ft,,70-60,,
1:23.0,Offensive rebound by A. Brooks,,70-60,,
1:19.0,K. Hinrich misses 3-pt shot from 24 ft,,70-60,,
1:18.0,,,70-60,,Defensive rebound by J. Jack
1:11.0,,,70-60,,J. Jack misses 2-pt shot from 12 ft
1:10.0,Defensive rebound by Team,,70-60,,
1:10.0,,,70-60,,Loose ball foul by M. Plumlee (drawn by N. Mirotic)
1:10.0,N. Mirotic makes free throw 1 of 2,1,71-60,,
1:10.0,N. Mirotic makes free throw 2 of 2,1,72-60,,
1:01.0,,,72-60,,J. Jordan misses 2-pt shot from 2 ft (block by N. Mirotic)
1:00.0,,,72-60,,Offensive rebound by M. Plumlee
0:59.0,,,72-60,,Shooting foul by P. Gasol (drawn by M. Plumlee)
0:59.0,,,72-60,,M. Plumlee misses free throw 1 of 2
0:59.0,,,72-60,,Offensive rebound by Team
0:59.0,,,72-61,1,M. Plumlee makes free throw 2 of 2
0:44.0,N. Mirotic misses 3-pt shot from 27 ft,,72-61,,
0:43.0,,,72-61,,Defensive rebound by Team
0:43.0,Loose ball foul by T. Snell (drawn by D. Williams),,72-61,,
0:43.0,,,72-62,1,D. Williams makes free throw 1 of 2
0:43.0,,,72-63,1,D. Williams makes free throw 2 of 2
0:31.0,,,72-63,,Personal foul by J. Jordan (drawn by P. Gasol)
0:31.0,P. Gasol makes free throw 1 of 2,1,73-63,,
0:31.0,E. Moore enters the game for A. Brooks,,73-63,,
0:31.0,,,73-63,,Violation by J. Jordan (lane)
0:31.0,P. Gasol makes free throw 2 of 2,1,74-63,,
0:14.0,,,74-63,,M. Plumlee misses 2-pt shot from 6 ft
0:13.0,Defensive rebound by P. Gasol,,74-63,,
0:04.0,Shooting foul by M. Plumlee (drawn by N. Mirotic),,74-63,,
0:04.0,N. Mirotic makes free throw 1 of 2,1,75-63,,
0:04.0,N. Mirotic makes free throw 2 of 2,1,76-63,,
0:01.0,,,76-63,,J. Jack misses 3-pt shot from 39 ft
0:00.0,,,76-63,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:43.0,Loose ball foul by N. Mirotic (drawn by K. Garnett),,76-63,,
11:34.0,,,76-63,,Shooting foul by K. Hinrich (drawn by M. Plumlee)
11:34.0,,,76-63,,M. Plumlee misses free throw 1 of 2
11:34.0,,,76-63,,Offensive rebound by Team
11:34.0,,,76-64,1,M. Plumlee makes free throw 2 of 2
11:18.0,Turnover by N. Mirotic (bad pass; steal by A. Anderson),,76-64,,
10:59.0,,,76-66,2,B. Bogdanovic makes 2-pt shot from 2 ft
10:37.0,Shooting foul by A. Anderson (drawn by J. Butler),,76-66,,
10:37.0,J. Butler makes free throw 1 of 2,1,77-66,,
10:37.0,,,77-66,,M. Teletovic enters the game for M. Plumlee
10:37.0,J. Butler makes free throw 2 of 2,1,78-66,,
10:16.0,,,78-66,,J. Jack misses 2-pt shot from 14 ft
10:15.0,Defensive rebound by N. Mirotic,,78-66,,
9:56.0,A. Brooks misses 3-pt shot from 25 ft,,78-66,,
9:55.0,Offensive rebound by J. Noah,,78-66,,
9:54.0,Shooting foul by M. Teletovic (drawn by J. Noah),,78-66,,
9:54.0,J. Noah misses free throw 1 of 2,,78-66,,
9:54.0,Offensive rebound by Team,,78-66,,
9:54.0,J. Noah misses free throw 2 of 2,,78-66,,
9:53.0,,,78-66,,Defensive rebound by K. Garnett
9:44.0,Personal foul by J. Noah (drawn by K. Garnett),,78-66,,
9:34.0,,,78-66,,A. Anderson misses 2-pt shot from 11 ft
9:32.0,Defensive rebound by J. Noah,,78-66,,
9:19.0,Turnover by A. Brooks (lost ball; steal by J. Jack),,78-66,,
9:13.0,,,78-66,,B. Bogdanovic misses 2-pt shot from 2 ft (block by K. Hinrich)
9:12.0,Defensive rebound by J. Noah,,78-66,,
9:06.0,A. Brooks makes 3-pt shot from 24 ft (assist by K. Hinrich),3,81-66,,
8:44.0,,,81-68,2,M. Teletovic makes 2-pt shot from 1 ft
8:30.0,A. Brooks makes 2-pt shot from 2 ft,2,83-68,,
8:30.0,Shooting foul by A. Anderson (drawn by A. Brooks),,83-68,,
8:30.0,Official timeout,,83-68,,
8:30.0,A. Brooks makes free throw 1 of 1,1,84-68,,
8:23.0,Personal foul by K. Hinrich (drawn by A. Anderson),,84-68,,
8:23.0,D. Rose enters the game for K. Hinrich,,84-68,,
8:18.0,,,84-68,,Shooting foul by J. Noah (drawn by K. Garnett)
8:18.0,,,84-70,2,K. Garnett makes 2-pt shot from 2 ft (assist by J. Jack)
8:18.0,,,84-70,,D. Williams enters the game for A. Anderson
8:18.0,,,84-71,1,K. Garnett makes free throw 1 of 1
7:57.0,N. Mirotic makes 3-pt shot from 23 ft (assist by J. Butler),3,87-71,,
7:44.0,,,87-71,,Shooting foul by N. Mirotic (drawn by M. Teletovic)
7:44.0,,,87-72,1,M. Teletovic makes free throw 1 of 2
7:44.0,,,87-72,,J. Johnson enters the game for B. Bogdanovic
7:44.0,,,87-73,1,M. Teletovic makes free throw 2 of 2
7:23.0,A. Brooks makes 3-pt shot from 25 ft (assist by J. Butler),3,90-73,,
7:13.0,,,90-73,,Offensive foul by M. Teletovic
7:13.0,,,90-73,,Turnover by M. Teletovic (offensive foul)
7:13.0,,,90-73,,B. Lopez enters the game for M. Teletovic
6:53.0,J. Butler makes 2-pt shot from 6 ft (assist by J. Noah),2,92-73,,
6:35.0,,,92-73,,J. Jack misses 2-pt shot from 11 ft
6:33.0,Defensive rebound by J. Noah,,92-73,,
6:21.0,Turnover by J. Noah (bad pass; steal by K. Garnett),,92-73,,
6:17.0,,,92-73,,D. Williams misses 2-pt shot from 8 ft
6:16.0,Defensive rebound by N. Mirotic,,92-73,,
6:08.0,Offensive foul by N. Mirotic,,92-73,,
6:08.0,Turnover by N. Mirotic (offensive foul),,92-73,,
5:59.0,Personal foul by J. Butler (drawn by J. Johnson),,92-73,,
5:59.0,,,92-73,,Brooklyn full timeout
5:59.0,,,92-73,,M. Teletovic enters the game for K. Garnett
5:59.0,,,92-73,,J. Johnson misses free throw 1 of 2
5:59.0,,,92-73,,Offensive rebound by Team
5:59.0,,,92-74,1,J. Johnson makes free throw 2 of 2
5:40.0,Offensive foul by J. Noah,,92-74,,
5:40.0,Turnover by J. Noah (offensive foul),,92-74,,
5:18.0,,,92-74,,J. Johnson misses 2-pt shot from 3 ft (block by J. Noah)
5:18.0,,,92-74,,Offensive rebound by Team
5:18.0,P. Gasol enters the game for J. Noah,,92-74,,
5:12.0,,,92-74,,D. Williams misses 2-pt shot from 16 ft
