time,Portland,pts.away,score,pts.home,Miami
5:39.0,L. Aldridge makes 2-pt shot from 19 ft (assist by D. Lillard),2,18-15,,
5:16.0,,,18-17,2,D. Wade makes 2-pt shot from 11 ft
4:59.0,L. Aldridge misses 2-pt shot from 18 ft,,18-17,,
4:58.0,,,18-17,,Defensive rebound by D. Wade
4:48.0,,,18-17,,D. Wade misses 2-pt shot at rim
4:47.0,,,18-17,,Offensive rebound by H. Whiteside
4:46.0,,,18-19,2,H. Whiteside makes 2-pt shot at rim
4:25.0,A. Afflalo makes 3-pt shot from 24 ft (assist by L. Aldridge),3,21-19,,
4:08.0,,,21-19,,Shooting foul by L. Aldridge (drawn by L. Deng)
4:08.0,,,21-20,1,L. Deng makes free throw 1 of 2
4:08.0,,,21-20,,M. Chalmers enters the game for D. Wade
4:08.0,D. Wright enters the game for A. Afflalo,,21-20,,
4:08.0,C. McCollum enters the game for N. Batum,,21-20,,
4:08.0,,,21-21,1,L. Deng makes free throw 2 of 2
3:51.0,D. Lillard makes 2-pt shot from 15 ft,2,23-21,,
3:30.0,,,23-21,,Turnover by U. Haslem (3 sec)
3:30.0,C. Kaman enters the game for R. Lopez,,23-21,,
3:21.0,,,23-21,,Personal foul by G. Dragic (drawn by D. Lillard)
3:21.0,,,23-21,,M. Beasley enters the game for U. Haslem
3:13.0,L. Aldridge misses 3-pt shot from 23 ft,,23-21,,
3:12.0,Offensive rebound by C. Kaman,,23-21,,
3:11.0,C. Kaman misses 2-pt shot from 6 ft (block by H. Whiteside),,23-21,,
3:10.0,,,23-21,,Defensive rebound by G. Dragic
3:01.0,,,23-23,2,G. Dragic makes 2-pt shot from 1 ft
2:54.0,Portland full timeout,,23-23,,
2:54.0,S. Blake enters the game for D. Lillard,,23-23,,
2:41.0,,,23-23,,Personal foul by M. Beasley (drawn by L. Aldridge)
2:30.0,C. McCollum misses 3-pt shot from 25 ft,,23-23,,
2:29.0,,,23-23,,Defensive rebound by M. Beasley
2:15.0,,,23-23,,M. Beasley misses 2-pt shot from 19 ft
2:14.0,Defensive rebound by L. Aldridge,,23-23,,
2:04.0,L. Aldridge makes 2-pt shot from 1 ft (assist by S. Blake),2,25-23,,
1:46.0,,,25-25,2,G. Dragic makes 2-pt shot from 18 ft
1:34.0,C. Kaman makes 2-pt shot from 1 ft (assist by S. Blake),2,27-25,,
1:25.0,Personal foul by S. Blake (drawn by H. Whiteside),,27-25,,
1:25.0,,,27-25,,C. Andersen enters the game for H. Whiteside
1:25.0,,,27-25,,T. Johnson enters the game for G. Dragic
1:11.0,,,27-27,2,M. Chalmers makes 2-pt shot from 20 ft
1:11.0,,,27-27,,Shooting foul by D. Wright (drawn by M. Chalmers)
1:11.0,,,27-27,,M. Chalmers misses free throw 1 of 1
1:09.0,Defensive rebound by C. Kaman,,27-27,,
1:00.0,L. Aldridge makes 2-pt shot at rim (assist by S. Blake),2,29-27,,
0:44.0,,,29-27,,L. Deng misses 2-pt shot from 13 ft
0:43.0,Defensive rebound by C. Kaman,,29-27,,
0:33.0,D. Wright makes 3-pt shot from 24 ft (assist by C. Kaman),3,32-27,,
0:17.0,,,32-27,,M. Chalmers misses 2-pt shot from 15 ft
0:16.0,,,32-27,,Offensive rebound by M. Chalmers
0:04.0,,,32-27,,Turnover by M. Chalmers (bad pass; steal by L. Aldridge)
0:02.0,Turnover by S. Blake (bad pass; steal by M. Chalmers),,32-27,,
0:00.0,,,32-27,,T. Johnson misses 3-pt shot from 40 ft
0:00.0,,,32-27,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:33.0,D. Wright misses 3-pt shot from 25 ft,,32-27,,
11:32.0,,,32-27,,Defensive rebound by T. Johnson
11:31.0,Personal foul by D. Wright (drawn by T. Johnson),,32-27,,
11:18.0,,,32-27,,D. Wade misses 2-pt shot from 11 ft
11:17.0,,,32-27,,Offensive rebound by Team
11:09.0,,,32-27,,Offensive foul by M. Chalmers
11:09.0,,,32-27,,Turnover by M. Chalmers (offensive foul)
10:57.0,Offensive foul by C. McCollum,,32-27,,
10:57.0,Turnover by C. McCollum (offensive foul),,32-27,,
10:46.0,,,32-27,,Offensive foul by D. Wade
10:46.0,,,32-27,,Turnover by D. Wade (offensive foul)
10:33.0,,,32-27,,Personal foul by D. Wade (drawn by D. Wright)
10:26.0,C. McCollum misses 3-pt shot from 24 ft,,32-27,,
10:25.0,Offensive rebound by C. Kaman,,32-27,,
10:20.0,M. Leonard misses 2-pt shot from 1 ft,,32-27,,
10:19.0,,,32-27,,Defensive rebound by Team
10:01.0,,,32-27,,D. Wade misses 2-pt shot from 2 ft
10:00.0,Defensive rebound by M. Leonard,,32-27,,
9:53.0,M. Leonard makes 2-pt shot from 1 ft (assist by S. Blake),2,34-27,,
9:53.0,Shooting foul by M. Chalmers (drawn by M. Leonard),,34-27,,
9:53.0,M. Leonard makes free throw 1 of 1,1,35-27,,
9:43.0,,,35-29,2,C. Andersen makes 2-pt shot at rim (assist by M. Chalmers)
9:22.0,C. Kaman makes 2-pt shot from 17 ft (assist by S. Blake),2,37-29,,
9:10.0,,,37-31,2,D. Wade makes 2-pt shot from 1 ft (assist by C. Andersen)
8:43.0,C. McCollum makes 2-pt shot from 12 ft (assist by S. Blake),2,39-31,,
8:27.0,,,39-31,,D. Wade misses 2-pt shot from 10 ft
8:26.0,Defensive rebound by C. Kaman,,39-31,,
8:23.0,Turnover by S. Blake (bad pass),,39-31,,
8:23.0,Official timeout,,39-31,,
8:23.0,N. Batum enters the game for D. Wright,,39-31,,
8:23.0,A. Afflalo enters the game for C. McCollum,,39-31,,
8:12.0,,,39-31,,M. Chalmers misses 2-pt shot from 16 ft
8:11.0,Defensive rebound by M. Leonard,,39-31,,
8:01.0,M. Leonard misses 2-pt shot from 12 ft,,39-31,,
8:00.0,,,39-31,,Defensive rebound by C. Andersen
7:58.0,,,39-31,,Turnover by M. Chalmers (bad pass)
7:48.0,,,39-31,,G. Dragic enters the game for M. Chalmers
7:40.0,Shooting foul by C. Andersen (drawn by M. Leonard),,39-31,,
7:40.0,M. Leonard makes free throw 1 of 2,1,40-31,,
7:40.0,,,40-31,,H. Whiteside enters the game for C. Andersen
7:40.0,D. Lillard enters the game for S. Blake,,40-31,,
7:40.0,M. Leonard makes free throw 2 of 2,1,41-31,,
7:29.0,,,41-31,,M. Beasley misses 2-pt shot from 16 ft
7:28.0,Defensive rebound by A. Afflalo,,41-31,,
7:15.0,Shooting foul by T. Johnson (drawn by A. Afflalo),,41-31,,
7:15.0,A. Afflalo makes free throw 1 of 2,1,42-31,,
7:15.0,,,42-31,,U. Haslem enters the game for M. Beasley
7:15.0,A. Afflalo misses free throw 2 of 2,,42-31,,
7:14.0,Offensive rebound by M. Leonard,,42-31,,
6:58.0,M. Leonard misses 3-pt shot from 24 ft,,42-31,,
6:57.0,,,42-31,,Defensive rebound by U. Haslem
6:44.0,,,42-33,2,D. Wade makes 2-pt shot from 1 ft
6:34.0,N. Batum misses 3-pt shot from 24 ft,,42-33,,
6:33.0,,,42-33,,Defensive rebound by U. Haslem
6:17.0,,,42-35,2,G. Dragic makes 2-pt shot from 18 ft
5:54.0,A. Afflalo misses 2-pt shot from 5 ft (block by H. Whiteside),,42-35,,
5:53.0,,,42-35,,Defensive rebound by G. Dragic
5:49.0,,,42-37,2,G. Dragic makes 2-pt shot from 1 ft
5:47.0,Portland full timeout,,42-37,,
5:47.0,L. Aldridge enters the game for C. Kaman,,42-37,,
5:47.0,R. Lopez enters the game for M. Leonard,,42-37,,
5:47.0,,,42-37,,L. Deng enters the game for D. Wade
5:27.0,L. Aldridge makes 2-pt shot from 19 ft (assist by D. Lillard),2,44-37,,
5:04.0,,,44-37,,H. Whiteside misses 2-pt shot from 17 ft
5:03.0,Defensive rebound by A. Afflalo,,44-37,,
4:57.0,L. Aldridge misses 2-pt shot from 17 ft,,44-37,,
4:56.0,Offensive rebound by R. Lopez,,44-37,,
4:54.0,R. Lopez misses 2-pt shot at rim,,44-37,,
4:53.0,Offensive rebound by R. Lopez,,44-37,,
4:52.0,R. Lopez makes 2-pt shot at rim,2,46-37,,
4:41.0,,,46-39,2,G. Dragic makes 2-pt shot from 1 ft
4:31.0,,,46-39,,Personal foul by G. Dragic (drawn by D. Lillard)
4:31.0,D. Lillard makes free throw 1 of 2,1,47-39,,
4:31.0,D. Lillard misses free throw 2 of 2,,47-39,,
4:30.0,,,47-39,,Defensive rebound by H. Whiteside
4:17.0,,,47-39,,T. Johnson misses 2-pt shot from 19 ft
4:16.0,Defensive rebound by L. Aldridge,,47-39,,
4:06.0,D. Lillard misses 2-pt shot from 7 ft,,47-39,,
4:05.0,,,47-39,,Defensive rebound by U. Haslem
4:01.0,,,47-41,2,G. Dragic makes 2-pt shot at rim (assist by U. Haslem)
3:48.0,L. Aldridge misses 2-pt shot from 18 ft,,47-41,,
3:47.0,,,47-41,,Defensive rebound by G. Dragic
3:33.0,,,47-41,,H. Whiteside misses 2-pt shot from 5 ft
3:32.0,,,47-41,,Offensive rebound by H. Whiteside
3:30.0,,,47-43,2,H. Whiteside makes 2-pt shot from 3 ft
3:13.0,D. Lillard makes 2-pt shot from 2 ft,2,49-43,,
2:53.0,,,49-45,2,L. Deng makes 2-pt shot from 8 ft (assist by G. Dragic)
2:37.0,R. Lopez makes 2-pt shot from 11 ft (assist by N. Batum),2,51-45,,
2:36.0,,,51-45,,Miami full timeout
2:36.0,,,51-45,,D. Wade enters the game for T. Johnson
2:22.0,,,51-45,,D. Wade misses 2-pt shot from 11 ft
2:21.0,Defensive rebound by L. Aldridge,,51-45,,
2:06.0,D. Lillard makes 3-pt shot from 25 ft (assist by N. Batum),3,54-45,,
1:49.0,Personal foul by D. Lillard (drawn by U. Haslem),,54-45,,
1:39.0,,,54-45,,Turnover by U. Haslem (bad pass; steal by N. Batum)
1:34.0,A. Afflalo makes 2-pt shot from 1 ft (assist by N. Batum),2,56-45,,
1:16.0,,,56-45,,D. Wade misses 2-pt shot from 6 ft
1:15.0,Defensive rebound by R. Lopez,,56-45,,
1:03.0,Turnover by R. Lopez (bad pass; steal by L. Deng),,56-45,,
1:00.0,,,56-45,,Shooting foul by A. Afflalo (drawn by L. Deng)
1:00.0,Technical foul by R. Lopez,,56-45,,
1:00.0,,,56-46,1,D. Wade makes technical free throw
1:00.0,,,56-46,,L. Deng misses free throw 1 of 2
1:00.0,,,56-46,,Offensive rebound by Team
1:00.0,,,56-46,,T. Johnson enters the game for G. Dragic
1:00.0,,,56-46,,M. Chalmers enters the game for D. Wade
1:00.0,,,56-46,,L. Deng misses free throw 2 of 2
0:59.0,Defensive rebound by N. Batum,,56-46,,
0:51.0,D. Lillard misses 2-pt shot from 2 ft (block by H. Whiteside),,56-46,,
0:50.0,,,56-46,,Defensive rebound by T. Johnson
0:36.0,,,56-46,,T. Johnson misses 2-pt shot from 9 ft
0:36.0,Defensive rebound by Team,,56-46,,
0:36.0,,,56-46,,Loose ball foul by U. Haslem (drawn by N. Batum)
0:36.0,N. Batum misses free throw 1 of 2,,56-46,,
0:36.0,Offensive rebound by Team,,56-46,,
0:36.0,,,56-46,,D. Wade enters the game for T. Johnson
0:36.0,N. Batum makes free throw 2 of 2,1,57-46,,
0:25.0,,,57-46,,M. Chalmers misses 2-pt shot from 12 ft
0:24.0,,,57-46,,Offensive rebound by D. Wade
0:03.0,,,57-48,2,D. Wade makes 2-pt shot from 4 ft
0:03.0,,,57-48,,Violation by Team (delay of game)
0:03.0,Portland full timeout,,57-48,,
0:03.0,C. Kaman enters the game for R. Lopez,,57-48,,
0:03.0,,,57-48,,T. Johnson enters the game for D. Wade
0:00.0,A. Afflalo misses 2-pt shot from 20 ft (block by H. Whiteside),,57-48,,
0:00.0,Offensive rebound by Team,,57-48,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:45.0,D. Lillard misses 2-pt shot from 8 ft,,57-48,,
11:44.0,,,57-48,,Defensive rebound by H. Whiteside
11:20.0,,,57-48,,Turnover by Team (shot clock)
10:56.0,L. Aldridge makes 2-pt shot from 10 ft,2,59-48,,
10:43.0,,,59-50,2,D. Wade makes 2-pt shot from 9 ft (assist by G. Dragic)
10:28.0,Turnover by D. Lillard (bad pass),,59-50,,
10:15.0,,,59-50,,H. Whiteside misses 2-pt shot from 7 ft
10:14.0,Defensive rebound by L. Aldridge,,59-50,,
10:05.0,L. Aldridge makes 2-pt shot from 17 ft (assist by N. Batum),2,61-50,,
9:48.0,,,61-52,2,H. Whiteside makes 2-pt shot from 12 ft (assist by D. Wade)
9:29.0,L. Aldridge misses 2-pt shot from 15 ft,,61-52,,
9:28.0,Offensive rebound by R. Lopez,,61-52,,
9:24.0,Turnover by R. Lopez (lost ball; steal by U. Haslem),,61-52,,
9:11.0,,,61-54,2,D. Wade makes 2-pt shot from 15 ft
8:53.0,N. Batum misses 2-pt shot from 15 ft,,61-54,,
8:52.0,,,61-54,,Defensive rebound by U. Haslem
8:48.0,,,61-54,,G. Dragic misses 2-pt shot from 9 ft (block by R. Lopez)
8:47.0,,,61-54,,Offensive rebound by Team
8:45.0,,,61-56,2,D. Wade makes 2-pt shot from 6 ft (assist by G. Dragic)
8:30.0,Shooting foul by U. Haslem (drawn by L. Aldridge),,61-56,,
8:30.0,L. Aldridge misses free throw 1 of 2,,61-56,,
8:30.0,Offensive rebound by Team,,61-56,,
8:30.0,L. Aldridge makes free throw 2 of 2,1,62-56,,
8:18.0,,,62-58,2,L. Deng makes 2-pt shot from 8 ft (assist by D. Wade)
8:01.0,A. Afflalo makes 3-pt shot from 24 ft (assist by N. Batum),3,65-58,,
7:43.0,,,65-61,3,L. Deng makes 3-pt shot from 24 ft (assist by D. Wade)
7:24.0,L. Aldridge misses 2-pt shot from 16 ft,,65-61,,
7:23.0,,,65-61,,Defensive rebound by L. Deng
7:14.0,,,65-64,3,U. Haslem makes 3-pt shot from 23 ft (assist by D. Wade)
7:14.0,Portland full timeout,,65-64,,
7:05.0,A. Afflalo misses 2-pt shot from 13 ft,,65-64,,
7:04.0,,,65-64,,Defensive rebound by H. Whiteside
6:38.0,,,65-64,,D. Wade misses 2-pt shot from 15 ft
6:37.0,Defensive rebound by L. Aldridge,,65-64,,
6:28.0,D. Lillard makes 3-pt shot from 24 ft,3,68-64,,
6:10.0,,,68-64,,H. Whiteside misses 2-pt shot from 16 ft
6:09.0,Defensive rebound by L. Aldridge,,68-64,,
5:57.0,Turnover by D. Lillard (bad pass; steal by G. Dragic),,68-64,,
5:48.0,,,68-67,3,L. Deng makes 3-pt shot from 24 ft (assist by G. Dragic)
5:30.0,Shooting foul by U. Haslem (drawn by R. Lopez),,68-67,,
5:30.0,R. Lopez makes free throw 1 of 2,1,69-67,,
5:30.0,,,69-67,,M. Chalmers enters the game for G. Dragic
5:30.0,R. Lopez makes free throw 2 of 2,1,70-67,,
5:08.0,,,70-67,,L. Deng misses 2-pt shot from 12 ft
5:07.0,Defensive rebound by L. Aldridge,,70-67,,
4:56.0,A. Afflalo misses 2-pt shot from 7 ft (block by H. Whiteside),,70-67,,
4:55.0,Offensive rebound by Team,,70-67,,
4:42.0,A. Afflalo misses 2-pt shot from 18 ft,,70-67,,
4:41.0,,,70-67,,Defensive rebound by D. Wade
4:30.0,,,70-67,,Turnover by D. Wade (traveling)
4:10.0,Turnover by L. Aldridge (lost ball; steal by D. Wade),,70-67,,
3:59.0,,,70-70,3,M. Chalmers makes 3-pt shot from 24 ft (assist by D. Wade)
3:43.0,D. Lillard makes 2-pt shot from 3 ft,2,72-70,,
3:43.0,Shooting foul by M. Chalmers (drawn by D. Lillard),,72-70,,
3:43.0,D. Wright enters the game for A. Afflalo,,72-70,,
3:43.0,D. Lillard misses free throw 1 of 1,,72-70,,
3:42.0,,,72-70,,Defensive rebound by H. Whiteside
3:29.0,,,72-70,,D. Wade misses 2-pt shot from 5 ft
3:28.0,,,72-70,,Offensive rebound by H. Whiteside
3:27.0,,,72-72,2,H. Whiteside makes 2-pt shot from 2 ft
3:07.0,L. Aldridge makes 2-pt shot from 12 ft,2,74-72,,
3:07.0,Shooting foul by U. Haslem (drawn by L. Aldridge),,74-72,,
3:07.0,,,74-72,,G. Dragic enters the game for D. Wade
3:07.0,C. Kaman enters the game for R. Lopez,,74-72,,
3:07.0,L. Aldridge misses free throw 1 of 1,,74-72,,
3:06.0,,,74-72,,Defensive rebound by Team
3:05.0,C. McCollum enters the game for N. Batum,,74-72,,
3:05.0,,,74-72,,Technical foul by U. Haslem (drawn by L. Aldridge)
3:05.0,,,74-72,,Miami full timeout
3:05.0,S. Blake enters the game for D. Lillard,,74-72,,
3:05.0,L. Aldridge makes technical free throw,1,75-72,,
3:05.0,Jump ball: H. Whiteside vs. D. Wright (M. Chalmers gains possession),,,,Jump ball: H. Whiteside vs. D. Wright (M. Chalmers gains possession)
2:46.0,,,75-74,2,U. Haslem makes 2-pt shot from 20 ft (assist by G. Dragic)
2:20.0,L. Aldridge makes 2-pt shot from 13 ft,2,77-74,,
2:06.0,,,77-74,,G. Dragic misses 2-pt shot from 1 ft
2:05.0,Defensive rebound by D. Wright,,77-74,,
1:55.0,C. McCollum misses 3-pt shot from 24 ft,,77-74,,
1:54.0,,,77-74,,Defensive rebound by U. Haslem
1:41.0,Personal foul by D. Wright (drawn by L. Deng),,77-74,,
1:41.0,,,77-74,,M. Beasley enters the game for U. Haslem
1:30.0,,,77-76,2,M. Beasley makes 2-pt shot from 16 ft (assist by G. Dragic)
1:13.0,Shooting foul by M. Beasley (drawn by L. Aldridge),,77-76,,
1:13.0,L. Aldridge makes free throw 1 of 2,1,78-76,,
1:13.0,L. Aldridge misses free throw 2 of 2,,78-76,,
1:12.0,Offensive rebound by C. Kaman,,78-76,,
1:11.0,C. Kaman makes 2-pt shot from 1 ft,2,80-76,,
0:56.0,,,80-76,,L. Deng misses 2-pt shot from 15 ft
0:55.0,Defensive rebound by L. Aldridge,,80-76,,
0:44.0,Shooting foul by M. Chalmers (drawn by C. Kaman),,80-76,,
0:44.0,C. Kaman misses free throw 1 of 2,,80-76,,
0:44.0,Offensive rebound by Team,,80-76,,
0:44.0,,,80-76,,T. Johnson enters the game for M. Chalmers
0:44.0,,,80-76,,C. Andersen enters the game for H. Whiteside
0:44.0,C. Kaman makes free throw 2 of 2,1,81-76,,
0:29.0,,,81-76,,M. Beasley misses 2-pt shot from 13 ft
0:28.0,Defensive rebound by C. Kaman,,81-76,,
0:22.0,Turnover by S. Blake (lost ball),,81-76,,
0:01.0,,,81-79,3,G. Dragic makes 3-pt shot from 24 ft
0:00.0,S. Blake misses 3-pt shot from 74 ft,,81-79,,
0:00.0,Offensive rebound by Team,,81-79,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:37.0,,,81-82,3,L. Deng makes 3-pt shot from 23 ft (assist by G. Dragic)
11:15.0,Turnover by C. Kaman (bad pass; steal by T. Johnson),,81-82,,
11:09.0,,,81-82,,Shooting foul by C. McCollum (drawn by G. Dragic)
11:09.0,,,81-83,1,G. Dragic makes free throw 1 of 2
11:09.0,,,81-83,,G. Dragic misses free throw 2 of 2
11:08.0,,,81-83,,Offensive rebound by M. Beasley
11:06.0,,,81-85,2,M. Beasley makes 2-pt shot from 12 ft
10:42.0,C. McCollum makes 2-pt shot from 19 ft (assist by M. Leonard),2,83-85,,
10:15.0,,,83-85,,G. Dragic misses 3-pt shot from 26 ft
10:14.0,Defensive rebound by C. Kaman,,83-85,,
9:57.0,S. Blake makes 3-pt shot from 25 ft (assist by C. Kaman),3,86-85,,
9:42.0,,,86-85,,M. Beasley misses 2-pt shot from 2 ft
9:41.0,Defensive rebound by C. Kaman,,86-85,,
9:29.0,,,86-85,,Violation by G. Dragic (kicked ball)
9:29.0,D. Lillard enters the game for C. McCollum,,86-85,,
9:19.0,Turnover by S. Blake (bad pass; steal by G. Dragic),,86-85,,
9:11.0,,,86-85,,T. Johnson misses 2-pt shot from 5 ft
9:10.0,Defensive rebound by D. Lillard,,86-85,,
9:02.0,D. Wright misses 3-pt shot from 23 ft,,86-85,,
9:01.0,Offensive rebound by C. Kaman,,86-85,,
8:55.0,C. Kaman makes 2-pt shot from 1 ft,2,88-85,,
8:46.0,,,88-85,,Miami full timeout
8:46.0,A. Afflalo enters the game for S. Blake,,88-85,,
8:35.0,,,88-87,2,M. Beasley makes 2-pt shot from 3 ft
8:19.0,Offensive charge foul by M. Leonard,,88-87,,
8:19.0,Turnover by M. Leonard (offensive foul),,88-87,,
8:07.0,,,88-87,,G. Dragic misses 2-pt shot from 6 ft
8:06.0,Defensive rebound by C. Kaman,,88-87,,
8:00.0,A. Afflalo misses 3-pt shot from 25 ft,,88-87,,
7:59.0,,,88-87,,Defensive rebound by L. Deng
7:49.0,,,88-89,2,L. Deng makes 2-pt shot from 22 ft
7:25.0,D. Lillard misses 3-pt shot from 24 ft,,88-89,,
7:24.0,Offensive rebound by C. Kaman,,88-89,,
7:20.0,D. Lillard misses 3-pt shot from 25 ft,,88-89,,
7:19.0,Offensive rebound by C. Kaman,,88-89,,
7:06.0,D. Wright misses 3-pt shot from 24 ft,,88-89,,
7:05.0,,,88-89,,Defensive rebound by T. Johnson
7:02.0,,,88-91,2,G. Dragic makes 2-pt shot from 1 ft (assist by T. Johnson)
6:59.0,Portland full timeout,,88-91,,
6:59.0,L. Aldridge enters the game for D. Wright,,88-91,,
6:59.0,N. Batum enters the game for C. Kaman,,88-91,,
6:59.0,R. Lopez enters the game for M. Leonard,,88-91,,
6:59.0,,,88-91,,D. Wade enters the game for T. Johnson
6:39.0,R. Lopez misses 2-pt shot at rim (block by C. Andersen),,88-91,,
6:37.0,Offensive rebound by Team,,88-91,,
6:37.0,,,88-91,,Loose ball foul by M. Beasley (drawn by L. Aldridge)
6:21.0,L. Aldridge misses 2-pt shot from 19 ft,,88-91,,
6:20.0,,,88-91,,Defensive rebound by L. Deng
6:15.0,,,88-93,2,D. Wade makes 2-pt shot from 14 ft
6:15.0,,,88-93,,Shooting foul by R. Lopez (drawn by D. Wade)
6:15.0,,,88-94,1,D. Wade makes free throw 1 of 1
5:50.0,A. Afflalo misses 2-pt shot from 18 ft,,88-94,,
5:49.0,,,88-94,,Defensive rebound by L. Deng
5:40.0,,,88-94,,Shooting foul by A. Afflalo (drawn by D. Wade)
5:40.0,,,88-95,1,D. Wade makes free throw 1 of 2
5:40.0,,,88-96,1,D. Wade makes free throw 2 of 2
5:25.0,Shooting foul by C. Andersen (drawn by L. Aldridge),,88-96,,
5:25.0,L. Aldridge makes 2-pt shot from 8 ft,2,90-96,,
5:25.0,L. Aldridge misses free throw 1 of 1,,90-96,,
5:24.0,,,90-96,,Defensive rebound by C. Andersen
5:03.0,,,90-96,,D. Wade misses 2-pt shot from 13 ft
5:02.0,Defensive rebound by N. Batum,,90-96,,
4:49.0,L. Aldridge makes 2-pt shot from 12 ft,2,92-96,,
4:28.0,,,92-96,,G. Dragic misses 2-pt shot from 13 ft
4:27.0,Defensive rebound by N. Batum,,92-96,,
4:12.0,L. Aldridge misses 2-pt shot from 15 ft,,92-96,,
4:11.0,,,92-96,,Defensive rebound by C. Andersen
4:07.0,,,92-96,,Miami full timeout
4:07.0,,,92-96,,H. Whiteside enters the game for M. Beasley
4:07.0,,,92-96,,U. Haslem enters the game for C. Andersen
3:54.0,,,92-96,,D. Wade misses 2-pt shot from 10 ft
3:53.0,,,92-96,,Offensive rebound by H. Whiteside
3:39.0,,,92-98,2,D. Wade makes 2-pt shot from 5 ft
3:25.0,N. Batum makes 3-pt shot from 24 ft (assist by A. Afflalo),3,95-98,,
2:58.0,,,95-100,2,H. Whiteside makes 2-pt shot from 3 ft
2:58.0,,,95-100,,Shooting foul by L. Aldridge (drawn by H. Whiteside)
2:58.0,Official timeout,,95-100,,
2:58.0,,,95-100,,H. Whiteside misses free throw 1 of 1
2:57.0,Defensive rebound by N. Batum,,95-100,,
2:42.0,D. Lillard makes 2-pt shot from 19 ft,2,97-100,,
2:26.0,,,97-102,2,D. Wade makes 2-pt shot from 16 ft
2:12.0,A. Afflalo makes 3-pt shot from 24 ft,3,100-102,,
1:50.0,,,100-102,,D. Wade misses 3-pt shot from 24 ft
1:49.0,Defensive rebound by D. Lillard,,100-102,,
1:35.0,L. Aldridge makes 2-pt shot from 8 ft,2,102-102,,
1:16.0,,,102-102,,G. Dragic misses 2-pt shot from 12 ft
1:15.0,Defensive rebound by L. Aldridge,,102-102,,
0:59.0,A. Afflalo misses 3-pt shot from 24 ft,,102-102,,
0:58.0,Offensive rebound by R. Lopez,,102-102,,
0:56.0,R. Lopez misses 2-pt shot from 1 ft (block by H. Whiteside),,102-102,,
0:54.0,Offensive rebound by L. Aldridge,,102-102,,
0:52.0,L. Aldridge makes 2-pt shot from 2 ft,2,104-102,,
