time,Portland,pts.away,score,pts.home,Utah
0:20.0,,,37-39,,E. Millsap enters the game for T. Burke
0:08.0,D. Lillard misses 2-pt shot from 4 ft,,37-39,,
0:07.0,,,37-39,,Defensive rebound by R. Gobert
0:01.0,,,37-39,,J. Ingles misses 2-pt shot from 21 ft
0:00.0,,,37-39,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:42.0,A. Afflalo misses 2-pt shot from 12 ft,,37-39,,
11:41.0,Offensive rebound by R. Lopez,,37-39,,
11:35.0,L. Aldridge misses 3-pt shot from 24 ft,,37-39,,
11:35.0,Offensive rebound by Team,,37-39,,
11:35.0,,,37-39,,Personal foul by R. Gobert (drawn by R. Lopez)
11:24.0,L. Aldridge makes 2-pt shot from 19 ft (assist by D. Lillard),2,39-39,,
11:04.0,,,39-39,,T. Burke misses 3-pt shot from 24 ft
11:03.0,Defensive rebound by D. Lillard,,39-39,,
10:50.0,A. Afflalo misses 3-pt shot from 23 ft,,39-39,,
10:48.0,Offensive rebound by Team,,39-39,,
10:47.0,Turnover by A. Crabbe (bad pass; steal by E. Millsap),,39-39,,
10:27.0,,,39-39,,D. Favors misses 2-pt shot from 20 ft
10:26.0,Defensive rebound by D. Lillard,,39-39,,
10:20.0,,,39-39,,Personal foul by D. Favors (drawn by D. Lillard)
10:20.0,,,39-39,,T. Booker enters the game for D. Favors
10:08.0,R. Lopez misses 2-pt shot from 1 ft,,39-39,,
10:06.0,,,39-39,,Defensive rebound by R. Gobert
9:57.0,,,39-39,,T. Burke misses 2-pt shot from 2 ft
9:56.0,Defensive rebound by L. Aldridge,,39-39,,
9:50.0,D. Lillard makes 3-pt shot from 24 ft,3,42-39,,
9:27.0,,,42-39,,E. Millsap misses 2-pt shot from 5 ft (block by R. Lopez)
9:26.0,,,42-39,,Offensive rebound by D. Exum
9:23.0,,,42-39,,Turnover by Team (shot clock)
9:10.0,A. Afflalo misses 2-pt shot from 17 ft,,42-39,,
9:08.0,Offensive rebound by R. Lopez,,42-39,,
9:08.0,R. Lopez misses 2-pt shot from 2 ft,,42-39,,
9:04.0,,,42-39,,Defensive rebound by R. Gobert
8:56.0,Personal foul by A. Crabbe (drawn by R. Gobert),,42-39,,
8:44.0,,,42-39,,E. Millsap misses 2-pt shot from 4 ft
8:42.0,,,42-39,,Offensive rebound by E. Millsap
8:42.0,,,42-41,2,E. Millsap makes 2-pt shot from 3 ft
8:32.0,Shooting foul by R. Gobert (drawn by A. Afflalo),,42-41,,
8:32.0,A. Afflalo misses free throw 1 of 2,,42-41,,
8:32.0,Offensive rebound by Team,,42-41,,
8:32.0,A. Afflalo makes free throw 2 of 2,1,43-41,,
8:20.0,,,43-43,2,R. Gobert makes 2-pt shot from 3 ft (assist by D. Exum)
8:06.0,D. Lillard misses 2-pt shot from 12 ft,,43-43,,
8:04.0,Offensive rebound by D. Lillard,,43-43,,
8:00.0,A. Crabbe misses 2-pt shot from 16 ft,,43-43,,
7:58.0,Offensive rebound by L. Aldridge,,43-43,,
7:55.0,Turnover by L. Aldridge (lost ball; steal by T. Booker),,43-43,,
7:40.0,,,43-43,,T. Burke misses 2-pt shot from 7 ft
7:38.0,Defensive rebound by R. Lopez,,43-43,,
7:32.0,,,43-43,,Personal foul by T. Booker (drawn by L. Aldridge)
7:32.0,,,43-43,,Technical foul by T. Booker (drawn by L. Aldridge)
7:32.0,D. Lillard makes technical free throw,1,44-43,,
7:26.0,L. Aldridge misses 2-pt shot from 14 ft,,44-43,,
7:25.0,,,44-43,,Defensive rebound by E. Millsap
7:04.0,,,44-43,,D. Exum misses 2-pt shot from 17 ft
7:03.0,Defensive rebound by A. Crabbe,,44-43,,
6:59.0,,,44-43,,Personal foul by E. Millsap (drawn by D. Lillard)
6:59.0,D. Lillard makes free throw 1 of 2,1,45-43,,
6:59.0,,,45-43,,J. Ingles enters the game for D. Exum
6:59.0,D. Lillard makes free throw 2 of 2,1,46-43,,
6:45.0,,,46-45,2,T. Burke makes 2-pt shot from 12 ft
6:25.0,Turnover by A. Afflalo (bad pass; steal by J. Ingles),,46-45,,
6:19.0,,,46-47,2,E. Millsap makes 2-pt shot at rim (assist by T. Booker)
6:02.0,A. Afflalo makes 2-pt shot from 2 ft (assist by D. Lillard),2,48-47,,
5:50.0,,,48-47,,Turnover by E. Millsap (bad pass; steal by A. Afflalo)
5:44.0,L. Aldridge makes 2-pt shot at rim (assist by D. Lillard),2,50-47,,
5:43.0,,,50-47,,Utah full timeout
5:43.0,C. McCollum enters the game for A. Afflalo,,50-47,,
5:24.0,,,50-50,3,J. Ingles makes 3-pt shot from 24 ft (assist by T. Burke)
5:03.0,D. Lillard misses 3-pt shot from 24 ft,,50-50,,
5:01.0,Offensive rebound by R. Lopez,,50-50,,
5:00.0,Shooting foul by T. Burke (drawn by D. Lillard),,50-50,,
5:00.0,D. Lillard makes free throw 1 of 2,1,51-50,,
5:00.0,D. Lillard makes free throw 2 of 2,1,52-50,,
4:50.0,,,52-50,,T. Booker misses 3-pt shot from 24 ft
4:48.0,Defensive rebound by A. Crabbe,,52-50,,
4:40.0,Shooting foul by E. Millsap (drawn by C. McCollum),,52-50,,
4:40.0,C. McCollum makes free throw 1 of 2,1,53-50,,
4:40.0,,,53-50,,D. Favors enters the game for R. Gobert
4:40.0,,,53-50,,I. Clark enters the game for E. Millsap
4:40.0,C. McCollum misses free throw 2 of 2,,53-50,,
4:38.0,,,53-50,,Defensive rebound by D. Favors
4:28.0,,,53-52,2,T. Burke makes 2-pt shot from 19 ft
4:02.0,R. Lopez misses 2-pt shot from 5 ft,,53-52,,
4:00.0,,,53-52,,Defensive rebound by D. Favors
3:45.0,,,53-54,2,J. Ingles makes 2-pt shot from 17 ft
3:44.0,Portland full timeout,,53-54,,
3:44.0,J. Freeland enters the game for R. Lopez,,53-54,,
3:44.0,D. Wright enters the game for A. Crabbe,,53-54,,
3:27.0,Turnover by C. McCollum (bad pass; steal by J. Ingles),,53-54,,
3:23.0,,,53-56,2,J. Ingles makes 2-pt shot from 2 ft
2:59.0,Turnover by J. Freeland (3 sec),,53-56,,
2:34.0,,,53-59,3,I. Clark makes 3-pt shot from 22 ft (assist by T. Burke)
2:15.0,L. Aldridge makes 2-pt shot from 15 ft (assist by D. Lillard),2,55-59,,
1:58.0,,,55-61,2,T. Burke makes 2-pt shot from 11 ft
1:44.0,Turnover by D. Lillard (bad pass; steal by T. Burke),,55-61,,
1:41.0,,,55-63,2,T. Booker makes 2-pt shot at rim
1:41.0,Portland full timeout,,55-63,,
1:41.0,S. Blake enters the game for D. Lillard,,55-63,,
1:16.0,L. Aldridge misses 2-pt shot from 19 ft,,55-63,,
1:14.0,,,55-63,,Defensive rebound by J. Ingles
1:00.0,,,55-63,,T. Burke misses 2-pt shot from 16 ft
0:58.0,Defensive rebound by J. Freeland,,55-63,,
0:46.0,Turnover by L. Aldridge (bad pass; steal by J. Ingles),,55-63,,
0:41.0,,,55-63,,I. Clark misses 2-pt shot from 1 ft (block by C. McCollum)
0:38.0,,,55-63,,Offensive rebound by T. Burke
0:38.0,,,55-65,2,T. Burke makes 2-pt shot from 1 ft
0:30.0,Turnover by S. Blake (lost ball),,55-65,,
0:09.0,,,55-65,,D. Favors misses 2-pt shot from 3 ft
0:08.0,Defensive rebound by L. Aldridge,,55-65,,
0:01.0,S. Blake misses 3-pt shot from 24 ft,,55-65,,
0:00.0,Offensive rebound by Team,,55-65,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:41.0,,,55-65,,D. Favors misses 2-pt shot from 5 ft
11:40.0,Defensive rebound by S. Blake,,55-65,,
11:35.0,Shooting foul by D. Favors (drawn by D. Lillard),,55-65,,
11:35.0,D. Lillard makes free throw 1 of 2,1,56-65,,
11:35.0,,,56-65,,J. Cooley enters the game for D. Favors
11:35.0,D. Lillard makes free throw 2 of 2,1,57-65,,
11:16.0,,,57-68,3,D. Exum makes 3-pt shot from 25 ft (assist by I. Clark)
11:02.0,D. Lillard misses 3-pt shot from 24 ft,,57-68,,
11:00.0,Offensive rebound by C. McCollum,,57-68,,
10:46.0,S. Blake misses 3-pt shot from 25 ft,,57-68,,
10:45.0,,,57-68,,Defensive rebound by D. Exum
10:27.0,,,57-68,,I. Clark misses 3-pt shot from 25 ft
10:26.0,Defensive rebound by D. Lillard,,57-68,,
10:17.0,D. Wright makes 3-pt shot from 24 ft (assist by D. Lillard),3,60-68,,
9:58.0,,,60-70,2,J. Ingles makes 2-pt shot from 20 ft
9:52.0,D. Wright makes 3-pt shot from 24 ft (assist by D. Lillard),3,63-70,,
9:24.0,,,63-70,,T. Booker misses 2-pt shot from 2 ft
9:23.0,Defensive rebound by D. Wright,,63-70,,
9:14.0,J. Freeland makes 2-pt shot from 8 ft (assist by D. Wright),2,65-70,,
9:14.0,,,65-70,,Utah full timeout
9:14.0,A. Afflalo enters the game for C. McCollum,,65-70,,
9:14.0,,,65-70,,R. Gobert enters the game for J. Cooley
9:14.0,,,65-70,,E. Millsap enters the game for T. Booker
9:03.0,,,65-70,,Shooting foul by J. Freeland (drawn by R. Gobert)
9:03.0,,,65-70,,R. Gobert misses free throw 1 of 2
9:03.0,,,65-70,,Offensive rebound by Team
9:03.0,,,65-71,1,R. Gobert makes free throw 2 of 2
8:41.0,D. Wright misses 2-pt shot from 16 ft,,65-71,,
8:40.0,,,65-71,,Defensive rebound by R. Gobert
8:32.0,,,65-71,,J. Ingles misses 3-pt shot from 24 ft
8:31.0,Defensive rebound by D. Wright,,65-71,,
8:24.0,D. Lillard misses 2-pt shot from 20 ft,,65-71,,
8:24.0,Offensive rebound by Team,,65-71,,
8:24.0,,,65-71,,Loose ball foul by J. Ingles (drawn by J. Freeland)
8:24.0,,,65-71,,T. Burke enters the game for I. Clark
8:24.0,A. Crabbe enters the game for S. Blake,,65-71,,
8:17.0,J. Freeland makes 2-pt shot from 2 ft (assist by A. Afflalo),2,67-71,,
8:06.0,,,67-71,,Shooting foul by A. Crabbe (drawn by T. Burke)
8:06.0,,,67-72,1,T. Burke makes free throw 1 of 2
8:06.0,,,67-73,1,T. Burke makes free throw 2 of 2
7:55.0,D. Lillard makes 2-pt shot from 1 ft,2,69-73,,
7:32.0,,,69-75,2,R. Gobert makes 2-pt shot at rim (assist by T. Burke)
7:21.0,D. Lillard makes 2-pt shot at rim,2,71-75,,
7:01.0,,,71-75,,J. Ingles misses 2-pt shot from 5 ft (block by J. Freeland)
7:01.0,,,71-75,,Offensive rebound by Team
7:01.0,,,71-75,,D. Favors enters the game for J. Ingles
7:01.0,L. Aldridge enters the game for J. Freeland,,71-75,,
6:57.0,,,71-77,2,T. Burke makes 2-pt shot from 18 ft
6:31.0,A. Crabbe makes 3-pt shot from 24 ft (assist by D. Lillard),3,74-77,,
6:15.0,,,74-77,,Shooting foul by L. Aldridge (drawn by D. Favors)
6:15.0,,,74-78,1,D. Favors makes free throw 1 of 2
6:15.0,,,74-79,1,D. Favors makes free throw 2 of 2
5:57.0,D. Wright misses 3-pt shot from 24 ft,,74-79,,
5:56.0,,,74-79,,Defensive rebound by R. Gobert
5:44.0,,,74-79,,R. Gobert misses 2-pt shot from 4 ft
5:43.0,Defensive rebound by D. Lillard,,74-79,,
5:34.0,D. Lillard makes 2-pt shot from 1 ft,2,76-79,,
5:21.0,Personal foul by A. Crabbe (drawn by T. Burke),,76-79,,
5:21.0,Official timeout,,76-79,,
5:09.0,,,76-79,,Turnover by D. Exum (step out of bounds)
4:53.0,D. Lillard misses 3-pt shot from 24 ft,,76-79,,
4:52.0,,,76-79,,Defensive rebound by E. Millsap
4:39.0,,,76-79,,Turnover by E. Millsap (lost ball; steal by D. Wright)
4:28.0,D. Wright misses 3-pt shot from 23 ft,,76-79,,
4:26.0,,,76-79,,Defensive rebound by E. Millsap
4:05.0,,,76-79,,T. Burke misses 2-pt shot from 5 ft
4:03.0,,,76-79,,Offensive rebound by D. Favors
3:58.0,,,76-79,,E. Millsap misses 3-pt shot from 24 ft
3:56.0,,,76-79,,Offensive rebound by R. Gobert
3:53.0,,,76-81,2,R. Gobert makes 2-pt shot at rim
3:44.0,,,76-81,,J. Ingles enters the game for D. Exum
3:36.0,D. Wright makes 2-pt shot from 3 ft,2,78-81,,
3:23.0,Personal foul by D. Wright (drawn by D. Favors),,78-81,,
3:23.0,,,78-82,1,D. Favors makes free throw 1 of 2
3:23.0,,,78-83,1,D. Favors makes free throw 2 of 2
3:06.0,Shooting foul by R. Gobert (drawn by L. Aldridge),,78-83,,
3:06.0,L. Aldridge makes free throw 1 of 2,1,79-83,,
3:06.0,L. Aldridge makes free throw 2 of 2,1,80-83,,
2:48.0,,,80-83,,T. Burke misses 2-pt shot from 6 ft
2:46.0,,,80-83,,Offensive rebound by D. Favors
2:46.0,,,80-85,2,D. Favors makes 2-pt shot from 2 ft
2:33.0,L. Aldridge makes 2-pt shot from 1 ft,2,82-85,,
2:16.0,,,82-85,,D. Favors misses 2-pt shot from 2 ft
2:16.0,,,82-85,,Offensive rebound by D. Favors
2:16.0,,,82-85,,Shooting foul by A. Crabbe (drawn by D. Favors)
2:16.0,Portland full timeout,,82-85,,
2:16.0,,,82-86,1,D. Favors makes free throw 1 of 2
2:16.0,,,82-86,,D. Favors misses free throw 2 of 2
2:15.0,Defensive rebound by A. Crabbe,,82-86,,
2:02.0,L. Aldridge misses 2-pt shot from 19 ft,,82-86,,
2:01.0,Offensive rebound by D. Wright,,82-86,,
1:52.0,A. Afflalo misses 3-pt shot from 24 ft,,82-86,,
1:51.0,Offensive rebound by L. Aldridge,,82-86,,
1:50.0,L. Aldridge makes 2-pt shot from 1 ft,2,84-86,,
1:36.0,,,84-86,,T. Burke misses 2-pt shot from 2 ft
1:33.0,Defensive rebound by D. Lillard,,84-86,,
1:31.0,Shooting foul by J. Ingles (drawn by D. Lillard),,84-86,,
1:31.0,D. Lillard makes 2-pt shot from 2 ft,2,86-86,,
1:31.0,D. Lillard makes free throw 1 of 1,1,87-86,,
1:09.0,,,87-88,2,T. Burke makes 2-pt shot from 18 ft
1:00.0,Shooting foul by D. Favors (drawn by D. Lillard),,87-88,,
1:00.0,D. Lillard makes free throw 1 of 2,1,88-88,,
1:00.0,D. Lillard makes free throw 2 of 2,1,89-88,,
0:51.0,,,89-88,,D. Favors misses 2-pt shot from 18 ft
0:50.0,Defensive rebound by D. Lillard,,89-88,,
0:35.0,D. Lillard misses 3-pt shot from 25 ft,,89-88,,
0:34.0,,,89-88,,Defensive rebound by E. Millsap
0:27.0,,,89-88,,Utah full timeout
0:16.0,,,89-88,,T. Burke misses 2-pt shot from 11 ft
