time,Washington,pts.away,score,pts.home,Milwaukee
6:44.0,P. Pierce makes free throw 2 of 2,1,8-16,,
6:29.0,,,8-18,2,K. Middleton makes 2-pt shot from 15 ft
6:01.0,P. Pierce misses 2-pt shot from 17 ft,,8-18,,
6:00.0,,,8-18,,Defensive rebound by M. Carter-Williams
5:49.0,,,8-18,,G. Antetokounmpo misses 2-pt shot from 17 ft
5:48.0,Defensive rebound by J. Wall,,8-18,,
5:41.0,P. Pierce misses 3-pt shot from 23 ft,,8-18,,
5:39.0,,,8-18,,Defensive rebound by G. Antetokounmpo
5:24.0,,,8-18,,Turnover by M. Carter-Williams (traveling)
5:10.0,P. Pierce misses 2-pt shot from 15 ft,,8-18,,
5:09.0,,,8-18,,Defensive rebound by E. Ilyasova
5:01.0,,,8-18,,G. Antetokounmpo misses 2-pt shot from 1 ft
5:00.0,Defensive rebound by N. Hilario,,8-18,,
4:50.0,Turnover by J. Wall (bad pass; steal by K. Middleton),,8-18,,
4:46.0,,,8-20,2,K. Middleton makes 2-pt shot at rim
4:25.0,R. Butler makes 3-pt shot from 23 ft (assist by P. Pierce),3,11-20,,
4:15.0,,,11-20,,M. Carter-Williams misses 2-pt shot from 19 ft
4:13.0,Defensive rebound by M. Gortat,,11-20,,
4:09.0,Offensive foul by J. Wall,,11-20,,
4:09.0,Turnover by J. Wall (offensive foul),,11-20,,
4:09.0,D. Gooden enters the game for N. Hilario,,11-20,,
4:09.0,,,11-20,,J. Dudley enters the game for E. Ilyasova
3:50.0,,,11-22,2,M. Carter-Williams makes 2-pt shot at rim (assist by Z. Pachulia)
3:22.0,M. Gortat makes 2-pt shot from 5 ft,2,13-22,,
3:13.0,,,13-22,,Z. Pachulia misses 2-pt shot from 15 ft
3:12.0,Defensive rebound by R. Butler,,13-22,,
2:58.0,D. Gooden misses 3-pt shot from 23 ft,,13-22,,
2:57.0,,,13-22,,Defensive rebound by Z. Pachulia
2:48.0,Violation by P. Pierce (kicked ball),,13-22,,
2:48.0,,,13-22,,Milwaukee full timeout
2:48.0,G. Temple enters the game for P. Pierce,,13-22,,
2:48.0,,,13-22,,J. Henson enters the game for Z. Pachulia
2:40.0,,,13-22,,K. Middleton misses 2-pt shot from 6 ft
2:38.0,,,13-22,,Offensive rebound by J. Henson
2:30.0,,,13-24,2,M. Carter-Williams makes 2-pt shot at rim
2:07.0,M. Gortat makes 2-pt shot from 6 ft,2,15-24,,
1:56.0,,,15-26,2,J. Dudley makes 2-pt shot from 19 ft (assist by M. Carter-Williams)
1:36.0,R. Butler misses 3-pt shot from 23 ft,,15-26,,
1:34.0,Offensive rebound by D. Gooden,,15-26,,
1:32.0,D. Gooden misses 2-pt shot at rim,,15-26,,
1:29.0,,,15-26,,Defensive rebound by K. Middleton
1:12.0,,,15-26,,M. Carter-Williams misses 2-pt shot from 1 ft
1:10.0,Defensive rebound by G. Temple,,15-26,,
1:05.0,G. Temple makes 2-pt shot at rim,2,17-26,,
0:51.0,,,17-28,2,K. Middleton makes 2-pt shot from 17 ft (assist by M. Carter-Williams)
0:40.0,M. Gortat makes 2-pt shot at rim (assist by D. Gooden),2,19-28,,
0:21.0,,,19-30,2,J. Henson makes 2-pt shot from 2 ft (assist by K. Middleton)
0:04.0,J. Wall misses 2-pt shot from 10 ft,,19-30,,
0:03.0,,,19-30,,Defensive rebound by M. Carter-Williams
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:36.0,,,19-30,,J. Dudley misses 2-pt shot at rim
11:35.0,Defensive rebound by R. Butler,,19-30,,
11:17.0,R. Butler makes 2-pt shot at rim (assist by K. Seraphin),2,21-30,,
10:54.0,,,21-30,,Shooting foul by D. Gooden (drawn by J. Henson)
10:54.0,,,21-31,1,J. Henson makes free throw 1 of 2
10:54.0,,,21-31,,J. Henson misses free throw 2 of 2
10:54.0,Defensive rebound by D. Gooden,,21-31,,
10:36.0,G. Temple misses 2-pt shot from 15 ft (block by J. Henson),,21-31,,
10:34.0,,,21-31,,Defensive rebound by G. Antetokounmpo
10:27.0,,,21-31,,J. Bayless misses 2-pt shot from 1 ft
10:25.0,,,21-31,,Offensive rebound by J. Henson
10:22.0,,,21-31,,J. Dudley misses 3-pt shot from 25 ft
10:21.0,Defensive rebound by K. Seraphin,,21-31,,
10:12.0,Turnover by K. Seraphin (traveling),,21-31,,
10:01.0,,,21-31,,Shooting foul by K. Seraphin (drawn by J. Henson)
10:01.0,,,21-31,,J. Henson misses free throw 1 of 2
10:01.0,,,21-31,,Offensive rebound by Team
10:01.0,,,21-32,1,J. Henson makes free throw 2 of 2
9:43.0,K. Seraphin misses 2-pt shot from 11 ft,,21-32,,
9:42.0,,,21-32,,Defensive rebound by J. Bayless
9:38.0,,,21-32,,Shooting foul by G. Temple (drawn by G. Antetokounmpo)
9:38.0,,,21-32,,G. Antetokounmpo misses free throw 1 of 2
9:38.0,,,21-32,,Offensive rebound by Team
9:38.0,,,21-32,,G. Antetokounmpo misses free throw 2 of 2
9:36.0,Defensive rebound by G. Temple,,21-32,,
9:27.0,R. Sessions misses 2-pt shot from 8 ft,,21-32,,
9:26.0,,,21-32,,Defensive rebound by J. Bayless
9:18.0,,,21-32,,Turnover by J. Bayless (bad pass)
9:18.0,,,21-32,,E. Ilyasova enters the game for G. Antetokounmpo
9:05.0,R. Sessions misses 2-pt shot from 10 ft,,21-32,,
9:04.0,,,21-32,,Defensive rebound by J. Bayless
8:53.0,,,21-32,,J. Dudley misses 3-pt shot from 23 ft
8:52.0,Defensive rebound by D. Gooden,,21-32,,
8:40.0,K. Seraphin makes 2-pt shot from 4 ft,2,23-32,,
8:24.0,,,23-32,,C. Johnson misses 3-pt shot from 24 ft
8:23.0,Defensive rebound by R. Butler,,23-32,,
8:05.0,D. Gooden misses 2-pt shot from 1 ft (block by J. Henson),,23-32,,
8:02.0,,,23-32,,Defensive rebound by E. Ilyasova
7:53.0,,,23-32,,E. Ilyasova misses 2-pt shot from 16 ft
7:52.0,Defensive rebound by D. Gooden,,23-32,,
7:38.0,R. Sessions makes 2-pt shot at rim,2,25-32,,
7:38.0,Shooting foul by J. Bayless (drawn by R. Sessions),,25-32,,
7:38.0,Official timeout,,25-32,,
7:38.0,J. Wall enters the game for G. Temple,,25-32,,
7:38.0,N. Hilario enters the game for D. Gooden,,25-32,,
7:38.0,,,25-32,,Z. Pachulia enters the game for J. Henson
7:38.0,R. Sessions makes free throw 1 of 1,1,26-32,,
7:14.0,,,26-32,,Turnover by Team (shot clock)
7:02.0,Offensive foul by N. Hilario,,26-32,,
7:02.0,Turnover by N. Hilario (offensive foul),,26-32,,
6:46.0,,,26-35,3,J. Bayless makes 3-pt shot from 25 ft (assist by E. Ilyasova)
6:24.0,R. Sessions makes 2-pt shot from 4 ft (assist by N. Hilario),2,28-35,,
6:07.0,,,28-37,2,Z. Pachulia makes 2-pt shot from 14 ft (assist by J. Dudley)
5:55.0,K. Seraphin makes 2-pt shot at rim (assist by N. Hilario),2,30-37,,
5:41.0,,,30-39,2,C. Johnson makes 2-pt shot at rim (assist by Z. Pachulia)
5:28.0,N. Hilario makes 2-pt shot from 14 ft (assist by J. Wall),2,32-39,,
5:13.0,,,32-41,2,C. Johnson makes 2-pt shot from 14 ft (assist by J. Bayless)
4:56.0,N. Hilario misses 2-pt shot at rim,,32-41,,
4:54.0,Offensive rebound by N. Hilario,,32-41,,
4:54.0,N. Hilario misses 2-pt shot from 1 ft,,32-41,,
4:53.0,,,32-41,,Defensive rebound by J. Dudley
4:44.0,,,32-41,,Turnover by J. Bayless (bad pass; steal by K. Seraphin)
4:41.0,Shooting foul by E. Ilyasova (drawn by R. Butler),,32-41,,
4:41.0,,,32-41,,Milwaukee full timeout
4:41.0,,,32-41,,M. Carter-Williams enters the game for E. Ilyasova
4:41.0,,,32-41,,K. Middleton enters the game for J. Dudley
4:41.0,,,32-41,,G. Antetokounmpo enters the game for J. Bayless
4:41.0,R. Butler makes free throw 1 of 2,1,33-41,,
4:41.0,R. Butler makes free throw 2 of 2,1,34-41,,
4:26.0,Personal foul by R. Butler (drawn by K. Middleton),,34-41,,
4:19.0,,,34-41,,K. Middleton misses 3-pt shot from 26 ft
4:18.0,Defensive rebound by R. Sessions,,34-41,,
4:09.0,Shooting foul by G. Antetokounmpo (drawn by N. Hilario),,34-41,,
4:09.0,N. Hilario misses free throw 1 of 2,,34-41,,
4:09.0,Offensive rebound by Team,,34-41,,
4:09.0,N. Hilario misses free throw 2 of 2,,34-41,,
4:07.0,,,34-41,,Defensive rebound by Z. Pachulia
3:58.0,,,34-43,2,M. Carter-Williams makes 2-pt shot at rim
3:40.0,M. Gortat enters the game for K. Seraphin,,34-43,,
3:40.0,P. Pierce enters the game for R. Sessions,,34-43,,
3:39.0,Turnover by R. Butler (lost ball),,34-43,,
3:39.0,Jump ball: R. Butler vs. K. Middleton (M. Carter-Williams gains possession),,,,Jump ball: R. Butler vs. K. Middleton (M. Carter-Williams gains possession)
3:21.0,,,34-43,,Turnover by G. Antetokounmpo (offensive foul)
3:21.0,,,34-43,,Offensive foul by G. Antetokounmpo
3:02.0,Shooting foul by Z. Pachulia (drawn by N. Hilario),,34-43,,
3:02.0,N. Hilario makes free throw 1 of 2,1,35-43,,
3:02.0,,,35-43,,J. Henson enters the game for Z. Pachulia
3:02.0,N. Hilario makes free throw 2 of 2,1,36-43,,
2:39.0,,,36-43,,M. Carter-Williams misses 3-pt shot from 25 ft
2:38.0,Defensive rebound by M. Gortat,,36-43,,
2:26.0,J. Wall misses 2-pt shot at rim,,36-43,,
2:25.0,Offensive rebound by J. Wall,,36-43,,
2:25.0,J. Wall misses 2-pt shot at rim,,36-43,,
2:22.0,,,36-43,,Defensive rebound by J. Henson
2:11.0,,,36-43,,G. Antetokounmpo misses 2-pt shot from 2 ft (block by N. Hilario)
2:09.0,Defensive rebound by P. Pierce,,36-43,,
2:03.0,R. Butler misses 3-pt shot from 24 ft,,36-43,,
2:00.0,,,36-43,,Defensive rebound by K. Middleton
1:57.0,,,36-45,2,K. Middleton makes 2-pt shot from 1 ft
1:49.0,Washington full timeout,,36-45,,
1:49.0,M. Webster enters the game for N. Hilario,,36-45,,
1:49.0,,,36-45,,J. Dudley enters the game for G. Antetokounmpo
1:41.0,J. Wall misses 2-pt shot at rim (block by J. Henson),,36-45,,
1:38.0,,,36-45,,Defensive rebound by K. Middleton
1:37.0,,,36-45,,Shooting foul by R. Butler (drawn by K. Middleton)
1:37.0,,,36-46,1,K. Middleton makes free throw 1 of 2
1:37.0,,,36-47,1,K. Middleton makes free throw 2 of 2
1:30.0,M. Gortat misses 2-pt shot at rim,,36-47,,
1:28.0,Offensive rebound by P. Pierce,,36-47,,
1:26.0,Offensive foul by R. Butler,,36-47,,
1:26.0,Turnover by R. Butler (offensive foul),,36-47,,
1:16.0,,,36-47,,Turnover by M. Carter-Williams (lost ball; steal by J. Wall)
1:04.0,P. Pierce misses 2-pt shot at rim,,36-47,,
1:02.0,Offensive rebound by P. Pierce,,36-47,,
1:02.0,P. Pierce misses 2-pt shot at rim,,36-47,,
1:00.0,Offensive rebound by P. Pierce,,36-47,,
1:00.0,P. Pierce misses 2-pt shot from 1 ft,,36-47,,
1:00.0,,,36-47,,Defensive rebound by K. Middleton
0:58.0,,,36-47,,K. Middleton misses 2-pt shot at rim (block by R. Butler)
0:57.0,,,36-47,,Offensive rebound by J. Dudley
0:56.0,,,36-49,2,J. Dudley makes 2-pt shot at rim
0:44.0,P. Pierce makes 3-pt shot from 24 ft (assist by J. Wall),3,39-49,,
0:35.0,,,39-51,2,M. Carter-Williams makes 2-pt shot from 6 ft
0:32.0,J. Wall misses 2-pt shot from 1 ft,,39-51,,
0:29.0,,,39-51,,Defensive rebound by K. Middleton
0:11.0,,,39-51,,M. Carter-Williams misses 2-pt shot at rim
0:09.0,Defensive rebound by J. Wall,,39-51,,
0:06.0,Washington full timeout,,39-51,,
0:00.0,P. Pierce misses 3-pt shot from 25 ft (block by J. Henson),,39-51,,
0:00.0,Offensive rebound by Team,,39-51,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:42.0,,,39-53,2,Z. Pachulia makes 2-pt shot from 3 ft
11:22.0,Turnover by M. Gortat (bad pass; steal by K. Middleton),,39-53,,
11:17.0,Personal foul by G. Temple (drawn by E. Ilyasova),,39-53,,
11:07.0,,,39-53,,M. Carter-Williams misses 2-pt shot from 4 ft
11:06.0,Defensive rebound by J. Wall,,39-53,,
11:04.0,Shooting foul by E. Ilyasova (drawn by G. Temple),,39-53,,
11:04.0,G. Temple misses free throw 1 of 2,,39-53,,
11:04.0,Offensive rebound by Team,,39-53,,
11:04.0,G. Temple makes free throw 2 of 2,1,40-53,,
10:52.0,Personal foul by P. Pierce (drawn by G. Antetokounmpo),,40-53,,
10:49.0,,,40-53,,Turnover by K. Middleton (traveling)
10:37.0,Turnover by P. Pierce (bad pass; steal by G. Antetokounmpo),,40-53,,
10:24.0,,,40-53,,G. Antetokounmpo misses 2-pt shot from 14 ft
10:23.0,Defensive rebound by J. Wall,,40-53,,
10:16.0,J. Wall misses 2-pt shot from 18 ft,,40-53,,
10:15.0,Offensive rebound by N. Hilario,,40-53,,
10:07.0,Turnover by P. Pierce (bad pass; steal by M. Carter-Williams),,40-53,,
10:04.0,,,40-55,2,M. Carter-Williams makes 2-pt shot at rim
9:37.0,P. Pierce misses 3-pt shot from 27 ft,,40-55,,
9:36.0,Offensive rebound by M. Gortat,,40-55,,
9:32.0,J. Wall makes 3-pt shot from 25 ft (assist by M. Gortat),3,43-55,,
9:16.0,,,43-57,2,E. Ilyasova makes 2-pt shot from 18 ft (assist by Z. Pachulia)
9:06.0,Offensive foul by P. Pierce,,43-57,,
9:06.0,Turnover by P. Pierce (offensive foul),,43-57,,
8:54.0,,,43-60,3,K. Middleton makes 3-pt shot from 22 ft (assist by E. Ilyasova)
8:54.0,Washington full timeout,,43-60,,
8:39.0,N. Hilario makes 2-pt shot at rim,2,45-60,,
8:24.0,,,45-60,,Z. Pachulia misses 2-pt shot at rim
8:24.0,,,45-60,,Offensive rebound by Z. Pachulia
8:24.0,,,45-60,,Z. Pachulia misses 2-pt shot at rim
8:24.0,Defensive rebound by M. Gortat,,45-60,,
8:24.0,,,45-60,,Personal foul by Z. Pachulia (drawn by M. Gortat)
8:03.0,J. Wall makes 3-pt shot from 27 ft (assist by P. Pierce),3,48-60,,
7:41.0,,,48-60,,Shooting foul by P. Pierce (drawn by G. Antetokounmpo)
7:41.0,,,48-61,1,G. Antetokounmpo makes free throw 1 of 2
7:41.0,,,48-61,,J. Henson enters the game for Z. Pachulia
7:41.0,,,48-61,,G. Antetokounmpo misses free throw 2 of 2
7:39.0,Defensive rebound by M. Gortat,,48-61,,
7:23.0,G. Temple makes 3-pt shot from 23 ft (assist by P. Pierce),3,51-61,,
7:05.0,,,51-61,,Offensive foul by E. Ilyasova
7:05.0,,,51-61,,Turnover by E. Ilyasova (offensive foul)
7:05.0,,,51-61,,J. Dudley enters the game for E. Ilyasova
6:50.0,P. Pierce makes 3-pt shot from 26 ft (assist by G. Temple),3,54-61,,
6:32.0,,,54-61,,Turnover by M. Carter-Williams (bad pass)
6:22.0,P. Pierce makes 3-pt shot from 25 ft (assist by J. Wall),3,57-61,,
6:21.0,,,57-61,,Milwaukee full timeout
6:06.0,,,57-61,,Turnover by M. Carter-Williams (bad pass; steal by G. Temple)
6:02.0,G. Temple makes 2-pt shot at rim,2,59-61,,
5:48.0,,,59-61,,J. Dudley misses 3-pt shot from 25 ft
5:47.0,Defensive rebound by J. Wall,,59-61,,
5:34.0,Turnover by P. Pierce (offensive foul),,59-61,,
5:34.0,Offensive foul by P. Pierce,,59-61,,
5:34.0,R. Butler enters the game for P. Pierce,,59-61,,
5:24.0,,,59-63,2,M. Carter-Williams makes 2-pt shot from 3 ft
5:06.0,Turnover by M. Gortat (traveling),,59-63,,
4:49.0,,,59-65,2,J. Henson makes 2-pt shot at rim (assist by M. Carter-Williams)
4:25.0,J. Wall misses 3-pt shot from 26 ft,,59-65,,
4:24.0,,,59-65,,Defensive rebound by Team
4:04.0,,,59-65,,Turnover by G. Antetokounmpo (lost ball; steal by G. Temple)
3:59.0,G. Temple makes 2-pt shot from 1 ft,2,61-65,,
3:41.0,,,61-65,,G. Antetokounmpo misses 2-pt shot from 7 ft (block by M. Gortat)
3:39.0,,,61-65,,Offensive rebound by J. Henson
3:35.0,,,61-65,,K. Middleton misses 2-pt shot from 12 ft
3:33.0,,,61-65,,Offensive rebound by K. Middleton
3:14.0,,,61-65,,Turnover by K. Middleton (lost ball; steal by N. Hilario)
3:14.0,,,61-65,,Personal foul by K. Middleton (drawn by N. Hilario)
3:14.0,D. Gooden enters the game for N. Hilario,,61-65,,
3:14.0,,,61-65,,J. Bayless enters the game for M. Carter-Williams
3:02.0,J. Wall misses 2-pt shot from 16 ft,,61-65,,
3:01.0,,,61-65,,Defensive rebound by K. Middleton
2:47.0,,,61-65,,Turnover by J. Henson (lost ball; steal by M. Gortat)
2:36.0,R. Butler misses 2-pt shot from 17 ft,,61-65,,
2:33.0,,,61-65,,Defensive rebound by Team
2:19.0,,,61-65,,K. Middleton misses 2-pt shot from 17 ft
2:19.0,Defensive rebound by Team,,61-65,,
2:05.0,G. Temple misses 3-pt shot from 23 ft,,61-65,,
2:04.0,,,61-65,,Defensive rebound by J. Henson
1:57.0,,,61-65,,Offensive foul by J. Henson
1:57.0,,,61-65,,Turnover by J. Henson (offensive foul)
1:40.0,,,61-65,,Shooting block foul by G. Antetokounmpo (drawn by J. Wall)
1:40.0,J. Wall makes free throw 1 of 2,1,62-65,,
1:40.0,,,62-65,,C. Johnson enters the game for K. Middleton
1:40.0,J. Wall makes free throw 2 of 2,1,63-65,,
1:19.0,,,63-65,,Turnover by J. Dudley (bad pass; steal by J. Wall)
1:07.0,Turnover by R. Butler (lost ball; steal by G. Antetokounmpo),,63-65,,
0:48.0,,,63-65,,J. Dudley misses 2-pt shot from 18 ft
0:46.0,Defensive rebound by M. Gortat,,63-65,,
0:31.0,J. Wall misses 3-pt shot from 29 ft,,63-65,,
0:30.0,,,63-65,,Defensive rebound by J. Dudley
0:12.0,,,63-65,,J. Bayless misses 2-pt shot from 1 ft
0:10.0,Defensive rebound by J. Wall,,63-65,,
0:00.0,Turnover by J. Wall (bad pass; steal by J. Bayless),,63-65,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:35.0,M. Gortat makes 2-pt shot from 5 ft,2,65-65,,
11:08.0,,,65-67,2,J. Bayless makes 2-pt shot from 15 ft (assist by J. Dudley)
10:42.0,O. Porter makes 2-pt shot from 3 ft (assist by R. Butler),2,67-67,,
10:22.0,,,67-70,3,C. Johnson makes 3-pt shot from 26 ft (assist by J. Dudley)
10:04.0,Turnover by R. Butler (bad pass; steal by C. Johnson),,67-70,,
10:00.0,,,67-72,2,J. Bayless makes 2-pt shot at rim (assist by C. Johnson)
9:43.0,R. Sessions misses 2-pt shot from 8 ft,,67-72,,
9:41.0,,,67-72,,Defensive rebound by J. Henson
9:35.0,,,67-72,,K. Middleton misses 2-pt shot from 22 ft
9:33.0,Defensive rebound by M. Gortat,,67-72,,
9:18.0,M. Gortat misses 2-pt shot from 1 ft (block by C. Johnson),,67-72,,
9:16.0,,,67-72,,Defensive rebound by K. Middleton
9:04.0,,,67-72,,J. Dudley misses 2-pt shot from 18 ft
9:03.0,,,67-72,,Offensive rebound by J. Dudley
9:00.0,,,67-72,,J. Dudley misses 2-pt shot from 14 ft
8:59.0,Defensive rebound by O. Porter,,67-72,,
8:36.0,R. Butler misses 3-pt shot from 26 ft,,67-72,,
8:35.0,,,67-72,,Defensive rebound by J. Henson
8:28.0,,,67-72,,J. Bayless misses 2-pt shot at rim
8:26.0,Defensive rebound by D. Gooden,,67-72,,
8:20.0,R. Sessions makes 2-pt shot at rim,2,69-72,,
8:03.0,,,69-72,,K. Middleton misses 2-pt shot from 3 ft
8:02.0,Defensive rebound by M. Gortat,,69-72,,
7:48.0,O. Porter misses 2-pt shot from 17 ft,,69-72,,
7:47.0,Offensive rebound by D. Gooden,,69-72,,
7:47.0,D. Gooden misses 2-pt shot from 1 ft,,69-72,,
7:46.0,Offensive rebound by D. Gooden,,69-72,,
7:46.0,D. Gooden misses 2-pt shot from 1 ft,,69-72,,
7:45.0,,,69-72,,Defensive rebound by K. Middleton
7:26.0,,,69-72,,C. Johnson misses 3-pt shot from 24 ft
7:24.0,Defensive rebound by R. Sessions,,69-72,,
7:09.0,R. Butler misses 2-pt shot from 14 ft,,69-72,,
7:08.0,Offensive rebound by D. Gooden,,69-72,,
7:08.0,D. Gooden makes 2-pt shot at rim,2,71-72,,
7:08.0,,,71-72,,Milwaukee full timeout
7:08.0,N. Hilario enters the game for M. Gortat,,71-72,,
7:08.0,,,71-72,,Z. Pachulia enters the game for J. Henson
7:08.0,,,71-72,,E. Ilyasova enters the game for J. Dudley
7:08.0,,,71-72,,G. Antetokounmpo enters the game for K. Middleton
6:55.0,,,71-74,2,G. Antetokounmpo makes 2-pt shot from 3 ft (assist by J. Bayless)
6:31.0,R. Sessions makes 3-pt shot from 26 ft (assist by O. Porter),3,74-74,,
6:06.0,,,74-74,,G. Antetokounmpo misses 2-pt shot from 3 ft
6:04.0,Defensive rebound by D. Gooden,,74-74,,
5:49.0,N. Hilario makes 2-pt shot from 16 ft (assist by R. Sessions),2,76-74,,
5:29.0,,,76-76,2,J. Bayless makes 2-pt shot from 16 ft (assist by Z. Pachulia)
5:12.0,O. Porter misses 3-pt shot from 24 ft,,76-76,,
5:11.0,,,76-76,,Defensive rebound by E. Ilyasova
4:54.0,,,76-76,,Z. Pachulia misses 2-pt shot from 13 ft
4:53.0,Defensive rebound by D. Gooden,,76-76,,
4:50.0,Washington full timeout,,76-76,,
4:50.0,J. Wall enters the game for R. Sessions,,76-76,,
4:50.0,P. Pierce enters the game for O. Porter,,76-76,,
4:50.0,,,76-76,,K. Middleton enters the game for C. Johnson
4:40.0,R. Butler misses 3-pt shot from 23 ft,,76-76,,
4:40.0,,,76-76,,Defensive rebound by Team
4:40.0,Loose ball foul by D. Gooden (drawn by E. Ilyasova),,76-76,,
4:20.0,,,76-76,,J. Bayless misses 2-pt shot from 16 ft
4:19.0,Defensive rebound by P. Pierce,,76-76,,
4:09.0,N. Hilario misses 2-pt shot from 13 ft,,76-76,,
4:07.0,Offensive rebound by J. Wall,,76-76,,
3:51.0,P. Pierce misses 3-pt shot from 24 ft (block by G. Antetokounmpo),,76-76,,
3:47.0,Offensive rebound by P. Pierce,,76-76,,
3:35.0,R. Butler misses 3-pt shot from 23 ft,,76-76,,
3:35.0,,,76-76,,Defensive rebound by G. Antetokounmpo
3:28.0,,,76-76,,Turnover by J. Bayless (bad pass; steal by P. Pierce)
3:21.0,R. Butler makes 2-pt shot at rim (assist by J. Wall),2,78-76,,
3:12.0,,,78-79,3,K. Middleton makes 3-pt shot from 26 ft (assist by J. Bayless)
2:52.0,D. Gooden misses 2-pt shot from 6 ft,,78-79,,
2:51.0,Offensive rebound by N. Hilario,,78-79,,
2:41.0,D. Gooden makes 3-pt shot from 26 ft (assist by J. Wall),3,81-79,,
2:22.0,,,81-82,3,K. Middleton makes 3-pt shot from 23 ft (assist by J. Bayless)
1:59.0,,,81-82,,Personal foul by G. Antetokounmpo (drawn by P. Pierce)
1:59.0,Official timeout,,81-82,,
1:59.0,,,81-82,,M. Carter-Williams enters the game for J. Bayless
1:59.0,M. Gortat enters the game for D. Gooden,,81-82,,
1:59.0,G. Temple enters the game for R. Butler,,81-82,,
1:53.0,J. Wall makes 2-pt shot at rim,2,83-82,,
1:53.0,Shooting foul by E. Ilyasova (drawn by J. Wall),,83-82,,
1:53.0,J. Wall misses free throw 1 of 1,,83-82,,
1:53.0,,,83-82,,Defensive rebound by Z. Pachulia
1:37.0,,,83-82,,E. Ilyasova misses 2-pt shot from 13 ft
1:35.0,,,83-82,,Offensive rebound by Z. Pachulia
1:30.0,,,83-82,,K. Middleton misses 3-pt shot from 26 ft
1:29.0,,,83-82,,Offensive rebound by M. Carter-Williams
1:29.0,Personal foul by P. Pierce (drawn by M. Carter-Williams),,83-82,,
1:22.0,,,83-84,2,E. Ilyasova makes 2-pt shot at rim
1:07.0,,,83-84,,Personal foul by K. Middleton (drawn by G. Temple)
1:07.0,G. Temple makes free throw 1 of 2,1,84-84,,
1:07.0,G. Temple misses free throw 2 of 2,,84-84,,
