time,Philadelphia,pts.away,score,pts.home,Detroit
8:00.0,Defensive rebound by N. Noel,,6-15,,
7:55.0,R. Covington makes 2-pt shot at rim (assist by M. Carter-Williams),2,8-15,,
7:55.0,Shooting foul by K. Singler (drawn by R. Covington),,8-15,,
7:55.0,R. Covington makes free throw 1 of 1,1,9-15,,
7:37.0,,,9-15,,K. Singler misses 2-pt shot from 1 ft
7:36.0,,,9-15,,Offensive rebound by G. Monroe
7:35.0,,,9-15,,G. Monroe misses 2-pt shot at rim
7:34.0,,,9-15,,Offensive rebound by A. Drummond
7:33.0,,,9-15,,A. Drummond misses 2-pt shot at rim
7:32.0,Defensive rebound by L. Mbah a Moute,,9-15,,
7:32.0,,,9-15,,Personal foul by A. Drummond (drawn by L. Mbah a Moute)
7:23.0,M. Carter-Williams misses 2-pt shot from 4 ft,,9-15,,
7:23.0,Offensive rebound by Team,,9-15,,
7:12.0,L. Mbah a Moute misses 3-pt shot from 27 ft,,9-15,,
7:11.0,,,9-15,,Defensive rebound by K. Caldwell-Pope
7:04.0,,,9-15,,B. Jennings misses 3-pt shot from 26 ft
7:03.0,,,9-15,,Offensive rebound by A. Drummond
7:01.0,,,9-15,,A. Drummond misses 2-pt shot at rim
7:01.0,Defensive rebound by N. Noel,,9-15,,
6:50.0,L. Mbah a Moute misses 2-pt shot from 21 ft,,9-15,,
6:49.0,,,9-15,,Defensive rebound by B. Jennings
6:41.0,,,9-18,3,K. Singler makes 3-pt shot from 26 ft (assist by B. Jennings)
6:26.0,M. Carter-Williams misses 2-pt shot from 6 ft (block by A. Drummond),,9-18,,
6:24.0,,,9-18,,Defensive rebound by A. Drummond
6:14.0,,,9-21,3,K. Caldwell-Pope makes 3-pt shot from 25 ft (assist by G. Monroe)
6:02.0,M. Carter-Williams makes 3-pt shot from 26 ft (assist by R. Covington),3,12-21,,
5:48.0,,,12-21,,Turnover by K. Singler (lost ball; steal by N. Noel)
5:42.0,R. Covington misses 2-pt shot from 1 ft,,12-21,,
5:41.0,Offensive rebound by K. McDaniels,,12-21,,
5:33.0,L. Mbah a Moute misses 3-pt shot from 25 ft,,12-21,,
5:32.0,,,12-21,,Defensive rebound by A. Drummond
5:11.0,,,12-21,,G. Monroe misses 2-pt shot from 4 ft
5:09.0,Defensive rebound by N. Noel,,12-21,,
5:00.0,L. Mbah a Moute makes 2-pt shot from 21 ft (assist by M. Carter-Williams),2,14-21,,
4:39.0,,,14-21,,Turnover by G. Monroe (bad pass; steal by K. McDaniels)
4:24.0,N. Noel misses 2-pt shot from 16 ft,,14-21,,
4:23.0,,,14-21,,Defensive rebound by G. Monroe
4:16.0,,,14-21,,B. Jennings misses 3-pt shot from 25 ft
4:15.0,,,14-21,,Offensive rebound by A. Drummond
4:14.0,,,14-23,2,A. Drummond makes 2-pt shot at rim
4:00.0,M. Carter-Williams misses 3-pt shot from 26 ft,,14-23,,
3:59.0,,,14-23,,Defensive rebound by K. Singler
3:51.0,,,14-26,3,K. Singler makes 3-pt shot from 26 ft
3:50.0,Philadelphia full timeout,,14-26,,
3:50.0,,,14-26,,J. Jerebko enters the game for G. Monroe
3:50.0,J. Grant enters the game for L. Mbah a Moute,,14-26,,
3:50.0,H. Sims enters the game for N. Noel,,14-26,,
3:50.0,H. Thompson enters the game for K. McDaniels,,14-26,,
3:29.0,H. Sims makes 2-pt shot at rim (assist by M. Carter-Williams),2,16-26,,
3:13.0,,,16-26,,Turnover by B. Jennings (bad pass; steal by R. Covington)
3:05.0,Turnover by H. Sims (bad pass; steal by B. Jennings),,16-26,,
2:49.0,,,16-28,2,K. Singler makes 2-pt shot at rim (assist by B. Jennings)
2:28.0,J. Grant misses 2-pt shot from 3 ft,,16-28,,
2:27.0,,,16-28,,Defensive rebound by A. Drummond
2:24.0,Personal foul by H. Sims (drawn by B. Jennings),,16-28,,
2:24.0,,,16-28,,Detroit full timeout
2:24.0,,,16-28,,J. Meeks enters the game for K. Caldwell-Pope
2:24.0,L. Drew enters the game for R. Covington,,16-28,,
2:24.0,K. McDaniels enters the game for M. Carter-Williams,,16-28,,
2:17.0,,,16-31,3,J. Jerebko makes 3-pt shot from 25 ft (assist by B. Jennings)
2:00.0,H. Thompson makes 3-pt shot from 26 ft (assist by L. Drew),3,19-31,,
1:45.0,,,19-31,,Offensive charge foul by J. Jerebko
1:45.0,,,19-31,,Turnover by J. Jerebko (offensive foul)
1:45.0,,,19-31,,D. Augustin enters the game for B. Jennings
1:45.0,,,19-31,,Violation by Team (jump ball)
1:31.0,K. McDaniels makes 2-pt shot from 20 ft (assist by L. Drew),2,21-31,,
1:13.0,,,21-31,,J. Meeks misses 3-pt shot from 26 ft
1:11.0,,,21-31,,Offensive rebound by A. Drummond
1:10.0,,,21-31,,A. Drummond misses 2-pt shot at rim
1:10.0,,,21-31,,Offensive rebound by Team
0:59.0,,,21-31,,D. Augustin misses 3-pt shot from 26 ft
0:58.0,Defensive rebound by H. Sims,,21-31,,
0:43.0,L. Drew misses 3-pt shot from 25 ft,,21-31,,
0:42.0,,,21-31,,Defensive rebound by A. Drummond
0:28.0,,,21-31,,J. Jerebko misses 3-pt shot from 26 ft
0:27.0,Defensive rebound by J. Grant,,21-31,,
0:08.0,,,21-31,,Personal foul by K. Singler (drawn by L. Drew)
0:08.0,,,21-31,,C. Butler enters the game for K. Singler
0:03.0,H. Thompson misses 2-pt shot from 7 ft (block by A. Drummond),,21-31,,
0:00.0,Offensive rebound by Team,,21-31,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:47.0,J. Grant misses 3-pt shot from 24 ft,,21-31,,
11:46.0,Offensive rebound by H. Sims,,21-31,,
11:32.0,H. Thompson misses 3-pt shot from 24 ft,,21-31,,
11:30.0,Offensive rebound by H. Sims,,21-31,,
11:14.0,K. McDaniels misses 3-pt shot from 25 ft,,21-31,,
11:13.0,,,21-31,,Defensive rebound by J. Meeks
10:58.0,,,21-31,,J. Meeks misses 2-pt shot from 20 ft
10:57.0,Defensive rebound by H. Thompson,,21-31,,
10:46.0,Turnover by H. Thompson (bad pass; steal by J. Jerebko),,21-31,,
10:41.0,,,21-33,2,D. Augustin makes 2-pt shot at rim
10:41.0,Violation by K. McDaniels (def goaltending),,21-33,,
10:24.0,J. Grant misses 3-pt shot from 26 ft,,21-33,,
10:23.0,,,21-33,,Defensive rebound by D. Augustin
10:18.0,,,21-33,,Offensive foul by J. Jerebko
10:18.0,,,21-33,,Turnover by J. Jerebko (offensive foul)
10:18.0,R. Covington enters the game for K. McDaniels,,21-33,,
10:18.0,L. Mbah a Moute enters the game for J. Grant,,21-33,,
10:18.0,,,21-33,,A. Tolliver enters the game for J. Jerebko
10:18.0,N. Noel enters the game for H. Sims,,21-33,,
10:06.0,N. Noel misses 2-pt shot from 5 ft,,21-33,,
10:04.0,,,21-33,,Defensive rebound by G. Monroe
10:01.0,,,21-33,,Turnover by J. Meeks (lost ball)
9:36.0,L. Drew misses 3-pt shot from 25 ft,,21-33,,
9:35.0,Offensive rebound by N. Noel,,21-33,,
9:29.0,H. Thompson makes 2-pt shot from 1 ft (assist by L. Drew),2,23-33,,
9:17.0,,,23-35,2,J. Meeks makes 2-pt shot from 4 ft (assist by D. Augustin)
8:55.0,Turnover by R. Covington (bad pass; steal by G. Monroe),,23-35,,
8:50.0,,,23-35,,J. Meeks misses 2-pt shot at rim (block by H. Thompson)
8:48.0,Defensive rebound by L. Mbah a Moute,,23-35,,
8:42.0,L. Mbah a Moute makes 2-pt shot from 18 ft (assist by L. Drew),2,25-35,,
8:30.0,Personal foul by H. Thompson (drawn by J. Meeks),,25-35,,
8:30.0,Official timeout,,25-35,,
8:20.0,,,25-35,,A. Tolliver misses 3-pt shot from 26 ft
8:19.0,,,25-35,,Offensive rebound by A. Tolliver
8:10.0,,,25-35,,C. Butler misses 3-pt shot from 26 ft
8:09.0,Defensive rebound by L. Mbah a Moute,,25-35,,
8:02.0,R. Covington misses 3-pt shot from 27 ft,,25-35,,
8:01.0,,,25-35,,Defensive rebound by G. Monroe
7:51.0,,,25-35,,Turnover by D. Augustin (bad pass; steal by H. Thompson)
7:33.0,Turnover by L. Mbah a Moute (lost ball; steal by G. Monroe),,25-35,,
7:28.0,,,25-37,2,G. Monroe makes 2-pt shot at rim (assist by D. Augustin)
7:15.0,,,25-37,,Personal foul by C. Butler (drawn by R. Covington)
7:15.0,M. Carter-Williams enters the game for L. Drew,,25-37,,
7:05.0,Turnover by R. Covington (bad pass; steal by D. Augustin),,25-37,,
6:51.0,,,25-39,2,J. Meeks makes 2-pt shot from 19 ft (assist by D. Augustin)
6:39.0,N. Noel makes 2-pt shot at rim (assist by L. Mbah a Moute),2,27-39,,
6:24.0,,,27-41,2,G. Monroe makes 2-pt shot at rim (assist by A. Tolliver)
6:09.0,H. Thompson misses 3-pt shot from 22 ft,,27-41,,
6:07.0,,,27-41,,Defensive rebound by A. Tolliver
5:53.0,,,27-41,,C. Butler misses 2-pt shot from 19 ft
5:52.0,Defensive rebound by H. Thompson,,27-41,,
5:34.0,Turnover by N. Noel (bad pass; steal by J. Meeks),,27-41,,
5:31.0,,,27-41,,Detroit full timeout
5:31.0,,,27-41,,K. Caldwell-Pope enters the game for C. Butler
5:14.0,,,27-41,,Shooting foul by N. Noel (drawn by G. Monroe)
5:14.0,,,27-42,1,G. Monroe makes free throw 1 of 2
5:14.0,J. Grant enters the game for H. Thompson,,27-42,,
5:14.0,,,27-43,1,G. Monroe makes free throw 2 of 2
5:05.0,Turnover by N. Noel (lost ball),,27-43,,
4:47.0,,,27-43,,A. Tolliver misses 2-pt shot from 5 ft
4:45.0,,,27-43,,Offensive rebound by A. Tolliver
4:44.0,,,27-45,2,A. Tolliver makes 2-pt shot at rim
4:28.0,L. Mbah a Moute makes 2-pt shot at rim,2,29-45,,
4:08.0,,,29-48,3,K. Caldwell-Pope makes 3-pt shot from 24 ft (assist by D. Augustin)
3:44.0,Turnover by M. Carter-Williams (bad pass; steal by J. Meeks),,29-48,,
3:40.0,,,29-50,2,K. Caldwell-Pope makes 2-pt shot at rim (assist by D. Augustin)
3:40.0,Philadelphia full timeout,,29-50,,
3:40.0,,,29-50,,A. Drummond enters the game for G. Monroe
3:40.0,,,29-50,,B. Jennings enters the game for D. Augustin
3:40.0,J. Sampson enters the game for L. Mbah a Moute,,29-50,,
3:40.0,K. McDaniels enters the game for R. Covington,,29-50,,
3:18.0,M. Carter-Williams misses 3-pt shot from 26 ft,,29-50,,
3:15.0,,,29-50,,Defensive rebound by K. Caldwell-Pope
2:56.0,,,29-50,,Shooting foul by K. McDaniels (drawn by K. Caldwell-Pope)
2:56.0,,,29-51,1,K. Caldwell-Pope makes free throw 1 of 2
2:56.0,,,29-52,1,K. Caldwell-Pope makes free throw 2 of 2
2:45.0,M. Carter-Williams makes 2-pt shot at rim,2,31-52,,
2:45.0,Shooting foul by A. Drummond (drawn by M. Carter-Williams),,31-52,,
2:45.0,M. Carter-Williams makes free throw 1 of 1,1,32-52,,
2:21.0,,,32-52,,A. Tolliver misses 3-pt shot from 23 ft
2:20.0,,,32-52,,Offensive rebound by A. Drummond
1:59.0,,,32-52,,A. Drummond misses 2-pt shot from 1 ft
1:58.0,Defensive rebound by N. Noel,,32-52,,
1:45.0,Turnover by J. Grant (bad pass),,32-52,,
1:45.0,,,32-52,,G. Monroe enters the game for A. Drummond
1:33.0,Personal foul by N. Noel (drawn by G. Monroe),,32-52,,
1:19.0,,,32-52,,G. Monroe misses 2-pt shot from 5 ft
1:17.0,,,32-52,,Offensive rebound by A. Tolliver
1:16.0,,,32-54,2,A. Tolliver makes 2-pt shot at rim
1:00.0,Turnover by M. Carter-Williams (lost ball; steal by A. Tolliver),,32-54,,
1:00.0,Personal foul by M. Carter-Williams (drawn by A. Tolliver),,32-54,,
1:00.0,,,32-54,,A. Tolliver misses free throw 1 of 2
1:00.0,,,32-54,,Offensive rebound by Team
1:00.0,H. Sims enters the game for N. Noel,,32-54,,
1:00.0,,,32-55,1,A. Tolliver makes free throw 2 of 2
0:49.0,Turnover by M. Carter-Williams (bad pass; steal by A. Tolliver),,32-55,,
0:47.0,,,32-55,,Shooting foul by J. Grant (drawn by A. Tolliver)
0:47.0,,,32-56,1,A. Tolliver makes free throw 1 of 2
0:47.0,,,32-56,,A. Tolliver misses free throw 2 of 2
0:47.0,Defensive rebound by H. Sims,,32-56,,
0:35.0,M. Carter-Williams makes 2-pt shot from 1 ft,2,34-56,,
0:27.0,,,34-56,,Turnover by B. Jennings (bad pass; steal by J. Grant)
0:07.0,,,34-56,,Personal foul by G. Monroe (drawn by M. Carter-Williams)
0:02.0,M. Carter-Williams makes 2-pt shot at rim,2,36-56,,
0:02.0,Shooting foul by G. Monroe (drawn by M. Carter-Williams),,36-56,,
0:02.0,M. Carter-Williams makes free throw 1 of 1,1,37-56,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:42.0,L. Mbah a Moute makes 2-pt shot at rim (assist by K. McDaniels),2,39-56,,
11:26.0,,,39-56,,B. Jennings misses 2-pt shot from 8 ft
11:25.0,,,39-56,,Offensive rebound by G. Monroe
11:22.0,,,39-56,,G. Monroe misses 2-pt shot at rim (block by K. McDaniels)
11:20.0,Defensive rebound by N. Noel,,39-56,,
11:06.0,K. McDaniels misses 3-pt shot from 23 ft,,39-56,,
11:05.0,,,39-56,,Defensive rebound by G. Monroe
10:54.0,,,39-59,3,K. Caldwell-Pope makes 3-pt shot from 22 ft (assist by B. Jennings)
10:44.0,M. Carter-Williams misses 2-pt shot from 9 ft,,39-59,,
10:42.0,,,39-59,,Defensive rebound by A. Drummond
10:37.0,,,39-59,,B. Jennings misses 3-pt shot from 25 ft
10:36.0,Defensive rebound by K. McDaniels,,39-59,,
10:30.0,K. McDaniels misses 2-pt shot at rim,,39-59,,
10:28.0,Offensive rebound by M. Carter-Williams,,39-59,,
10:25.0,K. McDaniels makes 2-pt shot at rim,2,41-59,,
10:07.0,,,41-59,,K. Singler misses 2-pt shot from 1 ft
10:06.0,,,41-59,,Offensive rebound by A. Drummond
10:06.0,,,41-59,,A. Drummond misses 2-pt shot at rim
10:03.0,,,41-59,,Offensive rebound by G. Monroe
10:00.0,,,41-62,3,K. Singler makes 3-pt shot from 23 ft (assist by G. Monroe)
9:34.0,M. Carter-Williams makes 2-pt shot from 3 ft,2,43-62,,
9:15.0,,,43-62,,K. Singler misses 2-pt shot from 3 ft
9:14.0,Defensive rebound by L. Mbah a Moute,,43-62,,
9:11.0,Offensive charge foul by K. McDaniels,,43-62,,
9:11.0,Turnover by K. McDaniels (offensive foul),,43-62,,
8:57.0,,,43-62,,A. Drummond misses 2-pt shot at rim
8:54.0,,,43-62,,Offensive rebound by G. Monroe
8:53.0,,,43-62,,G. Monroe misses 2-pt shot at rim
8:52.0,Defensive rebound by R. Covington,,43-62,,
8:46.0,R. Covington misses 3-pt shot from 27 ft,,43-62,,
8:45.0,Offensive rebound by L. Mbah a Moute,,43-62,,
8:35.0,Jump ball: R. Covington vs. G. Monroe (M. Carter-Williams gains possession),,,,Jump ball: R. Covington vs. G. Monroe (M. Carter-Williams gains possession)
8:24.0,R. Covington makes 3-pt shot from 25 ft (assist by M. Carter-Williams),3,46-62,,
8:23.0,,,46-62,,Detroit full timeout
8:08.0,,,46-62,,Turnover by B. Jennings (back court)
7:55.0,K. McDaniels misses 3-pt shot from 23 ft,,46-62,,
7:54.0,,,46-62,,Defensive rebound by A. Drummond
7:40.0,,,46-62,,G. Monroe misses 2-pt shot from 1 ft (block by N. Noel)
7:38.0,Defensive rebound by K. McDaniels,,46-62,,
7:31.0,L. Mbah a Moute makes 3-pt shot from 23 ft (assist by M. Carter-Williams),3,49-62,,
7:12.0,,,49-62,,K. Caldwell-Pope misses 2-pt shot from 4 ft
7:12.0,,,49-62,,Offensive rebound by Team
6:58.0,,,49-64,2,A. Drummond makes 2-pt shot at rim (assist by K. Caldwell-Pope)
6:37.0,K. McDaniels misses 2-pt shot from 2 ft (block by K. Caldwell-Pope),,49-64,,
6:37.0,,,49-64,,Defensive rebound by Team
6:20.0,,,49-64,,K. Singler misses 3-pt shot from 26 ft
6:19.0,,,49-64,,Offensive rebound by A. Drummond
6:17.0,,,49-64,,A. Drummond misses 2-pt shot from 2 ft (block by N. Noel)
6:16.0,,,49-64,,Offensive rebound by G. Monroe
6:11.0,,,49-64,,G. Monroe misses 2-pt shot from 2 ft
6:10.0,Defensive rebound by L. Mbah a Moute,,49-64,,
6:08.0,Shooting foul by A. Drummond (drawn by N. Noel),,49-64,,
6:08.0,N. Noel misses free throw 1 of 2,,49-64,,
6:08.0,Offensive rebound by Team,,49-64,,
6:08.0,H. Thompson enters the game for R. Covington,,49-64,,
6:08.0,N. Noel makes free throw 2 of 2,1,50-64,,
5:56.0,Personal foul by H. Thompson (drawn by K. Caldwell-Pope),,50-64,,
5:46.0,,,50-66,2,G. Monroe makes 2-pt shot at rim
5:30.0,Offensive charge foul by K. McDaniels,,50-66,,
5:30.0,Turnover by K. McDaniels (offensive foul),,50-66,,
5:30.0,H. Sims enters the game for N. Noel,,50-66,,
5:30.0,J. Sampson enters the game for K. McDaniels,,50-66,,
5:07.0,,,50-66,,B. Jennings misses 3-pt shot from 26 ft
5:06.0,Defensive rebound by H. Thompson,,50-66,,
4:56.0,H. Sims misses 2-pt shot from 2 ft,,50-66,,
4:55.0,Offensive rebound by H. Sims,,50-66,,
4:54.0,H. Sims makes 2-pt shot from 1 ft,2,52-66,,
4:47.0,,,52-66,,K. Caldwell-Pope misses 2-pt shot from 4 ft
4:46.0,Defensive rebound by J. Sampson,,52-66,,
4:40.0,J. Grant enters the game for L. Mbah a Moute,,52-66,,
4:40.0,L. Drew enters the game for M. Carter-Williams,,52-66,,
4:36.0,H. Sims makes 2-pt shot from 13 ft (assist by L. Drew),2,54-66,,
4:26.0,,,54-66,,Turnover by G. Monroe (bad pass; steal by L. Drew)
4:18.0,H. Thompson makes 2-pt shot from 4 ft (assist by L. Drew),2,56-66,,
4:01.0,,,56-66,,B. Jennings misses 2-pt shot from 18 ft
4:00.0,,,56-66,,Offensive rebound by G. Monroe
3:59.0,,,56-68,2,G. Monroe makes 2-pt shot at rim
3:51.0,J. Sampson misses 3-pt shot from 23 ft,,56-68,,
3:50.0,,,56-68,,Defensive rebound by G. Monroe
3:44.0,,,56-68,,Shooting foul by H. Sims (drawn by B. Jennings)
3:44.0,,,56-69,1,B. Jennings makes free throw 1 of 2
3:44.0,,,56-69,,A. Tolliver enters the game for G. Monroe
3:44.0,,,56-70,1,B. Jennings makes free throw 2 of 2
3:37.0,Turnover by L. Drew (bad pass),,56-70,,
3:37.0,,,56-70,,D. Augustin enters the game for B. Jennings
3:17.0,,,56-70,,Turnover by K. Singler (traveling)
3:00.0,J. Sampson makes 2-pt shot from 4 ft (assist by L. Drew),2,58-70,,
2:48.0,,,58-73,3,A. Tolliver makes 3-pt shot from 26 ft (assist by D. Augustin)
2:25.0,J. Grant misses 2-pt shot from 4 ft,,58-73,,
2:24.0,,,58-73,,Defensive rebound by A. Drummond
2:14.0,,,58-73,,D. Augustin misses 3-pt shot from 25 ft
2:12.0,Defensive rebound by L. Drew,,58-73,,
2:07.0,,,58-73,,Personal foul by D. Augustin (drawn by H. Thompson)
2:07.0,Philadelphia full timeout,,58-73,,
2:07.0,,,58-73,,J. Meeks enters the game for K. Caldwell-Pope
1:53.0,Turnover by L. Drew (bad pass; steal by J. Meeks),,58-73,,
1:38.0,,,58-73,,Turnover by A. Tolliver (bad pass; steal by J. Grant)
1:21.0,H. Sims makes 2-pt shot from 19 ft (assist by J. Sampson),2,60-73,,
1:04.0,,,60-76,3,K. Singler makes 3-pt shot from 26 ft (assist by D. Augustin)
0:48.0,J. Grant makes 2-pt shot at rim (assist by H. Sims),2,62-76,,
0:33.0,,,62-76,,K. Singler misses 3-pt shot from 27 ft
0:32.0,Defensive rebound by H. Sims,,62-76,,
0:10.0,Turnover by J. Grant (lost ball; steal by A. Drummond),,62-76,,
0:05.0,,,62-78,2,A. Tolliver makes 2-pt shot at rim (assist by D. Augustin)
0:02.0,Turnover by H. Sims (bad pass; steal by K. Singler),,62-78,,
0:02.0,,,62-81,3,K. Singler makes 3-pt shot from 23 ft
0:01.0,J. Grant misses 3-pt shot from 40 ft,,62-81,,
0:00.0,Offensive rebound by Team,,62-81,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:46.0,,,62-81,,Shooting foul by H. Thompson (drawn by J. Meeks)
11:46.0,,,62-82,1,J. Meeks makes free throw 1 of 2
11:46.0,,,62-82,,K. Caldwell-Pope enters the game for K. Singler
11:46.0,,,62-83,1,J. Meeks makes free throw 2 of 2
11:33.0,Turnover by L. Drew (bad pass; steal by J. Meeks),,62-83,,
11:28.0,,,62-85,2,J. Meeks makes 2-pt shot from 1 ft (assist by D. Augustin)
11:27.0,Philadelphia full timeout,,62-85,,
11:13.0,H. Sims makes 2-pt shot from 16 ft (assist by R. Covington),2,64-85,,
10:48.0,,,64-87,2,D. Augustin makes 2-pt shot from 7 ft
10:37.0,,,64-87,,Personal foul by J. Meeks (drawn by H. Thompson)
10:29.0,H. Thompson misses 3-pt shot from 24 ft,,64-87,,
10:28.0,,,64-87,,Defensive rebound by G. Monroe
10:21.0,,,64-87,,K. Caldwell-Pope misses 3-pt shot from 26 ft
10:20.0,Defensive rebound by H. Sims,,64-87,,
10:12.0,L. Drew makes 2-pt shot at rim,2,66-87,,
9:57.0,,,66-87,,Turnover by K. Caldwell-Pope (bad pass; steal by F. Aldemir)
9:49.0,R. Covington makes 3-pt shot from 25 ft (assist by L. Drew),3,69-87,,
9:47.0,,,69-87,,Detroit full timeout
9:47.0,K. McDaniels enters the game for H. Thompson,,69-87,,
9:25.0,,,69-87,,Turnover by G. Monroe (lost ball; steal by H. Sims)
9:20.0,Shooting foul by D. Augustin (drawn by H. Sims),,69-87,,
9:20.0,H. Sims makes free throw 1 of 2,1,70-87,,
9:20.0,H. Sims makes free throw 2 of 2,1,71-87,,
9:07.0,,,71-90,3,J. Meeks makes 3-pt shot from 26 ft (assist by G. Monroe)
8:54.0,Turnover by H. Sims (bad pass; steal by J. Meeks),,71-90,,
8:51.0,,,71-90,,Turnover by D. Augustin (bad pass)
8:35.0,L. Drew misses 2-pt shot from 7 ft,,71-90,,
8:34.0,Offensive rebound by F. Aldemir,,71-90,,
8:33.0,F. Aldemir makes 2-pt shot at rim,2,73-90,,
8:21.0,,,73-90,,Shooting foul by F. Aldemir (drawn by J. Meeks)
8:21.0,,,73-91,1,J. Meeks makes free throw 1 of 2
8:21.0,,,73-92,1,J. Meeks makes free throw 2 of 2
8:03.0,F. Aldemir misses 2-pt shot from 4 ft,,73-92,,
8:02.0,,,73-92,,Defensive rebound by G. Monroe
7:54.0,,,73-92,,K. Caldwell-Pope misses 3-pt shot from 23 ft
7:53.0,Defensive rebound by H. Sims,,73-92,,
7:34.0,K. McDaniels misses 2-pt shot at rim,,73-92,,
7:32.0,,,73-92,,Defensive rebound by J. Meeks
7:27.0,,,73-92,,Shooting foul by F. Aldemir (drawn by G. Monroe)
7:27.0,,,73-93,1,G. Monroe makes free throw 1 of 2
7:27.0,,,73-94,1,G. Monroe makes free throw 2 of 2
7:16.0,R. Covington misses 3-pt shot from 26 ft,,73-94,,
7:14.0,,,73-94,,Defensive rebound by D. Augustin
7:05.0,,,73-94,,A. Tolliver misses 3-pt shot from 26 ft
7:03.0,Defensive rebound by H. Sims,,73-94,,
6:52.0,K. McDaniels misses 2-pt shot from 13 ft,,73-94,,
6:50.0,,,73-94,,Defensive rebound by A. Tolliver
6:35.0,,,73-94,,J. Meeks misses 3-pt shot from 23 ft
6:34.0,Defensive rebound by H. Sims,,73-94,,
6:33.0,Philadelphia full timeout,,73-94,,
6:33.0,,,73-94,,A. Drummond enters the game for G. Monroe
6:33.0,J. Sampson enters the game for R. Covington,,73-94,,
6:33.0,M. Thomas enters the game for H. Sims,,73-94,,
6:25.0,L. Drew makes 2-pt shot at rim,2,75-94,,
6:02.0,,,75-94,,A. Drummond misses 2-pt shot from 6 ft
6:00.0,Defensive rebound by F. Aldemir,,75-94,,
5:55.0,Turnover by K. McDaniels (bad pass; steal by J. Meeks),,75-94,,
5:52.0,,,75-96,2,A. Tolliver makes 2-pt shot at rim (assist by J. Meeks)
5:52.0,,,75-96,,Shooting foul by J. Sampson (drawn by A. Tolliver)
5:52.0,,,75-96,,A. Tolliver misses free throw 1 of 1
5:51.0,Defensive rebound by F. Aldemir,,75-96,,
5:50.0,,,75-96,,Personal foul by A. Drummond (drawn by F. Aldemir)
5:34.0,K. McDaniels misses 2-pt shot from 11 ft,,75-96,,
5:33.0,,,75-96,,Defensive rebound by A. Tolliver
5:22.0,,,75-96,,Shooting foul by K. McDaniels (drawn by J. Meeks)
5:22.0,,,75-97,1,J. Meeks makes free throw 1 of 2
5:22.0,J. Grant enters the game for K. McDaniels,,75-97,,
5:22.0,,,75-98,1,J. Meeks makes free throw 2 of 2
5:06.0,J. Sampson makes 2-pt shot at rim (assist by F. Aldemir),2,77-98,,
4:49.0,,,77-101,3,A. Tolliver makes 3-pt shot from 25 ft (assist by D. Augustin)
4:33.0,Turnover by J. Grant (bad pass; steal by D. Augustin),,77-101,,
4:25.0,,,77-101,,A. Drummond misses 2-pt shot at rim
4:24.0,Defensive rebound by F. Aldemir,,77-101,,
4:19.0,,,77-101,,Personal foul by A. Tolliver (drawn by J. Sampson)
4:09.0,J. Sampson makes 2-pt shot from 13 ft,2,79-101,,
