time,Oklahoma City,pts.away,score,pts.home,Boston
9:02.0,Defensive rebound by S. Telfair,,22-25,,
8:57.0,L. Thomas makes 2-pt shot at rim (assist by S. Telfair),2,24-25,,
8:56.0,,,24-25,,Boston full timeout
8:36.0,,,24-28,3,K. Olynyk makes 3-pt shot from 24 ft (assist by A. Bradley)
8:13.0,N. Collison misses 2-pt shot from 18 ft,,24-28,,
8:11.0,,,24-28,,Defensive rebound by A. Bradley
7:57.0,,,24-30,2,K. Olynyk makes 2-pt shot at rim (assist by E. Turner)
7:42.0,S. Telfair makes 3-pt shot from 22 ft (assist by A. Morrow),3,27-30,,
7:33.0,,,27-30,,A. Bradley misses 3-pt shot from 23 ft
7:32.0,Defensive rebound by L. Thomas,,27-30,,
7:18.0,N. Collison misses 3-pt shot from 22 ft,,27-30,,
7:17.0,Offensive rebound by Team,,27-30,,
7:17.0,,,27-30,,R. Rondo enters the game for E. Turner
7:17.0,S. Ibaka enters the game for L. Thomas,,27-30,,
7:17.0,,,27-30,,B. Bass enters the game for G. Wallace
7:17.0,,,27-30,,J. Green enters the game for J. Sullinger
7:05.0,A. Morrow misses 2-pt shot from 2 ft (block by K. Olynyk),,27-30,,
7:03.0,,,27-30,,Defensive rebound by J. Green
6:57.0,,,27-30,,A. Bradley misses 3-pt shot from 22 ft
6:55.0,Defensive rebound by A. Morrow,,27-30,,
6:48.0,N. Collison makes 2-pt shot at rim (assist by S. Telfair),2,29-30,,
6:32.0,,,29-30,,Shooting foul by S. Ibaka (drawn by B. Bass)
6:32.0,,,29-31,1,B. Bass makes free throw 1 of 2
6:32.0,,,29-32,1,B. Bass makes free throw 2 of 2
6:16.0,Shooting foul by J. Green (drawn by A. Morrow),,29-32,,
6:16.0,A. Morrow makes free throw 1 of 2,1,30-32,,
6:16.0,A. Morrow makes free throw 2 of 2,1,31-32,,
5:59.0,,,31-32,,A. Bradley misses 2-pt shot from 2 ft
5:57.0,,,31-32,,Offensive rebound by R. Rondo
5:53.0,,,31-32,,Shooting foul by S. Telfair (drawn by J. Green)
5:53.0,Official timeout,,31-32,,
5:53.0,R. Jackson enters the game for K. Perkins,,31-32,,
5:53.0,S. Adams enters the game for S. Telfair,,31-32,,
5:53.0,,,31-33,1,J. Green makes free throw 1 of 2
5:53.0,,,31-34,1,J. Green makes free throw 2 of 2
5:30.0,S. Ibaka misses 2-pt shot from 4 ft,,31-34,,
5:29.0,,,31-34,,Defensive rebound by J. Green
5:22.0,,,31-36,2,K. Olynyk makes 2-pt shot from 5 ft (assist by R. Rondo)
5:10.0,Offensive foul by S. Adams,,31-36,,
5:10.0,Turnover by S. Adams (offensive foul),,31-36,,
4:55.0,,,31-39,3,A. Bradley makes 3-pt shot from 23 ft (assist by K. Olynyk)
4:28.0,N. Collison makes 3-pt shot from 24 ft (assist by R. Jackson),3,34-39,,
4:19.0,,,34-41,2,K. Olynyk makes 2-pt shot at rim (assist by R. Rondo)
4:18.0,Oklahoma City full timeout,,34-41,,
4:02.0,Turnover by S. Adams (lost ball; steal by R. Rondo),,34-41,,
3:57.0,,,34-43,2,R. Rondo makes 2-pt shot from 1 ft
3:42.0,R. Jackson makes 2-pt shot from 6 ft,2,36-43,,
3:24.0,,,36-43,,A. Bradley misses 3-pt shot from 24 ft
3:22.0,Defensive rebound by A. Morrow,,36-43,,
3:10.0,S. Ibaka misses 2-pt shot from 17 ft,,36-43,,
3:09.0,,,36-43,,Defensive rebound by Team
3:01.0,,,36-43,,Turnover by J. Green (step out of bounds)
2:50.0,N. Collison misses 2-pt shot from 20 ft,,36-43,,
2:49.0,Offensive rebound by S. Adams,,36-43,,
2:49.0,S. Adams misses 2-pt shot at rim,,36-43,,
2:48.0,Offensive rebound by Team,,36-43,,
2:48.0,J. Lamb enters the game for A. Morrow,,36-43,,
2:48.0,,,36-43,,T. Zeller enters the game for K. Olynyk
2:48.0,,,36-43,,J. Sullinger enters the game for B. Bass
2:37.0,R. Jackson misses 3-pt shot from 24 ft,,36-43,,
2:36.0,,,36-43,,Defensive rebound by J. Sullinger
2:27.0,,,36-45,2,J. Green makes 2-pt shot at rim (assist by R. Rondo)
2:10.0,Turnover by S. Adams (lost ball),,36-45,,
1:59.0,,,36-48,3,R. Rondo makes 3-pt shot from 24 ft (assist by J. Sullinger)
1:51.0,Oklahoma City full timeout,,36-48,,
1:40.0,Shooting foul by T. Zeller (drawn by N. Collison),,36-48,,
1:40.0,N. Collison makes free throw 1 of 2,1,37-48,,
1:40.0,N. Collison makes free throw 2 of 2,1,38-48,,
1:26.0,,,38-48,,J. Green misses 3-pt shot from 23 ft
1:25.0,Defensive rebound by Team,,38-48,,
1:15.0,N. Collison misses 2-pt shot from 18 ft,,38-48,,
1:14.0,,,38-48,,Defensive rebound by Team
1:14.0,Loose ball foul by S. Adams (drawn by T. Zeller),,38-48,,
1:04.0,,,38-48,,R. Rondo misses 2-pt shot from 5 ft
1:03.0,,,38-48,,Offensive rebound by R. Rondo
1:02.0,,,38-51,3,A. Bradley makes 3-pt shot from 25 ft (assist by R. Rondo)
0:49.0,,,38-51,,Personal foul by A. Bradley (drawn by R. Jackson)
0:49.0,R. Jackson makes free throw 1 of 2,1,39-51,,
0:49.0,,,39-51,,K. Olynyk enters the game for T. Zeller
0:49.0,R. Jackson makes free throw 2 of 2,1,40-51,,
0:35.0,,,40-51,,R. Rondo misses 2-pt shot from 1 ft
0:33.0,Defensive rebound by S. Adams,,40-51,,
0:21.0,,,40-51,,Personal foul by A. Bradley (drawn by R. Jackson)
0:21.0,L. Thomas enters the game for N. Collison,,40-51,,
0:21.0,R. Jackson makes free throw 1 of 2,1,41-51,,
0:21.0,R. Jackson makes free throw 2 of 2,1,42-51,,
0:05.0,,,42-51,,A. Bradley misses 3-pt shot from 24 ft
0:03.0,Defensive rebound by S. Adams,,42-51,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:47.0,,,42-53,2,J. Sullinger makes 2-pt shot from 22 ft (assist by R. Rondo)
11:33.0,S. Adams makes 2-pt shot at rim (assist by J. Lamb),2,44-53,,
11:16.0,,,44-53,,J. Green misses 3-pt shot from 22 ft
11:14.0,,,44-53,,Offensive rebound by K. Olynyk
11:10.0,,,44-53,,A. Bradley misses 2-pt shot from 19 ft
11:09.0,Defensive rebound by J. Lamb,,44-53,,
10:53.0,J. Lamb misses 3-pt shot from 25 ft,,44-53,,
10:52.0,,,44-53,,Defensive rebound by K. Olynyk
10:40.0,,,44-53,,K. Olynyk misses 3-pt shot from 24 ft
10:39.0,Defensive rebound by S. Ibaka,,44-53,,
10:31.0,L. Thomas misses 2-pt shot from 15 ft,,44-53,,
10:30.0,,,44-53,,Defensive rebound by J. Sullinger
10:26.0,,,44-53,,Shooting foul by J. Lamb (drawn by J. Green)
10:26.0,,,44-54,1,J. Green makes free throw 1 of 2
10:26.0,,,44-55,1,J. Green makes free throw 2 of 2
10:18.0,Shooting foul by A. Bradley (drawn by R. Jackson),,44-55,,
10:18.0,R. Jackson makes free throw 1 of 2,1,45-55,,
10:18.0,R. Jackson makes free throw 2 of 2,1,46-55,,
9:56.0,,,46-55,,R. Rondo misses 2-pt shot from 4 ft (block by S. Adams)
9:54.0,Defensive rebound by S. Adams,,46-55,,
9:43.0,J. Lamb makes 2-pt shot from 1 ft,2,48-55,,
9:28.0,,,48-57,2,R. Rondo makes 2-pt shot from 18 ft (assist by K. Olynyk)
9:11.0,R. Jackson misses 2-pt shot from 7 ft,,48-57,,
9:09.0,Offensive rebound by S. Adams,,48-57,,
9:09.0,S. Adams makes 2-pt shot at rim,2,50-57,,
8:46.0,,,50-57,,A. Bradley misses 2-pt shot from 21 ft
8:45.0,Defensive rebound by L. Thomas,,50-57,,
8:34.0,J. Lamb misses 3-pt shot from 24 ft,,50-57,,
8:33.0,,,50-57,,Defensive rebound by J. Sullinger
8:25.0,,,50-57,,J. Sullinger misses 3-pt shot from 25 ft
8:24.0,Defensive rebound by S. Ibaka,,50-57,,
8:11.0,S. Adams misses 2-pt shot at rim,,50-57,,
8:10.0,,,50-57,,Defensive rebound by Team
7:53.0,,,50-59,2,K. Olynyk makes 2-pt shot from 15 ft (assist by R. Rondo)
7:39.0,S. Ibaka makes 2-pt shot from 20 ft (assist by R. Jackson),2,52-59,,
7:19.0,,,52-59,,R. Rondo misses 3-pt shot from 25 ft
7:18.0,Defensive rebound by L. Thomas,,52-59,,
7:08.0,R. Jackson makes 3-pt shot from 25 ft,3,55-59,,
7:07.0,,,55-59,,Boston full timeout
6:56.0,,,55-61,2,A. Bradley makes 2-pt shot from 17 ft (assist by J. Sullinger)
6:36.0,S. Adams misses 2-pt shot from 3 ft (block by K. Olynyk),,55-61,,
6:34.0,,,55-61,,Defensive rebound by R. Rondo
6:16.0,,,55-61,,J. Green misses 2-pt shot from 13 ft
6:15.0,Defensive rebound by R. Jackson,,55-61,,
6:06.0,R. Jackson makes 2-pt shot at rim,2,57-61,,
5:53.0,,,57-63,2,A. Bradley makes 2-pt shot from 21 ft (assist by J. Sullinger)
5:39.0,Shooting foul by K. Olynyk (drawn by R. Jackson),,57-63,,
5:39.0,R. Jackson makes free throw 1 of 2,1,58-63,,
5:39.0,,,58-63,,E. Turner enters the game for J. Green
5:39.0,R. Jackson makes free throw 2 of 2,1,59-63,,
5:20.0,,,59-63,,Shooting foul by J. Lamb (drawn by A. Bradley)
5:20.0,,,59-63,,A. Bradley misses free throw 1 of 2
5:20.0,,,59-63,,Offensive rebound by Team
5:20.0,,,59-63,,B. Bass enters the game for J. Sullinger
5:20.0,,,59-64,1,A. Bradley makes free throw 2 of 2
5:10.0,J. Lamb misses 3-pt shot from 24 ft,,59-64,,
5:09.0,,,59-64,,Defensive rebound by A. Bradley
5:05.0,,,59-64,,A. Bradley misses 2-pt shot from 2 ft (block by S. Ibaka)
5:04.0,Defensive rebound by L. Thomas,,59-64,,
4:56.0,Shooting foul by K. Olynyk (drawn by S. Adams),,59-64,,
4:56.0,S. Adams misses free throw 1 of 2,,59-64,,
4:56.0,Offensive rebound by Team,,59-64,,
4:56.0,,,59-64,,T. Zeller enters the game for K. Olynyk
4:56.0,S. Adams makes free throw 2 of 2,1,60-64,,
4:37.0,,,60-64,,R. Rondo misses 3-pt shot from 25 ft
4:36.0,Defensive rebound by S. Ibaka,,60-64,,
4:24.0,R. Jackson misses 2-pt shot from 19 ft,,60-64,,
4:22.0,Offensive rebound by L. Thomas,,60-64,,
4:19.0,S. Ibaka misses 3-pt shot from 25 ft,,60-64,,
4:17.0,Offensive rebound by L. Thomas,,60-64,,
4:14.0,J. Lamb makes 2-pt shot from 1 ft (assist by L. Thomas),2,62-64,,
4:02.0,,,62-66,2,E. Turner makes 2-pt shot from 13 ft (assist by R. Rondo)
3:48.0,,,62-66,,Personal foul by A. Bradley (drawn by R. Jackson)
3:48.0,,,62-66,,P. Pressey enters the game for R. Rondo
3:48.0,,,62-66,,J. Green enters the game for A. Bradley
3:48.0,A. Morrow enters the game for J. Lamb,,62-66,,
3:38.0,S. Ibaka makes 2-pt shot from 8 ft (assist by R. Jackson),2,64-66,,
3:22.0,,,64-66,,J. Green misses 2-pt shot from 7 ft
3:20.0,Defensive rebound by L. Thomas,,64-66,,
3:10.0,S. Adams makes 2-pt shot at rim (assist by R. Jackson),2,66-66,,
2:49.0,,,66-66,,P. Pressey misses 2-pt shot from 11 ft
2:48.0,Defensive rebound by A. Morrow,,66-66,,
2:38.0,Shooting foul by T. Zeller (drawn by S. Adams),,66-66,,
2:38.0,Oklahoma City full timeout,,66-66,,
2:38.0,,,66-66,,J. Sullinger enters the game for T. Zeller
2:38.0,S. Adams makes free throw 1 of 2,1,67-66,,
2:38.0,S. Adams makes free throw 2 of 2,1,68-66,,
2:26.0,,,68-68,2,B. Bass makes 2-pt shot from 2 ft (assist by J. Sullinger)
2:04.0,A. Morrow makes 3-pt shot from 25 ft (assist by R. Jackson),3,71-68,,
1:54.0,,,71-70,2,J. Sullinger makes 2-pt shot from 10 ft (assist by E. Turner)
1:34.0,Turnover by A. Morrow (bad pass; steal by E. Turner),,71-70,,
1:32.0,,,71-70,,Shooting foul by A. Morrow (drawn by E. Turner)
1:32.0,,,71-71,1,E. Turner makes free throw 1 of 2
1:32.0,K. Perkins enters the game for S. Adams,,71-71,,
1:32.0,N. Collison enters the game for S. Ibaka,,71-71,,
1:32.0,,,71-72,1,E. Turner makes free throw 2 of 2
1:18.0,K. Perkins misses 2-pt shot from 7 ft,,71-72,,
1:17.0,,,71-72,,Defensive rebound by J. Sullinger
1:08.0,,,71-72,,P. Pressey misses 3-pt shot from 26 ft
1:07.0,Defensive rebound by L. Thomas,,71-72,,
0:50.0,R. Jackson makes 2-pt shot from 12 ft,2,73-72,,
0:40.0,,,73-72,,Turnover by P. Pressey (bad pass; steal by R. Jackson)
0:29.0,A. Morrow misses 2-pt shot from 1 ft,,73-72,,
0:27.0,,,73-72,,Defensive rebound by J. Sullinger
0:08.0,,,73-72,,E. Turner misses 2-pt shot from 9 ft
0:06.0,Defensive rebound by A. Morrow,,73-72,,
0:00.0,R. Jackson makes 3-pt shot from 26 ft,3,76-72,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:43.0,R. Jackson misses 3-pt shot from 24 ft,,76-72,,
11:42.0,,,76-72,,Defensive rebound by J. Green
11:36.0,,,76-72,,J. Sullinger misses 2-pt shot from 19 ft
11:35.0,Defensive rebound by N. Collison,,76-72,,
11:21.0,,,76-72,,Violation by Team (jump ball)
11:17.0,Shooting foul by J. Sullinger (drawn by L. Thomas),,76-72,,
11:17.0,L. Thomas makes free throw 1 of 2,1,77-72,,
11:17.0,L. Thomas misses free throw 2 of 2,,77-72,,
11:16.0,Offensive rebound by L. Thomas,,77-72,,
11:11.0,A. Morrow makes 3-pt shot from 25 ft (assist by L. Thomas),3,80-72,,
10:58.0,,,80-74,2,J. Green makes 2-pt shot from 20 ft
10:45.0,,,80-74,,Personal foul by J. Young (drawn by L. Thomas)
10:45.0,,,80-74,,A. Bradley enters the game for E. Turner
10:45.0,,,80-74,,R. Rondo enters the game for J. Green
10:39.0,K. Perkins misses 2-pt shot from 2 ft,,80-74,,
10:37.0,Offensive rebound by L. Thomas,,80-74,,
10:32.0,A. Morrow makes 2-pt shot from 5 ft (assist by L. Thomas),2,82-74,,
10:15.0,,,82-74,,A. Bradley misses 3-pt shot from 24 ft
10:13.0,,,82-74,,Offensive rebound by Team
10:13.0,Loose ball foul by L. Thomas (drawn by J. Sullinger),,82-74,,
10:07.0,,,82-74,,Turnover by K. Olynyk (bad pass)
9:49.0,Turnover by K. Perkins (traveling),,82-74,,
9:37.0,,,82-77,3,J. Young makes 3-pt shot from 24 ft (assist by R. Rondo)
9:20.0,,,82-77,,Personal foul by R. Rondo (drawn by N. Collison)
9:15.0,L. Thomas makes 2-pt shot at rim (assist by N. Collison),2,84-77,,
8:59.0,,,84-77,,R. Rondo misses 2-pt shot from 2 ft
8:58.0,Defensive rebound by Team,,84-77,,
8:58.0,Official timeout,,84-77,,
8:41.0,A. Morrow makes 2-pt shot from 21 ft (assist by L. Thomas),2,86-77,,
8:29.0,Personal foul by N. Collison (drawn by A. Bradley),,86-77,,
8:29.0,,,86-77,,J. Green enters the game for J. Young
8:29.0,,,86-77,,T. Zeller enters the game for J. Sullinger
8:25.0,,,86-77,,A. Bradley misses 2-pt shot from 18 ft
8:23.0,Defensive rebound by N. Collison,,86-77,,
8:02.0,R. Jackson makes 2-pt shot from 6 ft,2,88-77,,
7:41.0,,,88-79,2,R. Rondo makes 2-pt shot from 5 ft
7:21.0,A. Morrow makes 2-pt shot from 14 ft (assist by R. Jackson),2,90-79,,
7:08.0,,,90-81,2,A. Bradley makes 2-pt shot from 14 ft (assist by T. Zeller)
6:48.0,R. Jackson makes 2-pt shot from 4 ft,2,92-81,,
6:33.0,,,92-81,,K. Olynyk misses 2-pt shot from 14 ft
6:32.0,Defensive rebound by N. Collison,,92-81,,
6:12.0,A. Morrow makes 2-pt shot from 8 ft (assist by N. Collison),2,94-81,,
6:10.0,,,94-81,,Boston full timeout
6:10.0,,,94-81,,J. Sullinger enters the game for T. Zeller
5:55.0,,,94-81,,K. Olynyk misses 2-pt shot from 3 ft
5:53.0,,,94-81,,Offensive rebound by J. Sullinger
5:53.0,,,94-83,2,J. Sullinger makes 2-pt shot at rim
5:33.0,N. Collison misses 3-pt shot from 22 ft,,94-83,,
5:32.0,Offensive rebound by L. Thomas,,94-83,,
5:08.0,L. Thomas misses 2-pt shot from 1 ft,,94-83,,
5:07.0,,,94-83,,Defensive rebound by J. Green
5:01.0,,,94-83,,Turnover by J. Green (lost ball)
4:36.0,A. Morrow makes 3-pt shot from 25 ft (assist by N. Collison),3,97-83,,
4:27.0,,,97-83,,J. Sullinger misses 3-pt shot from 25 ft
4:26.0,Defensive rebound by R. Jackson,,97-83,,
4:08.0,Oklahoma City full timeout,,97-83,,
4:08.0,,,97-83,,E. Turner enters the game for A. Bradley
4:07.0,Turnover by L. Thomas (bad pass; steal by K. Olynyk),,97-83,,
3:58.0,,,97-85,2,J. Sullinger makes 2-pt shot from 4 ft (assist by R. Rondo)
3:45.0,,,97-85,,Personal foul by E. Turner (drawn by A. Morrow)
3:35.0,R. Jackson makes 2-pt shot from 2 ft,2,99-85,,
3:19.0,Personal foul by N. Collison (drawn by J. Sullinger),,99-85,,
3:05.0,,,99-85,,J. Sullinger misses 2-pt shot from 10 ft
3:04.0,Defensive rebound by Team,,99-85,,
2:41.0,N. Collison makes 3-pt shot from 22 ft (assist by R. Jackson),3,102-85,,
2:27.0,,,102-88,3,R. Rondo makes 3-pt shot from 25 ft (assist by K. Olynyk)
2:01.0,A. Morrow makes 3-pt shot from 26 ft (assist by L. Thomas),3,105-88,,
1:52.0,,,105-88,,J. Sullinger misses 2-pt shot from 4 ft (block by K. Perkins)
1:50.0,Defensive rebound by K. Perkins,,105-88,,
1:28.0,N. Collison misses 3-pt shot from 25 ft,,105-88,,
1:27.0,,,105-88,,Defensive rebound by J. Sullinger
1:21.0,,,105-88,,R. Rondo misses 3-pt shot from 24 ft
1:20.0,Defensive rebound by R. Jackson,,105-88,,
0:56.0,A. Morrow makes 2-pt shot from 12 ft,2,107-88,,
0:50.0,,,107-91,3,J. Green makes 3-pt shot from 24 ft (assist by R. Rondo)
0:27.0,N. Collison makes 2-pt shot from 5 ft,2,109-91,,
0:17.0,,,109-91,,K. Olynyk misses 3-pt shot from 25 ft
0:16.0,,,109-91,,Offensive rebound by J. Sullinger
0:12.0,,,109-94,3,R. Rondo makes 3-pt shot from 25 ft (assist by J. Sullinger)
0:00.0,End of 4th quarter,,,,End of 4th quarter
