time,LA Clippers,pts.away,score,pts.home,Cleveland
9:54.0,Turnover by J. Crawford (lost ball; steal by M. Dellavedova),,22-32,,
9:52.0,Personal foul by S. Hawes (drawn by L. James),,22-32,,
9:41.0,Personal foul by D. Jones (drawn by K. Irving),,22-32,,
9:28.0,,,22-32,,Shooting foul by S. Hawes (drawn by K. Love)
9:28.0,,,22-33,1,K. Love makes free throw 1 of 2
9:28.0,B. Griffin enters the game for G. Davis,,22-33,,
9:28.0,,,22-33,,K. Love misses free throw 2 of 2
9:27.0,Defensive rebound by M. Barnes,,22-33,,
9:14.0,S. Hawes misses 3-pt shot from 25 ft,,22-33,,
9:13.0,,,22-33,,Defensive rebound by K. Irving
9:03.0,,,22-33,,Turnover by T. Mozgov (lost ball)
8:48.0,B. Griffin misses 2-pt shot from 12 ft,,22-33,,
8:47.0,,,22-33,,Defensive rebound by K. Irving
8:39.0,,,22-35,2,L. James makes 2-pt shot at rim
8:22.0,S. Hawes misses 2-pt shot from 8 ft,,22-35,,
8:21.0,,,22-35,,Defensive rebound by K. Love
8:16.0,,,22-37,2,L. James makes 2-pt shot from 1 ft
8:16.0,,,22-37,,Shooting foul by B. Griffin (drawn by L. James)
8:16.0,Official timeout,,22-37,,
8:16.0,D. Jordan enters the game for S. Hawes,,22-37,,
8:16.0,C. Paul enters the game for D. Jones,,22-37,,
8:16.0,,,22-37,,L. James misses free throw 1 of 1
8:15.0,Defensive rebound by D. Jordan,,22-37,,
7:55.0,J. Crawford misses 3-pt shot from 25 ft,,22-37,,
7:54.0,,,22-37,,Defensive rebound by T. Mozgov
7:46.0,,,22-37,,K. Irving misses 3-pt shot from 24 ft
7:45.0,Defensive rebound by B. Griffin,,22-37,,
7:37.0,B. Griffin misses 2-pt shot from 6 ft (block by T. Mozgov),,22-37,,
7:35.0,Offensive rebound by B. Griffin,,22-37,,
7:35.0,B. Griffin makes 2-pt shot from 1 ft,2,24-37,,
7:20.0,,,24-39,2,T. Mozgov makes 2-pt shot at rim (assist by L. James)
7:09.0,B. Griffin makes 2-pt shot at rim (assist by C. Paul),2,26-39,,
7:02.0,,,26-39,,J. Smith enters the game for L. James
6:51.0,,,26-39,,K. Love misses 2-pt shot from 10 ft
6:49.0,,,26-39,,Offensive rebound by T. Mozgov
6:47.0,,,26-39,,Turnover by K. Love (lost ball; steal by J. Crawford)
6:42.0,D. Jordan misses 2-pt shot at rim,,26-39,,
6:40.0,,,26-39,,Defensive rebound by K. Love
6:34.0,,,26-39,,Shooting foul by D. Jordan (drawn by K. Love)
6:34.0,,,26-40,1,K. Love makes free throw 1 of 2
6:34.0,,,26-40,,T. Thompson enters the game for T. Mozgov
6:34.0,,,26-41,1,K. Love makes free throw 2 of 2
6:24.0,J. Crawford makes 2-pt shot from 6 ft (assist by B. Griffin),2,28-41,,
6:07.0,,,28-43,2,T. Thompson makes 2-pt shot from 4 ft (assist by K. Love)
5:52.0,Turnover by J. Crawford (bad pass; steal by M. Dellavedova),,28-43,,
5:47.0,,,28-45,2,K. Love makes 2-pt shot at rim (assist by K. Irving)
5:42.0,,,28-45,,Personal foul by M. Dellavedova (drawn by B. Griffin)
5:42.0,,,28-45,,Cleveland full timeout
5:42.0,,,28-45,,I. Shumpert enters the game for M. Dellavedova
5:28.0,J. Crawford makes 2-pt shot from 12 ft,2,30-45,,
5:17.0,,,30-45,,Shooting foul by M. Barnes (drawn by T. Thompson)
5:17.0,,,30-46,1,T. Thompson makes free throw 1 of 2
5:17.0,H. Turkoglu enters the game for M. Barnes,,30-46,,
5:17.0,,,30-46,,T. Thompson misses free throw 2 of 2
5:16.0,Defensive rebound by D. Jordan,,30-46,,
5:03.0,C. Paul misses 2-pt shot from 6 ft,,30-46,,
5:03.0,,,30-46,,Defensive rebound by K. Love
5:03.0,Personal foul by C. Paul (drawn by K. Love),,30-46,,
5:03.0,,,30-47,1,K. Love makes free throw 1 of 2
5:03.0,,,30-47,,K. Love misses free throw 2 of 2
5:03.0,Defensive rebound by Team,,30-47,,
5:03.0,,,30-47,,Loose ball foul by T. Thompson (drawn by B. Griffin)
5:03.0,,,30-47,,T. Mozgov enters the game for K. Love
4:50.0,B. Griffin misses 2-pt shot from 6 ft,,30-47,,
4:47.0,Offensive rebound by D. Jordan,,30-47,,
4:47.0,D. Jordan makes 2-pt shot at rim,2,32-47,,
4:35.0,,,32-47,,T. Mozgov misses flagrant free throw 1 of 2
4:35.0,,,32-47,,Offensive rebound by Team
4:35.0,,,32-48,1,T. Mozgov makes flagrant free throw 2 of 2
4:35.0,,,32-48,,L. James enters the game for I. Shumpert
4:16.0,,,32-51,3,J. Smith makes 3-pt shot from 24 ft (assist by L. James)
3:53.0,B. Griffin makes 2-pt shot from 6 ft (assist by C. Paul),2,34-51,,
3:31.0,,,34-51,,Shooting foul by H. Turkoglu (drawn by T. Thompson)
3:31.0,,,34-52,1,T. Thompson makes free throw 1 of 2
3:31.0,M. Barnes enters the game for H. Turkoglu,,34-52,,
3:31.0,,,34-53,1,T. Thompson makes free throw 2 of 2
3:21.0,B. Griffin makes 2-pt shot from 1 ft (assist by C. Paul),2,36-53,,
3:21.0,Shooting foul by T. Thompson (drawn by B. Griffin),,36-53,,
3:21.0,B. Griffin makes free throw 1 of 1,1,37-53,,
3:01.0,,,37-56,3,L. James makes 3-pt shot from 24 ft (assist by J. Smith)
2:40.0,LA Clippers full timeout,,37-56,,
2:40.0,,,37-56,,K. Love enters the game for T. Thompson
2:39.0,Turnover by M. Barnes (bad pass; steal by J. Smith),,37-56,,
2:33.0,,,37-58,2,L. James makes 2-pt shot at rim (assist by K. Irving)
2:18.0,C. Paul misses 2-pt shot from 15 ft,,37-58,,
2:16.0,Offensive rebound by B. Griffin,,37-58,,
2:16.0,B. Griffin misses 2-pt shot at rim,,37-58,,
2:14.0,,,37-58,,Defensive rebound by K. Irving
2:12.0,,,37-58,,Turnover by T. Mozgov (lost ball)
2:06.0,M. Barnes makes 2-pt shot at rim (assist by C. Paul),2,39-58,,
1:44.0,,,39-60,2,J. Smith makes 2-pt shot from 11 ft (assist by K. Love)
1:36.0,C. Paul makes 2-pt shot from 13 ft,2,41-60,,
1:11.0,,,41-62,2,L. James makes 2-pt shot from 15 ft
0:57.0,Turnover by M. Barnes (bad pass; steal by J. Smith),,41-62,,
0:37.0,,,41-62,,Cleveland full timeout
0:32.0,,,41-62,,L. James misses 2-pt shot from 13 ft
0:31.0,Defensive rebound by Team,,41-62,,
0:31.0,,,41-62,,Loose ball foul by T. Mozgov (drawn by D. Jordan)
0:31.0,D. Jordan makes free throw 1 of 2,1,42-62,,
0:31.0,,,42-62,,I. Shumpert enters the game for T. Mozgov
0:31.0,D. Jordan misses free throw 2 of 2,,42-62,,
0:30.0,,,42-62,,Defensive rebound by I. Shumpert
0:11.0,,,42-65,3,J. Smith makes 3-pt shot from 23 ft (assist by I. Shumpert)
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:42.0,,,42-65,,Shooting foul by B. Griffin (drawn by K. Love)
11:42.0,,,42-66,1,K. Love makes free throw 1 of 2
11:42.0,,,42-67,1,K. Love makes free throw 2 of 2
11:31.0,C. Paul misses 2-pt shot from 13 ft,,42-67,,
11:29.0,Offensive rebound by B. Griffin,,42-67,,
11:27.0,Turnover by B. Griffin (bad pass; steal by J. Smith),,42-67,,
11:18.0,Personal foul by D. Jordan (drawn by K. Love),,42-67,,
11:09.0,,,42-67,,K. Love misses 3-pt shot from 23 ft
11:08.0,Defensive rebound by D. Jordan,,42-67,,
11:04.0,,,42-67,,Personal foul by J. Smith (drawn by J. Crawford)
10:54.0,B. Griffin misses 2-pt shot from 7 ft,,42-67,,
10:54.0,Offensive rebound by Team,,42-67,,
10:54.0,,,42-67,,Loose ball foul by K. Love (drawn by D. Jordan)
10:48.0,J. Crawford misses 3-pt shot from 25 ft,,42-67,,
10:47.0,Offensive rebound by M. Barnes,,42-67,,
10:41.0,C. Paul makes 3-pt shot from 24 ft (assist by M. Barnes),3,45-67,,
10:23.0,Personal foul by M. Barnes (drawn by K. Love),,45-67,,
10:23.0,Technical foul by M. Barnes (drawn by K. Love),,45-67,,
10:23.0,,,45-68,1,K. Irving makes technical free throw
10:17.0,,,45-68,,Turnover by L. James (bad pass)
10:17.0,Technical foul by C. Paul,,45-68,,
10:17.0,,,45-69,1,K. Irving makes technical free throw
10:06.0,B. Griffin makes 2-pt shot from 18 ft (assist by C. Paul),2,47-69,,
9:47.0,,,47-69,,K. Irving misses 3-pt shot from 22 ft
9:46.0,Defensive rebound by D. Jordan,,47-69,,
9:43.0,,,47-69,,Personal foul by K. Irving (drawn by C. Paul)
9:34.0,B. Griffin misses 2-pt shot from 17 ft,,47-69,,
9:33.0,Offensive rebound by D. Jordan,,47-69,,
9:31.0,D. Jordan makes 2-pt shot at rim,2,49-69,,
9:31.0,Technical foul by D. Jordan,,49-69,,
9:31.0,,,49-70,1,K. Irving makes technical free throw
9:09.0,,,49-70,,L. James misses 2-pt shot from 12 ft
9:06.0,Defensive rebound by C. Paul,,49-70,,
9:03.0,B. Griffin makes 2-pt shot at rim (assist by C. Paul),2,51-70,,
8:46.0,,,51-70,,Shooting foul by J. Crawford (drawn by T. Mozgov)
8:46.0,,,51-70,,T. Mozgov misses free throw 1 of 2
8:46.0,,,51-70,,Offensive rebound by Team
8:46.0,,,51-70,,T. Mozgov misses free throw 2 of 2
8:45.0,Defensive rebound by D. Jordan,,51-70,,
8:31.0,Turnover by J. Crawford (lost ball; steal by J. Smith),,51-70,,
8:29.0,Personal foul by C. Paul (drawn by L. James),,51-70,,
8:29.0,,,51-71,1,L. James makes free throw 1 of 2
8:29.0,,,51-72,1,L. James makes free throw 2 of 2
8:14.0,B. Griffin misses 2-pt shot from 15 ft,,51-72,,
8:12.0,,,51-72,,Defensive rebound by T. Mozgov
7:57.0,,,51-74,2,T. Mozgov makes 2-pt shot from 13 ft (assist by L. James)
7:27.0,M. Barnes makes 2-pt shot at rim,2,53-74,,
7:17.0,Personal foul by J. Crawford (drawn by L. James),,53-74,,
7:17.0,Technical foul by M. Barnes,,53-74,,
7:17.0,D. Jones enters the game for M. Barnes,,53-74,,
7:17.0,,,53-75,1,K. Irving makes technical free throw
7:17.0,,,53-76,1,L. James makes free throw 1 of 2
7:17.0,,,53-77,1,L. James makes free throw 2 of 2
6:59.0,C. Paul misses 3-pt shot from 23 ft,,53-77,,
6:58.0,,,53-77,,Defensive rebound by J. Smith
6:54.0,Personal foul by B. Griffin (drawn by K. Love),,53-77,,
6:54.0,,,53-78,1,K. Love makes free throw 1 of 2
6:54.0,,,53-79,1,K. Love makes free throw 2 of 2
6:38.0,J. Crawford misses 3-pt shot from 22 ft,,53-79,,
6:37.0,Offensive rebound by D. Jordan,,53-79,,
6:35.0,Shooting foul by K. Love (drawn by D. Jordan),,53-79,,
6:35.0,D. Jordan misses free throw 1 of 2,,53-79,,
6:35.0,Offensive rebound by Team,,53-79,,
6:35.0,D. Jordan makes free throw 2 of 2,1,54-79,,
6:16.0,,,54-79,,Shooting foul by D. Jordan (drawn by T. Mozgov)
6:16.0,,,54-80,1,T. Mozgov makes free throw 1 of 2
6:16.0,LA Clippers full timeout,,54-80,,
6:16.0,S. Hawes enters the game for D. Jones,,54-80,,
6:16.0,,,54-80,,T. Mozgov misses free throw 2 of 2
6:13.0,Defensive rebound by D. Jordan,,54-80,,
6:05.0,,,54-80,,Personal foul by K. Irving (drawn by C. Paul)
6:05.0,C. Paul misses free throw 1 of 2,,54-80,,
6:05.0,Offensive rebound by Team,,54-80,,
6:05.0,C. Paul makes free throw 2 of 2,1,55-80,,
5:43.0,,,55-80,,K. Love misses 3-pt shot from 23 ft
5:42.0,,,55-80,,Offensive rebound by T. Mozgov
5:42.0,,,55-80,,T. Mozgov misses 2-pt shot from 1 ft
5:39.0,Defensive rebound by B. Griffin,,55-80,,
5:34.0,C. Paul misses 2-pt shot from 16 ft,,55-80,,
5:33.0,,,55-80,,Defensive rebound by J. Smith
5:14.0,,,55-82,2,K. Love makes 2-pt shot from 19 ft (assist by K. Irving)
5:00.0,Turnover by S. Hawes (bad pass; steal by L. James),,55-82,,
4:55.0,,,55-84,2,L. James makes 2-pt shot at rim (assist by K. Love)
4:48.0,Shooting foul by K. Irving (drawn by S. Hawes),,55-84,,
4:48.0,S. Hawes makes free throw 1 of 2,1,56-84,,
4:48.0,G. Davis enters the game for B. Griffin,,56-84,,
4:48.0,C. Wilcox enters the game for D. Jordan,,56-84,,
4:48.0,D. Jones enters the game for J. Crawford,,56-84,,
4:48.0,A. Rivers enters the game for C. Paul,,56-84,,
4:48.0,S. Hawes makes free throw 2 of 2,1,57-84,,
4:33.0,,,57-84,,K. Love misses 3-pt shot from 26 ft
4:31.0,,,57-84,,Offensive rebound by K. Irving
4:28.0,,,57-84,,J. Smith misses 3-pt shot from 24 ft
4:27.0,,,57-84,,Offensive rebound by T. Mozgov
4:23.0,,,57-87,3,K. Irving makes 3-pt shot from 23 ft (assist by T. Mozgov)
4:08.0,D. Jones misses 2-pt shot from 19 ft,,57-87,,
4:07.0,,,57-87,,Defensive rebound by L. James
4:02.0,Personal foul by C. Wilcox (drawn by K. Love),,57-87,,
4:02.0,,,57-88,1,K. Love makes free throw 1 of 2
4:02.0,,,57-89,1,K. Love makes free throw 2 of 2
3:47.0,S. Hawes makes 2-pt shot from 16 ft (assist by C. Wilcox),2,59-89,,
3:22.0,,,59-89,,Shooting foul by D. Jones (drawn by L. James)
3:22.0,,,59-90,1,L. James makes free throw 1 of 2
3:22.0,,,59-90,,T. Thompson enters the game for T. Mozgov
3:22.0,,,59-91,1,L. James makes free throw 2 of 2
3:04.0,Shooting foul by T. Thompson (drawn by D. Jones),,59-91,,
3:04.0,D. Jones makes free throw 1 of 2,1,60-91,,
3:04.0,,,60-91,,I. Shumpert enters the game for L. James
3:04.0,D. Jones misses free throw 2 of 2,,60-91,,
3:03.0,,,60-91,,Defensive rebound by K. Love
2:49.0,,,60-91,,Cleveland full timeout
2:43.0,,,60-91,,Turnover by K. Irving (bad pass; steal by A. Rivers)
2:33.0,A. Rivers misses 3-pt shot from 24 ft,,60-91,,
2:32.0,,,60-91,,Defensive rebound by T. Thompson
2:11.0,,,60-91,,T. Thompson misses 2-pt shot from 7 ft
2:09.0,,,60-91,,Offensive rebound by I. Shumpert
2:06.0,,,60-91,,J. Smith misses 3-pt shot from 25 ft
2:05.0,,,60-91,,Offensive rebound by K. Irving
2:02.0,,,60-91,,Turnover by K. Love (bad pass; steal by S. Hawes)
1:54.0,C. Wilcox misses 3-pt shot from 25 ft,,60-91,,
1:52.0,,,60-91,,Defensive rebound by T. Thompson
1:35.0,,,60-91,,T. Thompson misses 2-pt shot from 6 ft
1:34.0,Defensive rebound by S. Hawes,,60-91,,
1:21.0,S. Hawes makes 3-pt shot from 26 ft (assist by A. Rivers),3,63-91,,
0:57.0,,,63-91,,K. Love misses 2-pt shot from 10 ft
0:54.0,Defensive rebound by D. Jones,,63-91,,
0:51.0,Turnover by D. Jones (lost ball),,63-91,,
0:51.0,,,63-91,,M. Dellavedova enters the game for K. Irving
0:51.0,,,63-91,,M. Miller enters the game for K. Love
0:33.0,,,63-91,,I. Shumpert misses 3-pt shot from 23 ft
0:32.0,,,63-91,,Offensive rebound by J. Smith
0:28.0,,,63-94,3,J. Smith makes 3-pt shot from 25 ft
0:10.0,C. Wilcox misses 3-pt shot from 28 ft,,63-94,,
0:08.0,,,63-94,,Defensive rebound by J. Smith
0:01.0,,,63-94,,J. Smith misses 3-pt shot from 28 ft
0:00.0,,,63-94,,Offensive rebound by T. Thompson
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:46.0,A. Rivers misses 2-pt shot from 1 ft,,63-94,,
11:42.0,,,63-94,,Defensive rebound by T. Thompson
11:39.0,,,63-94,,Turnover by T. Thompson (3 sec)
11:26.0,,,63-94,,Personal foul by M. Miller (drawn by S. Hawes)
11:16.0,G. Davis misses 2-pt shot from 17 ft,,63-94,,
11:15.0,Offensive rebound by Team,,63-94,,
11:00.0,G. Davis makes 2-pt shot from 7 ft,2,65-94,,
10:41.0,,,65-94,,Turnover by T. Thompson (bad pass)
10:25.0,A. Rivers misses 2-pt shot from 1 ft,,65-94,,
10:23.0,Offensive rebound by G. Davis,,65-94,,
10:22.0,G. Davis misses 2-pt shot from 1 ft (block by T. Thompson),,65-94,,
10:22.0,,,65-94,,Defensive rebound by M. Miller
10:22.0,Personal foul by G. Davis (drawn by M. Miller),,65-94,,
10:06.0,,,65-94,,Turnover by T. Thompson (bad pass; steal by D. Jones)
10:01.0,S. Hawes makes 2-pt shot at rim (assist by D. Jones),2,67-94,,
9:41.0,,,67-96,2,M. Dellavedova makes 2-pt shot from 7 ft (assist by S. Marion)
9:25.0,Turnover by S. Hawes (lost ball; steal by I. Shumpert),,67-96,,
9:22.0,,,67-96,,Turnover by I. Shumpert (bad pass; steal by C. Wilcox)
9:22.0,,,67-96,,Personal foul by I. Shumpert (drawn by C. Wilcox)
9:10.0,C. Wilcox makes 2-pt shot from 1 ft,2,69-96,,
9:10.0,Shooting foul by I. Shumpert (drawn by C. Wilcox),,69-96,,
9:10.0,C. Wilcox makes free throw 1 of 1,1,70-96,,
8:54.0,,,70-96,,Shooting foul by G. Davis (drawn by I. Shumpert)
8:54.0,Official timeout,,70-96,,
8:54.0,,,70-97,1,I. Shumpert makes free throw 1 of 2
8:54.0,,,70-98,1,I. Shumpert makes free throw 2 of 2
8:31.0,G. Davis makes 2-pt shot from 14 ft,2,72-98,,
8:06.0,,,72-100,2,S. Marion makes 2-pt shot from 6 ft (assist by M. Dellavedova)
7:50.0,C. Wilcox misses 3-pt shot from 26 ft,,72-100,,
7:49.0,,,72-100,,Defensive rebound by T. Thompson
7:36.0,,,72-100,,I. Shumpert misses 2-pt shot at rim
7:34.0,,,72-100,,Offensive rebound by T. Thompson
7:34.0,,,72-100,,Shooting foul by S. Hawes (drawn by T. Thompson)
7:34.0,,,72-101,1,T. Thompson makes free throw 1 of 2
7:34.0,,,72-102,1,T. Thompson makes free throw 2 of 2
7:25.0,Shooting foul by M. Miller (drawn by G. Davis),,72-102,,
7:25.0,G. Davis makes free throw 1 of 2,1,73-102,,
7:25.0,G. Davis misses free throw 2 of 2,,73-102,,
7:24.0,,,73-102,,Defensive rebound by T. Thompson
7:02.0,,,73-102,,Turnover by M. Dellavedova (lost ball; steal by A. Rivers)
6:58.0,A. Rivers misses 2-pt shot from 1 ft (block by T. Thompson),,73-102,,
6:58.0,Offensive rebound by Team,,73-102,,
6:49.0,A. Rivers misses 2-pt shot from 3 ft,,73-102,,
6:46.0,Offensive rebound by A. Rivers,,73-102,,
6:44.0,A. Rivers misses 2-pt shot from 1 ft,,73-102,,
6:42.0,,,73-102,,Defensive rebound by T. Thompson
6:40.0,,,73-102,,Turnover by T. Thompson (offensive foul)
6:40.0,,,73-102,,Offensive foul by T. Thompson
6:24.0,D. Jones misses 2-pt shot from 9 ft (block by S. Marion),,73-102,,
6:24.0,Offensive rebound by Team,,73-102,,
6:24.0,E. Udoh enters the game for S. Hawes,,73-102,,
6:16.0,D. Jones makes 2-pt shot at rim (assist by A. Rivers),2,75-102,,
5:57.0,,,75-102,,M. Miller misses 3-pt shot from 22 ft
5:56.0,,,75-102,,Offensive rebound by S. Marion
5:54.0,,,75-102,,S. Marion misses 2-pt shot from 6 ft
