time,Atlanta,pts.away,score,pts.home,Golden State
0:33.0,,,47-59,,Violation by S. Curry (kicked ball)
0:27.0,A. Horford misses 2-pt shot from 18 ft,,47-59,,
0:25.0,,,47-59,,Defensive rebound by A. Bogut
0:05.0,,,47-59,,J. Holiday misses 3-pt shot from 25 ft
0:03.0,,,47-59,,Offensive rebound by A. Bogut
0:03.0,,,47-59,,A. Bogut misses 2-pt shot at rim
0:00.0,,,47-59,,Offensive rebound by Team
0:00.0,P. Antic enters the game for J. Jenkins,,47-59,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:48.0,,,47-59,,A. Bogut misses 2-pt shot from 3 ft (block by D. Carroll)
11:46.0,Defensive rebound by A. Horford,,47-59,,
11:43.0,K. Bazemore misses 2-pt shot from 5 ft (block by J. Holiday),,47-59,,
11:43.0,Offensive rebound by Team,,47-59,,
11:39.0,J. Teague makes 2-pt shot from 19 ft (assist by A. Horford),2,49-59,,
11:21.0,,,49-59,,D. Green misses 2-pt shot from 3 ft
11:19.0,Defensive rebound by K. Bazemore,,49-59,,
11:11.0,,,49-59,,Personal foul by A. Bogut (drawn by P. Millsap)
11:05.0,K. Bazemore misses 2-pt shot from 3 ft,,49-59,,
11:04.0,,,49-59,,Defensive rebound by A. Bogut
10:53.0,,,49-61,2,H. Barnes makes 2-pt shot from 20 ft (assist by D. Green)
10:35.0,D. Carroll misses 2-pt shot from 20 ft,,49-61,,
10:34.0,,,49-61,,Defensive rebound by D. Green
10:28.0,,,49-61,,J. Holiday misses 2-pt shot from 7 ft
10:23.0,,,49-61,,Offensive rebound by A. Bogut
10:20.0,,,49-61,,D. Green misses 3-pt shot from 25 ft
10:18.0,Defensive rebound by K. Bazemore,,49-61,,
10:12.0,P. Millsap makes 2-pt shot from 3 ft (assist by D. Carroll),2,51-61,,
10:02.0,,,51-61,,J. Holiday misses 3-pt shot from 26 ft
10:00.0,,,51-61,,Offensive rebound by A. Bogut
9:54.0,,,51-63,2,H. Barnes makes 2-pt shot from 14 ft (assist by S. Curry)
9:36.0,P. Millsap makes 3-pt shot from 25 ft (assist by J. Teague),3,54-63,,
9:36.0,Shooting foul by D. Green (drawn by P. Millsap),,54-63,,
9:36.0,P. Millsap makes free throw 1 of 1,1,55-63,,
9:24.0,,,55-63,,Turnover by S. Curry (bad pass; steal by K. Bazemore)
9:09.0,Turnover by J. Teague (bad pass; steal by H. Barnes),,55-63,,
9:05.0,,,55-65,2,S. Curry makes 2-pt shot from 2 ft (assist by J. Holiday)
8:52.0,J. Teague misses 3-pt shot from 24 ft,,55-65,,
8:50.0,,,55-65,,Defensive rebound by D. Green
8:49.0,Personal foul by D. Carroll (drawn by S. Curry),,55-65,,
8:40.0,,,55-65,,J. Holiday misses 2-pt shot from 6 ft (block by A. Horford)
8:38.0,,,55-65,,Offensive rebound by J. Holiday
8:38.0,,,55-65,,Shooting foul by K. Bazemore (drawn by J. Holiday)
8:38.0,,,55-65,,J. Holiday misses free throw 1 of 2
8:38.0,,,55-65,,Offensive rebound by Team
8:38.0,,,55-66,1,J. Holiday makes free throw 2 of 2
8:19.0,P. Millsap misses 3-pt shot from 25 ft,,55-66,,
8:18.0,,,55-66,,Defensive rebound by A. Bogut
8:04.0,,,55-66,,S. Curry misses 3-pt shot from 24 ft
8:03.0,Defensive rebound by D. Carroll,,55-66,,
7:39.0,J. Teague misses 2-pt shot from 8 ft,,55-66,,
7:36.0,Offensive rebound by P. Millsap,,55-66,,
7:32.0,Turnover by K. Bazemore (bad pass),,55-66,,
7:32.0,D. Schroder enters the game for J. Teague,,55-66,,
7:15.0,,,55-66,,Turnover by S. Curry (bad pass; steal by P. Millsap)
7:00.0,A. Horford misses 2-pt shot from 14 ft,,55-66,,
6:58.0,Offensive rebound by P. Millsap,,55-66,,
6:58.0,P. Millsap misses 2-pt shot at rim (block by A. Bogut),,55-66,,
6:56.0,,,55-66,,Defensive rebound by S. Curry
6:46.0,,,55-66,,D. Green misses 2-pt shot from 2 ft
6:44.0,Defensive rebound by A. Horford,,55-66,,
6:39.0,Turnover by A. Horford (bad pass),,55-66,,
6:39.0,,,55-66,,Golden State full timeout
6:27.0,Personal foul by D. Carroll (drawn by H. Barnes),,55-66,,
6:27.0,,,55-66,,A. Iguodala enters the game for H. Barnes
6:27.0,,,55-66,,L. Barbosa enters the game for J. Holiday
6:27.0,J. Teague enters the game for K. Bazemore,,55-66,,
6:16.0,,,55-66,,Offensive foul by D. Green
6:16.0,,,55-66,,Turnover by D. Green (offensive foul)
5:58.0,D. Carroll makes 3-pt shot from 22 ft (assist by P. Millsap),3,58-66,,
5:35.0,,,58-69,3,D. Green makes 3-pt shot from 26 ft (assist by A. Iguodala)
5:03.0,D. Schroder misses 3-pt shot from 24 ft,,58-69,,
5:02.0,Offensive rebound by P. Millsap,,58-69,,
4:55.0,D. Carroll makes 3-pt shot from 25 ft (assist by D. Schroder),3,61-69,,
4:44.0,,,61-69,,Shooting foul by D. Schroder (drawn by S. Curry)
4:44.0,,,61-70,1,S. Curry makes free throw 1 of 2
4:44.0,,,61-70,,F. Ezeli enters the game for A. Bogut
4:44.0,P. Antic enters the game for A. Horford,,61-70,,
4:44.0,,,61-71,1,S. Curry makes free throw 2 of 2
4:30.0,Turnover by J. Teague (lost ball; steal by A. Iguodala),,61-71,,
4:21.0,,,61-74,3,L. Barbosa makes 3-pt shot from 24 ft (assist by S. Curry)
4:12.0,Atlanta full timeout,,61-74,,
4:04.0,Turnover by P. Millsap (lost ball),,61-74,,
3:50.0,,,61-74,,S. Curry misses 3-pt shot from 25 ft
3:48.0,Defensive rebound by P. Millsap,,61-74,,
3:32.0,Shooting foul by F. Ezeli (drawn by J. Teague),,61-74,,
3:32.0,J. Teague misses free throw 1 of 2,,61-74,,
3:32.0,Offensive rebound by Team,,61-74,,
3:32.0,J. Teague makes free throw 2 of 2,1,62-74,,
3:23.0,,,62-76,2,F. Ezeli makes 2-pt shot at rim (assist by D. Green)
3:06.0,D. Schroder misses 2-pt shot from 10 ft,,62-76,,
3:04.0,Offensive rebound by D. Schroder,,62-76,,
2:54.0,P. Millsap misses 2-pt shot from 10 ft,,62-76,,
2:52.0,Offensive rebound by D. Carroll,,62-76,,
2:51.0,D. Carroll misses 2-pt shot from 1 ft (block by F. Ezeli),,62-76,,
2:51.0,Offensive rebound by Team,,62-76,,
2:34.0,P. Millsap misses 2-pt shot from 2 ft,,62-76,,
2:32.0,,,62-76,,Defensive rebound by S. Curry
2:18.0,,,62-76,,A. Iguodala misses 3-pt shot from 26 ft
2:16.0,,,62-76,,Offensive rebound by S. Curry
2:14.0,,,62-76,,S. Curry misses 3-pt shot from 28 ft
2:13.0,Defensive rebound by P. Antic,,62-76,,
2:04.0,Shooting foul by L. Barbosa (drawn by J. Teague),,62-76,,
2:04.0,J. Teague misses free throw 1 of 2,,62-76,,
2:04.0,Offensive rebound by Team,,62-76,,
2:04.0,A. Horford enters the game for P. Millsap,,62-76,,
2:04.0,K. Bazemore enters the game for D. Carroll,,62-76,,
2:04.0,J. Teague makes free throw 2 of 2,1,63-76,,
2:00.0,,,63-76,,Shooting foul by P. Antic (drawn by D. Green)
2:00.0,,,63-76,,D. Green misses free throw 1 of 2
2:00.0,,,63-76,,Offensive rebound by Team
2:00.0,Technical foul by P. Antic (drawn by D. Green),,63-76,,
2:00.0,,,63-77,1,S. Curry makes technical free throw
2:00.0,,,63-78,1,D. Green makes free throw 2 of 2
1:47.0,Shooting foul by A. Iguodala (drawn by K. Bazemore),,63-78,,
1:47.0,K. Bazemore misses free throw 1 of 2,,63-78,,
1:47.0,Offensive rebound by Team,,63-78,,
1:47.0,K. Bazemore makes free throw 2 of 2,1,64-78,,
1:32.0,,,64-78,,F. Ezeli misses 2-pt shot from 7 ft
1:30.0,Defensive rebound by A. Horford,,64-78,,
1:09.0,D. Schroder misses 2-pt shot from 17 ft,,64-78,,
1:08.0,,,64-78,,Defensive rebound by F. Ezeli
0:59.0,,,64-81,3,D. Green makes 3-pt shot from 23 ft (assist by S. Curry)
0:48.0,Turnover by J. Teague (bad pass; steal by L. Barbosa),,64-81,,
0:45.0,,,64-81,,Turnover by L. Barbosa (lost ball; steal by K. Bazemore)
0:33.0,Turnover by J. Teague (bad pass; steal by D. Green),,64-81,,
0:10.0,,,64-81,,Shooting foul by P. Antic (drawn by A. Iguodala)
0:10.0,,,64-83,2,A. Iguodala makes 2-pt shot from 1 ft (assist by S. Curry)
0:10.0,,,64-83,,J. McAdoo enters the game for F. Ezeli
0:10.0,S. Mack enters the game for K. Bazemore,,64-83,,
0:10.0,,,64-83,,S. Livingston enters the game for S. Curry
0:10.0,,,64-83,,H. Barnes enters the game for D. Green
0:10.0,,,64-83,,A. Iguodala misses free throw 1 of 1
0:09.0,Defensive rebound by P. Antic,,64-83,,
0:03.0,Turnover by D. Schroder (lost ball),,64-83,,
0:01.0,,,64-83,,L. Barbosa misses 3-pt shot from 29 ft
0:00.0,,,64-83,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:47.0,D. Schroder misses 2-pt shot from 1 ft (block by F. Ezeli),,64-83,,
11:45.0,Offensive rebound by D. Carroll,,64-83,,
11:43.0,D. Carroll misses 3-pt shot from 26 ft,,64-83,,
11:41.0,,,64-83,,Defensive rebound by Team
11:27.0,,,64-85,2,H. Barnes makes 2-pt shot from 19 ft (assist by S. Livingston)
11:05.0,Shooting foul by F. Ezeli (drawn by K. Bazemore),,64-85,,
11:05.0,K. Bazemore makes free throw 1 of 2,1,65-85,,
11:05.0,K. Bazemore makes free throw 2 of 2,1,66-85,,
10:46.0,,,66-88,3,A. Iguodala makes 3-pt shot from 24 ft (assist by S. Livingston)
10:29.0,Turnover by K. Bazemore (lost ball; steal by A. Iguodala),,66-88,,
10:25.0,,,66-90,2,A. Iguodala makes 2-pt shot at rim
10:07.0,D. Schroder misses 3-pt shot from 23 ft,,66-90,,
10:06.0,Offensive rebound by D. Carroll,,66-90,,
10:04.0,A. Horford makes 2-pt shot from 1 ft (assist by D. Carroll),2,68-90,,
9:51.0,,,68-90,,L. Barbosa misses 3-pt shot from 25 ft
9:50.0,Defensive rebound by K. Bazemore,,68-90,,
9:46.0,Turnover by K. Bazemore (lost ball; steal by A. Iguodala),,68-90,,
9:38.0,,,68-92,2,H. Barnes makes 2-pt shot from 1 ft (assist by A. Iguodala)
9:36.0,Atlanta full timeout,,68-92,,
9:36.0,J. Jenkins enters the game for D. Schroder,,68-92,,
9:18.0,A. Horford makes 2-pt shot from 6 ft (assist by K. Bazemore),2,70-92,,
9:01.0,,,70-94,2,L. Barbosa makes 2-pt shot from 1 ft (assist by S. Livingston)
8:47.0,A. Horford misses 2-pt shot from 17 ft,,70-94,,
8:46.0,,,70-94,,Defensive rebound by H. Barnes
8:36.0,,,70-94,,Turnover by S. Livingston (lost ball; steal by S. Mack)
8:28.0,A. Horford misses 2-pt shot from 9 ft,,70-94,,
8:27.0,Offensive rebound by D. Carroll,,70-94,,
8:25.0,D. Carroll misses 2-pt shot from 1 ft,,70-94,,
8:23.0,Offensive rebound by A. Horford,,70-94,,
8:16.0,S. Mack makes 2-pt shot at rim (assist by A. Horford),2,72-94,,
7:52.0,,,72-94,,L. Barbosa misses 2-pt shot from 2 ft
7:51.0,,,72-94,,Offensive rebound by H. Barnes
7:51.0,,,72-94,,H. Barnes misses 2-pt shot from 1 ft
7:48.0,Defensive rebound by A. Horford,,72-94,,
7:40.0,A. Horford misses 2-pt shot from 6 ft,,72-94,,
7:40.0,Offensive rebound by D. Carroll,,72-94,,
7:40.0,Shooting foul by H. Barnes (drawn by D. Carroll),,72-94,,
7:40.0,D. Carroll misses free throw 1 of 2,,72-94,,
7:40.0,Offensive rebound by Team,,72-94,,
7:40.0,D. Carroll makes free throw 2 of 2,1,73-94,,
7:27.0,,,73-97,3,A. Iguodala makes 3-pt shot from 23 ft (assist by L. Barbosa)
7:13.0,A. Horford makes 2-pt shot from 18 ft (assist by S. Mack),2,75-97,,
6:59.0,Personal foul by D. Carroll (drawn by H. Barnes),,75-97,,
6:59.0,P. Antic enters the game for A. Horford,,75-97,,
6:59.0,D. Schroder enters the game for K. Bazemore,,75-97,,
